cocoa_revisable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
cocoa_revisable v1 35 games, 24341 moves, e=0.976, loss: 183.7, ., 50.0% elo% vs. v0, avg. reward: 8.441, 1.537 sec/game, 0.6 min. total, 402.7 MB
cocoa_revisable v1 36 games, 24984 moves, e=0.975, loss: 194.2, ., 50.0% elo% vs. v0, avg. reward: 8.227, 1.540 sec/game, 0.6 min. total, 402.7 MB
cocoa_revisable v1 37 games, 25592 moves, e=0.975, loss: 191.4, ., 50.0% elo% vs. v0, avg. reward: 8.024, 1.531 sec/game, 0.6 min. total, 402.8 MB
cocoa_revisable v1 38 games, 26364 moves, e=0.974, loss: 204.2, ., 50.0% elo% vs. v0, avg. reward: 7.912, 1.523 sec/game, 0.7 min. total, 403.1 MB
cocoa_revisable v1 39 games, 26944 moves, e=0.973, loss: 194.7, ., 50.0% elo% vs. v0, avg. reward: 7.753, 1.522 sec/game, 0.7 min. total, 403.1 MB
cocoa_revisable v1 40 games, 27593 moves, e=0.973, loss: 198.7, ., 50.0% elo% vs. v0, avg. reward: 7.800, 1.519 sec/game, 0.7 min. total, 403.2 MB
cocoa_revisable v1 41 games, 28411 moves, e=0.972, loss: 216.6, +, 52.3% elo% vs. v0, avg. reward: 7.930, 1.515 sec/game, 0.7 min. total, 405.6 MB
cocoa_revisable v1 42 games, 29176 moves, e=0.971, loss: 217.7, ., 52.2% elo% vs. v0, avg. reward: 7.937, 1.524 sec/game, 0.8 min. total, 403.4 MB
cocoa_revisable v1 43 games, 30015 moves, e=0.970, loss: 222.4, +, 54.4% elo% vs. v0, avg. reward: 7.926, 1.542 sec/game, 0.8 min. total, 407.2 MB
cocoa_revisable v1 44 games, 30723 moves, e=0.970, loss: 233.4, +, 56.5% elo% vs. v0, avg. reward: 7.825, 1.547 sec/game, 0.8 min. total, 406.5 MB
cocoa_revisable v1 45 games, 31476 moves, e=0.969, loss: 271.7, ., 56.2% elo% vs. v0, avg. reward: 7.938, 1.532 sec/game, 0.8 min. total, 405.5 MB
cocoa_revisable v1 46 games, 32160 moves, e=0.968, loss: 269.7, +, 58.1% elo% vs. v0, avg. reward: 7.825, 1.537 sec/game, 0.9 min. total, 407.4 MB
cocoa_revisable v1 47 games, 32977 moves, e=0.967, loss: 265.0, ., 57.8% elo% vs. v0, avg. reward: 7.905, 1.539 sec/game, 0.9 min. total, 407.7 MB
cocoa_revisable v1 48 games, 33572 moves, e=0.967, loss: 254.4, +, 59.7% elo% vs. v0, avg. reward: 7.885, 1.544 sec/game, 0.9 min. total, 410.0 MB
cocoa_revisable v1 49 games, 34236 moves, e=0.966, loss: 265.5, +, 61.4% elo% vs. v0, avg. reward: 7.781, 1.544 sec/game, 0.9 min. total, 409.9 MB
cocoa_revisable v1 50 games, 34984 moves, e=0.965, loss: 275.3, +, 63.1% elo% vs. v0, avg. reward: 7.659, 1.536 sec/game, 1.0 min. total, 410.1 MB
cocoa_revisable v1 51 games, 35583 moves, e=0.965, loss: 278.4, +, 64.7% elo% vs. v0, avg. reward: 7.530, 1.494 sec/game, 1.0 min. total, 410.0 MB
cocoa_revisable v1 52 games, 36315 moves, e=0.964, loss: 275.4, ., 64.1% elo% vs. v0, avg. reward: 7.485, 1.495 sec/game, 1.0 min. total, 407.7 MB
cocoa_revisable v1 53 games, 37067 moves, e=0.963, loss: 279.5, ., 63.5% elo% vs. v0, avg. reward: 7.383, 1.486 sec/game, 1.0 min. total, 407.8 MB
cocoa_revisable v1 54 games, 37852 moves, e=0.963, loss: 281.5, ., 62.9% elo% vs. v0, avg. reward: 7.460, 1.501 sec/game, 1.1 min. total, 407.8 MB
cocoa_revisable v1 55 games, 38561 moves, e=0.962, loss: 279.4, ., 62.3% elo% vs. v0, avg. reward: 7.437, 1.493 sec/game, 1.1 min. total, 408.0 MB
cocoa_revisable v1 56 games, 39245 moves, e=0.961, loss: 299.1, ., 61.8% elo% vs. v0, avg. reward: 7.390, 1.486 sec/game, 1.1 min. total, 408.9 MB
cocoa_revisable v1 57 games, 40000 moves, e=0.960, loss: 326.0, ., 61.3% elo% vs. v0, avg. reward: 7.649, 1.506 sec/game, 1.1 min. total, 410.1 MB
cocoa_revisable v1 58 games, 40787 moves, e=0.960, loss: 355.5, +, 63.0% elo% vs. v0, avg. reward: 7.658, 1.499 sec/game, 1.2 min. total, 410.7 MB
cocoa_revisable v1 59 games, 41513 moves, e=0.959, loss: 379.5, ., 62.4% elo% vs. v0, avg. reward: 7.568, 1.509 sec/game, 1.2 min. total, 411.6 MB
cocoa_revisable v1 60 games, 42306 moves, e=0.958, loss: 347.2, +, 64.0% elo% vs. v0, avg. reward: 7.587, 1.521 sec/game, 1.2 min. total, 412.1 MB
cocoa_revisable v1 61 games, 43005 moves, e=0.957, loss: 368.6, +, 65.5% elo% vs. v0, avg. reward: 7.542, 1.511 sec/game, 1.2 min. total, 411.9 MB
cocoa_revisable v1 62 games, 43712 moves, e=0.957, loss: 376.3, +, 66.9% elo% vs. v0, avg. reward: 7.870, 1.513 sec/game, 1.3 min. total, 414.3 MB
cocoa_revisable v1 63 games, 44500 moves, e=0.956, loss: 399.1, +, 68.3% elo% vs. v0, avg. reward: 7.935, 1.506 sec/game, 1.3 min. total, 414.3 MB
cocoa_revisable v1 64 games, 45210 moves, e=0.955, loss: 410.2, ., 67.5% elo% vs. v0, avg. reward: 7.929, 1.507 sec/game, 1.3 min. total, 412.6 MB
cocoa_revisable v1 65 games, 45885 moves, e=0.955, loss: 458.3, +, 68.8% elo% vs. v0, avg. reward: 7.831, 1.505 sec/game, 1.3 min. total, 414.7 MB
cocoa_revisable v1 66 games, 46564 moves, e=0.954, loss: 474.6, ., 68.1% elo% vs. v0, avg. reward: 7.814, 1.497 sec/game, 1.4 min. total, 412.3 MB
cocoa_revisable v1 67 games, 47340 moves, e=0.953, loss: 439.6, ., 67.4% elo% vs. v0, avg. reward: 7.792, 1.496 sec/game, 1.4 min. total, 412.4 MB
cocoa_revisable v1 68 games, 48046 moves, e=0.952, loss: 454.4, ., 66.7% elo% vs. v0, avg. reward: 7.742, 1.506 sec/game, 1.4 min. total, 412.7 MB
cocoa_revisable v1 69 games, 48779 moves, e=0.952, loss: 516.6, ., 66.0% elo% vs. v0, avg. reward: 7.772, 1.525 sec/game, 1.4 min. total, 413.8 MB
cocoa_revisable v1 70 games, 49620 moves, e=0.951, loss: 521.7, +, 67.4% elo% vs. v0, avg. reward: 7.830, 1.527 sec/game, 1.5 min. total, 418.2 MB
cocoa_revisable v1 71 games, 50386 moves, e=0.950, loss: 520.2, ., 66.7% elo% vs. v0, avg. reward: 7.830, 1.561 sec/game, 1.5 min. total, 415.8 MB
cocoa_revisable v1 72 games, 51168 moves, e=0.949, loss: 567.7, ., 66.0% elo% vs. v0, avg. reward: 7.797, 1.562 sec/game, 1.5 min. total, 415.8 MB
cocoa_revisable v1 73 games, 51890 moves, e=0.949, loss: 580.9, ., 65.3% elo% vs. v0, avg. reward: 7.940, 1.564 sec/game, 1.5 min. total, 415.8 MB
cocoa_revisable v1 74 games, 52558 moves, e=0.948, loss: 553.8, ., 64.7% elo% vs. v0, avg. reward: 8.025, 1.554 sec/game, 1.6 min. total, 416.0 MB
cocoa_revisable v1 75 games, 53314 moves, e=0.947, loss: 562.3, ., 64.0% elo% vs. v0, avg. reward: 8.068, 1.579 sec/game, 1.6 min. total, 415.8 MB
