cocoa_revisable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
cocoa_revisable v2 153 games, 112136 moves, e=0.889, loss: 1190.6, +, 22.4% elo% vs. v1, avg. reward: 8.840, 1.940 sec/game, 3.9 min. total, 522.3 MB
cocoa_revisable v2 154 games, 112876 moves, e=0.888, loss: 1112.4, +, 25.0% elo% vs. v1, avg. reward: 8.805, 1.964 sec/game, 4.0 min. total, 522.3 MB
cocoa_revisable v2 155 games, 113662 moves, e=0.887, loss: 1130.8, +, 27.6% elo% vs. v1, avg. reward: 8.811, 1.929 sec/game, 4.0 min. total, 522.7 MB
cocoa_revisable v2 156 games, 114357 moves, e=0.887, loss: 1182.9, -, 26.6% elo% vs. v1, avg. reward: 8.840, 1.919 sec/game, 4.0 min. total, 522.9 MB
cocoa_revisable v2 157 games, 115045 moves, e=0.886, loss: 1263.4, -, 25.7% elo% vs. v1, avg. reward: 8.701, 1.900 sec/game, 4.0 min. total, 522.5 MB
cocoa_revisable v2 158 games, 115798 moves, e=0.885, loss: 1238.5, -, 24.8% elo% vs. v1, avg. reward: 8.663, 1.884 sec/game, 4.1 min. total, 522.2 MB
cocoa_revisable v2 159 games, 116327 moves, e=0.885, loss: 1216.9, -, 24.0% elo% vs. v1, avg. reward: 8.663, 1.831 sec/game, 4.1 min. total, 524.9 MB
cocoa_revisable v2 160 games, 117214 moves, e=0.884, loss: 1303.3, -, 23.2% elo% vs. v1, avg. reward: 8.638, 1.835 sec/game, 4.1 min. total, 524.8 MB
cocoa_revisable v2 161 games, 117844 moves, e=0.883, loss: 1336.5, -, 22.4% elo% vs. v1, avg. reward: 8.677, 1.812 sec/game, 4.2 min. total, 524.8 MB
cocoa_revisable v2 162 games, 118558 moves, e=0.883, loss: 1242.2, -, 21.7% elo% vs. v1, avg. reward: 8.463, 1.828 sec/game, 4.2 min. total, 524.9 MB
cocoa_revisable v2 163 games, 119271 moves, e=0.882, loss: 1169.8, -, 21.0% elo% vs. v1, avg. reward: 8.373, 1.803 sec/game, 4.2 min. total, 525.8 MB
cocoa_revisable v2 164 games, 120050 moves, e=0.881, loss: 1240.6, -, 20.4% elo% vs. v1, avg. reward: 8.416, 1.805 sec/game, 4.2 min. total, 526.5 MB
cocoa_revisable v2 165 games, 120923 moves, e=0.880, loss: 1324.0, -, 19.8% elo% vs. v1, avg. reward: 8.575, 1.834 sec/game, 4.3 min. total, 524.6 MB
cocoa_revisable v2 166 games, 121628 moves, e=0.880, loss: 1242.4, +, 22.2% elo% vs. v1, avg. reward: 8.651, 1.837 sec/game, 4.3 min. total, 524.4 MB
cocoa_revisable v2 167 games, 122325 moves, e=0.879, loss: 1262.4, -, 21.5% elo% vs. v1, avg. reward: 8.630, 1.823 sec/game, 4.3 min. total, 524.6 MB
cocoa_revisable v2 168 games, 123123 moves, e=0.878, loss: 1257.7, ., 22.4% elo% vs. v1, avg. reward: 8.697, 1.781 sec/game, 4.4 min. total, 524.5 MB
cocoa_revisable v2 169 games, 123977 moves, e=0.877, loss: 1314.9, -, 21.7% elo% vs. v1, avg. reward: 8.732, 1.778 sec/game, 4.4 min. total, 525.0 MB
cocoa_revisable v2 170 games, 124726 moves, e=0.877, loss: 1347.9, -, 21.1% elo% vs. v1, avg. reward: 8.679, 1.773 sec/game, 4.4 min. total, 526.9 MB
cocoa_revisable v2 171 games, 125632 moves, e=0.876, loss: 1394.1, -, 20.4% elo% vs. v1, avg. reward: 8.770, 1.753 sec/game, 4.5 min. total, 527.2 MB
cocoa_revisable v2 172 games, 126465 moves, e=0.875, loss: 1564.4, -, 19.8% elo% vs. v1, avg. reward: 8.768, 1.764 sec/game, 4.5 min. total, 528.6 MB
cocoa_revisable v2 173 games, 127331 moves, e=0.874, loss: 1570.9, -, 19.2% elo% vs. v1, avg. reward: 8.769, 1.779 sec/game, 4.5 min. total, 529.6 MB
cocoa_revisable v2 174 games, 128129 moves, e=0.873, loss: 1407.2, -, 18.7% elo% vs. v1, avg. reward: 8.754, 1.769 sec/game, 4.6 min. total, 527.7 MB
cocoa_revisable v2 175 games, 128822 moves, e=0.872, loss: 1384.8, -, 18.2% elo% vs. v1, avg. reward: 8.811, 1.755 sec/game, 4.6 min. total, 529.8 MB
cocoa_revisable v2 176 games, 129568 moves, e=0.872, loss: 1413.9, -, 17.7% elo% vs. v1, avg. reward: 8.880, 1.750 sec/game, 4.6 min. total, 529.8 MB
cocoa_revisable v2 177 games, 130487 moves, e=0.871, loss: 1477.5, +, 20.0% elo% vs. v1, avg. reward: 8.971, 1.775 sec/game, 4.6 min. total, 527.6 MB
cocoa_revisable v2 178 games, 131245 moves, e=0.870, loss: 1483.3, -, 19.4% elo% vs. v1, avg. reward: 8.851, 1.764 sec/game, 4.7 min. total, 528.3 MB
cocoa_revisable v2 179 games, 132151 moves, e=0.869, loss: 1467.0, +, 21.8% elo% vs. v1, avg. reward: 8.860, 1.804 sec/game, 4.7 min. total, 528.8 MB
cocoa_revisable v2 180 games, 132967 moves, e=0.868, loss: 1555.5, +, 24.4% elo% vs. v1, avg. reward: 8.991, 1.796 sec/game, 4.7 min. total, 530.3 MB
cocoa_revisable v2 181 games, 133843 moves, e=0.867, loss: 1401.6, +, 27.1% elo% vs. v1, avg. reward: 8.925, 1.825 sec/game, 4.8 min. total, 530.3 MB
cocoa_revisable v2 182 games, 134608 moves, e=0.867, loss: 1503.2, -, 26.1% elo% vs. v1, avg. reward: 8.837, 1.821 sec/game, 4.8 min. total, 534.0 MB
cocoa_revisable v2 183 games, 135561 moves, e=0.866, loss: 1401.6, -, 25.2% elo% vs. v1, avg. reward: 8.895, 1.855 sec/game, 4.8 min. total, 532.3 MB
cocoa_revisable v2 184 games, 136206 moves, e=0.865, loss: 1505.3, -, 24.3% elo% vs. v1, avg. reward: 8.924, 1.834 sec/game, 4.9 min. total, 532.4 MB
cocoa_revisable v2 185 games, 136946 moves, e=0.864, loss: 1535.3, -, 23.5% elo% vs. v1, avg. reward: 8.984, 1.793 sec/game, 4.9 min. total, 531.7 MB
cocoa_revisable v2 186 games, 137868 moves, e=0.864, loss: 1514.0, +, 26.1% elo% vs. v1, avg. reward: 9.049, 1.814 sec/game, 4.9 min. total, 533.6 MB
cocoa_revisable v2 187 games, 138619 moves, e=0.863, loss: 1482.6, -, 25.2% elo% vs. v1, avg. reward: 9.092, 1.814 sec/game, 4.9 min. total, 534.1 MB
cocoa_revisable v2 188 games, 139431 moves, e=0.862, loss: 1384.1, -, 24.3% elo% vs. v1, avg. reward: 9.112, 1.829 sec/game, 5.0 min. total, 533.0 MB
cocoa_revisable v2 189 games, 140236 moves, e=0.861, loss: 1351.4, +, 27.0% elo% vs. v1, avg. reward: 9.116, 1.817 sec/game, 5.0 min. total, 534.9 MB
cocoa_revisable v2 190 games, 141016 moves, e=0.860, loss: 1349.2, -, 26.0% elo% vs. v1, avg. reward: 9.145, 1.820 sec/game, 5.0 min. total, 532.7 MB
cocoa_revisable v2 191 games, 141867 moves, e=0.860, loss: 1447.0, -, 25.1% elo% vs. v1, avg. reward: 9.113, 1.820 sec/game, 5.1 min. total, 535.1 MB
cocoa_revisable v2 192 games, 142526 moves, e=0.859, loss: 1385.4, -, 24.3% elo% vs. v1, avg. reward: 9.115, 1.789 sec/game, 5.1 min. total, 533.4 MB
cocoa_revisable v2 193 games, 143271 moves, e=0.858, loss: 1352.0, -, 23.4% elo% vs. v1, avg. reward: 9.109, 1.787 sec/game, 5.1 min. total, 534.2 MB
cocoa_revisable v2 194 games, 143994 moves, e=0.857, loss: 1395.8, +, 26.1% elo% vs. v1, avg. reward: 9.256, 1.764 sec/game, 5.1 min. total, 536.3 MB
cocoa_revisable v2 195 games, 144821 moves, e=0.857, loss: 1295.6, ., 26.9% elo% vs. v1, avg. reward: 9.342, 1.791 sec/game, 5.2 min. total, 537.7 MB
cocoa_revisable v2 196 games, 145557 moves, e=0.856, loss: 1333.0, +, 29.7% elo% vs. v1, avg. reward: 9.280, 1.793 sec/game, 5.2 min. total, 537.8 MB
cocoa_revisable v2 197 games, 146260 moves, e=0.855, loss: 1362.7, +, 32.4% elo% vs. v1, avg. reward: 9.291, 1.773 sec/game, 5.2 min. total, 539.3 MB
cocoa_revisable v2 198 games, 147133 moves, e=0.854, loss: 1416.1, +, 35.2% elo% vs. v1, avg. reward: 9.355, 1.791 sec/game, 5.3 min. total, 539.4 MB
cocoa_revisable v2 199 games, 147961 moves, e=0.854, loss: 1382.9, +, 38.0% elo% vs. v1, avg. reward: 9.463, 1.781 sec/game, 5.3 min. total, 539.4 MB
cocoa_revisable v2 200 games, 148790 moves, e=0.853, loss: 1379.8, -, 36.3% elo% vs. v1, avg. reward: 9.460, 1.794 sec/game, 5.3 min. total, 537.4 MB
cocoa_revisable v3 201 games, 149647 moves, e=0.852, loss: 1425.0, +, 52.3% elo% vs. v1, avg. reward: 9.443, 1.792 sec/game, 5.4 min. total, 539.7 MB
cocoa_revisable v3 202 games, 150395 moves, e=0.851, loss: 1472.7, +, 54.5% elo% vs. v1, avg. reward: 9.466, 1.787 sec/game, 5.4 min. total, 539.5 MB
cocoa_revisable v3 203 games, 151038 moves, e=0.850, loss: 1466.3, +, 56.6% elo% vs. v1, avg. reward: 9.379, 1.752 sec/game, 5.4 min. total, 540.5 MB
cocoa_revisable v3 204 games, 151749 moves, e=0.850, loss: 1392.8, -, 54.0% elo% vs. v1, avg. reward: 9.356, 1.767 sec/game, 5.4 min. total, 542.4 MB
cocoa_revisable v3 205 games, 152494 moves, e=0.849, loss: 1406.6, -, 51.5% elo% vs. v1, avg. reward: 9.430, 1.795 sec/game, 5.5 min. total, 540.5 MB
cocoa_revisable v3 206 games, 153261 moves, e=0.848, loss: 1430.2, -, 49.1% elo% vs. v1, avg. reward: 9.400, 1.772 sec/game, 5.5 min. total, 542.4 MB
cocoa_revisable v3 207 games, 154077 moves, e=0.847, loss: 1376.8, -, 46.9% elo% vs. v1, avg. reward: 9.435, 1.790 sec/game, 5.5 min. total, 542.5 MB
cocoa_revisable v3 208 games, 154925 moves, e=0.847, loss: 1284.1, -, 44.7% elo% vs. v1, avg. reward: 9.429, 1.796 sec/game, 5.6 min. total, 540.6 MB
cocoa_revisable v3 209 games, 155824 moves, e=0.846, loss: 1217.3, -, 42.7% elo% vs. v1, avg. reward: 9.535, 1.811 sec/game, 5.6 min. total, 540.6 MB
cocoa_revisable v3 210 games, 156675 moves, e=0.845, loss: 1202.4, +, 45.3% elo% vs. v1, avg. reward: 9.547, 1.825 sec/game, 5.6 min. total, 540.5 MB
cocoa_revisable v3 211 games, 157444 moves, e=0.844, loss: 1266.2, -, 43.2% elo% vs. v1, avg. reward: 9.590, 1.810 sec/game, 5.7 min. total, 540.9 MB
cocoa_revisable v3 212 games, 158349 moves, e=0.843, loss: 1327.2, +, 45.8% elo% vs. v1, avg. reward: 9.859, 1.839 sec/game, 5.7 min. total, 545.5 MB
cocoa_revisable v3 213 games, 159182 moves, e=0.842, loss: 1465.6, -, 43.7% elo% vs. v1, avg. reward: 9.912, 1.848 sec/game, 5.7 min. total, 545.1 MB
cocoa_revisable v3 214 games, 159971 moves, e=0.842, loss: 1531.8, +, 46.3% elo% vs. v1, avg. reward: 10.073, 1.860 sec/game, 5.8 min. total, 543.7 MB
cocoa_revisable v3 215 games, 160728 moves, e=0.841, loss: 1437.1, -, 44.2% elo% vs. v1, avg. reward: 10.054, 1.849 sec/game, 5.8 min. total, 543.7 MB
cocoa_revisable v3 216 games, 161523 moves, e=0.840, loss: 1463.0, -, 42.2% elo% vs. v1, avg. reward: 10.074, 1.852 sec/game, 5.8 min. total, 546.0 MB
cocoa_revisable v3 217 games, 162238 moves, e=0.839, loss: 1468.8, +, 44.8% elo% vs. v1, avg. reward: 9.967, 1.857 sec/game, 5.8 min. total, 544.0 MB
cocoa_revisable v3 218 games, 163081 moves, e=0.839, loss: 1488.7, +, 47.3% elo% vs. v1, avg. reward: 9.947, 1.858 sec/game, 5.9 min. total, 544.1 MB
cocoa_revisable v3 219 games, 163926 moves, e=0.838, loss: 1484.5, -, 45.2% elo% vs. v1, avg. reward: 9.961, 1.859 sec/game, 5.9 min. total, 547.6 MB
cocoa_revisable v3 220 games, 164650 moves, e=0.837, loss: 1541.3, -, 43.1% elo% vs. v1, avg. reward: 9.929, 1.844 sec/game, 5.9 min. total, 547.7 MB
cocoa_revisable v3 221 games, 165395 moves, e=0.836, loss: 1607.3, +, 45.7% elo% vs. v1, avg. reward: 10.018, 1.827 sec/game, 6.0 min. total, 547.8 MB
cocoa_revisable v3 222 games, 166157 moves, e=0.836, loss: 1636.0, +, 48.2% elo% vs. v1, avg. reward: 10.016, 1.833 sec/game, 6.0 min. total, 549.7 MB
cocoa_revisable v3 223 games, 166951 moves, e=0.835, loss: 1607.6, -, 46.0% elo% vs. v1, avg. reward: 10.038, 1.846 sec/game, 6.0 min. total, 545.8 MB
cocoa_revisable v3 224 games, 167957 moves, e=0.834, loss: 1471.2, ., 46.2% elo% vs. v1, avg. reward: 10.143, 1.874 sec/game, 6.1 min. total, 545.6 MB
cocoa_revisable v3 225 games, 168814 moves, e=0.833, loss: 1638.0, -, 44.1% elo% vs. v1, avg. reward: 10.121, 1.863 sec/game, 6.1 min. total, 548.0 MB
cocoa_revisable v3 226 games, 169478 moves, e=0.832, loss: 1770.1, -, 42.1% elo% vs. v1, avg. reward: 10.017, 1.862 sec/game, 6.1 min. total, 548.3 MB
cocoa_revisable v3 227 games, 170396 moves, e=0.831, loss: 1614.0, +, 44.7% elo% vs. v1, avg. reward: 10.037, 1.874 sec/game, 6.2 min. total, 551.2 MB
cocoa_revisable v3 228 games, 171105 moves, e=0.831, loss: 1502.7, +, 47.2% elo% vs. v1, avg. reward: 10.070, 1.844 sec/game, 6.2 min. total, 553.0 MB
cocoa_revisable v3 229 games, 171877 moves, e=0.830, loss: 1636.1, +, 49.6% elo% vs. v1, avg. reward: 10.095, 1.831 sec/game, 6.2 min. total, 554.9 MB
cocoa_revisable v3 230 games, 172707 moves, e=0.829, loss: 1661.3, -, 47.4% elo% vs. v1, avg. reward: 10.053, 1.832 sec/game, 6.2 min. total, 553.1 MB
cocoa_revisable v3 231 games, 173561 moves, e=0.828, loss: 1632.2, +, 49.8% elo% vs. v1, avg. reward: 10.112, 1.838 sec/game, 6.3 min. total, 553.2 MB
cocoa_revisable v3 232 games, 174311 moves, e=0.827, loss: 1540.4, -, 47.5% elo% vs. v1, avg. reward: 10.022, 1.823 sec/game, 6.3 min. total, 553.0 MB
cocoa_revisable v3 233 games, 175026 moves, e=0.827, loss: 1488.9, -, 45.3% elo% vs. v1, avg. reward: 9.969, 1.815 sec/game, 6.3 min. total, 553.2 MB
cocoa_revisable v3 234 games, 175793 moves, e=0.826, loss: 1458.9, -, 43.3% elo% vs. v1, avg. reward: 10.035, 1.823 sec/game, 6.4 min. total, 553.6 MB
cocoa_revisable v3 235 games, 176716 moves, e=0.825, loss: 1433.2, -, 41.3% elo% vs. v1, avg. reward: 9.958, 1.847 sec/game, 6.4 min. total, 555.4 MB
cocoa_revisable v3 236 games, 177561 moves, e=0.824, loss: 1663.5, -, 39.5% elo% vs. v1, avg. reward: 9.974, 1.863 sec/game, 6.4 min. total, 556.1 MB
cocoa_revisable v3 237 games, 178444 moves, e=0.823, loss: 1653.7, -, 37.8% elo% vs. v1, avg. reward: 10.041, 1.885 sec/game, 6.5 min. total, 556.2 MB
cocoa_revisable v3 238 games, 179196 moves, e=0.823, loss: 1654.2, +, 40.5% elo% vs. v1, avg. reward: 10.011, 1.862 sec/game, 6.5 min. total, 556.2 MB
cocoa_revisable v3 239 games, 180075 moves, e=0.822, loss: 1475.7, -, 38.7% elo% vs. v1, avg. reward: 10.029, 1.872 sec/game, 6.5 min. total, 556.5 MB
cocoa_revisable v3 240 games, 180892 moves, e=0.821, loss: 1801.8, +, 41.4% elo% vs. v1, avg. reward: 10.068, 1.888 sec/game, 6.6 min. total, 556.6 MB
cocoa_revisable v3 241 games, 181642 moves, e=0.820, loss: 1763.4, -, 39.6% elo% vs. v1, avg. reward: 10.194, 1.890 sec/game, 6.6 min. total, 554.8 MB
cocoa_revisable v3 242 games, 182476 moves, e=0.819, loss: 1931.0, -, 37.8% elo% vs. v1, avg. reward: 10.209, 1.891 sec/game, 6.6 min. total, 556.7 MB
cocoa_revisable v3 243 games, 183310 moves, e=0.819, loss: 1863.3, +, 40.6% elo% vs. v1, avg. reward: 10.259, 1.905 sec/game, 6.7 min. total, 557.6 MB
cocoa_revisable v3 244 games, 184019 moves, e=0.818, loss: 1824.2, -, 38.8% elo% vs. v1, avg. reward: 10.301, 1.867 sec/game, 6.7 min. total, 558.2 MB
cocoa_revisable v3 245 games, 184813 moves, e=0.817, loss: 1918.9, -, 37.1% elo% vs. v1, avg. reward: 10.251, 1.866 sec/game, 6.7 min. total, 558.4 MB
cocoa_revisable v3 246 games, 185712 moves, e=0.816, loss: 1951.2, -, 35.5% elo% vs. v1, avg. reward: 10.281, 1.882 sec/game, 6.8 min. total, 558.0 MB
cocoa_revisable v3 247 games, 186585 moves, e=0.815, loss: 1828.0, -, 34.0% elo% vs. v1, avg. reward: 10.342, 1.883 sec/game, 6.8 min. total, 560.2 MB
cocoa_revisable v3 248 games, 187316 moves, e=0.815, loss: 1792.2, -, 32.6% elo% vs. v1, avg. reward: 10.519, 1.894 sec/game, 6.8 min. total, 560.8 MB
cocoa_revisable v3 249 games, 188172 moves, e=0.814, loss: 1806.1, -, 31.3% elo% vs. v1, avg. reward: 10.546, 1.911 sec/game, 6.9 min. total, 559.3 MB
cocoa_revisable v3 250 games, 189138 moves, e=0.813, loss: 1807.9, -, 30.1% elo% vs. v1, avg. reward: 10.566, 1.914 sec/game, 6.9 min. total, 559.5 MB
cocoa_revisable v3 251 games, 189973 moves, e=0.812, loss: 1898.2, -, 29.0% elo% vs. v1, avg. reward: 10.530, 1.932 sec/game, 6.9 min. total, 560.0 MB
cocoa_revisable v3 252 games, 190776 moves, e=0.811, loss: 1855.0, -, 27.9% elo% vs. v1, avg. reward: 10.514, 1.935 sec/game, 7.0 min. total, 562.6 MB
cocoa_revisable v3 253 games, 191466 moves, e=0.810, loss: 1718.4, -, 26.9% elo% vs. v1, avg. reward: 10.568, 1.925 sec/game, 7.0 min. total, 563.5 MB
cocoa_revisable v3 254 games, 192510 moves, e=0.809, loss: 1680.0, -, 25.9% elo% vs. v1, avg. reward: 10.649, 1.948 sec/game, 7.0 min. total, 563.7 MB
cocoa_revisable v3 255 games, 193295 moves, e=0.809, loss: 1751.0, -, 25.0% elo% vs. v1, avg. reward: 10.658, 1.935 sec/game, 7.0 min. total, 563.9 MB
cocoa_revisable v3 256 games, 194075 moves, e=0.808, loss: 1815.0, -, 24.1% elo% vs. v1, avg. reward: 10.755, 1.923 sec/game, 7.1 min. total, 563.7 MB
cocoa_revisable v3 257 games, 194914 moves, e=0.807, loss: 1801.1, -, 23.3% elo% vs. v1, avg. reward: 10.874, 1.905 sec/game, 7.1 min. total, 564.4 MB
cocoa_revisable v3 258 games, 195888 moves, e=0.806, loss: 1736.8, +, 25.9% elo% vs. v1, avg. reward: 10.990, 1.945 sec/game, 7.2 min. total, 564.6 MB
cocoa_revisable v3 259 games, 196699 moves, e=0.805, loss: 1685.0, +, 28.7% elo% vs. v1, avg. reward: 11.035, 1.934 sec/game, 7.2 min. total, 566.5 MB
cocoa_revisable v3 260 games, 197562 moves, e=0.804, loss: 1891.9, ., 29.5% elo% vs. v1, avg. reward: 11.073, 1.934 sec/game, 7.2 min. total, 564.7 MB
cocoa_revisable v3 261 games, 198355 moves, e=0.804, loss: 1984.5, -, 28.4% elo% vs. v1, avg. reward: 11.049, 1.935 sec/game, 7.2 min. total, 566.6 MB
cocoa_revisable v3 262 games, 199208 moves, e=0.803, loss: 2001.4, -, 27.3% elo% vs. v1, avg. reward: 11.146, 1.948 sec/game, 7.3 min. total, 567.5 MB
cocoa_revisable v3 263 games, 199902 moves, e=0.802, loss: 2076.9, +, 30.0% elo% vs. v1, avg. reward: 11.156, 1.922 sec/game, 7.3 min. total, 567.7 MB
cocoa_revisable v3 264 games, 200608 moves, e=0.801, loss: 2097.8, +, 32.8% elo% vs. v1, avg. reward: 11.133, 1.933 sec/game, 7.3 min. total, 567.7 MB
cocoa_revisable v3 265 games, 201377 moves, e=0.801, loss: 2170.3, -, 31.5% elo% vs. v1, avg. reward: 11.094, 1.933 sec/game, 7.4 min. total, 570.0 MB
cocoa_revisable v3 266 games, 202169 moves, e=0.800, loss: 2155.5, +, 34.3% elo% vs. v1, avg. reward: 11.140, 1.922 sec/game, 7.4 min. total, 567.7 MB
cocoa_revisable v3 267 games, 203003 moves, e=0.799, loss: 1956.8, -, 32.9% elo% vs. v1, avg. reward: 11.165, 1.910 sec/game, 7.4 min. total, 567.8 MB
cocoa_revisable v3 268 games, 203879 moves, e=0.798, loss: 2065.2, -, 31.5% elo% vs. v1, avg. reward: 11.112, 1.926 sec/game, 7.5 min. total, 568.1 MB
cocoa_revisable v3 269 games, 204748 moves, e=0.797, loss: 2080.5, +, 34.3% elo% vs. v1, avg. reward: 11.105, 1.925 sec/game, 7.5 min. total, 568.9 MB
cocoa_revisable v3 270 games, 205468 moves, e=0.797, loss: 2087.6, ., 35.0% elo% vs. v1, avg. reward: 11.080, 1.910 sec/game, 7.5 min. total, 570.9 MB
cocoa_revisable v3 271 games, 206322 moves, e=0.796, loss: 2005.8, +, 37.8% elo% vs. v1, avg. reward: 11.078, 1.896 sec/game, 7.6 min. total, 570.8 MB
cocoa_revisable v3 272 games, 207251 moves, e=0.795, loss: 2156.3, -, 36.1% elo% vs. v1, avg. reward: 11.189, 1.923 sec/game, 7.6 min. total, 570.8 MB
cocoa_revisable v3 273 games, 207963 moves, e=0.794, loss: 2091.2, -, 34.6% elo% vs. v1, avg. reward: 11.052, 1.925 sec/game, 7.6 min. total, 570.9 MB
cocoa_revisable v3 274 games, 208832 moves, e=0.793, loss: 2026.1, +, 37.4% elo% vs. v1, avg. reward: 11.035, 1.911 sec/game, 7.7 min. total, 573.0 MB
cocoa_revisable v3 275 games, 209563 moves, e=0.793, loss: 1880.5, -, 35.8% elo% vs. v1, avg. reward: 10.968, 1.903 sec/game, 7.7 min. total, 570.4 MB
cocoa_revisable v3 276 games, 210439 moves, e=0.792, loss: 1903.7, -, 34.3% elo% vs. v1, avg. reward: 11.012, 1.913 sec/game, 7.7 min. total, 571.1 MB
cocoa_revisable v3 277 games, 211490 moves, e=0.791, loss: 1885.5, -, 32.9% elo% vs. v1, avg. reward: 11.069, 1.942 sec/game, 7.8 min. total, 571.2 MB
cocoa_revisable v3 278 games, 212227 moves, e=0.790, loss: 1780.2, +, 35.7% elo% vs. v1, avg. reward: 11.197, 1.911 sec/game, 7.8 min. total, 572.9 MB
cocoa_revisable v3 279 games, 213051 moves, e=0.789, loss: 1762.4, -, 34.2% elo% vs. v1, avg. reward: 11.263, 1.914 sec/game, 7.8 min. total, 574.9 MB
cocoa_revisable v3 280 games, 213800 moves, e=0.788, loss: 1858.4, -, 32.8% elo% vs. v1, avg. reward: 11.208, 1.901 sec/game, 7.8 min. total, 574.9 MB
cocoa_revisable v3 281 games, 214706 moves, e=0.787, loss: 1861.2, -, 31.5% elo% vs. v1, avg. reward: 11.226, 1.918 sec/game, 7.9 min. total, 575.1 MB
cocoa_revisable v3 282 games, 215479 moves, e=0.787, loss: 1855.2, -, 30.2% elo% vs. v1, avg. reward: 11.165, 1.907 sec/game, 7.9 min. total, 572.5 MB
cocoa_revisable v3 283 games, 216387 moves, e=0.786, loss: 1786.6, -, 29.1% elo% vs. v1, avg. reward: 11.132, 1.936 sec/game, 7.9 min. total, 575.0 MB
cocoa_revisable v3 284 games, 217373 moves, e=0.785, loss: 1926.4, +, 31.8% elo% vs. v1, avg. reward: 11.207, 1.967 sec/game, 8.0 min. total, 572.6 MB
cocoa_revisable v3 285 games, 218161 moves, e=0.784, loss: 1948.6, +, 34.6% elo% vs. v1, avg. reward: 11.281, 1.971 sec/game, 8.0 min. total, 576.1 MB
cocoa_revisable v3 286 games, 219000 moves, e=0.783, loss: 2061.0, +, 37.4% elo% vs. v1, avg. reward: 11.303, 1.973 sec/game, 8.1 min. total, 577.4 MB
cocoa_revisable v3 287 games, 219944 moves, e=0.782, loss: 1835.5, -, 35.8% elo% vs. v1, avg. reward: 11.260, 1.998 sec/game, 8.1 min. total, 580.0 MB
cocoa_revisable v3 288 games, 220751 moves, e=0.781, loss: 2027.8, -, 34.3% elo% vs. v1, avg. reward: 11.388, 1.987 sec/game, 8.1 min. total, 578.0 MB
cocoa_revisable v3 289 games, 221632 moves, e=0.781, loss: 2062.5, -, 32.9% elo% vs. v1, avg. reward: 11.346, 1.987 sec/game, 8.2 min. total, 576.1 MB
cocoa_revisable v3 290 games, 222543 moves, e=0.780, loss: 2015.7, -, 31.6% elo% vs. v1, avg. reward: 11.472, 2.002 sec/game, 8.2 min. total, 576.2 MB
cocoa_revisable v3 291 games, 223323 moves, e=0.779, loss: 2029.1, -, 30.3% elo% vs. v1, avg. reward: 11.491, 1.995 sec/game, 8.2 min. total, 576.1 MB
cocoa_revisable v3 292 games, 224396 moves, e=0.778, loss: 1893.5, -, 29.1% elo% vs. v1, avg. reward: 11.573, 2.014 sec/game, 8.3 min. total, 578.0 MB
cocoa_revisable v3 293 games, 225161 moves, e=0.777, loss: 1850.6, -, 28.1% elo% vs. v1, avg. reward: 11.554, 2.026 sec/game, 8.3 min. total, 578.0 MB
cocoa_revisable v3 294 games, 226127 moves, e=0.776, loss: 1905.5, -, 27.0% elo% vs. v1, avg. reward: 11.459, 2.031 sec/game, 8.3 min. total, 579.6 MB
cocoa_revisable v3 295 games, 226989 moves, e=0.775, loss: 1892.5, -, 26.0% elo% vs. v1, avg. reward: 11.517, 2.044 sec/game, 8.4 min. total, 581.2 MB
cocoa_revisable v3 296 games, 227767 moves, e=0.775, loss: 1915.9, -, 25.1% elo% vs. v1, avg. reward: 11.595, 2.038 sec/game, 8.4 min. total, 581.4 MB
cocoa_revisable v3 297 games, 228632 moves, e=0.774, loss: 1852.7, ., 26.0% elo% vs. v1, avg. reward: 11.651, 2.044 sec/game, 8.4 min. total, 579.5 MB
cocoa_revisable v3 298 games, 229735 moves, e=0.773, loss: 1764.0, -, 25.1% elo% vs. v1, avg. reward: 11.721, 2.105 sec/game, 8.5 min. total, 579.6 MB
cocoa_revisable v3 299 games, 230448 moves, e=0.772, loss: 1836.4, -, 24.2% elo% vs. v1, avg. reward: 11.611, 2.125 sec/game, 8.5 min. total, 581.4 MB
cocoa_revisable v3 300 games, 231301 moves, e=0.771, loss: 1862.5, -, 23.4% elo% vs. v1, avg. reward: 11.737, 2.160 sec/game, 8.6 min. total, 581.4 MB
cocoa_revisable v4 301 games, 232142 moves, e=0.770, loss: 1797.3, -, 47.7% elo% vs. v1, avg. reward: 11.659, 2.187 sec/game, 8.6 min. total, 581.5 MB
cocoa_revisable v4 302 games, 232922 moves, e=0.769, loss: 1735.1, -, 45.5% elo% vs. v1, avg. reward: 11.610, 2.213 sec/game, 8.7 min. total, 581.7 MB
cocoa_revisable v4 303 games, 233818 moves, e=0.769, loss: 1716.3, -, 43.4% elo% vs. v1, avg. reward: 11.727, 2.246 sec/game, 8.7 min. total, 582.8 MB
cocoa_revisable v4 304 games, 234729 moves, e=0.768, loss: 1807.4, -, 41.5% elo% vs. v1, avg. reward: 11.780, 2.256 sec/game, 8.7 min. total, 584.7 MB
