magnetize_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
magnetize_flanked v5 297 games, 228952 moves, e=0.773, loss: 4.0, -, 10.5% elo% vs. random_no_suicide, avg. reward: -7.228, 1.861 sec/game, 7.6 min. total, 534.0 MB
magnetize_flanked v5 298 games, 229773 moves, e=0.773, loss: 4.3, +, 12.1% elo% vs. random_no_suicide, avg. reward: -7.235, 1.860 sec/game, 7.6 min. total, 533.7 MB
magnetize_flanked v5 299 games, 230642 moves, e=0.772, loss: 4.1, -, 11.9% elo% vs. random_no_suicide, avg. reward: -7.229, 1.852 sec/game, 7.6 min. total, 534.0 MB
magnetize_flanked v5 300 games, 231362 moves, e=0.771, loss: 4.1, -, 11.7% elo% vs. random_no_suicide, avg. reward: -7.226, 1.852 sec/game, 7.7 min. total, 534.2 MB
magnetize_flanked v6 301 games, 232323 moves, e=0.770, loss: 4.2, ., 50.0% elo% vs. random_no_suicide, avg. reward: -7.187, 1.867 sec/game, 7.7 min. total, 534.4 MB
magnetize_flanked v6 302 games, 233168 moves, e=0.769, loss: 4.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: -7.186, 1.858 sec/game, 7.7 min. total, 534.3 MB
magnetize_flanked v6 303 games, 233982 moves, e=0.768, loss: 4.2, -, 45.5% elo% vs. random_no_suicide, avg. reward: -7.194, 1.857 sec/game, 7.8 min. total, 534.4 MB
magnetize_flanked v6 304 games, 234800 moves, e=0.768, loss: 4.3, -, 43.4% elo% vs. random_no_suicide, avg. reward: -7.182, 1.871 sec/game, 7.8 min. total, 534.4 MB
magnetize_flanked v6 305 games, 235749 moves, e=0.767, loss: 4.1, -, 41.5% elo% vs. random_no_suicide, avg. reward: -7.161, 1.869 sec/game, 7.8 min. total, 540.1 MB
magnetize_flanked v6 306 games, 236520 moves, e=0.766, loss: 4.4, -, 39.6% elo% vs. random_no_suicide, avg. reward: -7.168, 1.866 sec/game, 7.9 min. total, 541.1 MB
magnetize_flanked v6 307 games, 237270 moves, e=0.765, loss: 4.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: -7.168, 1.855 sec/game, 7.9 min. total, 541.5 MB
magnetize_flanked v6 308 games, 238012 moves, e=0.764, loss: 4.7, +, 40.6% elo% vs. random_no_suicide, avg. reward: -7.169, 1.852 sec/game, 7.9 min. total, 536.5 MB
magnetize_flanked v6 309 games, 238899 moves, e=0.763, loss: 4.7, -, 38.8% elo% vs. random_no_suicide, avg. reward: -7.164, 1.854 sec/game, 7.9 min. total, 537.1 MB
magnetize_flanked v6 310 games, 239663 moves, e=0.763, loss: 4.6, -, 37.2% elo% vs. random_no_suicide, avg. reward: -7.170, 1.854 sec/game, 8.0 min. total, 537.1 MB
magnetize_flanked v6 311 games, 240500 moves, e=0.762, loss: 4.6, -, 35.6% elo% vs. random_no_suicide, avg. reward: -7.164, 1.859 sec/game, 8.0 min. total, 542.4 MB
magnetize_flanked v6 312 games, 241461 moves, e=0.761, loss: 4.8, -, 34.1% elo% vs. random_no_suicide, avg. reward: -7.136, 1.871 sec/game, 8.0 min. total, 537.9 MB
magnetize_flanked v6 313 games, 242316 moves, e=0.760, loss: 4.6, -, 32.7% elo% vs. random_no_suicide, avg. reward: -7.132, 1.857 sec/game, 8.1 min. total, 537.9 MB
magnetize_flanked v6 314 games, 243062 moves, e=0.759, loss: 4.5, -, 31.4% elo% vs. random_no_suicide, avg. reward: -7.148, 1.837 sec/game, 8.1 min. total, 542.4 MB
magnetize_flanked v6 315 games, 243895 moves, e=0.759, loss: 4.7, -, 30.2% elo% vs. random_no_suicide, avg. reward: -7.153, 1.836 sec/game, 8.1 min. total, 542.9 MB
magnetize_flanked v6 316 games, 244653 moves, e=0.758, loss: 4.4, -, 29.0% elo% vs. random_no_suicide, avg. reward: -7.151, 1.835 sec/game, 8.2 min. total, 539.6 MB
magnetize_flanked v6 317 games, 245459 moves, e=0.757, loss: 4.3, -, 27.9% elo% vs. random_no_suicide, avg. reward: -7.152, 1.825 sec/game, 8.2 min. total, 538.3 MB
magnetize_flanked v6 318 games, 246343 moves, e=0.756, loss: 4.2, -, 26.9% elo% vs. random_no_suicide, avg. reward: -7.146, 1.832 sec/game, 8.2 min. total, 538.9 MB
magnetize_flanked v6 319 games, 247210 moves, e=0.755, loss: 3.9, -, 25.9% elo% vs. random_no_suicide, avg. reward: -7.127, 1.839 sec/game, 8.2 min. total, 538.9 MB
magnetize_flanked v6 320 games, 248003 moves, e=0.754, loss: 3.9, -, 25.0% elo% vs. random_no_suicide, avg. reward: -7.132, 1.835 sec/game, 8.3 min. total, 543.5 MB
magnetize_flanked v6 321 games, 248894 moves, e=0.754, loss: 4.0, -, 24.2% elo% vs. random_no_suicide, avg. reward: -7.119, 1.818 sec/game, 8.3 min. total, 539.2 MB
magnetize_flanked v6 322 games, 249763 moves, e=0.753, loss: 4.0, +, 26.8% elo% vs. random_no_suicide, avg. reward: -7.101, 1.824 sec/game, 8.3 min. total, 539.0 MB
magnetize_flanked v6 323 games, 250660 moves, e=0.752, loss: 4.3, +, 29.5% elo% vs. random_no_suicide, avg. reward: -7.098, 1.832 sec/game, 8.4 min. total, 539.2 MB
magnetize_flanked v6 324 games, 251495 moves, e=0.751, loss: 4.2, -, 28.4% elo% vs. random_no_suicide, avg. reward: -7.093, 1.816 sec/game, 8.4 min. total, 544.6 MB
magnetize_flanked v6 325 games, 252295 moves, e=0.750, loss: 4.3, -, 27.4% elo% vs. random_no_suicide, avg. reward: -7.096, 1.806 sec/game, 8.4 min. total, 542.0 MB
magnetize_flanked v6 326 games, 253191 moves, e=0.749, loss: 4.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: -7.085, 1.822 sec/game, 8.5 min. total, 545.7 MB
magnetize_flanked v6 327 games, 254113 moves, e=0.748, loss: 4.0, -, 25.4% elo% vs. random_no_suicide, avg. reward: -7.070, 1.833 sec/game, 8.5 min. total, 541.3 MB
magnetize_flanked v6 328 games, 254971 moves, e=0.748, loss: 4.1, -, 24.6% elo% vs. random_no_suicide, avg. reward: -7.067, 1.839 sec/game, 8.5 min. total, 545.8 MB
magnetize_flanked v6 329 games, 255964 moves, e=0.747, loss: 4.4, -, 23.7% elo% vs. random_no_suicide, avg. reward: -7.057, 1.850 sec/game, 8.6 min. total, 541.5 MB
magnetize_flanked v6 330 games, 256862 moves, e=0.746, loss: 4.4, -, 23.0% elo% vs. random_no_suicide, avg. reward: -7.052, 1.866 sec/game, 8.6 min. total, 541.5 MB
magnetize_flanked v6 331 games, 257713 moves, e=0.745, loss: 4.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: -7.040, 1.878 sec/game, 8.6 min. total, 541.6 MB
magnetize_flanked v6 332 games, 258607 moves, e=0.744, loss: 4.2, -, 21.5% elo% vs. random_no_suicide, avg. reward: -7.025, 1.867 sec/game, 8.7 min. total, 541.7 MB
magnetize_flanked v6 333 games, 259489 moves, e=0.743, loss: 4.4, -, 20.9% elo% vs. random_no_suicide, avg. reward: -7.012, 1.870 sec/game, 8.7 min. total, 546.4 MB
magnetize_flanked v6 334 games, 260287 moves, e=0.742, loss: 4.3, -, 20.2% elo% vs. random_no_suicide, avg. reward: -7.007, 1.881 sec/game, 8.7 min. total, 543.4 MB
magnetize_flanked v6 335 games, 261261 moves, e=0.741, loss: 4.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: -6.994, 1.896 sec/game, 8.8 min. total, 544.0 MB
magnetize_flanked v6 336 games, 262195 moves, e=0.740, loss: 4.2, -, 19.1% elo% vs. random_no_suicide, avg. reward: -6.979, 1.910 sec/game, 8.8 min. total, 544.2 MB
magnetize_flanked v6 337 games, 262975 moves, e=0.740, loss: 4.5, ., 20.0% elo% vs. random_no_suicide, avg. reward: -6.991, 1.905 sec/game, 8.8 min. total, 544.0 MB
magnetize_flanked v6 338 games, 263756 moves, e=0.739, loss: 4.2, ., 20.9% elo% vs. random_no_suicide, avg. reward: -6.991, 1.890 sec/game, 8.8 min. total, 544.1 MB
magnetize_flanked v6 339 games, 264559 moves, e=0.738, loss: 4.3, +, 23.4% elo% vs. random_no_suicide, avg. reward: -6.978, 1.884 sec/game, 8.9 min. total, 544.3 MB
magnetize_flanked v6 340 games, 265507 moves, e=0.737, loss: 4.2, -, 22.6% elo% vs. random_no_suicide, avg. reward: -6.980, 1.913 sec/game, 8.9 min. total, 544.6 MB
magnetize_flanked v6 341 games, 266361 moves, e=0.736, loss: 4.3, ., 23.5% elo% vs. random_no_suicide, avg. reward: -6.958, 1.909 sec/game, 8.9 min. total, 544.5 MB
magnetize_flanked v6 342 games, 267148 moves, e=0.736, loss: 4.4, -, 22.7% elo% vs. random_no_suicide, avg. reward: -6.967, 1.915 sec/game, 9.0 min. total, 544.6 MB
magnetize_flanked v6 343 games, 267934 moves, e=0.735, loss: 4.6, -, 22.0% elo% vs. random_no_suicide, avg. reward: -6.971, 1.908 sec/game, 9.0 min. total, 545.4 MB
magnetize_flanked v6 344 games, 268774 moves, e=0.734, loss: 4.5, -, 21.3% elo% vs. random_no_suicide, avg. reward: -6.978, 1.918 sec/game, 9.0 min. total, 547.1 MB
magnetize_flanked v6 345 games, 269554 moves, e=0.733, loss: 4.7, -, 20.7% elo% vs. random_no_suicide, avg. reward: -6.973, 1.915 sec/game, 9.1 min. total, 552.4 MB
magnetize_flanked v6 346 games, 270416 moves, e=0.732, loss: 4.6, +, 23.2% elo% vs. random_no_suicide, avg. reward: -6.985, 1.916 sec/game, 9.1 min. total, 548.1 MB
magnetize_flanked v6 347 games, 271245 moves, e=0.731, loss: 4.4, ., 24.1% elo% vs. random_no_suicide, avg. reward: -6.992, 1.915 sec/game, 9.1 min. total, 547.7 MB
magnetize_flanked v6 348 games, 271979 moves, e=0.731, loss: 4.4, +, 26.7% elo% vs. random_no_suicide, avg. reward: -7.000, 1.898 sec/game, 9.2 min. total, 548.0 MB
magnetize_flanked v6 349 games, 272874 moves, e=0.730, loss: 4.4, -, 25.8% elo% vs. random_no_suicide, avg. reward: -6.994, 1.886 sec/game, 9.2 min. total, 552.7 MB
magnetize_flanked v6 350 games, 273751 moves, e=0.729, loss: 4.1, -, 24.9% elo% vs. random_no_suicide, avg. reward: -6.979, 1.882 sec/game, 9.2 min. total, 548.2 MB
magnetize_flanked v6 351 games, 274560 moves, e=0.728, loss: 4.2, -, 24.0% elo% vs. random_no_suicide, avg. reward: -6.974, 1.880 sec/game, 9.3 min. total, 548.2 MB
magnetize_flanked v6 352 games, 275380 moves, e=0.727, loss: 4.0, -, 23.2% elo% vs. random_no_suicide, avg. reward: -6.965, 1.872 sec/game, 9.3 min. total, 548.6 MB
magnetize_flanked v6 353 games, 276398 moves, e=0.726, loss: 4.2, -, 22.5% elo% vs. random_no_suicide, avg. reward: -6.945, 1.886 sec/game, 9.3 min. total, 548.8 MB
magnetize_flanked v6 354 games, 277252 moves, e=0.726, loss: 4.3, ., 23.4% elo% vs. random_no_suicide, avg. reward: -6.941, 1.897 sec/game, 9.4 min. total, 550.2 MB
magnetize_flanked v6 355 games, 278145 moves, e=0.725, loss: 4.3, -, 22.6% elo% vs. random_no_suicide, avg. reward: -6.939, 1.885 sec/game, 9.4 min. total, 550.6 MB
magnetize_flanked v6 356 games, 279023 moves, e=0.724, loss: 4.5, +, 25.2% elo% vs. random_no_suicide, avg. reward: -6.933, 1.874 sec/game, 9.4 min. total, 550.9 MB
magnetize_flanked v6 357 games, 279805 moves, e=0.723, loss: 4.4, ., 26.1% elo% vs. random_no_suicide, avg. reward: -6.940, 1.875 sec/game, 9.4 min. total, 550.7 MB
magnetize_flanked v6 358 games, 280658 moves, e=0.722, loss: 4.2, -, 25.1% elo% vs. random_no_suicide, avg. reward: -6.941, 1.890 sec/game, 9.5 min. total, 551.1 MB
magnetize_flanked v6 359 games, 281480 moves, e=0.721, loss: 4.5, -, 24.3% elo% vs. random_no_suicide, avg. reward: -6.927, 1.903 sec/game, 9.5 min. total, 551.1 MB
magnetize_flanked v6 360 games, 282248 moves, e=0.721, loss: 4.5, -, 23.5% elo% vs. random_no_suicide, avg. reward: -6.949, 1.880 sec/game, 9.5 min. total, 551.0 MB
magnetize_flanked v6 361 games, 283121 moves, e=0.720, loss: 4.6, -, 22.7% elo% vs. random_no_suicide, avg. reward: -6.943, 1.880 sec/game, 9.6 min. total, 555.7 MB
magnetize_flanked v6 362 games, 284012 moves, e=0.719, loss: 4.4, -, 22.0% elo% vs. random_no_suicide, avg. reward: -6.946, 1.882 sec/game, 9.6 min. total, 556.0 MB
magnetize_flanked v6 363 games, 284925 moves, e=0.718, loss: 4.5, -, 21.3% elo% vs. random_no_suicide, avg. reward: -6.930, 1.898 sec/game, 9.6 min. total, 551.3 MB
magnetize_flanked v6 364 games, 285801 moves, e=0.717, loss: 4.4, -, 20.6% elo% vs. random_no_suicide, avg. reward: -6.906, 1.908 sec/game, 9.7 min. total, 552.4 MB
magnetize_flanked v6 365 games, 286698 moves, e=0.716, loss: 4.5, -, 20.0% elo% vs. random_no_suicide, avg. reward: -6.907, 1.923 sec/game, 9.7 min. total, 557.3 MB
magnetize_flanked v6 366 games, 287556 moves, e=0.715, loss: 4.3, -, 19.4% elo% vs. random_no_suicide, avg. reward: -6.908, 1.922 sec/game, 9.7 min. total, 552.9 MB
magnetize_flanked v6 367 games, 288422 moves, e=0.714, loss: 4.4, -, 18.9% elo% vs. random_no_suicide, avg. reward: -6.908, 1.921 sec/game, 9.8 min. total, 552.8 MB
magnetize_flanked v6 368 games, 289219 moves, e=0.714, loss: 4.5, -, 18.4% elo% vs. random_no_suicide, avg. reward: -6.903, 1.935 sec/game, 9.8 min. total, 552.7 MB
magnetize_flanked v6 369 games, 290072 moves, e=0.713, loss: 4.5, -, 17.9% elo% vs. random_no_suicide, avg. reward: -6.903, 1.940 sec/game, 9.8 min. total, 553.0 MB
magnetize_flanked v6 370 games, 291011 moves, e=0.712, loss: 4.4, -, 17.4% elo% vs. random_no_suicide, avg. reward: -6.896, 1.942 sec/game, 9.9 min. total, 552.9 MB
magnetize_flanked v6 371 games, 291933 moves, e=0.711, loss: 4.2, -, 16.9% elo% vs. random_no_suicide, avg. reward: -6.891, 1.947 sec/game, 9.9 min. total, 553.1 MB
magnetize_flanked v6 372 games, 292726 moves, e=0.710, loss: 4.1, -, 16.5% elo% vs. random_no_suicide, avg. reward: -6.887, 1.944 sec/game, 9.9 min. total, 553.2 MB
magnetize_flanked v6 373 games, 293556 moves, e=0.709, loss: 4.0, -, 16.1% elo% vs. random_no_suicide, avg. reward: -6.878, 1.929 sec/game, 10.0 min. total, 553.7 MB
magnetize_flanked v6 374 games, 294348 moves, e=0.709, loss: 4.0, -, 15.7% elo% vs. random_no_suicide, avg. reward: -6.896, 1.918 sec/game, 10.0 min. total, 555.3 MB
magnetize_flanked v6 375 games, 295192 moves, e=0.708, loss: 4.1, -, 15.3% elo% vs. random_no_suicide, avg. reward: -6.883, 1.916 sec/game, 10.0 min. total, 555.4 MB
magnetize_flanked v6 376 games, 296113 moves, e=0.707, loss: 4.1, -, 14.9% elo% vs. random_no_suicide, avg. reward: -6.884, 1.929 sec/game, 10.1 min. total, 555.9 MB
magnetize_flanked v6 377 games, 297071 moves, e=0.706, loss: 4.0, -, 14.6% elo% vs. random_no_suicide, avg. reward: -6.874, 1.942 sec/game, 10.1 min. total, 555.8 MB
magnetize_flanked v6 378 games, 298007 moves, e=0.705, loss: 4.0, -, 14.3% elo% vs. random_no_suicide, avg. reward: -6.875, 1.949 sec/game, 10.1 min. total, 556.2 MB
magnetize_flanked v6 379 games, 298892 moves, e=0.704, loss: 4.0, -, 13.9% elo% vs. random_no_suicide, avg. reward: -6.865, 1.951 sec/game, 10.2 min. total, 556.1 MB
magnetize_flanked v6 380 games, 299825 moves, e=0.703, loss: 4.0, ., 14.8% elo% vs. random_no_suicide, avg. reward: -6.850, 1.966 sec/game, 10.2 min. total, 556.2 MB
magnetize_flanked v6 381 games, 300588 moves, e=0.702, loss: 4.0, +, 16.8% elo% vs. random_no_suicide, avg. reward: -6.860, 1.965 sec/game, 10.2 min. total, 555.6 MB
magnetize_flanked v6 382 games, 301467 moves, e=0.702, loss: 4.0, -, 16.4% elo% vs. random_no_suicide, avg. reward: -6.865, 1.967 sec/game, 10.3 min. total, 555.9 MB
magnetize_flanked v6 383 games, 302249 moves, e=0.701, loss: 4.0, -, 16.0% elo% vs. random_no_suicide, avg. reward: -6.872, 1.953 sec/game, 10.3 min. total, 557.2 MB
magnetize_flanked v6 384 games, 303089 moves, e=0.700, loss: 4.2, -, 15.6% elo% vs. random_no_suicide, avg. reward: -6.860, 1.942 sec/game, 10.3 min. total, 558.6 MB
magnetize_flanked v6 385 games, 304175 moves, e=0.699, loss: 4.4, -, 15.2% elo% vs. random_no_suicide, avg. reward: -6.849, 1.965 sec/game, 10.4 min. total, 559.7 MB
magnetize_flanked v6 386 games, 305154 moves, e=0.698, loss: 4.0, +, 17.4% elo% vs. random_no_suicide, avg. reward: -6.830, 1.971 sec/game, 10.4 min. total, 559.8 MB
magnetize_flanked v6 387 games, 305907 moves, e=0.697, loss: 3.9, -, 16.9% elo% vs. random_no_suicide, avg. reward: -6.838, 1.948 sec/game, 10.4 min. total, 559.8 MB
magnetize_flanked v6 388 games, 306839 moves, e=0.696, loss: 4.0, -, 16.5% elo% vs. random_no_suicide, avg. reward: -6.822, 1.966 sec/game, 10.5 min. total, 560.0 MB
magnetize_flanked v6 389 games, 307890 moves, e=0.695, loss: 4.2, +, 18.7% elo% vs. random_no_suicide, avg. reward: -6.805, 1.972 sec/game, 10.5 min. total, 560.3 MB
magnetize_flanked v6 390 games, 308776 moves, e=0.694, loss: 4.0, +, 21.1% elo% vs. random_no_suicide, avg. reward: -6.805, 1.975 sec/game, 10.5 min. total, 560.7 MB
magnetize_flanked v6 391 games, 309767 moves, e=0.693, loss: 3.9, -, 20.5% elo% vs. random_no_suicide, avg. reward: -6.782, 1.988 sec/game, 10.6 min. total, 561.0 MB
magnetize_flanked v6 392 games, 310681 moves, e=0.692, loss: 4.1, +, 22.9% elo% vs. random_no_suicide, avg. reward: -6.787, 1.997 sec/game, 10.6 min. total, 560.7 MB
magnetize_flanked v6 393 games, 311439 moves, e=0.692, loss: 3.8, -, 22.2% elo% vs. random_no_suicide, avg. reward: -6.810, 1.981 sec/game, 10.6 min. total, 561.9 MB
magnetize_flanked v6 394 games, 312237 moves, e=0.691, loss: 3.8, +, 24.8% elo% vs. random_no_suicide, avg. reward: -6.822, 1.978 sec/game, 10.7 min. total, 562.0 MB
magnetize_flanked v6 395 games, 313157 moves, e=0.690, loss: 4.0, -, 23.9% elo% vs. random_no_suicide, avg. reward: -6.817, 1.975 sec/game, 10.7 min. total, 562.2 MB
magnetize_flanked v6 396 games, 314001 moves, e=0.689, loss: 4.0, -, 23.1% elo% vs. random_no_suicide, avg. reward: -6.819, 1.968 sec/game, 10.7 min. total, 562.0 MB
magnetize_flanked v6 397 games, 314842 moves, e=0.688, loss: 4.6, +, 25.8% elo% vs. random_no_suicide, avg. reward: -6.818, 1.951 sec/game, 10.7 min. total, 561.8 MB
magnetize_flanked v6 398 games, 315762 moves, e=0.687, loss: 4.5, -, 24.9% elo% vs. random_no_suicide, avg. reward: -6.804, 1.935 sec/game, 10.8 min. total, 562.6 MB
magnetize_flanked v6 399 games, 316600 moves, e=0.687, loss: 4.2, -, 24.0% elo% vs. random_no_suicide, avg. reward: -6.808, 1.933 sec/game, 10.8 min. total, 562.9 MB
magnetize_flanked v6 400 games, 317593 moves, e=0.686, loss: 4.2, +, 26.7% elo% vs. random_no_suicide, avg. reward: -6.783, 1.945 sec/game, 10.8 min. total, 562.8 MB
magnetize_flanked v7 401 games, 318550 moves, e=0.685, loss: 4.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: -6.781, 1.955 sec/game, 10.9 min. total, 563.3 MB
magnetize_flanked v7 402 games, 319371 moves, e=0.684, loss: 4.2, -, 45.5% elo% vs. random_no_suicide, avg. reward: -6.783, 1.945 sec/game, 10.9 min. total, 564.9 MB
magnetize_flanked v7 403 games, 320204 moves, e=0.683, loss: 4.3, -, 43.4% elo% vs. random_no_suicide, avg. reward: -6.782, 1.942 sec/game, 10.9 min. total, 565.1 MB
magnetize_flanked v7 404 games, 321120 moves, e=0.682, loss: 4.3, -, 41.5% elo% vs. random_no_suicide, avg. reward: -6.771, 1.948 sec/game, 11.0 min. total, 564.9 MB
magnetize_flanked v7 405 games, 322003 moves, e=0.681, loss: 4.4, -, 39.6% elo% vs. random_no_suicide, avg. reward: -6.775, 1.918 sec/game, 11.0 min. total, 565.4 MB
magnetize_flanked v7 406 games, 322857 moves, e=0.680, loss: 4.2, -, 37.9% elo% vs. random_no_suicide, avg. reward: -6.769, 1.910 sec/game, 11.0 min. total, 565.3 MB
magnetize_flanked v7 407 games, 323700 moves, e=0.680, loss: 4.1, +, 40.6% elo% vs. random_no_suicide, avg. reward: -6.762, 1.923 sec/game, 11.1 min. total, 565.4 MB
magnetize_flanked v7 408 games, 324655 moves, e=0.679, loss: 4.1, -, 38.8% elo% vs. random_no_suicide, avg. reward: -6.742, 1.926 sec/game, 11.1 min. total, 565.6 MB
magnetize_flanked v7 409 games, 325400 moves, e=0.678, loss: 3.9, -, 37.2% elo% vs. random_no_suicide, avg. reward: -6.754, 1.900 sec/game, 11.1 min. total, 566.0 MB
magnetize_flanked v7 410 games, 326430 moves, e=0.677, loss: 4.0, -, 35.6% elo% vs. random_no_suicide, avg. reward: -6.734, 1.905 sec/game, 11.2 min. total, 566.0 MB
magnetize_flanked v7 411 games, 327470 moves, e=0.676, loss: 4.2, +, 38.3% elo% vs. random_no_suicide, avg. reward: -6.721, 1.900 sec/game, 11.2 min. total, 566.5 MB
magnetize_flanked v7 412 games, 328586 moves, e=0.675, loss: 4.1, ., 38.8% elo% vs. random_no_suicide, avg. reward: -6.714, 1.922 sec/game, 11.2 min. total, 567.4 MB
magnetize_flanked v7 413 games, 329651 moves, e=0.674, loss: 4.2, +, 41.6% elo% vs. random_no_suicide, avg. reward: -6.695, 1.949 sec/game, 11.3 min. total, 567.2 MB
magnetize_flanked v7 414 games, 330546 moves, e=0.673, loss: 4.2, -, 39.7% elo% vs. random_no_suicide, avg. reward: -6.678, 1.962 sec/game, 11.3 min. total, 567.6 MB
magnetize_flanked v7 415 games, 331389 moves, e=0.672, loss: 4.1, -, 38.0% elo% vs. random_no_suicide, avg. reward: -6.681, 1.953 sec/game, 11.3 min. total, 567.6 MB
magnetize_flanked v7 416 games, 332345 moves, e=0.671, loss: 3.9, -, 36.3% elo% vs. random_no_suicide, avg. reward: -6.664, 1.965 sec/game, 11.4 min. total, 567.7 MB
magnetize_flanked v7 417 games, 333275 moves, e=0.670, loss: 4.1, +, 39.1% elo% vs. random_no_suicide, avg. reward: -6.653, 1.977 sec/game, 11.4 min. total, 568.1 MB
magnetize_flanked v7 418 games, 334170 moves, e=0.669, loss: 4.1, ., 39.6% elo% vs. random_no_suicide, avg. reward: -6.653, 1.978 sec/game, 11.4 min. total, 568.5 MB
magnetize_flanked v7 419 games, 335108 moves, e=0.668, loss: 3.9, +, 42.3% elo% vs. random_no_suicide, avg. reward: -6.655, 1.983 sec/game, 11.5 min. total, 568.5 MB
magnetize_flanked v7 420 games, 336105 moves, e=0.667, loss: 4.2, -, 40.4% elo% vs. random_no_suicide, avg. reward: -6.641, 1.972 sec/game, 11.5 min. total, 570.2 MB
magnetize_flanked v7 421 games, 337113 moves, e=0.666, loss: 3.8, -, 38.6% elo% vs. random_no_suicide, avg. reward: -6.635, 1.980 sec/game, 11.5 min. total, 571.1 MB
magnetize_flanked v7 422 games, 338335 moves, e=0.665, loss: 3.9, -, 36.9% elo% vs. random_no_suicide, avg. reward: -6.616, 2.018 sec/game, 11.6 min. total, 571.2 MB
magnetize_flanked v7 423 games, 339293 moves, e=0.664, loss: 3.8, -, 35.4% elo% vs. random_no_suicide, avg. reward: -6.610, 2.033 sec/game, 11.6 min. total, 571.3 MB
magnetize_flanked v7 424 games, 340039 moves, e=0.663, loss: 3.8, -, 33.9% elo% vs. random_no_suicide, avg. reward: -6.616, 2.022 sec/game, 11.6 min. total, 573.5 MB
magnetize_flanked v7 425 games, 340896 moves, e=0.663, loss: 3.6, -, 32.5% elo% vs. random_no_suicide, avg. reward: -6.612, 2.022 sec/game, 11.7 min. total, 571.4 MB
magnetize_flanked v7 426 games, 341813 moves, e=0.662, loss: 3.8, -, 31.2% elo% vs. random_no_suicide, avg. reward: -6.612, 2.024 sec/game, 11.7 min. total, 571.5 MB
magnetize_flanked v7 427 games, 342750 moves, e=0.661, loss: 4.0, -, 30.0% elo% vs. random_no_suicide, avg. reward: -6.614, 2.032 sec/game, 11.7 min. total, 576.1 MB
magnetize_flanked v7 428 games, 343649 moves, e=0.660, loss: 4.2, -, 28.8% elo% vs. random_no_suicide, avg. reward: -6.613, 2.019 sec/game, 11.8 min. total, 571.7 MB
magnetize_flanked v7 429 games, 344552 moves, e=0.659, loss: 4.2, -, 27.8% elo% vs. random_no_suicide, avg. reward: -6.619, 2.033 sec/game, 11.8 min. total, 572.8 MB
magnetize_flanked v7 430 games, 345474 moves, e=0.658, loss: 4.1, +, 30.5% elo% vs. random_no_suicide, avg. reward: -6.615, 2.031 sec/game, 11.8 min. total, 573.8 MB
magnetize_flanked v7 431 games, 346539 moves, e=0.657, loss: 4.0, +, 33.3% elo% vs. random_no_suicide, avg. reward: -6.600, 2.032 sec/game, 11.9 min. total, 573.9 MB
magnetize_flanked v7 432 games, 347370 moves, e=0.656, loss: 4.1, +, 36.1% elo% vs. random_no_suicide, avg. reward: -6.602, 1.999 sec/game, 11.9 min. total, 573.9 MB
magnetize_flanked v7 433 games, 348318 moves, e=0.655, loss: 4.1, -, 34.5% elo% vs. random_no_suicide, avg. reward: -6.600, 1.996 sec/game, 11.9 min. total, 574.2 MB
magnetize_flanked v7 434 games, 349399 moves, e=0.654, loss: 4.0, ., 35.2% elo% vs. random_no_suicide, avg. reward: -6.577, 2.007 sec/game, 12.0 min. total, 574.1 MB
magnetize_flanked v7 435 games, 350329 moves, e=0.653, loss: 4.2, -, 33.7% elo% vs. random_no_suicide, avg. reward: -6.579, 2.020 sec/game, 12.0 min. total, 574.2 MB
magnetize_flanked v7 436 games, 351226 moves, e=0.652, loss: 4.6, -, 32.4% elo% vs. random_no_suicide, avg. reward: -6.579, 2.014 sec/game, 12.0 min. total, 574.1 MB
magnetize_flanked v7 437 games, 352258 moves, e=0.651, loss: 4.7, -, 31.1% elo% vs. random_no_suicide, avg. reward: -6.553, 2.040 sec/game, 12.1 min. total, 574.8 MB
magnetize_flanked v7 438 games, 353239 moves, e=0.650, loss: 4.5, -, 29.9% elo% vs. random_no_suicide, avg. reward: -6.540, 2.044 sec/game, 12.1 min. total, 575.7 MB
magnetize_flanked v7 439 games, 354248 moves, e=0.649, loss: 4.3, +, 32.6% elo% vs. random_no_suicide, avg. reward: -6.527, 2.048 sec/game, 12.2 min. total, 577.2 MB
magnetize_flanked v7 440 games, 355215 moves, e=0.648, loss: 4.3, -, 31.3% elo% vs. random_no_suicide, avg. reward: -6.526, 2.061 sec/game, 12.2 min. total, 577.7 MB
magnetize_flanked v7 441 games, 356165 moves, e=0.647, loss: 4.5, -, 30.1% elo% vs. random_no_suicide, avg. reward: -6.519, 2.051 sec/game, 12.2 min. total, 579.9 MB
magnetize_flanked v7 442 games, 357049 moves, e=0.647, loss: 4.3, -, 28.9% elo% vs. random_no_suicide, avg. reward: -6.508, 2.016 sec/game, 12.3 min. total, 577.8 MB
