magnetize_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
magnetize_flanked v2 34 games, 24416 moves, e=0.976, loss: 6.1, +, 65.5% elo% vs. guard_bot, avg. reward: -8.477, 1.294 sec/game, 0.5 min. total, 460.5 MB
magnetize_flanked v2 35 games, 25154 moves, e=0.975, loss: 6.4, +, 66.9% elo% vs. guard_bot, avg. reward: -8.468, 1.271 sec/game, 0.5 min. total, 460.6 MB
magnetize_flanked v2 36 games, 25792 moves, e=0.974, loss: 6.3, +, 68.3% elo% vs. guard_bot, avg. reward: -8.497, 1.262 sec/game, 0.5 min. total, 460.8 MB
magnetize_flanked v2 37 games, 26474 moves, e=0.974, loss: 6.6, +, 69.5% elo% vs. guard_bot, avg. reward: -8.507, 1.253 sec/game, 0.5 min. total, 460.6 MB
magnetize_flanked v2 38 games, 27132 moves, e=0.973, loss: 6.2, +, 70.7% elo% vs. guard_bot, avg. reward: -8.524, 1.265 sec/game, 0.6 min. total, 460.9 MB
magnetize_flanked v3 39 games, 27815 moves, e=0.972, loss: 5.8, -, 49.9% elo% vs. random_no_suicide, avg. reward: -8.527, 1.266 sec/game, 0.6 min. total, 461.5 MB
magnetize_flanked v3 40 games, 28487 moves, e=0.972, loss: 5.8, -, 47.6% elo% vs. random_no_suicide, avg. reward: -8.542, 1.257 sec/game, 0.6 min. total, 462.2 MB
magnetize_flanked v3 41 games, 29225 moves, e=0.971, loss: 6.2, -, 45.4% elo% vs. random_no_suicide, avg. reward: -8.533, 1.269 sec/game, 0.6 min. total, 462.9 MB
magnetize_flanked v3 42 games, 29897 moves, e=0.970, loss: 6.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.546, 1.269 sec/game, 0.6 min. total, 464.4 MB
magnetize_flanked v3 43 games, 30558 moves, e=0.970, loss: 6.4, -, 41.4% elo% vs. random_no_suicide, avg. reward: -8.564, 1.266 sec/game, 0.7 min. total, 465.8 MB
magnetize_flanked v3 44 games, 31135 moves, e=0.969, loss: 6.1, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.614, 1.267 sec/game, 0.7 min. total, 466.9 MB
magnetize_flanked v3 45 games, 31814 moves, e=0.969, loss: 6.2, -, 37.8% elo% vs. random_no_suicide, avg. reward: -8.623, 1.256 sec/game, 0.7 min. total, 468.9 MB
magnetize_flanked v3 46 games, 32540 moves, e=0.968, loss: 6.7, -, 36.2% elo% vs. random_no_suicide, avg. reward: -8.620, 1.267 sec/game, 0.7 min. total, 466.9 MB
magnetize_flanked v3 47 games, 33290 moves, e=0.967, loss: 6.9, -, 34.7% elo% vs. random_no_suicide, avg. reward: -8.609, 1.269 sec/game, 0.8 min. total, 468.9 MB
magnetize_flanked v3 48 games, 34007 moves, e=0.966, loss: 6.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.597, 1.259 sec/game, 0.8 min. total, 467.2 MB
magnetize_flanked v3 49 games, 34758 moves, e=0.966, loss: 6.1, -, 31.9% elo% vs. random_no_suicide, avg. reward: -8.582, 1.261 sec/game, 0.8 min. total, 469.1 MB
magnetize_flanked v3 50 games, 35488 moves, e=0.965, loss: 6.0, -, 30.6% elo% vs. random_no_suicide, avg. reward: -8.574, 1.271 sec/game, 0.8 min. total, 469.5 MB
magnetize_flanked v3 51 games, 36212 moves, e=0.964, loss: 7.0, -, 29.5% elo% vs. random_no_suicide, avg. reward: -8.566, 1.264 sec/game, 0.8 min. total, 468.5 MB
magnetize_flanked v3 52 games, 36972 moves, e=0.963, loss: 6.8, -, 28.3% elo% vs. random_no_suicide, avg. reward: -8.558, 1.254 sec/game, 0.9 min. total, 471.1 MB
magnetize_flanked v3 53 games, 37624 moves, e=0.963, loss: 6.7, -, 27.3% elo% vs. random_no_suicide, avg. reward: -8.572, 1.245 sec/game, 0.9 min. total, 470.9 MB
magnetize_flanked v3 54 games, 38374 moves, e=0.962, loss: 6.6, -, 26.3% elo% vs. random_no_suicide, avg. reward: -8.566, 1.265 sec/game, 0.9 min. total, 471.9 MB
magnetize_flanked v3 55 games, 39058 moves, e=0.961, loss: 6.2, -, 25.4% elo% vs. random_no_suicide, avg. reward: -8.570, 1.269 sec/game, 0.9 min. total, 471.6 MB
magnetize_flanked v3 56 games, 39729 moves, e=0.961, loss: 6.2, -, 24.5% elo% vs. random_no_suicide, avg. reward: -8.583, 1.269 sec/game, 0.9 min. total, 471.6 MB
magnetize_flanked v3 57 games, 40547 moves, e=0.960, loss: 6.2, -, 23.7% elo% vs. random_no_suicide, avg. reward: -8.557, 1.282 sec/game, 1.0 min. total, 476.1 MB
magnetize_flanked v3 58 games, 41337 moves, e=0.959, loss: 6.4, -, 22.9% elo% vs. random_no_suicide, avg. reward: -8.539, 1.292 sec/game, 1.0 min. total, 473.7 MB
magnetize_flanked v3 59 games, 41998 moves, e=0.958, loss: 5.6, -, 22.2% elo% vs. random_no_suicide, avg. reward: -8.552, 1.290 sec/game, 1.0 min. total, 476.5 MB
magnetize_flanked v3 60 games, 42744 moves, e=0.958, loss: 5.8, -, 21.5% elo% vs. random_no_suicide, avg. reward: -8.543, 1.291 sec/game, 1.0 min. total, 474.5 MB
magnetize_flanked v3 61 games, 43423 moves, e=0.957, loss: 5.5, -, 20.8% elo% vs. random_no_suicide, avg. reward: -8.554, 1.292 sec/game, 1.1 min. total, 472.6 MB
magnetize_flanked v3 62 games, 44103 moves, e=0.956, loss: 5.9, -, 20.2% elo% vs. random_no_suicide, avg. reward: -8.560, 1.293 sec/game, 1.1 min. total, 477.2 MB
magnetize_flanked v3 63 games, 44801 moves, e=0.956, loss: 5.9, -, 19.6% elo% vs. random_no_suicide, avg. reward: -8.556, 1.300 sec/game, 1.1 min. total, 478.8 MB
magnetize_flanked v3 64 games, 45507 moves, e=0.955, loss: 6.3, -, 19.0% elo% vs. random_no_suicide, avg. reward: -8.556, 1.301 sec/game, 1.1 min. total, 476.0 MB
magnetize_flanked v3 65 games, 46200 moves, e=0.954, loss: 6.1, -, 18.5% elo% vs. random_no_suicide, avg. reward: -8.563, 1.303 sec/game, 1.1 min. total, 475.2 MB
magnetize_flanked v3 66 games, 47003 moves, e=0.953, loss: 6.2, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.549, 1.315 sec/game, 1.2 min. total, 480.2 MB
magnetize_flanked v3 67 games, 47766 moves, e=0.953, loss: 5.7, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.540, 1.320 sec/game, 1.2 min. total, 475.6 MB
magnetize_flanked v3 68 games, 48443 moves, e=0.952, loss: 5.9, -, 17.0% elo% vs. random_no_suicide, avg. reward: -8.544, 1.320 sec/game, 1.2 min. total, 477.7 MB
magnetize_flanked v3 69 games, 49312 moves, e=0.951, loss: 5.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.515, 1.331 sec/game, 1.2 min. total, 475.1 MB
magnetize_flanked v3 70 games, 49991 moves, e=0.951, loss: 5.4, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.517, 1.321 sec/game, 1.3 min. total, 477.8 MB
magnetize_flanked v3 71 games, 50791 moves, e=0.950, loss: 5.7, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.501, 1.336 sec/game, 1.3 min. total, 480.4 MB
magnetize_flanked v3 72 games, 51511 moves, e=0.949, loss: 5.7, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.497, 1.337 sec/game, 1.3 min. total, 475.8 MB
magnetize_flanked v3 73 games, 52239 moves, e=0.948, loss: 5.5, -, 15.0% elo% vs. random_no_suicide, avg. reward: -8.492, 1.347 sec/game, 1.3 min. total, 477.0 MB
magnetize_flanked v3 74 games, 52946 moves, e=0.948, loss: 5.4, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.494, 1.339 sec/game, 1.4 min. total, 478.5 MB
magnetize_flanked v3 75 games, 53757 moves, e=0.947, loss: 5.6, -, 14.3% elo% vs. random_no_suicide, avg. reward: -8.477, 1.344 sec/game, 1.4 min. total, 478.2 MB
magnetize_flanked v3 76 games, 54453 moves, e=0.946, loss: 5.3, -, 14.0% elo% vs. random_no_suicide, avg. reward: -8.479, 1.354 sec/game, 1.4 min. total, 480.4 MB
magnetize_flanked v3 77 games, 55206 moves, e=0.945, loss: 5.3, -, 13.7% elo% vs. random_no_suicide, avg. reward: -8.473, 1.352 sec/game, 1.4 min. total, 478.4 MB
magnetize_flanked v3 78 games, 56027 moves, e=0.945, loss: 5.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: -8.455, 1.356 sec/game, 1.4 min. total, 478.7 MB
magnetize_flanked v3 79 games, 56835 moves, e=0.944, loss: 4.8, -, 13.1% elo% vs. random_no_suicide, avg. reward: -8.437, 1.368 sec/game, 1.5 min. total, 478.4 MB
magnetize_flanked v3 80 games, 57590 moves, e=0.943, loss: 4.6, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.431, 1.369 sec/game, 1.5 min. total, 478.7 MB
magnetize_flanked v3 81 games, 58250 moves, e=0.942, loss: 5.1, -, 12.6% elo% vs. random_no_suicide, avg. reward: -8.440, 1.369 sec/game, 1.5 min. total, 478.7 MB
magnetize_flanked v3 82 games, 58984 moves, e=0.942, loss: 5.1, -, 12.3% elo% vs. random_no_suicide, avg. reward: -8.435, 1.371 sec/game, 1.5 min. total, 479.4 MB
magnetize_flanked v3 83 games, 59803 moves, e=0.941, loss: 4.9, -, 12.1% elo% vs. random_no_suicide, avg. reward: -8.422, 1.383 sec/game, 1.6 min. total, 479.5 MB
magnetize_flanked v3 84 games, 60576 moves, e=0.940, loss: 4.6, -, 11.9% elo% vs. random_no_suicide, avg. reward: -8.414, 1.395 sec/game, 1.6 min. total, 481.1 MB
magnetize_flanked v3 85 games, 61406 moves, e=0.939, loss: 4.7, -, 11.6% elo% vs. random_no_suicide, avg. reward: -8.395, 1.411 sec/game, 1.6 min. total, 480.6 MB
magnetize_flanked v3 86 games, 62069 moves, e=0.939, loss: 4.6, -, 11.4% elo% vs. random_no_suicide, avg. reward: -8.404, 1.392 sec/game, 1.6 min. total, 482.9 MB
magnetize_flanked v3 87 games, 62832 moves, e=0.938, loss: 4.4, -, 11.2% elo% vs. random_no_suicide, avg. reward: -8.399, 1.390 sec/game, 1.7 min. total, 480.5 MB
magnetize_flanked v3 88 games, 63507 moves, e=0.937, loss: 4.6, -, 11.0% elo% vs. random_no_suicide, avg. reward: -8.405, 1.401 sec/game, 1.7 min. total, 480.9 MB
magnetize_flanked v3 89 games, 64276 moves, e=0.936, loss: 4.7, -, 10.8% elo% vs. random_no_suicide, avg. reward: -8.397, 1.391 sec/game, 1.7 min. total, 483.1 MB
magnetize_flanked v3 90 games, 65091 moves, e=0.936, loss: 4.7, -, 10.6% elo% vs. random_no_suicide, avg. reward: -8.387, 1.404 sec/game, 1.7 min. total, 481.0 MB
magnetize_flanked v3 91 games, 65826 moves, e=0.935, loss: 4.7, -, 10.4% elo% vs. random_no_suicide, avg. reward: -8.388, 1.401 sec/game, 1.8 min. total, 480.6 MB
magnetize_flanked v3 92 games, 66575 moves, e=0.934, loss: 5.1, -, 10.3% elo% vs. random_no_suicide, avg. reward: -8.386, 1.401 sec/game, 1.8 min. total, 481.0 MB
magnetize_flanked v3 93 games, 67300 moves, e=0.933, loss: 4.8, -, 10.1% elo% vs. random_no_suicide, avg. reward: -8.390, 1.392 sec/game, 1.8 min. total, 481.6 MB
magnetize_flanked v3 94 games, 67917 moves, e=0.933, loss: 4.5, -, 9.9% elo% vs. random_no_suicide, avg. reward: -8.409, 1.392 sec/game, 1.8 min. total, 484.1 MB
magnetize_flanked v3 95 games, 68611 moves, e=0.932, loss: 4.8, -, 9.8% elo% vs. random_no_suicide, avg. reward: -8.411, 1.385 sec/game, 1.8 min. total, 482.8 MB
magnetize_flanked v3 96 games, 69443 moves, e=0.931, loss: 4.5, -, 9.6% elo% vs. random_no_suicide, avg. reward: -8.397, 1.388 sec/game, 1.9 min. total, 483.1 MB
magnetize_flanked v3 97 games, 70302 moves, e=0.930, loss: 4.4, -, 9.4% elo% vs. random_no_suicide, avg. reward: -8.380, 1.401 sec/game, 1.9 min. total, 483.1 MB
magnetize_flanked v3 98 games, 71103 moves, e=0.930, loss: 4.6, -, 9.3% elo% vs. random_no_suicide, avg. reward: -8.372, 1.402 sec/game, 1.9 min. total, 483.1 MB
magnetize_flanked v3 99 games, 71789 moves, e=0.929, loss: 4.5, -, 9.2% elo% vs. random_no_suicide, avg. reward: -8.376, 1.382 sec/game, 1.9 min. total, 483.3 MB
magnetize_flanked v3 100 games, 72562 moves, e=0.928, loss: 4.4, -, 9.0% elo% vs. random_no_suicide, avg. reward: -8.371, 1.392 sec/game, 2.0 min. total, 483.3 MB
