skedaddle_puma v1 48 games, 27514 moves, e=0.973, loss: nan, ., 45.2% elo% vs. v0, avg. reward: -10.723, 0.320 sec/game, 0.3 min. total, 470.0 MB
skedaddle_puma v1 49 games, 28206 moves, e=0.972, loss: nan, ., 45.4% elo% vs. v0, avg. reward: -10.719, 0.318 sec/game, 0.3 min. total, 473.7 MB
skedaddle_puma v1 50 games, 28822 moves, e=0.971, loss: nan, ., 45.6% elo% vs. v0, avg. reward: -10.739, 0.319 sec/game, 0.3 min. total, 477.5 MB
skedaddle_puma v1 52 games, 29726 moves, e=0.971, loss: nan, +, 48.1% elo% vs. v0, avg. reward: -10.761, 0.362 sec/game, 0.4 min. total, 483.9 MB
skedaddle_puma v1 54 games, 30678 moves, e=0.970, loss: nan, ., 48.2% elo% vs. v0, avg. reward: -10.769, 0.404 sec/game, 0.4 min. total, 486.8 MB
skedaddle_puma v1 56 games, 31554 moves, e=0.969, loss: nan, ., 48.3% elo% vs. v0, avg. reward: -10.808, 0.485 sec/game, 0.4 min. total, 488.3 MB
skedaddle_puma v1 57 games, 32228 moves, e=0.968, loss: nan, ., 48.4% elo% vs. v0, avg. reward: -10.795, 0.449 sec/game, 0.4 min. total, 490.3 MB
skedaddle_puma v1 58 games, 32868 moves, e=0.967, loss: nan, ., 48.4% elo% vs. v0, avg. reward: -10.808, 0.451 sec/game, 0.4 min. total, 492.4 MB
skedaddle_puma v1 59 games, 33587 moves, e=0.967, loss: nan, ., 48.5% elo% vs. v0, avg. reward: -10.797, 0.452 sec/game, 0.4 min. total, 495.1 MB
skedaddle_puma v1 60 games, 34200 moves, e=0.966, loss: nan, ., 48.6% elo% vs. v0, avg. reward: -10.805, 0.452 sec/game, 0.5 min. total, 497.1 MB
skedaddle_puma v1 61 games, 34831 moves, e=0.966, loss: nan, ., 48.6% elo% vs. v0, avg. reward: -10.815, 0.454 sec/game, 0.5 min. total, 499.4 MB
skedaddle_puma v1 62 games, 35487 moves, e=0.965, loss: nan, ., 48.7% elo% vs. v0, avg. reward: -10.814, 0.455 sec/game, 0.5 min. total, 501.6 MB
skedaddle_puma v1 63 games, 36134 moves, e=0.964, loss: nan, +, 51.1% elo% vs. v0, avg. reward: -10.816, 0.457 sec/game, 0.5 min. total, 504.1 MB
skedaddle_puma v1 65 games, 36952 moves, e=0.963, loss: nan, ., 51.0% elo% vs. v0, avg. reward: -10.887, 0.497 sec/game, 0.5 min. total, 507.2 MB
skedaddle_puma v1 66 games, 37582 moves, e=0.963, loss: nan, ., 51.0% elo% vs. v0, avg. reward: -10.890, 0.495 sec/game, 0.5 min. total, 509.7 MB
skedaddle_puma v1 67 games, 38212 moves, e=0.962, loss: nan, ., 50.9% elo% vs. v0, avg. reward: -10.894, 0.496 sec/game, 0.5 min. total, 512.8 MB
skedaddle_puma v1 69 games, 38951 moves, e=0.961, loss: nan, ., 50.9% elo% vs. v0, avg. reward: -10.996, 0.602 sec/game, 0.5 min. total, 515.8 MB
skedaddle_puma v1 70 games, 39552 moves, e=0.961, loss: nan, ., 50.8% elo% vs. v0, avg. reward: -11.010, 0.603 sec/game, 0.5 min. total, 518.8 MB
skedaddle_puma v1 71 games, 40191 moves, e=0.960, loss: nan, ., 50.8% elo% vs. v0, avg. reward: -11.012, 0.602 sec/game, 0.5 min. total, 522.1 MB
skedaddle_puma v1 72 games, 40759 moves, e=0.960, loss: nan, ., 50.8% elo% vs. v0, avg. reward: -11.030, 0.560 sec/game, 0.5 min. total, 524.6 MB
