sanding_take v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
sanding_take v4 308 games, 238577 moves, e=0.764, loss: 3158.7, -, 2.7% elo% vs. random_no_suicide, avg. reward: 25.671, 2.296 sec/game, 8.4 min. total, 416.3 MB
sanding_take v4 309 games, 239407 moves, e=0.763, loss: 3290.2, -, 2.7% elo% vs. random_no_suicide, avg. reward: 25.678, 2.318 sec/game, 8.4 min. total, 416.2 MB
sanding_take v4 310 games, 240230 moves, e=0.762, loss: 3197.2, -, 2.7% elo% vs. random_no_suicide, avg. reward: 25.680, 2.316 sec/game, 8.4 min. total, 415.9 MB
sanding_take v4 311 games, 241060 moves, e=0.761, loss: 3342.1, -, 2.7% elo% vs. random_no_suicide, avg. reward: 25.647, 2.322 sec/game, 8.5 min. total, 416.4 MB
sanding_take v4 312 games, 241898 moves, e=0.761, loss: 3365.7, -, 2.7% elo% vs. random_no_suicide, avg. reward: 25.610, 2.324 sec/game, 8.5 min. total, 416.2 MB
sanding_take v4 313 games, 242880 moves, e=0.760, loss: 3340.0, -, 2.7% elo% vs. random_no_suicide, avg. reward: 25.612, 2.386 sec/game, 8.6 min. total, 416.7 MB
sanding_take v4 314 games, 243758 moves, e=0.759, loss: 3329.3, -, 2.7% elo% vs. random_no_suicide, avg. reward: 25.621, 2.380 sec/game, 8.6 min. total, 417.8 MB
sanding_take v4 315 games, 244635 moves, e=0.758, loss: 3488.0, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.628, 2.363 sec/game, 8.6 min. total, 419.2 MB
sanding_take v4 316 games, 245559 moves, e=0.757, loss: 3487.8, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.636, 2.359 sec/game, 8.7 min. total, 419.7 MB
sanding_take v4 317 games, 246378 moves, e=0.756, loss: 3406.0, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.605, 2.339 sec/game, 8.7 min. total, 419.6 MB
sanding_take v4 318 games, 247108 moves, e=0.755, loss: 3209.1, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.604, 2.287 sec/game, 8.7 min. total, 419.5 MB
sanding_take v4 319 games, 247860 moves, e=0.755, loss: 3233.2, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.615, 2.241 sec/game, 8.8 min. total, 419.7 MB
sanding_take v4 320 games, 248734 moves, e=0.754, loss: 3206.9, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.617, 2.242 sec/game, 8.8 min. total, 419.3 MB
sanding_take v4 321 games, 249616 moves, e=0.753, loss: 3008.6, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.610, 2.230 sec/game, 8.8 min. total, 419.8 MB
sanding_take v4 322 games, 250480 moves, e=0.752, loss: 2833.9, -, 2.6% elo% vs. random_no_suicide, avg. reward: 25.615, 2.244 sec/game, 8.9 min. total, 419.4 MB
sanding_take v4 323 games, 251357 moves, e=0.751, loss: 2950.4, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.588, 2.229 sec/game, 8.9 min. total, 419.8 MB
sanding_take v4 324 games, 252285 moves, e=0.750, loss: 2987.7, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.557, 2.206 sec/game, 8.9 min. total, 420.9 MB
sanding_take v4 325 games, 253184 moves, e=0.749, loss: 2811.2, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.567, 2.174 sec/game, 9.0 min. total, 421.8 MB
sanding_take v4 326 games, 254010 moves, e=0.749, loss: 3085.3, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.590, 2.180 sec/game, 9.0 min. total, 422.4 MB
sanding_take v4 327 games, 254907 moves, e=0.748, loss: 3154.7, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.595, 2.157 sec/game, 9.0 min. total, 422.6 MB
sanding_take v4 328 games, 255746 moves, e=0.747, loss: 3041.6, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.590, 2.150 sec/game, 9.1 min. total, 422.6 MB
sanding_take v4 329 games, 256640 moves, e=0.746, loss: 3262.7, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.615, 2.155 sec/game, 9.1 min. total, 422.8 MB
sanding_take v4 330 games, 257578 moves, e=0.745, loss: 2930.9, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.621, 2.169 sec/game, 9.2 min. total, 422.2 MB
sanding_take v4 331 games, 258643 moves, e=0.744, loss: 3034.5, -, 2.5% elo% vs. random_no_suicide, avg. reward: 25.625, 2.183 sec/game, 9.2 min. total, 422.9 MB
sanding_take v4 332 games, 259437 moves, e=0.743, loss: 3215.1, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.658, 2.189 sec/game, 9.2 min. total, 422.9 MB
sanding_take v4 333 games, 260305 moves, e=0.742, loss: 3094.3, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.682, 2.134 sec/game, 9.3 min. total, 422.8 MB
sanding_take v4 334 games, 261100 moves, e=0.742, loss: 3040.1, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.676, 2.110 sec/game, 9.3 min. total, 424.2 MB
sanding_take v4 335 games, 262091 moves, e=0.741, loss: 3149.8, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.660, 2.147 sec/game, 9.4 min. total, 424.6 MB
sanding_take v4 336 games, 263020 moves, e=0.740, loss: 3203.8, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.677, 2.151 sec/game, 9.4 min. total, 425.0 MB
sanding_take v4 337 games, 263915 moves, e=0.739, loss: 3222.1, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.679, 2.156 sec/game, 9.4 min. total, 425.3 MB
sanding_take v4 338 games, 264821 moves, e=0.738, loss: 3251.8, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.680, 2.197 sec/game, 9.5 min. total, 425.7 MB
sanding_take v4 339 games, 265544 moves, e=0.737, loss: 3111.2, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.652, 2.200 sec/game, 9.5 min. total, 425.1 MB
sanding_take v4 340 games, 266371 moves, e=0.736, loss: 3252.3, -, 2.4% elo% vs. random_no_suicide, avg. reward: 25.644, 2.192 sec/game, 9.5 min. total, 425.2 MB
sanding_take v4 341 games, 267228 moves, e=0.735, loss: 3297.8, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.623, 2.192 sec/game, 9.6 min. total, 425.5 MB
sanding_take v4 342 games, 268080 moves, e=0.735, loss: 3174.3, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.622, 2.183 sec/game, 9.6 min. total, 425.8 MB
sanding_take v4 343 games, 268892 moves, e=0.734, loss: 3164.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.621, 2.166 sec/game, 9.6 min. total, 427.1 MB
sanding_take v4 344 games, 269809 moves, e=0.733, loss: 3331.4, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.607, 2.193 sec/game, 9.7 min. total, 429.0 MB
sanding_take v4 345 games, 270662 moves, e=0.732, loss: 3349.7, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.613, 2.190 sec/game, 9.7 min. total, 428.8 MB
sanding_take v4 346 games, 271524 moves, e=0.731, loss: 3317.2, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.602, 2.209 sec/game, 9.8 min. total, 428.9 MB
sanding_take v4 347 games, 272345 moves, e=0.730, loss: 3342.0, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.589, 2.231 sec/game, 9.8 min. total, 428.7 MB
sanding_take v4 348 games, 273188 moves, e=0.730, loss: 3150.2, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.590, 2.233 sec/game, 9.8 min. total, 428.7 MB
sanding_take v4 349 games, 274050 moves, e=0.729, loss: 3165.1, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.583, 2.227 sec/game, 9.9 min. total, 428.9 MB
sanding_take v4 350 games, 274821 moves, e=0.728, loss: 3280.6, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.579, 2.221 sec/game, 9.9 min. total, 428.9 MB
sanding_take v4 351 games, 275609 moves, e=0.727, loss: 3400.7, -, 2.3% elo% vs. random_no_suicide, avg. reward: 25.573, 2.182 sec/game, 9.9 min. total, 428.8 MB
sanding_take v4 352 games, 276473 moves, e=0.726, loss: 3585.7, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.579, 2.167 sec/game, 10.0 min. total, 429.0 MB
sanding_take v4 353 games, 277498 moves, e=0.725, loss: 3351.9, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.572, 2.186 sec/game, 10.0 min. total, 429.0 MB
sanding_take v4 354 games, 278466 moves, e=0.724, loss: 3097.7, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.576, 2.220 sec/game, 10.0 min. total, 430.1 MB
sanding_take v4 355 games, 279286 moves, e=0.724, loss: 2984.3, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.604, 2.184 sec/game, 10.1 min. total, 429.9 MB
sanding_take v4 356 games, 280093 moves, e=0.723, loss: 2882.6, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.640, 2.185 sec/game, 10.1 min. total, 429.9 MB
sanding_take v4 357 games, 281017 moves, e=0.722, loss: 2967.1, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.657, 2.176 sec/game, 10.2 min. total, 429.5 MB
sanding_take v4 358 games, 281982 moves, e=0.721, loss: 2955.2, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.623, 2.163 sec/game, 10.2 min. total, 430.1 MB
sanding_take v4 359 games, 282995 moves, e=0.720, loss: 2758.3, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.562, 2.225 sec/game, 10.2 min. total, 430.0 MB
sanding_take v4 360 games, 284045 moves, e=0.719, loss: 2834.0, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.538, 2.249 sec/game, 10.3 min. total, 430.2 MB
sanding_take v4 361 games, 284895 moves, e=0.718, loss: 2823.4, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.533, 2.241 sec/game, 10.3 min. total, 430.3 MB
sanding_take v4 362 games, 285882 moves, e=0.717, loss: 2864.3, -, 2.2% elo% vs. random_no_suicide, avg. reward: 25.525, 2.286 sec/game, 10.4 min. total, 430.9 MB
sanding_take v4 363 games, 286690 moves, e=0.716, loss: 2887.3, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.526, 2.284 sec/game, 10.4 min. total, 432.4 MB
sanding_take v4 364 games, 287477 moves, e=0.715, loss: 2847.9, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.550, 2.247 sec/game, 10.4 min. total, 431.7 MB
sanding_take v4 365 games, 288412 moves, e=0.714, loss: 2708.8, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.540, 2.273 sec/game, 10.5 min. total, 433.0 MB
sanding_take v4 366 games, 289230 moves, e=0.714, loss: 2859.3, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.537, 2.246 sec/game, 10.5 min. total, 433.0 MB
sanding_take v4 367 games, 290076 moves, e=0.713, loss: 2850.1, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.482, 2.291 sec/game, 10.6 min. total, 433.2 MB
sanding_take v4 368 games, 290939 moves, e=0.712, loss: 3221.1, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.497, 2.289 sec/game, 10.6 min. total, 433.4 MB
sanding_take v4 369 games, 291768 moves, e=0.711, loss: 3124.8, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.490, 2.297 sec/game, 10.6 min. total, 433.2 MB
sanding_take v4 370 games, 292773 moves, e=0.710, loss: 2953.7, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.476, 2.326 sec/game, 10.7 min. total, 433.3 MB
sanding_take v4 371 games, 293877 moves, e=0.709, loss: 2791.0, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.505, 2.362 sec/game, 10.7 min. total, 433.9 MB
sanding_take v4 372 games, 294721 moves, e=0.708, loss: 2842.7, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.551, 2.375 sec/game, 10.8 min. total, 435.2 MB
sanding_take v4 373 games, 295590 moves, e=0.707, loss: 2902.4, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.557, 2.367 sec/game, 10.8 min. total, 436.4 MB
sanding_take v4 374 games, 296430 moves, e=0.707, loss: 2867.5, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.561, 2.340 sec/game, 10.8 min. total, 436.3 MB
sanding_take v4 375 games, 297389 moves, e=0.706, loss: 2926.7, -, 2.1% elo% vs. random_no_suicide, avg. reward: 25.561, 2.360 sec/game, 10.9 min. total, 436.4 MB
sanding_take v4 376 games, 298290 moves, e=0.705, loss: 2952.1, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.579, 2.356 sec/game, 10.9 min. total, 436.6 MB
sanding_take v4 377 games, 299310 moves, e=0.704, loss: 2816.4, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.574, 2.390 sec/game, 10.9 min. total, 435.9 MB
sanding_take v4 378 games, 300202 moves, e=0.703, loss: 2814.6, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.611, 2.401 sec/game, 11.0 min. total, 436.4 MB
sanding_take v4 379 games, 301184 moves, e=0.702, loss: 2824.4, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.585, 2.367 sec/game, 11.0 min. total, 436.6 MB
sanding_take v4 380 games, 302209 moves, e=0.701, loss: 2727.2, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.575, 2.362 sec/game, 11.1 min. total, 436.5 MB
sanding_take v4 381 games, 303224 moves, e=0.700, loss: 2846.3, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.604, 2.388 sec/game, 11.1 min. total, 437.6 MB
sanding_take v4 382 games, 304107 moves, e=0.699, loss: 3020.2, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.620, 2.334 sec/game, 11.1 min. total, 438.0 MB
sanding_take v4 383 games, 304907 moves, e=0.698, loss: 2939.5, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.632, 2.351 sec/game, 11.2 min. total, 438.4 MB
sanding_take v4 384 games, 305738 moves, e=0.697, loss: 2866.3, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.627, 2.362 sec/game, 11.2 min. total, 438.6 MB
sanding_take v4 385 games, 306532 moves, e=0.697, loss: 2771.0, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.634, 2.343 sec/game, 11.3 min. total, 439.0 MB
sanding_take v4 386 games, 307425 moves, e=0.696, loss: 2649.0, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.645, 2.368 sec/game, 11.3 min. total, 439.2 MB
sanding_take v4 387 games, 308287 moves, e=0.695, loss: 2815.0, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.623, 2.320 sec/game, 11.3 min. total, 439.3 MB
sanding_take v4 388 games, 309146 moves, e=0.694, loss: 2931.2, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.637, 2.328 sec/game, 11.4 min. total, 439.2 MB
sanding_take v4 389 games, 310033 moves, e=0.693, loss: 2935.8, -, 2.0% elo% vs. random_no_suicide, avg. reward: 25.650, 2.321 sec/game, 11.4 min. total, 439.5 MB
sanding_take v4 390 games, 310832 moves, e=0.692, loss: 2875.9, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.653, 2.280 sec/game, 11.4 min. total, 439.3 MB
sanding_take v4 391 games, 311777 moves, e=0.691, loss: 2739.9, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.664, 2.261 sec/game, 11.5 min. total, 439.8 MB
sanding_take v4 392 games, 312687 moves, e=0.690, loss: 2660.0, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.673, 2.270 sec/game, 11.5 min. total, 441.7 MB
sanding_take v4 393 games, 313585 moves, e=0.690, loss: 2874.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.662, 2.269 sec/game, 11.5 min. total, 441.5 MB
sanding_take v4 394 games, 314652 moves, e=0.688, loss: 2796.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.658, 2.302 sec/game, 11.6 min. total, 442.2 MB
sanding_take v4 395 games, 315491 moves, e=0.688, loss: 2896.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.681, 2.293 sec/game, 11.6 min. total, 442.2 MB
sanding_take v4 396 games, 316440 moves, e=0.687, loss: 2763.4, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.658, 2.293 sec/game, 11.7 min. total, 442.2 MB
sanding_take v4 397 games, 317383 moves, e=0.686, loss: 2971.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.622, 2.266 sec/game, 11.7 min. total, 442.3 MB
sanding_take v4 398 games, 318308 moves, e=0.685, loss: 2743.1, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.629, 2.259 sec/game, 11.7 min. total, 442.3 MB
sanding_take v4 399 games, 319217 moves, e=0.684, loss: 2750.4, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.623, 2.247 sec/game, 11.8 min. total, 442.4 MB
sanding_take v4 400 games, 320218 moves, e=0.683, loss: 2846.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.602, 2.248 sec/game, 11.8 min. total, 442.6 MB
sanding_take v4 401 games, 321210 moves, e=0.682, loss: 2875.5, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.621, 2.264 sec/game, 11.9 min. total, 444.0 MB
sanding_take v4 402 games, 321984 moves, e=0.681, loss: 2944.0, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.628, 2.257 sec/game, 11.9 min. total, 444.1 MB
sanding_take v4 403 games, 322849 moves, e=0.680, loss: 2790.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.664, 2.265 sec/game, 11.9 min. total, 444.4 MB
sanding_take v4 404 games, 323849 moves, e=0.679, loss: 2861.6, -, 1.9% elo% vs. random_no_suicide, avg. reward: 25.724, 2.283 sec/game, 12.0 min. total, 445.0 MB
sanding_take v4 405 games, 324736 moves, e=0.679, loss: 3113.3, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.734, 2.272 sec/game, 12.0 min. total, 445.2 MB
sanding_take v4 406 games, 325598 moves, e=0.678, loss: 3072.9, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.750, 2.254 sec/game, 12.0 min. total, 445.1 MB
sanding_take v4 407 games, 326421 moves, e=0.677, loss: 3132.9, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.781, 2.240 sec/game, 12.1 min. total, 445.8 MB
sanding_take v4 408 games, 327334 moves, e=0.676, loss: 3048.3, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.806, 2.239 sec/game, 12.1 min. total, 445.8 MB
sanding_take v4 409 games, 328192 moves, e=0.675, loss: 2917.8, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.786, 2.255 sec/game, 12.2 min. total, 445.5 MB
sanding_take v4 410 games, 329066 moves, e=0.674, loss: 2923.9, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.800, 2.254 sec/game, 12.2 min. total, 447.0 MB
sanding_take v4 411 games, 330028 moves, e=0.673, loss: 2869.4, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.818, 2.275 sec/game, 12.2 min. total, 447.1 MB
sanding_take v4 412 games, 331014 moves, e=0.672, loss: 2825.8, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.823, 2.281 sec/game, 12.3 min. total, 447.5 MB
sanding_take v4 413 games, 331743 moves, e=0.672, loss: 2780.4, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.849, 2.257 sec/game, 12.3 min. total, 447.5 MB
sanding_take v4 414 games, 332644 moves, e=0.671, loss: 2777.7, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.834, 2.243 sec/game, 12.3 min. total, 447.6 MB
sanding_take v4 415 games, 333591 moves, e=0.670, loss: 2659.7, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.822, 2.248 sec/game, 12.4 min. total, 448.0 MB
sanding_take v4 416 games, 334470 moves, e=0.669, loss: 2636.9, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.813, 2.253 sec/game, 12.4 min. total, 447.9 MB
sanding_take v4 417 games, 335425 moves, e=0.668, loss: 2562.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.806, 2.269 sec/game, 12.5 min. total, 447.9 MB
sanding_take v4 418 games, 336363 moves, e=0.667, loss: 2445.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.785, 2.259 sec/game, 12.5 min. total, 448.3 MB
sanding_take v4 419 games, 337306 moves, e=0.666, loss: 2430.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.764, 2.296 sec/game, 12.5 min. total, 450.3 MB
sanding_take v4 420 games, 338233 moves, e=0.665, loss: 2586.3, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.770, 2.279 sec/game, 12.6 min. total, 449.7 MB
sanding_take v4 421 games, 339119 moves, e=0.664, loss: 2606.7, -, 1.8% elo% vs. random_no_suicide, avg. reward: 25.745, 2.264 sec/game, 12.6 min. total, 450.5 MB
sanding_take v4 422 games, 340058 moves, e=0.663, loss: 2676.0, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.717, 2.275 sec/game, 12.7 min. total, 450.7 MB
sanding_take v4 423 games, 340866 moves, e=0.663, loss: 2662.2, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.720, 2.260 sec/game, 12.7 min. total, 450.6 MB
sanding_take v4 424 games, 341691 moves, e=0.662, loss: 2722.4, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.701, 2.248 sec/game, 12.7 min. total, 451.3 MB
sanding_take v4 425 games, 342530 moves, e=0.661, loss: 2445.8, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.683, 2.257 sec/game, 12.8 min. total, 451.1 MB
sanding_take v4 426 games, 343500 moves, e=0.660, loss: 2418.3, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.641, 2.272 sec/game, 12.8 min. total, 451.6 MB
sanding_take v4 427 games, 344414 moves, e=0.659, loss: 2363.3, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.624, 2.279 sec/game, 12.8 min. total, 451.7 MB
sanding_take v4 428 games, 345487 moves, e=0.658, loss: 2305.5, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.636, 2.303 sec/game, 12.9 min. total, 452.9 MB
sanding_take v4 429 games, 346381 moves, e=0.657, loss: 2492.3, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.620, 2.291 sec/game, 12.9 min. total, 453.2 MB
sanding_take v4 430 games, 347262 moves, e=0.656, loss: 2560.2, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.616, 2.297 sec/game, 13.0 min. total, 453.8 MB
sanding_take v4 431 games, 348362 moves, e=0.655, loss: 2722.5, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.624, 2.321 sec/game, 13.0 min. total, 453.4 MB
sanding_take v4 432 games, 349177 moves, e=0.654, loss: 2672.9, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.621, 2.297 sec/game, 13.0 min. total, 453.2 MB
sanding_take v4 433 games, 350015 moves, e=0.653, loss: 2593.8, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.601, 2.317 sec/game, 13.1 min. total, 453.0 MB
sanding_take v4 434 games, 351012 moves, e=0.652, loss: 2571.4, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.626, 2.331 sec/game, 13.1 min. total, 453.0 MB
sanding_take v4 435 games, 351880 moves, e=0.652, loss: 2659.8, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.672, 2.318 sec/game, 13.2 min. total, 453.4 MB
sanding_take v4 436 games, 352912 moves, e=0.651, loss: 2590.6, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.652, 2.331 sec/game, 13.2 min. total, 453.0 MB
sanding_take v4 437 games, 353909 moves, e=0.650, loss: 2632.8, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.617, 2.311 sec/game, 13.2 min. total, 454.5 MB
sanding_take v4 438 games, 354993 moves, e=0.649, loss: 2788.3, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.593, 2.343 sec/game, 13.3 min. total, 456.0 MB
sanding_take v4 439 games, 355913 moves, e=0.648, loss: 2628.9, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.606, 2.340 sec/game, 13.3 min. total, 456.0 MB
sanding_take v4 440 games, 356858 moves, e=0.647, loss: 2586.9, -, 1.7% elo% vs. random_no_suicide, avg. reward: 25.635, 2.361 sec/game, 13.4 min. total, 455.8 MB
sanding_take v4 441 games, 357828 moves, e=0.646, loss: 2530.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.618, 2.366 sec/game, 13.4 min. total, 456.1 MB
sanding_take v4 442 games, 358896 moves, e=0.645, loss: 2439.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.608, 2.385 sec/game, 13.4 min. total, 455.8 MB
sanding_take v4 443 games, 359746 moves, e=0.644, loss: 2432.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.605, 2.405 sec/game, 13.5 min. total, 456.7 MB
sanding_take v4 444 games, 360669 moves, e=0.643, loss: 2583.5, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.621, 2.403 sec/game, 13.5 min. total, 456.8 MB
sanding_take v4 445 games, 361582 moves, e=0.642, loss: 2393.6, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.605, 2.403 sec/game, 13.6 min. total, 457.0 MB
sanding_take v4 446 games, 362452 moves, e=0.641, loss: 2517.3, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.599, 2.392 sec/game, 13.6 min. total, 456.9 MB
sanding_take v4 447 games, 363496 moves, e=0.640, loss: 2567.6, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.593, 2.408 sec/game, 13.6 min. total, 458.3 MB
sanding_take v4 448 games, 364495 moves, e=0.639, loss: 2491.8, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.594, 2.445 sec/game, 13.7 min. total, 459.1 MB
sanding_take v4 449 games, 365604 moves, e=0.638, loss: 2488.8, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.610, 2.472 sec/game, 13.7 min. total, 458.7 MB
sanding_take v4 450 games, 366513 moves, e=0.637, loss: 2471.9, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.613, 2.490 sec/game, 13.8 min. total, 459.2 MB
sanding_take v4 451 games, 367427 moves, e=0.636, loss: 2418.6, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.606, 2.444 sec/game, 13.8 min. total, 459.2 MB
sanding_take v4 452 games, 368217 moves, e=0.635, loss: 2420.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.579, 2.447 sec/game, 13.9 min. total, 459.2 MB
sanding_take v4 453 games, 369194 moves, e=0.634, loss: 2373.9, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.593, 2.455 sec/game, 13.9 min. total, 459.4 MB
sanding_take v4 454 games, 369968 moves, e=0.634, loss: 2450.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.602, 2.431 sec/game, 13.9 min. total, 458.9 MB
sanding_take v4 455 games, 371154 moves, e=0.633, loss: 2368.9, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.569, 2.481 sec/game, 14.0 min. total, 460.2 MB
sanding_take v4 456 games, 372059 moves, e=0.632, loss: 2418.4, -, 1.6% elo% vs. random_no_suicide, avg. reward: 25.556, 2.473 sec/game, 14.0 min. total, 461.2 MB
