sanding_take v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
sanding_take v2 36 games, 26001 moves, e=0.974, loss: 479.5, ., 50.7% elo% vs. guard_bot, avg. reward: 26.118, 1.418 sec/game, 0.6 min. total, 431.9 MB
sanding_take v2 37 games, 26550 moves, e=0.974, loss: 494.5, ., 50.7% elo% vs. guard_bot, avg. reward: 26.085, 1.392 sec/game, 0.6 min. total, 431.9 MB
sanding_take v2 38 games, 27337 moves, e=0.973, loss: 517.6, ., 50.7% elo% vs. guard_bot, avg. reward: 26.068, 1.389 sec/game, 0.6 min. total, 431.7 MB
sanding_take v2 39 games, 28215 moves, e=0.972, loss: 520.1, ., 50.6% elo% vs. guard_bot, avg. reward: 26.041, 1.386 sec/game, 0.7 min. total, 432.6 MB
sanding_take v2 40 games, 28994 moves, e=0.971, loss: 520.1, ., 50.6% elo% vs. guard_bot, avg. reward: 26.080, 1.398 sec/game, 0.7 min. total, 433.0 MB
sanding_take v2 41 games, 29653 moves, e=0.971, loss: 522.3, ., 50.6% elo% vs. guard_bot, avg. reward: 26.069, 1.393 sec/game, 0.7 min. total, 433.1 MB
sanding_take v2 42 games, 30289 moves, e=0.970, loss: 554.9, ., 50.6% elo% vs. guard_bot, avg. reward: 26.095, 1.395 sec/game, 0.7 min. total, 432.9 MB
sanding_take v2 43 games, 31060 moves, e=0.969, loss: 574.9, ., 50.5% elo% vs. guard_bot, avg. reward: 26.119, 1.406 sec/game, 0.8 min. total, 433.4 MB
sanding_take v2 44 games, 31784 moves, e=0.969, loss: 603.0, ., 50.5% elo% vs. guard_bot, avg. reward: 26.139, 1.415 sec/game, 0.8 min. total, 433.5 MB
sanding_take v2 45 games, 32406 moves, e=0.968, loss: 566.0, ., 50.5% elo% vs. guard_bot, avg. reward: 26.144, 1.392 sec/game, 0.8 min. total, 433.5 MB
sanding_take v2 46 games, 33116 moves, e=0.967, loss: 613.5, ., 50.5% elo% vs. guard_bot, avg. reward: 26.175, 1.400 sec/game, 0.8 min. total, 433.2 MB
sanding_take v2 47 games, 33860 moves, e=0.966, loss: 677.2, ., 50.4% elo% vs. guard_bot, avg. reward: 26.188, 1.421 sec/game, 0.9 min. total, 434.5 MB
sanding_take v2 48 games, 34605 moves, e=0.966, loss: 673.5, ., 50.4% elo% vs. guard_bot, avg. reward: 26.171, 1.437 sec/game, 0.9 min. total, 435.9 MB
sanding_take v2 49 games, 35418 moves, e=0.965, loss: 682.7, ., 50.4% elo% vs. guard_bot, avg. reward: 26.203, 1.459 sec/game, 0.9 min. total, 435.1 MB
sanding_take v2 50 games, 36293 moves, e=0.964, loss: 781.4, ., 50.4% elo% vs. guard_bot, avg. reward: 26.212, 1.466 sec/game, 1.0 min. total, 436.6 MB
sanding_take v2 51 games, 37055 moves, e=0.963, loss: 772.4, ., 50.4% elo% vs. guard_bot, avg. reward: 26.233, 1.475 sec/game, 1.0 min. total, 436.7 MB
sanding_take v2 52 games, 37831 moves, e=0.963, loss: 792.1, ., 50.3% elo% vs. guard_bot, avg. reward: 26.200, 1.498 sec/game, 1.0 min. total, 436.8 MB
sanding_take v2 53 games, 38524 moves, e=0.962, loss: 819.6, ., 50.3% elo% vs. guard_bot, avg. reward: 26.218, 1.504 sec/game, 1.0 min. total, 437.1 MB
sanding_take v2 54 games, 39317 moves, e=0.961, loss: 771.6, ., 50.3% elo% vs. guard_bot, avg. reward: 26.199, 1.549 sec/game, 1.1 min. total, 437.0 MB
sanding_take v2 55 games, 40009 moves, e=0.960, loss: 842.6, ., 50.3% elo% vs. guard_bot, avg. reward: 26.198, 1.550 sec/game, 1.1 min. total, 436.9 MB
sanding_take v2 56 games, 40790 moves, e=0.960, loss: 931.1, ., 50.3% elo% vs. guard_bot, avg. reward: 26.194, 1.546 sec/game, 1.1 min. total, 436.5 MB
sanding_take v2 57 games, 41527 moves, e=0.959, loss: 961.6, ., 50.3% elo% vs. guard_bot, avg. reward: 26.204, 1.581 sec/game, 1.2 min. total, 437.0 MB
sanding_take v2 58 games, 42151 moves, e=0.958, loss: 968.1, ., 50.3% elo% vs. guard_bot, avg. reward: 26.190, 1.581 sec/game, 1.2 min. total, 437.0 MB
sanding_take v2 59 games, 42873 moves, e=0.958, loss: 1031.8, ., 50.3% elo% vs. guard_bot, avg. reward: 26.193, 1.572 sec/game, 1.2 min. total, 437.1 MB
sanding_take v2 60 games, 43534 moves, e=0.957, loss: 1073.4, +, 52.5% elo% vs. guard_bot, avg. reward: 26.173, 1.563 sec/game, 1.2 min. total, 437.1 MB
sanding_take v2 61 games, 44317 moves, e=0.956, loss: 1034.1, +, 54.7% elo% vs. guard_bot, avg. reward: 26.181, 1.581 sec/game, 1.3 min. total, 437.4 MB
sanding_take v2 62 games, 44955 moves, e=0.955, loss: 1146.5, ., 54.5% elo% vs. guard_bot, avg. reward: 26.172, 1.580 sec/game, 1.3 min. total, 437.5 MB
sanding_take v2 63 games, 45713 moves, e=0.955, loss: 1123.3, +, 56.6% elo% vs. guard_bot, avg. reward: 26.178, 1.581 sec/game, 1.3 min. total, 438.6 MB
