lanky_repaying v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
lanky_repaying v3 34 games, 23521 moves, e=0.977, loss: 8190089.0, -, 33.3% elo% vs. random_no_suicide, avg. reward: 1351.587, 1.223 sec/game, 0.5 min. total, 429.9 MB
lanky_repaying v3 35 games, 24309 moves, e=0.976, loss: 8484374.4, -, 31.9% elo% vs. random_no_suicide, avg. reward: 1339.436, 1.278 sec/game, 0.5 min. total, 429.9 MB
lanky_repaying v3 36 games, 25103 moves, e=0.975, loss: 8168265.5, -, 30.6% elo% vs. random_no_suicide, avg. reward: 1365.993, 1.281 sec/game, 0.5 min. total, 431.7 MB
lanky_repaying v3 37 games, 25723 moves, e=0.975, loss: 8444205.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: 1375.459, 1.265 sec/game, 0.5 min. total, 433.2 MB
lanky_repaying v3 38 games, 26447 moves, e=0.974, loss: 9476141.3, -, 28.3% elo% vs. random_no_suicide, avg. reward: 1398.394, 1.270 sec/game, 0.6 min. total, 433.9 MB
lanky_repaying v3 39 games, 27125 moves, e=0.973, loss: 9752920.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: 1381.962, 1.271 sec/game, 0.6 min. total, 433.9 MB
lanky_repaying v3 40 games, 27859 moves, e=0.972, loss: 9703099.9, -, 26.3% elo% vs. random_no_suicide, avg. reward: 1362.390, 1.276 sec/game, 0.6 min. total, 434.4 MB
lanky_repaying v3 41 games, 28650 moves, e=0.972, loss: 10232235.7, -, 25.4% elo% vs. random_no_suicide, avg. reward: 1360.270, 1.280 sec/game, 0.6 min. total, 434.6 MB
lanky_repaying v3 42 games, 29358 moves, e=0.971, loss: 10247924.2, -, 24.5% elo% vs. random_no_suicide, avg. reward: 1412.319, 1.301 sec/game, 0.7 min. total, 434.6 MB
lanky_repaying v3 43 games, 30377 moves, e=0.970, loss: 10235517.2, -, 23.7% elo% vs. random_no_suicide, avg. reward: 1420.632, 1.335 sec/game, 0.7 min. total, 435.8 MB
lanky_repaying v3 44 games, 31112 moves, e=0.969, loss: 11118318.5, -, 22.9% elo% vs. random_no_suicide, avg. reward: 1430.171, 1.340 sec/game, 0.7 min. total, 436.5 MB
lanky_repaying v3 45 games, 31798 moves, e=0.969, loss: 11324413.4, -, 22.2% elo% vs. random_no_suicide, avg. reward: 1424.919, 1.335 sec/game, 0.7 min. total, 437.0 MB
lanky_repaying v3 46 games, 32577 moves, e=0.968, loss: 11644948.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: 1418.344, 1.343 sec/game, 0.8 min. total, 437.6 MB
lanky_repaying v3 47 games, 33258 moves, e=0.967, loss: 11384800.0, -, 20.8% elo% vs. random_no_suicide, avg. reward: 1415.870, 1.324 sec/game, 0.8 min. total, 438.6 MB
lanky_repaying v3 48 games, 33913 moves, e=0.966, loss: 11138424.4, -, 20.2% elo% vs. random_no_suicide, avg. reward: 1408.681, 1.326 sec/game, 0.8 min. total, 440.7 MB
lanky_repaying v3 49 games, 34770 moves, e=0.966, loss: 11531487.4, -, 19.6% elo% vs. random_no_suicide, avg. reward: 1410.692, 1.350 sec/game, 0.8 min. total, 441.1 MB
lanky_repaying v3 50 games, 35611 moves, e=0.965, loss: 11293946.7, -, 19.0% elo% vs. random_no_suicide, avg. reward: 1408.457, 1.365 sec/game, 0.8 min. total, 441.6 MB
lanky_repaying v3 51 games, 36245 moves, e=0.964, loss: 11016170.0, -, 18.5% elo% vs. random_no_suicide, avg. reward: 1387.697, 1.363 sec/game, 0.9 min. total, 441.6 MB
lanky_repaying v3 52 games, 36927 moves, e=0.963, loss: 10885954.5, -, 18.0% elo% vs. random_no_suicide, avg. reward: 1367.509, 1.354 sec/game, 0.9 min. total, 441.5 MB
lanky_repaying v3 53 games, 37604 moves, e=0.963, loss: 11000547.5, -, 17.5% elo% vs. random_no_suicide, avg. reward: 1359.680, 1.346 sec/game, 0.9 min. total, 441.1 MB
lanky_repaying v3 54 games, 38484 moves, e=0.962, loss: 10716285.3, -, 17.0% elo% vs. random_no_suicide, avg. reward: 1361.436, 1.370 sec/game, 0.9 min. total, 441.7 MB
lanky_repaying v3 55 games, 39262 moves, e=0.961, loss: 11030031.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: 1347.183, 1.369 sec/game, 1.0 min. total, 441.9 MB
lanky_repaying v3 56 games, 39949 moves, e=0.960, loss: 10563867.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: 1388.027, 1.356 sec/game, 1.0 min. total, 442.2 MB
lanky_repaying v3 57 games, 40532 moves, e=0.960, loss: 10814842.2, -, 15.8% elo% vs. random_no_suicide, avg. reward: 1382.448, 1.357 sec/game, 1.0 min. total, 443.0 MB
lanky_repaying v3 58 games, 41244 moves, e=0.959, loss: 10443872.1, -, 15.4% elo% vs. random_no_suicide, avg. reward: 1394.189, 1.353 sec/game, 1.0 min. total, 443.4 MB
lanky_repaying v3 59 games, 41964 moves, e=0.958, loss: 10324663.8, -, 15.0% elo% vs. random_no_suicide, avg. reward: 1416.554, 1.357 sec/game, 1.0 min. total, 443.1 MB
lanky_repaying v3 60 games, 42552 moves, e=0.958, loss: 10946010.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: 1432.640, 1.342 sec/game, 1.1 min. total, 443.9 MB
lanky_repaying v3 61 games, 43274 moves, e=0.957, loss: 10994278.3, -, 14.3% elo% vs. random_no_suicide, avg. reward: 1421.399, 1.339 sec/game, 1.1 min. total, 443.4 MB
lanky_repaying v3 62 games, 44131 moves, e=0.956, loss: 11167266.5, -, 14.0% elo% vs. random_no_suicide, avg. reward: 1469.466, 1.343 sec/game, 1.1 min. total, 443.9 MB
lanky_repaying v3 63 games, 44858 moves, e=0.956, loss: 11854239.6, -, 13.7% elo% vs. random_no_suicide, avg. reward: 1468.955, 1.320 sec/game, 1.1 min. total, 444.2 MB
lanky_repaying v3 64 games, 45544 moves, e=0.955, loss: 12377907.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: 1474.054, 1.306 sec/game, 1.1 min. total, 444.3 MB
lanky_repaying v3 65 games, 46341 moves, e=0.954, loss: 12852946.7, -, 13.1% elo% vs. random_no_suicide, avg. reward: 1472.089, 1.323 sec/game, 1.2 min. total, 443.6 MB
lanky_repaying v3 66 games, 46974 moves, e=0.953, loss: 13009290.0, -, 12.9% elo% vs. random_no_suicide, avg. reward: 1507.809, 1.303 sec/game, 1.2 min. total, 444.1 MB
lanky_repaying v3 67 games, 47662 moves, e=0.953, loss: 13370682.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: 1497.727, 1.312 sec/game, 1.2 min. total, 444.6 MB
lanky_repaying v3 68 games, 48387 moves, e=0.952, loss: 14365098.4, -, 12.3% elo% vs. random_no_suicide, avg. reward: 1489.497, 1.325 sec/game, 1.2 min. total, 444.4 MB
lanky_repaying v3 69 games, 49020 moves, e=0.951, loss: 14645846.0, -, 12.1% elo% vs. random_no_suicide, avg. reward: 1487.907, 1.314 sec/game, 1.3 min. total, 445.3 MB
lanky_repaying v3 70 games, 49810 moves, e=0.951, loss: 15296581.3, -, 11.9% elo% vs. random_no_suicide, avg. reward: 1480.312, 1.334 sec/game, 1.3 min. total, 445.0 MB
lanky_repaying v3 71 games, 50525 moves, e=0.950, loss: 15069610.9, -, 11.6% elo% vs. random_no_suicide, avg. reward: 1471.126, 1.350 sec/game, 1.3 min. total, 445.5 MB
lanky_repaying v3 72 games, 51372 moves, e=0.949, loss: 14361076.1, -, 11.4% elo% vs. random_no_suicide, avg. reward: 1463.766, 1.397 sec/game, 1.3 min. total, 445.2 MB
lanky_repaying v3 73 games, 52195 moves, e=0.948, loss: 14566148.1, -, 11.2% elo% vs. random_no_suicide, avg. reward: 1464.775, 1.420 sec/game, 1.4 min. total, 446.0 MB
lanky_repaying v3 74 games, 52926 moves, e=0.948, loss: 14061662.4, -, 11.0% elo% vs. random_no_suicide, avg. reward: 1482.502, 1.428 sec/game, 1.4 min. total, 446.0 MB
lanky_repaying v3 75 games, 53672 moves, e=0.947, loss: 14591803.6, -, 10.8% elo% vs. random_no_suicide, avg. reward: 1483.517, 1.440 sec/game, 1.4 min. total, 446.0 MB
lanky_repaying v3 76 games, 54499 moves, e=0.946, loss: 14287437.6, -, 10.6% elo% vs. random_no_suicide, avg. reward: 1484.066, 1.462 sec/game, 1.5 min. total, 446.1 MB
lanky_repaying v3 77 games, 55376 moves, e=0.945, loss: 14016730.2, -, 10.4% elo% vs. random_no_suicide, avg. reward: 1485.364, 1.523 sec/game, 1.5 min. total, 446.6 MB
lanky_repaying v3 78 games, 56176 moves, e=0.944, loss: 14064214.6, -, 10.3% elo% vs. random_no_suicide, avg. reward: 1475.255, 1.543 sec/game, 1.5 min. total, 446.6 MB
lanky_repaying v3 79 games, 56894 moves, e=0.944, loss: 14092200.2, -, 10.1% elo% vs. random_no_suicide, avg. reward: 1495.355, 1.568 sec/game, 1.6 min. total, 446.7 MB
lanky_repaying v3 80 games, 57631 moves, e=0.943, loss: 14147330.7, -, 9.9% elo% vs. random_no_suicide, avg. reward: 1485.256, 1.610 sec/game, 1.6 min. total, 447.3 MB
lanky_repaying v3 81 games, 58392 moves, e=0.942, loss: 14476526.0, -, 9.8% elo% vs. random_no_suicide, avg. reward: 1472.237, 1.627 sec/game, 1.6 min. total, 447.3 MB
lanky_repaying v3 82 games, 59125 moves, e=0.941, loss: 14685714.5, -, 9.6% elo% vs. random_no_suicide, avg. reward: 1475.764, 1.629 sec/game, 1.6 min. total, 447.1 MB
lanky_repaying v3 83 games, 59829 moves, e=0.941, loss: 14717345.5, -, 9.4% elo% vs. random_no_suicide, avg. reward: 1461.546, 1.648 sec/game, 1.7 min. total, 447.6 MB
lanky_repaying v3 84 games, 60563 moves, e=0.940, loss: 14108289.7, -, 9.3% elo% vs. random_no_suicide, avg. reward: 1472.046, 1.669 sec/game, 1.7 min. total, 447.7 MB
lanky_repaying v3 85 games, 61239 moves, e=0.939, loss: 14379361.6, -, 9.2% elo% vs. random_no_suicide, avg. reward: 1462.013, 1.659 sec/game, 1.7 min. total, 447.5 MB
lanky_repaying v3 86 games, 62065 moves, e=0.939, loss: 14370226.4, -, 9.0% elo% vs. random_no_suicide, avg. reward: 1468.321, 1.688 sec/game, 1.7 min. total, 447.1 MB
lanky_repaying v3 87 games, 62879 moves, e=0.938, loss: 14848525.6, -, 8.9% elo% vs. random_no_suicide, avg. reward: 1471.276, 1.711 sec/game, 1.8 min. total, 447.9 MB
