remix_overdress v1 37 games, 25791 moves, e=0.974, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.347, 0.269 sec/game, 0.2 min. total, 418.5 MB
remix_overdress v1 38 games, 26505 moves, e=0.974, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.346, 0.269 sec/game, 0.2 min. total, 422.7 MB
remix_overdress v1 39 games, 27057 moves, e=0.973, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.422, 0.270 sec/game, 0.2 min. total, 426.2 MB
remix_overdress v1 40 games, 27665 moves, e=0.973, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.456, 0.271 sec/game, 0.2 min. total, 429.6 MB
remix_overdress v1 41 games, 28328 moves, e=0.972, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.469, 0.272 sec/game, 0.2 min. total, 432.5 MB
remix_overdress v1 42 games, 29031 moves, e=0.971, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.463, 0.273 sec/game, 0.2 min. total, 436.8 MB
remix_overdress v1 43 games, 29676 moves, e=0.971, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.483, 0.273 sec/game, 0.2 min. total, 440.3 MB
remix_overdress v1 44 games, 30414 moves, e=0.970, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.462, 0.276 sec/game, 0.2 min. total, 440.4 MB
remix_overdress v1 45 games, 31092 moves, e=0.969, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.467, 0.265 sec/game, 0.2 min. total, 440.8 MB
remix_overdress v1 46 games, 31797 moves, e=0.969, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.458, 0.267 sec/game, 0.2 min. total, 441.3 MB
remix_overdress v1 47 games, 32531 moves, e=0.968, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.444, 0.269 sec/game, 0.2 min. total, 442.7 MB
remix_overdress v1 48 games, 33123 moves, e=0.967, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.478, 0.267 sec/game, 0.2 min. total, 443.9 MB
remix_overdress v1 49 games, 33839 moves, e=0.966, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.464, 0.262 sec/game, 0.2 min. total, 445.5 MB
remix_overdress v1 50 games, 34549 moves, e=0.966, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.460, 0.263 sec/game, 0.2 min. total, 447.1 MB
