enrich_mushiness v1 45 games, 27673 moves, e=0.973, loss: nan, -, 52.6% elo% vs. v0, avg. reward: -10.444, 0.475 sec/game, 0.3 min. total, 472.8 MB
enrich_mushiness v1 46 games, 28417 moves, e=0.972, loss: nan, -, 50.2% elo% vs. v0, avg. reward: -10.424, 0.425 sec/game, 0.3 min. total, 475.3 MB
enrich_mushiness v1 47 games, 29242 moves, e=0.971, loss: nan, +, 52.5% elo% vs. v0, avg. reward: -10.387, 0.429 sec/game, 0.3 min. total, 478.4 MB
enrich_mushiness v1 48 games, 29869 moves, e=0.970, loss: nan, -, 50.1% elo% vs. v0, avg. reward: -10.417, 0.427 sec/game, 0.3 min. total, 480.5 MB
enrich_mushiness v1 50 games, 30819 moves, e=0.969, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -10.434, 0.454 sec/game, 0.4 min. total, 483.8 MB
enrich_mushiness v1 51 games, 31546 moves, e=0.969, loss: nan, ., 50.1% elo% vs. v0, avg. reward: -10.422, 0.457 sec/game, 0.4 min. total, 486.7 MB
enrich_mushiness v1 52 games, 32198 moves, e=0.968, loss: nan, -, 47.8% elo% vs. v0, avg. reward: -10.435, 0.458 sec/game, 0.4 min. total, 489.4 MB
enrich_mushiness v1 54 games, 33125 moves, e=0.967, loss: nan, +, 50.2% elo% vs. v0, avg. reward: -10.473, 0.447 sec/game, 0.4 min. total, 495.0 MB
enrich_mushiness v1 55 games, 33815 moves, e=0.967, loss: nan, +, 52.5% elo% vs. v0, avg. reward: -10.475, 0.448 sec/game, 0.4 min. total, 498.4 MB
enrich_mushiness v1 56 games, 34479 moves, e=0.966, loss: nan, -, 50.1% elo% vs. v0, avg. reward: -10.485, 0.448 sec/game, 0.4 min. total, 501.8 MB
enrich_mushiness v1 57 games, 35260 moves, e=0.965, loss: nan, +, 52.4% elo% vs. v0, avg. reward: -10.456, 0.447 sec/game, 0.4 min. total, 506.0 MB
enrich_mushiness v1 59 games, 36174 moves, e=0.964, loss: nan, -, 49.9% elo% vs. v0, avg. reward: -10.509, 0.481 sec/game, 0.4 min. total, 513.7 MB
enrich_mushiness v1 60 games, 36784 moves, e=0.964, loss: nan, ., 49.9% elo% vs. v0, avg. reward: -10.531, 0.478 sec/game, 0.4 min. total, 518.3 MB
enrich_mushiness v1 61 games, 37558 moves, e=0.963, loss: nan, +, 52.2% elo% vs. v0, avg. reward: -10.513, 0.479 sec/game, 0.4 min. total, 523.7 MB
enrich_mushiness v1 62 games, 38277 moves, e=0.962, loss: nan, +, 54.4% elo% vs. v0, avg. reward: -10.505, 0.480 sec/game, 0.5 min. total, 527.8 MB
enrich_mushiness v1 63 games, 39036 moves, e=0.961, loss: nan, +, 56.5% elo% vs. v0, avg. reward: -10.486, 0.473 sec/game, 0.5 min. total, 528.5 MB
enrich_mushiness v1 64 games, 39630 moves, e=0.961, loss: nan, -, 53.9% elo% vs. v0, avg. reward: -10.508, 0.472 sec/game, 0.5 min. total, 529.9 MB
enrich_mushiness v1 65 games, 40367 moves, e=0.960, loss: nan, -, 51.5% elo% vs. v0, avg. reward: -10.496, 0.443 sec/game, 0.5 min. total, 532.6 MB
enrich_mushiness v1 66 games, 41119 moves, e=0.959, loss: nan, -, 49.1% elo% vs. v0, avg. reward: -10.481, 0.444 sec/game, 0.5 min. total, 535.4 MB
enrich_mushiness v1 67 games, 41804 moves, e=0.959, loss: nan, +, 51.4% elo% vs. v0, avg. reward: -10.482, 0.440 sec/game, 0.5 min. total, 537.9 MB
enrich_mushiness v1 68 games, 42461 moves, e=0.958, loss: nan, -, 49.1% elo% vs. v0, avg. reward: -10.491, 0.441 sec/game, 0.5 min. total, 540.4 MB
