facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v3 155 games, 114907 moves, e=0.886, loss: 262.7, -, 59.7% elo% vs. v2, avg. reward: 0.939, 1.673 sec/game, 4.0 min. total, 513.5 MB
facial_putdown v3 156 games, 115741 moves, e=0.885, loss: 255.8, +, 61.5% elo% vs. v2, avg. reward: 0.998, 1.667 sec/game, 4.0 min. total, 513.4 MB
facial_putdown v3 157 games, 116438 moves, e=0.885, loss: 254.8, +, 63.1% elo% vs. v2, avg. reward: 1.008, 1.635 sec/game, 4.1 min. total, 514.1 MB
facial_putdown v3 158 games, 117260 moves, e=0.884, loss: 266.2, ., 62.6% elo% vs. v2, avg. reward: 1.007, 1.644 sec/game, 4.1 min. total, 517.5 MB
facial_putdown v3 159 games, 118222 moves, e=0.883, loss: 271.6, +, 64.2% elo% vs. v2, avg. reward: 1.035, 1.668 sec/game, 4.1 min. total, 513.8 MB
facial_putdown v3 160 games, 118932 moves, e=0.882, loss: 277.2, +, 65.7% elo% vs. v2, avg. reward: 0.990, 1.668 sec/game, 4.1 min. total, 513.9 MB
facial_putdown v3 161 games, 119670 moves, e=0.882, loss: 279.4, +, 67.1% elo% vs. v2, avg. reward: 0.952, 1.657 sec/game, 4.2 min. total, 515.4 MB
facial_putdown v3 162 games, 120436 moves, e=0.881, loss: 290.7, +, 68.4% elo% vs. v2, avg. reward: 1.003, 1.615 sec/game, 4.2 min. total, 519.2 MB
facial_putdown v3 163 games, 121292 moves, e=0.880, loss: 277.2, +, 69.7% elo% vs. v2, avg. reward: 1.036, 1.622 sec/game, 4.2 min. total, 517.5 MB
facial_putdown v3 164 games, 122072 moves, e=0.879, loss: 277.8, +, 70.8% elo% vs. v2, avg. reward: 1.074, 1.611 sec/game, 4.3 min. total, 516.8 MB
facial_putdown v4 165 games, 122824 moves, e=0.878, loss: 278.7, +, 54.5% elo% vs. v3, avg. reward: 1.084, 1.624 sec/game, 4.3 min. total, 524.3 MB
facial_putdown v4 166 games, 123517 moves, e=0.878, loss: 280.5, -, 52.0% elo% vs. v3, avg. reward: 1.069, 1.614 sec/game, 4.3 min. total, 524.6 MB
facial_putdown v4 167 games, 124325 moves, e=0.877, loss: 268.4, -, 49.6% elo% vs. v3, avg. reward: 1.071, 1.627 sec/game, 4.3 min. total, 529.0 MB
facial_putdown v4 168 games, 125150 moves, e=0.876, loss: 280.4, -, 47.3% elo% vs. v3, avg. reward: 1.072, 1.633 sec/game, 4.4 min. total, 526.0 MB
facial_putdown v4 169 games, 125911 moves, e=0.875, loss: 284.2, +, 49.7% elo% vs. v3, avg. reward: 1.017, 1.644 sec/game, 4.4 min. total, 526.9 MB
facial_putdown v4 170 games, 126677 moves, e=0.875, loss: 284.1, -, 47.4% elo% vs. v3, avg. reward: 0.945, 1.633 sec/game, 4.4 min. total, 528.4 MB
facial_putdown v4 171 games, 127347 moves, e=0.874, loss: 305.0, ., 47.6% elo% vs. v3, avg. reward: 0.932, 1.614 sec/game, 4.4 min. total, 530.3 MB
facial_putdown v4 172 games, 128115 moves, e=0.873, loss: 294.4, -, 45.4% elo% vs. v3, avg. reward: 0.928, 1.617 sec/game, 4.5 min. total, 532.1 MB
facial_putdown v4 173 games, 128821 moves, e=0.872, loss: 289.2, ., 45.6% elo% vs. v3, avg. reward: 0.920, 1.625 sec/game, 4.5 min. total, 528.8 MB
facial_putdown v4 174 games, 129681 moves, e=0.872, loss: 278.3, ., 45.8% elo% vs. v3, avg. reward: 0.927, 1.650 sec/game, 4.5 min. total, 528.9 MB
facial_putdown v4 175 games, 130436 moves, e=0.871, loss: 289.8, -, 43.7% elo% vs. v3, avg. reward: 0.916, 1.651 sec/game, 4.6 min. total, 529.0 MB
facial_putdown v4 176 games, 131144 moves, e=0.870, loss: 288.0, -, 41.7% elo% vs. v3, avg. reward: 0.929, 1.629 sec/game, 4.6 min. total, 529.8 MB
facial_putdown v4 177 games, 132005 moves, e=0.869, loss: 284.7, +, 44.4% elo% vs. v3, avg. reward: 0.945, 1.655 sec/game, 4.6 min. total, 530.4 MB
facial_putdown v4 178 games, 132739 moves, e=0.869, loss: 286.7, +, 46.9% elo% vs. v3, avg. reward: 0.976, 1.646 sec/game, 4.6 min. total, 531.7 MB
facial_putdown v4 179 games, 133648 moves, e=0.868, loss: 300.6, +, 49.4% elo% vs. v3, avg. reward: 0.977, 1.653 sec/game, 4.7 min. total, 532.2 MB
facial_putdown v4 180 games, 134405 moves, e=0.867, loss: 293.4, +, 51.7% elo% vs. v3, avg. reward: 0.977, 1.654 sec/game, 4.7 min. total, 533.5 MB
facial_putdown v4 181 games, 135186 moves, e=0.866, loss: 277.0, -, 49.3% elo% vs. v3, avg. reward: 0.934, 1.666 sec/game, 4.7 min. total, 535.9 MB
facial_putdown v4 182 games, 135874 moves, e=0.865, loss: 271.7, +, 51.6% elo% vs. v3, avg. reward: 0.887, 1.656 sec/game, 4.7 min. total, 538.3 MB
facial_putdown v4 183 games, 136686 moves, e=0.865, loss: 266.8, -, 49.3% elo% vs. v3, avg. reward: 0.909, 1.641 sec/game, 4.8 min. total, 538.0 MB
facial_putdown v4 184 games, 137557 moves, e=0.864, loss: 269.6, -, 47.0% elo% vs. v3, avg. reward: 0.964, 1.651 sec/game, 4.8 min. total, 539.1 MB
facial_putdown v4 185 games, 138266 moves, e=0.863, loss: 272.6, -, 44.8% elo% vs. v3, avg. reward: 0.921, 1.650 sec/game, 4.8 min. total, 539.2 MB
facial_putdown v4 186 games, 138999 moves, e=0.862, loss: 259.3, +, 47.4% elo% vs. v3, avg. reward: 0.920, 1.649 sec/game, 4.9 min. total, 539.5 MB
facial_putdown v4 187 games, 139841 moves, e=0.862, loss: 264.1, -, 45.2% elo% vs. v3, avg. reward: 0.920, 1.650 sec/game, 4.9 min. total, 539.5 MB
facial_putdown v4 188 games, 140712 moves, e=0.861, loss: 250.9, -, 43.2% elo% vs. v3, avg. reward: 0.891, 1.660 sec/game, 4.9 min. total, 539.9 MB
facial_putdown v4 189 games, 141426 moves, e=0.860, loss: 239.4, -, 41.2% elo% vs. v3, avg. reward: 0.907, 1.653 sec/game, 4.9 min. total, 540.0 MB
facial_putdown v4 190 games, 142217 moves, e=0.859, loss: 225.7, +, 43.9% elo% vs. v3, avg. reward: 0.820, 1.665 sec/game, 5.0 min. total, 540.5 MB
facial_putdown v4 191 games, 142915 moves, e=0.859, loss: 218.9, ., 44.1% elo% vs. v3, avg. reward: 0.787, 1.661 sec/game, 5.0 min. total, 541.5 MB
facial_putdown v4 192 games, 143614 moves, e=0.858, loss: 221.1, -, 42.1% elo% vs. v3, avg. reward: 0.709, 1.649 sec/game, 5.0 min. total, 543.3 MB
facial_putdown v4 193 games, 144495 moves, e=0.857, loss: 224.8, +, 44.8% elo% vs. v3, avg. reward: 0.708, 1.656 sec/game, 5.1 min. total, 544.4 MB
facial_putdown v4 194 games, 145270 moves, e=0.856, loss: 223.3, +, 47.3% elo% vs. v3, avg. reward: 0.790, 1.644 sec/game, 5.1 min. total, 545.0 MB
facial_putdown v4 195 games, 146058 moves, e=0.855, loss: 220.8, +, 49.7% elo% vs. v3, avg. reward: 0.784, 1.665 sec/game, 5.1 min. total, 544.6 MB
facial_putdown v4 196 games, 146903 moves, e=0.855, loss: 220.4, -, 47.4% elo% vs. v3, avg. reward: 0.772, 1.679 sec/game, 5.1 min. total, 545.0 MB
facial_putdown v4 197 games, 147750 moves, e=0.854, loss: 228.7, +, 49.8% elo% vs. v3, avg. reward: 0.744, 1.682 sec/game, 5.2 min. total, 544.7 MB
facial_putdown v4 198 games, 148625 moves, e=0.853, loss: 232.8, -, 47.6% elo% vs. v3, avg. reward: 0.746, 1.698 sec/game, 5.2 min. total, 545.0 MB
facial_putdown v4 199 games, 149502 moves, e=0.852, loss: 230.3, +, 50.0% elo% vs. v3, avg. reward: 0.815, 1.684 sec/game, 5.2 min. total, 545.3 MB
facial_putdown v4 200 games, 150181 moves, e=0.851, loss: 220.5, ., 50.0% elo% vs. v3, avg. reward: 0.836, 1.686 sec/game, 5.3 min. total, 544.9 MB
facial_putdown v4 201 games, 151002 moves, e=0.851, loss: 225.8, +, 52.3% elo% vs. v3, avg. reward: 0.724, 1.689 sec/game, 5.3 min. total, 545.5 MB
facial_putdown v4 202 games, 151845 moves, e=0.850, loss: 227.0, +, 54.5% elo% vs. v3, avg. reward: 0.702, 1.719 sec/game, 5.3 min. total, 550.3 MB
facial_putdown v4 203 games, 152615 moves, e=0.849, loss: 232.2, +, 56.5% elo% vs. v3, avg. reward: 0.713, 1.721 sec/game, 5.3 min. total, 549.3 MB
facial_putdown v4 204 games, 153416 moves, e=0.848, loss: 233.2, +, 58.5% elo% vs. v3, avg. reward: 0.736, 1.711 sec/game, 5.4 min. total, 549.0 MB
facial_putdown v4 205 games, 154190 moves, e=0.847, loss: 234.3, +, 60.3% elo% vs. v3, avg. reward: 0.717, 1.719 sec/game, 5.4 min. total, 549.3 MB
facial_putdown v4 206 games, 154879 moves, e=0.847, loss: 228.1, +, 62.1% elo% vs. v3, avg. reward: 0.751, 1.719 sec/game, 5.4 min. total, 549.5 MB
facial_putdown v4 207 games, 155630 moves, e=0.846, loss: 236.1, +, 63.7% elo% vs. v3, avg. reward: 0.733, 1.707 sec/game, 5.5 min. total, 549.1 MB
facial_putdown v4 208 games, 156437 moves, e=0.845, loss: 232.4, -, 60.9% elo% vs. v3, avg. reward: 0.763, 1.704 sec/game, 5.5 min. total, 549.4 MB
facial_putdown v4 209 games, 157306 moves, e=0.844, loss: 231.1, -, 58.2% elo% vs. v3, avg. reward: 0.776, 1.719 sec/game, 5.5 min. total, 549.6 MB
facial_putdown v4 210 games, 158120 moves, e=0.843, loss: 237.1, -, 55.6% elo% vs. v3, avg. reward: 0.869, 1.726 sec/game, 5.5 min. total, 550.1 MB
facial_putdown v4 211 games, 159031 moves, e=0.843, loss: 240.7, -, 53.1% elo% vs. v3, avg. reward: 0.909, 1.753 sec/game, 5.6 min. total, 551.2 MB
facial_putdown v4 212 games, 159862 moves, e=0.842, loss: 227.8, ., 52.9% elo% vs. v3, avg. reward: 0.897, 1.777 sec/game, 5.6 min. total, 552.4 MB
facial_putdown v4 213 games, 160594 moves, e=0.841, loss: 217.7, +, 55.1% elo% vs. v3, avg. reward: 0.901, 1.762 sec/game, 5.6 min. total, 551.8 MB
facial_putdown v4 214 games, 161387 moves, e=0.840, loss: 216.8, ., 54.8% elo% vs. v3, avg. reward: 0.892, 1.763 sec/game, 5.7 min. total, 551.8 MB
facial_putdown v4 215 games, 162334 moves, e=0.839, loss: 211.5, +, 56.9% elo% vs. v3, avg. reward: 0.940, 1.775 sec/game, 5.7 min. total, 552.2 MB
facial_putdown v4 216 games, 163132 moves, e=0.838, loss: 207.9, +, 58.8% elo% vs. v3, avg. reward: 0.932, 1.780 sec/game, 5.7 min. total, 552.1 MB
facial_putdown v4 217 games, 163980 moves, e=0.838, loss: 210.8, +, 60.7% elo% vs. v3, avg. reward: 0.919, 1.780 sec/game, 5.8 min. total, 552.9 MB
facial_putdown v4 218 games, 164776 moves, e=0.837, loss: 211.8, +, 62.4% elo% vs. v3, avg. reward: 0.959, 1.769 sec/game, 5.8 min. total, 552.9 MB
facial_putdown v4 219 games, 165607 moves, e=0.836, loss: 217.5, +, 64.0% elo% vs. v3, avg. reward: 1.041, 1.769 sec/game, 5.8 min. total, 552.8 MB
facial_putdown v4 220 games, 166399 moves, e=0.835, loss: 210.0, +, 65.5% elo% vs. v3, avg. reward: 1.060, 1.769 sec/game, 5.8 min. total, 553.7 MB
facial_putdown v4 221 games, 167273 moves, e=0.834, loss: 214.2, -, 62.7% elo% vs. v3, avg. reward: 1.166, 1.781 sec/game, 5.9 min. total, 555.3 MB
facial_putdown v4 222 games, 168128 moves, e=0.834, loss: 246.1, -, 60.0% elo% vs. v3, avg. reward: 1.157, 1.776 sec/game, 5.9 min. total, 556.1 MB
facial_putdown v4 223 games, 168941 moves, e=0.833, loss: 234.1, -, 57.3% elo% vs. v3, avg. reward: 1.169, 1.779 sec/game, 5.9 min. total, 556.4 MB
facial_putdown v4 224 games, 169762 moves, e=0.832, loss: 230.0, +, 59.2% elo% vs. v3, avg. reward: 1.172, 1.793 sec/game, 6.0 min. total, 556.1 MB
facial_putdown v4 225 games, 170796 moves, e=0.831, loss: 217.3, +, 61.0% elo% vs. v3, avg. reward: 1.239, 1.815 sec/game, 6.0 min. total, 556.2 MB
facial_putdown v4 226 games, 171580 moves, e=0.830, loss: 233.5, -, 58.3% elo% vs. v3, avg. reward: 1.240, 1.830 sec/game, 6.0 min. total, 556.4 MB
facial_putdown v4 227 games, 172465 moves, e=0.829, loss: 233.3, -, 55.7% elo% vs. v3, avg. reward: 1.227, 1.846 sec/game, 6.1 min. total, 556.7 MB
facial_putdown v4 228 games, 173314 moves, e=0.828, loss: 240.7, +, 57.7% elo% vs. v3, avg. reward: 1.335, 1.848 sec/game, 6.1 min. total, 557.0 MB
facial_putdown v4 229 games, 174146 moves, e=0.828, loss: 238.9, -, 55.1% elo% vs. v3, avg. reward: 1.328, 1.847 sec/game, 6.1 min. total, 557.0 MB
facial_putdown v4 230 games, 174948 moves, e=0.827, loss: 234.3, -, 52.6% elo% vs. v3, avg. reward: 1.248, 1.836 sec/game, 6.2 min. total, 557.6 MB
facial_putdown v4 231 games, 175748 moves, e=0.826, loss: 236.0, -, 50.1% elo% vs. v3, avg. reward: 1.221, 1.862 sec/game, 6.2 min. total, 559.5 MB
facial_putdown v4 232 games, 176562 moves, e=0.825, loss: 228.9, -, 47.8% elo% vs. v3, avg. reward: 1.207, 1.870 sec/game, 6.2 min. total, 559.0 MB
facial_putdown v4 233 games, 177496 moves, e=0.824, loss: 242.3, -, 45.6% elo% vs. v3, avg. reward: 1.246, 1.903 sec/game, 6.3 min. total, 559.1 MB
facial_putdown v4 234 games, 178346 moves, e=0.823, loss: 246.8, -, 43.6% elo% vs. v3, avg. reward: 1.313, 1.931 sec/game, 6.3 min. total, 559.3 MB
facial_putdown v4 235 games, 179281 moves, e=0.823, loss: 230.4, +, 46.1% elo% vs. v3, avg. reward: 1.317, 1.927 sec/game, 6.3 min. total, 559.8 MB
facial_putdown v4 236 games, 180065 moves, e=0.822, loss: 230.4, -, 44.0% elo% vs. v3, avg. reward: 1.342, 1.940 sec/game, 6.4 min. total, 559.5 MB
facial_putdown v4 237 games, 180905 moves, e=0.821, loss: 233.9, -, 42.0% elo% vs. v3, avg. reward: 1.330, 1.953 sec/game, 6.4 min. total, 559.5 MB
facial_putdown v4 238 games, 181745 moves, e=0.820, loss: 250.0, -, 40.2% elo% vs. v3, avg. reward: 1.356, 1.973 sec/game, 6.5 min. total, 560.0 MB
facial_putdown v4 239 games, 182457 moves, e=0.819, loss: 244.4, +, 42.8% elo% vs. v3, avg. reward: 1.374, 1.984 sec/game, 6.5 min. total, 559.9 MB
facial_putdown v4 240 games, 183221 moves, e=0.819, loss: 245.8, +, 45.4% elo% vs. v3, avg. reward: 1.320, 1.998 sec/game, 6.5 min. total, 559.9 MB
facial_putdown v4 241 games, 184083 moves, e=0.818, loss: 245.0, +, 47.9% elo% vs. v3, avg. reward: 1.293, 2.011 sec/game, 6.6 min. total, 562.2 MB
facial_putdown v4 242 games, 184878 moves, e=0.817, loss: 248.0, +, 50.3% elo% vs. v3, avg. reward: 1.288, 2.029 sec/game, 6.6 min. total, 562.0 MB
facial_putdown v4 243 games, 185728 moves, e=0.816, loss: 245.9, +, 52.6% elo% vs. v3, avg. reward: 1.310, 2.057 sec/game, 6.6 min. total, 561.6 MB
facial_putdown v4 244 games, 186478 moves, e=0.815, loss: 256.2, +, 54.8% elo% vs. v3, avg. reward: 1.293, 2.044 sec/game, 6.7 min. total, 561.6 MB
facial_putdown v4 245 games, 187324 moves, e=0.815, loss: 263.6, +, 56.8% elo% vs. v3, avg. reward: 1.389, 2.043 sec/game, 6.7 min. total, 561.8 MB
facial_putdown v4 246 games, 188217 moves, e=0.814, loss: 263.8, +, 58.8% elo% vs. v3, avg. reward: 1.399, 2.069 sec/game, 6.7 min. total, 562.0 MB
facial_putdown v4 247 games, 189058 moves, e=0.813, loss: 262.4, -, 56.1% elo% vs. v3, avg. reward: 1.377, 2.082 sec/game, 6.8 min. total, 562.1 MB
facial_putdown v4 248 games, 189822 moves, e=0.812, loss: 259.6, -, 53.6% elo% vs. v3, avg. reward: 1.371, 2.076 sec/game, 6.8 min. total, 561.9 MB
facial_putdown v4 249 games, 190527 moves, e=0.811, loss: 257.7, -, 51.1% elo% vs. v3, avg. reward: 1.363, 2.090 sec/game, 6.8 min. total, 563.2 MB
facial_putdown v4 250 games, 191246 moves, e=0.811, loss: 252.8, -, 48.8% elo% vs. v3, avg. reward: 1.362, 2.096 sec/game, 6.9 min. total, 564.6 MB
facial_putdown v4 251 games, 192120 moves, e=0.810, loss: 281.7, -, 46.5% elo% vs. v3, avg. reward: 1.329, 2.071 sec/game, 6.9 min. total, 565.8 MB
facial_putdown v4 252 games, 192907 moves, e=0.809, loss: 286.6, -, 44.4% elo% vs. v3, avg. reward: 1.342, 2.078 sec/game, 6.9 min. total, 566.0 MB
facial_putdown v4 253 games, 193788 moves, e=0.808, loss: 282.4, +, 46.9% elo% vs. v3, avg. reward: 1.371, 2.072 sec/game, 7.0 min. total, 565.6 MB
facial_putdown v4 254 games, 194610 moves, e=0.807, loss: 292.6, +, 49.4% elo% vs. v3, avg. reward: 1.339, 2.070 sec/game, 7.0 min. total, 565.8 MB
facial_putdown v4 255 games, 195482 moves, e=0.806, loss: 300.7, -, 47.1% elo% vs. v3, avg. reward: 1.437, 2.072 sec/game, 7.0 min. total, 565.8 MB
facial_putdown v4 256 games, 196530 moves, e=0.805, loss: 301.6, -, 44.9% elo% vs. v3, avg. reward: 1.462, 2.098 sec/game, 7.1 min. total, 565.8 MB
facial_putdown v4 257 games, 197367 moves, e=0.805, loss: 307.6, ., 45.2% elo% vs. v3, avg. reward: 1.521, 2.086 sec/game, 7.1 min. total, 565.9 MB
facial_putdown v4 258 games, 198254 moves, e=0.804, loss: 314.3, -, 43.1% elo% vs. v3, avg. reward: 1.497, 2.120 sec/game, 7.2 min. total, 566.8 MB
facial_putdown v4 259 games, 199013 moves, e=0.803, loss: 318.9, +, 45.7% elo% vs. v3, avg. reward: 1.484, 2.123 sec/game, 7.2 min. total, 567.0 MB
facial_putdown v4 260 games, 199845 moves, e=0.802, loss: 326.6, +, 48.2% elo% vs. v3, avg. reward: 1.515, 2.128 sec/game, 7.2 min. total, 569.3 MB
facial_putdown v4 261 games, 200717 moves, e=0.801, loss: 335.8, +, 50.6% elo% vs. v3, avg. reward: 1.492, 2.153 sec/game, 7.3 min. total, 569.7 MB
facial_putdown v4 262 games, 201605 moves, e=0.800, loss: 344.1, -, 48.3% elo% vs. v3, avg. reward: 1.507, 2.183 sec/game, 7.3 min. total, 569.3 MB
facial_putdown v4 263 games, 202532 moves, e=0.799, loss: 345.3, -, 46.0% elo% vs. v3, avg. reward: 1.534, 2.185 sec/game, 7.4 min. total, 569.5 MB
facial_putdown v4 264 games, 203483 moves, e=0.799, loss: 348.3, -, 43.9% elo% vs. v3, avg. reward: 1.535, 2.214 sec/game, 7.4 min. total, 569.7 MB
facial_putdown v4 265 games, 204257 moves, e=0.798, loss: 352.9, +, 46.5% elo% vs. v3, avg. reward: 1.561, 2.199 sec/game, 7.4 min. total, 569.8 MB
facial_putdown v4 266 games, 205082 moves, e=0.797, loss: 353.0, +, 49.0% elo% vs. v3, avg. reward: 1.547, 2.197 sec/game, 7.5 min. total, 569.7 MB
facial_putdown v4 267 games, 206056 moves, e=0.796, loss: 348.9, +, 51.3% elo% vs. v3, avg. reward: 1.549, 2.198 sec/game, 7.5 min. total, 569.8 MB
facial_putdown v4 268 games, 206832 moves, e=0.795, loss: 353.8, -, 48.9% elo% vs. v3, avg. reward: 1.569, 2.203 sec/game, 7.5 min. total, 569.9 MB
facial_putdown v4 269 games, 207651 moves, e=0.794, loss: 346.3, -, 46.7% elo% vs. v3, avg. reward: 1.574, 2.211 sec/game, 7.6 min. total, 571.4 MB
facial_putdown v4 270 games, 208447 moves, e=0.794, loss: 335.5, ., 46.9% elo% vs. v3, avg. reward: 1.592, 2.215 sec/game, 7.6 min. total, 572.3 MB
facial_putdown v4 271 games, 209374 moves, e=0.793, loss: 313.4, +, 49.3% elo% vs. v3, avg. reward: 1.590, 2.231 sec/game, 7.6 min. total, 572.5 MB
facial_putdown v4 272 games, 210294 moves, e=0.792, loss: 320.0, +, 51.6% elo% vs. v3, avg. reward: 1.666, 2.241 sec/game, 7.7 min. total, 572.4 MB
facial_putdown v4 273 games, 211186 moves, e=0.791, loss: 342.1, -, 49.3% elo% vs. v3, avg. reward: 1.738, 2.246 sec/game, 7.7 min. total, 572.7 MB
facial_putdown v4 274 games, 212035 moves, e=0.790, loss: 352.8, -, 47.0% elo% vs. v3, avg. reward: 1.711, 2.253 sec/game, 7.8 min. total, 572.3 MB
facial_putdown v4 275 games, 212904 moves, e=0.789, loss: 324.6, -, 44.8% elo% vs. v3, avg. reward: 1.760, 2.251 sec/game, 7.8 min. total, 573.0 MB
facial_putdown v4 276 games, 213807 moves, e=0.788, loss: 321.6, -, 42.8% elo% vs. v3, avg. reward: 1.789, 2.237 sec/game, 7.8 min. total, 572.8 MB
facial_putdown v4 277 games, 214652 moves, e=0.787, loss: 330.7, -, 40.9% elo% vs. v3, avg. reward: 1.826, 2.239 sec/game, 7.9 min. total, 573.1 MB
facial_putdown v4 278 games, 215436 moves, e=0.787, loss: 319.1, ., 41.3% elo% vs. v3, avg. reward: 1.854, 2.211 sec/game, 7.9 min. total, 573.5 MB
facial_putdown v4 279 games, 216258 moves, e=0.786, loss: 311.9, +, 43.9% elo% vs. v3, avg. reward: 1.875, 2.208 sec/game, 7.9 min. total, 575.9 MB
facial_putdown v4 280 games, 217154 moves, e=0.785, loss: 312.9, -, 42.0% elo% vs. v3, avg. reward: 1.909, 2.217 sec/game, 8.0 min. total, 576.1 MB
facial_putdown v4 281 games, 218120 moves, e=0.784, loss: 316.4, -, 40.1% elo% vs. v3, avg. reward: 1.932, 2.207 sec/game, 8.0 min. total, 576.1 MB
facial_putdown v4 282 games, 218943 moves, e=0.783, loss: 324.1, -, 38.3% elo% vs. v3, avg. reward: 1.997, 2.168 sec/game, 8.0 min. total, 576.7 MB
facial_putdown v4 283 games, 219947 moves, e=0.782, loss: 313.0, +, 41.0% elo% vs. v3, avg. reward: 1.989, 2.179 sec/game, 8.1 min. total, 576.1 MB
facial_putdown v4 284 games, 220801 moves, e=0.781, loss: 316.7, +, 43.7% elo% vs. v3, avg. reward: 1.948, 2.181 sec/game, 8.1 min. total, 576.2 MB
facial_putdown v4 285 games, 221611 moves, e=0.781, loss: 310.5, ., 44.0% elo% vs. v3, avg. reward: 1.986, 2.184 sec/game, 8.2 min. total, 576.7 MB
facial_putdown v4 286 games, 222433 moves, e=0.780, loss: 291.3, +, 46.5% elo% vs. v3, avg. reward: 2.007, 2.172 sec/game, 8.2 min. total, 576.2 MB
facial_putdown v4 287 games, 223318 moves, e=0.779, loss: 284.3, -, 44.4% elo% vs. v3, avg. reward: 2.024, 2.170 sec/game, 8.2 min. total, 576.6 MB
facial_putdown v4 288 games, 224197 moves, e=0.778, loss: 286.4, +, 47.0% elo% vs. v3, avg. reward: 2.006, 2.186 sec/game, 8.3 min. total, 577.7 MB
facial_putdown v4 289 games, 225062 moves, e=0.777, loss: 273.7, -, 44.8% elo% vs. v3, avg. reward: 2.000, 2.191 sec/game, 8.3 min. total, 578.5 MB
facial_putdown v4 290 games, 225854 moves, e=0.776, loss: 286.9, +, 47.3% elo% vs. v3, avg. reward: 2.037, 2.191 sec/game, 8.3 min. total, 580.1 MB
facial_putdown v4 291 games, 226688 moves, e=0.776, loss: 289.1, +, 49.8% elo% vs. v3, avg. reward: 2.105, 2.184 sec/game, 8.4 min. total, 580.4 MB
facial_putdown v4 292 games, 227491 moves, e=0.775, loss: 282.7, -, 47.5% elo% vs. v3, avg. reward: 2.160, 2.163 sec/game, 8.4 min. total, 580.4 MB
facial_putdown v4 293 games, 228221 moves, e=0.774, loss: 260.2, -, 45.3% elo% vs. v3, avg. reward: 2.135, 2.134 sec/game, 8.4 min. total, 580.4 MB
facial_putdown v4 294 games, 229074 moves, e=0.773, loss: 256.6, +, 47.8% elo% vs. v3, avg. reward: 2.108, 2.130 sec/game, 8.5 min. total, 580.8 MB
facial_putdown v4 295 games, 229926 moves, e=0.772, loss: 247.4, +, 50.2% elo% vs. v3, avg. reward: 2.133, 2.134 sec/game, 8.5 min. total, 580.8 MB
facial_putdown v4 296 games, 230828 moves, e=0.771, loss: 258.1, +, 52.5% elo% vs. v3, avg. reward: 2.119, 2.135 sec/game, 8.5 min. total, 580.8 MB
facial_putdown v4 297 games, 231793 moves, e=0.771, loss: 248.6, -, 50.1% elo% vs. v3, avg. reward: 2.142, 2.149 sec/game, 8.6 min. total, 581.4 MB
facial_putdown v4 298 games, 232763 moves, e=0.770, loss: 234.4, +, 52.4% elo% vs. v3, avg. reward: 2.144, 2.165 sec/game, 8.6 min. total, 581.1 MB
facial_putdown v4 299 games, 233679 moves, e=0.769, loss: 245.6, -, 50.0% elo% vs. v3, avg. reward: 2.103, 2.183 sec/game, 8.7 min. total, 581.6 MB
facial_putdown v4 300 games, 234646 moves, e=0.768, loss: 241.6, +, 52.3% elo% vs. v3, avg. reward: 2.168, 2.197 sec/game, 8.7 min. total, 582.8 MB
facial_putdown v5 301 games, 235588 moves, e=0.767, loss: 240.6, +, 52.3% elo% vs. v3, avg. reward: 2.167, 2.187 sec/game, 8.7 min. total, 584.3 MB
facial_putdown v5 302 games, 236572 moves, e=0.766, loss: 229.8, +, 54.5% elo% vs. v3, avg. reward: 2.192, 2.210 sec/game, 8.8 min. total, 584.4 MB
facial_putdown v5 303 games, 237417 moves, e=0.765, loss: 233.0, +, 56.6% elo% vs. v3, avg. reward: 2.238, 2.183 sec/game, 8.8 min. total, 584.3 MB
facial_putdown v5 304 games, 238297 moves, e=0.764, loss: 227.2, +, 58.5% elo% vs. v3, avg. reward: 2.231, 2.178 sec/game, 8.8 min. total, 584.3 MB
facial_putdown v5 305 games, 239307 moves, e=0.763, loss: 236.0, +, 60.4% elo% vs. v3, avg. reward: 2.287, 2.208 sec/game, 8.9 min. total, 585.0 MB
facial_putdown v5 306 games, 240090 moves, e=0.762, loss: 238.4, +, 62.1% elo% vs. v3, avg. reward: 2.266, 2.209 sec/game, 8.9 min. total, 584.3 MB
facial_putdown v5 307 games, 241121 moves, e=0.761, loss: 244.2, +, 63.7% elo% vs. v3, avg. reward: 2.333, 2.236 sec/game, 9.0 min. total, 585.1 MB
facial_putdown v5 308 games, 241972 moves, e=0.760, loss: 237.5, -, 61.0% elo% vs. v3, avg. reward: 2.301, 2.239 sec/game, 9.0 min. total, 584.8 MB
facial_putdown v5 309 games, 242890 moves, e=0.760, loss: 238.2, -, 58.3% elo% vs. v3, avg. reward: 2.308, 2.244 sec/game, 9.0 min. total, 586.6 MB
facial_putdown v5 310 games, 243723 moves, e=0.759, loss: 244.6, +, 60.1% elo% vs. v3, avg. reward: 2.279, 2.256 sec/game, 9.1 min. total, 587.3 MB
facial_putdown v5 311 games, 244687 moves, e=0.758, loss: 239.6, +, 61.9% elo% vs. v3, avg. reward: 2.259, 2.270 sec/game, 9.1 min. total, 587.9 MB
facial_putdown v5 312 games, 245623 moves, e=0.757, loss: 247.7, -, 59.1% elo% vs. v3, avg. reward: 2.315, 2.288 sec/game, 9.2 min. total, 587.3 MB
