facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v1 36 games, 25387 moves, e=0.975, loss: 66.9, -, 20.4% elo% vs. v0, avg. reward: -0.272, 1.639 sec/game, 0.7 min. total, 398.3 MB
facial_putdown v1 37 games, 26119 moves, e=0.974, loss: 65.9, +, 22.9% elo% vs. v0, avg. reward: -0.290, 1.644 sec/game, 0.7 min. total, 399.9 MB
facial_putdown v1 38 games, 26784 moves, e=0.973, loss: 67.6, -, 22.2% elo% vs. v0, avg. reward: -0.363, 1.628 sec/game, 0.7 min. total, 402.3 MB
facial_putdown v1 39 games, 27473 moves, e=0.973, loss: 71.5, -, 21.5% elo% vs. v0, avg. reward: -0.318, 1.601 sec/game, 0.7 min. total, 403.4 MB
facial_putdown v1 40 games, 28216 moves, e=0.972, loss: 75.6, -, 20.8% elo% vs. v0, avg. reward: -0.361, 1.607 sec/game, 0.8 min. total, 404.1 MB
facial_putdown v1 41 games, 28948 moves, e=0.971, loss: 75.8, -, 20.2% elo% vs. v0, avg. reward: -0.401, 1.611 sec/game, 0.8 min. total, 403.8 MB
facial_putdown v1 42 games, 29646 moves, e=0.971, loss: 81.2, -, 19.6% elo% vs. v0, avg. reward: -0.459, 1.603 sec/game, 0.8 min. total, 404.3 MB
facial_putdown v1 43 games, 30344 moves, e=0.970, loss: 84.8, -, 19.0% elo% vs. v0, avg. reward: -0.489, 1.601 sec/game, 0.9 min. total, 404.1 MB
facial_putdown v1 44 games, 31112 moves, e=0.969, loss: 88.5, +, 21.4% elo% vs. v0, avg. reward: -0.500, 1.599 sec/game, 0.9 min. total, 404.1 MB
facial_putdown v1 45 games, 31749 moves, e=0.969, loss: 92.1, -, 20.8% elo% vs. v0, avg. reward: -0.527, 1.583 sec/game, 0.9 min. total, 404.3 MB
facial_putdown v1 46 games, 32599 moves, e=0.968, loss: 97.6, -, 20.1% elo% vs. v0, avg. reward: -0.466, 1.603 sec/game, 0.9 min. total, 404.3 MB
facial_putdown v1 47 games, 33371 moves, e=0.967, loss: 94.0, -, 19.6% elo% vs. v0, avg. reward: -0.455, 1.605 sec/game, 1.0 min. total, 404.6 MB
facial_putdown v1 48 games, 34136 moves, e=0.966, loss: 97.5, -, 19.0% elo% vs. v0, avg. reward: -0.453, 1.619 sec/game, 1.0 min. total, 405.0 MB
facial_putdown v1 49 games, 34988 moves, e=0.965, loss: 89.3, -, 18.5% elo% vs. v0, avg. reward: -0.355, 1.646 sec/game, 1.0 min. total, 405.0 MB
facial_putdown v1 50 games, 35758 moves, e=0.965, loss: 89.4, -, 18.0% elo% vs. v0, avg. reward: -0.273, 1.675 sec/game, 1.1 min. total, 407.0 MB
facial_putdown v1 51 games, 36597 moves, e=0.964, loss: 93.7, -, 17.5% elo% vs. v0, avg. reward: -0.202, 1.702 sec/game, 1.1 min. total, 407.4 MB
facial_putdown v1 52 games, 37218 moves, e=0.963, loss: 98.0, -, 17.0% elo% vs. v0, avg. reward: -0.241, 1.686 sec/game, 1.1 min. total, 407.1 MB
facial_putdown v1 53 games, 37983 moves, e=0.962, loss: 103.9, -, 16.6% elo% vs. v0, avg. reward: -0.242, 1.722 sec/game, 1.1 min. total, 407.6 MB
facial_putdown v1 54 games, 38654 moves, e=0.962, loss: 104.2, -, 16.2% elo% vs. v0, avg. reward: -0.316, 1.704 sec/game, 1.2 min. total, 407.4 MB
facial_putdown v1 55 games, 39389 moves, e=0.961, loss: 108.6, -, 15.8% elo% vs. v0, avg. reward: -0.328, 1.700 sec/game, 1.2 min. total, 407.7 MB
facial_putdown v1 56 games, 40133 moves, e=0.960, loss: 110.0, -, 15.4% elo% vs. v0, avg. reward: -0.370, 1.692 sec/game, 1.2 min. total, 407.8 MB
facial_putdown v1 57 games, 40870 moves, e=0.960, loss: 110.9, -, 15.0% elo% vs. v0, avg. reward: -0.395, 1.689 sec/game, 1.3 min. total, 407.5 MB
facial_putdown v1 58 games, 41684 moves, e=0.959, loss: 109.0, +, 17.1% elo% vs. v0, avg. reward: -0.308, 1.698 sec/game, 1.3 min. total, 408.4 MB
facial_putdown v1 59 games, 42402 moves, e=0.958, loss: 111.5, -, 16.7% elo% vs. v0, avg. reward: -0.313, 1.701 sec/game, 1.3 min. total, 408.4 MB
facial_putdown v1 60 games, 43130 moves, e=0.957, loss: 123.2, -, 16.3% elo% vs. v0, avg. reward: -0.259, 1.679 sec/game, 1.3 min. total, 409.0 MB
facial_putdown v1 61 games, 43794 moves, e=0.957, loss: 121.3, -, 15.9% elo% vs. v0, avg. reward: -0.119, 1.681 sec/game, 1.4 min. total, 411.0 MB
facial_putdown v1 62 games, 44584 moves, e=0.956, loss: 128.7, -, 15.5% elo% vs. v0, avg. reward: -0.129, 1.680 sec/game, 1.4 min. total, 413.8 MB
facial_putdown v1 63 games, 45290 moves, e=0.955, loss: 139.3, -, 15.1% elo% vs. v0, avg. reward: -0.159, 1.677 sec/game, 1.4 min. total, 413.4 MB
facial_putdown v1 64 games, 46064 moves, e=0.954, loss: 127.2, -, 14.7% elo% vs. v0, avg. reward: -0.163, 1.674 sec/game, 1.4 min. total, 413.0 MB
facial_putdown v1 65 games, 46790 moves, e=0.954, loss: 140.1, -, 14.4% elo% vs. v0, avg. reward: -0.192, 1.686 sec/game, 1.5 min. total, 413.4 MB
facial_putdown v1 66 games, 47531 moves, e=0.953, loss: 139.5, -, 14.1% elo% vs. v0, avg. reward: -0.123, 1.684 sec/game, 1.5 min. total, 413.4 MB
facial_putdown v1 67 games, 48218 moves, e=0.952, loss: 148.3, -, 13.8% elo% vs. v0, avg. reward: -0.090, 1.666 sec/game, 1.5 min. total, 413.4 MB
