reflux_snowflake v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
reflux_snowflake v2 34 games, 24108 moves, e=0.976, loss: 32.4, ., 65.3% elo% vs. guard_bot, avg. reward: 3.667, 1.419 sec/game, 0.5 min. total, 429.9 MB
reflux_snowflake v2 35 games, 24877 moves, e=0.975, loss: 35.0, ., 64.7% elo% vs. guard_bot, avg. reward: 3.671, 1.423 sec/game, 0.6 min. total, 429.7 MB
reflux_snowflake v2 36 games, 25592 moves, e=0.975, loss: 36.0, ., 64.0% elo% vs. guard_bot, avg. reward: 3.663, 1.432 sec/game, 0.6 min. total, 430.1 MB
reflux_snowflake v2 37 games, 26356 moves, e=0.974, loss: 36.5, ., 63.5% elo% vs. guard_bot, avg. reward: 3.649, 1.442 sec/game, 0.6 min. total, 430.4 MB
reflux_snowflake v2 38 games, 27116 moves, e=0.973, loss: 38.0, ., 62.9% elo% vs. guard_bot, avg. reward: 3.664, 1.438 sec/game, 0.6 min. total, 430.0 MB
reflux_snowflake v2 39 games, 27852 moves, e=0.972, loss: 40.4, ., 62.3% elo% vs. guard_bot, avg. reward: 3.679, 1.440 sec/game, 0.7 min. total, 430.6 MB
reflux_snowflake v2 40 games, 28600 moves, e=0.972, loss: 42.0, ., 61.8% elo% vs. guard_bot, avg. reward: 3.682, 1.451 sec/game, 0.7 min. total, 430.7 MB
reflux_snowflake v2 41 games, 29293 moves, e=0.971, loss: 44.4, +, 63.4% elo% vs. guard_bot, avg. reward: 3.675, 1.430 sec/game, 0.7 min. total, 430.8 MB
reflux_snowflake v2 42 games, 30000 moves, e=0.970, loss: 46.3, ., 62.9% elo% vs. guard_bot, avg. reward: 3.660, 1.425 sec/game, 0.7 min. total, 431.2 MB
reflux_snowflake v2 43 games, 30770 moves, e=0.970, loss: 47.3, ., 62.3% elo% vs. guard_bot, avg. reward: 3.672, 1.428 sec/game, 0.8 min. total, 431.6 MB
reflux_snowflake v2 44 games, 31502 moves, e=0.969, loss: 46.1, ., 61.8% elo% vs. guard_bot, avg. reward: 3.674, 1.422 sec/game, 0.8 min. total, 431.9 MB
