reflux_snowflake v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
reflux_snowflake v3 144 games, 105471 moves, e=0.896, loss: 147.0, -, 6.5% elo% vs. random_no_suicide, avg. reward: 3.462, 1.713 sec/game, 3.4 min. total, 463.3 MB
reflux_snowflake v3 145 games, 106194 moves, e=0.895, loss: 146.5, -, 6.4% elo% vs. random_no_suicide, avg. reward: 3.456, 1.716 sec/game, 3.4 min. total, 462.9 MB
reflux_snowflake v3 146 games, 107020 moves, e=0.894, loss: 153.6, -, 6.3% elo% vs. random_no_suicide, avg. reward: 3.454, 1.729 sec/game, 3.4 min. total, 462.7 MB
reflux_snowflake v3 147 games, 107880 moves, e=0.893, loss: 150.8, -, 6.3% elo% vs. random_no_suicide, avg. reward: 3.459, 1.743 sec/game, 3.5 min. total, 463.1 MB
reflux_snowflake v3 148 games, 108543 moves, e=0.893, loss: 146.8, -, 6.2% elo% vs. random_no_suicide, avg. reward: 3.447, 1.738 sec/game, 3.5 min. total, 463.6 MB
reflux_snowflake v3 149 games, 109396 moves, e=0.892, loss: 145.4, -, 6.1% elo% vs. random_no_suicide, avg. reward: 3.457, 1.769 sec/game, 3.5 min. total, 463.7 MB
reflux_snowflake v3 150 games, 110095 moves, e=0.891, loss: 157.2, -, 6.1% elo% vs. random_no_suicide, avg. reward: 3.471, 1.760 sec/game, 3.5 min. total, 463.6 MB
reflux_snowflake v3 151 games, 110862 moves, e=0.890, loss: 153.8, -, 6.0% elo% vs. random_no_suicide, avg. reward: 3.479, 1.772 sec/game, 3.6 min. total, 463.7 MB
reflux_snowflake v3 152 games, 111636 moves, e=0.889, loss: 151.5, -, 5.9% elo% vs. random_no_suicide, avg. reward: 3.468, 1.791 sec/game, 3.6 min. total, 464.5 MB
reflux_snowflake v3 153 games, 112439 moves, e=0.889, loss: 147.9, -, 5.9% elo% vs. random_no_suicide, avg. reward: 3.465, 1.808 sec/game, 3.6 min. total, 465.3 MB
reflux_snowflake v3 154 games, 113252 moves, e=0.888, loss: 144.6, -, 5.8% elo% vs. random_no_suicide, avg. reward: 3.456, 1.807 sec/game, 3.7 min. total, 464.7 MB
reflux_snowflake v3 155 games, 114000 moves, e=0.887, loss: 148.0, -, 5.8% elo% vs. random_no_suicide, avg. reward: 3.456, 1.806 sec/game, 3.7 min. total, 465.3 MB
reflux_snowflake v3 156 games, 114682 moves, e=0.886, loss: 156.4, -, 5.7% elo% vs. random_no_suicide, avg. reward: 3.455, 1.790 sec/game, 3.7 min. total, 465.2 MB
reflux_snowflake v3 157 games, 115575 moves, e=0.886, loss: 146.4, -, 5.6% elo% vs. random_no_suicide, avg. reward: 3.448, 1.795 sec/game, 3.8 min. total, 465.4 MB
reflux_snowflake v3 158 games, 116422 moves, e=0.885, loss: 144.5, -, 5.6% elo% vs. random_no_suicide, avg. reward: 3.449, 1.804 sec/game, 3.8 min. total, 464.8 MB
reflux_snowflake v3 159 games, 117246 moves, e=0.884, loss: 153.9, -, 5.5% elo% vs. random_no_suicide, avg. reward: 3.472, 1.798 sec/game, 3.8 min. total, 465.6 MB
reflux_snowflake v3 160 games, 118040 moves, e=0.883, loss: 145.3, -, 5.5% elo% vs. random_no_suicide, avg. reward: 3.475, 1.812 sec/game, 3.8 min. total, 465.8 MB
reflux_snowflake v3 161 games, 118804 moves, e=0.882, loss: 144.3, -, 5.4% elo% vs. random_no_suicide, avg. reward: 3.489, 1.795 sec/game, 3.9 min. total, 466.1 MB
reflux_snowflake v3 162 games, 119514 moves, e=0.882, loss: 152.0, -, 5.4% elo% vs. random_no_suicide, avg. reward: 3.504, 1.767 sec/game, 3.9 min. total, 467.1 MB
reflux_snowflake v3 163 games, 120239 moves, e=0.881, loss: 154.6, -, 5.3% elo% vs. random_no_suicide, avg. reward: 3.520, 1.747 sec/game, 3.9 min. total, 467.4 MB
reflux_snowflake v3 164 games, 121192 moves, e=0.880, loss: 156.5, -, 5.3% elo% vs. random_no_suicide, avg. reward: 3.510, 1.757 sec/game, 3.9 min. total, 467.5 MB
reflux_snowflake v3 165 games, 121981 moves, e=0.879, loss: 162.9, -, 5.2% elo% vs. random_no_suicide, avg. reward: 3.520, 1.761 sec/game, 4.0 min. total, 467.6 MB
reflux_snowflake v3 166 games, 122655 moves, e=0.879, loss: 151.0, -, 5.2% elo% vs. random_no_suicide, avg. reward: 3.514, 1.746 sec/game, 4.0 min. total, 467.2 MB
reflux_snowflake v3 167 games, 123463 moves, e=0.878, loss: 155.0, -, 5.1% elo% vs. random_no_suicide, avg. reward: 3.513, 1.759 sec/game, 4.0 min. total, 467.2 MB
reflux_snowflake v3 168 games, 124247 moves, e=0.877, loss: 156.0, -, 5.1% elo% vs. random_no_suicide, avg. reward: 3.510, 1.774 sec/game, 4.1 min. total, 467.7 MB
reflux_snowflake v3 169 games, 125068 moves, e=0.876, loss: 153.0, -, 5.0% elo% vs. random_no_suicide, avg. reward: 3.525, 1.772 sec/game, 4.1 min. total, 467.5 MB
reflux_snowflake v3 170 games, 125858 moves, e=0.875, loss: 153.5, -, 5.0% elo% vs. random_no_suicide, avg. reward: 3.516, 1.777 sec/game, 4.1 min. total, 467.1 MB
reflux_snowflake v3 171 games, 126631 moves, e=0.875, loss: 150.8, -, 5.0% elo% vs. random_no_suicide, avg. reward: 3.524, 1.777 sec/game, 4.2 min. total, 468.5 MB
reflux_snowflake v3 172 games, 127430 moves, e=0.874, loss: 154.8, -, 4.9% elo% vs. random_no_suicide, avg. reward: 3.502, 1.778 sec/game, 4.2 min. total, 469.4 MB
reflux_snowflake v3 173 games, 128246 moves, e=0.873, loss: 146.6, -, 4.9% elo% vs. random_no_suicide, avg. reward: 3.499, 1.779 sec/game, 4.2 min. total, 469.8 MB
reflux_snowflake v3 174 games, 129077 moves, e=0.872, loss: 147.2, -, 4.8% elo% vs. random_no_suicide, avg. reward: 3.506, 1.794 sec/game, 4.3 min. total, 469.4 MB
reflux_snowflake v3 175 games, 129837 moves, e=0.871, loss: 143.8, -, 4.8% elo% vs. random_no_suicide, avg. reward: 3.500, 1.798 sec/game, 4.3 min. total, 469.9 MB
reflux_snowflake v3 176 games, 130710 moves, e=0.871, loss: 147.0, -, 4.8% elo% vs. random_no_suicide, avg. reward: 3.498, 1.830 sec/game, 4.3 min. total, 470.0 MB
reflux_snowflake v3 177 games, 131493 moves, e=0.870, loss: 154.5, -, 4.7% elo% vs. random_no_suicide, avg. reward: 3.518, 1.821 sec/game, 4.4 min. total, 469.8 MB
reflux_snowflake v3 178 games, 132226 moves, e=0.869, loss: 163.5, -, 4.7% elo% vs. random_no_suicide, avg. reward: 3.512, 1.814 sec/game, 4.4 min. total, 470.3 MB
reflux_snowflake v3 179 games, 133043 moves, e=0.868, loss: 169.0, -, 4.6% elo% vs. random_no_suicide, avg. reward: 3.502, 1.822 sec/game, 4.4 min. total, 469.8 MB
reflux_snowflake v3 180 games, 133882 moves, e=0.867, loss: 165.1, -, 4.6% elo% vs. random_no_suicide, avg. reward: 3.501, 1.826 sec/game, 4.4 min. total, 470.4 MB
reflux_snowflake v3 181 games, 134598 moves, e=0.867, loss: 159.9, -, 4.6% elo% vs. random_no_suicide, avg. reward: 3.493, 1.838 sec/game, 4.5 min. total, 470.2 MB
reflux_snowflake v3 182 games, 135336 moves, e=0.866, loss: 160.9, -, 4.5% elo% vs. random_no_suicide, avg. reward: 3.488, 1.860 sec/game, 4.5 min. total, 472.2 MB
reflux_snowflake v3 183 games, 136173 moves, e=0.865, loss: 169.8, -, 4.5% elo% vs. random_no_suicide, avg. reward: 3.495, 1.873 sec/game, 4.5 min. total, 472.7 MB
reflux_snowflake v3 184 games, 136908 moves, e=0.864, loss: 174.9, -, 4.5% elo% vs. random_no_suicide, avg. reward: 3.486, 1.860 sec/game, 4.6 min. total, 472.3 MB
reflux_snowflake v3 185 games, 137574 moves, e=0.864, loss: 176.8, -, 4.4% elo% vs. random_no_suicide, avg. reward: 3.483, 1.846 sec/game, 4.6 min. total, 472.4 MB
reflux_snowflake v3 186 games, 138334 moves, e=0.863, loss: 175.7, -, 4.4% elo% vs. random_no_suicide, avg. reward: 3.498, 1.859 sec/game, 4.6 min. total, 472.9 MB
reflux_snowflake v3 187 games, 138974 moves, e=0.862, loss: 170.2, -, 4.4% elo% vs. random_no_suicide, avg. reward: 3.518, 1.821 sec/game, 4.6 min. total, 473.1 MB
reflux_snowflake v3 188 games, 139825 moves, e=0.862, loss: 184.5, -, 4.3% elo% vs. random_no_suicide, avg. reward: 3.519, 1.836 sec/game, 4.7 min. total, 472.6 MB
reflux_snowflake v3 189 games, 140675 moves, e=0.861, loss: 179.3, -, 4.3% elo% vs. random_no_suicide, avg. reward: 3.514, 1.835 sec/game, 4.7 min. total, 473.1 MB
reflux_snowflake v3 190 games, 141470 moves, e=0.860, loss: 192.3, -, 4.3% elo% vs. random_no_suicide, avg. reward: 3.533, 1.830 sec/game, 4.7 min. total, 473.1 MB
reflux_snowflake v3 191 games, 142168 moves, e=0.859, loss: 182.1, -, 4.2% elo% vs. random_no_suicide, avg. reward: 3.537, 1.813 sec/game, 4.8 min. total, 473.9 MB
reflux_snowflake v3 192 games, 142992 moves, e=0.858, loss: 183.4, -, 4.2% elo% vs. random_no_suicide, avg. reward: 3.544, 1.822 sec/game, 4.8 min. total, 475.4 MB
reflux_snowflake v3 193 games, 143847 moves, e=0.858, loss: 175.7, -, 4.2% elo% vs. random_no_suicide, avg. reward: 3.551, 1.812 sec/game, 4.8 min. total, 475.0 MB
reflux_snowflake v3 194 games, 144633 moves, e=0.857, loss: 166.9, -, 4.1% elo% vs. random_no_suicide, avg. reward: 3.559, 1.799 sec/game, 4.9 min. total, 475.6 MB
reflux_snowflake v3 195 games, 145384 moves, e=0.856, loss: 174.3, -, 4.1% elo% vs. random_no_suicide, avg. reward: 3.559, 1.797 sec/game, 4.9 min. total, 475.2 MB
reflux_snowflake v3 196 games, 146073 moves, e=0.855, loss: 170.0, -, 4.1% elo% vs. random_no_suicide, avg. reward: 3.551, 1.780 sec/game, 4.9 min. total, 475.8 MB
reflux_snowflake v3 197 games, 146873 moves, e=0.855, loss: 173.9, -, 4.0% elo% vs. random_no_suicide, avg. reward: 3.547, 1.773 sec/game, 4.9 min. total, 475.9 MB
reflux_snowflake v3 198 games, 147700 moves, e=0.854, loss: 170.1, -, 4.0% elo% vs. random_no_suicide, avg. reward: 3.548, 1.774 sec/game, 5.0 min. total, 475.8 MB
reflux_snowflake v3 199 games, 148502 moves, e=0.853, loss: 175.7, -, 4.0% elo% vs. random_no_suicide, avg. reward: 3.560, 1.785 sec/game, 5.0 min. total, 475.8 MB
reflux_snowflake v3 200 games, 149262 moves, e=0.852, loss: 169.2, -, 4.0% elo% vs. random_no_suicide, avg. reward: 3.550, 1.784 sec/game, 5.0 min. total, 475.6 MB
reflux_snowflake v3 201 games, 150027 moves, e=0.851, loss: 164.4, -, 3.9% elo% vs. random_no_suicide, avg. reward: 3.557, 1.781 sec/game, 5.1 min. total, 476.5 MB
reflux_snowflake v3 202 games, 150669 moves, e=0.851, loss: 157.9, -, 3.9% elo% vs. random_no_suicide, avg. reward: 3.555, 1.778 sec/game, 5.1 min. total, 475.7 MB
reflux_snowflake v3 203 games, 151486 moves, e=0.850, loss: 159.6, -, 3.9% elo% vs. random_no_suicide, avg. reward: 3.551, 1.780 sec/game, 5.1 min. total, 475.9 MB
reflux_snowflake v3 204 games, 152384 moves, e=0.849, loss: 168.4, -, 3.8% elo% vs. random_no_suicide, avg. reward: 3.556, 1.798 sec/game, 5.2 min. total, 476.1 MB
reflux_snowflake v3 205 games, 153179 moves, e=0.848, loss: 164.4, -, 3.8% elo% vs. random_no_suicide, avg. reward: 3.568, 1.813 sec/game, 5.2 min. total, 475.9 MB
