unpaid_squash v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unpaid_squash v3 35 games, 25843 moves, e=0.974, loss: 938.0, -, 49.9% elo% vs. random_no_suicide, avg. reward: 9.698, 1.624 sec/game, 0.7 min. total, 431.0 MB
unpaid_squash v3 36 games, 26611 moves, e=0.974, loss: 910.4, -, 47.6% elo% vs. random_no_suicide, avg. reward: 9.836, 1.624 sec/game, 0.7 min. total, 431.1 MB
unpaid_squash v3 37 games, 27383 moves, e=0.973, loss: 923.2, -, 45.4% elo% vs. random_no_suicide, avg. reward: 10.378, 1.620 sec/game, 0.7 min. total, 430.4 MB
unpaid_squash v3 38 games, 28098 moves, e=0.972, loss: 968.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: 10.159, 1.598 sec/game, 0.7 min. total, 431.0 MB
unpaid_squash v3 39 games, 28801 moves, e=0.971, loss: 970.0, -, 41.4% elo% vs. random_no_suicide, avg. reward: 10.001, 1.601 sec/game, 0.8 min. total, 431.6 MB
unpaid_squash v3 40 games, 29424 moves, e=0.971, loss: 972.8, -, 39.6% elo% vs. random_no_suicide, avg. reward: 9.921, 1.575 sec/game, 0.8 min. total, 432.9 MB
unpaid_squash v3 41 games, 30108 moves, e=0.970, loss: 952.3, -, 37.8% elo% vs. random_no_suicide, avg. reward: 9.754, 1.579 sec/game, 0.8 min. total, 435.7 MB
unpaid_squash v3 42 games, 30717 moves, e=0.970, loss: 946.9, -, 36.2% elo% vs. random_no_suicide, avg. reward: 9.752, 1.557 sec/game, 0.8 min. total, 434.9 MB
unpaid_squash v3 43 games, 31422 moves, e=0.969, loss: 961.5, -, 34.7% elo% vs. random_no_suicide, avg. reward: 9.680, 1.553 sec/game, 0.9 min. total, 435.9 MB
unpaid_squash v3 44 games, 32169 moves, e=0.968, loss: 936.1, -, 33.3% elo% vs. random_no_suicide, avg. reward: 9.484, 1.546 sec/game, 0.9 min. total, 435.9 MB
unpaid_squash v3 45 games, 32870 moves, e=0.967, loss: 948.8, -, 31.9% elo% vs. random_no_suicide, avg. reward: 9.451, 1.525 sec/game, 0.9 min. total, 435.9 MB
unpaid_squash v3 46 games, 33655 moves, e=0.967, loss: 954.1, -, 30.6% elo% vs. random_no_suicide, avg. reward: 9.310, 1.514 sec/game, 0.9 min. total, 435.9 MB
unpaid_squash v3 47 games, 34496 moves, e=0.966, loss: 930.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: 9.223, 1.524 sec/game, 1.0 min. total, 435.5 MB
