unpaid_squash v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.0 MB
unpaid_squash v3 966 games, 974162 moves, e=0.036, loss: 910.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.708, 3.122 sec/game, 37.0 min. total, 732.8 MB
unpaid_squash v3 967 games, 975425 moves, e=0.034, loss: 939.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.706, 3.097 sec/game, 37.0 min. total, 733.3 MB
unpaid_squash v3 968 games, 976755 moves, e=0.033, loss: 933.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.652, 3.080 sec/game, 37.1 min. total, 734.0 MB
unpaid_squash v3 969 games, 978012 moves, e=0.032, loss: 961.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.684, 3.077 sec/game, 37.1 min. total, 734.6 MB
unpaid_squash v3 970 games, 979257 moves, e=0.031, loss: 953.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.723, 3.067 sec/game, 37.2 min. total, 734.6 MB
unpaid_squash v3 971 games, 980607 moves, e=0.029, loss: 925.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.317, 3.042 sec/game, 37.2 min. total, 734.8 MB
unpaid_squash v3 972 games, 982007 moves, e=0.028, loss: 917.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.406, 3.026 sec/game, 37.3 min. total, 734.7 MB
unpaid_squash v3 973 games, 983393 moves, e=0.026, loss: 942.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.441, 2.999 sec/game, 37.3 min. total, 734.7 MB
unpaid_squash v3 974 games, 984642 moves, e=0.025, loss: 956.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.189, 2.999 sec/game, 37.4 min. total, 734.4 MB
unpaid_squash v3 975 games, 986165 moves, e=0.024, loss: 924.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.898, 3.016 sec/game, 37.4 min. total, 736.7 MB
unpaid_squash v3 976 games, 987653 moves, e=0.022, loss: 945.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.054, 3.014 sec/game, 37.5 min. total, 737.6 MB
unpaid_squash v3 977 games, 989194 moves, e=0.021, loss: 1220.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.218, 3.047 sec/game, 37.6 min. total, 738.2 MB
unpaid_squash v3 978 games, 991077 moves, e=0.019, loss: 1639.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.257, 3.106 sec/game, 37.6 min. total, 738.4 MB
unpaid_squash v3 979 games, 992549 moves, e=0.017, loss: 1763.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.118, 3.092 sec/game, 37.7 min. total, 738.5 MB
unpaid_squash v3 980 games, 994139 moves, e=0.016, loss: 1809.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.474, 3.129 sec/game, 37.7 min. total, 739.0 MB
unpaid_squash v3 981 games, 995720 moves, e=0.014, loss: 2508.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.484, 3.168 sec/game, 37.8 min. total, 739.3 MB
unpaid_squash v3 982 games, 997291 moves, e=0.013, loss: 2904.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.464, 3.160 sec/game, 37.8 min. total, 740.4 MB
unpaid_squash v3 983 games, 998872 moves, e=0.011, loss: 2770.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.495, 3.165 sec/game, 37.9 min. total, 740.5 MB
unpaid_squash v3 984 games, 1000371 moves, e=0.010, loss: 2409.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.405, 3.177 sec/game, 38.0 min. total, 741.6 MB
unpaid_squash v3 985 games, 1001932 moves, e=0.010, loss: 2182.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.354, 3.181 sec/game, 38.0 min. total, 741.6 MB
unpaid_squash v3 986 games, 1003491 moves, e=0.010, loss: 2380.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.503, 3.197 sec/game, 38.1 min. total, 741.6 MB
unpaid_squash v3 987 games, 1005086 moves, e=0.010, loss: 2018.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.553, 3.228 sec/game, 38.1 min. total, 741.6 MB
unpaid_squash v3 988 games, 1006801 moves, e=0.010, loss: 1628.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.542, 3.262 sec/game, 38.2 min. total, 741.8 MB
unpaid_squash v3 989 games, 1008610 moves, e=0.010, loss: 1494.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.644, 3.319 sec/game, 38.3 min. total, 742.2 MB
unpaid_squash v3 990 games, 1009579 moves, e=0.010, loss: 1676.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.550, 3.294 sec/game, 38.3 min. total, 742.8 MB
unpaid_squash v3 991 games, 1011217 moves, e=0.010, loss: 1958.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.826, 3.322 sec/game, 38.3 min. total, 742.8 MB
unpaid_squash v3 992 games, 1012996 moves, e=0.010, loss: 2237.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.796, 3.360 sec/game, 38.4 min. total, 742.8 MB
unpaid_squash v3 993 games, 1014691 moves, e=0.010, loss: 2190.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.722, 3.386 sec/game, 38.5 min. total, 742.8 MB
unpaid_squash v3 994 games, 1015983 moves, e=0.010, loss: 2217.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.709, 3.385 sec/game, 38.5 min. total, 743.5 MB
unpaid_squash v3 995 games, 1017105 moves, e=0.010, loss: 2385.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.630, 3.346 sec/game, 38.6 min. total, 743.3 MB
unpaid_squash v3 996 games, 1018095 moves, e=0.010, loss: 2374.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.566, 3.292 sec/game, 38.6 min. total, 744.1 MB
unpaid_squash v3 997 games, 1019284 moves, e=0.010, loss: 2097.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.478, 3.267 sec/game, 38.6 min. total, 745.2 MB
unpaid_squash v3 998 games, 1020578 moves, e=0.010, loss: 1963.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.444, 3.230 sec/game, 38.7 min. total, 746.4 MB
unpaid_squash v3 999 games, 1021779 moves, e=0.010, loss: 1581.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.214, 3.196 sec/game, 38.7 min. total, 746.5 MB
unpaid_squash v3 1000 games, 1023194 moves, e=0.010, loss: 1338.9, ., 0.7% elo% vs. random_no_suicide, avg. reward: 4.156, 3.186 sec/game, 38.8 min. total, 746.4 MB
unpaid_squash v3 1001 games, 1024740 moves, e=0.010, loss: 1562.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 4.924, 3.177 sec/game, 38.8 min. total, 746.6 MB
unpaid_squash v3 1002 games, 1026274 moves, e=0.010, loss: 2653.8, -, 0.7% elo% vs. random_no_suicide, avg. reward: 4.964, 3.181 sec/game, 38.9 min. total, 746.7 MB
unpaid_squash v3 1003 games, 1027326 moves, e=0.010, loss: 2912.1, -, 0.7% elo% vs. random_no_suicide, avg. reward: 4.857, 3.132 sec/game, 38.9 min. total, 747.1 MB
unpaid_squash v3 1004 games, 1028349 moves, e=0.010, loss: 3082.2, -, 0.7% elo% vs. random_no_suicide, avg. reward: 4.829, 3.090 sec/game, 39.0 min. total, 747.1 MB
unpaid_squash v3 1005 games, 1029318 moves, e=0.010, loss: 3152.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.751, 3.040 sec/game, 39.0 min. total, 748.3 MB
unpaid_squash v3 1006 games, 1030652 moves, e=0.010, loss: 3223.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.529, 3.015 sec/game, 39.1 min. total, 749.0 MB
unpaid_squash v3 1007 games, 1032004 moves, e=0.010, loss: 3108.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.557, 2.991 sec/game, 39.1 min. total, 749.6 MB
unpaid_squash v3 1008 games, 1033945 moves, e=0.010, loss: 3002.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.496, 3.016 sec/game, 39.2 min. total, 750.2 MB
unpaid_squash v3 1009 games, 1035578 moves, e=0.010, loss: 1781.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.555, 2.989 sec/game, 39.2 min. total, 750.4 MB
unpaid_squash v3 1010 games, 1037168 moves, e=0.010, loss: 1041.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.503, 3.040 sec/game, 39.3 min. total, 750.4 MB
unpaid_squash v3 1011 games, 1038871 moves, e=0.010, loss: 790.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.577, 3.050 sec/game, 39.4 min. total, 750.7 MB
unpaid_squash v3 1012 games, 1040264 moves, e=0.010, loss: 923.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.845, 3.012 sec/game, 39.4 min. total, 752.4 MB
unpaid_squash v3 1013 games, 1041669 moves, e=0.010, loss: 1169.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.978, 2.987 sec/game, 39.5 min. total, 751.5 MB
unpaid_squash v3 1014 games, 1043093 moves, e=0.010, loss: 1457.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.892, 2.998 sec/game, 39.5 min. total, 753.4 MB
unpaid_squash v3 1015 games, 1044570 moves, e=0.010, loss: 1663.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.942, 3.027 sec/game, 39.6 min. total, 752.8 MB
unpaid_squash v3 1016 games, 1046007 moves, e=0.010, loss: 1820.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.798, 3.072 sec/game, 39.6 min. total, 753.0 MB
unpaid_squash v3 1017 games, 1047401 moves, e=0.010, loss: 1908.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.829, 3.086 sec/game, 39.7 min. total, 753.0 MB
unpaid_squash v3 1018 games, 1048829 moves, e=0.010, loss: 2013.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.813, 3.087 sec/game, 39.7 min. total, 753.6 MB
unpaid_squash v3 1019 games, 1050209 moves, e=0.010, loss: 1969.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.760, 3.111 sec/game, 39.8 min. total, 754.4 MB
unpaid_squash v3 1020 games, 1051650 moves, e=0.010, loss: 1550.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.683, 3.122 sec/game, 39.8 min. total, 753.8 MB
unpaid_squash v3 1021 games, 1052982 moves, e=0.010, loss: 1296.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.643, 3.108 sec/game, 39.9 min. total, 755.5 MB
unpaid_squash v3 1022 games, 1054426 moves, e=0.010, loss: 1072.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.752, 3.090 sec/game, 39.9 min. total, 755.5 MB
unpaid_squash v3 1023 games, 1055711 moves, e=0.010, loss: 1076.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.670, 3.116 sec/game, 40.0 min. total, 755.6 MB
unpaid_squash v3 1024 games, 1056969 moves, e=0.010, loss: 1044.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.698, 3.138 sec/game, 40.0 min. total, 755.6 MB
unpaid_squash v3 1025 games, 1058342 moves, e=0.010, loss: 977.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.653, 3.176 sec/game, 40.1 min. total, 755.4 MB
unpaid_squash v3 1026 games, 1059756 moves, e=0.010, loss: 953.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.664, 3.185 sec/game, 40.1 min. total, 756.2 MB
unpaid_squash v3 1027 games, 1061071 moves, e=0.010, loss: 903.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.566, 3.181 sec/game, 40.2 min. total, 758.3 MB
unpaid_squash v3 1028 games, 1062501 moves, e=0.010, loss: 870.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.562, 3.134 sec/game, 40.2 min. total, 758.0 MB
unpaid_squash v3 1029 games, 1063837 moves, e=0.010, loss: 779.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.418, 3.110 sec/game, 40.3 min. total, 758.9 MB
unpaid_squash v3 1030 games, 1065336 moves, e=0.010, loss: 602.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.015, 3.110 sec/game, 40.3 min. total, 759.3 MB
unpaid_squash v3 1031 games, 1066610 moves, e=0.010, loss: 501.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.543, 3.063 sec/game, 40.4 min. total, 759.2 MB
unpaid_squash v3 1032 games, 1068072 moves, e=0.010, loss: 513.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.787, 3.081 sec/game, 40.4 min. total, 759.9 MB
unpaid_squash v3 1033 games, 1069479 moves, e=0.010, loss: 895.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.403, 3.079 sec/game, 40.5 min. total, 759.8 MB
unpaid_squash v3 1034 games, 1070848 moves, e=0.010, loss: 1020.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.441, 3.079 sec/game, 40.5 min. total, 759.8 MB
unpaid_squash v3 1035 games, 1072207 moves, e=0.010, loss: 1085.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.378, 3.067 sec/game, 40.6 min. total, 760.7 MB
unpaid_squash v3 1036 games, 1073775 moves, e=0.010, loss: 1166.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.348, 3.090 sec/game, 40.7 min. total, 761.2 MB
unpaid_squash v3 1037 games, 1075358 moves, e=0.010, loss: 1227.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.321, 3.119 sec/game, 40.7 min. total, 761.4 MB
unpaid_squash v3 1038 games, 1076772 moves, e=0.010, loss: 1328.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.251, 3.117 sec/game, 40.8 min. total, 761.6 MB
unpaid_squash v3 1039 games, 1078171 moves, e=0.010, loss: 1275.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.243, 3.115 sec/game, 40.8 min. total, 762.1 MB
unpaid_squash v3 1040 games, 1079481 moves, e=0.010, loss: 1043.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.454, 3.092 sec/game, 40.9 min. total, 762.0 MB
unpaid_squash v3 1041 games, 1080563 moves, e=0.010, loss: 1189.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.268, 3.060 sec/game, 40.9 min. total, 762.1 MB
unpaid_squash v3 1042 games, 1081547 moves, e=0.010, loss: 1197.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.244, 3.025 sec/game, 40.9 min. total, 762.9 MB
unpaid_squash v3 1043 games, 1082680 moves, e=0.010, loss: 1159.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.157, 3.011 sec/game, 41.0 min. total, 763.2 MB
unpaid_squash v3 1044 games, 1083665 moves, e=0.010, loss: 1106.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 2.981, 2.985 sec/game, 41.0 min. total, 763.8 MB
unpaid_squash v3 1045 games, 1084788 moves, e=0.010, loss: 1058.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 2.871, 2.952 sec/game, 41.1 min. total, 763.8 MB
unpaid_squash v3 1046 games, 1086457 moves, e=0.010, loss: 1068.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.054, 2.975 sec/game, 41.1 min. total, 764.1 MB
unpaid_squash v3 1047 games, 1088022 moves, e=0.010, loss: 1506.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.219, 3.002 sec/game, 41.2 min. total, 763.4 MB
unpaid_squash v3 1048 games, 1089381 moves, e=0.010, loss: 1837.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.347, 2.990 sec/game, 41.2 min. total, 764.0 MB
unpaid_squash v3 1049 games, 1090762 moves, e=0.010, loss: 1918.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.411, 3.000 sec/game, 41.3 min. total, 765.6 MB
unpaid_squash v3 1050 games, 1092242 moves, e=0.010, loss: 2044.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.375, 2.996 sec/game, 41.3 min. total, 768.0 MB
unpaid_squash v3 1051 games, 1093562 moves, e=0.010, loss: 2194.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.422, 3.005 sec/game, 41.4 min. total, 767.2 MB
unpaid_squash v3 1052 games, 1094943 moves, e=0.010, loss: 2278.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.314, 2.988 sec/game, 41.4 min. total, 767.9 MB
unpaid_squash v3 1053 games, 1096504 moves, e=0.010, loss: 2142.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.290, 3.001 sec/game, 41.5 min. total, 768.0 MB
unpaid_squash v3 1054 games, 1098297 moves, e=0.010, loss: 1554.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.271, 3.049 sec/game, 41.6 min. total, 767.9 MB
unpaid_squash v3 1055 games, 1099696 moves, e=0.010, loss: 1127.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.330, 3.061 sec/game, 41.6 min. total, 768.3 MB
unpaid_squash v3 1056 games, 1100963 moves, e=0.010, loss: 945.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.187, 3.027 sec/game, 41.7 min. total, 768.6 MB
unpaid_squash v3 1057 games, 1102423 moves, e=0.010, loss: 829.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.249, 3.005 sec/game, 41.7 min. total, 770.3 MB
unpaid_squash v3 1058 games, 1103933 moves, e=0.010, loss: 752.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.266, 3.017 sec/game, 41.8 min. total, 769.6 MB
unpaid_squash v3 1059 games, 1105185 moves, e=0.010, loss: 728.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.290, 3.009 sec/game, 41.8 min. total, 770.2 MB
unpaid_squash v3 1060 games, 1106425 moves, e=0.010, loss: 797.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.313, 2.995 sec/game, 41.9 min. total, 770.9 MB
unpaid_squash v3 1061 games, 1107475 moves, e=0.010, loss: 817.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.295, 3.006 sec/game, 41.9 min. total, 770.7 MB
unpaid_squash v3 1062 games, 1108767 moves, e=0.010, loss: 813.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.278, 3.029 sec/game, 42.0 min. total, 770.9 MB
unpaid_squash v3 1063 games, 1110023 moves, e=0.010, loss: 767.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.306, 3.045 sec/game, 42.0 min. total, 770.9 MB
unpaid_squash v3 1064 games, 1111321 moves, e=0.010, loss: 802.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.308, 3.070 sec/game, 42.0 min. total, 770.8 MB
unpaid_squash v3 1065 games, 1112635 moves, e=0.010, loss: 774.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.308, 3.093 sec/game, 42.1 min. total, 772.1 MB
unpaid_squash v3 1066 games, 1114040 moves, e=0.010, loss: 797.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.333, 3.074 sec/game, 42.2 min. total, 772.4 MB
unpaid_squash v3 1067 games, 1115371 moves, e=0.010, loss: 834.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.329, 3.043 sec/game, 42.2 min. total, 772.4 MB
unpaid_squash v3 1068 games, 1116746 moves, e=0.010, loss: 814.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.374, 3.060 sec/game, 42.3 min. total, 772.6 MB
unpaid_squash v3 1069 games, 1118098 moves, e=0.010, loss: 903.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.295, 3.058 sec/game, 42.3 min. total, 772.2 MB
unpaid_squash v3 1070 games, 1119559 moves, e=0.010, loss: 968.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.359, 3.052 sec/game, 42.4 min. total, 772.9 MB
unpaid_squash v3 1071 games, 1121050 moves, e=0.010, loss: 993.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.355, 3.070 sec/game, 42.4 min. total, 773.4 MB
unpaid_squash v3 1072 games, 1122213 moves, e=0.010, loss: 1066.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.695, 3.047 sec/game, 42.5 min. total, 775.3 MB
unpaid_squash v3 1073 games, 1123764 moves, e=0.010, loss: 1699.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.307, 3.048 sec/game, 42.5 min. total, 775.2 MB
unpaid_squash v3 1074 games, 1125060 moves, e=0.010, loss: 2199.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.334, 2.988 sec/game, 42.6 min. total, 775.9 MB
unpaid_squash v3 1075 games, 1126237 moves, e=0.010, loss: 2479.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.371, 2.960 sec/game, 42.6 min. total, 776.1 MB
unpaid_squash v3 1076 games, 1127531 moves, e=0.010, loss: 2664.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.282, 2.960 sec/game, 42.6 min. total, 776.1 MB
unpaid_squash v3 1077 games, 1128792 moves, e=0.010, loss: 2874.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.154, 2.943 sec/game, 42.7 min. total, 775.9 MB
unpaid_squash v3 1078 games, 1129985 moves, e=0.010, loss: 3005.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.126, 2.917 sec/game, 42.7 min. total, 775.4 MB
unpaid_squash v3 1079 games, 1131134 moves, e=0.010, loss: 3090.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 4.162, 2.896 sec/game, 42.8 min. total, 776.3 MB
unpaid_squash v3 1080 games, 1132388 moves, e=0.010, loss: 2966.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.825, 2.908 sec/game, 42.8 min. total, 776.9 MB
unpaid_squash v3 1081 games, 1133624 moves, e=0.010, loss: 2431.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.676, 2.917 sec/game, 42.9 min. total, 778.6 MB
unpaid_squash v3 1082 games, 1134887 moves, e=0.010, loss: 1703.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.698, 2.922 sec/game, 42.9 min. total, 779.7 MB
unpaid_squash v3 1083 games, 1136245 moves, e=0.010, loss: 1369.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.661, 2.919 sec/game, 43.0 min. total, 779.8 MB
unpaid_squash v3 1084 games, 1137585 moves, e=0.010, loss: 1194.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.739, 2.930 sec/game, 43.0 min. total, 779.3 MB
unpaid_squash v3 1085 games, 1138843 moves, e=0.010, loss: 1006.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.770, 2.930 sec/game, 43.1 min. total, 780.0 MB
unpaid_squash v3 1086 games, 1140085 moves, e=0.010, loss: 902.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.564, 2.905 sec/game, 43.1 min. total, 779.9 MB
unpaid_squash v3 1087 games, 1141457 moves, e=0.010, loss: 860.3, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.531, 2.923 sec/game, 43.2 min. total, 780.2 MB
unpaid_squash v3 1088 games, 1142941 moves, e=0.010, loss: 835.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.538, 2.929 sec/game, 43.2 min. total, 780.6 MB
unpaid_squash v3 1089 games, 1144701 moves, e=0.010, loss: 960.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.656, 2.954 sec/game, 43.3 min. total, 783.0 MB
unpaid_squash v3 1090 games, 1146132 moves, e=0.010, loss: 1233.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.894, 2.967 sec/game, 43.3 min. total, 782.3 MB
unpaid_squash v3 1091 games, 1147540 moves, e=0.010, loss: 1544.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.697, 2.953 sec/game, 43.4 min. total, 782.9 MB
unpaid_squash v3 1092 games, 1148968 moves, e=0.010, loss: 1701.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.702, 2.977 sec/game, 43.4 min. total, 783.1 MB
unpaid_squash v3 1093 games, 1150388 moves, e=0.010, loss: 1689.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.642, 2.965 sec/game, 43.5 min. total, 783.5 MB
unpaid_squash v3 1094 games, 1151791 moves, e=0.010, loss: 1731.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.450, 2.978 sec/game, 43.6 min. total, 783.3 MB
unpaid_squash v3 1095 games, 1153123 moves, e=0.010, loss: 1745.9, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.363, 2.992 sec/game, 43.6 min. total, 783.8 MB
unpaid_squash v3 1096 games, 1154591 moves, e=0.010, loss: 1596.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.385, 3.017 sec/game, 43.7 min. total, 785.6 MB
unpaid_squash v3 1097 games, 1156297 moves, e=0.010, loss: 1157.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.420, 3.058 sec/game, 43.7 min. total, 785.0 MB
unpaid_squash v3 1098 games, 1157710 moves, e=0.010, loss: 878.1, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.380, 3.077 sec/game, 43.8 min. total, 784.7 MB
unpaid_squash v3 1099 games, 1159199 moves, e=0.010, loss: 687.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.574, 3.121 sec/game, 43.8 min. total, 785.1 MB
unpaid_squash v3 1100 games, 1160573 moves, e=0.010, loss: 879.8, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.638, 3.132 sec/game, 43.9 min. total, 785.0 MB
unpaid_squash v3 1101 games, 1161681 moves, e=0.010, loss: 1091.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 2.791, 3.124 sec/game, 43.9 min. total, 784.9 MB
unpaid_squash v3 1102 games, 1163178 moves, e=0.010, loss: 1181.0, -, 0.6% elo% vs. random_no_suicide, avg. reward: 2.778, 3.146 sec/game, 44.0 min. total, 785.4 MB
unpaid_squash v3 1103 games, 1164205 moves, e=0.010, loss: 1303.2, -, 0.6% elo% vs. random_no_suicide, avg. reward: 2.790, 3.123 sec/game, 44.0 min. total, 786.9 MB
unpaid_squash v3 1104 games, 1165234 moves, e=0.010, loss: 1366.4, -, 0.6% elo% vs. random_no_suicide, avg. reward: 2.855, 3.089 sec/game, 44.1 min. total, 787.4 MB
unpaid_squash v3 1105 games, 1166726 moves, e=0.010, loss: 1530.5, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.015, 3.110 sec/game, 44.1 min. total, 787.2 MB
unpaid_squash v3 1106 games, 1168216 moves, e=0.010, loss: 1716.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.159, 3.131 sec/game, 44.2 min. total, 787.7 MB
unpaid_squash v3 1107 games, 1169842 moves, e=0.010, loss: 1661.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.187, 3.148 sec/game, 44.2 min. total, 788.0 MB
unpaid_squash v3 1108 games, 1171321 moves, e=0.010, loss: 1542.6, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.435, 3.138 sec/game, 44.3 min. total, 788.9 MB
unpaid_squash v3 1109 games, 1172666 moves, e=0.010, loss: 1865.7, -, 0.6% elo% vs. random_no_suicide, avg. reward: 3.485, 3.108 sec/game, 44.3 min. total, 789.1 MB
