harpist_awkward v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.9 MB
harpist_awkward v1 35 games, 25266 moves, e=0.975, loss: 7.9, +, 72.1% elo% vs. random_bot, avg. reward: -9.790, 1.733 sec/game, 0.6 min. total, 391.2 MB
harpist_awkward v1 36 games, 25992 moves, e=0.974, loss: 7.4, +, 73.1% elo% vs. random_bot, avg. reward: -9.787, 1.727 sec/game, 0.7 min. total, 394.0 MB
harpist_awkward v1 37 games, 26645 moves, e=0.974, loss: 7.3, +, 74.1% elo% vs. random_bot, avg. reward: -9.818, 1.709 sec/game, 0.7 min. total, 393.0 MB
harpist_awkward v1 38 games, 27350 moves, e=0.973, loss: 7.2, +, 75.0% elo% vs. random_bot, avg. reward: -9.814, 1.694 sec/game, 0.7 min. total, 393.0 MB
harpist_awkward v1 39 games, 27976 moves, e=0.972, loss: 7.2, +, 75.8% elo% vs. random_bot, avg. reward: -9.848, 1.676 sec/game, 0.7 min. total, 396.1 MB
harpist_awkward v1 40 games, 28602 moves, e=0.972, loss: 6.8, +, 76.6% elo% vs. random_bot, avg. reward: -9.889, 1.661 sec/game, 0.8 min. total, 392.9 MB
harpist_awkward v1 41 games, 29401 moves, e=0.971, loss: 7.2, +, 77.4% elo% vs. random_bot, avg. reward: -9.865, 1.665 sec/game, 0.8 min. total, 395.0 MB
harpist_awkward v1 42 games, 30060 moves, e=0.970, loss: 7.0, +, 78.1% elo% vs. random_bot, avg. reward: -9.883, 1.661 sec/game, 0.8 min. total, 392.9 MB
harpist_awkward v1 43 games, 30766 moves, e=0.970, loss: 7.2, +, 78.8% elo% vs. random_bot, avg. reward: -9.890, 1.694 sec/game, 0.9 min. total, 396.5 MB
harpist_awkward v1 44 games, 31458 moves, e=0.969, loss: 7.3, +, 79.4% elo% vs. random_bot, avg. reward: -9.899, 1.702 sec/game, 0.9 min. total, 396.7 MB
harpist_awkward v1 45 games, 32153 moves, e=0.968, loss: 7.2, +, 80.1% elo% vs. random_bot, avg. reward: -9.903, 1.697 sec/game, 0.9 min. total, 393.2 MB
