majestic_scorch v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.4 MB
majestic_scorch v3 35 games, 24037 moves, e=0.976, loss: 0.0, +, 43.9% elo% vs. random_no_suicide, avg. reward: 0.030, 1.469 sec/game, 0.5 min. total, 464.9 MB
majestic_scorch v3 36 games, 24718 moves, e=0.976, loss: 0.0, +, 46.5% elo% vs. random_no_suicide, avg. reward: 0.031, 1.438 sec/game, 0.6 min. total, 465.5 MB
majestic_scorch v3 37 games, 25392 moves, e=0.975, loss: 0.0, +, 48.9% elo% vs. random_no_suicide, avg. reward: 0.031, 1.425 sec/game, 0.6 min. total, 465.5 MB
majestic_scorch v3 38 games, 26108 moves, e=0.974, loss: 0.0, +, 51.3% elo% vs. random_no_suicide, avg. reward: 0.030, 1.416 sec/game, 0.6 min. total, 465.4 MB
majestic_scorch v3 39 games, 26791 moves, e=0.973, loss: 0.0, -, 48.9% elo% vs. random_no_suicide, avg. reward: 0.031, 1.403 sec/game, 0.6 min. total, 463.3 MB
majestic_scorch v3 40 games, 27513 moves, e=0.973, loss: 0.0, -, 46.7% elo% vs. random_no_suicide, avg. reward: 0.032, 1.380 sec/game, 0.7 min. total, 463.4 MB
majestic_scorch v3 41 games, 28251 moves, e=0.972, loss: 0.0, -, 44.6% elo% vs. random_no_suicide, avg. reward: 0.034, 1.367 sec/game, 0.7 min. total, 463.2 MB
majestic_scorch v3 42 games, 29008 moves, e=0.971, loss: 0.0, -, 42.5% elo% vs. random_no_suicide, avg. reward: 0.033, 1.364 sec/game, 0.7 min. total, 464.1 MB
majestic_scorch v3 43 games, 29629 moves, e=0.971, loss: 0.0, -, 40.6% elo% vs. random_no_suicide, avg. reward: 0.033, 1.364 sec/game, 0.7 min. total, 464.0 MB
majestic_scorch v3 44 games, 30305 moves, e=0.970, loss: 0.0, +, 43.3% elo% vs. random_no_suicide, avg. reward: 0.033, 1.356 sec/game, 0.7 min. total, 467.2 MB
majestic_scorch v3 45 games, 30951 moves, e=0.969, loss: 0.0, +, 45.9% elo% vs. random_no_suicide, avg. reward: 0.033, 1.358 sec/game, 0.8 min. total, 467.4 MB
majestic_scorch v3 46 games, 31640 moves, e=0.969, loss: 0.0, -, 43.8% elo% vs. random_no_suicide, avg. reward: 0.033, 1.370 sec/game, 0.8 min. total, 463.8 MB
majestic_scorch v3 47 games, 32292 moves, e=0.968, loss: 0.0, -, 41.8% elo% vs. random_no_suicide, avg. reward: 0.034, 1.363 sec/game, 0.8 min. total, 463.7 MB
majestic_scorch v3 48 games, 32990 moves, e=0.967, loss: 0.0, -, 40.0% elo% vs. random_no_suicide, avg. reward: 0.034, 1.355 sec/game, 0.8 min. total, 464.0 MB
majestic_scorch v3 49 games, 33607 moves, e=0.967, loss: 0.0, -, 38.2% elo% vs. random_no_suicide, avg. reward: 0.035, 1.357 sec/game, 0.9 min. total, 464.6 MB
majestic_scorch v3 50 games, 34291 moves, e=0.966, loss: 0.0, -, 36.6% elo% vs. random_no_suicide, avg. reward: 0.034, 1.348 sec/game, 0.9 min. total, 465.1 MB
majestic_scorch v3 51 games, 34932 moves, e=0.965, loss: 0.0, +, 39.3% elo% vs. random_no_suicide, avg. reward: 0.034, 1.347 sec/game, 0.9 min. total, 468.4 MB
majestic_scorch v3 52 games, 35681 moves, e=0.965, loss: 0.0, ., 39.8% elo% vs. random_no_suicide, avg. reward: 0.034, 1.363 sec/game, 0.9 min. total, 468.6 MB
majestic_scorch v3 53 games, 36396 moves, e=0.964, loss: 0.0, +, 42.5% elo% vs. random_no_suicide, avg. reward: 0.035, 1.365 sec/game, 1.0 min. total, 468.6 MB
majestic_scorch v3 54 games, 37095 moves, e=0.963, loss: 0.0, +, 45.1% elo% vs. random_no_suicide, avg. reward: 0.035, 1.383 sec/game, 1.0 min. total, 468.5 MB
majestic_scorch v3 55 games, 37813 moves, e=0.963, loss: 0.1, -, 43.0% elo% vs. random_no_suicide, avg. reward: 0.035, 1.390 sec/game, 1.0 min. total, 466.4 MB
majestic_scorch v3 56 games, 38377 moves, e=0.962, loss: 0.0, -, 41.1% elo% vs. random_no_suicide, avg. reward: 0.035, 1.385 sec/game, 1.0 min. total, 466.5 MB
majestic_scorch v3 57 games, 39176 moves, e=0.961, loss: 0.1, -, 39.3% elo% vs. random_no_suicide, avg. reward: 0.037, 1.412 sec/game, 1.1 min. total, 467.0 MB
majestic_scorch v3 58 games, 39867 moves, e=0.961, loss: 0.1, -, 37.6% elo% vs. random_no_suicide, avg. reward: 0.037, 1.414 sec/game, 1.1 min. total, 467.1 MB
majestic_scorch v3 59 games, 40664 moves, e=0.960, loss: 0.1, +, 40.3% elo% vs. random_no_suicide, avg. reward: 0.038, 1.420 sec/game, 1.1 min. total, 471.1 MB
majestic_scorch v3 60 games, 41318 moves, e=0.959, loss: 0.1, +, 43.0% elo% vs. random_no_suicide, avg. reward: 0.039, 1.419 sec/game, 1.1 min. total, 471.1 MB
majestic_scorch v3 61 games, 42011 moves, e=0.958, loss: 0.1, -, 41.0% elo% vs. random_no_suicide, avg. reward: 0.040, 1.425 sec/game, 1.2 min. total, 467.6 MB
majestic_scorch v3 62 games, 42707 moves, e=0.958, loss: 0.1, -, 39.2% elo% vs. random_no_suicide, avg. reward: 0.040, 1.426 sec/game, 1.2 min. total, 467.7 MB
majestic_scorch v3 63 games, 43415 moves, e=0.957, loss: 0.1, -, 37.5% elo% vs. random_no_suicide, avg. reward: 0.040, 1.450 sec/game, 1.2 min. total, 468.1 MB
majestic_scorch v3 64 games, 44111 moves, e=0.956, loss: 0.1, -, 35.9% elo% vs. random_no_suicide, avg. reward: 0.041, 1.453 sec/game, 1.2 min. total, 470.3 MB
majestic_scorch v3 65 games, 44903 moves, e=0.956, loss: 0.1, -, 34.4% elo% vs. random_no_suicide, avg. reward: 0.041, 1.466 sec/game, 1.3 min. total, 467.7 MB
majestic_scorch v3 66 games, 45573 moves, e=0.955, loss: 0.1, -, 33.0% elo% vs. random_no_suicide, avg. reward: 0.041, 1.468 sec/game, 1.3 min. total, 469.0 MB
majestic_scorch v3 67 games, 46286 moves, e=0.954, loss: 0.1, -, 31.7% elo% vs. random_no_suicide, avg. reward: 0.041, 1.471 sec/game, 1.3 min. total, 468.4 MB
majestic_scorch v3 68 games, 47021 moves, e=0.953, loss: 0.1, -, 30.4% elo% vs. random_no_suicide, avg. reward: 0.041, 1.486 sec/game, 1.3 min. total, 468.2 MB
majestic_scorch v3 69 games, 47705 moves, e=0.953, loss: 0.1, -, 29.2% elo% vs. random_no_suicide, avg. reward: 0.041, 1.488 sec/game, 1.4 min. total, 468.7 MB
majestic_scorch v3 70 games, 48477 moves, e=0.952, loss: 0.1, -, 28.1% elo% vs. random_no_suicide, avg. reward: 0.040, 1.496 sec/game, 1.4 min. total, 468.6 MB
majestic_scorch v3 71 games, 49302 moves, e=0.951, loss: 0.1, -, 27.1% elo% vs. random_no_suicide, avg. reward: 0.041, 1.518 sec/game, 1.4 min. total, 468.9 MB
majestic_scorch v3 72 games, 50005 moves, e=0.950, loss: 0.1, +, 29.8% elo% vs. random_no_suicide, avg. reward: 0.041, 1.506 sec/game, 1.4 min. total, 468.9 MB
majestic_scorch v3 73 games, 50702 moves, e=0.950, loss: 0.1, -, 28.7% elo% vs. random_no_suicide, avg. reward: 0.042, 1.503 sec/game, 1.5 min. total, 472.3 MB
majestic_scorch v3 74 games, 51453 moves, e=0.949, loss: 0.1, +, 31.5% elo% vs. random_no_suicide, avg. reward: 0.042, 1.500 sec/game, 1.5 min. total, 471.7 MB
majestic_scorch v3 75 games, 52141 moves, e=0.948, loss: 0.1, +, 34.2% elo% vs. random_no_suicide, avg. reward: 0.042, 1.495 sec/game, 1.5 min. total, 472.4 MB
majestic_scorch v3 76 games, 52881 moves, e=0.948, loss: 0.1, -, 32.8% elo% vs. random_no_suicide, avg. reward: 0.042, 1.505 sec/game, 1.5 min. total, 470.5 MB
majestic_scorch v3 77 games, 53655 moves, e=0.947, loss: 0.1, -, 31.5% elo% vs. random_no_suicide, avg. reward: 0.042, 1.493 sec/game, 1.6 min. total, 470.4 MB
majestic_scorch v3 78 games, 54429 moves, e=0.946, loss: 0.1, -, 30.3% elo% vs. random_no_suicide, avg. reward: 0.043, 1.503 sec/game, 1.6 min. total, 470.5 MB
majestic_scorch v3 79 games, 55258 moves, e=0.945, loss: 0.1, -, 29.1% elo% vs. random_no_suicide, avg. reward: 0.043, 1.503 sec/game, 1.6 min. total, 470.5 MB
majestic_scorch v3 80 games, 56096 moves, e=0.944, loss: 0.1, -, 28.0% elo% vs. random_no_suicide, avg. reward: 0.043, 1.534 sec/game, 1.6 min. total, 470.5 MB
majestic_scorch v3 81 games, 56785 moves, e=0.944, loss: 0.1, -, 27.0% elo% vs. random_no_suicide, avg. reward: 0.042, 1.519 sec/game, 1.7 min. total, 471.1 MB
majestic_scorch v3 82 games, 57472 moves, e=0.943, loss: 0.1, -, 26.0% elo% vs. random_no_suicide, avg. reward: 0.042, 1.519 sec/game, 1.7 min. total, 471.6 MB
majestic_scorch v3 83 games, 58206 moves, e=0.942, loss: 0.1, -, 25.1% elo% vs. random_no_suicide, avg. reward: 0.042, 1.500 sec/game, 1.7 min. total, 473.1 MB
majestic_scorch v3 84 games, 58885 moves, e=0.942, loss: 0.1, -, 24.2% elo% vs. random_no_suicide, avg. reward: 0.042, 1.511 sec/game, 1.7 min. total, 473.0 MB
majestic_scorch v3 85 games, 59687 moves, e=0.941, loss: 0.1, -, 23.4% elo% vs. random_no_suicide, avg. reward: 0.042, 1.515 sec/game, 1.8 min. total, 473.3 MB
majestic_scorch v3 86 games, 60438 moves, e=0.940, loss: 0.1, ., 24.3% elo% vs. random_no_suicide, avg. reward: 0.043, 1.518 sec/game, 1.8 min. total, 473.4 MB
majestic_scorch v3 87 games, 61230 moves, e=0.939, loss: 0.1, +, 27.0% elo% vs. random_no_suicide, avg. reward: 0.043, 1.527 sec/game, 1.8 min. total, 475.5 MB
majestic_scorch v3 88 games, 61950 moves, e=0.939, loss: 0.1, +, 29.7% elo% vs. random_no_suicide, avg. reward: 0.043, 1.512 sec/game, 1.8 min. total, 475.5 MB
majestic_scorch v3 89 games, 62589 moves, e=0.938, loss: 0.1, +, 32.5% elo% vs. random_no_suicide, avg. reward: 0.042, 1.512 sec/game, 1.9 min. total, 473.4 MB
majestic_scorch v3 90 games, 63347 moves, e=0.937, loss: 0.1, +, 35.3% elo% vs. random_no_suicide, avg. reward: 0.043, 1.514 sec/game, 1.9 min. total, 473.5 MB
majestic_scorch v3 91 games, 64095 moves, e=0.937, loss: 0.1, +, 38.0% elo% vs. random_no_suicide, avg. reward: 0.043, 1.505 sec/game, 1.9 min. total, 477.0 MB
majestic_scorch v3 92 games, 64941 moves, e=0.936, loss: 0.1, +, 40.8% elo% vs. random_no_suicide, avg. reward: 0.043, 1.533 sec/game, 1.9 min. total, 475.0 MB
majestic_scorch v3 93 games, 65722 moves, e=0.935, loss: 0.1, +, 43.4% elo% vs. random_no_suicide, avg. reward: 0.044, 1.535 sec/game, 2.0 min. total, 475.0 MB
majestic_scorch v3 94 games, 66341 moves, e=0.934, loss: 0.1, +, 46.0% elo% vs. random_no_suicide, avg. reward: 0.044, 1.534 sec/game, 2.0 min. total, 477.2 MB
majestic_scorch v3 95 games, 67055 moves, e=0.934, loss: 0.1, ., 46.2% elo% vs. random_no_suicide, avg. reward: 0.043, 1.524 sec/game, 2.0 min. total, 475.3 MB
majestic_scorch v3 96 games, 67787 moves, e=0.933, loss: 0.1, -, 44.1% elo% vs. random_no_suicide, avg. reward: 0.044, 1.528 sec/game, 2.0 min. total, 474.9 MB
majestic_scorch v3 97 games, 68536 moves, e=0.932, loss: 0.1, +, 46.6% elo% vs. random_no_suicide, avg. reward: 0.044, 1.528 sec/game, 2.1 min. total, 477.5 MB
majestic_scorch v3 98 games, 69238 moves, e=0.931, loss: 0.1, +, 49.1% elo% vs. random_no_suicide, avg. reward: 0.044, 1.526 sec/game, 2.1 min. total, 478.1 MB
majestic_scorch v3 99 games, 69939 moves, e=0.931, loss: 0.1, +, 51.4% elo% vs. random_no_suicide, avg. reward: 0.044, 1.532 sec/game, 2.1 min. total, 479.0 MB
majestic_scorch v3 100 games, 70757 moves, e=0.930, loss: 0.1, +, 53.7% elo% vs. random_no_suicide, avg. reward: 0.045, 1.519 sec/game, 2.1 min. total, 479.3 MB
majestic_scorch v4 101 games, 71411 moves, e=0.929, loss: 0.1, +, 52.3% elo% vs. random_no_suicide, avg. reward: 0.045, 1.530 sec/game, 2.2 min. total, 479.2 MB
majestic_scorch v4 102 games, 72192 moves, e=0.929, loss: 0.1, +, 54.5% elo% vs. random_no_suicide, avg. reward: 0.045, 1.582 sec/game, 2.2 min. total, 477.1 MB
majestic_scorch v4 103 games, 72986 moves, e=0.928, loss: 0.1, +, 56.6% elo% vs. random_no_suicide, avg. reward: 0.045, 1.603 sec/game, 2.2 min. total, 479.2 MB
majestic_scorch v4 104 games, 73696 moves, e=0.927, loss: 0.1, +, 58.5% elo% vs. random_no_suicide, avg. reward: 0.046, 1.600 sec/game, 2.3 min. total, 480.1 MB
majestic_scorch v4 105 games, 74524 moves, e=0.926, loss: 0.1, +, 60.4% elo% vs. random_no_suicide, avg. reward: 0.046, 1.615 sec/game, 2.3 min. total, 480.1 MB
majestic_scorch v4 106 games, 75267 moves, e=0.925, loss: 0.1, -, 57.7% elo% vs. random_no_suicide, avg. reward: 0.047, 1.626 sec/game, 2.3 min. total, 477.9 MB
majestic_scorch v4 107 games, 75960 moves, e=0.925, loss: 0.1, -, 55.1% elo% vs. random_no_suicide, avg. reward: 0.047, 1.634 sec/game, 2.4 min. total, 477.5 MB
majestic_scorch v4 108 games, 76662 moves, e=0.924, loss: 0.2, +, 57.1% elo% vs. random_no_suicide, avg. reward: 0.047, 1.643 sec/game, 2.4 min. total, 478.1 MB
majestic_scorch v4 109 games, 77406 moves, e=0.923, loss: 0.2, -, 54.5% elo% vs. random_no_suicide, avg. reward: 0.048, 1.661 sec/game, 2.4 min. total, 477.5 MB
