majestic_scorch v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.4 MB
majestic_scorch v8 305 games, 235352 moves, e=0.767, loss: 2.6, -, 43.4% elo% vs. terrible_bot, avg. reward: 0.136, 3.967 sec/game, 39.0 min. total, 438.2 MB
majestic_scorch v8 306 games, 236349 moves, e=0.766, loss: 2.7, +, 45.9% elo% vs. terrible_bot, avg. reward: 0.136, 3.995 sec/game, 39.0 min. total, 438.3 MB
majestic_scorch v8 307 games, 237274 moves, e=0.765, loss: 2.5, -, 43.8% elo% vs. terrible_bot, avg. reward: 0.136, 4.005 sec/game, 39.1 min. total, 438.5 MB
majestic_scorch v8 308 games, 238223 moves, e=0.764, loss: 2.5, +, 46.4% elo% vs. terrible_bot, avg. reward: 0.137, 2.460 sec/game, 39.1 min. total, 438.9 MB
majestic_scorch v8 309 games, 239054 moves, e=0.763, loss: 2.6, -, 44.3% elo% vs. terrible_bot, avg. reward: 0.138, 2.420 sec/game, 39.1 min. total, 440.4 MB
majestic_scorch v8 310 games, 239870 moves, e=0.763, loss: 2.6, -, 42.3% elo% vs. terrible_bot, avg. reward: 0.137, 2.415 sec/game, 39.2 min. total, 440.5 MB
majestic_scorch v8 311 games, 240620 moves, e=0.762, loss: 2.5, +, 44.9% elo% vs. terrible_bot, avg. reward: 0.138, 2.332 sec/game, 39.2 min. total, 440.5 MB
majestic_scorch v8 312 games, 241401 moves, e=0.761, loss: 2.6, -, 42.9% elo% vs. terrible_bot, avg. reward: 0.140, 2.344 sec/game, 39.3 min. total, 438.5 MB
majestic_scorch v8 313 games, 242330 moves, e=0.760, loss: 2.8, +, 45.5% elo% vs. terrible_bot, avg. reward: 0.141, 2.363 sec/game, 39.3 min. total, 439.2 MB
majestic_scorch v8 314 games, 243075 moves, e=0.759, loss: 2.7, -, 43.4% elo% vs. terrible_bot, avg. reward: 0.145, 2.363 sec/game, 39.3 min. total, 438.7 MB
majestic_scorch v8 315 games, 243909 moves, e=0.759, loss: 2.8, -, 41.4% elo% vs. terrible_bot, avg. reward: 0.146, 2.334 sec/game, 39.4 min. total, 438.9 MB
majestic_scorch v8 316 games, 244750 moves, e=0.758, loss: 3.1, +, 44.1% elo% vs. terrible_bot, avg. reward: 0.147, 2.334 sec/game, 39.4 min. total, 438.8 MB
majestic_scorch v8 317 games, 245609 moves, e=0.757, loss: 3.2, -, 42.1% elo% vs. terrible_bot, avg. reward: 0.147, 2.308 sec/game, 39.4 min. total, 438.5 MB
majestic_scorch v8 318 games, 246466 moves, e=0.756, loss: 3.2, -, 40.2% elo% vs. terrible_bot, avg. reward: 0.147, 2.306 sec/game, 39.5 min. total, 439.5 MB
majestic_scorch v8 319 games, 247294 moves, e=0.755, loss: 3.3, -, 38.4% elo% vs. terrible_bot, avg. reward: 0.147, 2.308 sec/game, 39.5 min. total, 441.1 MB
majestic_scorch v8 320 games, 248098 moves, e=0.754, loss: 3.1, +, 41.2% elo% vs. terrible_bot, avg. reward: 0.147, 2.319 sec/game, 39.6 min. total, 442.0 MB
majestic_scorch v8 321 games, 248984 moves, e=0.754, loss: 3.1, -, 39.3% elo% vs. terrible_bot, avg. reward: 0.147, 2.337 sec/game, 39.6 min. total, 441.3 MB
majestic_scorch v8 322 games, 249766 moves, e=0.753, loss: 3.0, +, 42.0% elo% vs. terrible_bot, avg. reward: 0.148, 2.319 sec/game, 39.6 min. total, 441.9 MB
majestic_scorch v8 323 games, 250800 moves, e=0.752, loss: 3.1, +, 44.6% elo% vs. terrible_bot, avg. reward: 0.150, 2.342 sec/game, 39.7 min. total, 441.9 MB
majestic_scorch v8 324 games, 251677 moves, e=0.751, loss: 3.3, -, 42.6% elo% vs. terrible_bot, avg. reward: 0.152, 2.327 sec/game, 39.7 min. total, 441.5 MB
majestic_scorch v8 325 games, 252442 moves, e=0.750, loss: 3.2, -, 40.7% elo% vs. terrible_bot, avg. reward: 0.152, 2.328 sec/game, 39.8 min. total, 441.5 MB
majestic_scorch v8 326 games, 253273 moves, e=0.749, loss: 3.2, +, 43.4% elo% vs. terrible_bot, avg. reward: 0.155, 2.300 sec/game, 39.8 min. total, 441.9 MB
majestic_scorch v8 327 games, 254264 moves, e=0.748, loss: 3.4, -, 41.4% elo% vs. terrible_bot, avg. reward: 0.156, 2.317 sec/game, 39.8 min. total, 441.5 MB
majestic_scorch v8 328 games, 255089 moves, e=0.747, loss: 3.0, +, 44.1% elo% vs. terrible_bot, avg. reward: 0.156, 2.288 sec/game, 39.9 min. total, 442.5 MB
majestic_scorch v8 329 games, 255902 moves, e=0.747, loss: 3.4, -, 42.1% elo% vs. terrible_bot, avg. reward: 0.157, 2.292 sec/game, 39.9 min. total, 444.0 MB
majestic_scorch v8 330 games, 256870 moves, e=0.746, loss: 3.2, -, 40.2% elo% vs. terrible_bot, avg. reward: 0.158, 2.306 sec/game, 39.9 min. total, 444.5 MB
majestic_scorch v8 331 games, 257721 moves, e=0.745, loss: 3.3, -, 38.4% elo% vs. terrible_bot, avg. reward: 0.160, 2.314 sec/game, 40.0 min. total, 444.3 MB
majestic_scorch v8 332 games, 258621 moves, e=0.744, loss: 3.4, -, 36.8% elo% vs. terrible_bot, avg. reward: 0.163, 2.313 sec/game, 40.0 min. total, 444.3 MB
majestic_scorch v8 333 games, 259621 moves, e=0.743, loss: 3.6, -, 35.2% elo% vs. terrible_bot, avg. reward: 0.164, 2.299 sec/game, 40.1 min. total, 444.2 MB
majestic_scorch v8 334 games, 260618 moves, e=0.742, loss: 3.4, +, 38.0% elo% vs. terrible_bot, avg. reward: 0.167, 2.325 sec/game, 40.1 min. total, 445.0 MB
majestic_scorch v8 335 games, 261515 moves, e=0.741, loss: 3.6, -, 36.3% elo% vs. terrible_bot, avg. reward: 0.168, 2.335 sec/game, 40.1 min. total, 444.9 MB
majestic_scorch v8 336 games, 262413 moves, e=0.740, loss: 3.7, -, 34.8% elo% vs. terrible_bot, avg. reward: 0.167, 2.329 sec/game, 40.2 min. total, 444.8 MB
majestic_scorch v8 337 games, 263329 moves, e=0.739, loss: 3.9, -, 33.4% elo% vs. terrible_bot, avg. reward: 0.170, 2.336 sec/game, 40.2 min. total, 445.2 MB
majestic_scorch v8 338 games, 264280 moves, e=0.738, loss: 3.8, -, 32.0% elo% vs. terrible_bot, avg. reward: 0.170, 2.333 sec/game, 40.3 min. total, 449.1 MB
majestic_scorch v8 339 games, 265070 moves, e=0.738, loss: 3.8, -, 30.7% elo% vs. terrible_bot, avg. reward: 0.172, 2.333 sec/game, 40.3 min. total, 448.9 MB
majestic_scorch v8 340 games, 265897 moves, e=0.737, loss: 3.6, -, 29.6% elo% vs. terrible_bot, avg. reward: 0.172, 2.326 sec/game, 40.3 min. total, 449.0 MB
majestic_scorch v8 341 games, 266794 moves, e=0.736, loss: 3.8, ., 30.3% elo% vs. terrible_bot, avg. reward: 0.175, 2.319 sec/game, 40.4 min. total, 449.0 MB
majestic_scorch v8 342 games, 267683 moves, e=0.735, loss: 3.8, +, 33.1% elo% vs. terrible_bot, avg. reward: 0.175, 2.326 sec/game, 40.4 min. total, 449.2 MB
majestic_scorch v8 343 games, 268643 moves, e=0.734, loss: 3.8, +, 35.9% elo% vs. terrible_bot, avg. reward: 0.174, 2.309 sec/game, 40.5 min. total, 449.3 MB
majestic_scorch v8 344 games, 269576 moves, e=0.733, loss: 4.1, -, 34.4% elo% vs. terrible_bot, avg. reward: 0.177, 2.321 sec/game, 40.5 min. total, 449.2 MB
majestic_scorch v8 345 games, 270458 moves, e=0.732, loss: 4.2, -, 33.0% elo% vs. terrible_bot, avg. reward: 0.178, 2.320 sec/game, 40.5 min. total, 449.9 MB
majestic_scorch v8 346 games, 271329 moves, e=0.731, loss: 4.4, +, 35.8% elo% vs. terrible_bot, avg. reward: 0.180, 2.334 sec/game, 40.6 min. total, 450.4 MB
majestic_scorch v8 347 games, 272156 moves, e=0.731, loss: 4.5, -, 34.3% elo% vs. terrible_bot, avg. reward: 0.180, 2.315 sec/game, 40.6 min. total, 450.1 MB
majestic_scorch v8 348 games, 273069 moves, e=0.730, loss: 4.6, ., 34.9% elo% vs. terrible_bot, avg. reward: 0.183, 2.341 sec/game, 40.7 min. total, 452.0 MB
majestic_scorch v8 349 games, 273848 moves, e=0.729, loss: 4.5, -, 33.5% elo% vs. terrible_bot, avg. reward: 0.184, 2.333 sec/game, 40.7 min. total, 451.6 MB
majestic_scorch v8 350 games, 274810 moves, e=0.728, loss: 4.0, -, 32.1% elo% vs. terrible_bot, avg. reward: 0.186, 2.329 sec/game, 40.7 min. total, 451.8 MB
majestic_scorch v8 351 games, 275782 moves, e=0.727, loss: 4.5, -, 30.8% elo% vs. terrible_bot, avg. reward: 0.187, 2.344 sec/game, 40.8 min. total, 452.0 MB
majestic_scorch v8 352 games, 276713 moves, e=0.726, loss: 4.7, -, 29.6% elo% vs. terrible_bot, avg. reward: 0.188, 2.347 sec/game, 40.8 min. total, 452.0 MB
majestic_scorch v8 353 games, 277714 moves, e=0.725, loss: 4.4, +, 32.4% elo% vs. terrible_bot, avg. reward: 0.192, 2.348 sec/game, 40.9 min. total, 452.1 MB
majestic_scorch v8 354 games, 278650 moves, e=0.724, loss: 4.4, +, 35.2% elo% vs. terrible_bot, avg. reward: 0.194, 2.334 sec/game, 40.9 min. total, 452.3 MB
majestic_scorch v8 355 games, 279593 moves, e=0.723, loss: 4.2, +, 38.0% elo% vs. terrible_bot, avg. reward: 0.194, 2.349 sec/game, 40.9 min. total, 452.2 MB
majestic_scorch v8 356 games, 280543 moves, e=0.722, loss: 4.1, -, 36.3% elo% vs. terrible_bot, avg. reward: 0.197, 2.353 sec/game, 41.0 min. total, 452.1 MB
majestic_scorch v8 357 games, 281337 moves, e=0.721, loss: 4.1, +, 39.1% elo% vs. terrible_bot, avg. reward: 0.198, 2.342 sec/game, 41.0 min. total, 453.1 MB
majestic_scorch v8 358 games, 282219 moves, e=0.721, loss: 4.1, -, 37.4% elo% vs. terrible_bot, avg. reward: 0.199, 2.345 sec/game, 41.0 min. total, 454.6 MB
majestic_scorch v8 359 games, 283053 moves, e=0.720, loss: 4.1, -, 35.8% elo% vs. terrible_bot, avg. reward: 0.199, 2.373 sec/game, 41.1 min. total, 454.8 MB
majestic_scorch v8 360 games, 284059 moves, e=0.719, loss: 4.2, +, 38.6% elo% vs. terrible_bot, avg. reward: 0.200, 2.439 sec/game, 41.1 min. total, 455.1 MB
majestic_scorch v8 361 games, 284868 moves, e=0.718, loss: 4.2, -, 36.9% elo% vs. terrible_bot, avg. reward: 0.201, 2.462 sec/game, 41.2 min. total, 454.7 MB
majestic_scorch v8 362 games, 285914 moves, e=0.717, loss: 4.0, -, 35.3% elo% vs. terrible_bot, avg. reward: 0.203, 2.498 sec/game, 41.2 min. total, 455.0 MB
majestic_scorch v8 363 games, 286913 moves, e=0.716, loss: 3.8, ., 35.9% elo% vs. terrible_bot, avg. reward: 0.203, 2.519 sec/game, 41.3 min. total, 455.0 MB
majestic_scorch v8 364 games, 287971 moves, e=0.715, loss: 3.8, -, 34.4% elo% vs. terrible_bot, avg. reward: 0.202, 2.530 sec/game, 41.3 min. total, 455.1 MB
majestic_scorch v8 365 games, 288785 moves, e=0.714, loss: 3.7, +, 37.2% elo% vs. terrible_bot, avg. reward: 0.203, 2.548 sec/game, 41.4 min. total, 455.2 MB
majestic_scorch v8 366 games, 289683 moves, e=0.713, loss: 3.6, ., 37.8% elo% vs. terrible_bot, avg. reward: 0.203, 2.553 sec/game, 41.4 min. total, 455.2 MB
majestic_scorch v8 367 games, 290453 moves, e=0.712, loss: 3.5, -, 36.1% elo% vs. terrible_bot, avg. reward: 0.202, 2.546 sec/game, 41.5 min. total, 456.7 MB
majestic_scorch v8 368 games, 291496 moves, e=0.711, loss: 3.6, +, 38.9% elo% vs. terrible_bot, avg. reward: 0.201, 2.559 sec/game, 41.5 min. total, 457.5 MB
majestic_scorch v8 369 games, 292452 moves, e=0.710, loss: 3.6, ., 39.4% elo% vs. terrible_bot, avg. reward: 0.204, 2.587 sec/game, 41.5 min. total, 457.7 MB
majestic_scorch v8 370 games, 293391 moves, e=0.710, loss: 3.6, -, 37.7% elo% vs. terrible_bot, avg. reward: 0.207, 2.611 sec/game, 41.6 min. total, 457.6 MB
majestic_scorch v8 371 games, 294222 moves, e=0.709, loss: 3.4, -, 36.0% elo% vs. terrible_bot, avg. reward: 0.207, 2.596 sec/game, 41.6 min. total, 457.6 MB
majestic_scorch v8 372 games, 295083 moves, e=0.708, loss: 3.7, -, 34.5% elo% vs. terrible_bot, avg. reward: 0.207, 2.599 sec/game, 41.7 min. total, 458.2 MB
majestic_scorch v8 373 games, 296016 moves, e=0.707, loss: 3.7, -, 33.1% elo% vs. terrible_bot, avg. reward: 0.207, 2.593 sec/game, 41.7 min. total, 458.0 MB
majestic_scorch v8 374 games, 296989 moves, e=0.706, loss: 3.4, ., 33.8% elo% vs. terrible_bot, avg. reward: 0.207, 2.610 sec/game, 41.8 min. total, 458.0 MB
majestic_scorch v8 375 games, 297889 moves, e=0.705, loss: 3.6, +, 36.6% elo% vs. terrible_bot, avg. reward: 0.208, 2.599 sec/game, 41.8 min. total, 458.7 MB
majestic_scorch v8 376 games, 298916 moves, e=0.704, loss: 3.5, -, 35.0% elo% vs. terrible_bot, avg. reward: 0.208, 2.615 sec/game, 41.8 min. total, 460.7 MB
majestic_scorch v8 377 games, 299761 moves, e=0.703, loss: 3.4, -, 33.6% elo% vs. terrible_bot, avg. reward: 0.211, 2.633 sec/game, 41.9 min. total, 460.6 MB
majestic_scorch v8 378 games, 300783 moves, e=0.702, loss: 3.4, -, 32.2% elo% vs. terrible_bot, avg. reward: 0.215, 2.652 sec/game, 41.9 min. total, 460.6 MB
majestic_scorch v8 379 games, 301631 moves, e=0.701, loss: 3.4, -, 30.9% elo% vs. terrible_bot, avg. reward: 0.216, 2.643 sec/game, 42.0 min. total, 460.7 MB
majestic_scorch v8 380 games, 302649 moves, e=0.700, loss: 3.3, -, 29.7% elo% vs. terrible_bot, avg. reward: 0.217, 2.608 sec/game, 42.0 min. total, 460.8 MB
majestic_scorch v8 381 games, 303557 moves, e=0.699, loss: 3.4, -, 28.6% elo% vs. terrible_bot, avg. reward: 0.217, 2.597 sec/game, 42.1 min. total, 460.9 MB
majestic_scorch v8 382 games, 304586 moves, e=0.698, loss: 3.3, +, 31.4% elo% vs. terrible_bot, avg. reward: 0.222, 2.591 sec/game, 42.1 min. total, 461.1 MB
majestic_scorch v8 383 games, 305537 moves, e=0.698, loss: 3.3, ., 32.1% elo% vs. terrible_bot, avg. reward: 0.222, 2.600 sec/game, 42.2 min. total, 461.2 MB
majestic_scorch v8 384 games, 306423 moves, e=0.697, loss: 3.4, +, 34.9% elo% vs. terrible_bot, avg. reward: 0.224, 2.578 sec/game, 42.2 min. total, 462.9 MB
majestic_scorch v8 385 games, 307451 moves, e=0.696, loss: 3.7, -, 33.4% elo% vs. terrible_bot, avg. reward: 0.226, 2.589 sec/game, 42.2 min. total, 463.5 MB
majestic_scorch v8 386 games, 308431 moves, e=0.695, loss: 3.6, +, 36.2% elo% vs. terrible_bot, avg. reward: 0.228, 2.596 sec/game, 42.3 min. total, 463.8 MB
majestic_scorch v8 387 games, 309346 moves, e=0.694, loss: 3.7, -, 34.7% elo% vs. terrible_bot, avg. reward: 0.228, 2.605 sec/game, 42.3 min. total, 463.8 MB
majestic_scorch v8 388 games, 310401 moves, e=0.693, loss: 3.8, +, 37.5% elo% vs. terrible_bot, avg. reward: 0.230, 2.605 sec/game, 42.4 min. total, 463.8 MB
majestic_scorch v8 389 games, 311307 moves, e=0.692, loss: 3.8, -, 35.9% elo% vs. terrible_bot, avg. reward: 0.230, 2.592 sec/game, 42.4 min. total, 463.9 MB
majestic_scorch v8 390 games, 312214 moves, e=0.691, loss: 4.0, -, 34.4% elo% vs. terrible_bot, avg. reward: 0.230, 2.567 sec/game, 42.5 min. total, 463.7 MB
majestic_scorch v8 391 games, 313224 moves, e=0.690, loss: 3.9, -, 32.9% elo% vs. terrible_bot, avg. reward: 0.233, 2.574 sec/game, 42.5 min. total, 463.8 MB
majestic_scorch v8 392 games, 314171 moves, e=0.689, loss: 4.0, +, 35.7% elo% vs. terrible_bot, avg. reward: 0.233, 2.557 sec/game, 42.5 min. total, 464.3 MB
majestic_scorch v8 393 games, 315121 moves, e=0.688, loss: 3.9, -, 34.2% elo% vs. terrible_bot, avg. reward: 0.237, 2.541 sec/game, 42.6 min. total, 465.2 MB
majestic_scorch v8 394 games, 316204 moves, e=0.687, loss: 3.8, +, 37.0% elo% vs. terrible_bot, avg. reward: 0.240, 2.540 sec/game, 42.6 min. total, 466.6 MB
majestic_scorch v8 395 games, 317275 moves, e=0.686, loss: 4.0, +, 39.8% elo% vs. terrible_bot, avg. reward: 0.240, 2.543 sec/game, 42.6 min. total, 466.6 MB
majestic_scorch v8 396 games, 318146 moves, e=0.685, loss: 4.0, -, 38.0% elo% vs. terrible_bot, avg. reward: 0.240, 2.513 sec/game, 42.7 min. total, 466.2 MB
majestic_scorch v8 397 games, 319032 moves, e=0.684, loss: 4.1, +, 40.7% elo% vs. terrible_bot, avg. reward: 0.239, 2.497 sec/game, 42.7 min. total, 466.7 MB
majestic_scorch v8 398 games, 320001 moves, e=0.683, loss: 4.0, -, 38.9% elo% vs. terrible_bot, avg. reward: 0.239, 2.476 sec/game, 42.8 min. total, 466.4 MB
majestic_scorch v8 399 games, 320936 moves, e=0.682, loss: 3.6, +, 41.6% elo% vs. terrible_bot, avg. reward: 0.241, 2.457 sec/game, 42.8 min. total, 466.9 MB
majestic_scorch v8 400 games, 321894 moves, e=0.681, loss: 3.4, +, 44.3% elo% vs. terrible_bot, avg. reward: 0.243, 2.424 sec/game, 42.8 min. total, 466.8 MB
majestic_scorch v9 401 games, 322842 moves, e=0.680, loss: 3.3, +, 52.3% elo% vs. terrible_bot, avg. reward: 0.244, 2.418 sec/game, 42.9 min. total, 466.4 MB
majestic_scorch v9 402 games, 323759 moves, e=0.679, loss: 3.5, +, 54.5% elo% vs. terrible_bot, avg. reward: 0.244, 2.380 sec/game, 42.9 min. total, 467.8 MB
majestic_scorch v9 403 games, 324694 moves, e=0.679, loss: 3.5, +, 56.6% elo% vs. terrible_bot, avg. reward: 0.246, 2.339 sec/game, 42.9 min. total, 469.5 MB
majestic_scorch v9 404 games, 325725 moves, e=0.678, loss: 3.6, +, 58.5% elo% vs. terrible_bot, avg. reward: 0.248, 2.349 sec/game, 43.0 min. total, 469.3 MB
majestic_scorch v9 405 games, 326572 moves, e=0.677, loss: 3.3, +, 60.4% elo% vs. terrible_bot, avg. reward: 0.249, 2.319 sec/game, 43.0 min. total, 469.6 MB
majestic_scorch v9 406 games, 327592 moves, e=0.676, loss: 3.4, +, 62.1% elo% vs. terrible_bot, avg. reward: 0.251, 2.309 sec/game, 43.1 min. total, 469.6 MB
majestic_scorch v9 407 games, 328462 moves, e=0.675, loss: 3.4, -, 59.4% elo% vs. terrible_bot, avg. reward: 0.251, 2.298 sec/game, 43.1 min. total, 469.6 MB
majestic_scorch v9 408 games, 329343 moves, e=0.674, loss: 3.4, +, 61.2% elo% vs. terrible_bot, avg. reward: 0.254, 2.251 sec/game, 43.1 min. total, 469.6 MB
majestic_scorch v9 409 games, 330378 moves, e=0.673, loss: 3.5, -, 58.4% elo% vs. terrible_bot, avg. reward: 0.254, 2.265 sec/game, 43.2 min. total, 469.7 MB
majestic_scorch v9 410 games, 331359 moves, e=0.672, loss: 3.3, -, 55.8% elo% vs. terrible_bot, avg. reward: 0.257, 2.259 sec/game, 43.2 min. total, 470.0 MB
majestic_scorch v9 411 games, 332282 moves, e=0.671, loss: 3.0, -, 53.3% elo% vs. terrible_bot, avg. reward: 0.259, 2.243 sec/game, 43.2 min. total, 470.8 MB
majestic_scorch v9 412 games, 333257 moves, e=0.670, loss: 3.0, +, 55.4% elo% vs. terrible_bot, avg. reward: 0.258, 2.257 sec/game, 43.3 min. total, 472.5 MB
majestic_scorch v9 413 games, 334247 moves, e=0.669, loss: 3.0, +, 57.4% elo% vs. terrible_bot, avg. reward: 0.258, 2.272 sec/game, 43.3 min. total, 473.0 MB
majestic_scorch v9 414 games, 335377 moves, e=0.668, loss: 3.0, +, 59.3% elo% vs. terrible_bot, avg. reward: 0.256, 2.270 sec/game, 43.4 min. total, 473.4 MB
majestic_scorch v9 415 games, 336478 moves, e=0.667, loss: 3.0, +, 61.1% elo% vs. terrible_bot, avg. reward: 0.259, 2.271 sec/game, 43.4 min. total, 473.4 MB
majestic_scorch v9 416 games, 337598 moves, e=0.666, loss: 3.0, -, 58.4% elo% vs. terrible_bot, avg. reward: 0.260, 2.303 sec/game, 43.4 min. total, 473.4 MB
majestic_scorch v9 417 games, 338599 moves, e=0.665, loss: 3.2, +, 60.3% elo% vs. terrible_bot, avg. reward: 0.262, 2.321 sec/game, 43.5 min. total, 473.6 MB
majestic_scorch v9 418 games, 339617 moves, e=0.664, loss: 3.2, +, 62.0% elo% vs. terrible_bot, avg. reward: 0.264, 2.323 sec/game, 43.5 min. total, 474.1 MB
majestic_scorch v9 419 games, 340617 moves, e=0.663, loss: 3.3, -, 59.3% elo% vs. terrible_bot, avg. reward: 0.267, 2.336 sec/game, 43.6 min. total, 473.8 MB
majestic_scorch v9 420 games, 341516 moves, e=0.662, loss: 3.5, +, 61.1% elo% vs. terrible_bot, avg. reward: 0.269, 2.334 sec/game, 43.6 min. total, 475.0 MB
majestic_scorch v9 421 games, 342514 moves, e=0.661, loss: 3.8, ., 60.6% elo% vs. terrible_bot, avg. reward: 0.271, 2.324 sec/game, 43.6 min. total, 475.8 MB
majestic_scorch v9 422 games, 343542 moves, e=0.660, loss: 3.5, +, 62.3% elo% vs. terrible_bot, avg. reward: 0.274, 2.347 sec/game, 43.7 min. total, 475.8 MB
majestic_scorch v9 423 games, 344342 moves, e=0.659, loss: 3.4, -, 59.6% elo% vs. terrible_bot, avg. reward: 0.273, 2.346 sec/game, 43.7 min. total, 475.7 MB
majestic_scorch v9 424 games, 345377 moves, e=0.658, loss: 3.4, ., 59.1% elo% vs. terrible_bot, avg. reward: 0.271, 2.344 sec/game, 43.8 min. total, 475.7 MB
majestic_scorch v9 425 games, 346339 moves, e=0.657, loss: 3.4, -, 56.5% elo% vs. terrible_bot, avg. reward: 0.274, 2.349 sec/game, 43.8 min. total, 476.1 MB
majestic_scorch v9 426 games, 347207 moves, e=0.656, loss: 3.3, -, 53.9% elo% vs. terrible_bot, avg. reward: 0.275, 2.336 sec/game, 43.8 min. total, 475.7 MB
majestic_scorch v9 427 games, 348302 moves, e=0.655, loss: 3.6, +, 56.0% elo% vs. terrible_bot, avg. reward: 0.276, 2.364 sec/game, 43.9 min. total, 476.1 MB
majestic_scorch v9 428 games, 349369 moves, e=0.654, loss: 3.6, +, 58.0% elo% vs. terrible_bot, avg. reward: 0.279, 2.388 sec/game, 43.9 min. total, 476.9 MB
majestic_scorch v9 429 games, 350359 moves, e=0.653, loss: 3.5, +, 59.9% elo% vs. terrible_bot, avg. reward: 0.280, 2.375 sec/game, 44.0 min. total, 480.2 MB
majestic_scorch v9 430 games, 351245 moves, e=0.652, loss: 3.5, -, 57.2% elo% vs. terrible_bot, avg. reward: 0.280, 2.375 sec/game, 44.0 min. total, 478.9 MB
majestic_scorch v9 431 games, 352270 moves, e=0.651, loss: 3.6, +, 59.1% elo% vs. terrible_bot, avg. reward: 0.284, 2.397 sec/game, 44.0 min. total, 479.4 MB
majestic_scorch v9 432 games, 353149 moves, e=0.650, loss: 3.7, +, 60.9% elo% vs. terrible_bot, avg. reward: 0.284, 2.371 sec/game, 44.1 min. total, 479.1 MB
majestic_scorch v9 433 games, 353932 moves, e=0.650, loss: 3.5, +, 62.6% elo% vs. terrible_bot, avg. reward: 0.283, 2.354 sec/game, 44.1 min. total, 479.7 MB
majestic_scorch v9 434 games, 354943 moves, e=0.649, loss: 3.5, +, 64.2% elo% vs. terrible_bot, avg. reward: 0.283, 2.337 sec/game, 44.1 min. total, 479.6 MB
majestic_scorch v9 435 games, 355949 moves, e=0.648, loss: 3.4, -, 61.5% elo% vs. terrible_bot, avg. reward: 0.285, 2.384 sec/game, 44.2 min. total, 479.7 MB
majestic_scorch v9 436 games, 356809 moves, e=0.647, loss: 3.5, -, 58.7% elo% vs. terrible_bot, avg. reward: 0.286, 2.381 sec/game, 44.2 min. total, 479.6 MB
majestic_scorch v9 437 games, 357825 moves, e=0.646, loss: 3.5, +, 60.6% elo% vs. terrible_bot, avg. reward: 0.286, 2.387 sec/game, 44.3 min. total, 479.8 MB
majestic_scorch v9 438 games, 358859 moves, e=0.645, loss: 3.4, +, 62.3% elo% vs. terrible_bot, avg. reward: 0.286, 2.416 sec/game, 44.3 min. total, 479.6 MB
majestic_scorch v9 439 games, 359738 moves, e=0.644, loss: 3.3, +, 63.9% elo% vs. terrible_bot, avg. reward: 0.286, 2.433 sec/game, 44.4 min. total, 480.3 MB
majestic_scorch v9 440 games, 360854 moves, e=0.643, loss: 3.1, +, 65.4% elo% vs. terrible_bot, avg. reward: 0.288, 2.532 sec/game, 44.4 min. total, 481.9 MB
majestic_scorch v9 441 games, 361818 moves, e=0.642, loss: 3.3, -, 62.7% elo% vs. terrible_bot, avg. reward: 0.288, 2.552 sec/game, 44.5 min. total, 481.5 MB
majestic_scorch v9 442 games, 362921 moves, e=0.641, loss: 3.4, +, 64.3% elo% vs. terrible_bot, avg. reward: 0.290, 2.561 sec/game, 44.5 min. total, 481.9 MB
majestic_scorch v9 443 games, 363844 moves, e=0.640, loss: 3.5, +, 65.7% elo% vs. terrible_bot, avg. reward: 0.293, 2.579 sec/game, 44.6 min. total, 482.2 MB
majestic_scorch v9 444 games, 364718 moves, e=0.639, loss: 3.3, +, 67.2% elo% vs. terrible_bot, avg. reward: 0.292, 2.570 sec/game, 44.6 min. total, 482.3 MB
majestic_scorch v9 445 games, 365653 moves, e=0.638, loss: 3.1, -, 64.4% elo% vs. terrible_bot, avg. reward: 0.295, 2.574 sec/game, 44.7 min. total, 482.0 MB
majestic_scorch v9 446 games, 366779 moves, e=0.637, loss: 3.1, +, 65.9% elo% vs. terrible_bot, avg. reward: 0.298, 2.608 sec/game, 44.7 min. total, 482.4 MB
majestic_scorch v9 447 games, 367710 moves, e=0.636, loss: 3.4, ., 65.2% elo% vs. terrible_bot, avg. reward: 0.300, 2.590 sec/game, 44.7 min. total, 482.4 MB
majestic_scorch v9 448 games, 368761 moves, e=0.635, loss: 3.8, +, 66.6% elo% vs. terrible_bot, avg. reward: 0.301, 2.598 sec/game, 44.8 min. total, 483.8 MB
majestic_scorch v9 449 games, 369631 moves, e=0.634, loss: 3.8, -, 63.9% elo% vs. terrible_bot, avg. reward: 0.302, 2.591 sec/game, 44.8 min. total, 485.7 MB
majestic_scorch v9 450 games, 370684 moves, e=0.633, loss: 4.0, +, 65.4% elo% vs. terrible_bot, avg. reward: 0.301, 2.605 sec/game, 44.9 min. total, 485.3 MB
majestic_scorch v9 451 games, 371591 moves, e=0.632, loss: 4.3, -, 62.6% elo% vs. terrible_bot, avg. reward: 0.303, 2.616 sec/game, 44.9 min. total, 484.9 MB
majestic_scorch v9 452 games, 372593 moves, e=0.631, loss: 3.8, +, 64.2% elo% vs. terrible_bot, avg. reward: 0.306, 2.649 sec/game, 45.0 min. total, 485.4 MB
majestic_scorch v9 453 games, 373595 moves, e=0.630, loss: 4.0, -, 61.4% elo% vs. terrible_bot, avg. reward: 0.305, 2.685 sec/game, 45.0 min. total, 485.1 MB
