dispersal_cartoon v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.3 MB
dispersal_cartoon v4 289 games, 221454 moves, e=0.781, loss: 104.1, -, 8.7% elo% vs. random_no_suicide, avg. reward: 5.630, 2.101 sec/game, 9.0 min. total, 532.4 MB
dispersal_cartoon v4 290 games, 222350 moves, e=0.780, loss: 110.4, -, 8.6% elo% vs. random_no_suicide, avg. reward: 5.630, 2.117 sec/game, 9.0 min. total, 532.8 MB
dispersal_cartoon v4 291 games, 223347 moves, e=0.779, loss: 115.7, -, 8.5% elo% vs. random_no_suicide, avg. reward: 5.625, 2.137 sec/game, 9.1 min. total, 532.5 MB
dispersal_cartoon v4 292 games, 224166 moves, e=0.778, loss: 117.1, -, 8.3% elo% vs. random_no_suicide, avg. reward: 5.622, 2.133 sec/game, 9.1 min. total, 533.2 MB
dispersal_cartoon v4 293 games, 225000 moves, e=0.777, loss: 125.9, -, 8.2% elo% vs. random_no_suicide, avg. reward: 5.622, 2.136 sec/game, 9.2 min. total, 533.3 MB
dispersal_cartoon v4 294 games, 225888 moves, e=0.776, loss: 121.2, -, 8.1% elo% vs. random_no_suicide, avg. reward: 5.624, 2.154 sec/game, 9.2 min. total, 534.5 MB
dispersal_cartoon v4 295 games, 226685 moves, e=0.776, loss: 121.5, +, 9.5% elo% vs. random_no_suicide, avg. reward: 5.620, 2.150 sec/game, 9.2 min. total, 537.4 MB
dispersal_cartoon v4 296 games, 227420 moves, e=0.775, loss: 129.1, -, 9.3% elo% vs. random_no_suicide, avg. reward: 5.612, 2.145 sec/game, 9.3 min. total, 537.3 MB
dispersal_cartoon v4 297 games, 228188 moves, e=0.774, loss: 126.2, -, 9.2% elo% vs. random_no_suicide, avg. reward: 5.619, 2.130 sec/game, 9.3 min. total, 537.5 MB
dispersal_cartoon v4 298 games, 229209 moves, e=0.773, loss: 123.0, -, 9.0% elo% vs. random_no_suicide, avg. reward: 5.619, 2.150 sec/game, 9.3 min. total, 535.9 MB
dispersal_cartoon v4 299 games, 230024 moves, e=0.772, loss: 124.6, -, 8.9% elo% vs. random_no_suicide, avg. reward: 5.627, 2.156 sec/game, 9.4 min. total, 538.2 MB
dispersal_cartoon v4 300 games, 230844 moves, e=0.771, loss: 133.2, -, 8.8% elo% vs. random_no_suicide, avg. reward: 5.634, 2.134 sec/game, 9.4 min. total, 536.1 MB
dispersal_cartoon v5 301 games, 231590 moves, e=0.771, loss: 137.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: 5.626, 2.115 sec/game, 9.4 min. total, 538.2 MB
dispersal_cartoon v5 302 games, 232458 moves, e=0.770, loss: 122.5, -, 45.5% elo% vs. random_no_suicide, avg. reward: 5.630, 2.093 sec/game, 9.5 min. total, 536.9 MB
dispersal_cartoon v5 303 games, 233313 moves, e=0.769, loss: 124.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: 5.625, 2.095 sec/game, 9.5 min. total, 538.9 MB
dispersal_cartoon v5 304 games, 234127 moves, e=0.768, loss: 133.0, -, 41.5% elo% vs. random_no_suicide, avg. reward: 5.630, 2.100 sec/game, 9.5 min. total, 536.9 MB
dispersal_cartoon v5 305 games, 235132 moves, e=0.767, loss: 121.5, -, 39.6% elo% vs. random_no_suicide, avg. reward: 5.632, 2.108 sec/game, 9.6 min. total, 528.8 MB
dispersal_cartoon v5 306 games, 236020 moves, e=0.766, loss: 122.6, -, 37.9% elo% vs. random_no_suicide, avg. reward: 5.642, 2.139 sec/game, 9.6 min. total, 526.2 MB
dispersal_cartoon v5 307 games, 236933 moves, e=0.765, loss: 118.1, -, 36.3% elo% vs. random_no_suicide, avg. reward: 5.642, 2.168 sec/game, 9.7 min. total, 526.7 MB
dispersal_cartoon v5 308 games, 237987 moves, e=0.764, loss: 120.9, -, 34.8% elo% vs. random_no_suicide, avg. reward: 5.646, 3.840 sec/game, 10.3 min. total, 527.6 MB
dispersal_cartoon v5 309 games, 238785 moves, e=0.764, loss: 119.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: 5.649, 3.855 sec/game, 10.3 min. total, 528.7 MB
dispersal_cartoon v5 310 games, 239603 moves, e=0.763, loss: 113.6, -, 32.0% elo% vs. random_no_suicide, avg. reward: 5.656, 4.645 sec/game, 10.6 min. total, 528.6 MB
dispersal_cartoon v5 311 games, 240484 moves, e=0.762, loss: 111.5, -, 30.7% elo% vs. random_no_suicide, avg. reward: 5.654, 5.667 sec/game, 11.0 min. total, 528.5 MB
dispersal_cartoon v5 312 games, 241360 moves, e=0.761, loss: 114.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: 5.654, 5.688 sec/game, 11.0 min. total, 530.8 MB
dispersal_cartoon v5 313 games, 242198 moves, e=0.760, loss: 113.7, -, 28.4% elo% vs. random_no_suicide, avg. reward: 5.653, 5.722 sec/game, 11.1 min. total, 528.8 MB
dispersal_cartoon v5 314 games, 243047 moves, e=0.759, loss: 108.3, -, 27.3% elo% vs. random_no_suicide, avg. reward: 5.653, 7.552 sec/game, 11.7 min. total, 528.4 MB
dispersal_cartoon v5 315 games, 243872 moves, e=0.759, loss: 110.4, -, 26.4% elo% vs. random_no_suicide, avg. reward: 5.650, 7.582 sec/game, 11.8 min. total, 532.1 MB
dispersal_cartoon v5 316 games, 244769 moves, e=0.758, loss: 111.6, -, 25.4% elo% vs. random_no_suicide, avg. reward: 5.648, 7.612 sec/game, 11.8 min. total, 532.3 MB
dispersal_cartoon v5 317 games, 245596 moves, e=0.757, loss: 114.3, -, 24.5% elo% vs. random_no_suicide, avg. reward: 5.646, 7.610 sec/game, 11.8 min. total, 532.9 MB
dispersal_cartoon v5 318 games, 246425 moves, e=0.756, loss: 107.5, -, 23.7% elo% vs. random_no_suicide, avg. reward: 5.640, 12.058 sec/game, 13.4 min. total, 532.6 MB
dispersal_cartoon v5 319 games, 247263 moves, e=0.755, loss: 105.0, -, 22.9% elo% vs. random_no_suicide, avg. reward: 5.632, 12.089 sec/game, 13.4 min. total, 533.1 MB
dispersal_cartoon v5 320 games, 248232 moves, e=0.754, loss: 111.6, -, 22.2% elo% vs. random_no_suicide, avg. reward: 5.634, 12.137 sec/game, 13.4 min. total, 533.3 MB
dispersal_cartoon v5 321 games, 249027 moves, e=0.753, loss: 105.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: 5.640, 12.153 sec/game, 13.5 min. total, 532.8 MB
dispersal_cartoon v5 322 games, 249973 moves, e=0.753, loss: 99.8, -, 20.8% elo% vs. random_no_suicide, avg. reward: 5.638, 12.184 sec/game, 13.5 min. total, 533.4 MB
dispersal_cartoon v5 323 games, 250855 moves, e=0.752, loss: 95.3, -, 20.2% elo% vs. random_no_suicide, avg. reward: 5.625, 12.221 sec/game, 13.6 min. total, 533.0 MB
dispersal_cartoon v5 324 games, 251770 moves, e=0.751, loss: 103.1, -, 19.6% elo% vs. random_no_suicide, avg. reward: 5.622, 12.244 sec/game, 13.6 min. total, 533.1 MB
dispersal_cartoon v5 325 games, 252615 moves, e=0.750, loss: 107.3, -, 19.1% elo% vs. random_no_suicide, avg. reward: 5.624, 12.234 sec/game, 13.6 min. total, 532.9 MB
dispersal_cartoon v5 326 games, 253372 moves, e=0.749, loss: 106.1, -, 18.5% elo% vs. random_no_suicide, avg. reward: 5.619, 12.202 sec/game, 13.7 min. total, 533.3 MB
dispersal_cartoon v5 327 games, 254208 moves, e=0.748, loss: 109.8, -, 18.0% elo% vs. random_no_suicide, avg. reward: 5.622, 12.178 sec/game, 13.7 min. total, 535.5 MB
dispersal_cartoon v5 328 games, 255017 moves, e=0.748, loss: 117.9, -, 17.5% elo% vs. random_no_suicide, avg. reward: 5.626, 10.493 sec/game, 13.8 min. total, 536.8 MB
dispersal_cartoon v5 329 games, 255921 moves, e=0.747, loss: 109.7, -, 17.1% elo% vs. random_no_suicide, avg. reward: 5.624, 10.479 sec/game, 13.8 min. total, 533.5 MB
dispersal_cartoon v5 330 games, 256853 moves, e=0.746, loss: 107.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: 5.633, 9.694 sec/game, 13.8 min. total, 533.1 MB
dispersal_cartoon v5 331 games, 257599 moves, e=0.745, loss: 120.2, -, 16.2% elo% vs. random_no_suicide, avg. reward: 5.634, 8.656 sec/game, 13.9 min. total, 534.1 MB
dispersal_cartoon v5 332 games, 258461 moves, e=0.744, loss: 125.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: 5.645, 8.639 sec/game, 13.9 min. total, 537.8 MB
dispersal_cartoon v5 333 games, 259310 moves, e=0.743, loss: 128.3, -, 15.4% elo% vs. random_no_suicide, avg. reward: 5.645, 8.611 sec/game, 13.9 min. total, 537.6 MB
dispersal_cartoon v5 334 games, 260364 moves, e=0.742, loss: 120.9, -, 15.1% elo% vs. random_no_suicide, avg. reward: 5.647, 6.815 sec/game, 14.0 min. total, 535.0 MB
dispersal_cartoon v5 335 games, 261285 moves, e=0.741, loss: 117.7, -, 14.7% elo% vs. random_no_suicide, avg. reward: 5.654, 6.800 sec/game, 14.0 min. total, 535.0 MB
dispersal_cartoon v5 336 games, 262133 moves, e=0.740, loss: 121.8, -, 14.4% elo% vs. random_no_suicide, avg. reward: 5.654, 6.800 sec/game, 14.1 min. total, 535.5 MB
dispersal_cartoon v5 337 games, 263137 moves, e=0.739, loss: 124.1, -, 14.0% elo% vs. random_no_suicide, avg. reward: 5.654, 6.888 sec/game, 14.1 min. total, 535.8 MB
dispersal_cartoon v5 338 games, 264098 moves, e=0.739, loss: 112.8, -, 13.7% elo% vs. random_no_suicide, avg. reward: 5.655, 2.501 sec/game, 14.2 min. total, 537.8 MB
dispersal_cartoon v5 339 games, 264915 moves, e=0.738, loss: 127.1, -, 13.4% elo% vs. random_no_suicide, avg. reward: 5.646, 2.531 sec/game, 14.2 min. total, 537.7 MB
dispersal_cartoon v5 340 games, 265793 moves, e=0.737, loss: 129.9, -, 13.1% elo% vs. random_no_suicide, avg. reward: 5.647, 2.572 sec/game, 14.3 min. total, 539.9 MB
dispersal_cartoon v5 341 games, 266730 moves, e=0.736, loss: 129.5, -, 12.9% elo% vs. random_no_suicide, avg. reward: 5.650, 2.592 sec/game, 14.3 min. total, 537.6 MB
dispersal_cartoon v5 342 games, 267751 moves, e=0.735, loss: 130.3, -, 12.6% elo% vs. random_no_suicide, avg. reward: 5.659, 2.608 sec/game, 14.4 min. total, 537.7 MB
dispersal_cartoon v5 343 games, 268563 moves, e=0.734, loss: 129.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: 5.653, 2.610 sec/game, 14.4 min. total, 537.5 MB
dispersal_cartoon v5 344 games, 269525 moves, e=0.733, loss: 129.7, -, 12.1% elo% vs. random_no_suicide, avg. reward: 5.662, 2.648 sec/game, 14.5 min. total, 537.4 MB
dispersal_cartoon v5 345 games, 270272 moves, e=0.732, loss: 131.7, -, 11.9% elo% vs. random_no_suicide, avg. reward: 5.667, 2.656 sec/game, 14.5 min. total, 539.0 MB
dispersal_cartoon v5 346 games, 271198 moves, e=0.732, loss: 130.5, -, 11.7% elo% vs. random_no_suicide, avg. reward: 5.666, 2.687 sec/game, 14.6 min. total, 539.8 MB
dispersal_cartoon v5 347 games, 272101 moves, e=0.731, loss: 143.7, -, 11.4% elo% vs. random_no_suicide, avg. reward: 5.667, 2.717 sec/game, 14.6 min. total, 539.7 MB
dispersal_cartoon v5 348 games, 272924 moves, e=0.730, loss: 138.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: 5.667, 2.784 sec/game, 14.7 min. total, 539.3 MB
dispersal_cartoon v5 349 games, 273824 moves, e=0.729, loss: 132.8, -, 11.0% elo% vs. random_no_suicide, avg. reward: 5.668, 2.805 sec/game, 14.7 min. total, 539.9 MB
dispersal_cartoon v5 350 games, 274873 moves, e=0.728, loss: 138.0, -, 10.8% elo% vs. random_no_suicide, avg. reward: 5.667, 2.834 sec/game, 14.8 min. total, 543.9 MB
dispersal_cartoon v5 351 games, 275838 moves, e=0.727, loss: 136.1, +, 12.5% elo% vs. random_no_suicide, avg. reward: 5.671, 2.859 sec/game, 14.8 min. total, 542.1 MB
dispersal_cartoon v5 352 games, 276813 moves, e=0.726, loss: 125.0, -, 12.3% elo% vs. random_no_suicide, avg. reward: 5.667, 2.888 sec/game, 14.9 min. total, 540.7 MB
dispersal_cartoon v5 353 games, 277775 moves, e=0.725, loss: 133.4, -, 12.0% elo% vs. random_no_suicide, avg. reward: 5.667, 2.924 sec/game, 14.9 min. total, 542.6 MB
dispersal_cartoon v5 354 games, 278596 moves, e=0.724, loss: 124.1, -, 11.8% elo% vs. random_no_suicide, avg. reward: 5.657, 2.882 sec/game, 14.9 min. total, 542.7 MB
dispersal_cartoon v5 355 games, 279510 moves, e=0.723, loss: 118.4, -, 11.6% elo% vs. random_no_suicide, avg. reward: 5.654, 2.884 sec/game, 15.0 min. total, 542.5 MB
dispersal_cartoon v5 356 games, 280672 moves, e=0.722, loss: 117.5, +, 13.3% elo% vs. random_no_suicide, avg. reward: 5.653, 2.916 sec/game, 15.0 min. total, 545.1 MB
dispersal_cartoon v5 357 games, 281479 moves, e=0.721, loss: 117.6, -, 13.1% elo% vs. random_no_suicide, avg. reward: 5.650, 2.850 sec/game, 15.1 min. total, 543.0 MB
dispersal_cartoon v5 358 games, 282462 moves, e=0.720, loss: 110.9, -, 12.8% elo% vs. random_no_suicide, avg. reward: 5.652, 2.790 sec/game, 15.1 min. total, 543.0 MB
dispersal_cartoon v5 359 games, 283275 moves, e=0.720, loss: 110.6, -, 12.5% elo% vs. random_no_suicide, avg. reward: 5.646, 2.745 sec/game, 15.2 min. total, 543.6 MB
dispersal_cartoon v5 360 games, 284200 moves, e=0.719, loss: 111.3, -, 12.3% elo% vs. random_no_suicide, avg. reward: 5.647, 2.692 sec/game, 15.2 min. total, 544.4 MB
dispersal_cartoon v5 361 games, 285058 moves, e=0.718, loss: 108.5, -, 12.0% elo% vs. random_no_suicide, avg. reward: 5.648, 2.696 sec/game, 15.2 min. total, 544.7 MB
dispersal_cartoon v5 362 games, 286032 moves, e=0.717, loss: 105.8, -, 11.8% elo% vs. random_no_suicide, avg. reward: 5.648, 2.664 sec/game, 15.3 min. total, 544.6 MB
dispersal_cartoon v5 363 games, 286985 moves, e=0.716, loss: 102.3, -, 11.6% elo% vs. random_no_suicide, avg. reward: 5.643, 2.664 sec/game, 15.3 min. total, 544.6 MB
dispersal_cartoon v5 364 games, 287914 moves, e=0.715, loss: 100.9, -, 11.4% elo% vs. random_no_suicide, avg. reward: 5.645, 2.621 sec/game, 15.4 min. total, 547.4 MB
dispersal_cartoon v5 365 games, 288814 moves, e=0.714, loss: 98.7, -, 11.1% elo% vs. random_no_suicide, avg. reward: 5.650, 2.608 sec/game, 15.4 min. total, 547.2 MB
dispersal_cartoon v5 366 games, 289763 moves, e=0.713, loss: 86.0, +, 12.9% elo% vs. random_no_suicide, avg. reward: 5.657, 2.594 sec/game, 15.4 min. total, 547.3 MB
dispersal_cartoon v5 367 games, 290556 moves, e=0.712, loss: 85.8, -, 12.6% elo% vs. random_no_suicide, avg. reward: 5.652, 2.553 sec/game, 15.5 min. total, 548.6 MB
dispersal_cartoon v5 368 games, 291403 moves, e=0.712, loss: 95.8, -, 12.4% elo% vs. random_no_suicide, avg. reward: 5.659, 2.501 sec/game, 15.5 min. total, 546.5 MB
dispersal_cartoon v5 369 games, 292350 moves, e=0.711, loss: 96.9, -, 12.1% elo% vs. random_no_suicide, avg. reward: 5.664, 2.482 sec/game, 15.6 min. total, 546.9 MB
dispersal_cartoon v5 370 games, 293228 moves, e=0.710, loss: 95.5, -, 11.9% elo% vs. random_no_suicide, avg. reward: 5.665, 2.456 sec/game, 15.6 min. total, 546.9 MB
dispersal_cartoon v5 371 games, 294369 moves, e=0.709, loss: 103.1, -, 11.7% elo% vs. random_no_suicide, avg. reward: 5.672, 2.476 sec/game, 15.6 min. total, 546.8 MB
dispersal_cartoon v5 372 games, 295194 moves, e=0.708, loss: 99.7, -, 11.4% elo% vs. random_no_suicide, avg. reward: 5.678, 2.449 sec/game, 15.7 min. total, 551.1 MB
dispersal_cartoon v5 373 games, 296177 moves, e=0.707, loss: 107.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: 5.682, 2.449 sec/game, 15.7 min. total, 547.2 MB
dispersal_cartoon v5 374 games, 297217 moves, e=0.706, loss: 110.0, -, 11.0% elo% vs. random_no_suicide, avg. reward: 5.685, 2.491 sec/game, 15.8 min. total, 548.2 MB
dispersal_cartoon v5 375 games, 298189 moves, e=0.705, loss: 113.1, -, 10.8% elo% vs. random_no_suicide, avg. reward: 5.687, 2.541 sec/game, 15.8 min. total, 548.3 MB
dispersal_cartoon v5 376 games, 299088 moves, e=0.704, loss: 117.2, -, 10.6% elo% vs. random_no_suicide, avg. reward: 5.680, 2.550 sec/game, 15.9 min. total, 547.8 MB
dispersal_cartoon v5 377 games, 300003 moves, e=0.703, loss: 111.3, -, 10.4% elo% vs. random_no_suicide, avg. reward: 5.676, 2.595 sec/game, 15.9 min. total, 548.2 MB
dispersal_cartoon v5 378 games, 301072 moves, e=0.702, loss: 114.1, -, 10.3% elo% vs. random_no_suicide, avg. reward: 5.679, 2.650 sec/game, 16.0 min. total, 548.2 MB
dispersal_cartoon v5 379 games, 302143 moves, e=0.701, loss: 116.0, -, 10.1% elo% vs. random_no_suicide, avg. reward: 5.685, 2.670 sec/game, 16.0 min. total, 548.3 MB
dispersal_cartoon v5 380 games, 303185 moves, e=0.700, loss: 117.0, -, 9.9% elo% vs. random_no_suicide, avg. reward: 5.686, 2.675 sec/game, 16.1 min. total, 548.3 MB
dispersal_cartoon v5 381 games, 304020 moves, e=0.699, loss: 117.6, -, 9.8% elo% vs. random_no_suicide, avg. reward: 5.684, 2.676 sec/game, 16.1 min. total, 551.6 MB
dispersal_cartoon v5 382 games, 305100 moves, e=0.698, loss: 114.7, -, 9.6% elo% vs. random_no_suicide, avg. reward: 5.683, 2.704 sec/game, 16.2 min. total, 549.6 MB
dispersal_cartoon v5 383 games, 306119 moves, e=0.697, loss: 135.1, -, 9.5% elo% vs. random_no_suicide, avg. reward: 5.695, 2.702 sec/game, 16.2 min. total, 550.2 MB
dispersal_cartoon v5 384 games, 307117 moves, e=0.696, loss: 129.8, -, 9.3% elo% vs. random_no_suicide, avg. reward: 5.683, 2.734 sec/game, 16.3 min. total, 550.4 MB
dispersal_cartoon v5 385 games, 308053 moves, e=0.695, loss: 124.1, -, 9.2% elo% vs. random_no_suicide, avg. reward: 5.689, 2.750 sec/game, 16.3 min. total, 550.3 MB
dispersal_cartoon v5 386 games, 309033 moves, e=0.694, loss: 108.7, -, 9.0% elo% vs. random_no_suicide, avg. reward: 5.689, 2.780 sec/game, 16.4 min. total, 550.4 MB
dispersal_cartoon v5 387 games, 309974 moves, e=0.693, loss: 105.2, -, 8.9% elo% vs. random_no_suicide, avg. reward: 5.690, 2.805 sec/game, 16.4 min. total, 550.3 MB
dispersal_cartoon v5 388 games, 310900 moves, e=0.692, loss: 100.6, -, 8.8% elo% vs. random_no_suicide, avg. reward: 5.698, 2.821 sec/game, 16.5 min. total, 550.8 MB
dispersal_cartoon v5 389 games, 311840 moves, e=0.691, loss: 104.7, -, 8.6% elo% vs. random_no_suicide, avg. reward: 5.696, 2.833 sec/game, 16.5 min. total, 552.4 MB
dispersal_cartoon v5 390 games, 312666 moves, e=0.690, loss: 101.4, -, 8.5% elo% vs. random_no_suicide, avg. reward: 5.703, 2.834 sec/game, 16.5 min. total, 552.9 MB
dispersal_cartoon v5 391 games, 313606 moves, e=0.690, loss: 97.1, -, 8.4% elo% vs. random_no_suicide, avg. reward: 5.701, 2.837 sec/game, 16.6 min. total, 552.9 MB
dispersal_cartoon v5 392 games, 314543 moves, e=0.689, loss: 105.0, -, 8.3% elo% vs. random_no_suicide, avg. reward: 5.704, 2.862 sec/game, 16.6 min. total, 552.7 MB
dispersal_cartoon v5 393 games, 315388 moves, e=0.688, loss: 99.4, -, 8.1% elo% vs. random_no_suicide, avg. reward: 5.704, 2.846 sec/game, 16.7 min. total, 552.4 MB
dispersal_cartoon v5 394 games, 316282 moves, e=0.687, loss: 104.8, -, 8.0% elo% vs. random_no_suicide, avg. reward: 5.700, 2.841 sec/game, 16.7 min. total, 553.5 MB
dispersal_cartoon v5 395 games, 317147 moves, e=0.686, loss: 112.2, -, 7.9% elo% vs. random_no_suicide, avg. reward: 5.706, 2.797 sec/game, 16.8 min. total, 553.3 MB
dispersal_cartoon v5 396 games, 318098 moves, e=0.685, loss: 114.8, -, 7.8% elo% vs. random_no_suicide, avg. reward: 5.710, 2.777 sec/game, 16.8 min. total, 553.2 MB
dispersal_cartoon v5 397 games, 318929 moves, e=0.684, loss: 123.0, -, 7.7% elo% vs. random_no_suicide, avg. reward: 5.705, 2.716 sec/game, 16.8 min. total, 555.5 MB
dispersal_cartoon v5 398 games, 319849 moves, e=0.683, loss: 123.9, -, 7.6% elo% vs. random_no_suicide, avg. reward: 5.716, 2.655 sec/game, 16.9 min. total, 555.6 MB
dispersal_cartoon v5 399 games, 320852 moves, e=0.682, loss: 122.6, -, 7.5% elo% vs. random_no_suicide, avg. reward: 5.713, 2.646 sec/game, 16.9 min. total, 555.5 MB
dispersal_cartoon v5 400 games, 321849 moves, e=0.681, loss: 117.8, -, 7.4% elo% vs. random_no_suicide, avg. reward: 5.714, 2.640 sec/game, 17.0 min. total, 555.4 MB
dispersal_cartoon v6 401 games, 322787 moves, e=0.680, loss: 114.1, -, 47.7% elo% vs. random_no_suicide, avg. reward: 5.720, 2.627 sec/game, 17.0 min. total, 555.2 MB
dispersal_cartoon v6 402 games, 323719 moves, e=0.680, loss: 115.0, -, 45.5% elo% vs. random_no_suicide, avg. reward: 5.723, 2.608 sec/game, 17.1 min. total, 555.5 MB
dispersal_cartoon v6 403 games, 324585 moves, e=0.679, loss: 122.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: 5.730, 2.581 sec/game, 17.1 min. total, 555.7 MB
dispersal_cartoon v6 404 games, 325413 moves, e=0.678, loss: 118.8, -, 41.5% elo% vs. random_no_suicide, avg. reward: 5.732, 2.548 sec/game, 17.1 min. total, 556.7 MB
dispersal_cartoon v6 405 games, 326404 moves, e=0.677, loss: 122.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: 5.728, 2.550 sec/game, 17.2 min. total, 557.9 MB
dispersal_cartoon v6 406 games, 327267 moves, e=0.676, loss: 116.8, -, 37.9% elo% vs. random_no_suicide, avg. reward: 5.717, 2.509 sec/game, 17.2 min. total, 560.7 MB
dispersal_cartoon v6 407 games, 328080 moves, e=0.675, loss: 135.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: 5.722, 2.504 sec/game, 17.2 min. total, 560.5 MB
dispersal_cartoon v6 408 games, 328975 moves, e=0.674, loss: 130.2, -, 34.8% elo% vs. random_no_suicide, avg. reward: 5.723, 2.505 sec/game, 17.3 min. total, 558.6 MB
dispersal_cartoon v6 409 games, 329855 moves, e=0.673, loss: 128.3, -, 33.3% elo% vs. random_no_suicide, avg. reward: 5.714, 2.487 sec/game, 17.3 min. total, 558.9 MB
dispersal_cartoon v6 410 games, 330735 moves, e=0.673, loss: 126.6, ., 34.0% elo% vs. random_no_suicide, avg. reward: 5.713, 2.491 sec/game, 17.4 min. total, 562.9 MB
dispersal_cartoon v6 411 games, 331773 moves, e=0.672, loss: 117.1, -, 32.6% elo% vs. random_no_suicide, avg. reward: 5.722, 2.480 sec/game, 17.4 min. total, 562.0 MB
dispersal_cartoon v6 412 games, 332686 moves, e=0.671, loss: 124.0, -, 31.3% elo% vs. random_no_suicide, avg. reward: 5.729, 2.477 sec/game, 17.5 min. total, 561.0 MB
dispersal_cartoon v6 413 games, 333600 moves, e=0.670, loss: 119.0, -, 30.1% elo% vs. random_no_suicide, avg. reward: 5.727, 2.471 sec/game, 17.5 min. total, 560.9 MB
dispersal_cartoon v6 414 games, 334496 moves, e=0.669, loss: 114.3, -, 28.9% elo% vs. random_no_suicide, avg. reward: 5.732, 2.443 sec/game, 17.5 min. total, 561.1 MB
dispersal_cartoon v6 415 games, 335348 moves, e=0.668, loss: 114.3, -, 27.8% elo% vs. random_no_suicide, avg. reward: 5.727, 2.417 sec/game, 17.6 min. total, 561.0 MB
dispersal_cartoon v6 416 games, 336308 moves, e=0.667, loss: 110.0, -, 26.8% elo% vs. random_no_suicide, avg. reward: 5.743, 2.406 sec/game, 17.6 min. total, 561.3 MB
dispersal_cartoon v6 417 games, 337330 moves, e=0.666, loss: 102.4, -, 25.9% elo% vs. random_no_suicide, avg. reward: 5.747, 2.434 sec/game, 17.7 min. total, 562.0 MB
dispersal_cartoon v6 418 games, 338388 moves, e=0.665, loss: 103.3, -, 25.0% elo% vs. random_no_suicide, avg. reward: 5.761, 2.453 sec/game, 17.7 min. total, 562.0 MB
dispersal_cartoon v6 419 games, 339287 moves, e=0.664, loss: 94.9, -, 24.1% elo% vs. random_no_suicide, avg. reward: 5.762, 2.469 sec/game, 17.7 min. total, 563.1 MB
dispersal_cartoon v6 420 games, 340323 moves, e=0.663, loss: 93.0, -, 23.3% elo% vs. random_no_suicide, avg. reward: 5.762, 2.498 sec/game, 17.8 min. total, 562.5 MB
dispersal_cartoon v6 421 games, 341290 moves, e=0.662, loss: 92.6, -, 22.5% elo% vs. random_no_suicide, avg. reward: 5.758, 2.508 sec/game, 17.8 min. total, 563.0 MB
dispersal_cartoon v6 422 games, 342320 moves, e=0.661, loss: 90.7, -, 21.8% elo% vs. random_no_suicide, avg. reward: 5.761, 2.522 sec/game, 17.9 min. total, 563.0 MB
dispersal_cartoon v6 423 games, 343442 moves, e=0.660, loss: 95.1, -, 21.2% elo% vs. random_no_suicide, avg. reward: 5.762, 2.567 sec/game, 17.9 min. total, 563.2 MB
dispersal_cartoon v6 424 games, 344285 moves, e=0.659, loss: 91.8, -, 20.5% elo% vs. random_no_suicide, avg. reward: 5.768, 2.551 sec/game, 18.0 min. total, 563.3 MB
dispersal_cartoon v6 425 games, 345229 moves, e=0.658, loss: 98.2, -, 19.9% elo% vs. random_no_suicide, avg. reward: 5.769, 2.547 sec/game, 18.0 min. total, 562.9 MB
dispersal_cartoon v6 426 games, 346379 moves, e=0.657, loss: 98.5, -, 19.3% elo% vs. random_no_suicide, avg. reward: 5.773, 2.588 sec/game, 18.1 min. total, 564.1 MB
dispersal_cartoon v6 427 games, 347563 moves, e=0.656, loss: 101.5, -, 18.8% elo% vs. random_no_suicide, avg. reward: 5.776, 2.618 sec/game, 18.1 min. total, 567.7 MB
dispersal_cartoon v6 428 games, 348420 moves, e=0.655, loss: 102.9, -, 18.3% elo% vs. random_no_suicide, avg. reward: 5.778, 2.602 sec/game, 18.2 min. total, 565.6 MB
dispersal_cartoon v6 429 games, 349316 moves, e=0.654, loss: 101.1, -, 17.8% elo% vs. random_no_suicide, avg. reward: 5.774, 2.615 sec/game, 18.2 min. total, 565.6 MB
dispersal_cartoon v6 430 games, 350381 moves, e=0.653, loss: 102.8, -, 17.3% elo% vs. random_no_suicide, avg. reward: 5.771, 2.642 sec/game, 18.2 min. total, 567.5 MB
dispersal_cartoon v6 431 games, 351406 moves, e=0.652, loss: 105.0, -, 16.8% elo% vs. random_no_suicide, avg. reward: 5.780, 2.652 sec/game, 18.3 min. total, 570.1 MB
dispersal_cartoon v6 432 games, 352266 moves, e=0.651, loss: 109.4, -, 16.4% elo% vs. random_no_suicide, avg. reward: 5.772, 2.641 sec/game, 18.3 min. total, 566.2 MB
