dispersal_cartoon v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.3 MB
dispersal_cartoon v2 34 games, 24116 moves, e=0.976, loss: 13.6, ., 52.6% elo% vs. guard_bot, avg. reward: 5.561, 1.676 sec/game, 0.6 min. total, 461.4 MB
dispersal_cartoon v2 35 games, 24796 moves, e=0.975, loss: 14.1, ., 52.5% elo% vs. guard_bot, avg. reward: 5.548, 1.674 sec/game, 0.7 min. total, 461.6 MB
dispersal_cartoon v2 36 games, 25400 moves, e=0.975, loss: 14.0, ., 52.3% elo% vs. guard_bot, avg. reward: 5.539, 1.667 sec/game, 0.7 min. total, 461.5 MB
dispersal_cartoon v2 37 games, 26068 moves, e=0.974, loss: 13.1, +, 54.5% elo% vs. guard_bot, avg. reward: 5.534, 1.687 sec/game, 0.7 min. total, 462.0 MB
dispersal_cartoon v2 38 games, 26752 moves, e=0.974, loss: 13.1, +, 56.6% elo% vs. guard_bot, avg. reward: 5.529, 1.714 sec/game, 0.8 min. total, 462.7 MB
dispersal_cartoon v2 39 games, 27426 moves, e=0.973, loss: 14.0, ., 56.3% elo% vs. guard_bot, avg. reward: 5.532, 1.705 sec/game, 0.8 min. total, 462.8 MB
dispersal_cartoon v2 40 games, 27970 moves, e=0.972, loss: 14.4, ., 56.0% elo% vs. guard_bot, avg. reward: 5.523, 1.696 sec/game, 0.8 min. total, 463.4 MB
dispersal_cartoon v2 41 games, 28733 moves, e=0.972, loss: 15.9, ., 55.7% elo% vs. guard_bot, avg. reward: 5.529, 1.715 sec/game, 0.8 min. total, 463.9 MB
dispersal_cartoon v2 42 games, 29496 moves, e=0.971, loss: 17.2, +, 57.7% elo% vs. guard_bot, avg. reward: 5.518, 1.750 sec/game, 0.9 min. total, 466.9 MB
dispersal_cartoon v2 43 games, 30190 moves, e=0.970, loss: 16.6, +, 59.6% elo% vs. guard_bot, avg. reward: 5.507, 1.752 sec/game, 0.9 min. total, 464.8 MB
dispersal_cartoon v2 44 games, 30860 moves, e=0.969, loss: 15.8, +, 61.4% elo% vs. guard_bot, avg. reward: 5.513, 1.771 sec/game, 0.9 min. total, 465.2 MB
dispersal_cartoon v2 45 games, 31588 moves, e=0.969, loss: 16.2, ., 60.9% elo% vs. guard_bot, avg. reward: 5.518, 1.774 sec/game, 1.0 min. total, 465.3 MB
dispersal_cartoon v2 46 games, 32289 moves, e=0.968, loss: 17.5, +, 62.6% elo% vs. guard_bot, avg. reward: 5.529, 1.794 sec/game, 1.0 min. total, 465.9 MB
dispersal_cartoon v2 47 games, 32971 moves, e=0.967, loss: 17.6, +, 64.2% elo% vs. guard_bot, avg. reward: 5.530, 1.775 sec/game, 1.0 min. total, 468.0 MB
dispersal_cartoon v2 48 games, 33690 moves, e=0.967, loss: 18.4, +, 65.7% elo% vs. guard_bot, avg. reward: 5.523, 1.766 sec/game, 1.0 min. total, 466.1 MB
dispersal_cartoon v2 49 games, 34323 moves, e=0.966, loss: 18.7, +, 67.1% elo% vs. guard_bot, avg. reward: 5.529, 1.751 sec/game, 1.1 min. total, 468.2 MB
dispersal_cartoon v2 50 games, 34968 moves, e=0.965, loss: 18.7, +, 68.4% elo% vs. guard_bot, avg. reward: 5.526, 1.738 sec/game, 1.1 min. total, 468.2 MB
dispersal_cartoon v2 51 games, 35624 moves, e=0.965, loss: 18.6, +, 69.7% elo% vs. guard_bot, avg. reward: 5.527, 1.725 sec/game, 1.1 min. total, 466.1 MB
dispersal_cartoon v2 52 games, 36343 moves, e=0.964, loss: 20.3, ., 68.9% elo% vs. guard_bot, avg. reward: 5.527, 1.702 sec/game, 1.1 min. total, 466.2 MB
dispersal_cartoon v2 53 games, 37016 moves, e=0.963, loss: 20.6, +, 70.1% elo% vs. guard_bot, avg. reward: 5.526, 1.709 sec/game, 1.2 min. total, 466.5 MB
dispersal_cartoon v3 54 games, 37730 moves, e=0.963, loss: 20.5, -, 49.9% elo% vs. random_no_suicide, avg. reward: 5.531, 1.712 sec/game, 1.2 min. total, 471.5 MB
dispersal_cartoon v3 55 games, 38509 moves, e=0.962, loss: 19.6, +, 52.2% elo% vs. random_no_suicide, avg. reward: 5.521, 1.737 sec/game, 1.2 min. total, 472.5 MB
dispersal_cartoon v3 56 games, 39182 moves, e=0.961, loss: 21.4, -, 49.8% elo% vs. random_no_suicide, avg. reward: 5.529, 1.758 sec/game, 1.3 min. total, 470.5 MB
dispersal_cartoon v3 57 games, 39823 moves, e=0.961, loss: 23.1, +, 52.1% elo% vs. random_no_suicide, avg. reward: 5.530, 1.741 sec/game, 1.3 min. total, 474.0 MB
dispersal_cartoon v3 58 games, 40579 moves, e=0.960, loss: 23.6, +, 54.3% elo% vs. random_no_suicide, avg. reward: 5.528, 1.737 sec/game, 1.3 min. total, 474.6 MB
dispersal_cartoon v3 59 games, 41197 moves, e=0.959, loss: 22.5, -, 51.8% elo% vs. random_no_suicide, avg. reward: 5.525, 1.726 sec/game, 1.4 min. total, 470.7 MB
dispersal_cartoon v3 60 games, 41906 moves, e=0.959, loss: 22.3, -, 49.4% elo% vs. random_no_suicide, avg. reward: 5.529, 1.759 sec/game, 1.4 min. total, 471.3 MB
dispersal_cartoon v3 61 games, 42639 moves, e=0.958, loss: 20.8, -, 47.2% elo% vs. random_no_suicide, avg. reward: 5.532, 1.755 sec/game, 1.4 min. total, 471.4 MB
dispersal_cartoon v3 62 games, 43414 moves, e=0.957, loss: 24.8, -, 45.0% elo% vs. random_no_suicide, avg. reward: 5.527, 1.754 sec/game, 1.5 min. total, 472.8 MB
dispersal_cartoon v3 63 games, 44170 moves, e=0.956, loss: 22.7, -, 43.0% elo% vs. random_no_suicide, avg. reward: 5.522, 1.765 sec/game, 1.5 min. total, 474.1 MB
dispersal_cartoon v3 64 games, 44965 moves, e=0.955, loss: 22.3, -, 41.0% elo% vs. random_no_suicide, avg. reward: 5.528, 1.774 sec/game, 1.5 min. total, 474.2 MB
dispersal_cartoon v3 65 games, 45771 moves, e=0.955, loss: 25.3, -, 39.2% elo% vs. random_no_suicide, avg. reward: 5.532, 1.791 sec/game, 1.6 min. total, 474.1 MB
dispersal_cartoon v3 66 games, 46459 moves, e=0.954, loss: 26.0, -, 37.5% elo% vs. random_no_suicide, avg. reward: 5.533, 1.785 sec/game, 1.6 min. total, 474.2 MB
dispersal_cartoon v3 67 games, 47147 moves, e=0.953, loss: 27.4, -, 35.9% elo% vs. random_no_suicide, avg. reward: 5.532, 1.802 sec/game, 1.6 min. total, 474.2 MB
dispersal_cartoon v3 68 games, 47801 moves, e=0.953, loss: 26.4, -, 34.4% elo% vs. random_no_suicide, avg. reward: 5.523, 1.791 sec/game, 1.6 min. total, 474.4 MB
dispersal_cartoon v3 69 games, 48636 moves, e=0.952, loss: 31.0, -, 33.0% elo% vs. random_no_suicide, avg. reward: 5.522, 1.819 sec/game, 1.7 min. total, 474.5 MB
dispersal_cartoon v3 70 games, 49307 moves, e=0.951, loss: 31.9, -, 31.6% elo% vs. random_no_suicide, avg. reward: 5.517, 1.830 sec/game, 1.7 min. total, 474.5 MB
dispersal_cartoon v3 71 games, 49997 moves, e=0.951, loss: 31.6, -, 30.4% elo% vs. random_no_suicide, avg. reward: 5.510, 1.827 sec/game, 1.7 min. total, 474.5 MB
dispersal_cartoon v3 72 games, 50747 moves, e=0.950, loss: 32.5, -, 29.2% elo% vs. random_no_suicide, avg. reward: 5.505, 1.837 sec/game, 1.8 min. total, 475.4 MB
dispersal_cartoon v3 73 games, 51427 moves, e=0.949, loss: 31.2, -, 28.1% elo% vs. random_no_suicide, avg. reward: 5.509, 1.821 sec/game, 1.8 min. total, 475.3 MB
dispersal_cartoon v3 74 games, 52102 moves, e=0.948, loss: 30.1, -, 27.1% elo% vs. random_no_suicide, avg. reward: 5.506, 1.829 sec/game, 1.8 min. total, 475.6 MB
dispersal_cartoon v3 75 games, 52878 moves, e=0.948, loss: 33.5, +, 29.8% elo% vs. random_no_suicide, avg. reward: 5.502, 1.827 sec/game, 1.9 min. total, 477.7 MB
dispersal_cartoon v3 76 games, 53585 moves, e=0.947, loss: 34.9, -, 28.7% elo% vs. random_no_suicide, avg. reward: 5.504, 1.808 sec/game, 1.9 min. total, 475.6 MB
dispersal_cartoon v3 77 games, 54338 moves, e=0.946, loss: 39.3, -, 27.6% elo% vs. random_no_suicide, avg. reward: 5.503, 1.827 sec/game, 1.9 min. total, 475.5 MB
dispersal_cartoon v3 78 games, 55157 moves, e=0.945, loss: 36.3, -, 26.6% elo% vs. random_no_suicide, avg. reward: 5.501, 1.832 sec/game, 1.9 min. total, 475.9 MB
dispersal_cartoon v3 79 games, 55938 moves, e=0.945, loss: 37.9, +, 29.3% elo% vs. random_no_suicide, avg. reward: 5.506, 1.873 sec/game, 2.0 min. total, 478.2 MB
dispersal_cartoon v3 80 games, 56761 moves, e=0.944, loss: 39.3, -, 28.2% elo% vs. random_no_suicide, avg. reward: 5.508, 1.881 sec/game, 2.0 min. total, 476.0 MB
dispersal_cartoon v3 81 games, 57398 moves, e=0.943, loss: 39.0, -, 27.2% elo% vs. random_no_suicide, avg. reward: 5.504, 1.866 sec/game, 2.0 min. total, 476.1 MB
dispersal_cartoon v3 82 games, 58090 moves, e=0.942, loss: 36.2, -, 26.2% elo% vs. random_no_suicide, avg. reward: 5.506, 1.847 sec/game, 2.1 min. total, 476.1 MB
dispersal_cartoon v3 83 games, 58841 moves, e=0.942, loss: 35.9, -, 25.3% elo% vs. random_no_suicide, avg. reward: 5.505, 1.847 sec/game, 2.1 min. total, 475.7 MB
dispersal_cartoon v3 84 games, 59585 moves, e=0.941, loss: 37.5, -, 24.4% elo% vs. random_no_suicide, avg. reward: 5.505, 1.846 sec/game, 2.1 min. total, 476.5 MB
dispersal_cartoon v3 85 games, 60170 moves, e=0.940, loss: 38.6, -, 23.6% elo% vs. random_no_suicide, avg. reward: 5.505, 1.830 sec/game, 2.2 min. total, 476.5 MB
dispersal_cartoon v3 86 games, 60898 moves, e=0.940, loss: 42.2, -, 22.8% elo% vs. random_no_suicide, avg. reward: 5.505, 1.834 sec/game, 2.2 min. total, 476.5 MB
dispersal_cartoon v3 87 games, 61647 moves, e=0.939, loss: 41.5, -, 22.1% elo% vs. random_no_suicide, avg. reward: 5.504, 1.840 sec/game, 2.2 min. total, 476.7 MB
dispersal_cartoon v3 88 games, 62303 moves, e=0.938, loss: 41.7, -, 21.4% elo% vs. random_no_suicide, avg. reward: 5.500, 1.841 sec/game, 2.3 min. total, 477.8 MB
dispersal_cartoon v3 89 games, 63014 moves, e=0.938, loss: 41.5, -, 20.7% elo% vs. random_no_suicide, avg. reward: 5.504, 1.842 sec/game, 2.3 min. total, 477.4 MB
dispersal_cartoon v3 90 games, 63693 moves, e=0.937, loss: 40.4, -, 20.1% elo% vs. random_no_suicide, avg. reward: 5.503, 1.842 sec/game, 2.3 min. total, 477.6 MB
dispersal_cartoon v3 91 games, 64395 moves, e=0.936, loss: 39.4, -, 19.5% elo% vs. random_no_suicide, avg. reward: 5.505, 1.865 sec/game, 2.4 min. total, 481.2 MB
dispersal_cartoon v3 92 games, 65158 moves, e=0.935, loss: 41.4, -, 19.0% elo% vs. random_no_suicide, avg. reward: 5.505, 1.876 sec/game, 2.4 min. total, 479.9 MB
dispersal_cartoon v3 93 games, 65808 moves, e=0.935, loss: 38.6, -, 18.4% elo% vs. random_no_suicide, avg. reward: 5.503, 1.877 sec/game, 2.4 min. total, 477.9 MB
dispersal_cartoon v3 94 games, 66593 moves, e=0.934, loss: 41.7, -, 17.9% elo% vs. random_no_suicide, avg. reward: 5.500, 1.885 sec/game, 2.4 min. total, 478.4 MB
dispersal_cartoon v3 95 games, 67287 moves, e=0.933, loss: 42.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: 5.505, 1.872 sec/game, 2.5 min. total, 479.0 MB
dispersal_cartoon v3 96 games, 68002 moves, e=0.933, loss: 42.0, -, 17.0% elo% vs. random_no_suicide, avg. reward: 5.502, 1.897 sec/game, 2.5 min. total, 479.5 MB
dispersal_cartoon v3 97 games, 68689 moves, e=0.932, loss: 45.9, -, 16.6% elo% vs. random_no_suicide, avg. reward: 5.498, 1.892 sec/game, 2.5 min. total, 479.0 MB
dispersal_cartoon v3 98 games, 69346 moves, e=0.931, loss: 46.7, -, 16.1% elo% vs. random_no_suicide, avg. reward: 5.499, 1.886 sec/game, 2.6 min. total, 479.8 MB
dispersal_cartoon v3 99 games, 70116 moves, e=0.931, loss: 42.4, -, 15.7% elo% vs. random_no_suicide, avg. reward: 5.502, 1.893 sec/game, 2.6 min. total, 479.7 MB
dispersal_cartoon v3 100 games, 70857 moves, e=0.930, loss: 46.8, +, 17.9% elo% vs. random_no_suicide, avg. reward: 5.510, 1.904 sec/game, 2.6 min. total, 482.1 MB
dispersal_cartoon v3 101 games, 71698 moves, e=0.929, loss: 49.0, -, 17.4% elo% vs. random_no_suicide, avg. reward: 5.508, 1.939 sec/game, 2.7 min. total, 480.3 MB
dispersal_cartoon v3 102 games, 72407 moves, e=0.928, loss: 45.7, -, 17.0% elo% vs. random_no_suicide, avg. reward: 5.512, 1.939 sec/game, 2.7 min. total, 480.7 MB
dispersal_cartoon v3 103 games, 73194 moves, e=0.928, loss: 42.4, -, 16.5% elo% vs. random_no_suicide, avg. reward: 5.508, 1.955 sec/game, 2.8 min. total, 480.6 MB
dispersal_cartoon v3 104 games, 73838 moves, e=0.927, loss: 44.1, -, 16.1% elo% vs. random_no_suicide, avg. reward: 5.504, 1.974 sec/game, 2.8 min. total, 480.8 MB
dispersal_cartoon v3 105 games, 74551 moves, e=0.926, loss: 46.0, -, 15.7% elo% vs. random_no_suicide, avg. reward: 5.504, 2.017 sec/game, 2.8 min. total, 480.7 MB
dispersal_cartoon v3 106 games, 75186 moves, e=0.926, loss: 47.1, -, 15.3% elo% vs. random_no_suicide, avg. reward: 5.510, 2.019 sec/game, 2.9 min. total, 480.8 MB
dispersal_cartoon v3 107 games, 75959 moves, e=0.925, loss: 44.2, -, 15.0% elo% vs. random_no_suicide, avg. reward: 5.512, 2.044 sec/game, 2.9 min. total, 480.8 MB
dispersal_cartoon v3 108 games, 76618 moves, e=0.924, loss: 51.3, -, 14.6% elo% vs. random_no_suicide, avg. reward: 5.510, 2.052 sec/game, 2.9 min. total, 481.0 MB
dispersal_cartoon v3 109 games, 77358 moves, e=0.923, loss: 53.5, -, 14.3% elo% vs. random_no_suicide, avg. reward: 5.515, 2.044 sec/game, 3.0 min. total, 481.0 MB
dispersal_cartoon v3 110 games, 78039 moves, e=0.923, loss: 48.0, -, 14.0% elo% vs. random_no_suicide, avg. reward: 5.512, 2.034 sec/game, 3.0 min. total, 480.8 MB
dispersal_cartoon v3 111 games, 78810 moves, e=0.922, loss: 46.2, +, 16.0% elo% vs. random_no_suicide, avg. reward: 5.506, 2.031 sec/game, 3.0 min. total, 484.5 MB
dispersal_cartoon v3 112 games, 79465 moves, e=0.921, loss: 45.7, -, 15.6% elo% vs. random_no_suicide, avg. reward: 5.501, 2.009 sec/game, 3.1 min. total, 482.7 MB
dispersal_cartoon v3 113 games, 80176 moves, e=0.921, loss: 48.2, -, 15.2% elo% vs. random_no_suicide, avg. reward: 5.498, 2.027 sec/game, 3.1 min. total, 482.1 MB
dispersal_cartoon v3 114 games, 80985 moves, e=0.920, loss: 46.7, -, 14.9% elo% vs. random_no_suicide, avg. reward: 5.496, 2.035 sec/game, 3.1 min. total, 485.1 MB
dispersal_cartoon v3 115 games, 81712 moves, e=0.919, loss: 48.7, -, 14.5% elo% vs. random_no_suicide, avg. reward: 5.496, 2.045 sec/game, 3.2 min. total, 485.2 MB
dispersal_cartoon v3 116 games, 82482 moves, e=0.918, loss: 51.5, -, 14.2% elo% vs. random_no_suicide, avg. reward: 5.497, 2.058 sec/game, 3.2 min. total, 483.0 MB
dispersal_cartoon v3 117 games, 83196 moves, e=0.918, loss: 54.3, -, 13.9% elo% vs. random_no_suicide, avg. reward: 5.499, 2.050 sec/game, 3.2 min. total, 483.2 MB
dispersal_cartoon v3 118 games, 83918 moves, e=0.917, loss: 56.9, -, 13.6% elo% vs. random_no_suicide, avg. reward: 5.499, 2.054 sec/game, 3.3 min. total, 485.5 MB
dispersal_cartoon v3 119 games, 84620 moves, e=0.916, loss: 54.7, -, 13.3% elo% vs. random_no_suicide, avg. reward: 5.495, 2.035 sec/game, 3.3 min. total, 485.2 MB
dispersal_cartoon v3 120 games, 85421 moves, e=0.915, loss: 54.8, -, 13.0% elo% vs. random_no_suicide, avg. reward: 5.504, 2.029 sec/game, 3.3 min. total, 485.1 MB
dispersal_cartoon v3 121 games, 86220 moves, e=0.915, loss: 60.0, -, 12.7% elo% vs. random_no_suicide, avg. reward: 5.503, 2.018 sec/game, 3.4 min. total, 485.3 MB
dispersal_cartoon v3 122 games, 86906 moves, e=0.914, loss: 58.7, -, 12.5% elo% vs. random_no_suicide, avg. reward: 5.504, 2.018 sec/game, 3.4 min. total, 487.2 MB
dispersal_cartoon v3 123 games, 87723 moves, e=0.913, loss: 60.8, -, 12.2% elo% vs. random_no_suicide, avg. reward: 5.504, 2.028 sec/game, 3.4 min. total, 485.4 MB
dispersal_cartoon v3 124 games, 88552 moves, e=0.912, loss: 60.1, -, 12.0% elo% vs. random_no_suicide, avg. reward: 5.505, 2.024 sec/game, 3.5 min. total, 487.4 MB
dispersal_cartoon v3 125 games, 89431 moves, e=0.911, loss: 61.5, -, 11.8% elo% vs. random_no_suicide, avg. reward: 5.513, 2.015 sec/game, 3.5 min. total, 487.5 MB
dispersal_cartoon v3 126 games, 90141 moves, e=0.911, loss: 67.6, -, 11.5% elo% vs. random_no_suicide, avg. reward: 5.509, 2.019 sec/game, 3.5 min. total, 490.2 MB
dispersal_cartoon v3 127 games, 91037 moves, e=0.910, loss: 63.3, -, 11.3% elo% vs. random_no_suicide, avg. reward: 5.506, 2.033 sec/game, 3.6 min. total, 487.9 MB
dispersal_cartoon v3 128 games, 91812 moves, e=0.909, loss: 65.6, -, 11.1% elo% vs. random_no_suicide, avg. reward: 5.501, 2.049 sec/game, 3.6 min. total, 489.9 MB
dispersal_cartoon v3 129 games, 92611 moves, e=0.908, loss: 69.3, -, 10.9% elo% vs. random_no_suicide, avg. reward: 5.510, 2.061 sec/game, 3.7 min. total, 491.4 MB
dispersal_cartoon v3 130 games, 93308 moves, e=0.908, loss: 72.8, -, 10.7% elo% vs. random_no_suicide, avg. reward: 5.504, 2.067 sec/game, 3.7 min. total, 488.2 MB
dispersal_cartoon v3 131 games, 94003 moves, e=0.907, loss: 68.6, -, 10.5% elo% vs. random_no_suicide, avg. reward: 5.503, 2.070 sec/game, 3.7 min. total, 488.0 MB
dispersal_cartoon v3 132 games, 94867 moves, e=0.906, loss: 72.0, -, 10.4% elo% vs. random_no_suicide, avg. reward: 5.500, 2.112 sec/game, 3.8 min. total, 487.9 MB
dispersal_cartoon v3 133 games, 95593 moves, e=0.905, loss: 75.0, -, 10.2% elo% vs. random_no_suicide, avg. reward: 5.502, 2.096 sec/game, 3.8 min. total, 488.5 MB
dispersal_cartoon v3 134 games, 96373 moves, e=0.905, loss: 76.1, -, 10.0% elo% vs. random_no_suicide, avg. reward: 5.504, 2.080 sec/game, 3.8 min. total, 488.3 MB
dispersal_cartoon v3 135 games, 97184 moves, e=0.904, loss: 78.2, -, 9.8% elo% vs. random_no_suicide, avg. reward: 5.514, 2.089 sec/game, 3.9 min. total, 488.3 MB
dispersal_cartoon v3 136 games, 97882 moves, e=0.903, loss: 73.4, -, 9.7% elo% vs. random_no_suicide, avg. reward: 5.512, 2.049 sec/game, 3.9 min. total, 488.2 MB
dispersal_cartoon v3 137 games, 98573 moves, e=0.902, loss: 80.0, -, 9.5% elo% vs. random_no_suicide, avg. reward: 5.516, 2.057 sec/game, 3.9 min. total, 491.8 MB
dispersal_cartoon v3 138 games, 99304 moves, e=0.902, loss: 78.4, -, 9.4% elo% vs. random_no_suicide, avg. reward: 5.516, 2.049 sec/game, 3.9 min. total, 488.3 MB
dispersal_cartoon v3 139 games, 100195 moves, e=0.901, loss: 79.0, -, 9.2% elo% vs. random_no_suicide, avg. reward: 5.520, 2.069 sec/game, 4.0 min. total, 488.4 MB
dispersal_cartoon v3 140 games, 100951 moves, e=0.900, loss: 79.9, -, 9.1% elo% vs. random_no_suicide, avg. reward: 5.526, 2.057 sec/game, 4.0 min. total, 491.6 MB
dispersal_cartoon v3 141 games, 101709 moves, e=0.899, loss: 77.3, -, 9.0% elo% vs. random_no_suicide, avg. reward: 5.525, 2.041 sec/game, 4.0 min. total, 488.1 MB
dispersal_cartoon v3 142 games, 102438 moves, e=0.899, loss: 70.8, -, 8.8% elo% vs. random_no_suicide, avg. reward: 5.525, 2.045 sec/game, 4.1 min. total, 488.9 MB
dispersal_cartoon v3 143 games, 103206 moves, e=0.898, loss: 72.3, -, 8.7% elo% vs. random_no_suicide, avg. reward: 5.531, 2.016 sec/game, 4.1 min. total, 491.3 MB
dispersal_cartoon v3 144 games, 104019 moves, e=0.897, loss: 74.9, -, 8.6% elo% vs. random_no_suicide, avg. reward: 5.528, 1.994 sec/game, 4.1 min. total, 488.5 MB
dispersal_cartoon v3 145 games, 104770 moves, e=0.896, loss: 81.1, -, 8.4% elo% vs. random_no_suicide, avg. reward: 5.531, 1.967 sec/game, 4.2 min. total, 489.4 MB
