around_semifinal v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 327.5 MB
around_semifinal v2 36 games, 24580 moves, e=0.976, loss: 28.4, -, 42.9% elo% vs. v1, avg. reward: 0.523, 1.983 sec/game, 0.8 min. total, 503.2 MB
around_semifinal v2 37 games, 25167 moves, e=0.975, loss: 30.5, -, 41.0% elo% vs. v1, avg. reward: 0.518, 1.956 sec/game, 0.8 min. total, 503.3 MB
around_semifinal v2 38 games, 25888 moves, e=0.974, loss: 32.0, -, 39.2% elo% vs. v1, avg. reward: 0.509, 1.979 sec/game, 0.8 min. total, 501.4 MB
around_semifinal v2 39 games, 26611 moves, e=0.974, loss: 28.8, +, 41.9% elo% vs. v1, avg. reward: 0.498, 1.974 sec/game, 0.9 min. total, 504.7 MB
around_semifinal v2 40 games, 27347 moves, e=0.973, loss: 27.4, -, 40.0% elo% vs. v1, avg. reward: 0.490, 1.997 sec/game, 0.9 min. total, 508.4 MB
around_semifinal v2 41 games, 28164 moves, e=0.972, loss: 31.5, -, 38.3% elo% vs. v1, avg. reward: 0.482, 2.043 sec/game, 0.9 min. total, 509.7 MB
around_semifinal v2 42 games, 28938 moves, e=0.971, loss: 28.9, -, 36.6% elo% vs. v1, avg. reward: 0.526, 2.065 sec/game, 1.0 min. total, 509.8 MB
around_semifinal v2 43 games, 29661 moves, e=0.971, loss: 24.5, -, 35.1% elo% vs. v1, avg. reward: 0.530, 2.064 sec/game, 1.0 min. total, 510.0 MB
around_semifinal v2 44 games, 30270 moves, e=0.970, loss: 22.0, -, 33.6% elo% vs. v1, avg. reward: 0.519, 2.020 sec/game, 1.0 min. total, 509.9 MB
around_semifinal v2 45 games, 31022 moves, e=0.969, loss: 15.5, +, 36.4% elo% vs. v1, avg. reward: 0.515, 1.988 sec/game, 1.1 min. total, 509.3 MB
around_semifinal v2 46 games, 31703 moves, e=0.969, loss: 15.8, -, 34.9% elo% vs. v1, avg. reward: 0.517, 1.992 sec/game, 1.1 min. total, 507.8 MB
around_semifinal v2 47 games, 32352 moves, e=0.968, loss: 18.0, -, 33.4% elo% vs. v1, avg. reward: 0.522, 1.975 sec/game, 1.1 min. total, 509.8 MB
around_semifinal v2 48 games, 33100 moves, e=0.967, loss: 19.1, -, 32.1% elo% vs. v1, avg. reward: 0.522, 1.969 sec/game, 1.2 min. total, 510.1 MB
around_semifinal v2 49 games, 33870 moves, e=0.966, loss: 20.5, -, 30.8% elo% vs. v1, avg. reward: 0.513, 1.991 sec/game, 1.2 min. total, 512.4 MB
around_semifinal v2 50 games, 34618 moves, e=0.966, loss: 20.1, -, 29.6% elo% vs. v1, avg. reward: 0.515, 2.015 sec/game, 1.2 min. total, 510.2 MB
around_semifinal v2 51 games, 35374 moves, e=0.965, loss: 19.9, -, 28.5% elo% vs. v1, avg. reward: 0.518, 2.018 sec/game, 1.3 min. total, 512.5 MB
around_semifinal v2 52 games, 36121 moves, e=0.964, loss: 22.0, -, 27.4% elo% vs. v1, avg. reward: 0.516, 2.014 sec/game, 1.3 min. total, 512.4 MB
around_semifinal v2 53 games, 36890 moves, e=0.963, loss: 20.5, -, 26.4% elo% vs. v1, avg. reward: 0.512, 2.053 sec/game, 1.3 min. total, 510.5 MB
around_semifinal v2 54 games, 37596 moves, e=0.963, loss: 20.2, -, 25.5% elo% vs. v1, avg. reward: 0.506, 2.056 sec/game, 1.4 min. total, 512.4 MB
around_semifinal v2 55 games, 38266 moves, e=0.962, loss: 17.4, -, 24.6% elo% vs. v1, avg. reward: 0.510, 2.056 sec/game, 1.4 min. total, 512.2 MB
around_semifinal v2 56 games, 38887 moves, e=0.962, loss: 17.6, -, 23.8% elo% vs. v1, avg. reward: 0.513, 2.028 sec/game, 1.4 min. total, 510.5 MB
around_semifinal v2 57 games, 39638 moves, e=0.961, loss: 17.9, -, 23.0% elo% vs. v1, avg. reward: 0.515, 2.075 sec/game, 1.5 min. total, 511.4 MB
around_semifinal v2 58 games, 40315 moves, e=0.960, loss: 17.7, -, 22.2% elo% vs. v1, avg. reward: 0.509, 2.060 sec/game, 1.5 min. total, 514.8 MB
around_semifinal v2 59 games, 41021 moves, e=0.959, loss: 16.9, -, 21.5% elo% vs. v1, avg. reward: 0.502, 2.101 sec/game, 1.6 min. total, 515.2 MB
around_semifinal v2 60 games, 41634 moves, e=0.959, loss: 16.7, -, 20.9% elo% vs. v1, avg. reward: 0.495, 2.085 sec/game, 1.6 min. total, 515.4 MB
around_semifinal v2 61 games, 42549 moves, e=0.958, loss: 13.4, -, 20.3% elo% vs. v1, avg. reward: 0.485, 2.078 sec/game, 1.6 min. total, 515.5 MB
around_semifinal v2 62 games, 43298 moves, e=0.957, loss: 10.4, -, 19.7% elo% vs. v1, avg. reward: 0.477, 2.096 sec/game, 1.7 min. total, 517.1 MB
around_semifinal v2 63 games, 43911 moves, e=0.957, loss: 11.4, +, 22.1% elo% vs. v1, avg. reward: 0.488, 2.096 sec/game, 1.7 min. total, 513.5 MB
around_semifinal v2 64 games, 44584 moves, e=0.956, loss: 11.7, -, 21.4% elo% vs. v1, avg. reward: 0.481, 2.100 sec/game, 1.7 min. total, 518.0 MB
around_semifinal v2 65 games, 45301 moves, e=0.955, loss: 10.7, -, 20.8% elo% vs. v1, avg. reward: 0.476, 2.094 sec/game, 1.8 min. total, 513.9 MB
around_semifinal v2 66 games, 45932 moves, e=0.955, loss: 11.2, +, 23.3% elo% vs. v1, avg. reward: 0.511, 2.095 sec/game, 1.8 min. total, 514.5 MB
around_semifinal v2 67 games, 46663 moves, e=0.954, loss: 17.7, +, 25.9% elo% vs. v1, avg. reward: 0.504, 2.126 sec/game, 1.8 min. total, 516.5 MB
around_semifinal v2 68 games, 47365 moves, e=0.953, loss: 15.2, -, 25.0% elo% vs. v1, avg. reward: 0.497, 2.142 sec/game, 1.9 min. total, 519.5 MB
around_semifinal v2 69 games, 48136 moves, e=0.952, loss: 13.9, -, 24.1% elo% vs. v1, avg. reward: 0.494, 2.129 sec/game, 1.9 min. total, 517.3 MB
around_semifinal v2 70 games, 48862 moves, e=0.952, loss: 14.4, +, 26.8% elo% vs. v1, avg. reward: 0.490, 2.111 sec/game, 1.9 min. total, 517.2 MB
around_semifinal v2 71 games, 49531 moves, e=0.951, loss: 11.1, +, 29.5% elo% vs. v1, avg. reward: 0.505, 2.099 sec/game, 2.0 min. total, 517.2 MB
around_semifinal v2 72 games, 50274 moves, e=0.950, loss: 11.7, -, 28.4% elo% vs. v1, avg. reward: 0.499, 2.125 sec/game, 2.0 min. total, 519.7 MB
around_semifinal v2 73 games, 51113 moves, e=0.949, loss: 8.9, -, 27.3% elo% vs. v1, avg. reward: 0.501, 2.145 sec/game, 2.1 min. total, 517.8 MB
around_semifinal v2 74 games, 51898 moves, e=0.949, loss: 12.9, -, 26.3% elo% vs. v1, avg. reward: 0.497, 2.175 sec/game, 2.1 min. total, 517.6 MB
around_semifinal v2 75 games, 52600 moves, e=0.948, loss: 16.1, -, 25.4% elo% vs. v1, avg. reward: 0.499, 2.183 sec/game, 2.1 min. total, 521.3 MB
around_semifinal v2 76 games, 53356 moves, e=0.947, loss: 16.1, -, 24.5% elo% vs. v1, avg. reward: 0.502, 2.223 sec/game, 2.2 min. total, 521.2 MB
around_semifinal v2 77 games, 53989 moves, e=0.947, loss: 16.3, -, 23.7% elo% vs. v1, avg. reward: 0.496, 2.211 sec/game, 2.2 min. total, 522.5 MB
around_semifinal v2 78 games, 54678 moves, e=0.946, loss: 21.9, +, 26.3% elo% vs. v1, avg. reward: 0.491, 2.243 sec/game, 2.3 min. total, 519.9 MB
