unlaced_neglector v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
unlaced_neglector v1 35 games, 24961 moves, e=0.975, loss: 67.0, +, 56.8% elo% vs. v0, avg. reward: -0.020, 1.608 sec/game, 0.6 min. total, 400.8 MB
unlaced_neglector v1 36 games, 25654 moves, e=0.975, loss: 66.1, +, 58.7% elo% vs. v0, avg. reward: -0.099, 1.598 sec/game, 0.6 min. total, 400.4 MB
unlaced_neglector v1 37 games, 26422 moves, e=0.974, loss: 63.1, +, 60.6% elo% vs. v0, avg. reward: -0.134, 1.600 sec/game, 0.7 min. total, 400.9 MB
unlaced_neglector v1 38 games, 27163 moves, e=0.973, loss: 70.1, +, 62.3% elo% vs. v0, avg. reward: -0.016, 1.574 sec/game, 0.7 min. total, 401.1 MB
unlaced_neglector v1 39 games, 27912 moves, e=0.972, loss: 73.5, +, 63.9% elo% vs. v0, avg. reward: -0.078, 1.600 sec/game, 0.7 min. total, 401.5 MB
unlaced_neglector v1 40 games, 28603 moves, e=0.972, loss: 72.0, ., 63.3% elo% vs. v0, avg. reward: -0.171, 1.597 sec/game, 0.8 min. total, 401.7 MB
unlaced_neglector v1 41 games, 29299 moves, e=0.971, loss: 73.6, +, 64.9% elo% vs. v0, avg. reward: -0.166, 1.580 sec/game, 0.8 min. total, 401.7 MB
unlaced_neglector v1 42 games, 30093 moves, e=0.970, loss: 76.0, +, 66.3% elo% vs. v0, avg. reward: -0.118, 1.607 sec/game, 0.8 min. total, 401.8 MB
unlaced_neglector v1 43 games, 30835 moves, e=0.969, loss: 75.9, +, 67.7% elo% vs. v0, avg. reward: -0.131, 1.607 sec/game, 0.8 min. total, 402.1 MB
unlaced_neglector v1 44 games, 31500 moves, e=0.969, loss: 78.1, +, 69.0% elo% vs. v0, avg. reward: -0.118, 1.621 sec/game, 0.9 min. total, 403.5 MB
