unlaced_neglector v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
unlaced_neglector v3 151 games, 111486 moves, e=0.890, loss: 332.1, -, 64.2% elo% vs. v2, avg. reward: 1.037, 1.865 sec/game, 4.0 min. total, 516.8 MB
unlaced_neglector v3 152 games, 112284 moves, e=0.889, loss: 333.9, +, 65.7% elo% vs. v2, avg. reward: 1.044, 1.869 sec/game, 4.0 min. total, 516.8 MB
unlaced_neglector v3 153 games, 112965 moves, e=0.888, loss: 351.5, +, 67.2% elo% vs. v2, avg. reward: 0.921, 1.866 sec/game, 4.0 min. total, 517.4 MB
unlaced_neglector v3 154 games, 113690 moves, e=0.887, loss: 321.2, +, 68.5% elo% vs. v2, avg. reward: 0.894, 1.863 sec/game, 4.1 min. total, 517.5 MB
unlaced_neglector v3 155 games, 114427 moves, e=0.887, loss: 322.4, +, 69.7% elo% vs. v2, avg. reward: 0.887, 1.869 sec/game, 4.1 min. total, 517.0 MB
unlaced_neglector v3 156 games, 115250 moves, e=0.886, loss: 322.2, +, 70.9% elo% vs. v2, avg. reward: 0.827, 1.869 sec/game, 4.1 min. total, 517.0 MB
unlaced_neglector v4 157 games, 116090 moves, e=0.885, loss: 329.3, +, 54.5% elo% vs. v3, avg. reward: 0.832, 1.845 sec/game, 4.2 min. total, 528.1 MB
unlaced_neglector v4 158 games, 116745 moves, e=0.884, loss: 319.4, +, 56.6% elo% vs. v3, avg. reward: 0.829, 1.848 sec/game, 4.2 min. total, 520.5 MB
unlaced_neglector v4 159 games, 117543 moves, e=0.884, loss: 320.4, -, 54.0% elo% vs. v3, avg. reward: 0.858, 1.838 sec/game, 4.2 min. total, 520.6 MB
unlaced_neglector v4 160 games, 118456 moves, e=0.883, loss: 329.5, -, 51.5% elo% vs. v3, avg. reward: 0.883, 1.827 sec/game, 4.3 min. total, 520.4 MB
unlaced_neglector v4 161 games, 119266 moves, e=0.882, loss: 335.1, -, 49.1% elo% vs. v3, avg. reward: 0.856, 1.824 sec/game, 4.3 min. total, 520.3 MB
unlaced_neglector v4 162 games, 120120 moves, e=0.881, loss: 326.4, +, 51.5% elo% vs. v3, avg. reward: 0.839, 1.827 sec/game, 4.3 min. total, 522.9 MB
unlaced_neglector v4 163 games, 120805 moves, e=0.880, loss: 318.7, +, 53.7% elo% vs. v3, avg. reward: 0.770, 1.822 sec/game, 4.3 min. total, 521.0 MB
unlaced_neglector v4 164 games, 121578 moves, e=0.880, loss: 311.8, +, 55.8% elo% vs. v3, avg. reward: 0.702, 1.826 sec/game, 4.4 min. total, 521.2 MB
unlaced_neglector v4 165 games, 122349 moves, e=0.879, loss: 312.0, ., 55.6% elo% vs. v3, avg. reward: 0.737, 1.826 sec/game, 4.4 min. total, 521.2 MB
unlaced_neglector v4 166 games, 123055 moves, e=0.878, loss: 327.5, +, 57.6% elo% vs. v3, avg. reward: 0.773, 1.815 sec/game, 4.4 min. total, 521.9 MB
unlaced_neglector v4 167 games, 123829 moves, e=0.877, loss: 329.1, -, 55.0% elo% vs. v3, avg. reward: 0.828, 1.841 sec/game, 4.5 min. total, 523.2 MB
unlaced_neglector v4 168 games, 124707 moves, e=0.877, loss: 322.8, -, 52.4% elo% vs. v3, avg. reward: 0.947, 1.848 sec/game, 4.5 min. total, 522.7 MB
unlaced_neglector v4 169 games, 125614 moves, e=0.876, loss: 321.8, -, 50.0% elo% vs. v3, avg. reward: 0.967, 1.895 sec/game, 4.5 min. total, 522.8 MB
unlaced_neglector v4 170 games, 126378 moves, e=0.875, loss: 333.0, -, 47.7% elo% vs. v3, avg. reward: 0.946, 1.914 sec/game, 4.6 min. total, 522.8 MB
unlaced_neglector v4 171 games, 127168 moves, e=0.874, loss: 341.2, +, 50.1% elo% vs. v3, avg. reward: 0.931, 1.928 sec/game, 4.6 min. total, 523.5 MB
unlaced_neglector v4 172 games, 128009 moves, e=0.873, loss: 340.4, +, 52.4% elo% vs. v3, avg. reward: 0.974, 1.941 sec/game, 4.7 min. total, 523.4 MB
unlaced_neglector v4 173 games, 128827 moves, e=0.872, loss: 350.8, +, 54.6% elo% vs. v3, avg. reward: 0.992, 1.962 sec/game, 4.7 min. total, 523.7 MB
unlaced_neglector v4 174 games, 129608 moves, e=0.872, loss: 352.3, +, 56.7% elo% vs. v3, avg. reward: 1.062, 1.964 sec/game, 4.7 min. total, 523.6 MB
unlaced_neglector v4 175 games, 130498 moves, e=0.871, loss: 358.8, -, 54.1% elo% vs. v3, avg. reward: 1.053, 1.976 sec/game, 4.8 min. total, 526.5 MB
unlaced_neglector v4 176 games, 131315 moves, e=0.870, loss: 362.9, -, 51.6% elo% vs. v3, avg. reward: 1.118, 1.978 sec/game, 4.8 min. total, 526.2 MB
unlaced_neglector v4 177 games, 132146 moves, e=0.869, loss: 358.5, -, 49.2% elo% vs. v3, avg. reward: 1.098, 2.007 sec/game, 4.8 min. total, 526.4 MB
unlaced_neglector v4 178 games, 132873 moves, e=0.868, loss: 382.6, -, 47.0% elo% vs. v3, avg. reward: 1.070, 2.002 sec/game, 4.9 min. total, 526.2 MB
unlaced_neglector v4 179 games, 133728 moves, e=0.868, loss: 374.7, +, 49.4% elo% vs. v3, avg. reward: 1.130, 2.022 sec/game, 4.9 min. total, 526.2 MB
unlaced_neglector v4 180 games, 134544 moves, e=0.867, loss: 363.0, +, 51.7% elo% vs. v3, avg. reward: 1.172, 2.037 sec/game, 4.9 min. total, 526.2 MB
unlaced_neglector v4 181 games, 135289 moves, e=0.866, loss: 367.2, -, 49.4% elo% vs. v3, avg. reward: 1.195, 2.039 sec/game, 5.0 min. total, 526.5 MB
unlaced_neglector v4 182 games, 136234 moves, e=0.865, loss: 364.5, +, 51.7% elo% vs. v3, avg. reward: 1.256, 2.072 sec/game, 5.0 min. total, 526.1 MB
unlaced_neglector v4 183 games, 137092 moves, e=0.864, loss: 372.2, +, 53.9% elo% vs. v3, avg. reward: 1.312, 2.107 sec/game, 5.0 min. total, 528.2 MB
unlaced_neglector v4 184 games, 137706 moves, e=0.864, loss: 363.6, +, 56.0% elo% vs. v3, avg. reward: 1.329, 2.081 sec/game, 5.1 min. total, 531.0 MB
unlaced_neglector v4 185 games, 138546 moves, e=0.863, loss: 372.7, +, 58.0% elo% vs. v3, avg. reward: 1.344, 2.097 sec/game, 5.1 min. total, 530.2 MB
unlaced_neglector v4 186 games, 139338 moves, e=0.862, loss: 352.2, +, 59.9% elo% vs. v3, avg. reward: 1.320, 2.095 sec/game, 5.1 min. total, 530.6 MB
unlaced_neglector v4 187 games, 140049 moves, e=0.861, loss: 335.7, -, 57.2% elo% vs. v3, avg. reward: 1.332, 2.075 sec/game, 5.2 min. total, 530.6 MB
unlaced_neglector v4 188 games, 140881 moves, e=0.861, loss: 322.3, +, 59.1% elo% vs. v3, avg. reward: 1.330, 2.059 sec/game, 5.2 min. total, 530.3 MB
unlaced_neglector v4 189 games, 141806 moves, e=0.860, loss: 321.1, +, 60.9% elo% vs. v3, avg. reward: 1.335, 2.046 sec/game, 5.2 min. total, 530.6 MB
unlaced_neglector v4 190 games, 142605 moves, e=0.859, loss: 328.9, +, 62.6% elo% vs. v3, avg. reward: 1.330, 2.047 sec/game, 5.3 min. total, 530.7 MB
unlaced_neglector v4 191 games, 143498 moves, e=0.858, loss: 313.3, +, 64.2% elo% vs. v3, avg. reward: 1.364, 2.051 sec/game, 5.3 min. total, 530.4 MB
unlaced_neglector v4 192 games, 144252 moves, e=0.857, loss: 315.5, +, 65.7% elo% vs. v3, avg. reward: 1.286, 2.029 sec/game, 5.3 min. total, 530.4 MB
unlaced_neglector v4 193 games, 145007 moves, e=0.856, loss: 326.4, -, 62.9% elo% vs. v3, avg. reward: 1.325, 2.033 sec/game, 5.4 min. total, 532.0 MB
unlaced_neglector v4 194 games, 145974 moves, e=0.855, loss: 313.1, -, 60.2% elo% vs. v3, avg. reward: 1.335, 2.059 sec/game, 5.4 min. total, 533.5 MB
unlaced_neglector v4 195 games, 146799 moves, e=0.855, loss: 321.2, -, 57.5% elo% vs. v3, avg. reward: 1.323, 2.064 sec/game, 5.4 min. total, 533.2 MB
unlaced_neglector v4 196 games, 147718 moves, e=0.854, loss: 328.1, -, 54.9% elo% vs. v3, avg. reward: 1.294, 2.076 sec/game, 5.5 min. total, 533.8 MB
unlaced_neglector v4 197 games, 148495 moves, e=0.853, loss: 317.9, +, 56.9% elo% vs. v3, avg. reward: 1.297, 2.079 sec/game, 5.5 min. total, 533.4 MB
unlaced_neglector v4 198 games, 149262 moves, e=0.852, loss: 303.4, -, 54.4% elo% vs. v3, avg. reward: 1.307, 2.079 sec/game, 5.6 min. total, 533.7 MB
unlaced_neglector v4 199 games, 150050 moves, e=0.851, loss: 309.8, +, 56.4% elo% vs. v3, avg. reward: 1.267, 2.070 sec/game, 5.6 min. total, 533.4 MB
unlaced_neglector v4 200 games, 150735 moves, e=0.851, loss: 297.1, +, 58.4% elo% vs. v3, avg. reward: 1.277, 2.036 sec/game, 5.6 min. total, 533.9 MB
unlaced_neglector v5 201 games, 151615 moves, e=0.850, loss: 292.2, +, 52.3% elo% vs. v3, avg. reward: 1.261, 2.055 sec/game, 5.6 min. total, 533.9 MB
unlaced_neglector v5 202 games, 152465 moves, e=0.849, loss: 297.9, +, 54.5% elo% vs. v3, avg. reward: 1.218, 2.034 sec/game, 5.7 min. total, 534.0 MB
unlaced_neglector v5 203 games, 153351 moves, e=0.848, loss: 290.0, -, 52.0% elo% vs. v3, avg. reward: 1.233, 2.036 sec/game, 5.7 min. total, 534.1 MB
unlaced_neglector v5 204 games, 154079 moves, e=0.847, loss: 288.1, +, 54.2% elo% vs. v3, avg. reward: 1.234, 2.046 sec/game, 5.7 min. total, 535.9 MB
unlaced_neglector v5 205 games, 154972 moves, e=0.847, loss: 280.8, +, 56.3% elo% vs. v3, avg. reward: 1.266, 2.041 sec/game, 5.8 min. total, 537.2 MB
unlaced_neglector v5 206 games, 155902 moves, e=0.846, loss: 276.6, +, 58.2% elo% vs. v3, avg. reward: 1.333, 2.069 sec/game, 5.8 min. total, 537.1 MB
unlaced_neglector v5 207 games, 156675 moves, e=0.845, loss: 263.5, +, 60.1% elo% vs. v3, avg. reward: 1.329, 2.088 sec/game, 5.9 min. total, 536.9 MB
unlaced_neglector v5 208 games, 157507 moves, e=0.844, loss: 265.9, +, 61.9% elo% vs. v3, avg. reward: 1.338, 2.097 sec/game, 5.9 min. total, 537.1 MB
unlaced_neglector v5 209 games, 158282 moves, e=0.843, loss: 264.8, +, 63.5% elo% vs. v3, avg. reward: 1.380, 2.088 sec/game, 5.9 min. total, 537.5 MB
unlaced_neglector v5 210 games, 159098 moves, e=0.842, loss: 256.9, +, 65.0% elo% vs. v3, avg. reward: 1.361, 2.089 sec/game, 6.0 min. total, 537.5 MB
unlaced_neglector v5 211 games, 159942 moves, e=0.842, loss: 247.8, +, 66.5% elo% vs. v3, avg. reward: 1.348, 2.097 sec/game, 6.0 min. total, 538.1 MB
unlaced_neglector v5 212 games, 160770 moves, e=0.841, loss: 252.2, +, 67.9% elo% vs. v3, avg. reward: 1.389, 2.126 sec/game, 6.0 min. total, 538.2 MB
unlaced_neglector v5 213 games, 161716 moves, e=0.840, loss: 266.8, +, 69.1% elo% vs. v3, avg. reward: 1.446, 2.149 sec/game, 6.1 min. total, 539.9 MB
unlaced_neglector v5 214 games, 162533 moves, e=0.839, loss: 275.4, +, 70.3% elo% vs. v3, avg. reward: 1.462, 2.129 sec/game, 6.1 min. total, 540.6 MB
unlaced_neglector v6 215 games, 163321 moves, e=0.838, loss: 271.2, -, 45.5% elo% vs. v5, avg. reward: 1.411, 2.108 sec/game, 6.1 min. total, 548.4 MB
unlaced_neglector v6 216 games, 164041 moves, e=0.838, loss: 291.0, -, 43.4% elo% vs. v5, avg. reward: 1.372, 2.085 sec/game, 6.2 min. total, 548.0 MB
unlaced_neglector v6 217 games, 164873 moves, e=0.837, loss: 294.8, -, 41.5% elo% vs. v5, avg. reward: 1.327, 2.092 sec/game, 6.2 min. total, 548.0 MB
unlaced_neglector v6 218 games, 165724 moves, e=0.836, loss: 303.6, ., 41.9% elo% vs. v5, avg. reward: 1.347, 2.100 sec/game, 6.3 min. total, 548.4 MB
unlaced_neglector v6 219 games, 166496 moves, e=0.835, loss: 299.1, +, 44.5% elo% vs. v5, avg. reward: 1.347, 2.103 sec/game, 6.3 min. total, 548.3 MB
unlaced_neglector v6 220 games, 167243 moves, e=0.834, loss: 297.1, +, 47.0% elo% vs. v5, avg. reward: 1.352, 2.125 sec/game, 6.3 min. total, 548.0 MB
unlaced_neglector v6 221 games, 168129 moves, e=0.834, loss: 296.8, +, 49.5% elo% vs. v5, avg. reward: 1.392, 2.124 sec/game, 6.4 min. total, 549.1 MB
unlaced_neglector v6 222 games, 168893 moves, e=0.833, loss: 290.9, +, 51.8% elo% vs. v5, avg. reward: 1.430, 2.117 sec/game, 6.4 min. total, 551.6 MB
unlaced_neglector v6 223 games, 169651 moves, e=0.832, loss: 298.0, +, 54.0% elo% vs. v5, avg. reward: 1.438, 2.110 sec/game, 6.4 min. total, 544.8 MB
unlaced_neglector v6 224 games, 170517 moves, e=0.831, loss: 286.9, -, 51.5% elo% vs. v5, avg. reward: 1.410, 2.147 sec/game, 6.5 min. total, 545.4 MB
unlaced_neglector v6 225 games, 171252 moves, e=0.830, loss: 285.7, -, 49.2% elo% vs. v5, avg. reward: 1.403, 2.126 sec/game, 6.5 min. total, 545.1 MB
unlaced_neglector v6 226 games, 172183 moves, e=0.830, loss: 286.7, -, 46.9% elo% vs. v5, avg. reward: 1.450, 2.132 sec/game, 6.5 min. total, 545.4 MB
unlaced_neglector v6 227 games, 173003 moves, e=0.829, loss: 286.6, -, 44.8% elo% vs. v5, avg. reward: 1.485, 2.121 sec/game, 6.6 min. total, 545.2 MB
unlaced_neglector v6 228 games, 173763 moves, e=0.828, loss: 275.4, ., 45.0% elo% vs. v5, avg. reward: 1.491, 2.113 sec/game, 6.6 min. total, 545.5 MB
unlaced_neglector v6 229 games, 174565 moves, e=0.827, loss: 260.1, +, 47.5% elo% vs. v5, avg. reward: 1.513, 2.106 sec/game, 6.6 min. total, 545.9 MB
unlaced_neglector v6 230 games, 175443 moves, e=0.826, loss: 258.2, +, 49.9% elo% vs. v5, avg. reward: 1.535, 2.100 sec/game, 6.7 min. total, 546.7 MB
unlaced_neglector v6 231 games, 176485 moves, e=0.825, loss: 251.9, +, 52.2% elo% vs. v5, avg. reward: 1.534, 2.108 sec/game, 6.7 min. total, 547.1 MB
unlaced_neglector v6 232 games, 177172 moves, e=0.825, loss: 256.9, +, 54.4% elo% vs. v5, avg. reward: 1.501, 2.089 sec/game, 6.7 min. total, 549.1 MB
unlaced_neglector v6 233 games, 178072 moves, e=0.824, loss: 259.3, +, 56.5% elo% vs. v5, avg. reward: 1.517, 2.093 sec/game, 6.8 min. total, 548.8 MB
unlaced_neglector v6 234 games, 178960 moves, e=0.823, loss: 266.0, +, 58.5% elo% vs. v5, avg. reward: 1.422, 2.101 sec/game, 6.8 min. total, 548.8 MB
unlaced_neglector v6 235 games, 179714 moves, e=0.822, loss: 264.0, +, 60.3% elo% vs. v5, avg. reward: 1.407, 2.092 sec/game, 6.8 min. total, 548.7 MB
unlaced_neglector v6 236 games, 180445 moves, e=0.821, loss: 262.7, -, 57.6% elo% vs. v5, avg. reward: 1.358, 2.075 sec/game, 6.9 min. total, 548.5 MB
unlaced_neglector v6 237 games, 181248 moves, e=0.821, loss: 256.7, +, 59.5% elo% vs. v5, avg. reward: 1.310, 2.066 sec/game, 6.9 min. total, 548.3 MB
unlaced_neglector v6 238 games, 182178 moves, e=0.820, loss: 259.0, +, 61.3% elo% vs. v5, avg. reward: 1.325, 2.073 sec/game, 6.9 min. total, 548.7 MB
unlaced_neglector v6 239 games, 182916 moves, e=0.819, loss: 248.2, +, 63.0% elo% vs. v5, avg. reward: 1.336, 2.074 sec/game, 7.0 min. total, 549.1 MB
unlaced_neglector v6 240 games, 183892 moves, e=0.818, loss: 253.1, +, 64.5% elo% vs. v5, avg. reward: 1.346, 2.088 sec/game, 7.0 min. total, 549.1 MB
unlaced_neglector v6 241 games, 184697 moves, e=0.817, loss: 257.1, +, 66.0% elo% vs. v5, avg. reward: 1.347, 2.072 sec/game, 7.0 min. total, 550.6 MB
unlaced_neglector v6 242 games, 185469 moves, e=0.816, loss: 242.2, +, 67.4% elo% vs. v5, avg. reward: 1.347, 2.064 sec/game, 7.1 min. total, 550.8 MB
unlaced_neglector v6 243 games, 186419 moves, e=0.815, loss: 240.4, +, 68.7% elo% vs. v5, avg. reward: 1.402, 2.075 sec/game, 7.1 min. total, 551.3 MB
unlaced_neglector v6 244 games, 187277 moves, e=0.815, loss: 241.2, +, 69.9% elo% vs. v5, avg. reward: 1.438, 2.065 sec/game, 7.1 min. total, 551.6 MB
unlaced_neglector v6 245 games, 188161 moves, e=0.814, loss: 245.8, +, 71.1% elo% vs. v5, avg. reward: 1.480, 2.088 sec/game, 7.2 min. total, 551.7 MB
unlaced_neglector v7 246 games, 189040 moves, e=0.813, loss: 259.1, +, 54.5% elo% vs. v6, avg. reward: 1.493, 2.049 sec/game, 7.2 min. total, 559.3 MB
unlaced_neglector v7 247 games, 189818 moves, e=0.812, loss: 252.3, +, 56.6% elo% vs. v6, avg. reward: 1.509, 2.052 sec/game, 7.2 min. total, 560.1 MB
unlaced_neglector v7 248 games, 190690 moves, e=0.811, loss: 258.9, +, 58.5% elo% vs. v6, avg. reward: 1.525, 2.066 sec/game, 7.3 min. total, 561.3 MB
unlaced_neglector v7 249 games, 191474 moves, e=0.810, loss: 269.0, +, 60.4% elo% vs. v6, avg. reward: 1.518, 2.065 sec/game, 7.3 min. total, 563.6 MB
unlaced_neglector v7 250 games, 192344 moves, e=0.810, loss: 253.2, -, 57.7% elo% vs. v6, avg. reward: 1.512, 2.074 sec/game, 7.4 min. total, 555.6 MB
unlaced_neglector v7 251 games, 193274 moves, e=0.809, loss: 254.0, +, 59.6% elo% vs. v6, avg. reward: 1.453, 2.061 sec/game, 7.4 min. total, 556.3 MB
unlaced_neglector v7 252 games, 194204 moves, e=0.808, loss: 261.3, +, 61.3% elo% vs. v6, avg. reward: 1.444, 2.073 sec/game, 7.4 min. total, 558.1 MB
unlaced_neglector v7 253 games, 195068 moves, e=0.807, loss: 268.3, +, 63.0% elo% vs. v6, avg. reward: 1.459, 2.089 sec/game, 7.5 min. total, 556.6 MB
unlaced_neglector v7 254 games, 195992 moves, e=0.806, loss: 266.9, +, 64.6% elo% vs. v6, avg. reward: 1.446, 2.122 sec/game, 7.5 min. total, 556.5 MB
unlaced_neglector v7 255 games, 196927 moves, e=0.805, loss: 256.9, ., 64.0% elo% vs. v6, avg. reward: 1.512, 2.163 sec/game, 7.6 min. total, 558.9 MB
unlaced_neglector v7 256 games, 197808 moves, e=0.804, loss: 266.4, +, 65.5% elo% vs. v6, avg. reward: 1.531, 2.202 sec/game, 7.6 min. total, 556.8 MB
unlaced_neglector v7 257 games, 198573 moves, e=0.803, loss: 262.7, +, 66.9% elo% vs. v6, avg. reward: 1.546, 2.195 sec/game, 7.6 min. total, 556.9 MB
unlaced_neglector v7 258 games, 199390 moves, e=0.803, loss: 245.2, -, 64.1% elo% vs. v6, avg. reward: 1.597, 2.182 sec/game, 7.7 min. total, 557.7 MB
unlaced_neglector v7 259 games, 200182 moves, e=0.802, loss: 255.3, -, 61.4% elo% vs. v6, avg. reward: 1.539, 2.186 sec/game, 7.7 min. total, 559.4 MB
unlaced_neglector v7 260 games, 201037 moves, e=0.801, loss: 260.2, ., 60.9% elo% vs. v6, avg. reward: 1.500, 2.189 sec/game, 7.7 min. total, 558.9 MB
unlaced_neglector v7 261 games, 201991 moves, e=0.800, loss: 263.1, +, 62.6% elo% vs. v6, avg. reward: 1.645, 2.222 sec/game, 7.8 min. total, 559.4 MB
unlaced_neglector v7 262 games, 202787 moves, e=0.799, loss: 259.9, +, 64.2% elo% vs. v6, avg. reward: 1.695, 2.230 sec/game, 7.8 min. total, 559.3 MB
unlaced_neglector v7 263 games, 203654 moves, e=0.798, loss: 255.5, -, 61.4% elo% vs. v6, avg. reward: 1.724, 2.229 sec/game, 7.9 min. total, 559.6 MB
unlaced_neglector v7 264 games, 204386 moves, e=0.798, loss: 267.7, -, 58.7% elo% vs. v6, avg. reward: 1.724, 2.234 sec/game, 7.9 min. total, 559.5 MB
