irritably_crown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 281.5 MB
irritably_crown v2 36 games, 25296 moves, e=0.975, loss: 9.2, +, 54.4% elo% vs. guard_bot, avg. reward: -6.272, 1.811 sec/game, 0.8 min. total, 385.8 MB
irritably_crown v2 37 games, 25982 moves, e=0.974, loss: 10.2, +, 56.5% elo% vs. guard_bot, avg. reward: -6.272, 1.791 sec/game, 0.8 min. total, 385.7 MB
irritably_crown v2 38 games, 26886 moves, e=0.973, loss: 9.2, ., 56.2% elo% vs. guard_bot, avg. reward: -6.205, 1.827 sec/game, 0.9 min. total, 385.7 MB
irritably_crown v2 39 games, 27609 moves, e=0.973, loss: 9.1, +, 58.1% elo% vs. guard_bot, avg. reward: -6.197, 1.821 sec/game, 0.9 min. total, 385.6 MB
irritably_crown v2 40 games, 28392 moves, e=0.972, loss: 8.6, ., 57.8% elo% vs. guard_bot, avg. reward: -6.175, 1.889 sec/game, 1.0 min. total, 381.5 MB
irritably_crown v2 41 games, 29095 moves, e=0.971, loss: 9.1, +, 59.7% elo% vs. guard_bot, avg. reward: -6.178, 1.914 sec/game, 1.0 min. total, 382.1 MB
irritably_crown v2 42 games, 29722 moves, e=0.971, loss: 9.3, +, 61.4% elo% vs. guard_bot, avg. reward: -6.207, 1.902 sec/game, 1.0 min. total, 381.9 MB
irritably_crown v2 43 games, 30442 moves, e=0.970, loss: 9.8, +, 63.1% elo% vs. guard_bot, avg. reward: -6.201, 1.886 sec/game, 1.0 min. total, 382.1 MB
irritably_crown v2 44 games, 31087 moves, e=0.969, loss: 9.8, +, 64.7% elo% vs. guard_bot, avg. reward: -6.226, 1.881 sec/game, 1.1 min. total, 381.8 MB
irritably_crown v2 45 games, 31851 moves, e=0.968, loss: 10.3, +, 66.1% elo% vs. guard_bot, avg. reward: -6.206, 1.897 sec/game, 1.1 min. total, 382.4 MB
irritably_crown v2 46 games, 32543 moves, e=0.968, loss: 10.6, ., 65.5% elo% vs. guard_bot, avg. reward: -6.203, 1.856 sec/game, 1.1 min. total, 381.9 MB
irritably_crown v2 47 games, 33169 moves, e=0.967, loss: 10.7, +, 66.9% elo% vs. guard_bot, avg. reward: -6.226, 1.847 sec/game, 1.1 min. total, 382.8 MB
irritably_crown v2 48 games, 33903 moves, e=0.966, loss: 10.6, +, 68.2% elo% vs. guard_bot, avg. reward: -6.214, 1.829 sec/game, 1.2 min. total, 384.0 MB
irritably_crown v2 49 games, 34555 moves, e=0.966, loss: 11.4, +, 69.5% elo% vs. guard_bot, avg. reward: -6.234, 1.774 sec/game, 1.2 min. total, 386.2 MB
irritably_crown v2 50 games, 35330 moves, e=0.965, loss: 11.6, ., 68.7% elo% vs. guard_bot, avg. reward: -6.212, 1.770 sec/game, 1.2 min. total, 387.6 MB
irritably_crown v2 51 games, 36046 moves, e=0.964, loss: 12.1, +, 70.0% elo% vs. guard_bot, avg. reward: -6.205, 1.742 sec/game, 1.2 min. total, 389.4 MB
irritably_crown v2 52 games, 36807 moves, e=0.964, loss: 12.5, ., 69.2% elo% vs. guard_bot, avg. reward: -6.186, 1.758 sec/game, 1.3 min. total, 389.1 MB
irritably_crown v2 53 games, 37473 moves, e=0.963, loss: 12.5, +, 70.4% elo% vs. guard_bot, avg. reward: -6.199, 1.749 sec/game, 1.3 min. total, 390.1 MB
irritably_crown v3 54 games, 38153 moves, e=0.962, loss: 12.4, -, 49.9% elo% vs. random_no_suicide, avg. reward: -6.206, 1.740 sec/game, 1.3 min. total, 379.8 MB
irritably_crown v3 55 games, 38915 moves, e=0.961, loss: 12.3, -, 47.6% elo% vs. random_no_suicide, avg. reward: -6.191, 1.718 sec/game, 1.4 min. total, 380.4 MB
irritably_crown v3 56 games, 39733 moves, e=0.961, loss: 12.6, -, 45.4% elo% vs. random_no_suicide, avg. reward: -6.171, 1.714 sec/game, 1.4 min. total, 381.5 MB
irritably_crown v3 57 games, 40518 moves, e=0.960, loss: 12.6, -, 43.4% elo% vs. random_no_suicide, avg. reward: -6.155, 1.743 sec/game, 1.4 min. total, 379.0 MB
irritably_crown v3 58 games, 41317 moves, e=0.959, loss: 12.6, -, 41.4% elo% vs. random_no_suicide, avg. reward: -6.130, 1.717 sec/game, 1.4 min. total, 379.9 MB
irritably_crown v3 59 games, 42087 moves, e=0.958, loss: 12.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: -6.119, 1.725 sec/game, 1.5 min. total, 381.2 MB
irritably_crown v3 60 games, 42775 moves, e=0.958, loss: 12.7, -, 37.8% elo% vs. random_no_suicide, avg. reward: -6.122, 1.629 sec/game, 1.5 min. total, 382.8 MB
irritably_crown v3 61 games, 43533 moves, e=0.957, loss: 12.0, -, 36.2% elo% vs. random_no_suicide, avg. reward: -6.114, 1.612 sec/game, 1.5 min. total, 384.6 MB
irritably_crown v3 62 games, 44236 moves, e=0.956, loss: 13.4, -, 34.7% elo% vs. random_no_suicide, avg. reward: -6.121, 1.613 sec/game, 1.5 min. total, 385.5 MB
irritably_crown v3 63 games, 45023 moves, e=0.955, loss: 15.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: -6.101, 1.621 sec/game, 1.6 min. total, 384.6 MB
irritably_crown v3 64 games, 45783 moves, e=0.955, loss: 16.4, -, 31.9% elo% vs. random_no_suicide, avg. reward: -6.092, 1.664 sec/game, 1.6 min. total, 382.3 MB
irritably_crown v3 65 games, 46371 moves, e=0.954, loss: 16.1, -, 30.6% elo% vs. random_no_suicide, avg. reward: -6.119, 1.639 sec/game, 1.6 min. total, 381.7 MB
irritably_crown v3 66 games, 47090 moves, e=0.953, loss: 15.4, -, 29.5% elo% vs. random_no_suicide, avg. reward: -6.118, 1.712 sec/game, 1.7 min. total, 309.4 MB
irritably_crown v3 67 games, 47810 moves, e=0.953, loss: 14.9, -, 28.3% elo% vs. random_no_suicide, avg. reward: -6.113, 1.742 sec/game, 1.7 min. total, 309.6 MB
irritably_crown v3 68 games, 48580 moves, e=0.952, loss: 14.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: -6.102, 1.750 sec/game, 1.7 min. total, 308.6 MB
irritably_crown v3 69 games, 49332 moves, e=0.951, loss: 13.4, -, 26.3% elo% vs. random_no_suicide, avg. reward: -6.089, 1.779 sec/game, 1.8 min. total, 309.3 MB
irritably_crown v3 70 games, 50091 moves, e=0.950, loss: 14.9, -, 25.4% elo% vs. random_no_suicide, avg. reward: -6.081, 1.770 sec/game, 1.8 min. total, 309.8 MB
irritably_crown v3 71 games, 50810 moves, e=0.950, loss: 15.4, -, 24.5% elo% vs. random_no_suicide, avg. reward: -6.079, 1.772 sec/game, 1.8 min. total, 310.5 MB
irritably_crown v3 72 games, 51432 moves, e=0.949, loss: 16.1, -, 23.7% elo% vs. random_no_suicide, avg. reward: -6.093, 1.771 sec/game, 1.9 min. total, 348.6 MB
irritably_crown v3 73 games, 52229 moves, e=0.948, loss: 16.2, -, 22.9% elo% vs. random_no_suicide, avg. reward: -6.077, 1.822 sec/game, 1.9 min. total, 348.4 MB
irritably_crown v3 74 games, 52892 moves, e=0.948, loss: 17.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: -6.083, 1.824 sec/game, 1.9 min. total, 348.4 MB
irritably_crown v3 75 games, 53465 moves, e=0.947, loss: 17.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: -6.115, 1.844 sec/game, 2.0 min. total, 348.4 MB
irritably_crown v3 76 games, 54251 moves, e=0.946, loss: 17.2, -, 20.8% elo% vs. random_no_suicide, avg. reward: -6.102, 1.867 sec/game, 2.0 min. total, 347.8 MB
irritably_crown v3 77 games, 54858 moves, e=0.946, loss: 17.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: -6.123, 1.867 sec/game, 2.0 min. total, 347.7 MB
irritably_crown v3 78 games, 55654 moves, e=0.945, loss: 17.3, -, 19.6% elo% vs. random_no_suicide, avg. reward: -6.108, 1.884 sec/game, 2.1 min. total, 348.1 MB
irritably_crown v3 79 games, 56417 moves, e=0.944, loss: 16.4, -, 19.0% elo% vs. random_no_suicide, avg. reward: -6.105, 1.884 sec/game, 2.1 min. total, 348.1 MB
irritably_crown v3 80 games, 57118 moves, e=0.943, loss: 16.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: -6.106, 1.887 sec/game, 2.1 min. total, 348.6 MB
irritably_crown v3 81 games, 57966 moves, e=0.943, loss: 17.4, -, 18.0% elo% vs. random_no_suicide, avg. reward: -6.086, 1.896 sec/game, 2.2 min. total, 348.7 MB
irritably_crown v3 82 games, 58601 moves, e=0.942, loss: 18.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: -6.103, 1.900 sec/game, 2.2 min. total, 348.2 MB
irritably_crown v3 83 games, 59375 moves, e=0.941, loss: 20.4, -, 17.0% elo% vs. random_no_suicide, avg. reward: -6.090, 1.897 sec/game, 2.2 min. total, 348.7 MB
irritably_crown v3 84 games, 60176 moves, e=0.940, loss: 19.0, -, 16.6% elo% vs. random_no_suicide, avg. reward: -6.076, 1.882 sec/game, 2.2 min. total, 348.1 MB
irritably_crown v3 85 games, 60972 moves, e=0.940, loss: 19.1, -, 16.2% elo% vs. random_no_suicide, avg. reward: -6.064, 1.887 sec/game, 2.3 min. total, 348.0 MB
