irritably_crown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 281.5 MB
irritably_crown v21 1856 games, 2219982 moves, e=0.010, loss: 63.9, -, 9.8% elo% vs. random_no_suicide, avg. reward: 0.243, 3.050 sec/game, 85.4 min. total, 797.6 MB
irritably_crown v21 1857 games, 2221313 moves, e=0.010, loss: 66.5, -, 9.6% elo% vs. random_no_suicide, avg. reward: 0.249, 3.033 sec/game, 85.4 min. total, 799.5 MB
irritably_crown v21 1858 games, 2222754 moves, e=0.010, loss: 64.8, -, 9.5% elo% vs. random_no_suicide, avg. reward: 0.259, 3.038 sec/game, 85.5 min. total, 800.3 MB
irritably_crown v21 1859 games, 2224106 moves, e=0.010, loss: 62.0, -, 9.3% elo% vs. random_no_suicide, avg. reward: 0.264, 3.026 sec/game, 85.5 min. total, 800.4 MB
irritably_crown v21 1860 games, 2225450 moves, e=0.010, loss: 62.6, -, 9.2% elo% vs. random_no_suicide, avg. reward: 0.261, 3.033 sec/game, 85.6 min. total, 800.0 MB
irritably_crown v21 1861 games, 2226867 moves, e=0.010, loss: 62.7, -, 9.0% elo% vs. random_no_suicide, avg. reward: 0.270, 3.038 sec/game, 85.7 min. total, 800.3 MB
irritably_crown v21 1862 games, 2228294 moves, e=0.010, loss: 60.5, -, 8.9% elo% vs. random_no_suicide, avg. reward: 0.286, 3.043 sec/game, 85.7 min. total, 800.5 MB
irritably_crown v21 1863 games, 2229678 moves, e=0.010, loss: 60.9, -, 8.8% elo% vs. random_no_suicide, avg. reward: 0.289, 3.036 sec/game, 85.8 min. total, 800.2 MB
irritably_crown v21 1864 games, 2231007 moves, e=0.010, loss: 61.0, -, 8.6% elo% vs. random_no_suicide, avg. reward: 0.292, 3.013 sec/game, 85.8 min. total, 802.0 MB
irritably_crown v21 1865 games, 2232398 moves, e=0.010, loss: 62.6, -, 8.5% elo% vs. random_no_suicide, avg. reward: 0.302, 3.035 sec/game, 85.9 min. total, 802.0 MB
irritably_crown v21 1866 games, 2233808 moves, e=0.010, loss: 64.6, -, 8.4% elo% vs. random_no_suicide, avg. reward: 0.309, 3.024 sec/game, 85.9 min. total, 801.6 MB
irritably_crown v21 1867 games, 2235157 moves, e=0.010, loss: 62.5, -, 8.3% elo% vs. random_no_suicide, avg. reward: 0.311, 3.024 sec/game, 86.0 min. total, 802.5 MB
irritably_crown v21 1868 games, 2236450 moves, e=0.010, loss: 63.3, -, 8.1% elo% vs. random_no_suicide, avg. reward: 0.317, 3.023 sec/game, 86.0 min. total, 802.9 MB
irritably_crown v21 1869 games, 2237935 moves, e=0.010, loss: 61.1, -, 8.0% elo% vs. random_no_suicide, avg. reward: 0.329, 3.026 sec/game, 86.1 min. total, 802.7 MB
irritably_crown v21 1870 games, 2239234 moves, e=0.010, loss: 61.0, -, 7.9% elo% vs. random_no_suicide, avg. reward: 0.336, 3.025 sec/game, 86.1 min. total, 803.0 MB
irritably_crown v21 1871 games, 2240682 moves, e=0.010, loss: 62.0, -, 7.8% elo% vs. random_no_suicide, avg. reward: 0.353, 3.024 sec/game, 86.2 min. total, 805.7 MB
irritably_crown v21 1872 games, 2242055 moves, e=0.010, loss: 60.5, -, 7.7% elo% vs. random_no_suicide, avg. reward: 0.362, 3.037 sec/game, 86.2 min. total, 805.3 MB
irritably_crown v21 1873 games, 2243431 moves, e=0.010, loss: 60.9, -, 7.6% elo% vs. random_no_suicide, avg. reward: 0.368, 3.041 sec/game, 86.3 min. total, 804.7 MB
irritably_crown v21 1874 games, 2244863 moves, e=0.010, loss: 59.7, -, 7.5% elo% vs. random_no_suicide, avg. reward: 0.378, 3.044 sec/game, 86.3 min. total, 805.3 MB
irritably_crown v21 1875 games, 2246318 moves, e=0.010, loss: 60.0, -, 7.4% elo% vs. random_no_suicide, avg. reward: 0.380, 3.053 sec/game, 86.4 min. total, 804.6 MB
irritably_crown v21 1876 games, 2247727 moves, e=0.010, loss: 62.1, -, 7.3% elo% vs. random_no_suicide, avg. reward: 0.395, 3.062 sec/game, 86.4 min. total, 805.6 MB
irritably_crown v21 1877 games, 2249153 moves, e=0.010, loss: 62.8, -, 7.2% elo% vs. random_no_suicide, avg. reward: 0.402, 3.072 sec/game, 86.5 min. total, 806.2 MB
irritably_crown v21 1878 games, 2250550 moves, e=0.010, loss: 65.2, -, 7.2% elo% vs. random_no_suicide, avg. reward: 0.414, 3.068 sec/game, 86.5 min. total, 808.0 MB
irritably_crown v21 1879 games, 2251949 moves, e=0.010, loss: 67.0, -, 7.1% elo% vs. random_no_suicide, avg. reward: 0.429, 3.082 sec/game, 86.6 min. total, 807.3 MB
irritably_crown v21 1880 games, 2253368 moves, e=0.010, loss: 66.2, -, 7.0% elo% vs. random_no_suicide, avg. reward: 0.441, 3.084 sec/game, 86.6 min. total, 807.2 MB
irritably_crown v21 1881 games, 2254814 moves, e=0.010, loss: 68.9, -, 6.9% elo% vs. random_no_suicide, avg. reward: 0.456, 3.075 sec/game, 86.7 min. total, 807.7 MB
irritably_crown v21 1882 games, 2256240 moves, e=0.010, loss: 68.8, -, 6.8% elo% vs. random_no_suicide, avg. reward: 0.473, 3.073 sec/game, 86.7 min. total, 807.7 MB
irritably_crown v21 1883 games, 2257805 moves, e=0.010, loss: 71.7, -, 6.7% elo% vs. random_no_suicide, avg. reward: 0.500, 3.095 sec/game, 86.8 min. total, 807.7 MB
irritably_crown v21 1884 games, 2259168 moves, e=0.010, loss: 73.4, -, 6.7% elo% vs. random_no_suicide, avg. reward: 0.518, 3.099 sec/game, 86.8 min. total, 808.0 MB
irritably_crown v21 1885 games, 2260516 moves, e=0.010, loss: 76.5, -, 6.6% elo% vs. random_no_suicide, avg. reward: 0.529, 3.084 sec/game, 86.9 min. total, 809.5 MB
irritably_crown v21 1886 games, 2261896 moves, e=0.010, loss: 73.9, -, 6.5% elo% vs. random_no_suicide, avg. reward: 0.532, 3.089 sec/game, 86.9 min. total, 810.7 MB
irritably_crown v21 1887 games, 2263336 moves, e=0.010, loss: 79.3, -, 6.4% elo% vs. random_no_suicide, avg. reward: 0.546, 3.095 sec/game, 87.0 min. total, 810.4 MB
irritably_crown v21 1888 games, 2264833 moves, e=0.010, loss: 74.5, -, 6.4% elo% vs. random_no_suicide, avg. reward: 0.559, 3.120 sec/game, 87.0 min. total, 810.7 MB
irritably_crown v21 1889 games, 2266280 moves, e=0.010, loss: 72.9, -, 6.3% elo% vs. random_no_suicide, avg. reward: 0.591, 3.122 sec/game, 87.1 min. total, 810.3 MB
irritably_crown v21 1890 games, 2267701 moves, e=0.010, loss: 78.2, -, 6.2% elo% vs. random_no_suicide, avg. reward: 0.596, 3.119 sec/game, 87.1 min. total, 811.0 MB
irritably_crown v21 1891 games, 2269169 moves, e=0.010, loss: 75.3, -, 6.2% elo% vs. random_no_suicide, avg. reward: 0.601, 3.119 sec/game, 87.2 min. total, 811.3 MB
irritably_crown v21 1892 games, 2270571 moves, e=0.010, loss: 76.3, -, 6.1% elo% vs. random_no_suicide, avg. reward: 0.606, 3.109 sec/game, 87.2 min. total, 813.5 MB
irritably_crown v21 1893 games, 2271979 moves, e=0.010, loss: 75.0, -, 6.0% elo% vs. random_no_suicide, avg. reward: 0.597, 3.123 sec/game, 87.3 min. total, 814.2 MB
irritably_crown v21 1894 games, 2273355 moves, e=0.010, loss: 72.6, -, 6.0% elo% vs. random_no_suicide, avg. reward: 0.598, 3.119 sec/game, 87.4 min. total, 815.0 MB
irritably_crown v21 1895 games, 2274777 moves, e=0.010, loss: 74.1, -, 5.9% elo% vs. random_no_suicide, avg. reward: 0.607, 3.118 sec/game, 87.4 min. total, 815.1 MB
irritably_crown v21 1896 games, 2276242 moves, e=0.010, loss: 74.3, -, 5.8% elo% vs. random_no_suicide, avg. reward: 0.619, 3.116 sec/game, 87.5 min. total, 815.1 MB
irritably_crown v21 1897 games, 2277707 moves, e=0.010, loss: 80.3, -, 5.8% elo% vs. random_no_suicide, avg. reward: 0.620, 3.114 sec/game, 87.5 min. total, 815.1 MB
irritably_crown v21 1898 games, 2279086 moves, e=0.010, loss: 75.6, -, 5.7% elo% vs. random_no_suicide, avg. reward: 0.616, 3.110 sec/game, 87.6 min. total, 815.1 MB
irritably_crown v21 1899 games, 2280460 moves, e=0.010, loss: 76.6, -, 5.7% elo% vs. random_no_suicide, avg. reward: 0.616, 3.109 sec/game, 87.6 min. total, 815.3 MB
irritably_crown v21 1900 games, 2281866 moves, e=0.010, loss: 73.2, -, 5.6% elo% vs. random_no_suicide, avg. reward: 0.608, 3.109 sec/game, 87.7 min. total, 817.2 MB
irritably_crown v22 1901 games, 2283346 moves, e=0.010, loss: 70.6, -, 47.7% elo% vs. random_no_suicide, avg. reward: 0.615, 3.115 sec/game, 87.7 min. total, 818.2 MB
irritably_crown v22 1902 games, 2284769 moves, e=0.010, loss: 68.7, -, 45.5% elo% vs. random_no_suicide, avg. reward: 0.609, 3.117 sec/game, 87.8 min. total, 818.3 MB
irritably_crown v22 1903 games, 2286133 moves, e=0.010, loss: 70.4, -, 43.4% elo% vs. random_no_suicide, avg. reward: 0.605, 3.094 sec/game, 87.8 min. total, 818.5 MB
irritably_crown v22 1904 games, 2287813 moves, e=0.010, loss: 65.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: 0.614, 3.125 sec/game, 87.9 min. total, 818.8 MB
irritably_crown v22 1905 games, 2289189 moves, e=0.010, loss: 66.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: 0.605, 3.127 sec/game, 87.9 min. total, 819.1 MB
irritably_crown v22 1906 games, 2290553 moves, e=0.010, loss: 60.5, -, 37.9% elo% vs. random_no_suicide, avg. reward: 0.597, 3.117 sec/game, 88.0 min. total, 819.2 MB
irritably_crown v22 1907 games, 2292012 moves, e=0.010, loss: 59.1, -, 36.3% elo% vs. random_no_suicide, avg. reward: 0.601, 3.121 sec/game, 88.0 min. total, 819.5 MB
irritably_crown v22 1908 games, 2293491 moves, e=0.010, loss: 56.2, -, 34.8% elo% vs. random_no_suicide, avg. reward: 0.613, 3.118 sec/game, 88.1 min. total, 818.7 MB
irritably_crown v22 1909 games, 2294766 moves, e=0.010, loss: 53.7, -, 33.3% elo% vs. random_no_suicide, avg. reward: 0.601, 3.105 sec/game, 88.1 min. total, 820.1 MB
irritably_crown v22 1910 games, 2296359 moves, e=0.010, loss: 49.4, -, 32.0% elo% vs. random_no_suicide, avg. reward: 0.612, 3.128 sec/game, 88.2 min. total, 820.0 MB
irritably_crown v22 1911 games, 2297448 moves, e=0.010, loss: 48.1, -, 30.7% elo% vs. random_no_suicide, avg. reward: 0.590, 3.094 sec/game, 88.2 min. total, 820.1 MB
irritably_crown v22 1912 games, 2298780 moves, e=0.010, loss: 49.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: 0.584, 3.091 sec/game, 88.3 min. total, 820.9 MB
irritably_crown v22 1913 games, 2300060 moves, e=0.010, loss: 51.4, -, 28.4% elo% vs. random_no_suicide, avg. reward: 0.568, 3.072 sec/game, 88.3 min. total, 820.9 MB
irritably_crown v22 1914 games, 2301520 moves, e=0.010, loss: 50.2, -, 27.3% elo% vs. random_no_suicide, avg. reward: 0.571, 3.075 sec/game, 88.4 min. total, 821.0 MB
irritably_crown v22 1915 games, 2302837 moves, e=0.010, loss: 47.2, -, 26.4% elo% vs. random_no_suicide, avg. reward: 0.564, 3.057 sec/game, 88.4 min. total, 822.8 MB
irritably_crown v22 1916 games, 2304348 moves, e=0.010, loss: 44.4, -, 25.4% elo% vs. random_no_suicide, avg. reward: 0.585, 3.065 sec/game, 88.5 min. total, 823.0 MB
irritably_crown v22 1917 games, 2305806 moves, e=0.010, loss: 41.3, -, 24.5% elo% vs. random_no_suicide, avg. reward: 0.597, 3.069 sec/game, 88.5 min. total, 822.6 MB
irritably_crown v22 1918 games, 2307230 moves, e=0.010, loss: 41.9, -, 23.7% elo% vs. random_no_suicide, avg. reward: 0.606, 3.072 sec/game, 88.6 min. total, 823.1 MB
irritably_crown v22 1919 games, 2308666 moves, e=0.010, loss: 40.1, -, 22.9% elo% vs. random_no_suicide, avg. reward: 0.610, 3.071 sec/game, 88.6 min. total, 822.7 MB
irritably_crown v22 1920 games, 2310135 moves, e=0.010, loss: 38.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: 0.616, 3.071 sec/game, 88.7 min. total, 823.4 MB
irritably_crown v22 1921 games, 2311504 moves, e=0.010, loss: 37.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: 0.624, 3.061 sec/game, 88.7 min. total, 823.6 MB
irritably_crown v22 1922 games, 2312848 moves, e=0.010, loss: 37.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: 0.620, 3.060 sec/game, 88.8 min. total, 824.9 MB
irritably_crown v22 1923 games, 2314229 moves, e=0.010, loss: 36.5, -, 20.2% elo% vs. random_no_suicide, avg. reward: 0.616, 3.050 sec/game, 88.8 min. total, 825.4 MB
irritably_crown v22 1924 games, 2315598 moves, e=0.010, loss: 38.2, -, 19.6% elo% vs. random_no_suicide, avg. reward: 0.619, 3.023 sec/game, 88.9 min. total, 825.9 MB
irritably_crown v22 1925 games, 2316901 moves, e=0.010, loss: 36.4, -, 19.1% elo% vs. random_no_suicide, avg. reward: 0.606, 3.012 sec/game, 88.9 min. total, 826.3 MB
irritably_crown v22 1926 games, 2318294 moves, e=0.010, loss: 37.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: 0.606, 3.024 sec/game, 89.0 min. total, 826.5 MB
irritably_crown v22 1927 games, 2319603 moves, e=0.010, loss: 39.4, -, 18.0% elo% vs. random_no_suicide, avg. reward: 0.596, 3.004 sec/game, 89.0 min. total, 825.9 MB
irritably_crown v22 1928 games, 2321041 moves, e=0.010, loss: 42.0, -, 17.5% elo% vs. random_no_suicide, avg. reward: 0.598, 3.007 sec/game, 89.1 min. total, 826.8 MB
irritably_crown v22 1929 games, 2322541 moves, e=0.010, loss: 43.0, -, 17.1% elo% vs. random_no_suicide, avg. reward: 0.602, 3.018 sec/game, 89.1 min. total, 826.9 MB
irritably_crown v22 1930 games, 2323960 moves, e=0.010, loss: 44.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: 0.599, 2.996 sec/game, 89.2 min. total, 828.4 MB
irritably_crown v22 1931 games, 2325408 moves, e=0.010, loss: 47.4, -, 16.2% elo% vs. random_no_suicide, avg. reward: 0.602, 3.039 sec/game, 89.2 min. total, 830.6 MB
irritably_crown v22 1932 games, 2326871 moves, e=0.010, loss: 47.7, -, 15.8% elo% vs. random_no_suicide, avg. reward: 0.595, 3.041 sec/game, 89.3 min. total, 830.5 MB
irritably_crown v22 1933 games, 2328350 moves, e=0.010, loss: 49.6, -, 15.4% elo% vs. random_no_suicide, avg. reward: 0.598, 3.066 sec/game, 89.3 min. total, 830.5 MB
irritably_crown v22 1934 games, 2329830 moves, e=0.010, loss: 51.0, -, 15.1% elo% vs. random_no_suicide, avg. reward: 0.606, 3.066 sec/game, 89.4 min. total, 830.4 MB
irritably_crown v22 1935 games, 2331328 moves, e=0.010, loss: 51.4, -, 14.7% elo% vs. random_no_suicide, avg. reward: 0.607, 3.095 sec/game, 89.5 min. total, 830.9 MB
irritably_crown v22 1936 games, 2332714 moves, e=0.010, loss: 50.0, -, 14.4% elo% vs. random_no_suicide, avg. reward: 0.598, 3.078 sec/game, 89.5 min. total, 831.1 MB
irritably_crown v22 1937 games, 2334137 moves, e=0.010, loss: 49.4, -, 14.0% elo% vs. random_no_suicide, avg. reward: 0.586, 3.073 sec/game, 89.6 min. total, 831.2 MB
irritably_crown v22 1938 games, 2335504 moves, e=0.010, loss: 48.8, -, 13.7% elo% vs. random_no_suicide, avg. reward: 0.583, 3.071 sec/game, 89.6 min. total, 831.2 MB
irritably_crown v22 1939 games, 2336843 moves, e=0.010, loss: 48.3, -, 13.4% elo% vs. random_no_suicide, avg. reward: 0.581, 3.062 sec/game, 89.7 min. total, 831.9 MB
irritably_crown v22 1940 games, 2338440 moves, e=0.010, loss: 42.6, -, 13.1% elo% vs. random_no_suicide, avg. reward: 0.593, 3.083 sec/game, 89.7 min. total, 831.8 MB
irritably_crown v22 1941 games, 2340038 moves, e=0.010, loss: 42.8, -, 12.9% elo% vs. random_no_suicide, avg. reward: 0.604, 3.103 sec/game, 89.8 min. total, 832.0 MB
irritably_crown v22 1942 games, 2341295 moves, e=0.010, loss: 43.0, -, 12.6% elo% vs. random_no_suicide, avg. reward: 0.596, 3.093 sec/game, 89.8 min. total, 832.3 MB
irritably_crown v22 1943 games, 2342659 moves, e=0.010, loss: 41.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: 0.589, 3.102 sec/game, 89.9 min. total, 832.6 MB
irritably_crown v22 1944 games, 2344122 moves, e=0.010, loss: 41.2, -, 12.1% elo% vs. random_no_suicide, avg. reward: 0.590, 3.104 sec/game, 89.9 min. total, 833.1 MB
irritably_crown v22 1945 games, 2345629 moves, e=0.010, loss: 41.9, -, 11.9% elo% vs. random_no_suicide, avg. reward: 0.604, 3.126 sec/game, 90.0 min. total, 834.5 MB
irritably_crown v22 1946 games, 2347022 moves, e=0.010, loss: 41.8, -, 11.7% elo% vs. random_no_suicide, avg. reward: 0.593, 3.123 sec/game, 90.0 min. total, 834.0 MB
irritably_crown v22 1947 games, 2348371 moves, e=0.010, loss: 43.2, -, 11.4% elo% vs. random_no_suicide, avg. reward: 0.591, 3.124 sec/game, 90.1 min. total, 834.7 MB
irritably_crown v22 1948 games, 2349797 moves, e=0.010, loss: 43.2, -, 11.2% elo% vs. random_no_suicide, avg. reward: 0.597, 3.110 sec/game, 90.1 min. total, 834.7 MB
irritably_crown v22 1949 games, 2351314 moves, e=0.010, loss: 46.6, -, 11.0% elo% vs. random_no_suicide, avg. reward: 0.608, 3.123 sec/game, 90.2 min. total, 834.5 MB
irritably_crown v22 1950 games, 2352599 moves, e=0.010, loss: 45.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: 0.603, 3.112 sec/game, 90.2 min. total, 834.7 MB
irritably_crown v22 1951 games, 2353985 moves, e=0.010, loss: 49.9, -, 10.6% elo% vs. random_no_suicide, avg. reward: 0.591, 3.101 sec/game, 90.3 min. total, 835.0 MB
irritably_crown v22 1952 games, 2355477 moves, e=0.010, loss: 50.5, -, 10.4% elo% vs. random_no_suicide, avg. reward: 0.595, 3.113 sec/game, 90.3 min. total, 836.0 MB
irritably_crown v22 1953 games, 2356736 moves, e=0.010, loss: 49.8, -, 10.3% elo% vs. random_no_suicide, avg. reward: 0.589, 3.086 sec/game, 90.4 min. total, 836.0 MB
irritably_crown v22 1954 games, 2358221 moves, e=0.010, loss: 47.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 0.585, 3.084 sec/game, 90.4 min. total, 836.9 MB
irritably_crown v22 1955 games, 2359635 moves, e=0.010, loss: 44.8, -, 9.9% elo% vs. random_no_suicide, avg. reward: 0.584, 3.066 sec/game, 90.5 min. total, 836.7 MB
irritably_crown v22 1956 games, 2360955 moves, e=0.010, loss: 44.2, -, 9.8% elo% vs. random_no_suicide, avg. reward: 0.571, 3.053 sec/game, 90.5 min. total, 837.0 MB
irritably_crown v22 1957 games, 2362360 moves, e=0.010, loss: 43.8, -, 9.6% elo% vs. random_no_suicide, avg. reward: 0.562, 3.050 sec/game, 90.6 min. total, 837.2 MB
irritably_crown v22 1958 games, 2363770 moves, e=0.010, loss: 42.3, -, 9.5% elo% vs. random_no_suicide, avg. reward: 0.555, 3.065 sec/game, 90.6 min. total, 837.6 MB
irritably_crown v22 1959 games, 2365247 moves, e=0.010, loss: 44.1, -, 9.3% elo% vs. random_no_suicide, avg. reward: 0.566, 3.080 sec/game, 90.7 min. total, 839.4 MB
irritably_crown v22 1960 games, 2366662 moves, e=0.010, loss: 45.5, -, 9.2% elo% vs. random_no_suicide, avg. reward: 0.568, 3.062 sec/game, 90.7 min. total, 839.8 MB
irritably_crown v22 1961 games, 2368051 moves, e=0.010, loss: 44.6, -, 9.0% elo% vs. random_no_suicide, avg. reward: 0.558, 3.044 sec/game, 90.8 min. total, 840.7 MB
irritably_crown v22 1962 games, 2369433 moves, e=0.010, loss: 43.5, -, 8.9% elo% vs. random_no_suicide, avg. reward: 0.544, 3.053 sec/game, 90.8 min. total, 840.8 MB
irritably_crown v22 1963 games, 2370772 moves, e=0.010, loss: 41.9, -, 8.8% elo% vs. random_no_suicide, avg. reward: 0.533, 3.042 sec/game, 90.9 min. total, 840.5 MB
irritably_crown v22 1964 games, 2372096 moves, e=0.010, loss: 40.5, -, 8.6% elo% vs. random_no_suicide, avg. reward: 0.530, 3.040 sec/game, 90.9 min. total, 841.1 MB
irritably_crown v22 1965 games, 2373470 moves, e=0.010, loss: 38.1, -, 8.5% elo% vs. random_no_suicide, avg. reward: 0.527, 3.019 sec/game, 91.0 min. total, 841.1 MB
irritably_crown v22 1966 games, 2375316 moves, e=0.010, loss: 38.6, -, 8.4% elo% vs. random_no_suicide, avg. reward: 0.531, 3.061 sec/game, 91.0 min. total, 841.4 MB
irritably_crown v22 1967 games, 2376879 moves, e=0.010, loss: 38.7, -, 8.3% elo% vs. random_no_suicide, avg. reward: 0.540, 3.085 sec/game, 91.1 min. total, 843.0 MB
irritably_crown v22 1968 games, 2377949 moves, e=0.010, loss: 38.5, -, 8.1% elo% vs. random_no_suicide, avg. reward: 0.515, 3.057 sec/game, 91.1 min. total, 842.9 MB
irritably_crown v22 1969 games, 2379197 moves, e=0.010, loss: 37.7, -, 8.0% elo% vs. random_no_suicide, avg. reward: 0.493, 3.040 sec/game, 91.2 min. total, 843.5 MB
irritably_crown v22 1970 games, 2380738 moves, e=0.010, loss: 37.7, -, 7.9% elo% vs. random_no_suicide, avg. reward: 0.499, 3.060 sec/game, 91.2 min. total, 843.8 MB
irritably_crown v22 1971 games, 2382154 moves, e=0.010, loss: 34.7, -, 7.8% elo% vs. random_no_suicide, avg. reward: 0.499, 3.071 sec/game, 91.3 min. total, 844.8 MB
irritably_crown v22 1972 games, 2383531 moves, e=0.010, loss: 33.6, -, 7.7% elo% vs. random_no_suicide, avg. reward: 0.495, 3.061 sec/game, 91.4 min. total, 844.7 MB
irritably_crown v22 1973 games, 2384831 moves, e=0.010, loss: 35.3, -, 7.6% elo% vs. random_no_suicide, avg. reward: 0.490, 3.073 sec/game, 91.4 min. total, 844.8 MB
irritably_crown v22 1974 games, 2386335 moves, e=0.010, loss: 35.5, -, 7.5% elo% vs. random_no_suicide, avg. reward: 0.492, 3.084 sec/game, 91.5 min. total, 846.1 MB
irritably_crown v22 1975 games, 2387733 moves, e=0.010, loss: 35.2, -, 7.4% elo% vs. random_no_suicide, avg. reward: 0.485, 3.082 sec/game, 91.5 min. total, 844.9 MB
irritably_crown v22 1976 games, 2389246 moves, e=0.010, loss: 34.2, -, 7.3% elo% vs. random_no_suicide, avg. reward: 0.490, 3.098 sec/game, 91.6 min. total, 846.8 MB
irritably_crown v22 1977 games, 2390676 moves, e=0.010, loss: 32.9, -, 7.2% elo% vs. random_no_suicide, avg. reward: 0.484, 3.106 sec/game, 91.6 min. total, 846.8 MB
irritably_crown v22 1978 games, 2392071 moves, e=0.010, loss: 33.8, -, 7.2% elo% vs. random_no_suicide, avg. reward: 0.477, 3.091 sec/game, 91.7 min. total, 846.9 MB
irritably_crown v22 1979 games, 2393459 moves, e=0.010, loss: 34.1, -, 7.1% elo% vs. random_no_suicide, avg. reward: 0.467, 3.073 sec/game, 91.7 min. total, 847.2 MB
irritably_crown v22 1980 games, 2394867 moves, e=0.010, loss: 34.9, -, 7.0% elo% vs. random_no_suicide, avg. reward: 0.467, 3.069 sec/game, 91.8 min. total, 847.3 MB
irritably_crown v22 1981 games, 2396228 moves, e=0.010, loss: 34.9, -, 6.9% elo% vs. random_no_suicide, avg. reward: 0.455, 3.067 sec/game, 91.8 min. total, 848.2 MB
irritably_crown v22 1982 games, 2397633 moves, e=0.010, loss: 34.2, -, 6.8% elo% vs. random_no_suicide, avg. reward: 0.448, 3.070 sec/game, 91.9 min. total, 850.2 MB
irritably_crown v22 1983 games, 2399093 moves, e=0.010, loss: 33.9, -, 6.7% elo% vs. random_no_suicide, avg. reward: 0.434, 3.090 sec/game, 91.9 min. total, 849.2 MB
irritably_crown v22 1984 games, 2400508 moves, e=0.010, loss: 33.0, -, 6.7% elo% vs. random_no_suicide, avg. reward: 0.435, 3.092 sec/game, 92.0 min. total, 849.3 MB
irritably_crown v22 1985 games, 2401903 moves, e=0.010, loss: 32.1, -, 6.6% elo% vs. random_no_suicide, avg. reward: 0.437, 3.103 sec/game, 92.0 min. total, 849.5 MB
irritably_crown v22 1986 games, 2403333 moves, e=0.010, loss: 31.0, -, 6.5% elo% vs. random_no_suicide, avg. reward: 0.440, 3.064 sec/game, 92.1 min. total, 849.3 MB
irritably_crown v22 1987 games, 2404858 moves, e=0.010, loss: 31.2, -, 6.4% elo% vs. random_no_suicide, avg. reward: 0.449, 3.055 sec/game, 92.1 min. total, 849.2 MB
irritably_crown v22 1988 games, 2406289 moves, e=0.010, loss: 33.4, -, 6.4% elo% vs. random_no_suicide, avg. reward: 0.441, 3.092 sec/game, 92.2 min. total, 849.9 MB
irritably_crown v22 1989 games, 2407730 moves, e=0.010, loss: 36.7, -, 6.3% elo% vs. random_no_suicide, avg. reward: 0.442, 3.097 sec/game, 92.2 min. total, 850.8 MB
irritably_crown v22 1990 games, 2409126 moves, e=0.010, loss: 40.1, -, 6.2% elo% vs. random_no_suicide, avg. reward: 0.439, 3.094 sec/game, 92.3 min. total, 852.2 MB
irritably_crown v22 1991 games, 2410561 moves, e=0.010, loss: 45.1, -, 6.2% elo% vs. random_no_suicide, avg. reward: 0.435, 3.087 sec/game, 92.3 min. total, 852.9 MB
irritably_crown v22 1992 games, 2412001 moves, e=0.010, loss: 51.5, -, 6.1% elo% vs. random_no_suicide, avg. reward: 0.438, 3.088 sec/game, 92.4 min. total, 852.9 MB
irritably_crown v22 1993 games, 2413390 moves, e=0.010, loss: 60.5, -, 6.0% elo% vs. random_no_suicide, avg. reward: 0.438, 3.090 sec/game, 92.4 min. total, 853.7 MB
irritably_crown v22 1994 games, 2414756 moves, e=0.010, loss: 63.6, -, 6.0% elo% vs. random_no_suicide, avg. reward: 0.435, 3.089 sec/game, 92.5 min. total, 853.2 MB
irritably_crown v22 1995 games, 2416102 moves, e=0.010, loss: 65.9, -, 5.9% elo% vs. random_no_suicide, avg. reward: 0.433, 3.082 sec/game, 92.5 min. total, 853.7 MB
irritably_crown v22 1996 games, 2417466 moves, e=0.010, loss: 71.8, -, 5.8% elo% vs. random_no_suicide, avg. reward: 0.423, 3.081 sec/game, 92.6 min. total, 853.9 MB
irritably_crown v22 1997 games, 2418791 moves, e=0.010, loss: 74.0, -, 5.8% elo% vs. random_no_suicide, avg. reward: 0.415, 3.062 sec/game, 92.6 min. total, 855.1 MB
irritably_crown v22 1998 games, 2420210 moves, e=0.010, loss: 72.6, -, 5.7% elo% vs. random_no_suicide, avg. reward: 0.418, 3.067 sec/game, 92.7 min. total, 855.7 MB
irritably_crown v22 1999 games, 2421601 moves, e=0.010, loss: 67.5, -, 5.7% elo% vs. random_no_suicide, avg. reward: 0.418, 3.076 sec/game, 92.7 min. total, 856.2 MB
irritably_crown v22 2000 games, 2423031 moves, e=0.010, loss: 66.3, -, 5.6% elo% vs. random_no_suicide, avg. reward: 0.421, 3.077 sec/game, 92.8 min. total, 856.5 MB
irritably_crown v23 2001 games, 2424406 moves, e=0.010, loss: 61.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: 0.417, 3.087 sec/game, 92.8 min. total, 856.9 MB
