presuming_occupancy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
presuming_occupancy v2 35 games, 25004 moves, e=0.975, loss: 11.1, +, 70.5% elo% vs. guard_bot, avg. reward: -16.439, 1.887 sec/game, 0.8 min. total, 456.2 MB
presuming_occupancy v2 36 games, 25705 moves, e=0.975, loss: 11.5, +, 71.6% elo% vs. guard_bot, avg. reward: -16.459, 1.887 sec/game, 0.8 min. total, 455.1 MB
presuming_occupancy v2 37 games, 26404 moves, e=0.974, loss: 11.5, +, 72.7% elo% vs. guard_bot, avg. reward: -16.418, 1.909 sec/game, 0.8 min. total, 456.7 MB
presuming_occupancy v2 38 games, 27111 moves, e=0.973, loss: 11.7, ., 71.8% elo% vs. guard_bot, avg. reward: -16.440, 1.916 sec/game, 0.9 min. total, 457.3 MB
presuming_occupancy v2 39 games, 27834 moves, e=0.972, loss: 12.1, +, 72.9% elo% vs. guard_bot, avg. reward: -16.465, 1.916 sec/game, 0.9 min. total, 458.7 MB
presuming_occupancy v2 40 games, 28523 moves, e=0.972, loss: 12.3, +, 73.8% elo% vs. guard_bot, avg. reward: -16.456, 1.907 sec/game, 0.9 min. total, 459.3 MB
presuming_occupancy v2 41 games, 29261 moves, e=0.971, loss: 12.2, ., 73.0% elo% vs. guard_bot, avg. reward: -16.421, 1.913 sec/game, 1.0 min. total, 458.4 MB
presuming_occupancy v2 42 games, 29962 moves, e=0.970, loss: 12.2, ., 72.1% elo% vs. guard_bot, avg. reward: -16.412, 1.914 sec/game, 1.0 min. total, 460.8 MB
presuming_occupancy v2 43 games, 30725 moves, e=0.970, loss: 12.1, +, 73.2% elo% vs. guard_bot, avg. reward: -16.426, 1.927 sec/game, 1.0 min. total, 462.1 MB
presuming_occupancy v2 44 games, 31473 moves, e=0.969, loss: 12.1, +, 74.1% elo% vs. guard_bot, avg. reward: -16.412, 1.931 sec/game, 1.1 min. total, 460.7 MB
presuming_occupancy v2 45 games, 32268 moves, e=0.968, loss: 12.0, +, 75.0% elo% vs. guard_bot, avg. reward: -16.387, 1.942 sec/game, 1.1 min. total, 464.1 MB
presuming_occupancy v2 46 games, 32980 moves, e=0.967, loss: 12.5, +, 75.9% elo% vs. guard_bot, avg. reward: -16.405, 1.926 sec/game, 1.1 min. total, 464.0 MB
presuming_occupancy v2 47 games, 33603 moves, e=0.967, loss: 12.8, -, 73.2% elo% vs. guard_bot, avg. reward: -16.432, 1.899 sec/game, 1.1 min. total, 464.2 MB
presuming_occupancy v2 48 games, 34192 moves, e=0.966, loss: 12.3, -, 70.5% elo% vs. guard_bot, avg. reward: -16.425, 1.876 sec/game, 1.2 min. total, 464.3 MB
presuming_occupancy v2 49 games, 34741 moves, e=0.966, loss: 12.3, -, 67.7% elo% vs. guard_bot, avg. reward: -16.462, 1.856 sec/game, 1.2 min. total, 464.3 MB
presuming_occupancy v2 50 games, 35428 moves, e=0.965, loss: 12.2, -, 64.9% elo% vs. guard_bot, avg. reward: -16.441, 1.830 sec/game, 1.2 min. total, 464.4 MB
presuming_occupancy v2 51 games, 35910 moves, e=0.964, loss: 11.7, -, 62.2% elo% vs. guard_bot, avg. reward: -16.551, 1.795 sec/game, 1.2 min. total, 464.5 MB
presuming_occupancy v2 52 games, 36466 moves, e=0.964, loss: 11.1, -, 59.4% elo% vs. guard_bot, avg. reward: -16.592, 1.778 sec/game, 1.3 min. total, 464.5 MB
presuming_occupancy v2 53 games, 37014 moves, e=0.963, loss: 10.1, -, 56.8% elo% vs. guard_bot, avg. reward: -16.644, 1.753 sec/game, 1.3 min. total, 464.6 MB
presuming_occupancy v2 54 games, 37622 moves, e=0.963, loss: 10.2, -, 54.2% elo% vs. guard_bot, avg. reward: -16.653, 1.714 sec/game, 1.3 min. total, 464.6 MB
presuming_occupancy v2 55 games, 38147 moves, e=0.962, loss: 10.0, -, 51.7% elo% vs. guard_bot, avg. reward: -16.703, 1.690 sec/game, 1.3 min. total, 463.3 MB
presuming_occupancy v2 56 games, 38844 moves, e=0.962, loss: 9.9, -, 49.3% elo% vs. guard_bot, avg. reward: -16.713, 1.680 sec/game, 1.4 min. total, 464.8 MB
presuming_occupancy v2 57 games, 39423 moves, e=0.961, loss: 10.0, -, 47.1% elo% vs. guard_bot, avg. reward: -16.743, 1.644 sec/game, 1.4 min. total, 465.0 MB
presuming_occupancy v2 58 games, 40032 moves, e=0.960, loss: 10.4, -, 44.9% elo% vs. guard_bot, avg. reward: -16.748, 1.641 sec/game, 1.4 min. total, 466.2 MB
presuming_occupancy v2 59 games, 40682 moves, e=0.960, loss: 10.2, -, 42.9% elo% vs. guard_bot, avg. reward: -16.745, 1.627 sec/game, 1.4 min. total, 465.9 MB
presuming_occupancy v2 60 games, 41236 moves, e=0.959, loss: 9.8, -, 40.9% elo% vs. guard_bot, avg. reward: -16.787, 1.625 sec/game, 1.5 min. total, 466.2 MB
