wiring_happiest v2 35 games, 25060 moves, e=0.975, loss: 5.9, ., 52.2% elo% vs. guard_bot, avg. reward: -8.488, 1.374 sec/game, 0.5 min. total, 453.2 MB
wiring_happiest v2 36 games, 25691 moves, e=0.975, loss: 6.3, ., 52.1% elo% vs. guard_bot, avg. reward: -8.512, 1.358 sec/game, 0.6 min. total, 453.3 MB
wiring_happiest v2 37 games, 26443 moves, e=0.974, loss: 6.3, ., 52.0% elo% vs. guard_bot, avg. reward: -8.495, 1.340 sec/game, 0.6 min. total, 453.5 MB
wiring_happiest v2 38 games, 27154 moves, e=0.973, loss: 6.6, ., 51.9% elo% vs. guard_bot, avg. reward: -8.494, 1.335 sec/game, 0.6 min. total, 453.6 MB
wiring_happiest v2 39 games, 27867 moves, e=0.972, loss: 6.5, ., 51.8% elo% vs. guard_bot, avg. reward: -8.494, 1.332 sec/game, 0.6 min. total, 453.7 MB
wiring_happiest v2 40 games, 28601 moves, e=0.972, loss: 6.8, ., 51.7% elo% vs. guard_bot, avg. reward: -8.485, 1.334 sec/game, 0.6 min. total, 453.7 MB
wiring_happiest v2 41 games, 29288 moves, e=0.971, loss: 6.9, +, 53.9% elo% vs. guard_bot, avg. reward: -8.487, 1.313 sec/game, 0.7 min. total, 453.4 MB
wiring_happiest v2 42 games, 29999 moves, e=0.970, loss: 6.7, +, 56.0% elo% vs. guard_bot, avg. reward: -8.487, 1.308 sec/game, 0.7 min. total, 449.1 MB
wiring_happiest v2 43 games, 30708 moves, e=0.970, loss: 6.4, +, 58.0% elo% vs. guard_bot, avg. reward: -8.485, 1.291 sec/game, 0.7 min. total, 449.7 MB
wiring_happiest v2 44 games, 31443 moves, e=0.969, loss: 6.7, +, 59.9% elo% vs. guard_bot, avg. reward: -8.480, 1.295 sec/game, 0.7 min. total, 451.9 MB
wiring_happiest v2 45 games, 32259 moves, e=0.968, loss: 6.0, ., 59.5% elo% vs. guard_bot, avg. reward: -8.453, 1.303 sec/game, 0.8 min. total, 455.1 MB
wiring_happiest v2 46 games, 32993 moves, e=0.967, loss: 5.7, ., 59.0% elo% vs. guard_bot, avg. reward: -8.448, 1.307 sec/game, 0.8 min. total, 456.8 MB
wiring_happiest v2 47 games, 33795 moves, e=0.967, loss: 6.0, ., 58.6% elo% vs. guard_bot, avg. reward: -8.424, 1.326 sec/game, 0.8 min. total, 458.7 MB
wiring_happiest v2 48 games, 34491 moves, e=0.966, loss: 6.1, ., 58.3% elo% vs. guard_bot, avg. reward: -8.432, 1.326 sec/game, 0.8 min. total, 460.1 MB
wiring_happiest v2 49 games, 35265 moves, e=0.965, loss: 5.9, +, 60.1% elo% vs. guard_bot, avg. reward: -8.417, 1.337 sec/game, 0.8 min. total, 457.0 MB
wiring_happiest v2 50 games, 35967 moves, e=0.964, loss: 5.9, ., 59.7% elo% vs. guard_bot, avg. reward: -8.425, 1.337 sec/game, 0.9 min. total, 463.8 MB
wiring_happiest v2 51 games, 36652 moves, e=0.964, loss: 5.8, +, 61.4% elo% vs. guard_bot, avg. reward: -8.440, 1.335 sec/game, 0.9 min. total, 465.8 MB
wiring_happiest v2 52 games, 37419 moves, e=0.963, loss: 6.0, +, 63.1% elo% vs. guard_bot, avg. reward: -8.428, 1.340 sec/game, 0.9 min. total, 461.6 MB
wiring_happiest v2 53 games, 38083 moves, e=0.962, loss: 6.0, +, 64.7% elo% vs. guard_bot, avg. reward: -8.442, 1.320 sec/game, 0.9 min. total, 463.7 MB
wiring_happiest v2 54 games, 38771 moves, e=0.962, loss: 5.8, +, 66.1% elo% vs. guard_bot, avg. reward: -8.452, 1.310 sec/game, 1.0 min. total, 466.2 MB
wiring_happiest v2 55 games, 39516 moves, e=0.961, loss: 5.9, +, 67.5% elo% vs. guard_bot, avg. reward: -8.443, 1.313 sec/game, 1.0 min. total, 461.7 MB
wiring_happiest v2 56 games, 40150 moves, e=0.960, loss: 6.0, +, 68.8% elo% vs. guard_bot, avg. reward: -8.468, 1.314 sec/game, 1.0 min. total, 461.8 MB
wiring_happiest v2 57 games, 40772 moves, e=0.960, loss: 6.2, +, 70.0% elo% vs. guard_bot, avg. reward: -8.492, 1.305 sec/game, 1.0 min. total, 463.9 MB
wiring_happiest v3 58 games, 41506 moves, e=0.959, loss: 5.8, -, 49.9% elo% vs. random_no_suicide, avg. reward: -8.480, 1.303 sec/game, 1.0 min. total, 462.0 MB
wiring_happiest v3 59 games, 42211 moves, e=0.958, loss: 5.8, -, 47.6% elo% vs. random_no_suicide, avg. reward: -8.476, 1.305 sec/game, 1.1 min. total, 462.0 MB
wiring_happiest v3 60 games, 42937 moves, e=0.957, loss: 5.5, -, 45.4% elo% vs. random_no_suicide, avg. reward: -8.476, 1.308 sec/game, 1.1 min. total, 462.1 MB
wiring_happiest v3 61 games, 43672 moves, e=0.957, loss: 5.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: -8.470, 1.319 sec/game, 1.1 min. total, 463.0 MB
wiring_happiest v3 62 games, 44247 moves, e=0.956, loss: 5.0, -, 41.4% elo% vs. random_no_suicide, avg. reward: -8.502, 1.295 sec/game, 1.1 min. total, 464.4 MB
wiring_happiest v3 63 games, 44978 moves, e=0.955, loss: 5.3, -, 39.6% elo% vs. random_no_suicide, avg. reward: -8.500, 1.306 sec/game, 1.1 min. total, 468.8 MB
wiring_happiest v3 64 games, 45674 moves, e=0.955, loss: 5.0, -, 37.8% elo% vs. random_no_suicide, avg. reward: -8.507, 1.298 sec/game, 1.2 min. total, 466.2 MB
wiring_happiest v3 65 games, 46399 moves, e=0.954, loss: 5.3, -, 36.2% elo% vs. random_no_suicide, avg. reward: -8.503, 1.288 sec/game, 1.2 min. total, 468.3 MB
wiring_happiest v3 66 games, 47118 moves, e=0.953, loss: 5.4, -, 34.7% elo% vs. random_no_suicide, avg. reward: -8.502, 1.298 sec/game, 1.2 min. total, 470.8 MB
wiring_happiest v3 67 games, 47922 moves, e=0.953, loss: 5.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: -8.486, 1.289 sec/game, 1.2 min. total, 470.9 MB
wiring_happiest v3 68 games, 48586 moves, e=0.952, loss: 5.3, -, 31.9% elo% vs. random_no_suicide, avg. reward: -8.499, 1.290 sec/game, 1.3 min. total, 470.5 MB
wiring_happiest v3 69 games, 49207 moves, e=0.951, loss: 5.1, -, 30.6% elo% vs. random_no_suicide, avg. reward: -8.520, 1.281 sec/game, 1.3 min. total, 470.7 MB
