borough_erupt v1 37 games, 26263 moves, e=0.974, loss: nan, -, 45.2% elo% vs. v0, avg. reward: -9.932, 0.271 sec/game, 0.2 min. total, 425.7 MB
borough_erupt v1 38 games, 26934 moves, e=0.973, loss: nan, -, 43.1% elo% vs. v0, avg. reward: -9.937, 0.265 sec/game, 0.2 min. total, 426.7 MB
borough_erupt v1 39 games, 27564 moves, e=0.973, loss: nan, -, 41.2% elo% vs. v0, avg. reward: -9.977, 0.267 sec/game, 0.2 min. total, 428.0 MB
borough_erupt v1 40 games, 28281 moves, e=0.972, loss: nan, +, 43.8% elo% vs. v0, avg. reward: -9.967, 0.270 sec/game, 0.2 min. total, 429.7 MB
borough_erupt v1 41 games, 28927 moves, e=0.971, loss: nan, +, 46.4% elo% vs. v0, avg. reward: -9.987, 0.271 sec/game, 0.2 min. total, 431.2 MB
borough_erupt v1 42 games, 29646 moves, e=0.971, loss: nan, ., 46.5% elo% vs. v0, avg. reward: -9.978, 0.273 sec/game, 0.2 min. total, 432.7 MB
borough_erupt v1 43 games, 30339 moves, e=0.970, loss: nan, -, 44.4% elo% vs. v0, avg. reward: -9.980, 0.275 sec/game, 0.2 min. total, 434.9 MB
borough_erupt v1 44 games, 30933 moves, e=0.969, loss: nan, -, 42.4% elo% vs. v0, avg. reward: -10.027, 0.274 sec/game, 0.2 min. total, 436.7 MB
borough_erupt v1 45 games, 31672 moves, e=0.969, loss: nan, -, 40.5% elo% vs. v0, avg. reward: -10.014, 0.278 sec/game, 0.2 min. total, 439.1 MB
borough_erupt v1 46 games, 32470 moves, e=0.968, loss: nan, +, 43.2% elo% vs. v0, avg. reward: -9.981, 0.283 sec/game, 0.2 min. total, 442.1 MB
borough_erupt v1 47 games, 33176 moves, e=0.967, loss: nan, +, 45.8% elo% vs. v0, avg. reward: -9.980, 0.284 sec/game, 0.2 min. total, 445.2 MB
borough_erupt v1 48 games, 34020 moves, e=0.966, loss: nan, -, 43.7% elo% vs. v0, avg. reward: -9.941, 0.287 sec/game, 0.2 min. total, 449.8 MB
borough_erupt v1 49 games, 34805 moves, e=0.966, loss: nan, -, 41.7% elo% vs. v0, avg. reward: -9.914, 0.291 sec/game, 0.2 min. total, 454.1 MB
borough_erupt v1 50 games, 35518 moves, e=0.965, loss: nan, ., 42.1% elo% vs. v0, avg. reward: -9.914, 0.294 sec/game, 0.2 min. total, 457.8 MB
borough_erupt v1 51 games, 36246 moves, e=0.964, loss: nan, ., 42.4% elo% vs. v0, avg. reward: -9.908, 0.294 sec/game, 0.2 min. total, 461.2 MB
borough_erupt v1 52 games, 36999 moves, e=0.963, loss: nan, ., 42.8% elo% vs. v0, avg. reward: -9.888, 0.296 sec/game, 0.2 min. total, 465.1 MB
borough_erupt v1 53 games, 37667 moves, e=0.963, loss: nan, -, 40.9% elo% vs. v0, avg. reward: -9.890, 0.298 sec/game, 0.2 min. total, 468.5 MB
borough_erupt v1 54 games, 38427 moves, e=0.962, loss: nan, +, 43.5% elo% vs. v0, avg. reward: -9.877, 0.300 sec/game, 0.2 min. total, 468.6 MB
borough_erupt v1 55 games, 39221 moves, e=0.961, loss: nan, +, 46.1% elo% vs. v0, avg. reward: -9.855, 0.300 sec/game, 0.2 min. total, 469.4 MB
borough_erupt v1 56 games, 39970 moves, e=0.960, loss: nan, ., 46.3% elo% vs. v0, avg. reward: -9.853, 0.302 sec/game, 0.3 min. total, 471.1 MB
borough_erupt v1 57 games, 40772 moves, e=0.960, loss: nan, +, 48.7% elo% vs. v0, avg. reward: -9.831, 0.305 sec/game, 0.3 min. total, 473.3 MB
borough_erupt v1 58 games, 41479 moves, e=0.959, loss: nan, -, 46.5% elo% vs. v0, avg. reward: -9.837, 0.307 sec/game, 0.3 min. total, 474.8 MB
borough_erupt v1 59 games, 42272 moves, e=0.958, loss: nan, ., 46.7% elo% vs. v0, avg. reward: -9.817, 0.309 sec/game, 0.3 min. total, 476.5 MB
borough_erupt v1 60 games, 43109 moves, e=0.957, loss: nan, ., 46.8% elo% vs. v0, avg. reward: -9.795, 0.310 sec/game, 0.3 min. total, 478.7 MB
borough_erupt v1 61 games, 43823 moves, e=0.957, loss: nan, +, 49.3% elo% vs. v0, avg. reward: -9.795, 0.310 sec/game, 0.3 min. total, 480.6 MB
borough_erupt v1 62 games, 44573 moves, e=0.956, loss: nan, +, 51.6% elo% vs. v0, avg. reward: -9.786, 0.311 sec/game, 0.3 min. total, 482.7 MB
borough_erupt v1 63 games, 45343 moves, e=0.955, loss: nan, +, 53.8% elo% vs. v0, avg. reward: -9.772, 0.313 sec/game, 0.3 min. total, 485.7 MB
borough_erupt v1 64 games, 46112 moves, e=0.954, loss: nan, +, 55.9% elo% vs. v0, avg. reward: -9.755, 0.318 sec/game, 0.3 min. total, 488.4 MB
borough_erupt v1 65 games, 46886 moves, e=0.954, loss: nan, +, 57.9% elo% vs. v0, avg. reward: -9.746, 0.316 sec/game, 0.3 min. total, 492.0 MB
borough_erupt v1 66 games, 47638 moves, e=0.953, loss: nan, -, 55.3% elo% vs. v0, avg. reward: -9.738, 0.315 sec/game, 0.3 min. total, 495.8 MB
borough_erupt v1 67 games, 48259 moves, e=0.952, loss: nan, -, 52.8% elo% vs. v0, avg. reward: -9.764, 0.315 sec/game, 0.3 min. total, 500.2 MB
borough_erupt v1 68 games, 49073 moves, e=0.951, loss: nan, +, 54.9% elo% vs. v0, avg. reward: -9.748, 0.316 sec/game, 0.3 min. total, 503.9 MB
borough_erupt v1 69 games, 49794 moves, e=0.951, loss: nan, +, 57.0% elo% vs. v0, avg. reward: -9.749, 0.314 sec/game, 0.3 min. total, 507.4 MB
borough_erupt v1 70 games, 50697 moves, e=0.950, loss: nan, -, 54.4% elo% vs. v0, avg. reward: -9.715, 0.327 sec/game, 0.3 min. total, 508.9 MB
borough_erupt v1 71 games, 51446 moves, e=0.949, loss: nan, +, 56.5% elo% vs. v0, avg. reward: -9.710, 0.331 sec/game, 0.3 min. total, 510.1 MB
borough_erupt v1 72 games, 52217 moves, e=0.948, loss: nan, +, 58.4% elo% vs. v0, avg. reward: -9.701, 0.332 sec/game, 0.3 min. total, 511.8 MB
borough_erupt v1 73 games, 52881 moves, e=0.948, loss: nan, +, 60.3% elo% vs. v0, avg. reward: -9.709, 0.332 sec/game, 0.3 min. total, 513.3 MB
borough_erupt v1 74 games, 53640 moves, e=0.947, loss: nan, -, 57.6% elo% vs. v0, avg. reward: -9.704, 0.335 sec/game, 0.4 min. total, 515.1 MB
borough_erupt v1 75 games, 54423 moves, e=0.946, loss: nan, +, 59.5% elo% vs. v0, avg. reward: -9.699, 0.339 sec/game, 0.4 min. total, 517.1 MB
borough_erupt v1 76 games, 55198 moves, e=0.945, loss: nan, -, 56.8% elo% vs. v0, avg. reward: -9.694, 0.342 sec/game, 0.4 min. total, 518.7 MB
borough_erupt v1 77 games, 55892 moves, e=0.945, loss: nan, +, 58.8% elo% vs. v0, avg. reward: -9.705, 0.341 sec/game, 0.4 min. total, 520.6 MB
borough_erupt v1 78 games, 56560 moves, e=0.944, loss: nan, -, 56.1% elo% vs. v0, avg. reward: -9.718, 0.342 sec/game, 0.4 min. total, 522.1 MB
borough_erupt v1 79 games, 57375 moves, e=0.943, loss: nan, ., 55.8% elo% vs. v0, avg. reward: -9.706, 0.344 sec/game, 0.4 min. total, 524.4 MB
borough_erupt v1 80 games, 58104 moves, e=0.942, loss: nan, -, 53.3% elo% vs. v0, avg. reward: -9.699, 0.343 sec/game, 0.4 min. total, 527.1 MB
borough_erupt v1 81 games, 58977 moves, e=0.942, loss: nan, +, 55.4% elo% vs. v0, avg. reward: -9.672, 0.354 sec/game, 0.4 min. total, 530.6 MB
borough_erupt v1 82 games, 59695 moves, e=0.941, loss: nan, +, 57.4% elo% vs. v0, avg. reward: -9.675, 0.354 sec/game, 0.4 min. total, 534.0 MB
