italicize_pushiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.3 MB
italicize_pushiness v2 153 games, 111394 moves, e=0.890, loss: 204.4, +, 68.3% elo% vs. v1, avg. reward: -3.128, 1.723 sec/game, 3.7 min. total, 519.7 MB
italicize_pushiness v2 154 games, 112218 moves, e=0.889, loss: 202.4, +, 69.6% elo% vs. v1, avg. reward: -3.068, 1.743 sec/game, 3.7 min. total, 518.6 MB
italicize_pushiness v2 155 games, 113004 moves, e=0.888, loss: 200.9, +, 70.8% elo% vs. v1, avg. reward: -3.096, 1.728 sec/game, 3.7 min. total, 518.8 MB
italicize_pushiness v3 156 games, 113678 moves, e=0.887, loss: 193.0, +, 54.5% elo% vs. v2, avg. reward: -3.103, 1.720 sec/game, 3.8 min. total, 526.2 MB
italicize_pushiness v3 157 games, 114485 moves, e=0.887, loss: 201.1, -, 52.0% elo% vs. v2, avg. reward: -3.119, 1.723 sec/game, 3.8 min. total, 526.3 MB
italicize_pushiness v3 158 games, 115237 moves, e=0.886, loss: 215.7, +, 54.2% elo% vs. v2, avg. reward: -3.120, 1.722 sec/game, 3.8 min. total, 525.7 MB
italicize_pushiness v3 159 games, 115876 moves, e=0.885, loss: 211.7, +, 56.3% elo% vs. v2, avg. reward: -3.119, 1.705 sec/game, 3.9 min. total, 526.6 MB
italicize_pushiness v3 160 games, 116812 moves, e=0.884, loss: 201.1, -, 53.7% elo% vs. v2, avg. reward: -3.036, 1.739 sec/game, 3.9 min. total, 526.1 MB
italicize_pushiness v3 161 games, 117577 moves, e=0.884, loss: 211.2, +, 55.8% elo% vs. v2, avg. reward: -3.007, 1.742 sec/game, 3.9 min. total, 526.9 MB
italicize_pushiness v3 162 games, 118359 moves, e=0.883, loss: 207.5, -, 53.3% elo% vs. v2, avg. reward: -2.962, 1.747 sec/game, 4.0 min. total, 529.0 MB
italicize_pushiness v3 163 games, 119056 moves, e=0.882, loss: 219.5, -, 50.8% elo% vs. v2, avg. reward: -2.931, 1.745 sec/game, 4.0 min. total, 526.7 MB
italicize_pushiness v3 164 games, 119706 moves, e=0.881, loss: 231.9, -, 48.5% elo% vs. v2, avg. reward: -2.919, 1.730 sec/game, 4.0 min. total, 526.6 MB
italicize_pushiness v3 165 games, 120633 moves, e=0.881, loss: 232.2, +, 50.9% elo% vs. v2, avg. reward: -2.922, 1.749 sec/game, 4.0 min. total, 529.3 MB
italicize_pushiness v3 166 games, 121405 moves, e=0.880, loss: 221.0, +, 53.1% elo% vs. v2, avg. reward: -2.916, 1.749 sec/game, 4.1 min. total, 529.2 MB
italicize_pushiness v3 167 games, 122143 moves, e=0.879, loss: 228.0, +, 55.3% elo% vs. v2, avg. reward: -2.931, 1.737 sec/game, 4.1 min. total, 527.4 MB
italicize_pushiness v3 168 games, 122946 moves, e=0.878, loss: 253.6, +, 57.3% elo% vs. v2, avg. reward: -2.932, 1.736 sec/game, 4.1 min. total, 529.3 MB
italicize_pushiness v3 169 games, 123656 moves, e=0.878, loss: 245.5, +, 59.2% elo% vs. v2, avg. reward: -2.982, 1.725 sec/game, 4.2 min. total, 527.7 MB
italicize_pushiness v3 170 games, 124447 moves, e=0.877, loss: 254.6, -, 56.5% elo% vs. v2, avg. reward: -2.915, 1.737 sec/game, 4.2 min. total, 527.6 MB
italicize_pushiness v3 171 games, 125282 moves, e=0.876, loss: 256.0, -, 54.0% elo% vs. v2, avg. reward: -2.955, 1.728 sec/game, 4.2 min. total, 529.2 MB
italicize_pushiness v3 172 games, 126056 moves, e=0.875, loss: 236.1, -, 51.5% elo% vs. v2, avg. reward: -2.919, 1.741 sec/game, 4.2 min. total, 530.6 MB
italicize_pushiness v3 173 games, 126806 moves, e=0.874, loss: 235.1, +, 53.7% elo% vs. v2, avg. reward: -2.905, 1.747 sec/game, 4.3 min. total, 531.1 MB
italicize_pushiness v3 174 games, 127652 moves, e=0.874, loss: 236.0, +, 55.8% elo% vs. v2, avg. reward: -2.955, 1.757 sec/game, 4.3 min. total, 533.1 MB
italicize_pushiness v3 175 games, 128435 moves, e=0.873, loss: 232.9, -, 53.3% elo% vs. v2, avg. reward: -2.940, 1.758 sec/game, 4.3 min. total, 531.1 MB
italicize_pushiness v3 176 games, 129261 moves, e=0.872, loss: 246.2, +, 55.4% elo% vs. v2, avg. reward: -2.940, 1.768 sec/game, 4.4 min. total, 531.2 MB
italicize_pushiness v3 177 games, 130200 moves, e=0.871, loss: 235.9, +, 57.4% elo% vs. v2, avg. reward: -2.874, 1.793 sec/game, 4.4 min. total, 531.4 MB
italicize_pushiness v3 178 games, 130939 moves, e=0.870, loss: 243.9, +, 59.3% elo% vs. v2, avg. reward: -2.887, 1.786 sec/game, 4.4 min. total, 533.3 MB
italicize_pushiness v3 179 games, 131782 moves, e=0.870, loss: 243.6, -, 56.7% elo% vs. v2, avg. reward: -2.988, 1.815 sec/game, 4.5 min. total, 530.8 MB
italicize_pushiness v3 180 games, 132581 moves, e=0.869, loss: 244.6, ., 56.4% elo% vs. v2, avg. reward: -2.968, 1.785 sec/game, 4.5 min. total, 532.5 MB
italicize_pushiness v3 181 games, 133254 moves, e=0.868, loss: 252.5, +, 58.3% elo% vs. v2, avg. reward: -3.006, 1.781 sec/game, 4.5 min. total, 535.3 MB
italicize_pushiness v3 182 games, 134018 moves, e=0.867, loss: 231.5, +, 60.2% elo% vs. v2, avg. reward: -2.979, 1.781 sec/game, 4.5 min. total, 535.3 MB
italicize_pushiness v3 183 games, 134921 moves, e=0.866, loss: 264.3, +, 61.9% elo% vs. v2, avg. reward: -2.920, 1.798 sec/game, 4.6 min. total, 533.4 MB
italicize_pushiness v3 184 games, 135778 moves, e=0.866, loss: 260.9, +, 63.6% elo% vs. v2, avg. reward: -2.915, 1.814 sec/game, 4.6 min. total, 533.4 MB
italicize_pushiness v3 185 games, 136739 moves, e=0.865, loss: 284.0, +, 65.1% elo% vs. v2, avg. reward: -2.907, 1.828 sec/game, 4.6 min. total, 534.3 MB
italicize_pushiness v3 186 games, 137620 moves, e=0.864, loss: 280.8, -, 62.3% elo% vs. v2, avg. reward: -2.903, 1.846 sec/game, 4.7 min. total, 534.2 MB
italicize_pushiness v3 187 games, 138423 moves, e=0.863, loss: 277.8, -, 59.6% elo% vs. v2, avg. reward: -2.892, 1.852 sec/game, 4.7 min. total, 535.5 MB
italicize_pushiness v3 188 games, 139150 moves, e=0.862, loss: 259.1, +, 61.4% elo% vs. v2, avg. reward: -2.847, 1.854 sec/game, 4.7 min. total, 536.8 MB
italicize_pushiness v3 189 games, 139920 moves, e=0.861, loss: 245.0, +, 63.1% elo% vs. v2, avg. reward: -2.829, 1.858 sec/game, 4.8 min. total, 538.9 MB
italicize_pushiness v3 190 games, 140741 moves, e=0.861, loss: 247.4, +, 64.6% elo% vs. v2, avg. reward: -2.865, 1.869 sec/game, 4.8 min. total, 538.7 MB
italicize_pushiness v3 191 games, 141517 moves, e=0.860, loss: 258.8, +, 66.1% elo% vs. v2, avg. reward: -2.877, 1.871 sec/game, 4.8 min. total, 538.2 MB
italicize_pushiness v3 192 games, 142330 moves, e=0.859, loss: 279.8, +, 67.5% elo% vs. v2, avg. reward: -2.888, 1.873 sec/game, 4.9 min. total, 540.7 MB
italicize_pushiness v3 193 games, 143090 moves, e=0.858, loss: 264.4, +, 68.8% elo% vs. v2, avg. reward: -2.901, 1.869 sec/game, 4.9 min. total, 538.0 MB
italicize_pushiness v3 194 games, 143987 moves, e=0.857, loss: 251.6, +, 70.0% elo% vs. v2, avg. reward: -2.923, 1.876 sec/game, 4.9 min. total, 538.8 MB
italicize_pushiness v4 195 games, 144771 moves, e=0.857, loss: 236.1, -, 49.9% elo% vs. v3, avg. reward: -2.885, 1.886 sec/game, 5.0 min. total, 546.3 MB
italicize_pushiness v4 196 games, 145575 moves, e=0.856, loss: 221.3, +, 52.2% elo% vs. v3, avg. reward: -2.886, 1.883 sec/game, 5.0 min. total, 553.1 MB
italicize_pushiness v4 197 games, 146371 moves, e=0.855, loss: 237.0, +, 54.4% elo% vs. v3, avg. reward: -2.884, 1.860 sec/game, 5.0 min. total, 542.0 MB
italicize_pushiness v4 198 games, 147192 moves, e=0.854, loss: 224.5, +, 56.5% elo% vs. v3, avg. reward: -2.876, 1.876 sec/game, 5.1 min. total, 542.1 MB
italicize_pushiness v4 199 games, 148050 moves, e=0.853, loss: 228.2, ., 56.2% elo% vs. v3, avg. reward: -2.789, 1.878 sec/game, 5.1 min. total, 542.1 MB
italicize_pushiness v4 200 games, 148854 moves, e=0.853, loss: 226.0, -, 53.6% elo% vs. v3, avg. reward: -2.778, 1.879 sec/game, 5.1 min. total, 542.0 MB
italicize_pushiness v5 201 games, 149706 moves, e=0.852, loss: 235.3, ., 50.0% elo% vs. v3, avg. reward: -2.711, 1.896 sec/game, 5.1 min. total, 541.7 MB
italicize_pushiness v5 202 games, 150422 moves, e=0.851, loss: 242.6, +, 52.3% elo% vs. v3, avg. reward: -2.655, 1.893 sec/game, 5.2 min. total, 542.1 MB
italicize_pushiness v5 203 games, 151217 moves, e=0.850, loss: 230.7, +, 54.5% elo% vs. v3, avg. reward: -2.655, 1.880 sec/game, 5.2 min. total, 542.5 MB
italicize_pushiness v5 204 games, 151853 moves, e=0.850, loss: 233.7, ., 54.3% elo% vs. v3, avg. reward: -2.596, 1.865 sec/game, 5.2 min. total, 542.8 MB
italicize_pushiness v5 205 games, 152623 moves, e=0.849, loss: 223.9, ., 54.1% elo% vs. v3, avg. reward: -2.640, 1.832 sec/game, 5.3 min. total, 545.5 MB
italicize_pushiness v5 206 games, 153449 moves, e=0.848, loss: 234.3, -, 51.6% elo% vs. v3, avg. reward: -2.624, 1.819 sec/game, 5.3 min. total, 545.3 MB
italicize_pushiness v5 207 games, 154243 moves, e=0.847, loss: 236.9, -, 49.2% elo% vs. v3, avg. reward: -2.626, 1.826 sec/game, 5.3 min. total, 545.4 MB
italicize_pushiness v5 208 games, 154958 moves, e=0.847, loss: 239.5, -, 47.0% elo% vs. v3, avg. reward: -2.620, 1.814 sec/game, 5.3 min. total, 545.6 MB
italicize_pushiness v5 209 games, 155822 moves, e=0.846, loss: 239.1, -, 44.8% elo% vs. v3, avg. reward: -2.610, 1.829 sec/game, 5.4 min. total, 545.8 MB
italicize_pushiness v5 210 games, 156648 moves, e=0.845, loss: 228.3, -, 42.8% elo% vs. v3, avg. reward: -2.580, 1.822 sec/game, 5.4 min. total, 545.7 MB
italicize_pushiness v5 211 games, 157478 moves, e=0.844, loss: 227.5, -, 40.9% elo% vs. v3, avg. reward: -2.578, 1.833 sec/game, 5.4 min. total, 545.8 MB
italicize_pushiness v5 212 games, 158396 moves, e=0.843, loss: 215.9, +, 43.5% elo% vs. v3, avg. reward: -2.517, 1.847 sec/game, 5.5 min. total, 545.5 MB
italicize_pushiness v5 213 games, 159100 moves, e=0.842, loss: 207.5, -, 41.6% elo% vs. v3, avg. reward: -2.549, 1.836 sec/game, 5.5 min. total, 545.7 MB
italicize_pushiness v5 214 games, 159865 moves, e=0.842, loss: 216.4, -, 39.7% elo% vs. v3, avg. reward: -2.505, 1.818 sec/game, 5.5 min. total, 546.4 MB
italicize_pushiness v5 215 games, 160611 moves, e=0.841, loss: 212.6, -, 38.0% elo% vs. v3, avg. reward: -2.512, 1.815 sec/game, 5.6 min. total, 546.5 MB
italicize_pushiness v5 216 games, 161436 moves, e=0.840, loss: 227.5, -, 36.3% elo% vs. v3, avg. reward: -2.505, 1.830 sec/game, 5.6 min. total, 546.7 MB
italicize_pushiness v5 217 games, 162259 moves, e=0.839, loss: 243.9, +, 39.1% elo% vs. v3, avg. reward: -2.485, 1.830 sec/game, 5.6 min. total, 546.0 MB
italicize_pushiness v5 218 games, 162995 moves, e=0.839, loss: 236.7, -, 37.4% elo% vs. v3, avg. reward: -2.451, 1.827 sec/game, 5.7 min. total, 546.4 MB
italicize_pushiness v5 219 games, 163867 moves, e=0.838, loss: 229.3, +, 40.1% elo% vs. v3, avg. reward: -2.411, 1.829 sec/game, 5.7 min. total, 546.4 MB
italicize_pushiness v5 220 games, 164900 moves, e=0.837, loss: 246.3, -, 38.4% elo% vs. v3, avg. reward: -2.435, 1.857 sec/game, 5.7 min. total, 546.4 MB
italicize_pushiness v5 221 games, 165663 moves, e=0.836, loss: 250.0, ., 38.9% elo% vs. v3, avg. reward: -2.352, 1.844 sec/game, 5.8 min. total, 546.3 MB
italicize_pushiness v5 222 games, 166371 moves, e=0.835, loss: 261.1, -, 37.2% elo% vs. v3, avg. reward: -2.307, 1.833 sec/game, 5.8 min. total, 547.6 MB
italicize_pushiness v5 223 games, 167127 moves, e=0.835, loss: 249.8, +, 39.9% elo% vs. v3, avg. reward: -2.270, 1.834 sec/game, 5.8 min. total, 551.4 MB
italicize_pushiness v5 224 games, 167821 moves, e=0.834, loss: 287.1, -, 38.2% elo% vs. v3, avg. reward: -2.232, 1.849 sec/game, 5.8 min. total, 549.3 MB
italicize_pushiness v5 225 games, 168749 moves, e=0.833, loss: 301.2, -, 36.5% elo% vs. v3, avg. reward: -2.179, 1.866 sec/game, 5.9 min. total, 549.6 MB
italicize_pushiness v5 226 games, 169515 moves, e=0.832, loss: 296.9, -, 35.0% elo% vs. v3, avg. reward: -2.273, 1.865 sec/game, 5.9 min. total, 549.3 MB
italicize_pushiness v5 227 games, 170250 moves, e=0.831, loss: 290.1, +, 37.8% elo% vs. v3, avg. reward: -2.257, 1.856 sec/game, 5.9 min. total, 551.9 MB
italicize_pushiness v5 228 games, 171002 moves, e=0.831, loss: 275.9, +, 40.5% elo% vs. v3, avg. reward: -2.257, 1.858 sec/game, 6.0 min. total, 551.8 MB
italicize_pushiness v5 229 games, 171840 moves, e=0.830, loss: 293.0, +, 43.2% elo% vs. v3, avg. reward: -2.219, 1.859 sec/game, 6.0 min. total, 549.5 MB
italicize_pushiness v5 230 games, 172551 moves, e=0.829, loss: 259.3, -, 41.2% elo% vs. v3, avg. reward: -2.228, 1.858 sec/game, 6.0 min. total, 550.5 MB
italicize_pushiness v5 231 games, 173411 moves, e=0.828, loss: 245.0, -, 39.4% elo% vs. v3, avg. reward: -2.229, 1.852 sec/game, 6.1 min. total, 551.9 MB
italicize_pushiness v5 232 games, 174125 moves, e=0.828, loss: 282.7, -, 37.7% elo% vs. v3, avg. reward: -2.174, 1.839 sec/game, 6.1 min. total, 553.8 MB
italicize_pushiness v5 233 games, 174973 moves, e=0.827, loss: 301.9, -, 36.1% elo% vs. v3, avg. reward: -2.122, 1.854 sec/game, 6.1 min. total, 554.2 MB
italicize_pushiness v5 234 games, 175794 moves, e=0.826, loss: 320.8, +, 38.8% elo% vs. v3, avg. reward: -2.104, 1.865 sec/game, 6.2 min. total, 553.6 MB
italicize_pushiness v5 235 games, 176600 moves, e=0.825, loss: 295.5, -, 37.1% elo% vs. v3, avg. reward: -2.156, 1.862 sec/game, 6.2 min. total, 554.0 MB
italicize_pushiness v5 236 games, 177327 moves, e=0.824, loss: 269.1, +, 39.9% elo% vs. v3, avg. reward: -2.206, 1.854 sec/game, 6.2 min. total, 553.9 MB
italicize_pushiness v5 237 games, 178116 moves, e=0.824, loss: 276.4, +, 42.6% elo% vs. v3, avg. reward: -2.198, 1.853 sec/game, 6.2 min. total, 556.3 MB
italicize_pushiness v5 238 games, 178779 moves, e=0.823, loss: 277.0, +, 45.2% elo% vs. v3, avg. reward: -2.190, 1.839 sec/game, 6.3 min. total, 556.9 MB
italicize_pushiness v5 239 games, 179623 moves, e=0.822, loss: 244.0, +, 47.7% elo% vs. v3, avg. reward: -2.153, 1.839 sec/game, 6.3 min. total, 557.2 MB
italicize_pushiness v5 240 games, 180472 moves, e=0.821, loss: 238.6, +, 50.1% elo% vs. v3, avg. reward: -2.148, 1.813 sec/game, 6.3 min. total, 558.0 MB
italicize_pushiness v5 241 games, 181418 moves, e=0.820, loss: 224.1, -, 47.8% elo% vs. v3, avg. reward: -2.099, 1.846 sec/game, 6.4 min. total, 556.4 MB
italicize_pushiness v5 242 games, 182270 moves, e=0.820, loss: 231.6, +, 50.2% elo% vs. v3, avg. reward: -2.089, 1.862 sec/game, 6.4 min. total, 558.6 MB
italicize_pushiness v5 243 games, 183140 moves, e=0.819, loss: 229.4, +, 52.5% elo% vs. v3, avg. reward: -2.083, 1.877 sec/game, 6.4 min. total, 558.5 MB
italicize_pushiness v5 244 games, 183864 moves, e=0.818, loss: 205.7, +, 54.6% elo% vs. v3, avg. reward: -2.110, 1.878 sec/game, 6.5 min. total, 559.0 MB
italicize_pushiness v5 245 games, 184725 moves, e=0.817, loss: 215.7, +, 56.7% elo% vs. v3, avg. reward: -2.158, 1.879 sec/game, 6.5 min. total, 559.1 MB
italicize_pushiness v5 246 games, 185583 moves, e=0.816, loss: 209.8, +, 58.7% elo% vs. v3, avg. reward: -2.096, 1.883 sec/game, 6.5 min. total, 559.3 MB
italicize_pushiness v5 247 games, 186449 moves, e=0.815, loss: 224.7, -, 56.0% elo% vs. v3, avg. reward: -2.082, 1.901 sec/game, 6.6 min. total, 556.7 MB
italicize_pushiness v5 248 games, 187187 moves, e=0.815, loss: 206.9, +, 58.0% elo% vs. v3, avg. reward: -2.118, 1.911 sec/game, 6.6 min. total, 558.6 MB
italicize_pushiness v5 249 games, 187890 moves, e=0.814, loss: 203.3, +, 59.9% elo% vs. v3, avg. reward: -2.118, 1.884 sec/game, 6.6 min. total, 559.3 MB
italicize_pushiness v5 250 games, 188675 moves, e=0.813, loss: 207.2, -, 57.2% elo% vs. v3, avg. reward: -2.088, 1.898 sec/game, 6.7 min. total, 558.7 MB
italicize_pushiness v5 251 games, 189542 moves, e=0.812, loss: 215.2, +, 59.1% elo% vs. v3, avg. reward: -2.077, 1.895 sec/game, 6.7 min. total, 561.6 MB
italicize_pushiness v5 252 games, 190409 moves, e=0.811, loss: 218.1, -, 56.5% elo% vs. v3, avg. reward: -2.047, 1.910 sec/game, 6.7 min. total, 559.1 MB
italicize_pushiness v5 253 games, 191260 moves, e=0.811, loss: 234.8, -, 53.9% elo% vs. v3, avg. reward: -2.046, 1.921 sec/game, 6.8 min. total, 559.5 MB
italicize_pushiness v5 254 games, 192018 moves, e=0.810, loss: 236.0, -, 51.4% elo% vs. v3, avg. reward: -2.110, 1.909 sec/game, 6.8 min. total, 559.5 MB
italicize_pushiness v5 255 games, 192771 moves, e=0.809, loss: 225.9, -, 49.0% elo% vs. v3, avg. reward: -2.105, 1.905 sec/game, 6.8 min. total, 559.8 MB
italicize_pushiness v5 256 games, 193603 moves, e=0.808, loss: 243.7, -, 46.8% elo% vs. v3, avg. reward: -2.073, 1.903 sec/game, 6.9 min. total, 560.1 MB
italicize_pushiness v5 257 games, 194370 moves, e=0.808, loss: 250.1, -, 44.7% elo% vs. v3, avg. reward: -2.104, 1.904 sec/game, 6.9 min. total, 564.0 MB
italicize_pushiness v5 258 games, 195180 moves, e=0.807, loss: 249.5, -, 42.6% elo% vs. v3, avg. reward: -2.062, 1.922 sec/game, 6.9 min. total, 562.0 MB
italicize_pushiness v5 259 games, 196029 moves, e=0.806, loss: 234.2, +, 45.2% elo% vs. v3, avg. reward: -2.003, 1.920 sec/game, 6.9 min. total, 562.2 MB
italicize_pushiness v5 260 games, 196808 moves, e=0.805, loss: 252.9, -, 43.2% elo% vs. v3, avg. reward: -2.070, 1.919 sec/game, 7.0 min. total, 561.9 MB
italicize_pushiness v5 261 games, 197792 moves, e=0.804, loss: 250.4, -, 41.2% elo% vs. v3, avg. reward: -2.008, 1.916 sec/game, 7.0 min. total, 562.4 MB
italicize_pushiness v5 262 games, 198492 moves, e=0.803, loss: 268.9, -, 39.4% elo% vs. v3, avg. reward: -2.053, 1.903 sec/game, 7.0 min. total, 562.6 MB
italicize_pushiness v5 263 games, 199385 moves, e=0.803, loss: 274.5, -, 37.7% elo% vs. v3, avg. reward: -2.049, 1.904 sec/game, 7.1 min. total, 562.6 MB
italicize_pushiness v5 264 games, 200305 moves, e=0.802, loss: 276.6, -, 36.1% elo% vs. v3, avg. reward: -2.004, 1.923 sec/game, 7.1 min. total, 562.6 MB
italicize_pushiness v5 265 games, 201160 moves, e=0.801, loss: 299.4, -, 34.6% elo% vs. v3, avg. reward: -2.020, 1.924 sec/game, 7.1 min. total, 562.3 MB
italicize_pushiness v5 266 games, 202110 moves, e=0.800, loss: 268.7, -, 33.1% elo% vs. v3, avg. reward: -1.975, 1.939 sec/game, 7.2 min. total, 564.9 MB
italicize_pushiness v5 267 games, 202902 moves, e=0.799, loss: 291.4, +, 35.9% elo% vs. v3, avg. reward: -2.013, 1.940 sec/game, 7.2 min. total, 564.8 MB
italicize_pushiness v5 268 games, 203741 moves, e=0.798, loss: 303.6, +, 38.7% elo% vs. v3, avg. reward: -1.976, 1.943 sec/game, 7.3 min. total, 564.8 MB
italicize_pushiness v5 269 games, 204688 moves, e=0.797, loss: 298.2, +, 41.4% elo% vs. v3, avg. reward: -1.940, 1.985 sec/game, 7.3 min. total, 566.8 MB
italicize_pushiness v5 270 games, 205469 moves, e=0.797, loss: 297.4, -, 39.5% elo% vs. v3, avg. reward: -1.979, 1.973 sec/game, 7.3 min. total, 564.5 MB
italicize_pushiness v5 271 games, 206233 moves, e=0.796, loss: 297.0, +, 42.2% elo% vs. v3, avg. reward: -1.980, 1.973 sec/game, 7.4 min. total, 566.9 MB
italicize_pushiness v5 272 games, 207112 moves, e=0.795, loss: 306.3, ., 42.6% elo% vs. v3, avg. reward: -1.986, 1.975 sec/game, 7.4 min. total, 564.8 MB
italicize_pushiness v5 273 games, 207969 moves, e=0.794, loss: 290.1, +, 45.2% elo% vs. v3, avg. reward: -1.957, 1.967 sec/game, 7.4 min. total, 569.0 MB
italicize_pushiness v5 274 games, 208755 moves, e=0.793, loss: 288.8, +, 47.7% elo% vs. v3, avg. reward: -1.990, 1.971 sec/game, 7.5 min. total, 568.4 MB
italicize_pushiness v5 275 games, 209711 moves, e=0.792, loss: 296.4, -, 45.5% elo% vs. v3, avg. reward: -1.991, 2.000 sec/game, 7.5 min. total, 568.0 MB
italicize_pushiness v5 276 games, 210544 moves, e=0.792, loss: 262.7, +, 48.0% elo% vs. v3, avg. reward: -1.951, 2.001 sec/game, 7.5 min. total, 568.2 MB
italicize_pushiness v5 277 games, 211434 moves, e=0.791, loss: 264.7, +, 50.4% elo% vs. v3, avg. reward: -1.962, 2.019 sec/game, 7.6 min. total, 570.4 MB
italicize_pushiness v5 278 games, 212538 moves, e=0.790, loss: 295.9, -, 48.1% elo% vs. v3, avg. reward: -1.912, 2.062 sec/game, 7.6 min. total, 568.5 MB
italicize_pushiness v5 279 games, 213304 moves, e=0.789, loss: 286.5, -, 45.9% elo% vs. v3, avg. reward: -1.902, 2.056 sec/game, 7.6 min. total, 568.4 MB
italicize_pushiness v5 280 games, 214025 moves, e=0.788, loss: 290.3, -, 43.8% elo% vs. v3, avg. reward: -1.926, 2.056 sec/game, 7.7 min. total, 567.9 MB
italicize_pushiness v5 281 games, 214768 moves, e=0.787, loss: 277.0, -, 41.8% elo% vs. v3, avg. reward: -1.845, 2.019 sec/game, 7.7 min. total, 570.1 MB
italicize_pushiness v5 282 games, 215551 moves, e=0.787, loss: 284.8, -, 40.0% elo% vs. v3, avg. reward: -1.854, 2.034 sec/game, 7.7 min. total, 571.5 MB
italicize_pushiness v5 283 games, 216425 moves, e=0.786, loss: 288.1, -, 38.2% elo% vs. v3, avg. reward: -1.878, 2.040 sec/game, 7.8 min. total, 571.8 MB
italicize_pushiness v5 284 games, 217283 moves, e=0.785, loss: 269.5, -, 36.6% elo% vs. v3, avg. reward: -1.895, 2.038 sec/game, 7.8 min. total, 571.9 MB
italicize_pushiness v5 285 games, 217948 moves, e=0.784, loss: 268.8, -, 35.0% elo% vs. v3, avg. reward: -1.920, 2.010 sec/game, 7.8 min. total, 572.1 MB
italicize_pushiness v5 286 games, 218877 moves, e=0.783, loss: 272.3, +, 37.8% elo% vs. v3, avg. reward: -1.977, 2.010 sec/game, 7.9 min. total, 574.1 MB
italicize_pushiness v5 287 games, 219698 moves, e=0.782, loss: 278.6, ., 38.3% elo% vs. v3, avg. reward: -1.966, 2.006 sec/game, 7.9 min. total, 571.6 MB
italicize_pushiness v5 288 games, 220433 moves, e=0.782, loss: 249.0, +, 41.0% elo% vs. v3, avg. reward: -1.996, 2.006 sec/game, 7.9 min. total, 572.8 MB
italicize_pushiness v5 289 games, 221210 moves, e=0.781, loss: 259.9, +, 43.7% elo% vs. v3, avg. reward: -1.965, 1.980 sec/game, 8.0 min. total, 572.9 MB
italicize_pushiness v5 290 games, 222119 moves, e=0.780, loss: 233.6, -, 41.7% elo% vs. v3, avg. reward: -1.940, 1.993 sec/game, 8.0 min. total, 574.0 MB
italicize_pushiness v5 291 games, 222977 moves, e=0.779, loss: 265.8, -, 39.9% elo% vs. v3, avg. reward: -1.895, 2.008 sec/game, 8.0 min. total, 574.0 MB
italicize_pushiness v5 292 games, 223906 moves, e=0.778, loss: 257.6, -, 38.1% elo% vs. v3, avg. reward: -1.855, 2.009 sec/game, 8.1 min. total, 574.3 MB
italicize_pushiness v5 293 games, 224811 moves, e=0.777, loss: 243.5, -, 36.5% elo% vs. v3, avg. reward: -1.804, 2.024 sec/game, 8.1 min. total, 573.9 MB
italicize_pushiness v5 294 games, 225652 moves, e=0.777, loss: 249.6, +, 39.2% elo% vs. v3, avg. reward: -1.747, 2.026 sec/game, 8.1 min. total, 574.3 MB
italicize_pushiness v5 295 games, 226604 moves, e=0.776, loss: 253.5, +, 41.9% elo% vs. v3, avg. reward: -1.721, 2.029 sec/game, 8.2 min. total, 574.1 MB
italicize_pushiness v5 296 games, 227488 moves, e=0.775, loss: 230.3, +, 44.5% elo% vs. v3, avg. reward: -1.697, 2.042 sec/game, 8.2 min. total, 574.4 MB
italicize_pushiness v5 297 games, 228400 moves, e=0.774, loss: 245.9, +, 47.1% elo% vs. v3, avg. reward: -1.648, 2.042 sec/game, 8.2 min. total, 575.0 MB
italicize_pushiness v5 298 games, 229276 moves, e=0.773, loss: 238.9, +, 49.5% elo% vs. v3, avg. reward: -1.626, 2.016 sec/game, 8.3 min. total, 578.9 MB
italicize_pushiness v5 299 games, 230265 moves, e=0.772, loss: 274.8, ., 49.5% elo% vs. v3, avg. reward: -1.661, 2.028 sec/game, 8.3 min. total, 577.7 MB
italicize_pushiness v5 300 games, 231117 moves, e=0.771, loss: 269.1, -, 47.3% elo% vs. v3, avg. reward: -1.662, 2.049 sec/game, 8.3 min. total, 577.7 MB
italicize_pushiness v6 301 games, 231970 moves, e=0.770, loss: 243.2, -, 47.7% elo% vs. v3, avg. reward: -1.666, 2.081 sec/game, 8.4 min. total, 577.5 MB
italicize_pushiness v6 302 games, 232950 moves, e=0.769, loss: 258.8, -, 45.5% elo% vs. v3, avg. reward: -1.698, 2.097 sec/game, 8.4 min. total, 577.7 MB
italicize_pushiness v6 303 games, 233799 moves, e=0.769, loss: 262.3, -, 43.4% elo% vs. v3, avg. reward: -1.674, 2.090 sec/game, 8.5 min. total, 577.6 MB
italicize_pushiness v6 304 games, 234650 moves, e=0.768, loss: 272.5, +, 46.0% elo% vs. v3, avg. reward: -1.654, 2.094 sec/game, 8.5 min. total, 578.2 MB
italicize_pushiness v6 305 games, 235466 moves, e=0.767, loss: 238.1, +, 48.5% elo% vs. v3, avg. reward: -1.637, 2.109 sec/game, 8.5 min. total, 578.0 MB
italicize_pushiness v6 306 games, 236284 moves, e=0.766, loss: 249.3, -, 46.3% elo% vs. v3, avg. reward: -1.630, 2.106 sec/game, 8.6 min. total, 578.4 MB
