unmanned_overtly v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
unmanned_overtly v2 34 games, 24754 moves, e=0.975, loss: 201.7, +, 55.0% elo% vs. guard_bot, avg. reward: 11.533, 1.434 sec/game, 0.6 min. total, 430.7 MB
unmanned_overtly v2 35 games, 25612 moves, e=0.975, loss: 216.5, +, 57.1% elo% vs. guard_bot, avg. reward: 11.550, 1.446 sec/game, 0.6 min. total, 431.2 MB
unmanned_overtly v2 36 games, 26268 moves, e=0.974, loss: 224.2, ., 56.7% elo% vs. guard_bot, avg. reward: 11.505, 1.430 sec/game, 0.6 min. total, 430.9 MB
unmanned_overtly v2 37 games, 26974 moves, e=0.973, loss: 242.5, +, 58.7% elo% vs. guard_bot, avg. reward: 11.520, 1.407 sec/game, 0.6 min. total, 431.5 MB
unmanned_overtly v2 38 games, 27621 moves, e=0.973, loss: 244.8, +, 60.5% elo% vs. guard_bot, avg. reward: 11.483, 1.393 sec/game, 0.7 min. total, 431.5 MB
unmanned_overtly v2 39 games, 28436 moves, e=0.972, loss: 249.0, +, 62.2% elo% vs. guard_bot, avg. reward: 11.498, 1.397 sec/game, 0.7 min. total, 431.8 MB
unmanned_overtly v2 40 games, 29270 moves, e=0.971, loss: 273.6, ., 61.7% elo% vs. guard_bot, avg. reward: 11.488, 1.393 sec/game, 0.7 min. total, 431.9 MB
unmanned_overtly v2 41 games, 29920 moves, e=0.970, loss: 294.5, ., 61.2% elo% vs. guard_bot, avg. reward: 11.523, 1.377 sec/game, 0.7 min. total, 431.9 MB
unmanned_overtly v2 42 games, 30695 moves, e=0.970, loss: 299.7, +, 62.9% elo% vs. guard_bot, avg. reward: 11.557, 1.383 sec/game, 0.7 min. total, 431.9 MB
unmanned_overtly v2 43 games, 31453 moves, e=0.969, loss: 308.9, ., 62.3% elo% vs. guard_bot, avg. reward: 11.549, 1.371 sec/game, 0.8 min. total, 432.1 MB
unmanned_overtly v2 44 games, 32176 moves, e=0.968, loss: 308.5, +, 63.9% elo% vs. guard_bot, avg. reward: 11.572, 1.365 sec/game, 0.8 min. total, 432.6 MB
unmanned_overtly v2 45 games, 32910 moves, e=0.967, loss: 318.2, +, 65.5% elo% vs. guard_bot, avg. reward: 11.581, 1.361 sec/game, 0.8 min. total, 432.9 MB
unmanned_overtly v2 46 games, 33625 moves, e=0.967, loss: 337.4, +, 66.9% elo% vs. guard_bot, avg. reward: 11.633, 1.377 sec/game, 0.8 min. total, 433.6 MB
unmanned_overtly v2 47 games, 34328 moves, e=0.966, loss: 351.1, ., 66.2% elo% vs. guard_bot, avg. reward: 11.608, 1.384 sec/game, 0.9 min. total, 433.8 MB
