penpal_curve v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
penpal_curve v3 35 games, 24214 moves, e=0.976, loss: 2.4, +, 43.7% elo% vs. random_no_suicide, avg. reward: -9.078, 1.253 sec/game, 0.5 min. total, 452.9 MB
penpal_curve v3 36 games, 24852 moves, e=0.975, loss: 2.5, +, 46.3% elo% vs. random_no_suicide, avg. reward: -9.096, 1.250 sec/game, 0.5 min. total, 452.9 MB
penpal_curve v3 37 games, 25542 moves, e=0.975, loss: 2.6, -, 44.2% elo% vs. random_no_suicide, avg. reward: -9.094, 1.239 sec/game, 0.5 min. total, 454.7 MB
penpal_curve v3 38 games, 26325 moves, e=0.974, loss: 2.4, -, 42.2% elo% vs. random_no_suicide, avg. reward: -9.059, 1.232 sec/game, 0.5 min. total, 452.3 MB
penpal_curve v3 39 games, 26989 moves, e=0.973, loss: 2.1, -, 40.3% elo% vs. random_no_suicide, avg. reward: -9.069, 1.230 sec/game, 0.6 min. total, 456.7 MB
penpal_curve v3 40 games, 27655 moves, e=0.973, loss: 2.3, -, 38.5% elo% vs. random_no_suicide, avg. reward: -9.070, 1.229 sec/game, 0.6 min. total, 455.5 MB
penpal_curve v3 41 games, 28510 moves, e=0.972, loss: 2.1, -, 36.9% elo% vs. random_no_suicide, avg. reward: -9.023, 1.231 sec/game, 0.6 min. total, 458.5 MB
penpal_curve v3 42 games, 29268 moves, e=0.971, loss: 2.1, +, 39.6% elo% vs. random_no_suicide, avg. reward: -8.999, 1.241 sec/game, 0.6 min. total, 456.9 MB
penpal_curve v3 43 games, 29890 moves, e=0.970, loss: 2.1, +, 42.3% elo% vs. random_no_suicide, avg. reward: -9.025, 1.232 sec/game, 0.6 min. total, 456.7 MB
penpal_curve v3 44 games, 30543 moves, e=0.970, loss: 2.3, +, 44.9% elo% vs. random_no_suicide, avg. reward: -9.031, 1.226 sec/game, 0.7 min. total, 456.8 MB
penpal_curve v3 45 games, 31335 moves, e=0.969, loss: 2.1, -, 42.9% elo% vs. random_no_suicide, avg. reward: -9.001, 1.237 sec/game, 0.7 min. total, 456.3 MB
