subwoofer_thriving v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.7 MB
subwoofer_thriving v5 145 games, 105069 moves, e=0.896, loss: 3.3, -, 15.8% elo% vs. simple_bot, avg. reward: -6.227, 1.157 sec/game, 2.5 min. total, 453.5 MB
subwoofer_thriving v5 146 games, 105794 moves, e=0.895, loss: 3.3, -, 15.4% elo% vs. simple_bot, avg. reward: -6.231, 1.171 sec/game, 2.5 min. total, 456.0 MB
subwoofer_thriving v5 147 games, 106502 moves, e=0.895, loss: 3.3, -, 15.0% elo% vs. simple_bot, avg. reward: -6.231, 1.171 sec/game, 2.6 min. total, 456.1 MB
subwoofer_thriving v5 148 games, 107307 moves, e=0.894, loss: 3.3, -, 14.7% elo% vs. simple_bot, avg. reward: -6.218, 1.174 sec/game, 2.6 min. total, 455.4 MB
subwoofer_thriving v5 149 games, 108029 moves, e=0.893, loss: 3.2, -, 14.3% elo% vs. simple_bot, avg. reward: -6.213, 1.176 sec/game, 2.6 min. total, 456.4 MB
subwoofer_thriving v5 150 games, 108794 moves, e=0.892, loss: 3.1, -, 14.0% elo% vs. simple_bot, avg. reward: -6.211, 1.177 sec/game, 2.6 min. total, 455.1 MB
subwoofer_thriving v5 151 games, 109504 moves, e=0.892, loss: 3.3, -, 13.7% elo% vs. simple_bot, avg. reward: -6.207, 1.176 sec/game, 2.6 min. total, 454.9 MB
subwoofer_thriving v5 152 games, 110245 moves, e=0.891, loss: 3.3, -, 13.4% elo% vs. simple_bot, avg. reward: -6.204, 1.174 sec/game, 2.7 min. total, 457.7 MB
subwoofer_thriving v5 153 games, 111011 moves, e=0.890, loss: 3.3, -, 13.1% elo% vs. simple_bot, avg. reward: -6.200, 1.182 sec/game, 2.7 min. total, 456.2 MB
subwoofer_thriving v5 154 games, 111732 moves, e=0.889, loss: 3.1, -, 12.9% elo% vs. simple_bot, avg. reward: -6.183, 1.170 sec/game, 2.7 min. total, 456.7 MB
subwoofer_thriving v5 155 games, 112558 moves, e=0.889, loss: 3.1, -, 12.6% elo% vs. simple_bot, avg. reward: -6.173, 1.179 sec/game, 2.7 min. total, 455.3 MB
subwoofer_thriving v5 156 games, 113357 moves, e=0.888, loss: 3.2, -, 12.3% elo% vs. simple_bot, avg. reward: -6.170, 1.188 sec/game, 2.7 min. total, 454.9 MB
subwoofer_thriving v5 157 games, 114182 moves, e=0.887, loss: 3.0, -, 12.1% elo% vs. simple_bot, avg. reward: -6.166, 1.200 sec/game, 2.8 min. total, 457.5 MB
subwoofer_thriving v5 158 games, 115046 moves, e=0.886, loss: 3.1, -, 11.9% elo% vs. simple_bot, avg. reward: -6.154, 1.201 sec/game, 2.8 min. total, 454.9 MB
subwoofer_thriving v5 159 games, 115849 moves, e=0.885, loss: 2.9, -, 11.6% elo% vs. simple_bot, avg. reward: -6.140, 1.210 sec/game, 2.8 min. total, 454.9 MB
subwoofer_thriving v5 160 games, 116715 moves, e=0.884, loss: 3.1, -, 11.4% elo% vs. simple_bot, avg. reward: -6.132, 1.213 sec/game, 2.8 min. total, 457.3 MB
subwoofer_thriving v5 161 games, 117546 moves, e=0.884, loss: 3.2, -, 11.2% elo% vs. simple_bot, avg. reward: -6.114, 1.214 sec/game, 2.8 min. total, 457.6 MB
subwoofer_thriving v5 162 games, 118185 moves, e=0.883, loss: 3.2, -, 11.0% elo% vs. simple_bot, avg. reward: -6.109, 1.206 sec/game, 2.9 min. total, 458.6 MB
subwoofer_thriving v5 163 games, 118960 moves, e=0.882, loss: 3.1, -, 10.8% elo% vs. simple_bot, avg. reward: -6.103, 1.208 sec/game, 2.9 min. total, 456.8 MB
subwoofer_thriving v5 164 games, 119729 moves, e=0.881, loss: 3.0, -, 10.6% elo% vs. simple_bot, avg. reward: -6.099, 1.219 sec/game, 2.9 min. total, 457.2 MB
subwoofer_thriving v5 165 games, 120641 moves, e=0.881, loss: 2.9, -, 10.4% elo% vs. simple_bot, avg. reward: -6.085, 1.231 sec/game, 2.9 min. total, 455.9 MB
subwoofer_thriving v5 166 games, 121437 moves, e=0.880, loss: 2.7, -, 10.3% elo% vs. simple_bot, avg. reward: -6.081, 1.218 sec/game, 2.9 min. total, 456.6 MB
subwoofer_thriving v5 167 games, 122319 moves, e=0.879, loss: 2.9, -, 10.1% elo% vs. simple_bot, avg. reward: -6.069, 1.225 sec/game, 3.0 min. total, 456.2 MB
subwoofer_thriving v5 168 games, 122939 moves, e=0.878, loss: 2.9, -, 9.9% elo% vs. simple_bot, avg. reward: -6.084, 1.213 sec/game, 3.0 min. total, 457.1 MB
subwoofer_thriving v5 169 games, 123688 moves, e=0.878, loss: 2.8, -, 9.8% elo% vs. simple_bot, avg. reward: -6.082, 1.223 sec/game, 3.0 min. total, 459.9 MB
subwoofer_thriving v5 170 games, 124501 moves, e=0.877, loss: 2.7, -, 9.6% elo% vs. simple_bot, avg. reward: -6.082, 1.228 sec/game, 3.0 min. total, 460.4 MB
subwoofer_thriving v5 171 games, 125362 moves, e=0.876, loss: 3.0, -, 9.4% elo% vs. simple_bot, avg. reward: -6.069, 1.236 sec/game, 3.1 min. total, 458.2 MB
subwoofer_thriving v5 172 games, 126219 moves, e=0.875, loss: 3.2, -, 9.3% elo% vs. simple_bot, avg. reward: -6.062, 1.245 sec/game, 3.1 min. total, 460.6 MB
subwoofer_thriving v5 173 games, 127012 moves, e=0.874, loss: 3.1, -, 9.2% elo% vs. simple_bot, avg. reward: -6.055, 1.239 sec/game, 3.1 min. total, 459.3 MB
subwoofer_thriving v5 174 games, 127807 moves, e=0.873, loss: 3.0, -, 9.0% elo% vs. simple_bot, avg. reward: -6.050, 1.247 sec/game, 3.1 min. total, 460.7 MB
subwoofer_thriving v5 175 games, 128541 moves, e=0.873, loss: 3.2, -, 8.9% elo% vs. simple_bot, avg. reward: -6.048, 1.239 sec/game, 3.1 min. total, 458.6 MB
subwoofer_thriving v5 176 games, 129309 moves, e=0.872, loss: 3.1, -, 8.7% elo% vs. simple_bot, avg. reward: -6.044, 1.242 sec/game, 3.2 min. total, 460.9 MB
subwoofer_thriving v5 177 games, 129980 moves, e=0.871, loss: 3.1, -, 8.6% elo% vs. simple_bot, avg. reward: -6.050, 1.223 sec/game, 3.2 min. total, 460.6 MB
subwoofer_thriving v5 178 games, 130704 moves, e=0.871, loss: 3.1, -, 8.5% elo% vs. simple_bot, avg. reward: -6.045, 1.234 sec/game, 3.2 min. total, 460.8 MB
subwoofer_thriving v5 179 games, 131476 moves, e=0.870, loss: 3.1, -, 8.4% elo% vs. simple_bot, avg. reward: -6.043, 1.243 sec/game, 3.2 min. total, 459.5 MB
subwoofer_thriving v5 180 games, 132281 moves, e=0.869, loss: 3.2, -, 8.3% elo% vs. simple_bot, avg. reward: -6.023, 1.246 sec/game, 3.2 min. total, 461.5 MB
subwoofer_thriving v5 181 games, 133061 moves, e=0.868, loss: 3.4, -, 8.1% elo% vs. simple_bot, avg. reward: -6.025, 1.240 sec/game, 3.3 min. total, 460.6 MB
subwoofer_thriving v5 182 games, 133855 moves, e=0.867, loss: 3.3, -, 8.0% elo% vs. simple_bot, avg. reward: -6.023, 1.266 sec/game, 3.3 min. total, 462.0 MB
subwoofer_thriving v5 183 games, 134672 moves, e=0.867, loss: 3.4, -, 7.9% elo% vs. simple_bot, avg. reward: -6.005, 1.295 sec/game, 3.3 min. total, 460.4 MB
subwoofer_thriving v5 184 games, 135439 moves, e=0.866, loss: 3.5, -, 7.8% elo% vs. simple_bot, avg. reward: -5.997, 1.317 sec/game, 3.3 min. total, 461.1 MB
subwoofer_thriving v5 185 games, 136144 moves, e=0.865, loss: 3.3, -, 7.7% elo% vs. simple_bot, avg. reward: -5.984, 1.305 sec/game, 3.4 min. total, 461.2 MB
subwoofer_thriving v5 186 games, 136874 moves, e=0.864, loss: 3.1, -, 7.6% elo% vs. simple_bot, avg. reward: -5.985, 1.328 sec/game, 3.4 min. total, 462.5 MB
subwoofer_thriving v5 187 games, 137676 moves, e=0.864, loss: 3.1, -, 7.5% elo% vs. simple_bot, avg. reward: -5.973, 1.332 sec/game, 3.4 min. total, 460.4 MB
subwoofer_thriving v5 188 games, 138311 moves, e=0.863, loss: 3.2, -, 7.4% elo% vs. simple_bot, avg. reward: -5.985, 1.358 sec/game, 3.4 min. total, 462.5 MB
subwoofer_thriving v5 189 games, 139142 moves, e=0.862, loss: 3.2, -, 7.3% elo% vs. simple_bot, avg. reward: -5.982, 1.387 sec/game, 3.5 min. total, 463.6 MB
subwoofer_thriving v5 190 games, 139956 moves, e=0.861, loss: 3.1, -, 7.2% elo% vs. simple_bot, avg. reward: -5.973, 1.389 sec/game, 3.5 min. total, 461.2 MB
subwoofer_thriving v5 191 games, 140785 moves, e=0.861, loss: 3.1, -, 7.1% elo% vs. simple_bot, avg. reward: -5.964, 1.387 sec/game, 3.5 min. total, 461.2 MB
subwoofer_thriving v5 192 games, 141648 moves, e=0.860, loss: 3.1, -, 7.1% elo% vs. simple_bot, avg. reward: -5.953, 1.399 sec/game, 3.5 min. total, 462.5 MB
subwoofer_thriving v5 193 games, 142426 moves, e=0.859, loss: 3.3, -, 7.0% elo% vs. simple_bot, avg. reward: -5.937, 1.402 sec/game, 3.6 min. total, 461.6 MB
subwoofer_thriving v5 194 games, 143281 moves, e=0.858, loss: 3.2, -, 6.9% elo% vs. simple_bot, avg. reward: -5.922, 1.419 sec/game, 3.6 min. total, 462.0 MB
subwoofer_thriving v5 195 games, 144012 moves, e=0.857, loss: 3.3, -, 6.8% elo% vs. simple_bot, avg. reward: -5.932, 1.433 sec/game, 3.6 min. total, 463.8 MB
subwoofer_thriving v5 196 games, 144787 moves, e=0.857, loss: 3.2, -, 6.7% elo% vs. simple_bot, avg. reward: -5.929, 1.448 sec/game, 3.6 min. total, 462.0 MB
subwoofer_thriving v5 197 games, 145620 moves, e=0.856, loss: 3.2, -, 6.7% elo% vs. simple_bot, avg. reward: -5.916, 1.474 sec/game, 3.7 min. total, 463.3 MB
subwoofer_thriving v5 198 games, 146324 moves, e=0.855, loss: 3.3, -, 6.6% elo% vs. simple_bot, avg. reward: -5.920, 1.468 sec/game, 3.7 min. total, 462.6 MB
subwoofer_thriving v5 199 games, 147042 moves, e=0.854, loss: 3.4, -, 6.5% elo% vs. simple_bot, avg. reward: -5.922, 1.448 sec/game, 3.7 min. total, 462.6 MB
subwoofer_thriving v5 200 games, 147763 moves, e=0.854, loss: 3.4, -, 6.4% elo% vs. simple_bot, avg. reward: -5.924, 1.448 sec/game, 3.7 min. total, 462.5 MB
subwoofer_thriving v6 201 games, 148534 moves, e=0.853, loss: 3.3, -, 47.7% elo% vs. simple_bot, avg. reward: -5.923, 1.451 sec/game, 3.7 min. total, 466.1 MB
subwoofer_thriving v6 202 games, 149307 moves, e=0.852, loss: 3.3, -, 45.5% elo% vs. simple_bot, avg. reward: -5.907, 1.441 sec/game, 3.8 min. total, 465.9 MB
subwoofer_thriving v6 203 games, 150259 moves, e=0.851, loss: 3.6, -, 43.4% elo% vs. simple_bot, avg. reward: -5.886, 1.431 sec/game, 3.8 min. total, 465.1 MB
subwoofer_thriving v6 204 games, 151019 moves, e=0.850, loss: 3.5, -, 41.5% elo% vs. simple_bot, avg. reward: -5.889, 1.412 sec/game, 3.8 min. total, 465.0 MB
subwoofer_thriving v6 205 games, 151882 moves, e=0.850, loss: 3.5, -, 39.6% elo% vs. simple_bot, avg. reward: -5.882, 1.426 sec/game, 3.8 min. total, 466.4 MB
subwoofer_thriving v6 206 games, 152656 moves, e=0.849, loss: 3.4, -, 37.9% elo% vs. simple_bot, avg. reward: -5.869, 1.405 sec/game, 3.9 min. total, 467.9 MB
subwoofer_thriving v6 207 games, 153520 moves, e=0.848, loss: 3.4, -, 36.3% elo% vs. simple_bot, avg. reward: -5.852, 1.404 sec/game, 3.9 min. total, 467.5 MB
subwoofer_thriving v6 208 games, 154315 moves, e=0.847, loss: 3.6, -, 34.8% elo% vs. simple_bot, avg. reward: -5.843, 1.392 sec/game, 3.9 min. total, 467.0 MB
subwoofer_thriving v6 209 games, 155176 moves, e=0.846, loss: 3.7, -, 33.3% elo% vs. simple_bot, avg. reward: -5.834, 1.374 sec/game, 3.9 min. total, 465.8 MB
subwoofer_thriving v6 210 games, 156029 moves, e=0.846, loss: 4.0, -, 32.0% elo% vs. simple_bot, avg. reward: -5.832, 1.371 sec/game, 4.0 min. total, 467.7 MB
subwoofer_thriving v6 211 games, 156905 moves, e=0.845, loss: 3.9, -, 30.7% elo% vs. simple_bot, avg. reward: -5.812, 1.378 sec/game, 4.0 min. total, 466.8 MB
subwoofer_thriving v6 212 games, 157618 moves, e=0.844, loss: 4.0, -, 29.5% elo% vs. simple_bot, avg. reward: -5.808, 1.359 sec/game, 4.0 min. total, 466.9 MB
subwoofer_thriving v6 213 games, 158303 moves, e=0.843, loss: 4.0, -, 28.4% elo% vs. simple_bot, avg. reward: -5.807, 1.351 sec/game, 4.0 min. total, 469.3 MB
subwoofer_thriving v6 214 games, 159116 moves, e=0.842, loss: 4.2, -, 27.3% elo% vs. simple_bot, avg. reward: -5.813, 1.347 sec/game, 4.0 min. total, 467.1 MB
subwoofer_thriving v6 215 games, 159900 moves, e=0.842, loss: 4.2, -, 26.4% elo% vs. simple_bot, avg. reward: -5.806, 1.337 sec/game, 4.1 min. total, 468.5 MB
subwoofer_thriving v6 216 games, 160628 moves, e=0.841, loss: 4.3, -, 25.4% elo% vs. simple_bot, avg. reward: -5.811, 1.316 sec/game, 4.1 min. total, 469.6 MB
subwoofer_thriving v6 217 games, 161304 moves, e=0.840, loss: 4.3, -, 24.5% elo% vs. simple_bot, avg. reward: -5.815, 1.304 sec/game, 4.1 min. total, 470.8 MB
subwoofer_thriving v6 218 games, 162265 moves, e=0.839, loss: 4.0, -, 23.7% elo% vs. simple_bot, avg. reward: -5.799, 1.312 sec/game, 4.1 min. total, 468.2 MB
subwoofer_thriving v6 219 games, 162974 moves, e=0.839, loss: 4.3, -, 22.9% elo% vs. simple_bot, avg. reward: -5.799, 1.319 sec/game, 4.1 min. total, 468.2 MB
subwoofer_thriving v6 220 games, 163803 moves, e=0.838, loss: 4.0, -, 22.2% elo% vs. simple_bot, avg. reward: -5.795, 1.319 sec/game, 4.2 min. total, 468.7 MB
subwoofer_thriving v6 221 games, 164603 moves, e=0.837, loss: 4.0, -, 21.5% elo% vs. simple_bot, avg. reward: -5.785, 1.317 sec/game, 4.2 min. total, 468.3 MB
subwoofer_thriving v6 222 games, 165407 moves, e=0.836, loss: 4.2, -, 20.8% elo% vs. simple_bot, avg. reward: -5.778, 1.321 sec/game, 4.2 min. total, 471.6 MB
subwoofer_thriving v6 223 games, 166178 moves, e=0.835, loss: 4.5, -, 20.2% elo% vs. simple_bot, avg. reward: -5.771, 1.304 sec/game, 4.2 min. total, 470.2 MB
subwoofer_thriving v6 224 games, 166984 moves, e=0.835, loss: 4.5, -, 19.6% elo% vs. simple_bot, avg. reward: -5.760, 1.317 sec/game, 4.3 min. total, 469.5 MB
subwoofer_thriving v6 225 games, 167832 moves, e=0.834, loss: 4.5, -, 19.1% elo% vs. simple_bot, avg. reward: -5.741, 1.336 sec/game, 4.3 min. total, 471.2 MB
subwoofer_thriving v6 226 games, 168665 moves, e=0.833, loss: 4.4, -, 18.5% elo% vs. simple_bot, avg. reward: -5.732, 1.355 sec/game, 4.3 min. total, 472.2 MB
subwoofer_thriving v6 227 games, 169512 moves, e=0.832, loss: 4.4, -, 18.0% elo% vs. simple_bot, avg. reward: -5.725, 1.374 sec/game, 4.3 min. total, 471.1 MB
subwoofer_thriving v6 228 games, 170301 moves, e=0.831, loss: 4.5, -, 17.5% elo% vs. simple_bot, avg. reward: -5.726, 1.386 sec/game, 4.4 min. total, 469.9 MB
subwoofer_thriving v6 229 games, 171172 moves, e=0.831, loss: 4.2, -, 17.1% elo% vs. simple_bot, avg. reward: -5.704, 1.403 sec/game, 4.4 min. total, 471.8 MB
subwoofer_thriving v6 230 games, 172054 moves, e=0.830, loss: 4.3, -, 16.6% elo% vs. simple_bot, avg. reward: -5.691, 1.418 sec/game, 4.4 min. total, 469.6 MB
subwoofer_thriving v6 231 games, 172756 moves, e=0.829, loss: 4.4, -, 16.2% elo% vs. simple_bot, avg. reward: -5.704, 1.407 sec/game, 4.4 min. total, 469.7 MB
subwoofer_thriving v6 232 games, 173628 moves, e=0.828, loss: 4.5, -, 15.8% elo% vs. simple_bot, avg. reward: -5.696, 1.427 sec/game, 4.5 min. total, 472.0 MB
subwoofer_thriving v6 233 games, 174466 moves, e=0.827, loss: 4.3, -, 15.4% elo% vs. simple_bot, avg. reward: -5.688, 1.455 sec/game, 4.5 min. total, 471.3 MB
subwoofer_thriving v6 234 games, 175243 moves, e=0.827, loss: 4.2, -, 15.1% elo% vs. simple_bot, avg. reward: -5.681, 1.456 sec/game, 4.5 min. total, 474.1 MB
subwoofer_thriving v6 235 games, 176093 moves, e=0.826, loss: 4.2, -, 14.7% elo% vs. simple_bot, avg. reward: -5.676, 1.472 sec/game, 4.5 min. total, 471.1 MB
subwoofer_thriving v6 236 games, 176963 moves, e=0.825, loss: 4.2, -, 14.4% elo% vs. simple_bot, avg. reward: -5.657, 1.500 sec/game, 4.6 min. total, 471.1 MB
subwoofer_thriving v6 237 games, 177792 moves, e=0.824, loss: 4.4, -, 14.0% elo% vs. simple_bot, avg. reward: -5.651, 1.512 sec/game, 4.6 min. total, 472.9 MB
subwoofer_thriving v6 238 games, 178499 moves, e=0.823, loss: 4.2, -, 13.7% elo% vs. simple_bot, avg. reward: -5.657, 1.502 sec/game, 4.6 min. total, 471.5 MB
subwoofer_thriving v6 239 games, 179427 moves, e=0.822, loss: 4.3, -, 13.4% elo% vs. simple_bot, avg. reward: -5.645, 1.520 sec/game, 4.6 min. total, 473.5 MB
subwoofer_thriving v6 240 games, 180221 moves, e=0.822, loss: 4.2, -, 13.1% elo% vs. simple_bot, avg. reward: -5.647, 1.529 sec/game, 4.7 min. total, 471.3 MB
subwoofer_thriving v6 241 games, 181122 moves, e=0.821, loss: 4.3, -, 12.9% elo% vs. simple_bot, avg. reward: -5.644, 1.550 sec/game, 4.7 min. total, 471.3 MB
subwoofer_thriving v6 242 games, 181953 moves, e=0.820, loss: 4.3, -, 12.6% elo% vs. simple_bot, avg. reward: -5.634, 1.551 sec/game, 4.7 min. total, 472.2 MB
subwoofer_thriving v6 243 games, 182724 moves, e=0.819, loss: 4.2, -, 12.4% elo% vs. simple_bot, avg. reward: -5.633, 1.562 sec/game, 4.7 min. total, 474.4 MB
subwoofer_thriving v6 244 games, 183645 moves, e=0.818, loss: 4.6, -, 12.1% elo% vs. simple_bot, avg. reward: -5.616, 1.567 sec/game, 4.8 min. total, 474.0 MB
subwoofer_thriving v6 245 games, 184639 moves, e=0.817, loss: 4.4, -, 11.9% elo% vs. simple_bot, avg. reward: -5.601, 1.574 sec/game, 4.8 min. total, 474.0 MB
subwoofer_thriving v6 246 games, 185485 moves, e=0.816, loss: 4.2, -, 11.7% elo% vs. simple_bot, avg. reward: -5.588, 1.581 sec/game, 4.8 min. total, 474.4 MB
subwoofer_thriving v6 247 games, 186289 moves, e=0.816, loss: 4.1, -, 11.4% elo% vs. simple_bot, avg. reward: -5.577, 1.574 sec/game, 4.9 min. total, 474.9 MB
subwoofer_thriving v6 248 games, 187112 moves, e=0.815, loss: 4.3, -, 11.2% elo% vs. simple_bot, avg. reward: -5.572, 1.567 sec/game, 4.9 min. total, 473.8 MB
subwoofer_thriving v6 249 games, 188078 moves, e=0.814, loss: 4.1, -, 11.0% elo% vs. simple_bot, avg. reward: -5.556, 1.572 sec/game, 4.9 min. total, 475.0 MB
subwoofer_thriving v6 250 games, 188999 moves, e=0.813, loss: 4.0, -, 10.8% elo% vs. simple_bot, avg. reward: -5.542, 1.577 sec/game, 4.9 min. total, 476.6 MB
subwoofer_thriving v6 251 games, 189883 moves, e=0.812, loss: 3.9, -, 10.6% elo% vs. simple_bot, avg. reward: -5.528, 1.605 sec/game, 5.0 min. total, 475.9 MB
subwoofer_thriving v6 252 games, 190669 moves, e=0.811, loss: 4.2, -, 10.4% elo% vs. simple_bot, avg. reward: -5.525, 1.594 sec/game, 5.0 min. total, 475.4 MB
subwoofer_thriving v6 253 games, 191406 moves, e=0.811, loss: 4.2, -, 10.3% elo% vs. simple_bot, avg. reward: -5.528, 1.573 sec/game, 5.0 min. total, 478.1 MB
subwoofer_thriving v6 254 games, 192255 moves, e=0.810, loss: 4.1, -, 10.1% elo% vs. simple_bot, avg. reward: -5.514, 1.562 sec/game, 5.0 min. total, 476.8 MB
subwoofer_thriving v6 255 games, 193057 moves, e=0.809, loss: 4.2, -, 9.9% elo% vs. simple_bot, avg. reward: -5.518, 1.551 sec/game, 5.1 min. total, 476.2 MB
subwoofer_thriving v6 256 games, 193785 moves, e=0.808, loss: 4.3, -, 9.8% elo% vs. simple_bot, avg. reward: -5.522, 1.522 sec/game, 5.1 min. total, 476.6 MB
subwoofer_thriving v6 257 games, 194561 moves, e=0.807, loss: 4.4, -, 9.6% elo% vs. simple_bot, avg. reward: -5.526, 1.514 sec/game, 5.1 min. total, 477.3 MB
subwoofer_thriving v6 258 games, 195406 moves, e=0.807, loss: 4.2, -, 9.5% elo% vs. simple_bot, avg. reward: -5.528, 1.518 sec/game, 5.1 min. total, 477.1 MB
subwoofer_thriving v6 259 games, 196208 moves, e=0.806, loss: 4.1, -, 9.3% elo% vs. simple_bot, avg. reward: -5.522, 1.510 sec/game, 5.2 min. total, 478.9 MB
subwoofer_thriving v6 260 games, 197061 moves, e=0.805, loss: 4.2, -, 9.2% elo% vs. simple_bot, avg. reward: -5.522, 1.516 sec/game, 5.2 min. total, 479.8 MB
subwoofer_thriving v6 261 games, 197846 moves, e=0.804, loss: 4.3, -, 9.0% elo% vs. simple_bot, avg. reward: -5.518, 1.494 sec/game, 5.2 min. total, 479.4 MB
subwoofer_thriving v6 262 games, 198605 moves, e=0.803, loss: 4.5, -, 8.9% elo% vs. simple_bot, avg. reward: -5.505, 1.485 sec/game, 5.2 min. total, 477.7 MB
subwoofer_thriving v6 263 games, 199442 moves, e=0.803, loss: 4.4, -, 8.8% elo% vs. simple_bot, avg. reward: -5.502, 1.484 sec/game, 5.2 min. total, 479.6 MB
subwoofer_thriving v6 264 games, 200287 moves, e=0.802, loss: 4.3, -, 8.6% elo% vs. simple_bot, avg. reward: -5.498, 1.468 sec/game, 5.3 min. total, 479.2 MB
subwoofer_thriving v6 265 games, 201127 moves, e=0.801, loss: 4.2, -, 8.5% elo% vs. simple_bot, avg. reward: -5.504, 1.444 sec/game, 5.3 min. total, 478.9 MB
subwoofer_thriving v6 266 games, 201918 moves, e=0.800, loss: 4.0, -, 8.4% elo% vs. simple_bot, avg. reward: -5.502, 1.424 sec/game, 5.3 min. total, 478.5 MB
subwoofer_thriving v6 267 games, 202770 moves, e=0.799, loss: 4.1, -, 8.3% elo% vs. simple_bot, avg. reward: -5.504, 1.413 sec/game, 5.3 min. total, 479.0 MB
subwoofer_thriving v6 268 games, 203516 moves, e=0.799, loss: 4.2, -, 8.1% elo% vs. simple_bot, avg. reward: -5.489, 1.403 sec/game, 5.4 min. total, 480.4 MB
subwoofer_thriving v6 269 games, 204264 moves, e=0.798, loss: 4.1, -, 8.0% elo% vs. simple_bot, avg. reward: -5.487, 1.375 sec/game, 5.4 min. total, 480.3 MB
subwoofer_thriving v6 270 games, 205254 moves, e=0.797, loss: 4.1, -, 7.9% elo% vs. simple_bot, avg. reward: -5.473, 1.379 sec/game, 5.4 min. total, 480.1 MB
subwoofer_thriving v6 271 games, 206180 moves, e=0.796, loss: 4.0, -, 7.8% elo% vs. simple_bot, avg. reward: -5.468, 1.364 sec/game, 5.4 min. total, 481.4 MB
subwoofer_thriving v6 272 games, 207027 moves, e=0.795, loss: 4.4, -, 7.7% elo% vs. simple_bot, avg. reward: -5.472, 1.370 sec/game, 5.5 min. total, 480.9 MB
subwoofer_thriving v6 273 games, 207852 moves, e=0.794, loss: 4.3, -, 7.6% elo% vs. simple_bot, avg. reward: -5.465, 1.372 sec/game, 5.5 min. total, 480.5 MB
subwoofer_thriving v6 274 games, 208653 moves, e=0.793, loss: 4.4, -, 7.5% elo% vs. simple_bot, avg. reward: -5.463, 1.388 sec/game, 5.5 min. total, 482.1 MB
subwoofer_thriving v6 275 games, 209552 moves, e=0.793, loss: 4.7, -, 7.4% elo% vs. simple_bot, avg. reward: -5.454, 1.402 sec/game, 5.5 min. total, 479.6 MB
subwoofer_thriving v6 276 games, 210271 moves, e=0.792, loss: 4.6, -, 7.3% elo% vs. simple_bot, avg. reward: -5.457, 1.402 sec/game, 5.6 min. total, 480.5 MB
subwoofer_thriving v6 277 games, 211107 moves, e=0.791, loss: 4.4, -, 7.2% elo% vs. simple_bot, avg. reward: -5.435, 1.427 sec/game, 5.6 min. total, 480.6 MB
subwoofer_thriving v6 278 games, 211920 moves, e=0.790, loss: 4.4, -, 7.2% elo% vs. simple_bot, avg. reward: -5.426, 1.427 sec/game, 5.6 min. total, 482.4 MB
subwoofer_thriving v6 279 games, 212772 moves, e=0.789, loss: 4.6, -, 7.1% elo% vs. simple_bot, avg. reward: -5.414, 1.427 sec/game, 5.6 min. total, 482.2 MB
subwoofer_thriving v6 280 games, 213587 moves, e=0.789, loss: 4.5, -, 7.0% elo% vs. simple_bot, avg. reward: -5.416, 1.414 sec/game, 5.7 min. total, 481.3 MB
subwoofer_thriving v6 281 games, 214476 moves, e=0.788, loss: 4.9, -, 6.9% elo% vs. simple_bot, avg. reward: -5.407, 1.423 sec/game, 5.7 min. total, 481.9 MB
subwoofer_thriving v6 282 games, 215307 moves, e=0.787, loss: 4.8, -, 6.8% elo% vs. simple_bot, avg. reward: -5.405, 1.434 sec/game, 5.7 min. total, 481.4 MB
subwoofer_thriving v6 283 games, 216132 moves, e=0.786, loss: 4.8, -, 6.7% elo% vs. simple_bot, avg. reward: -5.403, 1.432 sec/game, 5.7 min. total, 483.9 MB
subwoofer_thriving v6 284 games, 216994 moves, e=0.785, loss: 4.6, -, 6.7% elo% vs. simple_bot, avg. reward: -5.397, 1.437 sec/game, 5.7 min. total, 482.7 MB
subwoofer_thriving v6 285 games, 217853 moves, e=0.784, loss: 4.4, -, 6.6% elo% vs. simple_bot, avg. reward: -5.381, 1.429 sec/game, 5.8 min. total, 482.0 MB
subwoofer_thriving v6 286 games, 218622 moves, e=0.784, loss: 4.6, -, 6.5% elo% vs. simple_bot, avg. reward: -5.374, 1.422 sec/game, 5.8 min. total, 483.7 MB
subwoofer_thriving v6 287 games, 219484 moves, e=0.783, loss: 4.4, -, 6.4% elo% vs. simple_bot, avg. reward: -5.367, 1.420 sec/game, 5.8 min. total, 484.6 MB
subwoofer_thriving v6 288 games, 220260 moves, e=0.782, loss: 4.4, -, 6.4% elo% vs. simple_bot, avg. reward: -5.348, 1.423 sec/game, 5.8 min. total, 482.1 MB
subwoofer_thriving v6 289 games, 221151 moves, e=0.781, loss: 4.6, -, 6.3% elo% vs. simple_bot, avg. reward: -5.344, 1.430 sec/game, 5.9 min. total, 482.9 MB
subwoofer_thriving v6 290 games, 222029 moves, e=0.780, loss: 5.0, -, 6.2% elo% vs. simple_bot, avg. reward: -5.336, 1.416 sec/game, 5.9 min. total, 482.2 MB
subwoofer_thriving v6 291 games, 222932 moves, e=0.779, loss: 4.9, -, 6.2% elo% vs. simple_bot, avg. reward: -5.330, 1.419 sec/game, 5.9 min. total, 482.9 MB
subwoofer_thriving v6 292 games, 223845 moves, e=0.778, loss: 4.8, -, 6.1% elo% vs. simple_bot, avg. reward: -5.325, 1.417 sec/game, 5.9 min. total, 483.8 MB
