subwoofer_thriving v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.7 MB
subwoofer_thriving v2 34 games, 23854 moves, e=0.976, loss: 3.0, +, 69.1% elo% vs. guard_bot, avg. reward: -6.647, 1.050 sec/game, 0.4 min. total, 428.6 MB
subwoofer_thriving v2 35 games, 24565 moves, e=0.976, loss: 3.0, +, 70.3% elo% vs. guard_bot, avg. reward: -6.642, 1.054 sec/game, 0.4 min. total, 429.3 MB
subwoofer_thriving v3 36 games, 25265 moves, e=0.975, loss: 3.2, -, 49.9% elo% vs. random_no_suicide, avg. reward: -6.636, 1.067 sec/game, 0.4 min. total, 429.7 MB
subwoofer_thriving v3 37 games, 25989 moves, e=0.974, loss: 3.3, -, 47.6% elo% vs. random_no_suicide, avg. reward: -6.630, 1.068 sec/game, 0.4 min. total, 428.4 MB
subwoofer_thriving v3 38 games, 26701 moves, e=0.974, loss: 3.1, -, 45.4% elo% vs. random_no_suicide, avg. reward: -6.631, 1.069 sec/game, 0.5 min. total, 428.4 MB
subwoofer_thriving v3 39 games, 27462 moves, e=0.973, loss: 3.3, -, 43.4% elo% vs. random_no_suicide, avg. reward: -6.616, 1.085 sec/game, 0.5 min. total, 429.1 MB
subwoofer_thriving v3 40 games, 28080 moves, e=0.972, loss: 3.2, -, 41.4% elo% vs. random_no_suicide, avg. reward: -6.633, 1.074 sec/game, 0.5 min. total, 430.4 MB
subwoofer_thriving v3 41 games, 28871 moves, e=0.971, loss: 3.2, -, 39.6% elo% vs. random_no_suicide, avg. reward: -6.613, 1.078 sec/game, 0.5 min. total, 429.6 MB
subwoofer_thriving v3 42 games, 29589 moves, e=0.971, loss: 3.3, -, 37.8% elo% vs. random_no_suicide, avg. reward: -6.604, 1.081 sec/game, 0.5 min. total, 431.5 MB
subwoofer_thriving v3 43 games, 30247 moves, e=0.970, loss: 3.2, -, 36.2% elo% vs. random_no_suicide, avg. reward: -6.612, 1.077 sec/game, 0.6 min. total, 431.2 MB
subwoofer_thriving v3 44 games, 30881 moves, e=0.969, loss: 3.0, +, 39.0% elo% vs. random_no_suicide, avg. reward: -6.629, 1.079 sec/game, 0.6 min. total, 433.0 MB
subwoofer_thriving v3 45 games, 31637 moves, e=0.969, loss: 3.0, +, 41.7% elo% vs. random_no_suicide, avg. reward: -6.616, 1.080 sec/game, 0.6 min. total, 433.9 MB
subwoofer_thriving v3 46 games, 32448 moves, e=0.968, loss: 3.4, -, 39.8% elo% vs. random_no_suicide, avg. reward: -6.598, 1.083 sec/game, 0.6 min. total, 433.1 MB
subwoofer_thriving v3 47 games, 33168 moves, e=0.967, loss: 3.3, -, 38.1% elo% vs. random_no_suicide, avg. reward: -6.593, 1.084 sec/game, 0.6 min. total, 433.9 MB
subwoofer_thriving v3 48 games, 33821 moves, e=0.967, loss: 3.2, -, 36.4% elo% vs. random_no_suicide, avg. reward: -6.598, 1.086 sec/game, 0.6 min. total, 435.4 MB
subwoofer_thriving v3 49 games, 34520 moves, e=0.966, loss: 3.0, +, 39.2% elo% vs. random_no_suicide, avg. reward: -6.594, 1.084 sec/game, 0.7 min. total, 435.4 MB
subwoofer_thriving v3 50 games, 35239 moves, e=0.965, loss: 2.9, -, 37.5% elo% vs. random_no_suicide, avg. reward: -6.591, 1.085 sec/game, 0.7 min. total, 433.3 MB
subwoofer_thriving v3 51 games, 35922 moves, e=0.964, loss: 3.0, -, 35.9% elo% vs. random_no_suicide, avg. reward: -6.590, 1.087 sec/game, 0.7 min. total, 436.1 MB
subwoofer_thriving v3 52 games, 36608 moves, e=0.964, loss: 3.2, +, 38.6% elo% vs. random_no_suicide, avg. reward: -6.589, 1.085 sec/game, 0.7 min. total, 435.0 MB
subwoofer_thriving v3 53 games, 37353 moves, e=0.963, loss: 3.1, +, 41.4% elo% vs. random_no_suicide, avg. reward: -6.582, 1.087 sec/game, 0.7 min. total, 435.7 MB
subwoofer_thriving v3 54 games, 37950 moves, e=0.962, loss: 3.0, -, 39.5% elo% vs. random_no_suicide, avg. reward: -6.610, 1.079 sec/game, 0.7 min. total, 435.0 MB
subwoofer_thriving v3 55 games, 38705 moves, e=0.962, loss: 2.7, +, 42.2% elo% vs. random_no_suicide, avg. reward: -6.602, 1.089 sec/game, 0.8 min. total, 435.9 MB
subwoofer_thriving v3 56 games, 39444 moves, e=0.961, loss: 3.1, +, 44.8% elo% vs. random_no_suicide, avg. reward: -6.593, 1.091 sec/game, 0.8 min. total, 436.7 MB
subwoofer_thriving v3 57 games, 40208 moves, e=0.960, loss: 2.9, -, 42.8% elo% vs. random_no_suicide, avg. reward: -6.581, 1.091 sec/game, 0.8 min. total, 436.0 MB
subwoofer_thriving v3 58 games, 40960 moves, e=0.959, loss: 3.0, -, 40.9% elo% vs. random_no_suicide, avg. reward: -6.575, 1.103 sec/game, 0.8 min. total, 436.9 MB
subwoofer_thriving v3 59 games, 41607 moves, e=0.959, loss: 3.0, ., 41.3% elo% vs. random_no_suicide, avg. reward: -6.583, 1.092 sec/game, 0.8 min. total, 436.1 MB
subwoofer_thriving v3 60 games, 42390 moves, e=0.958, loss: 3.0, -, 39.5% elo% vs. random_no_suicide, avg. reward: -6.571, 1.101 sec/game, 0.9 min. total, 436.1 MB
subwoofer_thriving v3 61 games, 43048 moves, e=0.957, loss: 2.9, -, 37.7% elo% vs. random_no_suicide, avg. reward: -6.578, 1.086 sec/game, 0.9 min. total, 436.5 MB
subwoofer_thriving v3 62 games, 43656 moves, e=0.957, loss: 3.0, -, 36.1% elo% vs. random_no_suicide, avg. reward: -6.594, 1.080 sec/game, 0.9 min. total, 436.5 MB
subwoofer_thriving v3 63 games, 44416 moves, e=0.956, loss: 2.9, -, 34.6% elo% vs. random_no_suicide, avg. reward: -6.588, 1.095 sec/game, 0.9 min. total, 436.2 MB
subwoofer_thriving v3 64 games, 45168 moves, e=0.955, loss: 3.0, +, 37.4% elo% vs. random_no_suicide, avg. reward: -6.580, 1.099 sec/game, 0.9 min. total, 436.2 MB
subwoofer_thriving v3 65 games, 45925 moves, e=0.955, loss: 2.8, +, 40.1% elo% vs. random_no_suicide, avg. reward: -6.573, 1.102 sec/game, 1.0 min. total, 435.9 MB
subwoofer_thriving v3 66 games, 46673 moves, e=0.954, loss: 2.7, +, 42.8% elo% vs. random_no_suicide, avg. reward: -6.566, 1.105 sec/game, 1.0 min. total, 436.8 MB
subwoofer_thriving v3 67 games, 47445 moves, e=0.953, loss: 2.7, +, 45.4% elo% vs. random_no_suicide, avg. reward: -6.559, 1.107 sec/game, 1.0 min. total, 436.4 MB
subwoofer_thriving v3 68 games, 48208 moves, e=0.952, loss: 2.7, ., 45.6% elo% vs. random_no_suicide, avg. reward: -6.548, 1.118 sec/game, 1.0 min. total, 436.0 MB
subwoofer_thriving v3 69 games, 48946 moves, e=0.952, loss: 2.9, +, 48.1% elo% vs. random_no_suicide, avg. reward: -6.544, 1.130 sec/game, 1.0 min. total, 436.4 MB
subwoofer_thriving v3 70 games, 49768 moves, e=0.951, loss: 2.9, -, 45.9% elo% vs. random_no_suicide, avg. reward: -6.529, 1.136 sec/game, 1.1 min. total, 437.3 MB
subwoofer_thriving v3 71 games, 50450 moves, e=0.950, loss: 2.7, -, 43.8% elo% vs. random_no_suicide, avg. reward: -6.527, 1.144 sec/game, 1.1 min. total, 437.9 MB
subwoofer_thriving v3 72 games, 51246 moves, e=0.949, loss: 2.6, -, 41.8% elo% vs. random_no_suicide, avg. reward: -6.516, 1.147 sec/game, 1.1 min. total, 436.4 MB
subwoofer_thriving v3 73 games, 51957 moves, e=0.949, loss: 2.7, +, 44.4% elo% vs. random_no_suicide, avg. reward: -6.514, 1.157 sec/game, 1.1 min. total, 438.9 MB
subwoofer_thriving v3 74 games, 52697 moves, e=0.948, loss: 2.8, +, 47.0% elo% vs. random_no_suicide, avg. reward: -6.509, 1.172 sec/game, 1.1 min. total, 438.0 MB
subwoofer_thriving v3 75 games, 53459 moves, e=0.947, loss: 2.8, +, 49.4% elo% vs. random_no_suicide, avg. reward: -6.503, 1.181 sec/game, 1.2 min. total, 439.3 MB
subwoofer_thriving v3 76 games, 54186 moves, e=0.946, loss: 2.5, +, 51.7% elo% vs. random_no_suicide, avg. reward: -6.502, 1.180 sec/game, 1.2 min. total, 439.5 MB
subwoofer_thriving v3 77 games, 54891 moves, e=0.946, loss: 2.6, -, 49.4% elo% vs. random_no_suicide, avg. reward: -6.500, 1.179 sec/game, 1.2 min. total, 438.7 MB
subwoofer_thriving v3 78 games, 55599 moves, e=0.945, loss: 2.8, ., 49.4% elo% vs. random_no_suicide, avg. reward: -6.503, 1.182 sec/game, 1.2 min. total, 439.7 MB
subwoofer_thriving v3 79 games, 56345 moves, e=0.944, loss: 2.8, +, 51.7% elo% vs. random_no_suicide, avg. reward: -6.495, 1.200 sec/game, 1.2 min. total, 440.3 MB
subwoofer_thriving v3 80 games, 57004 moves, e=0.944, loss: 2.9, +, 53.9% elo% vs. random_no_suicide, avg. reward: -6.500, 1.191 sec/game, 1.3 min. total, 438.5 MB
subwoofer_thriving v3 81 games, 57796 moves, e=0.943, loss: 3.1, -, 51.5% elo% vs. random_no_suicide, avg. reward: -6.490, 1.201 sec/game, 1.3 min. total, 440.0 MB
subwoofer_thriving v3 82 games, 58597 moves, e=0.942, loss: 3.1, -, 49.1% elo% vs. random_no_suicide, avg. reward: -6.479, 1.216 sec/game, 1.3 min. total, 441.2 MB
