utmost_conform v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.8 MB
utmost_conform v11 733 games, 870934 moves, e=0.138, loss: 2.8, -, 15.4% elo% vs. simple_bot, avg. reward: -2.594, 6.205 sec/game, 34.6 min. total, 730.5 MB
utmost_conform v11 734 games, 873492 moves, e=0.135, loss: 3.0, -, 15.1% elo% vs. simple_bot, avg. reward: -2.581, 6.222 sec/game, 34.7 min. total, 730.4 MB
utmost_conform v11 735 games, 876416 moves, e=0.132, loss: 3.1, -, 14.7% elo% vs. simple_bot, avg. reward: -2.569, 6.288 sec/game, 34.8 min. total, 732.5 MB
utmost_conform v11 736 games, 879617 moves, e=0.129, loss: 2.9, -, 14.4% elo% vs. simple_bot, avg. reward: -2.550, 6.356 sec/game, 34.9 min. total, 734.0 MB
utmost_conform v11 737 games, 882705 moves, e=0.126, loss: 2.8, -, 14.0% elo% vs. simple_bot, avg. reward: -2.533, 6.428 sec/game, 35.0 min. total, 735.9 MB
utmost_conform v11 738 games, 885445 moves, e=0.123, loss: 2.5, -, 13.7% elo% vs. simple_bot, avg. reward: -2.515, 6.459 sec/game, 35.2 min. total, 736.8 MB
utmost_conform v11 739 games, 888664 moves, e=0.120, loss: 2.7, -, 13.4% elo% vs. simple_bot, avg. reward: -2.493, 6.541 sec/game, 35.3 min. total, 736.6 MB
utmost_conform v11 740 games, 891943 moves, e=0.117, loss: 2.7, -, 13.1% elo% vs. simple_bot, avg. reward: -2.472, 6.613 sec/game, 35.4 min. total, 735.2 MB
utmost_conform v11 741 games, 895357 moves, e=0.114, loss: 2.8, -, 12.9% elo% vs. simple_bot, avg. reward: -2.438, 6.704 sec/game, 35.5 min. total, 737.0 MB
utmost_conform v11 742 games, 898494 moves, e=0.110, loss: 2.8, -, 12.6% elo% vs. simple_bot, avg. reward: -2.416, 6.761 sec/game, 35.7 min. total, 740.4 MB
utmost_conform v11 743 games, 901750 moves, e=0.107, loss: 2.7, -, 12.4% elo% vs. simple_bot, avg. reward: -2.398, 6.799 sec/game, 35.8 min. total, 740.5 MB
utmost_conform v11 744 games, 904590 moves, e=0.104, loss: 2.4, -, 12.1% elo% vs. simple_bot, avg. reward: -2.384, 6.827 sec/game, 35.9 min. total, 738.1 MB
utmost_conform v11 745 games, 907187 moves, e=0.102, loss: 4.0, -, 11.9% elo% vs. simple_bot, avg. reward: -2.370, 6.800 sec/game, 36.0 min. total, 736.6 MB
utmost_conform v11 746 games, 910392 moves, e=0.099, loss: 3.4, -, 11.7% elo% vs. simple_bot, avg. reward: -2.346, 6.821 sec/game, 36.1 min. total, 737.8 MB
utmost_conform v11 747 games, 913405 moves, e=0.096, loss: 3.2, -, 11.4% elo% vs. simple_bot, avg. reward: -2.331, 6.820 sec/game, 36.2 min. total, 738.9 MB
utmost_conform v11 748 games, 916378 moves, e=0.093, loss: 2.7, -, 11.2% elo% vs. simple_bot, avg. reward: -2.316, 6.840 sec/game, 36.3 min. total, 741.7 MB
utmost_conform v11 749 games, 919832 moves, e=0.089, loss: 2.9, -, 11.0% elo% vs. simple_bot, avg. reward: -2.293, 6.917 sec/game, 36.5 min. total, 741.1 MB
utmost_conform v11 750 games, 923309 moves, e=0.086, loss: 2.8, -, 10.8% elo% vs. simple_bot, avg. reward: -2.273, 6.979 sec/game, 36.6 min. total, 743.2 MB
utmost_conform v11 751 games, 926757 moves, e=0.083, loss: 2.8, -, 10.6% elo% vs. simple_bot, avg. reward: -2.246, 7.037 sec/game, 36.7 min. total, 745.2 MB
utmost_conform v11 752 games, 930017 moves, e=0.079, loss: 2.6, -, 10.4% elo% vs. simple_bot, avg. reward: -2.222, 7.101 sec/game, 36.9 min. total, 743.4 MB
utmost_conform v11 753 games, 933816 moves, e=0.076, loss: 2.9, +, 12.1% elo% vs. simple_bot, avg. reward: -2.197, 7.216 sec/game, 37.0 min. total, 747.3 MB
utmost_conform v11 754 games, 937576 moves, e=0.072, loss: 2.4, +, 13.9% elo% vs. simple_bot, avg. reward: -2.167, 7.347 sec/game, 37.1 min. total, 747.6 MB
utmost_conform v11 755 games, 941556 moves, e=0.068, loss: 2.5, -, 13.6% elo% vs. simple_bot, avg. reward: -2.146, 7.462 sec/game, 37.3 min. total, 747.3 MB
utmost_conform v11 756 games, 945049 moves, e=0.064, loss: 2.6, -, 13.3% elo% vs. simple_bot, avg. reward: -2.128, 7.510 sec/game, 37.4 min. total, 749.1 MB
utmost_conform v11 757 games, 948478 moves, e=0.061, loss: 2.9, -, 13.0% elo% vs. simple_bot, avg. reward: -2.111, 7.550 sec/game, 37.6 min. total, 749.4 MB
utmost_conform v11 758 games, 952152 moves, e=0.057, loss: 2.6, -, 12.8% elo% vs. simple_bot, avg. reward: -2.092, 7.664 sec/game, 37.7 min. total, 749.8 MB
utmost_conform v11 759 games, 955926 moves, e=0.054, loss: 2.5, -, 12.5% elo% vs. simple_bot, avg. reward: -2.071, 7.720 sec/game, 37.9 min. total, 748.5 MB
utmost_conform v11 760 games, 959041 moves, e=0.051, loss: 2.3, -, 12.3% elo% vs. simple_bot, avg. reward: -2.054, 7.698 sec/game, 38.0 min. total, 748.7 MB
utmost_conform v11 761 games, 962787 moves, e=0.047, loss: 2.7, -, 12.0% elo% vs. simple_bot, avg. reward: -2.036, 7.730 sec/game, 38.1 min. total, 750.3 MB
utmost_conform v11 762 games, 966583 moves, e=0.043, loss: 2.2, -, 11.8% elo% vs. simple_bot, avg. reward: -2.014, 7.783 sec/game, 38.3 min. total, 749.7 MB
utmost_conform v11 763 games, 970067 moves, e=0.040, loss: 2.9, -, 11.6% elo% vs. simple_bot, avg. reward: -1.994, 7.814 sec/game, 38.4 min. total, 751.7 MB
utmost_conform v11 764 games, 973833 moves, e=0.036, loss: 3.0, -, 11.3% elo% vs. simple_bot, avg. reward: -1.966, 7.906 sec/game, 38.5 min. total, 752.0 MB
utmost_conform v11 765 games, 977781 moves, e=0.032, loss: 3.2, -, 11.1% elo% vs. simple_bot, avg. reward: -1.939, 8.038 sec/game, 38.7 min. total, 753.5 MB
utmost_conform v11 766 games, 982195 moves, e=0.028, loss: 2.8, -, 10.9% elo% vs. simple_bot, avg. reward: -1.909, 8.179 sec/game, 38.8 min. total, 753.1 MB
utmost_conform v11 767 games, 986041 moves, e=0.024, loss: 3.3, -, 10.7% elo% vs. simple_bot, avg. reward: -1.884, 8.288 sec/game, 39.0 min. total, 751.7 MB
utmost_conform v11 768 games, 989284 moves, e=0.021, loss: 3.0, -, 10.6% elo% vs. simple_bot, avg. reward: -1.857, 8.310 sec/game, 39.1 min. total, 752.6 MB
utmost_conform v11 769 games, 992206 moves, e=0.018, loss: 3.9, -, 10.4% elo% vs. simple_bot, avg. reward: -1.839, 8.260 sec/game, 39.2 min. total, 752.6 MB
utmost_conform v11 770 games, 995724 moves, e=0.014, loss: 3.0, -, 10.2% elo% vs. simple_bot, avg. reward: -1.817, 8.269 sec/game, 39.4 min. total, 756.9 MB
utmost_conform v11 771 games, 998811 moves, e=0.011, loss: 3.2, -, 10.0% elo% vs. simple_bot, avg. reward: -1.796, 8.241 sec/game, 39.5 min. total, 757.2 MB
utmost_conform v11 772 games, 1002568 moves, e=0.010, loss: 3.6, -, 9.9% elo% vs. simple_bot, avg. reward: -1.774, 8.288 sec/game, 39.6 min. total, 757.5 MB
utmost_conform v11 773 games, 1006104 moves, e=0.010, loss: 3.0, +, 11.4% elo% vs. simple_bot, avg. reward: -1.750, 8.265 sec/game, 39.8 min. total, 759.0 MB
utmost_conform v11 774 games, 1009782 moves, e=0.010, loss: 2.5, -, 11.2% elo% vs. simple_bot, avg. reward: -1.729, 8.243 sec/game, 39.9 min. total, 758.7 MB
utmost_conform v11 775 games, 1013472 moves, e=0.010, loss: 2.1, -, 11.0% elo% vs. simple_bot, avg. reward: -1.708, 8.217 sec/game, 40.0 min. total, 760.3 MB
utmost_conform v11 776 games, 1016918 moves, e=0.010, loss: 2.2, -, 10.8% elo% vs. simple_bot, avg. reward: -1.679, 8.200 sec/game, 40.2 min. total, 758.7 MB
utmost_conform v11 777 games, 1020769 moves, e=0.010, loss: 2.4, -, 10.6% elo% vs. simple_bot, avg. reward: -1.653, 8.246 sec/game, 40.3 min. total, 759.9 MB
utmost_conform v11 778 games, 1024961 moves, e=0.010, loss: 2.0, -, 10.4% elo% vs. simple_bot, avg. reward: -1.623, 8.293 sec/game, 40.5 min. total, 761.0 MB
utmost_conform v11 779 games, 1028762 moves, e=0.010, loss: 2.0, -, 10.3% elo% vs. simple_bot, avg. reward: -1.600, 8.290 sec/game, 40.6 min. total, 759.6 MB
utmost_conform v11 780 games, 1032163 moves, e=0.010, loss: 2.8, -, 10.1% elo% vs. simple_bot, avg. reward: -1.576, 8.316 sec/game, 40.7 min. total, 760.8 MB
utmost_conform v11 781 games, 1035399 moves, e=0.010, loss: 3.2, -, 9.9% elo% vs. simple_bot, avg. reward: -1.553, 8.281 sec/game, 40.9 min. total, 763.3 MB
utmost_conform v11 782 games, 1039069 moves, e=0.010, loss: 3.7, -, 9.8% elo% vs. simple_bot, avg. reward: -1.533, 8.266 sec/game, 41.0 min. total, 762.8 MB
utmost_conform v11 783 games, 1043080 moves, e=0.010, loss: 3.1, -, 9.6% elo% vs. simple_bot, avg. reward: -1.514, 8.333 sec/game, 41.2 min. total, 763.6 MB
utmost_conform v11 784 games, 1046675 moves, e=0.010, loss: 2.9, -, 9.5% elo% vs. simple_bot, avg. reward: -1.490, 8.310 sec/game, 41.3 min. total, 762.0 MB
utmost_conform v11 785 games, 1049755 moves, e=0.010, loss: 3.6, -, 9.3% elo% vs. simple_bot, avg. reward: -1.469, 8.239 sec/game, 41.4 min. total, 763.1 MB
utmost_conform v11 786 games, 1053406 moves, e=0.010, loss: 3.8, -, 9.2% elo% vs. simple_bot, avg. reward: -1.442, 8.146 sec/game, 41.6 min. total, 764.7 MB
utmost_conform v11 787 games, 1057300 moves, e=0.010, loss: 3.5, -, 9.0% elo% vs. simple_bot, avg. reward: -1.419, 8.144 sec/game, 41.7 min. total, 763.5 MB
utmost_conform v11 788 games, 1061230 moves, e=0.010, loss: 2.7, -, 8.9% elo% vs. simple_bot, avg. reward: -1.402, 8.209 sec/game, 41.8 min. total, 765.1 MB
utmost_conform v11 789 games, 1065015 moves, e=0.010, loss: 2.7, -, 8.8% elo% vs. simple_bot, avg. reward: -1.380, 8.301 sec/game, 42.0 min. total, 764.0 MB
utmost_conform v11 790 games, 1068748 moves, e=0.010, loss: 3.1, -, 8.6% elo% vs. simple_bot, avg. reward: -1.362, 8.313 sec/game, 42.1 min. total, 766.4 MB
utmost_conform v11 791 games, 1072885 moves, e=0.010, loss: 3.0, -, 8.5% elo% vs. simple_bot, avg. reward: -1.344, 8.408 sec/game, 42.3 min. total, 765.7 MB
utmost_conform v11 792 games, 1076807 moves, e=0.010, loss: 2.6, -, 8.4% elo% vs. simple_bot, avg. reward: -1.325, 8.432 sec/game, 42.4 min. total, 767.6 MB
utmost_conform v11 793 games, 1080584 moves, e=0.010, loss: 2.5, -, 8.3% elo% vs. simple_bot, avg. reward: -1.303, 8.458 sec/game, 42.6 min. total, 769.4 MB
utmost_conform v11 794 games, 1084902 moves, e=0.010, loss: 2.6, -, 8.2% elo% vs. simple_bot, avg. reward: -1.282, 8.527 sec/game, 42.7 min. total, 769.7 MB
utmost_conform v11 795 games, 1089192 moves, e=0.010, loss: 2.4, -, 8.0% elo% vs. simple_bot, avg. reward: -1.264, 8.598 sec/game, 42.9 min. total, 768.5 MB
utmost_conform v11 796 games, 1093304 moves, e=0.010, loss: 2.2, +, 9.4% elo% vs. simple_bot, avg. reward: -1.242, 8.675 sec/game, 43.1 min. total, 769.8 MB
utmost_conform v11 797 games, 1096895 moves, e=0.010, loss: 2.4, -, 9.2% elo% vs. simple_bot, avg. reward: -1.219, 8.642 sec/game, 43.2 min. total, 769.3 MB
utmost_conform v11 798 games, 1100405 moves, e=0.010, loss: 2.9, -, 9.1% elo% vs. simple_bot, avg. reward: -1.196, 8.563 sec/game, 43.3 min. total, 770.4 MB
utmost_conform v11 799 games, 1104138 moves, e=0.010, loss: 2.8, -, 9.0% elo% vs. simple_bot, avg. reward: -1.178, 8.570 sec/game, 43.5 min. total, 771.0 MB
utmost_conform v11 800 games, 1108060 moves, e=0.010, loss: 2.9, -, 8.8% elo% vs. simple_bot, avg. reward: -1.163, 8.615 sec/game, 43.6 min. total, 773.0 MB
utmost_conform v12 801 games, 1111913 moves, e=0.010, loss: 2.7, -, 47.7% elo% vs. simple_bot, avg. reward: -1.142, 8.667 sec/game, 43.8 min. total, 773.4 MB
utmost_conform v12 802 games, 1115905 moves, e=0.010, loss: 2.3, +, 50.1% elo% vs. simple_bot, avg. reward: -1.124, 8.718 sec/game, 43.9 min. total, 773.8 MB
utmost_conform v12 803 games, 1119865 moves, e=0.010, loss: 2.6, -, 47.8% elo% vs. simple_bot, avg. reward: -1.108, 8.685 sec/game, 44.1 min. total, 774.5 MB
utmost_conform v12 804 games, 1123696 moves, e=0.010, loss: 2.8, -, 45.6% elo% vs. simple_bot, avg. reward: -1.091, 8.706 sec/game, 44.2 min. total, 775.3 MB
utmost_conform v12 805 games, 1127824 moves, e=0.010, loss: 2.9, -, 43.5% elo% vs. simple_bot, avg. reward: -1.070, 8.823 sec/game, 44.4 min. total, 778.4 MB
utmost_conform v12 806 games, 1131790 moves, e=0.010, loss: 3.2, -, 41.6% elo% vs. simple_bot, avg. reward: -1.054, 8.865 sec/game, 44.5 min. total, 779.0 MB
utmost_conform v12 807 games, 1135266 moves, e=0.010, loss: 2.9, -, 39.7% elo% vs. simple_bot, avg. reward: -1.037, 8.817 sec/game, 44.6 min. total, 777.7 MB
utmost_conform v12 808 games, 1138637 moves, e=0.010, loss: 3.1, -, 38.0% elo% vs. simple_bot, avg. reward: -1.024, 8.764 sec/game, 44.8 min. total, 780.4 MB
utmost_conform v12 809 games, 1142511 moves, e=0.010, loss: 3.2, -, 36.4% elo% vs. simple_bot, avg. reward: -1.000, 8.772 sec/game, 44.9 min. total, 780.2 MB
utmost_conform v12 810 games, 1146146 moves, e=0.010, loss: 3.1, -, 34.8% elo% vs. simple_bot, avg. reward: -0.982, 8.788 sec/game, 45.1 min. total, 781.5 MB
utmost_conform v12 811 games, 1150102 moves, e=0.010, loss: 2.2, -, 33.4% elo% vs. simple_bot, avg. reward: -0.963, 8.785 sec/game, 45.2 min. total, 781.1 MB
utmost_conform v12 812 games, 1154002 moves, e=0.010, loss: 2.5, -, 32.0% elo% vs. simple_bot, avg. reward: -0.944, 8.774 sec/game, 45.4 min. total, 782.5 MB
utmost_conform v12 813 games, 1157928 moves, e=0.010, loss: 2.2, -, 30.8% elo% vs. simple_bot, avg. reward: -0.928, 8.775 sec/game, 45.5 min. total, 781.1 MB
utmost_conform v12 814 games, 1162108 moves, e=0.010, loss: 2.0, -, 29.6% elo% vs. simple_bot, avg. reward: -0.910, 8.764 sec/game, 45.7 min. total, 781.4 MB
utmost_conform v12 815 games, 1166185 moves, e=0.010, loss: 1.7, -, 28.4% elo% vs. simple_bot, avg. reward: -0.893, 8.726 sec/game, 45.8 min. total, 782.0 MB
utmost_conform v12 816 games, 1169938 moves, e=0.010, loss: 1.7, -, 27.4% elo% vs. simple_bot, avg. reward: -0.879, 8.686 sec/game, 46.0 min. total, 782.4 MB
utmost_conform v12 817 games, 1173341 moves, e=0.010, loss: 2.0, -, 26.4% elo% vs. simple_bot, avg. reward: -0.861, 8.660 sec/game, 46.1 min. total, 781.6 MB
utmost_conform v12 818 games, 1177268 moves, e=0.010, loss: 2.4, +, 29.1% elo% vs. simple_bot, avg. reward: -0.845, 8.714 sec/game, 46.2 min. total, 784.3 MB
utmost_conform v12 819 games, 1180510 moves, e=0.010, loss: 2.7, -, 28.0% elo% vs. simple_bot, avg. reward: -0.831, 8.651 sec/game, 46.4 min. total, 786.2 MB
utmost_conform v12 820 games, 1183573 moves, e=0.010, loss: 2.6, -, 27.0% elo% vs. simple_bot, avg. reward: -0.817, 8.579 sec/game, 46.5 min. total, 786.5 MB
utmost_conform v12 821 games, 1187654 moves, e=0.010, loss: 2.1, -, 26.0% elo% vs. simple_bot, avg. reward: -0.802, 8.612 sec/game, 46.6 min. total, 789.0 MB
utmost_conform v12 822 games, 1191779 moves, e=0.010, loss: 1.9, -, 25.1% elo% vs. simple_bot, avg. reward: -0.788, 8.623 sec/game, 46.8 min. total, 787.4 MB
utmost_conform v12 823 games, 1195366 moves, e=0.010, loss: 2.3, -, 24.2% elo% vs. simple_bot, avg. reward: -0.776, 8.607 sec/game, 46.9 min. total, 785.2 MB
utmost_conform v12 824 games, 1199394 moves, e=0.010, loss: 2.2, -, 23.4% elo% vs. simple_bot, avg. reward: -0.763, 8.642 sec/game, 47.1 min. total, 786.3 MB
utmost_conform v12 825 games, 1203050 moves, e=0.010, loss: 2.5, -, 22.7% elo% vs. simple_bot, avg. reward: -0.753, 8.570 sec/game, 47.2 min. total, 790.6 MB
utmost_conform v12 826 games, 1207269 moves, e=0.010, loss: 2.1, -, 21.9% elo% vs. simple_bot, avg. reward: -0.744, 8.597 sec/game, 47.4 min. total, 790.7 MB
utmost_conform v12 827 games, 1211362 moves, e=0.010, loss: 2.3, -, 21.3% elo% vs. simple_bot, avg. reward: -0.732, 8.660 sec/game, 47.5 min. total, 791.4 MB
utmost_conform v12 828 games, 1215656 moves, e=0.010, loss: 2.4, ., 22.2% elo% vs. simple_bot, avg. reward: -0.720, 8.765 sec/game, 47.7 min. total, 790.6 MB
utmost_conform v12 829 games, 1219464 moves, e=0.010, loss: 2.1, -, 21.5% elo% vs. simple_bot, avg. reward: -0.707, 8.750 sec/game, 47.8 min. total, 789.8 MB
utmost_conform v12 830 games, 1223098 moves, e=0.010, loss: 2.0, -, 20.8% elo% vs. simple_bot, avg. reward: -0.693, 8.727 sec/game, 48.0 min. total, 788.4 MB
utmost_conform v12 831 games, 1227169 moves, e=0.010, loss: 1.9, -, 20.2% elo% vs. simple_bot, avg. reward: -0.680, 8.735 sec/game, 48.1 min. total, 792.2 MB
utmost_conform v12 832 games, 1230748 moves, e=0.010, loss: 1.9, +, 22.7% elo% vs. simple_bot, avg. reward: -0.667, 8.716 sec/game, 48.3 min. total, 794.5 MB
utmost_conform v12 833 games, 1233989 moves, e=0.010, loss: 2.1, -, 21.9% elo% vs. simple_bot, avg. reward: -0.655, 8.641 sec/game, 48.4 min. total, 795.0 MB
utmost_conform v12 834 games, 1237728 moves, e=0.010, loss: 2.3, -, 21.2% elo% vs. simple_bot, avg. reward: -0.640, 8.603 sec/game, 48.5 min. total, 795.6 MB
utmost_conform v12 835 games, 1241579 moves, e=0.010, loss: 2.0, -, 20.6% elo% vs. simple_bot, avg. reward: -0.630, 8.595 sec/game, 48.7 min. total, 794.2 MB
utmost_conform v12 836 games, 1245241 moves, e=0.010, loss: 1.9, -, 20.0% elo% vs. simple_bot, avg. reward: -0.620, 8.605 sec/game, 48.8 min. total, 794.8 MB
utmost_conform v12 837 games, 1249256 moves, e=0.010, loss: 1.9, -, 19.4% elo% vs. simple_bot, avg. reward: -0.609, 8.675 sec/game, 49.0 min. total, 794.2 MB
utmost_conform v12 838 games, 1252518 moves, e=0.010, loss: 1.9, -, 18.9% elo% vs. simple_bot, avg. reward: -0.597, 8.602 sec/game, 49.1 min. total, 796.7 MB
utmost_conform v12 839 games, 1256099 moves, e=0.010, loss: 2.0, -, 18.3% elo% vs. simple_bot, avg. reward: -0.590, 8.637 sec/game, 49.2 min. total, 797.0 MB
utmost_conform v12 840 games, 1259978 moves, e=0.010, loss: 2.4, -, 17.8% elo% vs. simple_bot, avg. reward: -0.582, 8.711 sec/game, 49.4 min. total, 799.3 MB
utmost_conform v12 841 games, 1263746 moves, e=0.010, loss: 2.3, +, 20.2% elo% vs. simple_bot, avg. reward: -0.574, 8.674 sec/game, 49.5 min. total, 798.7 MB
utmost_conform v12 842 games, 1267983 moves, e=0.010, loss: 1.9, +, 22.6% elo% vs. simple_bot, avg. reward: -0.562, 8.675 sec/game, 49.7 min. total, 795.9 MB
utmost_conform v12 843 games, 1272454 moves, e=0.010, loss: 1.6, +, 25.2% elo% vs. simple_bot, avg. reward: -0.554, 8.769 sec/game, 49.8 min. total, 796.6 MB
utmost_conform v12 844 games, 1276398 moves, e=0.010, loss: 1.9, +, 27.9% elo% vs. simple_bot, avg. reward: -0.543, 8.734 sec/game, 50.0 min. total, 798.2 MB
utmost_conform v12 845 games, 1280057 moves, e=0.010, loss: 2.5, +, 30.6% elo% vs. simple_bot, avg. reward: -0.528, 8.751 sec/game, 50.1 min. total, 800.7 MB
utmost_conform v12 846 games, 1284394 moves, e=0.010, loss: 1.8, -, 29.5% elo% vs. simple_bot, avg. reward: -0.519, 8.759 sec/game, 50.3 min. total, 801.3 MB
utmost_conform v12 847 games, 1288341 moves, e=0.010, loss: 1.8, ., 30.3% elo% vs. simple_bot, avg. reward: -0.510, 8.753 sec/game, 50.4 min. total, 801.7 MB
utmost_conform v12 848 games, 1292154 moves, e=0.010, loss: 1.9, +, 33.0% elo% vs. simple_bot, avg. reward: -0.502, 8.692 sec/game, 50.6 min. total, 802.5 MB
utmost_conform v12 849 games, 1295949 moves, e=0.010, loss: 1.7, -, 31.7% elo% vs. simple_bot, avg. reward: -0.493, 8.704 sec/game, 50.7 min. total, 802.7 MB
utmost_conform v12 850 games, 1299949 moves, e=0.010, loss: 1.9, +, 34.5% elo% vs. simple_bot, avg. reward: -0.486, 8.741 sec/game, 50.9 min. total, 803.9 MB
utmost_conform v12 851 games, 1304189 moves, e=0.010, loss: 1.9, ., 35.1% elo% vs. simple_bot, avg. reward: -0.479, 8.754 sec/game, 51.0 min. total, 806.7 MB
utmost_conform v12 852 games, 1308122 moves, e=0.010, loss: 2.2, +, 37.9% elo% vs. simple_bot, avg. reward: -0.474, 8.790 sec/game, 51.2 min. total, 805.9 MB
utmost_conform v12 853 games, 1312400 moves, e=0.010, loss: 1.9, +, 40.6% elo% vs. simple_bot, avg. reward: -0.467, 8.909 sec/game, 51.4 min. total, 803.9 MB
utmost_conform v12 854 games, 1316107 moves, e=0.010, loss: 1.7, +, 43.3% elo% vs. simple_bot, avg. reward: -0.463, 8.903 sec/game, 51.5 min. total, 806.8 MB
utmost_conform v12 855 games, 1319711 moves, e=0.010, loss: 2.0, ., 43.6% elo% vs. simple_bot, avg. reward: -0.459, 8.871 sec/game, 51.6 min. total, 806.7 MB
utmost_conform v12 856 games, 1323469 moves, e=0.010, loss: 1.9, +, 46.2% elo% vs. simple_bot, avg. reward: -0.453, 8.852 sec/game, 51.8 min. total, 807.3 MB
utmost_conform v12 857 games, 1327796 moves, e=0.010, loss: 1.7, +, 48.6% elo% vs. simple_bot, avg. reward: -0.446, 8.894 sec/game, 51.9 min. total, 807.7 MB
utmost_conform v12 858 games, 1331722 moves, e=0.010, loss: 1.8, +, 51.0% elo% vs. simple_bot, avg. reward: -0.443, 8.976 sec/game, 52.1 min. total, 808.0 MB
utmost_conform v12 859 games, 1335881 moves, e=0.010, loss: 1.9, -, 48.7% elo% vs. simple_bot, avg. reward: -0.439, 9.030 sec/game, 52.2 min. total, 809.1 MB
utmost_conform v12 860 games, 1339693 moves, e=0.010, loss: 1.9, +, 51.0% elo% vs. simple_bot, avg. reward: -0.430, 9.036 sec/game, 52.4 min. total, 807.1 MB
utmost_conform v12 861 games, 1343680 moves, e=0.010, loss: 1.3, +, 53.3% elo% vs. simple_bot, avg. reward: -0.425, 9.063 sec/game, 52.5 min. total, 812.0 MB
utmost_conform v12 862 games, 1347948 moves, e=0.010, loss: 1.5, -, 50.8% elo% vs. simple_bot, avg. reward: -0.420, 9.059 sec/game, 52.7 min. total, 811.7 MB
utmost_conform v12 863 games, 1351884 moves, e=0.010, loss: 1.5, -, 48.5% elo% vs. simple_bot, avg. reward: -0.418, 8.995 sec/game, 52.8 min. total, 813.7 MB
utmost_conform v12 864 games, 1355981 moves, e=0.010, loss: 1.9, +, 50.9% elo% vs. simple_bot, avg. reward: -0.415, 9.021 sec/game, 53.0 min. total, 813.4 MB
utmost_conform v12 865 games, 1360090 moves, e=0.010, loss: 1.5, -, 48.5% elo% vs. simple_bot, avg. reward: -0.411, 9.065 sec/game, 53.2 min. total, 814.5 MB
utmost_conform v12 866 games, 1363697 moves, e=0.010, loss: 1.5, -, 46.3% elo% vs. simple_bot, avg. reward: -0.410, 8.981 sec/game, 53.3 min. total, 814.3 MB
utmost_conform v12 867 games, 1367688 moves, e=0.010, loss: 1.7, -, 44.2% elo% vs. simple_bot, avg. reward: -0.408, 8.984 sec/game, 53.4 min. total, 813.7 MB
utmost_conform v12 868 games, 1371209 moves, e=0.010, loss: 2.4, -, 42.2% elo% vs. simple_bot, avg. reward: -0.410, 8.961 sec/game, 53.6 min. total, 814.6 MB
utmost_conform v12 869 games, 1375093 moves, e=0.010, loss: 2.5, -, 40.3% elo% vs. simple_bot, avg. reward: -0.404, 8.955 sec/game, 53.7 min. total, 814.5 MB
utmost_conform v12 870 games, 1379051 moves, e=0.010, loss: 2.2, +, 43.0% elo% vs. simple_bot, avg. reward: -0.400, 8.967 sec/game, 53.9 min. total, 815.0 MB
utmost_conform v12 871 games, 1382638 moves, e=0.010, loss: 2.1, +, 45.6% elo% vs. simple_bot, avg. reward: -0.396, 8.908 sec/game, 54.0 min. total, 815.1 MB
utmost_conform v12 872 games, 1386063 moves, e=0.010, loss: 2.2, -, 43.5% elo% vs. simple_bot, avg. reward: -0.397, 8.849 sec/game, 54.1 min. total, 815.6 MB
utmost_conform v12 873 games, 1389208 moves, e=0.010, loss: 2.4, -, 41.5% elo% vs. simple_bot, avg. reward: -0.400, 8.736 sec/game, 54.3 min. total, 815.2 MB
utmost_conform v12 874 games, 1392323 moves, e=0.010, loss: 2.7, -, 39.7% elo% vs. simple_bot, avg. reward: -0.402, 8.688 sec/game, 54.4 min. total, 817.8 MB
utmost_conform v12 875 games, 1395722 moves, e=0.010, loss: 2.6, +, 42.4% elo% vs. simple_bot, avg. reward: -0.405, 8.664 sec/game, 54.5 min. total, 816.2 MB
utmost_conform v12 876 games, 1398980 moves, e=0.010, loss: 2.4, -, 40.5% elo% vs. simple_bot, avg. reward: -0.407, 8.609 sec/game, 54.6 min. total, 818.6 MB
utmost_conform v12 877 games, 1402487 moves, e=0.010, loss: 2.6, -, 38.7% elo% vs. simple_bot, avg. reward: -0.406, 8.514 sec/game, 54.8 min. total, 819.1 MB
utmost_conform v12 878 games, 1406268 moves, e=0.010, loss: 2.0, +, 41.4% elo% vs. simple_bot, avg. reward: -0.407, 8.485 sec/game, 54.9 min. total, 821.2 MB
utmost_conform v12 879 games, 1410018 moves, e=0.010, loss: 2.0, -, 39.6% elo% vs. simple_bot, avg. reward: -0.405, 8.434 sec/game, 55.1 min. total, 820.9 MB
utmost_conform v12 880 games, 1413734 moves, e=0.010, loss: 2.0, -, 37.8% elo% vs. simple_bot, avg. reward: -0.401, 8.416 sec/game, 55.2 min. total, 820.1 MB
utmost_conform v12 881 games, 1417313 moves, e=0.010, loss: 2.1, +, 40.6% elo% vs. simple_bot, avg. reward: -0.397, 8.374 sec/game, 55.3 min. total, 819.7 MB
utmost_conform v12 882 games, 1421023 moves, e=0.010, loss: 2.1, -, 38.8% elo% vs. simple_bot, avg. reward: -0.396, 8.329 sec/game, 55.5 min. total, 822.1 MB
utmost_conform v12 883 games, 1424281 moves, e=0.010, loss: 2.1, -, 37.1% elo% vs. simple_bot, avg. reward: -0.397, 8.268 sec/game, 55.6 min. total, 823.9 MB
