untrimmed_irate v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.9 MB
untrimmed_irate v4 145 games, 104995 moves, e=0.896, loss: 31995.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: 30.357, 2.130 sec/game, 3.8 min. total, 376.0 MB
untrimmed_irate v4 146 games, 105773 moves, e=0.895, loss: 37109.0, -, 16.2% elo% vs. random_no_suicide, avg. reward: 30.744, 2.156 sec/game, 3.8 min. total, 376.1 MB
untrimmed_irate v4 147 games, 106464 moves, e=0.895, loss: 43320.3, -, 15.8% elo% vs. random_no_suicide, avg. reward: 30.317, 2.172 sec/game, 3.8 min. total, 376.3 MB
untrimmed_irate v4 148 games, 107266 moves, e=0.894, loss: 41940.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: 29.676, 2.144 sec/game, 3.9 min. total, 376.1 MB
untrimmed_irate v4 149 games, 108055 moves, e=0.893, loss: 34886.0, -, 15.1% elo% vs. random_no_suicide, avg. reward: 30.195, 2.149 sec/game, 3.9 min. total, 376.8 MB
untrimmed_irate v4 150 games, 108801 moves, e=0.892, loss: 34777.8, -, 14.7% elo% vs. random_no_suicide, avg. reward: 30.142, 2.147 sec/game, 3.9 min. total, 377.1 MB
untrimmed_irate v4 151 games, 109580 moves, e=0.892, loss: 35845.8, -, 14.4% elo% vs. random_no_suicide, avg. reward: 30.135, 2.159 sec/game, 4.0 min. total, 377.1 MB
untrimmed_irate v4 152 games, 110433 moves, e=0.891, loss: 34946.5, -, 14.0% elo% vs. random_no_suicide, avg. reward: 30.161, 2.130 sec/game, 4.0 min. total, 377.6 MB
untrimmed_irate v4 153 games, 111212 moves, e=0.890, loss: 31527.4, -, 13.7% elo% vs. random_no_suicide, avg. reward: 30.095, 2.112 sec/game, 4.0 min. total, 378.7 MB
untrimmed_irate v4 154 games, 112011 moves, e=0.889, loss: 38093.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: 30.479, 2.091 sec/game, 4.1 min. total, 378.7 MB
untrimmed_irate v4 155 games, 112713 moves, e=0.888, loss: 39836.7, -, 13.2% elo% vs. random_no_suicide, avg. reward: 30.336, 2.024 sec/game, 4.1 min. total, 379.1 MB
untrimmed_irate v4 156 games, 113463 moves, e=0.888, loss: 37705.1, +, 15.1% elo% vs. random_no_suicide, avg. reward: 30.073, 2.026 sec/game, 4.1 min. total, 379.2 MB
untrimmed_irate v4 157 games, 114274 moves, e=0.887, loss: 34869.4, +, 17.2% elo% vs. random_no_suicide, avg. reward: 29.874, 2.018 sec/game, 4.1 min. total, 381.2 MB
untrimmed_irate v4 158 games, 115072 moves, e=0.886, loss: 36841.0, -, 16.8% elo% vs. random_no_suicide, avg. reward: 30.101, 2.018 sec/game, 4.2 min. total, 379.1 MB
untrimmed_irate v4 159 games, 115861 moves, e=0.885, loss: 43732.9, -, 16.3% elo% vs. random_no_suicide, avg. reward: 30.163, 2.024 sec/game, 4.2 min. total, 379.2 MB
untrimmed_irate v4 160 games, 116694 moves, e=0.884, loss: 40538.0, -, 15.9% elo% vs. random_no_suicide, avg. reward: 30.745, 2.023 sec/game, 4.3 min. total, 379.4 MB
untrimmed_irate v4 161 games, 117507 moves, e=0.884, loss: 39483.5, -, 15.5% elo% vs. random_no_suicide, avg. reward: 31.083, 2.053 sec/game, 4.3 min. total, 379.6 MB
untrimmed_irate v4 162 games, 118230 moves, e=0.883, loss: 42514.6, -, 15.2% elo% vs. random_no_suicide, avg. reward: 30.931, 2.054 sec/game, 4.3 min. total, 380.8 MB
untrimmed_irate v4 163 games, 119094 moves, e=0.882, loss: 47589.2, -, 14.8% elo% vs. random_no_suicide, avg. reward: 30.786, 2.052 sec/game, 4.4 min. total, 380.9 MB
untrimmed_irate v4 164 games, 119857 moves, e=0.881, loss: 47959.0, -, 14.5% elo% vs. random_no_suicide, avg. reward: 30.634, 2.042 sec/game, 4.4 min. total, 380.9 MB
untrimmed_irate v4 165 games, 120549 moves, e=0.881, loss: 44822.8, -, 14.1% elo% vs. random_no_suicide, avg. reward: 30.189, 2.026 sec/game, 4.4 min. total, 380.8 MB
untrimmed_irate v4 166 games, 121439 moves, e=0.880, loss: 50275.8, -, 13.8% elo% vs. random_no_suicide, avg. reward: 30.763, 2.036 sec/game, 4.5 min. total, 381.3 MB
untrimmed_irate v4 167 games, 122201 moves, e=0.879, loss: 53171.1, -, 13.5% elo% vs. random_no_suicide, avg. reward: 30.955, 2.053 sec/game, 4.5 min. total, 381.1 MB
untrimmed_irate v4 168 games, 122983 moves, e=0.878, loss: 52478.6, -, 13.2% elo% vs. random_no_suicide, avg. reward: 30.955, 2.044 sec/game, 4.5 min. total, 381.0 MB
untrimmed_irate v4 169 games, 123763 moves, e=0.877, loss: 50052.2, -, 13.0% elo% vs. random_no_suicide, avg. reward: 30.955, 2.052 sec/game, 4.6 min. total, 381.1 MB
untrimmed_irate v4 170 games, 124581 moves, e=0.877, loss: 47775.9, -, 12.7% elo% vs. random_no_suicide, avg. reward: 31.294, 2.080 sec/game, 4.6 min. total, 381.3 MB
untrimmed_irate v4 171 games, 125437 moves, e=0.876, loss: 53038.8, +, 14.6% elo% vs. random_no_suicide, avg. reward: 30.892, 2.075 sec/game, 4.6 min. total, 381.5 MB
untrimmed_irate v4 172 games, 126209 moves, e=0.875, loss: 46880.9, -, 14.3% elo% vs. random_no_suicide, avg. reward: 30.950, 2.086 sec/game, 4.7 min. total, 382.1 MB
untrimmed_irate v4 173 games, 126940 moves, e=0.874, loss: 49577.0, -, 13.9% elo% vs. random_no_suicide, avg. reward: 31.114, 2.070 sec/game, 4.7 min. total, 382.2 MB
untrimmed_irate v4 174 games, 127809 moves, e=0.873, loss: 45133.8, -, 13.6% elo% vs. random_no_suicide, avg. reward: 30.944, 2.069 sec/game, 4.7 min. total, 382.0 MB
untrimmed_irate v4 175 games, 128631 moves, e=0.873, loss: 50213.3, -, 13.3% elo% vs. random_no_suicide, avg. reward: 31.287, 2.091 sec/game, 4.8 min. total, 382.4 MB
untrimmed_irate v4 176 games, 129506 moves, e=0.872, loss: 47616.3, -, 13.1% elo% vs. random_no_suicide, avg. reward: 31.634, 2.118 sec/game, 4.8 min. total, 382.6 MB
untrimmed_irate v4 177 games, 130348 moves, e=0.871, loss: 43901.0, -, 12.8% elo% vs. random_no_suicide, avg. reward: 31.719, 2.151 sec/game, 4.9 min. total, 382.5 MB
untrimmed_irate v4 178 games, 131080 moves, e=0.870, loss: 48565.6, -, 12.5% elo% vs. random_no_suicide, avg. reward: 31.774, 2.145 sec/game, 4.9 min. total, 382.8 MB
untrimmed_irate v4 179 games, 131824 moves, e=0.869, loss: 52097.8, -, 12.3% elo% vs. random_no_suicide, avg. reward: 31.778, 2.117 sec/game, 4.9 min. total, 382.9 MB
untrimmed_irate v4 180 games, 132701 moves, e=0.869, loss: 46734.4, -, 12.0% elo% vs. random_no_suicide, avg. reward: 32.013, 2.122 sec/game, 5.0 min. total, 383.2 MB
untrimmed_irate v4 181 games, 133420 moves, e=0.868, loss: 44252.4, -, 11.8% elo% vs. random_no_suicide, avg. reward: 32.427, 2.100 sec/game, 5.0 min. total, 385.0 MB
untrimmed_irate v4 182 games, 134278 moves, e=0.867, loss: 48709.0, -, 11.6% elo% vs. random_no_suicide, avg. reward: 31.994, 2.135 sec/game, 5.0 min. total, 385.5 MB
untrimmed_irate v4 183 games, 135009 moves, e=0.866, loss: 45439.0, -, 11.4% elo% vs. random_no_suicide, avg. reward: 31.833, 2.105 sec/game, 5.1 min. total, 385.9 MB
untrimmed_irate v4 184 games, 135848 moves, e=0.866, loss: 46900.6, -, 11.2% elo% vs. random_no_suicide, avg. reward: 32.003, 2.118 sec/game, 5.1 min. total, 385.8 MB
untrimmed_irate v4 185 games, 136660 moves, e=0.865, loss: 49486.2, +, 12.9% elo% vs. random_no_suicide, avg. reward: 31.681, 2.129 sec/game, 5.1 min. total, 386.0 MB
untrimmed_irate v4 186 games, 137342 moves, e=0.864, loss: 44677.1, -, 12.6% elo% vs. random_no_suicide, avg. reward: 31.534, 2.102 sec/game, 5.2 min. total, 387.0 MB
untrimmed_irate v4 187 games, 138023 moves, e=0.863, loss: 44196.3, -, 12.4% elo% vs. random_no_suicide, avg. reward: 31.715, 2.095 sec/game, 5.2 min. total, 387.1 MB
untrimmed_irate v4 188 games, 138740 moves, e=0.863, loss: 45352.0, -, 12.1% elo% vs. random_no_suicide, avg. reward: 31.744, 2.075 sec/game, 5.2 min. total, 387.0 MB
untrimmed_irate v4 189 games, 139549 moves, e=0.862, loss: 40667.5, -, 11.9% elo% vs. random_no_suicide, avg. reward: 31.909, 2.089 sec/game, 5.3 min. total, 387.4 MB
untrimmed_irate v4 190 games, 140461 moves, e=0.861, loss: 37577.0, -, 11.7% elo% vs. random_no_suicide, avg. reward: 31.691, 2.090 sec/game, 5.3 min. total, 389.1 MB
untrimmed_irate v4 191 games, 141174 moves, e=0.860, loss: 42796.0, -, 11.4% elo% vs. random_no_suicide, avg. reward: 31.654, 2.089 sec/game, 5.3 min. total, 388.6 MB
untrimmed_irate v4 192 games, 141978 moves, e=0.859, loss: 38485.8, +, 13.2% elo% vs. random_no_suicide, avg. reward: 31.895, 2.094 sec/game, 5.4 min. total, 388.8 MB
untrimmed_irate v4 193 games, 142725 moves, e=0.859, loss: 35646.2, +, 15.1% elo% vs. random_no_suicide, avg. reward: 32.833, 2.113 sec/game, 5.4 min. total, 388.8 MB
untrimmed_irate v4 194 games, 143436 moves, e=0.858, loss: 37200.7, -, 14.8% elo% vs. random_no_suicide, avg. reward: 33.255, 2.087 sec/game, 5.4 min. total, 389.0 MB
untrimmed_irate v4 195 games, 144236 moves, e=0.857, loss: 39969.3, -, 14.4% elo% vs. random_no_suicide, avg. reward: 32.777, 2.091 sec/game, 5.5 min. total, 389.0 MB
untrimmed_irate v4 196 games, 145011 moves, e=0.856, loss: 42998.6, -, 14.1% elo% vs. random_no_suicide, avg. reward: 33.020, 2.070 sec/game, 5.5 min. total, 389.2 MB
untrimmed_irate v4 197 games, 145695 moves, e=0.856, loss: 48506.0, -, 13.8% elo% vs. random_no_suicide, avg. reward: 33.322, 2.049 sec/game, 5.5 min. total, 389.3 MB
untrimmed_irate v4 198 games, 146417 moves, e=0.855, loss: 48877.9, +, 15.8% elo% vs. random_no_suicide, avg. reward: 33.873, 2.029 sec/game, 5.6 min. total, 389.4 MB
untrimmed_irate v4 199 games, 147118 moves, e=0.854, loss: 50852.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: 34.302, 2.043 sec/game, 5.6 min. total, 390.5 MB
untrimmed_irate v4 200 games, 148031 moves, e=0.853, loss: 50930.1, -, 15.1% elo% vs. random_no_suicide, avg. reward: 34.312, 2.053 sec/game, 5.7 min. total, 390.2 MB
untrimmed_irate v5 201 games, 148869 moves, e=0.853, loss: 46697.9, -, 47.7% elo% vs. random_no_suicide, avg. reward: 33.924, 2.062 sec/game, 5.7 min. total, 390.1 MB
untrimmed_irate v5 202 games, 149590 moves, e=0.852, loss: 47284.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: 33.819, 2.020 sec/game, 5.7 min. total, 390.5 MB
untrimmed_irate v5 203 games, 150477 moves, e=0.851, loss: 43235.8, -, 43.4% elo% vs. random_no_suicide, avg. reward: 33.716, 2.051 sec/game, 5.8 min. total, 390.4 MB
untrimmed_irate v5 204 games, 151225 moves, e=0.850, loss: 38105.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: 33.583, 2.041 sec/game, 5.8 min. total, 390.2 MB
untrimmed_irate v5 205 games, 151950 moves, e=0.850, loss: 38957.8, +, 44.1% elo% vs. random_no_suicide, avg. reward: 33.578, 2.047 sec/game, 5.8 min. total, 390.6 MB
untrimmed_irate v5 206 games, 152646 moves, e=0.849, loss: 40204.4, -, 42.1% elo% vs. random_no_suicide, avg. reward: 33.177, 2.047 sec/game, 5.9 min. total, 390.3 MB
untrimmed_irate v5 207 games, 153554 moves, e=0.848, loss: 32207.0, -, 40.3% elo% vs. random_no_suicide, avg. reward: 32.494, 2.067 sec/game, 5.9 min. total, 390.8 MB
untrimmed_irate v5 208 games, 154352 moves, e=0.847, loss: 30981.0, -, 38.5% elo% vs. random_no_suicide, avg. reward: 32.575, 2.081 sec/game, 5.9 min. total, 392.6 MB
untrimmed_irate v5 209 games, 155173 moves, e=0.846, loss: 35025.8, -, 36.8% elo% vs. random_no_suicide, avg. reward: 32.943, 2.094 sec/game, 6.0 min. total, 392.3 MB
untrimmed_irate v5 210 games, 156014 moves, e=0.846, loss: 30459.0, +, 39.6% elo% vs. random_no_suicide, avg. reward: 33.547, 2.079 sec/game, 6.0 min. total, 392.7 MB
untrimmed_irate v5 211 games, 156968 moves, e=0.845, loss: 29997.0, -, 37.8% elo% vs. random_no_suicide, avg. reward: 33.282, 2.115 sec/game, 6.1 min. total, 392.4 MB
untrimmed_irate v5 212 games, 157787 moves, e=0.844, loss: 33633.5, -, 36.2% elo% vs. random_no_suicide, avg. reward: 33.781, 2.105 sec/game, 6.1 min. total, 392.3 MB
untrimmed_irate v5 213 games, 158600 moves, e=0.843, loss: 36518.1, -, 34.7% elo% vs. random_no_suicide, avg. reward: 34.280, 2.114 sec/game, 6.1 min. total, 392.4 MB
untrimmed_irate v5 214 games, 159402 moves, e=0.842, loss: 40408.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: 34.282, 2.128 sec/game, 6.2 min. total, 394.3 MB
untrimmed_irate v5 215 games, 160206 moves, e=0.841, loss: 42517.6, -, 31.9% elo% vs. random_no_suicide, avg. reward: 33.729, 2.121 sec/game, 6.2 min. total, 393.2 MB
untrimmed_irate v5 216 games, 161096 moves, e=0.841, loss: 34748.7, -, 30.6% elo% vs. random_no_suicide, avg. reward: 33.625, 2.141 sec/game, 6.2 min. total, 393.1 MB
untrimmed_irate v5 217 games, 161954 moves, e=0.840, loss: 35574.3, -, 29.5% elo% vs. random_no_suicide, avg. reward: 33.428, 2.157 sec/game, 6.3 min. total, 393.8 MB
untrimmed_irate v5 218 games, 162739 moves, e=0.839, loss: 43837.4, -, 28.3% elo% vs. random_no_suicide, avg. reward: 33.224, 2.180 sec/game, 6.3 min. total, 395.6 MB
untrimmed_irate v5 219 games, 163608 moves, e=0.838, loss: 36415.5, -, 27.3% elo% vs. random_no_suicide, avg. reward: 33.573, 2.204 sec/game, 6.3 min. total, 395.9 MB
untrimmed_irate v5 220 games, 164379 moves, e=0.837, loss: 39810.2, -, 26.3% elo% vs. random_no_suicide, avg. reward: 34.230, 2.177 sec/game, 6.4 min. total, 395.9 MB
untrimmed_irate v5 221 games, 165166 moves, e=0.836, loss: 37655.2, -, 25.4% elo% vs. random_no_suicide, avg. reward: 33.855, 2.167 sec/game, 6.4 min. total, 396.0 MB
untrimmed_irate v5 222 games, 166010 moves, e=0.836, loss: 41188.7, -, 24.5% elo% vs. random_no_suicide, avg. reward: 33.947, 2.185 sec/game, 6.4 min. total, 395.9 MB
untrimmed_irate v5 223 games, 166758 moves, e=0.835, loss: 37358.6, -, 23.7% elo% vs. random_no_suicide, avg. reward: 34.169, 2.170 sec/game, 6.5 min. total, 396.4 MB
untrimmed_irate v5 224 games, 167732 moves, e=0.834, loss: 36567.8, -, 22.9% elo% vs. random_no_suicide, avg. reward: 34.685, 2.205 sec/game, 6.5 min. total, 396.9 MB
untrimmed_irate v5 225 games, 168552 moves, e=0.833, loss: 45229.0, -, 22.2% elo% vs. random_no_suicide, avg. reward: 34.531, 2.206 sec/game, 6.6 min. total, 396.8 MB
untrimmed_irate v5 226 games, 169361 moves, e=0.832, loss: 39006.3, -, 21.5% elo% vs. random_no_suicide, avg. reward: 34.370, 2.235 sec/game, 6.6 min. total, 396.8 MB
untrimmed_irate v5 227 games, 170117 moves, e=0.832, loss: 41767.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: 34.200, 2.215 sec/game, 6.6 min. total, 397.6 MB
untrimmed_irate v5 228 games, 170850 moves, e=0.831, loss: 48199.5, -, 20.2% elo% vs. random_no_suicide, avg. reward: 33.717, 2.213 sec/game, 6.7 min. total, 397.3 MB
untrimmed_irate v5 229 games, 171688 moves, e=0.830, loss: 40408.0, ., 21.1% elo% vs. random_no_suicide, avg. reward: 33.893, 2.199 sec/game, 6.7 min. total, 397.6 MB
untrimmed_irate v5 230 games, 172462 moves, e=0.829, loss: 39192.2, -, 20.4% elo% vs. random_no_suicide, avg. reward: 34.151, 2.198 sec/game, 6.7 min. total, 397.6 MB
untrimmed_irate v5 231 games, 173372 moves, e=0.828, loss: 42407.8, -, 19.8% elo% vs. random_no_suicide, avg. reward: 34.163, 2.184 sec/game, 6.8 min. total, 397.6 MB
untrimmed_irate v5 232 games, 174116 moves, e=0.828, loss: 46233.3, -, 19.3% elo% vs. random_no_suicide, avg. reward: 34.061, 2.188 sec/game, 6.8 min. total, 397.3 MB
untrimmed_irate v5 233 games, 174973 moves, e=0.827, loss: 42151.7, -, 18.7% elo% vs. random_no_suicide, avg. reward: 34.526, 2.187 sec/game, 6.9 min. total, 397.6 MB
untrimmed_irate v5 234 games, 175707 moves, e=0.826, loss: 44866.1, -, 18.2% elo% vs. random_no_suicide, avg. reward: 34.038, 2.191 sec/game, 6.9 min. total, 397.7 MB
untrimmed_irate v5 235 games, 176537 moves, e=0.825, loss: 41022.0, -, 17.7% elo% vs. random_no_suicide, avg. reward: 34.274, 2.203 sec/game, 6.9 min. total, 397.8 MB
untrimmed_irate v5 236 games, 177405 moves, e=0.824, loss: 44446.8, -, 17.2% elo% vs. random_no_suicide, avg. reward: 34.559, 2.201 sec/game, 7.0 min. total, 398.4 MB
untrimmed_irate v5 237 games, 178130 moves, e=0.824, loss: 37035.9, -, 16.8% elo% vs. random_no_suicide, avg. reward: 35.111, 2.198 sec/game, 7.0 min. total, 399.3 MB
untrimmed_irate v5 238 games, 178841 moves, e=0.823, loss: 41947.2, -, 16.4% elo% vs. random_no_suicide, avg. reward: 35.163, 2.197 sec/game, 7.0 min. total, 399.3 MB
untrimmed_irate v5 239 games, 179529 moves, e=0.822, loss: 37329.6, -, 16.0% elo% vs. random_no_suicide, avg. reward: 34.664, 2.163 sec/game, 7.1 min. total, 399.7 MB
untrimmed_irate v5 240 games, 180329 moves, e=0.821, loss: 37336.3, -, 15.6% elo% vs. random_no_suicide, avg. reward: 34.902, 2.162 sec/game, 7.1 min. total, 399.7 MB
untrimmed_irate v5 241 games, 181064 moves, e=0.821, loss: 37017.2, +, 17.7% elo% vs. random_no_suicide, avg. reward: 34.580, 2.158 sec/game, 7.1 min. total, 399.7 MB
untrimmed_irate v5 242 games, 181988 moves, e=0.820, loss: 46545.7, -, 17.2% elo% vs. random_no_suicide, avg. reward: 34.684, 2.176 sec/game, 7.2 min. total, 399.4 MB
untrimmed_irate v5 243 games, 182929 moves, e=0.819, loss: 40906.8, -, 16.8% elo% vs. random_no_suicide, avg. reward: 35.222, 2.197 sec/game, 7.2 min. total, 399.5 MB
untrimmed_irate v5 244 games, 183704 moves, e=0.818, loss: 45248.1, -, 16.4% elo% vs. random_no_suicide, avg. reward: 35.277, 2.145 sec/game, 7.2 min. total, 400.6 MB
untrimmed_irate v5 245 games, 184464 moves, e=0.817, loss: 44915.4, -, 16.0% elo% vs. random_no_suicide, avg. reward: 35.132, 2.137 sec/game, 7.3 min. total, 402.1 MB
untrimmed_irate v5 246 games, 185300 moves, e=0.817, loss: 44475.4, -, 15.6% elo% vs. random_no_suicide, avg. reward: 34.751, 2.110 sec/game, 7.3 min. total, 402.8 MB
untrimmed_irate v5 247 games, 186195 moves, e=0.816, loss: 47491.2, -, 15.2% elo% vs. random_no_suicide, avg. reward: 35.096, 2.118 sec/game, 7.3 min. total, 402.8 MB
untrimmed_irate v5 248 games, 186914 moves, e=0.815, loss: 46317.4, +, 17.3% elo% vs. random_no_suicide, avg. reward: 35.648, 2.110 sec/game, 7.4 min. total, 402.9 MB
untrimmed_irate v5 249 games, 187811 moves, e=0.814, loss: 43086.0, -, 16.9% elo% vs. random_no_suicide, avg. reward: 35.478, 2.105 sec/game, 7.4 min. total, 403.1 MB
untrimmed_irate v5 250 games, 188592 moves, e=0.813, loss: 43402.8, -, 16.4% elo% vs. random_no_suicide, avg. reward: 35.191, 2.093 sec/game, 7.4 min. total, 403.1 MB
untrimmed_irate v5 251 games, 189456 moves, e=0.812, loss: 37415.1, -, 16.0% elo% vs. random_no_suicide, avg. reward: 35.519, 2.080 sec/game, 7.5 min. total, 402.9 MB
untrimmed_irate v5 252 games, 190324 moves, e=0.812, loss: 41332.3, -, 15.6% elo% vs. random_no_suicide, avg. reward: 35.050, 2.063 sec/game, 7.5 min. total, 403.0 MB
untrimmed_irate v5 253 games, 191038 moves, e=0.811, loss: 40269.4, -, 15.3% elo% vs. random_no_suicide, avg. reward: 34.942, 2.041 sec/game, 7.5 min. total, 403.0 MB
untrimmed_irate v5 254 games, 191894 moves, e=0.810, loss: 44347.4, -, 14.9% elo% vs. random_no_suicide, avg. reward: 35.037, 2.040 sec/game, 7.6 min. total, 403.9 MB
untrimmed_irate v5 255 games, 192834 moves, e=0.809, loss: 41713.1, -, 14.6% elo% vs. random_no_suicide, avg. reward: 35.082, 2.052 sec/game, 7.6 min. total, 404.5 MB
untrimmed_irate v5 256 games, 193618 moves, e=0.808, loss: 45780.0, -, 14.2% elo% vs. random_no_suicide, avg. reward: 35.465, 2.035 sec/game, 7.6 min. total, 404.7 MB
untrimmed_irate v5 257 games, 194428 moves, e=0.808, loss: 45041.6, -, 13.9% elo% vs. random_no_suicide, avg. reward: 35.714, 2.030 sec/game, 7.7 min. total, 404.2 MB
untrimmed_irate v5 258 games, 195239 moves, e=0.807, loss: 45589.1, -, 13.6% elo% vs. random_no_suicide, avg. reward: 35.208, 2.041 sec/game, 7.7 min. total, 404.7 MB
untrimmed_irate v5 259 games, 196000 moves, e=0.806, loss: 41210.5, -, 13.3% elo% vs. random_no_suicide, avg. reward: 35.230, 2.042 sec/game, 7.7 min. total, 404.9 MB
untrimmed_irate v5 260 games, 196727 moves, e=0.805, loss: 41057.2, -, 13.0% elo% vs. random_no_suicide, avg. reward: 35.195, 2.019 sec/game, 7.8 min. total, 405.0 MB
untrimmed_irate v5 261 games, 197521 moves, e=0.804, loss: 44318.2, -, 12.8% elo% vs. random_no_suicide, avg. reward: 34.579, 2.024 sec/game, 7.8 min. total, 405.1 MB
untrimmed_irate v5 262 games, 198458 moves, e=0.804, loss: 41997.8, -, 12.5% elo% vs. random_no_suicide, avg. reward: 34.312, 2.017 sec/game, 7.8 min. total, 405.2 MB
untrimmed_irate v5 263 games, 199320 moves, e=0.803, loss: 39288.3, -, 12.3% elo% vs. random_no_suicide, avg. reward: 34.431, 2.001 sec/game, 7.9 min. total, 405.2 MB
untrimmed_irate v5 264 games, 200138 moves, e=0.802, loss: 44421.3, -, 12.0% elo% vs. random_no_suicide, avg. reward: 34.398, 2.012 sec/game, 7.9 min. total, 406.7 MB
untrimmed_irate v5 265 games, 200904 moves, e=0.801, loss: 41786.2, -, 11.8% elo% vs. random_no_suicide, avg. reward: 34.923, 2.021 sec/game, 7.9 min. total, 407.4 MB
untrimmed_irate v5 266 games, 201732 moves, e=0.800, loss: 39184.6, -, 11.6% elo% vs. random_no_suicide, avg. reward: 34.842, 2.048 sec/game, 8.0 min. total, 407.2 MB
untrimmed_irate v5 267 games, 202544 moves, e=0.799, loss: 40187.9, -, 11.3% elo% vs. random_no_suicide, avg. reward: 35.188, 2.044 sec/game, 8.0 min. total, 407.4 MB
untrimmed_irate v5 268 games, 203307 moves, e=0.799, loss: 43566.7, -, 11.1% elo% vs. random_no_suicide, avg. reward: 35.330, 2.056 sec/game, 8.1 min. total, 407.5 MB
untrimmed_irate v5 269 games, 204102 moves, e=0.798, loss: 42440.8, ., 11.9% elo% vs. random_no_suicide, avg. reward: 35.581, 2.051 sec/game, 8.1 min. total, 407.4 MB
untrimmed_irate v5 270 games, 204894 moves, e=0.797, loss: 42980.2, ., 12.6% elo% vs. random_no_suicide, avg. reward: 35.478, 2.052 sec/game, 8.1 min. total, 407.7 MB
untrimmed_irate v5 271 games, 205642 moves, e=0.796, loss: 41925.2, -, 12.4% elo% vs. random_no_suicide, avg. reward: 36.009, 2.042 sec/game, 8.2 min. total, 408.1 MB
untrimmed_irate v5 272 games, 206422 moves, e=0.796, loss: 48694.0, -, 12.1% elo% vs. random_no_suicide, avg. reward: 35.744, 2.048 sec/game, 8.2 min. total, 408.5 MB
untrimmed_irate v5 273 games, 207233 moves, e=0.795, loss: 47086.3, -, 11.9% elo% vs. random_no_suicide, avg. reward: 35.681, 2.066 sec/game, 8.2 min. total, 409.5 MB
untrimmed_irate v5 274 games, 208112 moves, e=0.794, loss: 48832.5, -, 11.7% elo% vs. random_no_suicide, avg. reward: 35.564, 2.058 sec/game, 8.3 min. total, 410.0 MB
untrimmed_irate v5 275 games, 208965 moves, e=0.793, loss: 49259.5, -, 11.4% elo% vs. random_no_suicide, avg. reward: 35.661, 2.044 sec/game, 8.3 min. total, 410.1 MB
untrimmed_irate v5 276 games, 209749 moves, e=0.792, loss: 49726.2, -, 11.2% elo% vs. random_no_suicide, avg. reward: 35.697, 2.039 sec/game, 8.3 min. total, 410.0 MB
untrimmed_irate v5 277 games, 210582 moves, e=0.792, loss: 48747.1, -, 11.0% elo% vs. random_no_suicide, avg. reward: 35.459, 2.042 sec/game, 8.4 min. total, 410.4 MB
untrimmed_irate v5 278 games, 211378 moves, e=0.791, loss: 47228.7, -, 10.8% elo% vs. random_no_suicide, avg. reward: 34.914, 2.021 sec/game, 8.4 min. total, 410.0 MB
untrimmed_irate v5 279 games, 212180 moves, e=0.790, loss: 47165.3, -, 10.6% elo% vs. random_no_suicide, avg. reward: 34.888, 2.024 sec/game, 8.4 min. total, 410.2 MB
untrimmed_irate v5 280 games, 213022 moves, e=0.789, loss: 41894.5, -, 10.4% elo% vs. random_no_suicide, avg. reward: 35.133, 2.049 sec/game, 8.5 min. total, 410.3 MB
untrimmed_irate v5 281 games, 213845 moves, e=0.788, loss: 40020.4, -, 10.3% elo% vs. random_no_suicide, avg. reward: 35.207, 2.038 sec/game, 8.5 min. total, 410.2 MB
untrimmed_irate v5 282 games, 214594 moves, e=0.788, loss: 40700.1, -, 10.1% elo% vs. random_no_suicide, avg. reward: 35.205, 2.016 sec/game, 8.5 min. total, 411.4 MB
untrimmed_irate v5 283 games, 215410 moves, e=0.787, loss: 42942.2, -, 9.9% elo% vs. random_no_suicide, avg. reward: 35.550, 1.999 sec/game, 8.5 min. total, 411.9 MB
untrimmed_irate v5 284 games, 216278 moves, e=0.786, loss: 43938.7, -, 9.8% elo% vs. random_no_suicide, avg. reward: 35.303, 2.004 sec/game, 8.6 min. total, 411.9 MB
untrimmed_irate v5 285 games, 217167 moves, e=0.785, loss: 42764.1, -, 9.6% elo% vs. random_no_suicide, avg. reward: 35.510, 2.004 sec/game, 8.6 min. total, 412.1 MB
untrimmed_irate v5 286 games, 217852 moves, e=0.784, loss: 43319.0, -, 9.5% elo% vs. random_no_suicide, avg. reward: 35.655, 1.965 sec/game, 8.6 min. total, 412.4 MB
untrimmed_irate v5 287 games, 218786 moves, e=0.783, loss: 36919.1, -, 9.3% elo% vs. random_no_suicide, avg. reward: 35.358, 1.983 sec/game, 8.7 min. total, 412.6 MB
untrimmed_irate v5 288 games, 219685 moves, e=0.783, loss: 36899.8, -, 9.2% elo% vs. random_no_suicide, avg. reward: 35.476, 1.989 sec/game, 8.7 min. total, 412.5 MB
untrimmed_irate v5 289 games, 220582 moves, e=0.782, loss: 40602.5, -, 9.0% elo% vs. random_no_suicide, avg. reward: 35.756, 1.997 sec/game, 8.8 min. total, 412.5 MB
