untrimmed_irate v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 308.9 MB
untrimmed_irate v2 35 games, 24415 moves, e=0.976, loss: 19452.0, +, 54.5% elo% vs. guard_bot, avg. reward: 24.424, 1.610 sec/game, 0.6 min. total, 434.6 MB
untrimmed_irate v2 36 games, 25134 moves, e=0.975, loss: 24080.8, +, 56.6% elo% vs. guard_bot, avg. reward: 24.819, 1.623 sec/game, 0.6 min. total, 435.4 MB
untrimmed_irate v2 37 games, 25809 moves, e=0.974, loss: 26431.7, +, 58.5% elo% vs. guard_bot, avg. reward: 25.259, 1.602 sec/game, 0.6 min. total, 435.4 MB
untrimmed_irate v2 38 games, 26420 moves, e=0.974, loss: 23484.7, ., 58.1% elo% vs. guard_bot, avg. reward: 25.351, 1.595 sec/game, 0.7 min. total, 435.5 MB
untrimmed_irate v2 39 games, 27064 moves, e=0.973, loss: 24319.6, +, 60.0% elo% vs. guard_bot, avg. reward: 26.609, 1.588 sec/game, 0.7 min. total, 435.6 MB
untrimmed_irate v2 40 games, 27827 moves, e=0.972, loss: 34358.8, +, 61.8% elo% vs. guard_bot, avg. reward: 27.181, 1.578 sec/game, 0.7 min. total, 435.5 MB
untrimmed_irate v2 41 games, 28520 moves, e=0.972, loss: 47503.9, +, 63.4% elo% vs. guard_bot, avg. reward: 28.551, 1.551 sec/game, 0.7 min. total, 435.8 MB
untrimmed_irate v2 42 games, 29283 moves, e=0.971, loss: 48862.0, ., 62.8% elo% vs. guard_bot, avg. reward: 28.737, 1.545 sec/game, 0.7 min. total, 435.6 MB
untrimmed_irate v2 43 games, 30095 moves, e=0.970, loss: 42230.7, +, 64.4% elo% vs. guard_bot, avg. reward: 28.002, 1.565 sec/game, 0.8 min. total, 435.8 MB
untrimmed_irate v2 44 games, 30858 moves, e=0.969, loss: 43071.5, +, 65.9% elo% vs. guard_bot, avg. reward: 28.190, 1.556 sec/game, 0.8 min. total, 435.7 MB
untrimmed_irate v2 45 games, 31544 moves, e=0.969, loss: 45139.0, +, 67.3% elo% vs. guard_bot, avg. reward: 27.485, 1.532 sec/game, 0.8 min. total, 436.3 MB
untrimmed_irate v2 46 games, 32258 moves, e=0.968, loss: 38850.7, +, 68.6% elo% vs. guard_bot, avg. reward: 26.818, 1.534 sec/game, 0.9 min. total, 436.6 MB
untrimmed_irate v2 47 games, 32963 moves, e=0.967, loss: 35941.5, +, 69.8% elo% vs. guard_bot, avg. reward: 27.084, 1.514 sec/game, 0.9 min. total, 437.4 MB
untrimmed_irate v2 48 games, 33578 moves, e=0.967, loss: 37947.6, +, 71.0% elo% vs. guard_bot, avg. reward: 27.800, 1.503 sec/game, 0.9 min. total, 438.4 MB
untrimmed_irate v3 49 games, 34190 moves, e=0.966, loss: 35892.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: 27.153, 1.504 sec/game, 0.9 min. total, 444.2 MB
untrimmed_irate v3 50 games, 35024 moves, e=0.965, loss: 31312.3, -, 45.5% elo% vs. random_no_suicide, avg. reward: 27.999, 1.514 sec/game, 1.0 min. total, 444.7 MB
untrimmed_irate v3 51 games, 35781 moves, e=0.965, loss: 38218.5, -, 43.4% elo% vs. random_no_suicide, avg. reward: 27.908, 1.531 sec/game, 1.0 min. total, 444.6 MB
untrimmed_irate v3 52 games, 36444 moves, e=0.964, loss: 38392.9, -, 41.5% elo% vs. random_no_suicide, avg. reward: 28.175, 1.524 sec/game, 1.0 min. total, 444.9 MB
untrimmed_irate v3 53 games, 37100 moves, e=0.963, loss: 39552.1, -, 39.6% elo% vs. random_no_suicide, avg. reward: 28.440, 1.506 sec/game, 1.0 min. total, 444.9 MB
untrimmed_irate v3 54 games, 37715 moves, e=0.963, loss: 43157.4, -, 37.9% elo% vs. random_no_suicide, avg. reward: 27.846, 1.490 sec/game, 1.1 min. total, 445.0 MB
untrimmed_irate v3 55 games, 38420 moves, e=0.962, loss: 35390.5, -, 36.3% elo% vs. random_no_suicide, avg. reward: 28.056, 1.518 sec/game, 1.1 min. total, 444.8 MB
untrimmed_irate v3 56 games, 39178 moves, e=0.961, loss: 34162.8, -, 34.8% elo% vs. random_no_suicide, avg. reward: 27.973, 1.524 sec/game, 1.1 min. total, 444.9 MB
untrimmed_irate v3 57 games, 39882 moves, e=0.961, loss: 34113.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: 28.429, 1.538 sec/game, 1.1 min. total, 445.4 MB
untrimmed_irate v3 58 games, 40625 moves, e=0.960, loss: 39629.2, -, 32.0% elo% vs. random_no_suicide, avg. reward: 28.583, 1.560 sec/game, 1.2 min. total, 445.9 MB
untrimmed_irate v3 59 games, 41321 moves, e=0.959, loss: 41998.0, -, 30.7% elo% vs. random_no_suicide, avg. reward: 29.020, 1.569 sec/game, 1.2 min. total, 447.5 MB
untrimmed_irate v3 60 games, 41998 moves, e=0.958, loss: 37085.6, -, 29.5% elo% vs. random_no_suicide, avg. reward: 28.725, 1.569 sec/game, 1.2 min. total, 447.6 MB
untrimmed_irate v3 61 games, 42702 moves, e=0.958, loss: 37124.2, -, 28.4% elo% vs. random_no_suicide, avg. reward: 28.664, 1.578 sec/game, 1.2 min. total, 447.7 MB
untrimmed_irate v3 62 games, 43401 moves, e=0.957, loss: 45109.0, -, 27.3% elo% vs. random_no_suicide, avg. reward: 28.841, 1.593 sec/game, 1.3 min. total, 447.5 MB
untrimmed_irate v3 63 games, 44213 moves, e=0.956, loss: 33924.9, -, 26.4% elo% vs. random_no_suicide, avg. reward: 29.124, 1.597 sec/game, 1.3 min. total, 447.5 MB
untrimmed_irate v3 64 games, 44952 moves, e=0.955, loss: 37080.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: 29.681, 1.616 sec/game, 1.3 min. total, 447.4 MB
untrimmed_irate v3 65 games, 45626 moves, e=0.955, loss: 38419.1, -, 24.5% elo% vs. random_no_suicide, avg. reward: 29.858, 1.627 sec/game, 1.4 min. total, 447.6 MB
untrimmed_irate v3 66 games, 46287 moves, e=0.954, loss: 40362.9, -, 23.7% elo% vs. random_no_suicide, avg. reward: 29.351, 1.631 sec/game, 1.4 min. total, 447.6 MB
untrimmed_irate v3 67 games, 46868 moves, e=0.954, loss: 33506.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: 29.366, 1.648 sec/game, 1.4 min. total, 447.6 MB
untrimmed_irate v3 68 games, 47650 moves, e=0.953, loss: 35057.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: 29.455, 1.677 sec/game, 1.5 min. total, 447.6 MB
untrimmed_irate v3 69 games, 48405 moves, e=0.952, loss: 36150.6, -, 21.5% elo% vs. random_no_suicide, avg. reward: 28.985, 1.703 sec/game, 1.5 min. total, 448.5 MB
untrimmed_irate v3 70 games, 49157 moves, e=0.951, loss: 40509.8, -, 20.8% elo% vs. random_no_suicide, avg. reward: 29.099, 1.697 sec/game, 1.5 min. total, 449.3 MB
untrimmed_irate v3 71 games, 50163 moves, e=0.950, loss: 40708.5, -, 20.2% elo% vs. random_no_suicide, avg. reward: 29.218, 1.732 sec/game, 1.6 min. total, 449.5 MB
untrimmed_irate v3 72 games, 50832 moves, e=0.950, loss: 41722.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: 29.594, 1.759 sec/game, 1.6 min. total, 449.3 MB
untrimmed_irate v3 73 games, 51606 moves, e=0.949, loss: 45846.0, -, 19.1% elo% vs. random_no_suicide, avg. reward: 29.858, 1.792 sec/game, 1.6 min. total, 449.4 MB
untrimmed_irate v3 74 games, 52396 moves, e=0.948, loss: 44265.5, -, 18.5% elo% vs. random_no_suicide, avg. reward: 30.274, 1.813 sec/game, 1.7 min. total, 449.6 MB
untrimmed_irate v3 75 games, 53144 moves, e=0.947, loss: 42879.4, -, 18.0% elo% vs. random_no_suicide, avg. reward: 30.188, 1.812 sec/game, 1.7 min. total, 449.6 MB
untrimmed_irate v3 76 games, 53875 moves, e=0.947, loss: 44547.4, -, 17.5% elo% vs. random_no_suicide, avg. reward: 29.749, 1.796 sec/game, 1.7 min. total, 449.4 MB
untrimmed_irate v3 77 games, 54637 moves, e=0.946, loss: 44026.6, -, 17.1% elo% vs. random_no_suicide, avg. reward: 29.837, 1.806 sec/game, 1.7 min. total, 449.6 MB
untrimmed_irate v3 78 games, 55240 moves, e=0.945, loss: 44811.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: 30.047, 1.791 sec/game, 1.8 min. total, 449.8 MB
untrimmed_irate v3 79 games, 55995 moves, e=0.945, loss: 46132.9, -, 16.2% elo% vs. random_no_suicide, avg. reward: 30.133, 1.806 sec/game, 1.8 min. total, 449.7 MB
untrimmed_irate v3 80 games, 56751 moves, e=0.944, loss: 41195.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: 29.717, 1.807 sec/game, 1.8 min. total, 450.2 MB
untrimmed_irate v3 81 games, 57521 moves, e=0.943, loss: 36102.3, -, 15.4% elo% vs. random_no_suicide, avg. reward: 29.316, 1.816 sec/game, 1.9 min. total, 450.5 MB
untrimmed_irate v3 82 games, 58204 moves, e=0.942, loss: 35018.3, -, 15.1% elo% vs. random_no_suicide, avg. reward: 29.455, 1.794 sec/game, 1.9 min. total, 450.7 MB
untrimmed_irate v3 83 games, 58892 moves, e=0.942, loss: 36510.7, -, 14.7% elo% vs. random_no_suicide, avg. reward: 29.585, 1.778 sec/game, 1.9 min. total, 450.5 MB
untrimmed_irate v3 84 games, 59522 moves, e=0.941, loss: 35785.1, -, 14.4% elo% vs. random_no_suicide, avg. reward: 29.568, 1.749 sec/game, 1.9 min. total, 450.5 MB
untrimmed_irate v3 85 games, 60221 moves, e=0.940, loss: 43921.7, -, 14.0% elo% vs. random_no_suicide, avg. reward: 29.857, 1.745 sec/game, 2.0 min. total, 450.6 MB
untrimmed_irate v3 86 games, 60905 moves, e=0.940, loss: 41582.4, -, 13.7% elo% vs. random_no_suicide, avg. reward: 29.982, 1.733 sec/game, 2.0 min. total, 450.5 MB
untrimmed_irate v3 87 games, 61628 moves, e=0.939, loss: 43652.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: 30.238, 1.733 sec/game, 2.0 min. total, 450.6 MB
untrimmed_irate v3 88 games, 62386 moves, e=0.938, loss: 39319.0, -, 13.1% elo% vs. random_no_suicide, avg. reward: 30.460, 1.720 sec/game, 2.0 min. total, 451.1 MB
untrimmed_irate v3 89 games, 63037 moves, e=0.938, loss: 43399.6, -, 12.9% elo% vs. random_no_suicide, avg. reward: 30.596, 1.698 sec/game, 2.1 min. total, 451.5 MB
untrimmed_irate v3 90 games, 63758 moves, e=0.937, loss: 47725.5, -, 12.6% elo% vs. random_no_suicide, avg. reward: 30.838, 1.695 sec/game, 2.1 min. total, 452.8 MB
untrimmed_irate v3 91 games, 64406 moves, e=0.936, loss: 48315.5, -, 12.4% elo% vs. random_no_suicide, avg. reward: 30.968, 1.642 sec/game, 2.1 min. total, 453.7 MB
untrimmed_irate v3 92 games, 65136 moves, e=0.936, loss: 45707.5, -, 12.1% elo% vs. random_no_suicide, avg. reward: 30.746, 1.640 sec/game, 2.1 min. total, 454.1 MB
untrimmed_irate v3 93 games, 65960 moves, e=0.935, loss: 41602.3, -, 11.9% elo% vs. random_no_suicide, avg. reward: 30.385, 1.639 sec/game, 2.2 min. total, 453.9 MB
untrimmed_irate v3 94 games, 66686 moves, e=0.934, loss: 41921.1, -, 11.7% elo% vs. random_no_suicide, avg. reward: 30.028, 1.625 sec/game, 2.2 min. total, 454.0 MB
untrimmed_irate v3 95 games, 67345 moves, e=0.933, loss: 37567.3, -, 11.4% elo% vs. random_no_suicide, avg. reward: 30.315, 1.629 sec/game, 2.2 min. total, 454.7 MB
untrimmed_irate v3 96 games, 68067 moves, e=0.933, loss: 37299.3, -, 11.2% elo% vs. random_no_suicide, avg. reward: 30.255, 1.632 sec/game, 2.3 min. total, 454.4 MB
untrimmed_irate v3 97 games, 68815 moves, e=0.932, loss: 38370.1, +, 13.0% elo% vs. random_no_suicide, avg. reward: 30.048, 1.637 sec/game, 2.3 min. total, 454.5 MB
untrimmed_irate v3 98 games, 69674 moves, e=0.931, loss: 43530.4, -, 12.7% elo% vs. random_no_suicide, avg. reward: 29.714, 1.667 sec/game, 2.3 min. total, 454.7 MB
untrimmed_irate v3 99 games, 70373 moves, e=0.930, loss: 45168.7, -, 12.4% elo% vs. random_no_suicide, avg. reward: 29.381, 1.648 sec/game, 2.3 min. total, 454.9 MB
untrimmed_irate v3 100 games, 71079 moves, e=0.930, loss: 35077.3, +, 14.3% elo% vs. random_no_suicide, avg. reward: 29.054, 1.647 sec/game, 2.4 min. total, 455.0 MB
