demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v1 36 games, 25193 moves, e=0.975, loss: 4.2, -, 27.3% elo% vs. v0, avg. reward: -2.990, 1.896 sec/game, 0.7 min. total, 398.2 MB
demanding_wow v1 37 games, 25832 moves, e=0.974, loss: 4.3, -, 26.3% elo% vs. v0, avg. reward: -3.003, 1.890 sec/game, 0.8 min. total, 398.5 MB
demanding_wow v1 38 games, 26569 moves, e=0.974, loss: 4.6, +, 29.0% elo% vs. v0, avg. reward: -3.006, 1.871 sec/game, 0.8 min. total, 400.8 MB
demanding_wow v1 39 games, 27146 moves, e=0.973, loss: 4.1, -, 27.9% elo% vs. v0, avg. reward: -3.030, 1.874 sec/game, 0.8 min. total, 399.3 MB
demanding_wow v1 40 games, 27916 moves, e=0.972, loss: 4.1, -, 26.9% elo% vs. v0, avg. reward: -3.033, 1.883 sec/game, 0.9 min. total, 399.9 MB
demanding_wow v1 41 games, 28541 moves, e=0.972, loss: 4.0, -, 25.9% elo% vs. v0, avg. reward: -3.038, 1.862 sec/game, 0.9 min. total, 401.4 MB
demanding_wow v1 42 games, 29259 moves, e=0.971, loss: 3.8, -, 25.0% elo% vs. v0, avg. reward: -3.032, 1.885 sec/game, 0.9 min. total, 402.4 MB
demanding_wow v1 43 games, 30018 moves, e=0.970, loss: 3.8, -, 24.2% elo% vs. v0, avg. reward: -3.012, 1.900 sec/game, 1.0 min. total, 402.4 MB
demanding_wow v1 44 games, 30763 moves, e=0.970, loss: 3.7, -, 23.4% elo% vs. v0, avg. reward: -3.014, 1.915 sec/game, 1.0 min. total, 402.4 MB
demanding_wow v1 45 games, 31462 moves, e=0.969, loss: 3.6, -, 22.6% elo% vs. v0, avg. reward: -3.007, 1.901 sec/game, 1.0 min. total, 403.7 MB
demanding_wow v1 46 games, 32241 moves, e=0.968, loss: 3.9, -, 21.9% elo% vs. v0, avg. reward: -2.999, 1.891 sec/game, 1.1 min. total, 402.4 MB
demanding_wow v1 47 games, 32952 moves, e=0.967, loss: 4.1, +, 24.4% elo% vs. v0, avg. reward: -3.003, 1.925 sec/game, 1.1 min. total, 402.5 MB
demanding_wow v1 48 games, 33759 moves, e=0.967, loss: 4.1, +, 27.1% elo% vs. v0, avg. reward: -2.996, 1.936 sec/game, 1.1 min. total, 402.7 MB
demanding_wow v1 49 games, 34512 moves, e=0.966, loss: 4.1, -, 26.1% elo% vs. v0, avg. reward: -2.986, 1.945 sec/game, 1.2 min. total, 402.6 MB
demanding_wow v1 50 games, 35228 moves, e=0.965, loss: 4.1, -, 25.2% elo% vs. v0, avg. reward: -2.979, 1.951 sec/game, 1.2 min. total, 403.4 MB
demanding_wow v1 51 games, 35923 moves, e=0.964, loss: 4.4, +, 27.9% elo% vs. v0, avg. reward: -2.986, 1.935 sec/game, 1.2 min. total, 404.2 MB
demanding_wow v1 52 games, 36757 moves, e=0.964, loss: 5.1, -, 26.9% elo% vs. v0, avg. reward: -2.973, 1.982 sec/game, 1.3 min. total, 404.8 MB
demanding_wow v1 53 games, 37360 moves, e=0.963, loss: 5.1, -, 25.9% elo% vs. v0, avg. reward: -2.983, 1.949 sec/game, 1.3 min. total, 404.8 MB
demanding_wow v1 54 games, 37893 moves, e=0.962, loss: 5.1, -, 25.0% elo% vs. v0, avg. reward: -3.008, 1.964 sec/game, 1.3 min. total, 404.9 MB
demanding_wow v1 55 games, 38598 moves, e=0.962, loss: 5.3, -, 24.1% elo% vs. v0, avg. reward: -3.010, 1.984 sec/game, 1.4 min. total, 405.0 MB
demanding_wow v1 56 games, 39310 moves, e=0.961, loss: 4.6, -, 23.3% elo% vs. v0, avg. reward: -3.017, 2.023 sec/game, 1.4 min. total, 404.9 MB
demanding_wow v1 57 games, 40056 moves, e=0.960, loss: 4.4, -, 22.6% elo% vs. v0, avg. reward: -3.020, 2.047 sec/game, 1.5 min. total, 405.2 MB
demanding_wow v1 58 games, 40720 moves, e=0.960, loss: 4.1, -, 21.9% elo% vs. v0, avg. reward: -3.028, 2.071 sec/game, 1.5 min. total, 405.5 MB
demanding_wow v1 59 games, 41398 moves, e=0.959, loss: 4.1, ., 22.8% elo% vs. v0, avg. reward: -3.027, 2.077 sec/game, 1.5 min. total, 405.4 MB
demanding_wow v1 60 games, 42109 moves, e=0.958, loss: 4.0, +, 25.4% elo% vs. v0, avg. reward: -3.025, 2.064 sec/game, 1.6 min. total, 406.1 MB
demanding_wow v1 61 games, 42829 moves, e=0.958, loss: 3.5, -, 24.5% elo% vs. v0, avg. reward: -3.026, 2.101 sec/game, 1.6 min. total, 408.7 MB
demanding_wow v1 62 games, 43483 moves, e=0.957, loss: 4.5, -, 23.7% elo% vs. v0, avg. reward: -3.031, 2.090 sec/game, 1.6 min. total, 408.9 MB
demanding_wow v1 63 games, 44197 moves, e=0.956, loss: 4.0, -, 22.9% elo% vs. v0, avg. reward: -3.034, 2.081 sec/game, 1.7 min. total, 408.8 MB
demanding_wow v1 64 games, 44948 moves, e=0.956, loss: 4.4, -, 22.1% elo% vs. v0, avg. reward: -3.035, 2.092 sec/game, 1.7 min. total, 408.8 MB
demanding_wow v1 65 games, 45602 moves, e=0.955, loss: 4.4, -, 21.5% elo% vs. v0, avg. reward: -3.036, 2.102 sec/game, 1.7 min. total, 408.6 MB
demanding_wow v1 66 games, 46387 moves, e=0.954, loss: 3.9, +, 24.0% elo% vs. v0, avg. reward: -3.034, 2.106 sec/game, 1.8 min. total, 408.9 MB
demanding_wow v1 67 games, 47101 moves, e=0.953, loss: 3.8, +, 26.6% elo% vs. v0, avg. reward: -3.038, 2.085 sec/game, 1.8 min. total, 408.9 MB
demanding_wow v1 68 games, 47812 moves, e=0.953, loss: 3.7, -, 25.7% elo% vs. v0, avg. reward: -3.035, 2.077 sec/game, 1.8 min. total, 408.9 MB
demanding_wow v1 69 games, 48590 moves, e=0.952, loss: 3.9, +, 28.4% elo% vs. v0, avg. reward: -3.028, 2.085 sec/game, 1.9 min. total, 409.0 MB
demanding_wow v1 70 games, 49325 moves, e=0.951, loss: 3.5, -, 27.3% elo% vs. v0, avg. reward: -3.030, 2.092 sec/game, 1.9 min. total, 408.9 MB
demanding_wow v1 71 games, 49988 moves, e=0.951, loss: 3.8, +, 30.1% elo% vs. v0, avg. reward: -3.026, 2.087 sec/game, 1.9 min. total, 410.8 MB
