demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v5 327 games, 252998 moves, e=0.750, loss: 11.2, -, 44.3% elo% vs. v2, avg. reward: -2.289, 2.495 sec/game, 10.9 min. total, 526.2 MB
demanding_wow v5 328 games, 254047 moves, e=0.748, loss: 9.9, -, 42.3% elo% vs. v2, avg. reward: -2.281, 2.491 sec/game, 11.0 min. total, 526.3 MB
demanding_wow v5 329 games, 254816 moves, e=0.748, loss: 10.3, -, 40.4% elo% vs. v2, avg. reward: -2.281, 2.474 sec/game, 11.0 min. total, 527.6 MB
demanding_wow v5 330 games, 255647 moves, e=0.747, loss: 9.7, -, 38.7% elo% vs. v2, avg. reward: -2.275, 2.475 sec/game, 11.1 min. total, 524.9 MB
demanding_wow v5 331 games, 256715 moves, e=0.746, loss: 10.0, +, 41.4% elo% vs. v2, avg. reward: -2.270, 2.475 sec/game, 11.1 min. total, 524.7 MB
demanding_wow v5 332 games, 257538 moves, e=0.745, loss: 10.4, ., 41.7% elo% vs. v2, avg. reward: -2.269, 2.477 sec/game, 11.1 min. total, 525.2 MB
demanding_wow v5 333 games, 258393 moves, e=0.744, loss: 10.2, +, 44.4% elo% vs. v2, avg. reward: -2.255, 2.442 sec/game, 11.2 min. total, 526.0 MB
demanding_wow v5 334 games, 259300 moves, e=0.743, loss: 10.6, -, 42.4% elo% vs. v2, avg. reward: -2.250, 2.447 sec/game, 11.2 min. total, 529.2 MB
demanding_wow v5 335 games, 260239 moves, e=0.742, loss: 10.1, +, 45.0% elo% vs. v2, avg. reward: -2.234, 2.466 sec/game, 11.3 min. total, 527.4 MB
demanding_wow v5 336 games, 261129 moves, e=0.741, loss: 10.9, +, 47.5% elo% vs. v2, avg. reward: -2.233, 2.470 sec/game, 11.3 min. total, 527.6 MB
demanding_wow v5 337 games, 261981 moves, e=0.741, loss: 10.9, +, 49.9% elo% vs. v2, avg. reward: -2.240, 2.453 sec/game, 11.3 min. total, 527.6 MB
demanding_wow v5 338 games, 262842 moves, e=0.740, loss: 10.8, +, 52.2% elo% vs. v2, avg. reward: -2.234, 2.473 sec/game, 11.4 min. total, 527.8 MB
demanding_wow v5 339 games, 263770 moves, e=0.739, loss: 11.6, -, 49.8% elo% vs. v2, avg. reward: -2.222, 2.475 sec/game, 11.4 min. total, 527.8 MB
demanding_wow v5 340 games, 264788 moves, e=0.738, loss: 11.3, +, 52.1% elo% vs. v2, avg. reward: -2.216, 2.492 sec/game, 11.5 min. total, 529.4 MB
demanding_wow v5 341 games, 265611 moves, e=0.737, loss: 12.2, -, 49.7% elo% vs. v2, avg. reward: -2.213, 2.502 sec/game, 11.5 min. total, 531.6 MB
demanding_wow v5 342 games, 266639 moves, e=0.736, loss: 12.5, -, 47.4% elo% vs. v2, avg. reward: -2.205, 2.545 sec/game, 11.6 min. total, 530.9 MB
demanding_wow v5 343 games, 267536 moves, e=0.735, loss: 13.2, -, 45.3% elo% vs. v2, avg. reward: -2.187, 2.550 sec/game, 11.6 min. total, 531.0 MB
demanding_wow v5 344 games, 268403 moves, e=0.734, loss: 14.1, -, 43.2% elo% vs. v2, avg. reward: -2.185, 2.533 sec/game, 11.7 min. total, 531.2 MB
demanding_wow v5 345 games, 269287 moves, e=0.733, loss: 13.5, +, 45.8% elo% vs. v2, avg. reward: -2.171, 2.539 sec/game, 11.7 min. total, 531.0 MB
demanding_wow v5 346 games, 270131 moves, e=0.733, loss: 13.7, -, 43.7% elo% vs. v2, avg. reward: -2.164, 2.524 sec/game, 11.7 min. total, 531.1 MB
demanding_wow v5 347 games, 271011 moves, e=0.732, loss: 13.8, +, 46.3% elo% vs. v2, avg. reward: -2.159, 2.527 sec/game, 11.8 min. total, 531.1 MB
demanding_wow v5 348 games, 271817 moves, e=0.731, loss: 12.1, +, 48.7% elo% vs. v2, avg. reward: -2.164, 2.496 sec/game, 11.8 min. total, 531.2 MB
demanding_wow v5 349 games, 272683 moves, e=0.730, loss: 12.5, ., 48.8% elo% vs. v2, avg. reward: -2.166, 2.510 sec/game, 11.9 min. total, 532.9 MB
demanding_wow v5 350 games, 273540 moves, e=0.729, loss: 11.8, +, 51.2% elo% vs. v2, avg. reward: -2.164, 2.509 sec/game, 11.9 min. total, 533.4 MB
demanding_wow v5 351 games, 274609 moves, e=0.728, loss: 12.1, +, 53.4% elo% vs. v2, avg. reward: -2.143, 2.512 sec/game, 11.9 min. total, 533.4 MB
demanding_wow v5 352 games, 275571 moves, e=0.727, loss: 12.8, +, 55.5% elo% vs. v2, avg. reward: -2.135, 2.517 sec/game, 12.0 min. total, 535.8 MB
demanding_wow v5 353 games, 276536 moves, e=0.726, loss: 13.0, -, 53.0% elo% vs. v2, avg. reward: -2.134, 2.552 sec/game, 12.0 min. total, 535.9 MB
demanding_wow v5 354 games, 277401 moves, e=0.725, loss: 12.1, -, 50.6% elo% vs. v2, avg. reward: -2.134, 2.549 sec/game, 12.1 min. total, 534.5 MB
demanding_wow v5 355 games, 278275 moves, e=0.725, loss: 12.0, -, 48.2% elo% vs. v2, avg. reward: -2.134, 2.530 sec/game, 12.1 min. total, 534.4 MB
demanding_wow v5 356 games, 279097 moves, e=0.724, loss: 12.2, +, 50.6% elo% vs. v2, avg. reward: -2.127, 2.514 sec/game, 12.1 min. total, 535.0 MB
demanding_wow v5 357 games, 280005 moves, e=0.723, loss: 12.2, +, 52.9% elo% vs. v2, avg. reward: -2.123, 2.523 sec/game, 12.2 min. total, 537.9 MB
demanding_wow v5 358 games, 281113 moves, e=0.722, loss: 12.6, +, 55.0% elo% vs. v2, avg. reward: -2.108, 2.536 sec/game, 12.2 min. total, 537.4 MB
demanding_wow v5 359 games, 282170 moves, e=0.721, loss: 12.4, +, 57.1% elo% vs. v2, avg. reward: -2.103, 2.597 sec/game, 12.3 min. total, 538.4 MB
demanding_wow v5 360 games, 283036 moves, e=0.720, loss: 11.9, +, 59.0% elo% vs. v2, avg. reward: -2.103, 2.600 sec/game, 12.3 min. total, 537.6 MB
demanding_wow v5 361 games, 283991 moves, e=0.719, loss: 12.0, -, 56.4% elo% vs. v2, avg. reward: -2.092, 2.632 sec/game, 12.4 min. total, 537.7 MB
demanding_wow v5 362 games, 284780 moves, e=0.718, loss: 11.8, -, 53.8% elo% vs. v2, avg. reward: -2.099, 2.608 sec/game, 12.4 min. total, 537.6 MB
demanding_wow v5 363 games, 285751 moves, e=0.717, loss: 11.3, -, 51.3% elo% vs. v2, avg. reward: -2.093, 2.635 sec/game, 12.5 min. total, 537.8 MB
demanding_wow v5 364 games, 286561 moves, e=0.716, loss: 11.8, -, 49.0% elo% vs. v2, avg. reward: -2.090, 2.644 sec/game, 12.5 min. total, 538.4 MB
demanding_wow v5 365 games, 287573 moves, e=0.715, loss: 12.2, +, 51.3% elo% vs. v2, avg. reward: -2.075, 2.675 sec/game, 12.6 min. total, 538.8 MB
demanding_wow v5 366 games, 288335 moves, e=0.715, loss: 12.0, -, 48.9% elo% vs. v2, avg. reward: -2.083, 2.671 sec/game, 12.6 min. total, 539.2 MB
demanding_wow v5 367 games, 289116 moves, e=0.714, loss: 12.0, +, 51.3% elo% vs. v2, avg. reward: -2.078, 2.669 sec/game, 12.7 min. total, 539.1 MB
demanding_wow v5 368 games, 290002 moves, e=0.713, loss: 11.7, -, 48.9% elo% vs. v2, avg. reward: -2.083, 2.703 sec/game, 12.7 min. total, 539.6 MB
demanding_wow v5 369 games, 290804 moves, e=0.712, loss: 11.8, +, 51.3% elo% vs. v2, avg. reward: -2.076, 2.700 sec/game, 12.8 min. total, 539.7 MB
demanding_wow v5 370 games, 291705 moves, e=0.711, loss: 10.6, +, 53.5% elo% vs. v2, avg. reward: -2.072, 2.708 sec/game, 12.8 min. total, 541.2 MB
demanding_wow v5 371 games, 292527 moves, e=0.710, loss: 11.0, +, 55.6% elo% vs. v2, avg. reward: -2.068, 2.697 sec/game, 12.8 min. total, 540.7 MB
demanding_wow v5 372 games, 293306 moves, e=0.710, loss: 11.6, -, 53.1% elo% vs. v2, avg. reward: -2.066, 2.676 sec/game, 12.9 min. total, 544.9 MB
demanding_wow v5 373 games, 294178 moves, e=0.709, loss: 12.3, +, 55.2% elo% vs. v2, avg. reward: -2.067, 2.704 sec/game, 12.9 min. total, 542.9 MB
demanding_wow v5 374 games, 295120 moves, e=0.708, loss: 11.6, -, 52.7% elo% vs. v2, avg. reward: -2.062, 2.747 sec/game, 13.0 min. total, 544.7 MB
demanding_wow v5 375 games, 296119 moves, e=0.707, loss: 11.3, +, 54.9% elo% vs. v2, avg. reward: -2.054, 2.800 sec/game, 13.0 min. total, 542.7 MB
demanding_wow v5 376 games, 297097 moves, e=0.706, loss: 12.4, -, 52.4% elo% vs. v2, avg. reward: -2.061, 2.862 sec/game, 13.1 min. total, 544.6 MB
demanding_wow v5 377 games, 297935 moves, e=0.705, loss: 12.0, +, 54.5% elo% vs. v2, avg. reward: -2.057, 2.864 sec/game, 13.1 min. total, 542.7 MB
demanding_wow v5 378 games, 298973 moves, e=0.704, loss: 12.0, +, 56.6% elo% vs. v2, avg. reward: -2.050, 2.867 sec/game, 13.2 min. total, 542.8 MB
demanding_wow v5 379 games, 299963 moves, e=0.703, loss: 11.6, +, 58.6% elo% vs. v2, avg. reward: -2.043, 2.835 sec/game, 13.2 min. total, 545.1 MB
demanding_wow v5 380 games, 300996 moves, e=0.702, loss: 11.1, ., 58.2% elo% vs. v2, avg. reward: -2.039, 2.845 sec/game, 13.3 min. total, 545.5 MB
demanding_wow v5 381 games, 301906 moves, e=0.701, loss: 12.0, -, 55.6% elo% vs. v2, avg. reward: -2.038, 2.824 sec/game, 13.3 min. total, 545.8 MB
demanding_wow v5 382 games, 303020 moves, e=0.700, loss: 12.3, +, 57.6% elo% vs. v2, avg. reward: -2.025, 2.868 sec/game, 13.4 min. total, 545.7 MB
demanding_wow v5 383 games, 303832 moves, e=0.699, loss: 12.6, +, 59.5% elo% vs. v2, avg. reward: -2.027, 2.835 sec/game, 13.4 min. total, 545.9 MB
demanding_wow v5 384 games, 304832 moves, e=0.698, loss: 11.9, +, 61.3% elo% vs. v2, avg. reward: -2.023, 2.861 sec/game, 13.5 min. total, 545.9 MB
demanding_wow v5 385 games, 305883 moves, e=0.697, loss: 11.7, +, 62.9% elo% vs. v2, avg. reward: -2.010, 2.858 sec/game, 13.5 min. total, 545.7 MB
demanding_wow v5 386 games, 306794 moves, e=0.696, loss: 12.7, +, 64.5% elo% vs. v2, avg. reward: -2.003, 2.873 sec/game, 13.6 min. total, 545.9 MB
demanding_wow v5 387 games, 307644 moves, e=0.695, loss: 12.5, -, 61.7% elo% vs. v2, avg. reward: -2.002, 2.881 sec/game, 13.6 min. total, 548.7 MB
demanding_wow v5 388 games, 308540 moves, e=0.695, loss: 12.3, +, 63.4% elo% vs. v2, avg. reward: -1.993, 2.868 sec/game, 13.7 min. total, 548.7 MB
demanding_wow v5 389 games, 309529 moves, e=0.694, loss: 12.7, +, 64.9% elo% vs. v2, avg. reward: -1.985, 2.895 sec/game, 13.7 min. total, 548.8 MB
demanding_wow v5 390 games, 310524 moves, e=0.693, loss: 13.1, -, 62.2% elo% vs. v2, avg. reward: -1.975, 2.896 sec/game, 13.8 min. total, 548.8 MB
demanding_wow v5 391 games, 311295 moves, e=0.692, loss: 12.9, +, 63.8% elo% vs. v2, avg. reward: -1.982, 2.878 sec/game, 13.8 min. total, 548.8 MB
demanding_wow v5 392 games, 312277 moves, e=0.691, loss: 12.6, +, 65.3% elo% vs. v2, avg. reward: -1.977, 2.912 sec/game, 13.8 min. total, 549.1 MB
demanding_wow v5 393 games, 313268 moves, e=0.690, loss: 12.6, +, 66.8% elo% vs. v2, avg. reward: -1.977, 2.886 sec/game, 13.9 min. total, 548.9 MB
demanding_wow v5 394 games, 314583 moves, e=0.689, loss: 12.2, +, 68.1% elo% vs. v2, avg. reward: -1.967, 2.896 sec/game, 13.9 min. total, 549.8 MB
demanding_wow v5 395 games, 315606 moves, e=0.688, loss: 12.3, +, 69.4% elo% vs. v2, avg. reward: -1.957, 2.866 sec/game, 14.0 min. total, 551.9 MB
demanding_wow v5 396 games, 316593 moves, e=0.687, loss: 12.9, +, 70.5% elo% vs. v2, avg. reward: -1.956, 2.840 sec/game, 14.0 min. total, 551.4 MB
demanding_wow v6 397 games, 317439 moves, e=0.686, loss: 12.3, +, 54.5% elo% vs. v5, avg. reward: -1.958, 2.826 sec/game, 14.1 min. total, 577.3 MB
demanding_wow v6 398 games, 318284 moves, e=0.685, loss: 11.7, -, 52.0% elo% vs. v5, avg. reward: -1.949, 2.796 sec/game, 14.1 min. total, 575.3 MB
demanding_wow v6 399 games, 319118 moves, e=0.684, loss: 12.3, -, 49.6% elo% vs. v5, avg. reward: -1.952, 2.765 sec/game, 14.2 min. total, 575.3 MB
demanding_wow v6 400 games, 320033 moves, e=0.683, loss: 11.5, +, 51.9% elo% vs. v5, avg. reward: -1.950, 2.731 sec/game, 14.2 min. total, 575.6 MB
demanding_wow v7 401 games, 320886 moves, e=0.682, loss: 10.9, +, 52.3% elo% vs. v5, avg. reward: -1.951, 2.704 sec/game, 14.2 min. total, 577.1 MB
demanding_wow v7 402 games, 321865 moves, e=0.681, loss: 10.0, +, 54.5% elo% vs. v5, avg. reward: -1.946, 2.674 sec/game, 14.3 min. total, 579.9 MB
demanding_wow v7 403 games, 322775 moves, e=0.680, loss: 10.8, +, 56.6% elo% vs. v5, avg. reward: -1.946, 2.683 sec/game, 14.3 min. total, 575.0 MB
demanding_wow v7 404 games, 323822 moves, e=0.679, loss: 10.1, -, 54.0% elo% vs. v5, avg. reward: -1.941, 2.679 sec/game, 14.4 min. total, 575.6 MB
demanding_wow v7 405 games, 324858 moves, e=0.678, loss: 10.9, +, 56.1% elo% vs. v5, avg. reward: -1.938, 2.666 sec/game, 14.4 min. total, 575.6 MB
demanding_wow v7 406 games, 325799 moves, e=0.677, loss: 10.8, -, 53.5% elo% vs. v5, avg. reward: -1.934, 2.668 sec/game, 14.5 min. total, 575.5 MB
demanding_wow v7 407 games, 326865 moves, e=0.676, loss: 10.4, -, 51.1% elo% vs. v5, avg. reward: -1.927, 2.681 sec/game, 14.5 min. total, 575.4 MB
demanding_wow v7 408 games, 327736 moves, e=0.676, loss: 11.8, -, 48.7% elo% vs. v5, avg. reward: -1.920, 2.675 sec/game, 14.6 min. total, 576.0 MB
demanding_wow v7 409 games, 328816 moves, e=0.674, loss: 12.6, -, 46.5% elo% vs. v5, avg. reward: -1.920, 2.672 sec/game, 14.6 min. total, 576.1 MB
demanding_wow v7 410 games, 329760 moves, e=0.674, loss: 11.8, -, 44.4% elo% vs. v5, avg. reward: -1.919, 2.682 sec/game, 14.7 min. total, 579.2 MB
demanding_wow v7 411 games, 330754 moves, e=0.673, loss: 12.6, +, 46.9% elo% vs. v5, avg. reward: -1.911, 2.708 sec/game, 14.7 min. total, 577.3 MB
demanding_wow v7 412 games, 331606 moves, e=0.672, loss: 13.1, +, 49.3% elo% vs. v5, avg. reward: -1.909, 2.683 sec/game, 14.7 min. total, 577.4 MB
demanding_wow v7 413 games, 332620 moves, e=0.671, loss: 14.8, +, 51.7% elo% vs. v5, avg. reward: -1.914, 2.686 sec/game, 14.8 min. total, 577.5 MB
demanding_wow v7 414 games, 333764 moves, e=0.670, loss: 13.7, -, 49.3% elo% vs. v5, avg. reward: -1.902, 2.667 sec/game, 14.8 min. total, 579.9 MB
demanding_wow v7 415 games, 334850 moves, e=0.668, loss: 14.6, -, 47.0% elo% vs. v5, avg. reward: -1.896, 2.684 sec/game, 14.9 min. total, 577.8 MB
demanding_wow v7 416 games, 335930 moves, e=0.667, loss: 13.4, +, 49.5% elo% vs. v5, avg. reward: -1.899, 2.686 sec/game, 14.9 min. total, 578.1 MB
demanding_wow v7 417 games, 336848 moves, e=0.667, loss: 14.9, -, 47.2% elo% vs. v5, avg. reward: -1.893, 2.705 sec/game, 15.0 min. total, 579.6 MB
demanding_wow v7 418 games, 337729 moves, e=0.666, loss: 16.0, +, 49.6% elo% vs. v5, avg. reward: -1.886, 2.703 sec/game, 15.0 min. total, 580.6 MB
demanding_wow v7 419 games, 338592 moves, e=0.665, loss: 14.7, +, 51.9% elo% vs. v5, avg. reward: -1.879, 2.704 sec/game, 15.1 min. total, 580.7 MB
demanding_wow v7 420 games, 339795 moves, e=0.664, loss: 14.8, +, 54.1% elo% vs. v5, avg. reward: -1.869, 2.738 sec/game, 15.1 min. total, 580.6 MB
demanding_wow v7 421 games, 340899 moves, e=0.663, loss: 14.4, +, 56.2% elo% vs. v5, avg. reward: -1.857, 2.779 sec/game, 15.2 min. total, 580.8 MB
demanding_wow v7 422 games, 341773 moves, e=0.662, loss: 12.8, +, 58.2% elo% vs. v5, avg. reward: -1.850, 2.762 sec/game, 15.2 min. total, 581.1 MB
demanding_wow v7 423 games, 342919 moves, e=0.661, loss: 13.8, -, 55.6% elo% vs. v5, avg. reward: -1.848, 2.788 sec/game, 15.3 min. total, 581.4 MB
demanding_wow v7 424 games, 343879 moves, e=0.660, loss: 15.1, -, 53.0% elo% vs. v5, avg. reward: -1.853, 2.778 sec/game, 15.3 min. total, 581.9 MB
demanding_wow v7 425 games, 344733 moves, e=0.659, loss: 14.9, +, 55.2% elo% vs. v5, avg. reward: -1.851, 2.758 sec/game, 15.3 min. total, 583.6 MB
demanding_wow v7 426 games, 345763 moves, e=0.658, loss: 14.8, -, 52.7% elo% vs. v5, avg. reward: -1.845, 2.770 sec/game, 15.4 min. total, 584.0 MB
demanding_wow v7 427 games, 346980 moves, e=0.656, loss: 14.6, +, 54.8% elo% vs. v5, avg. reward: -1.842, 2.894 sec/game, 15.5 min. total, 584.2 MB
demanding_wow v7 428 games, 348021 moves, e=0.655, loss: 14.8, -, 52.3% elo% vs. v5, avg. reward: -1.836, 2.906 sec/game, 15.5 min. total, 584.0 MB
demanding_wow v7 429 games, 348966 moves, e=0.655, loss: 14.2, +, 54.5% elo% vs. v5, avg. reward: -1.831, 2.890 sec/game, 15.6 min. total, 584.2 MB
demanding_wow v7 430 games, 350066 moves, e=0.653, loss: 14.5, -, 52.0% elo% vs. v5, avg. reward: -1.823, 2.886 sec/game, 15.6 min. total, 584.3 MB
demanding_wow v7 431 games, 351135 moves, e=0.652, loss: 12.8, -, 49.6% elo% vs. v5, avg. reward: -1.824, 2.892 sec/game, 15.7 min. total, 584.3 MB
demanding_wow v7 432 games, 352108 moves, e=0.651, loss: 12.3, ., 49.6% elo% vs. v5, avg. reward: -1.820, 2.901 sec/game, 15.7 min. total, 584.7 MB
demanding_wow v7 433 games, 353024 moves, e=0.651, loss: 12.0, -, 47.3% elo% vs. v5, avg. reward: -1.820, 2.956 sec/game, 15.8 min. total, 587.0 MB
demanding_wow v7 434 games, 354001 moves, e=0.650, loss: 12.6, -, 45.2% elo% vs. v5, avg. reward: -1.815, 4.910 sec/game, 16.5 min. total, 587.5 MB
demanding_wow v7 435 games, 354987 moves, e=0.649, loss: 12.8, -, 43.1% elo% vs. v5, avg. reward: -1.819, 5.020 sec/game, 16.6 min. total, 577.1 MB
demanding_wow v7 436 games, 356105 moves, e=0.647, loss: 12.4, -, 41.2% elo% vs. v5, avg. reward: -1.816, 5.088 sec/game, 16.6 min. total, 573.7 MB
demanding_wow v7 437 games, 356977 moves, e=0.647, loss: 13.4, -, 39.4% elo% vs. v5, avg. reward: -1.816, 5.086 sec/game, 16.7 min. total, 573.6 MB
demanding_wow v7 438 games, 357957 moves, e=0.646, loss: 13.8, +, 42.1% elo% vs. v5, avg. reward: -1.811, 5.120 sec/game, 16.7 min. total, 573.6 MB
demanding_wow v7 439 games, 358913 moves, e=0.645, loss: 13.8, -, 40.2% elo% vs. v5, avg. reward: -1.808, 5.173 sec/game, 16.8 min. total, 573.8 MB
demanding_wow v7 440 games, 359889 moves, e=0.644, loss: 13.9, -, 38.4% elo% vs. v5, avg. reward: -1.802, 5.160 sec/game, 16.8 min. total, 575.0 MB
demanding_wow v7 441 games, 360873 moves, e=0.643, loss: 14.5, -, 36.8% elo% vs. v5, avg. reward: -1.791, 5.166 sec/game, 16.9 min. total, 577.6 MB
demanding_wow v7 442 games, 361935 moves, e=0.642, loss: 15.5, +, 39.5% elo% vs. v5, avg. reward: -1.788, 5.208 sec/game, 16.9 min. total, 577.4 MB
demanding_wow v7 443 games, 362838 moves, e=0.641, loss: 15.6, ., 40.0% elo% vs. v5, avg. reward: -1.787, 5.222 sec/game, 17.0 min. total, 577.5 MB
demanding_wow v7 444 games, 363883 moves, e=0.640, loss: 15.0, -, 38.2% elo% vs. v5, avg. reward: -1.784, 5.233 sec/game, 17.1 min. total, 577.7 MB
demanding_wow v7 445 games, 364887 moves, e=0.639, loss: 15.2, -, 36.6% elo% vs. v5, avg. reward: -1.781, 5.270 sec/game, 17.1 min. total, 578.3 MB
demanding_wow v7 446 games, 365821 moves, e=0.638, loss: 15.0, -, 35.0% elo% vs. v5, avg. reward: -1.781, 5.248 sec/game, 17.1 min. total, 578.6 MB
demanding_wow v7 447 games, 366851 moves, e=0.637, loss: 15.0, -, 33.6% elo% vs. v5, avg. reward: -1.779, 5.139 sec/game, 17.2 min. total, 578.7 MB
demanding_wow v7 448 games, 367820 moves, e=0.636, loss: 15.2, -, 32.2% elo% vs. v5, avg. reward: -1.773, 5.132 sec/game, 17.2 min. total, 580.7 MB
demanding_wow v7 449 games, 368927 moves, e=0.635, loss: 14.9, -, 30.9% elo% vs. v5, avg. reward: -1.767, 5.159 sec/game, 17.3 min. total, 581.9 MB
demanding_wow v7 450 games, 369843 moves, e=0.634, loss: 13.8, -, 29.7% elo% vs. v5, avg. reward: -1.765, 5.155 sec/game, 17.3 min. total, 581.5 MB
demanding_wow v7 451 games, 370789 moves, e=0.633, loss: 12.7, -, 28.6% elo% vs. v5, avg. reward: -1.772, 5.133 sec/game, 17.4 min. total, 581.5 MB
demanding_wow v7 452 games, 371748 moves, e=0.632, loss: 12.4, +, 31.3% elo% vs. v5, avg. reward: -1.773, 5.144 sec/game, 17.4 min. total, 581.8 MB
demanding_wow v7 453 games, 372917 moves, e=0.631, loss: 11.4, +, 34.1% elo% vs. v5, avg. reward: -1.759, 5.105 sec/game, 17.5 min. total, 581.6 MB
demanding_wow v7 454 games, 373858 moves, e=0.630, loss: 11.9, +, 36.9% elo% vs. v5, avg. reward: -1.754, 3.120 sec/game, 17.5 min. total, 581.7 MB
demanding_wow v7 455 games, 374870 moves, e=0.629, loss: 12.1, +, 39.7% elo% vs. v5, avg. reward: -1.748, 2.986 sec/game, 17.6 min. total, 582.2 MB
demanding_wow v7 456 games, 375770 moves, e=0.628, loss: 11.6, +, 42.3% elo% vs. v5, avg. reward: -1.749, 2.897 sec/game, 17.6 min. total, 583.2 MB
demanding_wow v7 457 games, 376827 moves, e=0.627, loss: 11.5, +, 45.0% elo% vs. v5, avg. reward: -1.735, 2.910 sec/game, 17.6 min. total, 584.7 MB
demanding_wow v7 458 games, 378012 moves, e=0.626, loss: 12.6, +, 47.5% elo% vs. v5, avg. reward: -1.732, 2.919 sec/game, 17.7 min. total, 584.3 MB
demanding_wow v7 459 games, 379154 moves, e=0.625, loss: 13.6, -, 45.3% elo% vs. v5, avg. reward: -1.728, 2.897 sec/game, 17.8 min. total, 584.5 MB
demanding_wow v7 460 games, 380204 moves, e=0.624, loss: 15.2, ., 45.5% elo% vs. v5, avg. reward: -1.719, 2.894 sec/game, 17.8 min. total, 584.5 MB
demanding_wow v7 461 games, 381263 moves, e=0.623, loss: 15.5, +, 48.0% elo% vs. v5, avg. reward: -1.707, 2.882 sec/game, 17.9 min. total, 584.6 MB
demanding_wow v7 462 games, 382321 moves, e=0.622, loss: 15.1, +, 50.4% elo% vs. v5, avg. reward: -1.696, 2.883 sec/game, 17.9 min. total, 584.6 MB
demanding_wow v7 463 games, 383283 moves, e=0.621, loss: 15.5, +, 52.7% elo% vs. v5, avg. reward: -1.692, 2.880 sec/game, 18.0 min. total, 585.5 MB
demanding_wow v7 464 games, 384323 moves, e=0.620, loss: 14.9, +, 54.9% elo% vs. v5, avg. reward: -1.678, 2.895 sec/game, 18.0 min. total, 587.4 MB
demanding_wow v7 465 games, 385359 moves, e=0.618, loss: 14.8, -, 52.3% elo% vs. v5, avg. reward: -1.680, 2.884 sec/game, 18.1 min. total, 588.0 MB
demanding_wow v7 466 games, 386400 moves, e=0.617, loss: 15.7, +, 54.5% elo% vs. v5, avg. reward: -1.658, 2.911 sec/game, 18.1 min. total, 588.4 MB
demanding_wow v7 467 games, 387411 moves, e=0.616, loss: 15.5, +, 56.6% elo% vs. v5, avg. reward: -1.648, 2.907 sec/game, 18.2 min. total, 588.3 MB
demanding_wow v7 468 games, 388468 moves, e=0.615, loss: 15.7, +, 58.5% elo% vs. v5, avg. reward: -1.637, 2.931 sec/game, 18.2 min. total, 588.3 MB
demanding_wow v7 469 games, 389537 moves, e=0.614, loss: 14.7, +, 60.4% elo% vs. v5, avg. reward: -1.624, 2.933 sec/game, 18.3 min. total, 588.9 MB
demanding_wow v7 470 games, 390525 moves, e=0.613, loss: 14.5, +, 62.1% elo% vs. v5, avg. reward: -1.614, 2.936 sec/game, 18.3 min. total, 588.9 MB
demanding_wow v7 471 games, 391500 moves, e=0.612, loss: 13.2, +, 63.7% elo% vs. v5, avg. reward: -1.612, 2.970 sec/game, 18.4 min. total, 590.3 MB
demanding_wow v7 472 games, 392497 moves, e=0.611, loss: 13.3, +, 65.3% elo% vs. v5, avg. reward: -1.606, 3.005 sec/game, 18.4 min. total, 591.1 MB
demanding_wow v7 473 games, 393414 moves, e=0.611, loss: 13.5, -, 62.5% elo% vs. v5, avg. reward: -1.601, 2.999 sec/game, 18.5 min. total, 591.1 MB
demanding_wow v7 474 games, 394453 moves, e=0.609, loss: 15.1, -, 59.8% elo% vs. v5, avg. reward: -1.599, 3.030 sec/game, 18.5 min. total, 591.2 MB
demanding_wow v7 475 games, 395454 moves, e=0.609, loss: 14.1, +, 61.5% elo% vs. v5, avg. reward: -1.598, 3.056 sec/game, 18.6 min. total, 591.3 MB
demanding_wow v7 476 games, 396556 moves, e=0.607, loss: 13.7, ., 61.0% elo% vs. v5, avg. reward: -1.590, 3.117 sec/game, 18.6 min. total, 591.9 MB
demanding_wow v7 477 games, 397586 moves, e=0.606, loss: 14.1, +, 62.7% elo% vs. v5, avg. reward: -1.579, 3.150 sec/game, 18.7 min. total, 592.3 MB
demanding_wow v7 478 games, 398501 moves, e=0.605, loss: 14.5, ., 62.2% elo% vs. v5, avg. reward: -1.586, 3.113 sec/game, 18.7 min. total, 592.5 MB
demanding_wow v7 479 games, 399684 moves, e=0.604, loss: 16.2, +, 63.8% elo% vs. v5, avg. reward: -1.579, 3.126 sec/game, 18.8 min. total, 594.0 MB
demanding_wow v7 480 games, 400643 moves, e=0.603, loss: 13.7, +, 65.3% elo% vs. v5, avg. reward: -1.581, 3.134 sec/game, 18.8 min. total, 594.8 MB
demanding_wow v7 481 games, 401655 moves, e=0.602, loss: 13.9, +, 66.8% elo% vs. v5, avg. reward: -1.573, 3.128 sec/game, 18.9 min. total, 594.9 MB
demanding_wow v7 482 games, 402777 moves, e=0.601, loss: 14.5, +, 68.1% elo% vs. v5, avg. reward: -1.569, 3.124 sec/game, 18.9 min. total, 595.1 MB
demanding_wow v7 483 games, 403971 moves, e=0.600, loss: 14.8, +, 69.4% elo% vs. v5, avg. reward: -1.556, 3.138 sec/game, 19.0 min. total, 595.3 MB
demanding_wow v7 484 games, 404920 moves, e=0.599, loss: 14.3, +, 70.5% elo% vs. v5, avg. reward: -1.551, 3.123 sec/game, 19.1 min. total, 595.4 MB
