agreeable_scroll v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
agreeable_scroll v3 34 games, 24069 moves, e=0.976, loss: 12.7, -, 36.4% elo% vs. random_no_suicide, avg. reward: -13.414, 1.047 sec/game, 0.4 min. total, 429.6 MB
agreeable_scroll v3 35 games, 24820 moves, e=0.975, loss: 12.7, +, 39.2% elo% vs. random_no_suicide, avg. reward: -13.392, 1.053 sec/game, 0.4 min. total, 430.2 MB
agreeable_scroll v3 36 games, 25529 moves, e=0.975, loss: 12.7, -, 37.5% elo% vs. random_no_suicide, avg. reward: -13.385, 1.057 sec/game, 0.4 min. total, 433.3 MB
agreeable_scroll v3 37 games, 26280 moves, e=0.974, loss: 11.9, -, 35.9% elo% vs. random_no_suicide, avg. reward: -13.362, 1.063 sec/game, 0.4 min. total, 434.8 MB
agreeable_scroll v3 38 games, 27093 moves, e=0.973, loss: 11.9, -, 34.4% elo% vs. random_no_suicide, avg. reward: -13.322, 1.068 sec/game, 0.5 min. total, 435.0 MB
agreeable_scroll v3 39 games, 28019 moves, e=0.972, loss: 12.4, -, 33.0% elo% vs. random_no_suicide, avg. reward: -13.235, 1.086 sec/game, 0.5 min. total, 434.7 MB
agreeable_scroll v3 40 games, 28730 moves, e=0.972, loss: 12.2, -, 31.6% elo% vs. random_no_suicide, avg. reward: -13.232, 1.086 sec/game, 0.5 min. total, 436.5 MB
agreeable_scroll v3 41 games, 29506 moves, e=0.971, loss: 11.5, -, 30.4% elo% vs. random_no_suicide, avg. reward: -13.207, 1.087 sec/game, 0.5 min. total, 435.7 MB
agreeable_scroll v3 42 games, 30140 moves, e=0.970, loss: 11.5, +, 33.2% elo% vs. random_no_suicide, avg. reward: -13.237, 1.079 sec/game, 0.5 min. total, 434.5 MB
agreeable_scroll v3 43 games, 30891 moves, e=0.969, loss: 11.8, -, 31.8% elo% vs. random_no_suicide, avg. reward: -13.220, 1.091 sec/game, 0.6 min. total, 436.2 MB
agreeable_scroll v3 44 games, 31597 moves, e=0.969, loss: 12.3, -, 30.6% elo% vs. random_no_suicide, avg. reward: -13.217, 1.095 sec/game, 0.6 min. total, 437.3 MB
agreeable_scroll v3 45 games, 32339 moves, e=0.968, loss: 11.9, -, 29.4% elo% vs. random_no_suicide, avg. reward: -13.206, 1.085 sec/game, 0.6 min. total, 435.1 MB
agreeable_scroll v3 46 games, 33079 moves, e=0.967, loss: 12.1, -, 28.3% elo% vs. random_no_suicide, avg. reward: -13.195, 1.092 sec/game, 0.6 min. total, 437.3 MB
agreeable_scroll v3 47 games, 33863 moves, e=0.966, loss: 11.3, -, 27.2% elo% vs. random_no_suicide, avg. reward: -13.161, 1.093 sec/game, 0.6 min. total, 437.3 MB
agreeable_scroll v3 48 games, 34614 moves, e=0.966, loss: 11.7, -, 26.2% elo% vs. random_no_suicide, avg. reward: -13.140, 1.111 sec/game, 0.6 min. total, 439.0 MB
agreeable_scroll v3 49 games, 35365 moves, e=0.965, loss: 11.2, -, 25.3% elo% vs. random_no_suicide, avg. reward: -13.117, 1.100 sec/game, 0.7 min. total, 438.1 MB
agreeable_scroll v3 50 games, 36172 moves, e=0.964, loss: 11.2, -, 24.5% elo% vs. random_no_suicide, avg. reward: -13.086, 1.107 sec/game, 0.7 min. total, 438.6 MB
agreeable_scroll v3 51 games, 36934 moves, e=0.963, loss: 11.7, -, 23.6% elo% vs. random_no_suicide, avg. reward: -13.065, 1.110 sec/game, 0.7 min. total, 437.5 MB
agreeable_scroll v3 52 games, 37681 moves, e=0.963, loss: 12.0, -, 22.9% elo% vs. random_no_suicide, avg. reward: -13.060, 1.114 sec/game, 0.7 min. total, 438.0 MB
agreeable_scroll v3 53 games, 38251 moves, e=0.962, loss: 11.6, -, 22.1% elo% vs. random_no_suicide, avg. reward: -13.129, 1.110 sec/game, 0.7 min. total, 438.0 MB
agreeable_scroll v3 54 games, 39025 moves, e=0.961, loss: 11.3, -, 21.4% elo% vs. random_no_suicide, avg. reward: -13.107, 1.156 sec/game, 0.8 min. total, 441.0 MB
agreeable_scroll v3 55 games, 39789 moves, e=0.961, loss: 11.0, -, 20.8% elo% vs. random_no_suicide, avg. reward: -13.087, 1.206 sec/game, 0.8 min. total, 440.0 MB
agreeable_scroll v3 56 games, 40427 moves, e=0.960, loss: 10.8, -, 20.1% elo% vs. random_no_suicide, avg. reward: -13.110, 1.204 sec/game, 0.8 min. total, 441.4 MB
agreeable_scroll v3 57 games, 41032 moves, e=0.959, loss: 10.3, -, 19.6% elo% vs. random_no_suicide, avg. reward: -13.149, 1.196 sec/game, 0.8 min. total, 440.4 MB
agreeable_scroll v3 58 games, 41779 moves, e=0.959, loss: 9.6, -, 19.0% elo% vs. random_no_suicide, avg. reward: -13.138, 1.200 sec/game, 0.9 min. total, 441.4 MB
