agreeable_scroll v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
agreeable_scroll v6 280 games, 215021 moves, e=0.787, loss: 8.5, -, 8.3% elo% vs. simple_bot, avg. reward: -11.271, 1.404 sec/game, 5.6 min. total, 486.5 MB
agreeable_scroll v6 281 games, 215893 moves, e=0.786, loss: 8.5, -, 8.1% elo% vs. simple_bot, avg. reward: -11.255, 1.419 sec/game, 5.7 min. total, 488.4 MB
agreeable_scroll v6 282 games, 216802 moves, e=0.785, loss: 8.5, -, 8.0% elo% vs. simple_bot, avg. reward: -11.230, 1.434 sec/game, 5.7 min. total, 491.2 MB
agreeable_scroll v6 283 games, 217758 moves, e=0.784, loss: 8.6, -, 7.9% elo% vs. simple_bot, avg. reward: -11.219, 1.450 sec/game, 5.7 min. total, 488.7 MB
agreeable_scroll v6 284 games, 218573 moves, e=0.784, loss: 8.0, -, 7.8% elo% vs. simple_bot, avg. reward: -11.191, 1.442 sec/game, 5.8 min. total, 489.5 MB
agreeable_scroll v6 285 games, 219446 moves, e=0.783, loss: 8.1, -, 7.7% elo% vs. simple_bot, avg. reward: -11.158, 1.446 sec/game, 5.8 min. total, 488.7 MB
agreeable_scroll v6 286 games, 220287 moves, e=0.782, loss: 8.2, -, 7.6% elo% vs. simple_bot, avg. reward: -11.157, 1.445 sec/game, 5.8 min. total, 488.7 MB
agreeable_scroll v6 287 games, 221126 moves, e=0.781, loss: 8.3, -, 7.5% elo% vs. simple_bot, avg. reward: -11.161, 1.457 sec/game, 5.8 min. total, 490.4 MB
agreeable_scroll v6 288 games, 221918 moves, e=0.780, loss: 8.1, -, 7.4% elo% vs. simple_bot, avg. reward: -11.158, 1.455 sec/game, 5.9 min. total, 491.0 MB
agreeable_scroll v6 289 games, 222742 moves, e=0.779, loss: 8.1, -, 7.3% elo% vs. simple_bot, avg. reward: -11.135, 1.473 sec/game, 5.9 min. total, 489.5 MB
agreeable_scroll v6 290 games, 223577 moves, e=0.779, loss: 8.1, -, 7.2% elo% vs. simple_bot, avg. reward: -11.138, 1.473 sec/game, 5.9 min. total, 490.5 MB
agreeable_scroll v6 291 games, 224463 moves, e=0.778, loss: 7.8, -, 7.1% elo% vs. simple_bot, avg. reward: -11.120, 1.503 sec/game, 5.9 min. total, 489.8 MB
agreeable_scroll v6 292 games, 225363 moves, e=0.777, loss: 8.0, -, 7.1% elo% vs. simple_bot, avg. reward: -11.109, 1.508 sec/game, 6.0 min. total, 490.2 MB
agreeable_scroll v6 293 games, 226228 moves, e=0.776, loss: 8.1, -, 7.0% elo% vs. simple_bot, avg. reward: -11.097, 1.526 sec/game, 6.0 min. total, 490.8 MB
agreeable_scroll v6 294 games, 227127 moves, e=0.775, loss: 7.7, -, 6.9% elo% vs. simple_bot, avg. reward: -11.089, 1.530 sec/game, 6.0 min. total, 489.6 MB
agreeable_scroll v6 295 games, 228062 moves, e=0.774, loss: 7.6, -, 6.8% elo% vs. simple_bot, avg. reward: -11.065, 1.540 sec/game, 6.0 min. total, 491.6 MB
agreeable_scroll v6 296 games, 228763 moves, e=0.774, loss: 8.1, -, 6.7% elo% vs. simple_bot, avg. reward: -11.086, 1.530 sec/game, 6.1 min. total, 489.9 MB
agreeable_scroll v6 297 games, 229727 moves, e=0.773, loss: 8.9, -, 6.7% elo% vs. simple_bot, avg. reward: -11.060, 1.532 sec/game, 6.1 min. total, 491.7 MB
agreeable_scroll v6 298 games, 230577 moves, e=0.772, loss: 8.7, -, 6.6% elo% vs. simple_bot, avg. reward: -11.066, 1.530 sec/game, 6.1 min. total, 490.7 MB
agreeable_scroll v6 299 games, 231416 moves, e=0.771, loss: 8.5, -, 6.5% elo% vs. simple_bot, avg. reward: -11.061, 1.537 sec/game, 6.1 min. total, 492.6 MB
agreeable_scroll v6 300 games, 232300 moves, e=0.770, loss: 8.3, -, 6.4% elo% vs. simple_bot, avg. reward: -11.050, 1.540 sec/game, 6.2 min. total, 492.2 MB
agreeable_scroll v7 301 games, 233133 moves, e=0.769, loss: 9.4, -, 47.7% elo% vs. simple_bot, avg. reward: -11.044, 1.523 sec/game, 6.2 min. total, 490.9 MB
agreeable_scroll v7 302 games, 233975 moves, e=0.768, loss: 9.7, -, 45.5% elo% vs. simple_bot, avg. reward: -11.049, 1.497 sec/game, 6.2 min. total, 492.3 MB
agreeable_scroll v7 303 games, 234924 moves, e=0.767, loss: 9.4, -, 43.4% elo% vs. simple_bot, avg. reward: -11.030, 1.481 sec/game, 6.2 min. total, 492.5 MB
agreeable_scroll v7 304 games, 235710 moves, e=0.767, loss: 9.6, -, 41.5% elo% vs. simple_bot, avg. reward: -11.016, 1.476 sec/game, 6.3 min. total, 491.7 MB
agreeable_scroll v7 305 games, 236442 moves, e=0.766, loss: 9.9, -, 39.6% elo% vs. simple_bot, avg. reward: -11.028, 1.473 sec/game, 6.3 min. total, 494.4 MB
agreeable_scroll v7 306 games, 237336 moves, e=0.765, loss: 9.7, -, 37.9% elo% vs. simple_bot, avg. reward: -11.024, 1.496 sec/game, 6.3 min. total, 494.9 MB
agreeable_scroll v7 307 games, 238111 moves, e=0.764, loss: 9.8, -, 36.3% elo% vs. simple_bot, avg. reward: -11.024, 1.522 sec/game, 6.3 min. total, 497.3 MB
agreeable_scroll v7 308 games, 239065 moves, e=0.763, loss: 9.7, -, 34.8% elo% vs. simple_bot, avg. reward: -10.995, 1.529 sec/game, 6.4 min. total, 496.0 MB
agreeable_scroll v7 309 games, 239970 moves, e=0.762, loss: 9.3, -, 33.3% elo% vs. simple_bot, avg. reward: -10.965, 1.524 sec/game, 6.4 min. total, 496.5 MB
agreeable_scroll v7 310 games, 240854 moves, e=0.762, loss: 9.0, -, 32.0% elo% vs. simple_bot, avg. reward: -10.962, 1.527 sec/game, 6.4 min. total, 495.6 MB
agreeable_scroll v7 311 games, 241670 moves, e=0.761, loss: 9.1, -, 30.7% elo% vs. simple_bot, avg. reward: -10.963, 1.512 sec/game, 6.4 min. total, 494.8 MB
agreeable_scroll v7 312 games, 242556 moves, e=0.760, loss: 9.1, -, 29.5% elo% vs. simple_bot, avg. reward: -10.942, 1.510 sec/game, 6.5 min. total, 494.9 MB
agreeable_scroll v7 313 games, 243328 moves, e=0.759, loss: 9.3, -, 28.4% elo% vs. simple_bot, avg. reward: -10.948, 1.500 sec/game, 6.5 min. total, 496.2 MB
agreeable_scroll v7 314 games, 244152 moves, e=0.758, loss: 9.1, -, 27.3% elo% vs. simple_bot, avg. reward: -10.949, 1.484 sec/game, 6.5 min. total, 496.0 MB
agreeable_scroll v7 315 games, 244985 moves, e=0.757, loss: 9.5, -, 26.4% elo% vs. simple_bot, avg. reward: -10.940, 1.481 sec/game, 6.5 min. total, 496.8 MB
agreeable_scroll v7 316 games, 245869 moves, e=0.757, loss: 8.6, -, 25.4% elo% vs. simple_bot, avg. reward: -10.920, 1.507 sec/game, 6.6 min. total, 495.4 MB
agreeable_scroll v7 317 games, 246622 moves, e=0.756, loss: 8.6, -, 24.5% elo% vs. simple_bot, avg. reward: -10.908, 1.495 sec/game, 6.6 min. total, 497.6 MB
agreeable_scroll v7 318 games, 247437 moves, e=0.755, loss: 8.6, -, 23.7% elo% vs. simple_bot, avg. reward: -10.917, 1.513 sec/game, 6.6 min. total, 497.4 MB
agreeable_scroll v7 319 games, 248453 moves, e=0.754, loss: 8.8, -, 22.9% elo% vs. simple_bot, avg. reward: -10.902, 1.542 sec/game, 6.7 min. total, 495.3 MB
agreeable_scroll v7 320 games, 249321 moves, e=0.753, loss: 9.4, -, 22.2% elo% vs. simple_bot, avg. reward: -10.901, 1.540 sec/game, 6.7 min. total, 497.9 MB
agreeable_scroll v7 321 games, 250193 moves, e=0.752, loss: 9.1, -, 21.5% elo% vs. simple_bot, avg. reward: -10.913, 1.558 sec/game, 6.7 min. total, 495.8 MB
agreeable_scroll v7 322 games, 251192 moves, e=0.751, loss: 9.0, -, 20.8% elo% vs. simple_bot, avg. reward: -10.894, 1.578 sec/game, 6.7 min. total, 496.9 MB
agreeable_scroll v7 323 games, 252178 moves, e=0.750, loss: 8.3, -, 20.2% elo% vs. simple_bot, avg. reward: -10.873, 1.594 sec/game, 6.8 min. total, 497.6 MB
agreeable_scroll v7 324 games, 252925 moves, e=0.750, loss: 8.5, -, 19.6% elo% vs. simple_bot, avg. reward: -10.890, 1.589 sec/game, 6.8 min. total, 498.1 MB
agreeable_scroll v7 325 games, 253814 moves, e=0.749, loss: 8.8, -, 19.1% elo% vs. simple_bot, avg. reward: -10.854, 1.595 sec/game, 6.8 min. total, 497.3 MB
agreeable_scroll v7 326 games, 254652 moves, e=0.748, loss: 8.1, -, 18.5% elo% vs. simple_bot, avg. reward: -10.851, 1.604 sec/game, 6.8 min. total, 497.7 MB
agreeable_scroll v7 327 games, 255499 moves, e=0.747, loss: 8.1, -, 18.0% elo% vs. simple_bot, avg. reward: -10.838, 1.587 sec/game, 6.9 min. total, 497.7 MB
agreeable_scroll v7 328 games, 256353 moves, e=0.746, loss: 8.9, -, 17.5% elo% vs. simple_bot, avg. reward: -10.840, 1.583 sec/game, 6.9 min. total, 498.3 MB
agreeable_scroll v7 329 games, 257227 moves, e=0.745, loss: 8.6, -, 17.1% elo% vs. simple_bot, avg. reward: -10.812, 1.588 sec/game, 6.9 min. total, 499.1 MB
agreeable_scroll v7 330 games, 258016 moves, e=0.745, loss: 8.0, -, 16.6% elo% vs. simple_bot, avg. reward: -10.838, 1.585 sec/game, 6.9 min. total, 498.6 MB
agreeable_scroll v7 331 games, 259008 moves, e=0.744, loss: 7.9, -, 16.2% elo% vs. simple_bot, avg. reward: -10.821, 1.612 sec/game, 7.0 min. total, 498.0 MB
agreeable_scroll v7 332 games, 259926 moves, e=0.743, loss: 8.4, -, 15.8% elo% vs. simple_bot, avg. reward: -10.829, 1.611 sec/game, 7.0 min. total, 500.5 MB
agreeable_scroll v7 333 games, 260929 moves, e=0.742, loss: 8.4, -, 15.4% elo% vs. simple_bot, avg. reward: -10.810, 1.631 sec/game, 7.0 min. total, 499.8 MB
agreeable_scroll v7 334 games, 261805 moves, e=0.741, loss: 9.3, -, 15.1% elo% vs. simple_bot, avg. reward: -10.795, 1.639 sec/game, 7.1 min. total, 501.0 MB
agreeable_scroll v7 335 games, 262732 moves, e=0.740, loss: 9.2, -, 14.7% elo% vs. simple_bot, avg. reward: -10.781, 1.644 sec/game, 7.1 min. total, 500.6 MB
agreeable_scroll v7 336 games, 263512 moves, e=0.739, loss: 8.6, -, 14.4% elo% vs. simple_bot, avg. reward: -10.787, 1.625 sec/game, 7.1 min. total, 499.3 MB
agreeable_scroll v7 337 games, 264471 moves, e=0.738, loss: 8.5, -, 14.0% elo% vs. simple_bot, avg. reward: -10.773, 1.648 sec/game, 7.1 min. total, 500.0 MB
agreeable_scroll v7 338 games, 265328 moves, e=0.737, loss: 8.2, -, 13.7% elo% vs. simple_bot, avg. reward: -10.752, 1.632 sec/game, 7.2 min. total, 501.7 MB
agreeable_scroll v7 339 games, 266264 moves, e=0.736, loss: 9.5, -, 13.4% elo% vs. simple_bot, avg. reward: -10.738, 1.629 sec/game, 7.2 min. total, 501.2 MB
agreeable_scroll v7 340 games, 267186 moves, e=0.735, loss: 8.6, -, 13.1% elo% vs. simple_bot, avg. reward: -10.727, 1.642 sec/game, 7.2 min. total, 503.5 MB
agreeable_scroll v7 341 games, 267926 moves, e=0.735, loss: 8.9, -, 12.9% elo% vs. simple_bot, avg. reward: -10.742, 1.618 sec/game, 7.2 min. total, 500.7 MB
agreeable_scroll v7 342 games, 268773 moves, e=0.734, loss: 8.7, -, 12.6% elo% vs. simple_bot, avg. reward: -10.747, 1.601 sec/game, 7.3 min. total, 501.7 MB
agreeable_scroll v7 343 games, 269667 moves, e=0.733, loss: 8.6, -, 12.4% elo% vs. simple_bot, avg. reward: -10.748, 1.586 sec/game, 7.3 min. total, 502.1 MB
agreeable_scroll v7 344 games, 270457 moves, e=0.732, loss: 9.3, -, 12.1% elo% vs. simple_bot, avg. reward: -10.738, 1.598 sec/game, 7.3 min. total, 502.3 MB
agreeable_scroll v7 345 games, 271297 moves, e=0.731, loss: 9.6, -, 11.9% elo% vs. simple_bot, avg. reward: -10.734, 1.599 sec/game, 7.3 min. total, 502.9 MB
agreeable_scroll v7 346 games, 272299 moves, e=0.730, loss: 9.0, -, 11.7% elo% vs. simple_bot, avg. reward: -10.710, 1.584 sec/game, 7.4 min. total, 505.0 MB
agreeable_scroll v7 347 games, 273192 moves, e=0.730, loss: 9.7, -, 11.4% elo% vs. simple_bot, avg. reward: -10.696, 1.577 sec/game, 7.4 min. total, 503.5 MB
agreeable_scroll v7 348 games, 274024 moves, e=0.729, loss: 9.7, -, 11.2% elo% vs. simple_bot, avg. reward: -10.700, 1.578 sec/game, 7.4 min. total, 503.5 MB
agreeable_scroll v7 349 games, 274995 moves, e=0.728, loss: 9.7, -, 11.0% elo% vs. simple_bot, avg. reward: -10.685, 1.593 sec/game, 7.5 min. total, 503.2 MB
agreeable_scroll v7 350 games, 275873 moves, e=0.727, loss: 9.8, -, 10.8% elo% vs. simple_bot, avg. reward: -10.680, 1.601 sec/game, 7.5 min. total, 504.5 MB
agreeable_scroll v7 351 games, 276740 moves, e=0.726, loss: 9.8, -, 10.6% elo% vs. simple_bot, avg. reward: -10.660, 1.575 sec/game, 7.5 min. total, 503.6 MB
agreeable_scroll v7 352 games, 277644 moves, e=0.725, loss: 9.9, -, 10.4% elo% vs. simple_bot, avg. reward: -10.646, 1.572 sec/game, 7.5 min. total, 504.2 MB
agreeable_scroll v7 353 games, 278407 moves, e=0.724, loss: 9.6, -, 10.3% elo% vs. simple_bot, avg. reward: -10.635, 1.548 sec/game, 7.6 min. total, 505.7 MB
agreeable_scroll v7 354 games, 279528 moves, e=0.723, loss: 10.2, -, 10.1% elo% vs. simple_bot, avg. reward: -10.581, 1.562 sec/game, 7.6 min. total, 506.0 MB
agreeable_scroll v7 355 games, 280552 moves, e=0.722, loss: 10.2, -, 9.9% elo% vs. simple_bot, avg. reward: -10.573, 1.583 sec/game, 7.6 min. total, 505.6 MB
agreeable_scroll v7 356 games, 281590 moves, e=0.721, loss: 9.3, -, 9.8% elo% vs. simple_bot, avg. reward: -10.550, 1.602 sec/game, 7.6 min. total, 504.5 MB
agreeable_scroll v7 357 games, 282314 moves, e=0.721, loss: 10.0, -, 9.6% elo% vs. simple_bot, avg. reward: -10.563, 1.579 sec/game, 7.7 min. total, 504.8 MB
agreeable_scroll v7 358 games, 283183 moves, e=0.720, loss: 10.0, -, 9.5% elo% vs. simple_bot, avg. reward: -10.557, 1.585 sec/game, 7.7 min. total, 504.9 MB
agreeable_scroll v7 359 games, 284074 moves, e=0.719, loss: 9.5, -, 9.3% elo% vs. simple_bot, avg. reward: -10.537, 1.569 sec/game, 7.7 min. total, 506.4 MB
agreeable_scroll v7 360 games, 284873 moves, e=0.718, loss: 9.6, -, 9.2% elo% vs. simple_bot, avg. reward: -10.538, 1.559 sec/game, 7.7 min. total, 505.5 MB
agreeable_scroll v7 361 games, 285837 moves, e=0.717, loss: 9.7, -, 9.0% elo% vs. simple_bot, avg. reward: -10.530, 1.582 sec/game, 7.8 min. total, 507.3 MB
agreeable_scroll v7 362 games, 286679 moves, e=0.716, loss: 9.7, -, 8.9% elo% vs. simple_bot, avg. reward: -10.538, 1.589 sec/game, 7.8 min. total, 506.9 MB
agreeable_scroll v7 363 games, 287599 moves, e=0.715, loss: 8.7, -, 8.8% elo% vs. simple_bot, avg. reward: -10.541, 1.592 sec/game, 7.8 min. total, 508.5 MB
agreeable_scroll v7 364 games, 288435 moves, e=0.714, loss: 9.0, -, 8.6% elo% vs. simple_bot, avg. reward: -10.542, 1.608 sec/game, 7.9 min. total, 506.3 MB
agreeable_scroll v7 365 games, 289325 moves, e=0.714, loss: 9.3, -, 8.5% elo% vs. simple_bot, avg. reward: -10.524, 1.614 sec/game, 7.9 min. total, 508.6 MB
agreeable_scroll v7 366 games, 290170 moves, e=0.713, loss: 9.7, -, 8.4% elo% vs. simple_bot, avg. reward: -10.514, 1.600 sec/game, 7.9 min. total, 506.5 MB
agreeable_scroll v7 367 games, 291235 moves, e=0.712, loss: 10.0, -, 8.3% elo% vs. simple_bot, avg. reward: -10.482, 1.624 sec/game, 7.9 min. total, 507.6 MB
agreeable_scroll v7 368 games, 292149 moves, e=0.711, loss: 10.6, -, 8.1% elo% vs. simple_bot, avg. reward: -10.470, 1.631 sec/game, 8.0 min. total, 508.7 MB
agreeable_scroll v7 369 games, 293039 moves, e=0.710, loss: 10.8, -, 8.0% elo% vs. simple_bot, avg. reward: -10.459, 1.618 sec/game, 8.0 min. total, 508.7 MB
agreeable_scroll v7 370 games, 293999 moves, e=0.709, loss: 10.5, -, 7.9% elo% vs. simple_bot, avg. reward: -10.444, 1.621 sec/game, 8.0 min. total, 508.7 MB
agreeable_scroll v7 371 games, 294925 moves, e=0.708, loss: 10.7, -, 7.8% elo% vs. simple_bot, avg. reward: -10.413, 1.644 sec/game, 8.1 min. total, 508.6 MB
agreeable_scroll v7 372 games, 295771 moves, e=0.707, loss: 9.9, -, 7.7% elo% vs. simple_bot, avg. reward: -10.410, 1.642 sec/game, 8.1 min. total, 510.4 MB
agreeable_scroll v7 373 games, 296570 moves, e=0.706, loss: 9.5, -, 7.6% elo% vs. simple_bot, avg. reward: -10.398, 1.644 sec/game, 8.1 min. total, 508.7 MB
agreeable_scroll v7 374 games, 297304 moves, e=0.706, loss: 10.1, -, 7.5% elo% vs. simple_bot, avg. reward: -10.410, 1.626 sec/game, 8.1 min. total, 509.5 MB
agreeable_scroll v7 375 games, 298151 moves, e=0.705, loss: 9.8, -, 7.4% elo% vs. simple_bot, avg. reward: -10.410, 1.603 sec/game, 8.1 min. total, 510.7 MB
agreeable_scroll v7 376 games, 299184 moves, e=0.704, loss: 9.8, -, 7.3% elo% vs. simple_bot, avg. reward: -10.396, 1.608 sec/game, 8.2 min. total, 509.4 MB
agreeable_scroll v7 377 games, 300199 moves, e=0.703, loss: 10.3, -, 7.2% elo% vs. simple_bot, avg. reward: -10.375, 1.633 sec/game, 8.2 min. total, 510.3 MB
agreeable_scroll v7 378 games, 301049 moves, e=0.702, loss: 10.4, -, 7.2% elo% vs. simple_bot, avg. reward: -10.375, 1.637 sec/game, 8.2 min. total, 511.0 MB
agreeable_scroll v7 379 games, 302183 moves, e=0.701, loss: 9.9, -, 7.1% elo% vs. simple_bot, avg. reward: -10.320, 1.659 sec/game, 8.3 min. total, 509.9 MB
agreeable_scroll v7 380 games, 303252 moves, e=0.700, loss: 10.5, -, 7.0% elo% vs. simple_bot, avg. reward: -10.293, 1.683 sec/game, 8.3 min. total, 512.0 MB
agreeable_scroll v7 381 games, 304138 moves, e=0.699, loss: 9.9, -, 6.9% elo% vs. simple_bot, avg. reward: -10.290, 1.670 sec/game, 8.3 min. total, 510.4 MB
agreeable_scroll v7 382 games, 305023 moves, e=0.698, loss: 9.2, -, 6.8% elo% vs. simple_bot, avg. reward: -10.290, 1.662 sec/game, 8.4 min. total, 512.2 MB
agreeable_scroll v7 383 games, 305849 moves, e=0.697, loss: 9.2, -, 6.7% elo% vs. simple_bot, avg. reward: -10.306, 1.655 sec/game, 8.4 min. total, 510.9 MB
agreeable_scroll v7 384 games, 306675 moves, e=0.696, loss: 8.9, -, 6.7% elo% vs. simple_bot, avg. reward: -10.298, 1.635 sec/game, 8.4 min. total, 511.0 MB
agreeable_scroll v7 385 games, 307589 moves, e=0.695, loss: 9.9, -, 6.6% elo% vs. simple_bot, avg. reward: -10.288, 1.638 sec/game, 8.4 min. total, 512.0 MB
agreeable_scroll v7 386 games, 308498 moves, e=0.695, loss: 9.9, -, 6.5% elo% vs. simple_bot, avg. reward: -10.273, 1.644 sec/game, 8.5 min. total, 511.5 MB
agreeable_scroll v7 387 games, 309390 moves, e=0.694, loss: 9.9, -, 6.4% elo% vs. simple_bot, avg. reward: -10.260, 1.619 sec/game, 8.5 min. total, 513.8 MB
agreeable_scroll v7 388 games, 310238 moves, e=0.693, loss: 9.5, -, 6.4% elo% vs. simple_bot, avg. reward: -10.251, 1.611 sec/game, 8.5 min. total, 513.6 MB
agreeable_scroll v7 389 games, 311225 moves, e=0.692, loss: 9.5, -, 6.3% elo% vs. simple_bot, avg. reward: -10.229, 1.609 sec/game, 8.5 min. total, 512.6 MB
agreeable_scroll v7 390 games, 312207 moves, e=0.691, loss: 9.6, -, 6.2% elo% vs. simple_bot, avg. reward: -10.208, 1.613 sec/game, 8.6 min. total, 512.3 MB
agreeable_scroll v7 391 games, 313052 moves, e=0.690, loss: 10.1, -, 6.2% elo% vs. simple_bot, avg. reward: -10.218, 1.588 sec/game, 8.6 min. total, 512.3 MB
agreeable_scroll v7 392 games, 314114 moves, e=0.689, loss: 11.0, -, 6.1% elo% vs. simple_bot, avg. reward: -10.195, 1.610 sec/game, 8.6 min. total, 513.2 MB
agreeable_scroll v7 393 games, 315070 moves, e=0.688, loss: 10.6, -, 6.0% elo% vs. simple_bot, avg. reward: -10.184, 1.623 sec/game, 8.6 min. total, 513.3 MB
agreeable_scroll v7 394 games, 315990 moves, e=0.687, loss: 10.6, -, 6.0% elo% vs. simple_bot, avg. reward: -10.182, 1.630 sec/game, 8.7 min. total, 514.4 MB
agreeable_scroll v7 395 games, 316874 moves, e=0.686, loss: 10.6, -, 5.9% elo% vs. simple_bot, avg. reward: -10.182, 1.635 sec/game, 8.7 min. total, 516.8 MB
agreeable_scroll v7 396 games, 317958 moves, e=0.685, loss: 10.8, -, 5.8% elo% vs. simple_bot, avg. reward: -10.127, 1.638 sec/game, 8.7 min. total, 517.0 MB
agreeable_scroll v7 397 games, 318847 moves, e=0.684, loss: 10.7, -, 5.8% elo% vs. simple_bot, avg. reward: -10.134, 1.614 sec/game, 8.7 min. total, 516.4 MB
agreeable_scroll v7 398 games, 319671 moves, e=0.684, loss: 10.8, -, 5.7% elo% vs. simple_bot, avg. reward: -10.145, 1.612 sec/game, 8.8 min. total, 515.2 MB
agreeable_scroll v7 399 games, 320652 moves, e=0.683, loss: 10.8, -, 5.7% elo% vs. simple_bot, avg. reward: -10.124, 1.597 sec/game, 8.8 min. total, 517.6 MB
agreeable_scroll v7 400 games, 321593 moves, e=0.682, loss: 11.1, -, 5.6% elo% vs. simple_bot, avg. reward: -10.123, 1.581 sec/game, 8.8 min. total, 516.0 MB
agreeable_scroll v8 401 games, 322554 moves, e=0.681, loss: 11.5, -, 47.7% elo% vs. simple_bot, avg. reward: -10.105, 1.588 sec/game, 8.9 min. total, 517.2 MB
agreeable_scroll v8 402 games, 323484 moves, e=0.680, loss: 11.0, -, 45.5% elo% vs. simple_bot, avg. reward: -10.087, 1.619 sec/game, 8.9 min. total, 518.1 MB
agreeable_scroll v8 403 games, 324430 moves, e=0.679, loss: 11.0, -, 43.4% elo% vs. simple_bot, avg. reward: -10.085, 1.622 sec/game, 8.9 min. total, 517.7 MB
agreeable_scroll v8 404 games, 325335 moves, e=0.678, loss: 10.5, -, 41.5% elo% vs. simple_bot, avg. reward: -10.070, 1.632 sec/game, 8.9 min. total, 516.4 MB
agreeable_scroll v8 405 games, 326375 moves, e=0.677, loss: 9.6, -, 39.6% elo% vs. simple_bot, avg. reward: -10.027, 1.640 sec/game, 9.0 min. total, 519.1 MB
agreeable_scroll v8 406 games, 327194 moves, e=0.676, loss: 10.2, -, 37.9% elo% vs. simple_bot, avg. reward: -10.041, 1.641 sec/game, 9.0 min. total, 517.3 MB
agreeable_scroll v8 407 games, 328136 moves, e=0.675, loss: 10.5, -, 36.3% elo% vs. simple_bot, avg. reward: -10.014, 1.643 sec/game, 9.0 min. total, 518.3 MB
agreeable_scroll v8 408 games, 329060 moves, e=0.674, loss: 10.6, -, 34.8% elo% vs. simple_bot, avg. reward: -10.017, 1.651 sec/game, 9.1 min. total, 517.2 MB
agreeable_scroll v8 409 games, 329986 moves, e=0.673, loss: 10.8, -, 33.3% elo% vs. simple_bot, avg. reward: -10.008, 1.656 sec/game, 9.1 min. total, 518.3 MB
agreeable_scroll v8 410 games, 330869 moves, e=0.672, loss: 10.4, -, 32.0% elo% vs. simple_bot, avg. reward: -10.001, 1.649 sec/game, 9.1 min. total, 518.0 MB
agreeable_scroll v8 411 games, 331876 moves, e=0.671, loss: 9.7, -, 30.7% elo% vs. simple_bot, avg. reward: -9.970, 1.668 sec/game, 9.1 min. total, 517.7 MB
agreeable_scroll v8 412 games, 332800 moves, e=0.671, loss: 10.3, -, 29.5% elo% vs. simple_bot, avg. reward: -9.963, 1.664 sec/game, 9.2 min. total, 518.1 MB
agreeable_scroll v8 413 games, 333662 moves, e=0.670, loss: 10.1, -, 28.4% elo% vs. simple_bot, avg. reward: -9.954, 1.653 sec/game, 9.2 min. total, 518.9 MB
agreeable_scroll v8 414 games, 334603 moves, e=0.669, loss: 10.2, -, 27.3% elo% vs. simple_bot, avg. reward: -9.941, 1.665 sec/game, 9.2 min. total, 519.0 MB
agreeable_scroll v8 415 games, 335538 moves, e=0.668, loss: 10.9, -, 26.4% elo% vs. simple_bot, avg. reward: -9.930, 1.667 sec/game, 9.2 min. total, 519.6 MB
agreeable_scroll v8 416 games, 336346 moves, e=0.667, loss: 10.4, -, 25.4% elo% vs. simple_bot, avg. reward: -9.940, 1.639 sec/game, 9.3 min. total, 518.9 MB
agreeable_scroll v8 417 games, 337376 moves, e=0.666, loss: 11.0, -, 24.5% elo% vs. simple_bot, avg. reward: -9.908, 1.658 sec/game, 9.3 min. total, 519.1 MB
agreeable_scroll v8 418 games, 338341 moves, e=0.665, loss: 11.2, -, 23.7% elo% vs. simple_bot, avg. reward: -9.894, 1.664 sec/game, 9.3 min. total, 519.2 MB
agreeable_scroll v8 419 games, 339394 moves, e=0.664, loss: 11.5, -, 22.9% elo% vs. simple_bot, avg. reward: -9.889, 1.670 sec/game, 9.4 min. total, 521.7 MB
agreeable_scroll v8 420 games, 340353 moves, e=0.663, loss: 11.5, -, 22.2% elo% vs. simple_bot, avg. reward: -9.879, 1.673 sec/game, 9.4 min. total, 521.9 MB
agreeable_scroll v8 421 games, 341226 moves, e=0.662, loss: 10.6, -, 21.5% elo% vs. simple_bot, avg. reward: -9.874, 1.694 sec/game, 9.4 min. total, 522.0 MB
agreeable_scroll v8 422 games, 342329 moves, e=0.661, loss: 10.5, -, 20.8% elo% vs. simple_bot, avg. reward: -9.863, 1.722 sec/game, 9.5 min. total, 520.6 MB
agreeable_scroll v8 423 games, 343304 moves, e=0.660, loss: 10.7, -, 20.2% elo% vs. simple_bot, avg. reward: -9.865, 1.759 sec/game, 9.5 min. total, 520.2 MB
agreeable_scroll v8 424 games, 344219 moves, e=0.659, loss: 10.1, -, 19.6% elo% vs. simple_bot, avg. reward: -9.838, 1.782 sec/game, 9.5 min. total, 521.5 MB
agreeable_scroll v8 425 games, 345121 moves, e=0.658, loss: 10.0, -, 19.1% elo% vs. simple_bot, avg. reward: -9.834, 1.780 sec/game, 9.6 min. total, 521.2 MB
agreeable_scroll v8 426 games, 346136 moves, e=0.657, loss: 10.1, -, 18.5% elo% vs. simple_bot, avg. reward: -9.806, 1.824 sec/game, 9.6 min. total, 477.0 MB
agreeable_scroll v8 427 games, 347044 moves, e=0.656, loss: 9.8, -, 18.0% elo% vs. simple_bot, avg. reward: -9.795, 1.826 sec/game, 9.6 min. total, 465.5 MB
agreeable_scroll v8 428 games, 348126 moves, e=0.655, loss: 9.6, -, 17.5% elo% vs. simple_bot, avg. reward: -9.765, 1.837 sec/game, 9.7 min. total, 467.3 MB
