anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v3 35 games, 24654 moves, e=0.976, loss: 23.6, -, 43.4% elo% vs. random_no_suicide, avg. reward: -5.449, 1.314 sec/game, 0.5 min. total, 461.8 MB
anyplace_passage v3 36 games, 25431 moves, e=0.975, loss: 25.1, -, 41.4% elo% vs. random_no_suicide, avg. reward: -5.414, 1.324 sec/game, 0.5 min. total, 462.0 MB
anyplace_passage v3 37 games, 26113 moves, e=0.974, loss: 24.3, +, 44.0% elo% vs. random_no_suicide, avg. reward: -5.429, 1.321 sec/game, 0.5 min. total, 457.9 MB
anyplace_passage v3 38 games, 26886 moves, e=0.973, loss: 25.0, -, 42.1% elo% vs. random_no_suicide, avg. reward: -5.408, 1.322 sec/game, 0.6 min. total, 464.3 MB
anyplace_passage v3 39 games, 27536 moves, e=0.973, loss: 25.0, -, 40.2% elo% vs. random_no_suicide, avg. reward: -5.433, 1.313 sec/game, 0.6 min. total, 465.3 MB
anyplace_passage v3 40 games, 28232 moves, e=0.972, loss: 24.6, -, 38.4% elo% vs. random_no_suicide, avg. reward: -5.432, 1.316 sec/game, 0.6 min. total, 465.2 MB
anyplace_passage v3 41 games, 28920 moves, e=0.971, loss: 25.3, +, 41.1% elo% vs. random_no_suicide, avg. reward: -5.445, 1.308 sec/game, 0.6 min. total, 460.7 MB
anyplace_passage v3 42 games, 29654 moves, e=0.971, loss: 27.3, -, 39.3% elo% vs. random_no_suicide, avg. reward: -5.431, 1.308 sec/game, 0.7 min. total, 465.3 MB
anyplace_passage v3 43 games, 30422 moves, e=0.970, loss: 26.2, -, 37.6% elo% vs. random_no_suicide, avg. reward: -5.411, 1.307 sec/game, 0.7 min. total, 465.4 MB
anyplace_passage v3 44 games, 31105 moves, e=0.969, loss: 26.9, -, 36.0% elo% vs. random_no_suicide, avg. reward: -5.415, 1.317 sec/game, 0.7 min. total, 465.3 MB
anyplace_passage v3 45 games, 31822 moves, e=0.968, loss: 27.6, -, 34.5% elo% vs. random_no_suicide, avg. reward: -5.410, 1.310 sec/game, 0.7 min. total, 465.6 MB
anyplace_passage v3 46 games, 32514 moves, e=0.968, loss: 29.2, -, 33.1% elo% vs. random_no_suicide, avg. reward: -5.408, 1.321 sec/game, 0.7 min. total, 465.7 MB
anyplace_passage v3 47 games, 33217 moves, e=0.967, loss: 28.2, ., 33.7% elo% vs. random_no_suicide, avg. reward: -5.411, 1.309 sec/game, 0.8 min. total, 461.1 MB
anyplace_passage v3 48 games, 33976 moves, e=0.966, loss: 30.3, -, 32.4% elo% vs. random_no_suicide, avg. reward: -5.395, 1.329 sec/game, 0.8 min. total, 465.9 MB
anyplace_passage v3 49 games, 34668 moves, e=0.966, loss: 30.5, -, 31.1% elo% vs. random_no_suicide, avg. reward: -5.402, 1.329 sec/game, 0.8 min. total, 464.0 MB
anyplace_passage v3 50 games, 35310 moves, e=0.965, loss: 29.5, +, 33.9% elo% vs. random_no_suicide, avg. reward: -5.432, 1.319 sec/game, 0.8 min. total, 466.4 MB
anyplace_passage v3 51 games, 36085 moves, e=0.964, loss: 31.0, -, 32.5% elo% vs. random_no_suicide, avg. reward: -5.414, 1.336 sec/game, 0.9 min. total, 469.7 MB
anyplace_passage v3 52 games, 36806 moves, e=0.964, loss: 32.0, -, 31.2% elo% vs. random_no_suicide, avg. reward: -5.410, 1.336 sec/game, 0.9 min. total, 469.9 MB
anyplace_passage v3 53 games, 37479 moves, e=0.963, loss: 32.8, +, 34.0% elo% vs. random_no_suicide, avg. reward: -5.421, 1.332 sec/game, 0.9 min. total, 465.4 MB
anyplace_passage v3 54 games, 38246 moves, e=0.962, loss: 33.8, -, 32.6% elo% vs. random_no_suicide, avg. reward: -5.402, 1.346 sec/game, 0.9 min. total, 469.7 MB
anyplace_passage v3 55 games, 38929 moves, e=0.961, loss: 33.0, +, 35.4% elo% vs. random_no_suicide, avg. reward: -5.407, 1.350 sec/game, 0.9 min. total, 465.9 MB
anyplace_passage v3 56 games, 39650 moves, e=0.961, loss: 32.7, -, 33.9% elo% vs. random_no_suicide, avg. reward: -5.399, 1.349 sec/game, 1.0 min. total, 471.3 MB
anyplace_passage v3 57 games, 40430 moves, e=0.960, loss: 34.1, +, 36.7% elo% vs. random_no_suicide, avg. reward: -5.378, 1.357 sec/game, 1.0 min. total, 469.1 MB
anyplace_passage v3 58 games, 41197 moves, e=0.959, loss: 37.9, -, 35.1% elo% vs. random_no_suicide, avg. reward: -5.356, 1.363 sec/game, 1.0 min. total, 472.6 MB
anyplace_passage v3 59 games, 41942 moves, e=0.958, loss: 38.5, -, 33.7% elo% vs. random_no_suicide, avg. reward: -5.348, 1.378 sec/game, 1.0 min. total, 471.5 MB
anyplace_passage v3 60 games, 42604 moves, e=0.958, loss: 37.4, -, 32.3% elo% vs. random_no_suicide, avg. reward: -5.364, 1.382 sec/game, 1.1 min. total, 473.6 MB
anyplace_passage v3 61 games, 43403 moves, e=0.957, loss: 38.1, -, 31.0% elo% vs. random_no_suicide, avg. reward: -5.342, 1.408 sec/game, 1.1 min. total, 473.8 MB
anyplace_passage v3 62 games, 44213 moves, e=0.956, loss: 37.4, -, 29.8% elo% vs. random_no_suicide, avg. reward: -5.321, 1.415 sec/game, 1.1 min. total, 473.9 MB
anyplace_passage v3 63 games, 44886 moves, e=0.956, loss: 35.9, -, 28.7% elo% vs. random_no_suicide, avg. reward: -5.330, 1.408 sec/game, 1.1 min. total, 474.4 MB
anyplace_passage v3 64 games, 45696 moves, e=0.955, loss: 37.4, -, 27.6% elo% vs. random_no_suicide, avg. reward: -5.303, 1.424 sec/game, 1.2 min. total, 474.0 MB
anyplace_passage v3 65 games, 46426 moves, e=0.954, loss: 37.6, -, 26.6% elo% vs. random_no_suicide, avg. reward: -5.298, 1.427 sec/game, 1.2 min. total, 474.3 MB
