anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v4 146 games, 106922 moves, e=0.894, loss: 60.5, -, 26.0% elo% vs. random_no_suicide, avg. reward: -4.871, 1.515 sec/game, 3.2 min. total, 502.1 MB
anyplace_passage v4 147 games, 107561 moves, e=0.894, loss: 59.6, +, 28.7% elo% vs. random_no_suicide, avg. reward: -4.879, 1.502 sec/game, 3.2 min. total, 497.7 MB
anyplace_passage v4 148 games, 108403 moves, e=0.893, loss: 60.2, -, 27.7% elo% vs. random_no_suicide, avg. reward: -4.869, 1.519 sec/game, 3.2 min. total, 502.3 MB
anyplace_passage v4 149 games, 109131 moves, e=0.892, loss: 66.1, +, 30.4% elo% vs. random_no_suicide, avg. reward: -4.861, 1.518 sec/game, 3.3 min. total, 497.8 MB
anyplace_passage v4 150 games, 110008 moves, e=0.891, loss: 68.2, ., 31.2% elo% vs. random_no_suicide, avg. reward: -4.820, 1.522 sec/game, 3.3 min. total, 498.1 MB
anyplace_passage v4 151 games, 110770 moves, e=0.890, loss: 67.8, -, 30.0% elo% vs. random_no_suicide, avg. reward: -4.818, 1.540 sec/game, 3.3 min. total, 498.0 MB
anyplace_passage v4 152 games, 111539 moves, e=0.890, loss: 67.7, +, 32.7% elo% vs. random_no_suicide, avg. reward: -4.811, 1.532 sec/game, 3.4 min. total, 498.9 MB
anyplace_passage v4 153 games, 112347 moves, e=0.889, loss: 68.3, +, 35.5% elo% vs. random_no_suicide, avg. reward: -4.793, 1.536 sec/game, 3.4 min. total, 499.6 MB
anyplace_passage v4 154 games, 113071 moves, e=0.888, loss: 68.4, +, 38.3% elo% vs. random_no_suicide, avg. reward: -4.802, 1.551 sec/game, 3.4 min. total, 499.6 MB
anyplace_passage v4 155 games, 113908 moves, e=0.887, loss: 67.0, +, 41.0% elo% vs. random_no_suicide, avg. reward: -4.781, 1.566 sec/game, 3.4 min. total, 499.7 MB
anyplace_passage v4 156 games, 114676 moves, e=0.886, loss: 67.0, -, 39.2% elo% vs. random_no_suicide, avg. reward: -4.774, 1.552 sec/game, 3.5 min. total, 499.5 MB
anyplace_passage v4 157 games, 115536 moves, e=0.886, loss: 69.1, ., 39.7% elo% vs. random_no_suicide, avg. reward: -4.766, 1.566 sec/game, 3.5 min. total, 499.6 MB
anyplace_passage v4 158 games, 116362 moves, e=0.885, loss: 67.7, +, 42.4% elo% vs. random_no_suicide, avg. reward: -4.764, 1.591 sec/game, 3.5 min. total, 499.7 MB
anyplace_passage v4 159 games, 117154 moves, e=0.884, loss: 68.4, -, 40.5% elo% vs. random_no_suicide, avg. reward: -4.753, 1.601 sec/game, 3.6 min. total, 499.7 MB
anyplace_passage v4 160 games, 118009 moves, e=0.883, loss: 67.7, +, 43.1% elo% vs. random_no_suicide, avg. reward: -4.726, 1.607 sec/game, 3.6 min. total, 500.2 MB
anyplace_passage v4 161 games, 118736 moves, e=0.882, loss: 65.3, -, 41.2% elo% vs. random_no_suicide, avg. reward: -4.740, 1.618 sec/game, 3.6 min. total, 505.7 MB
anyplace_passage v4 162 games, 119554 moves, e=0.882, loss: 63.6, -, 39.4% elo% vs. random_no_suicide, avg. reward: -4.738, 1.636 sec/game, 3.6 min. total, 501.8 MB
anyplace_passage v4 163 games, 120278 moves, e=0.881, loss: 62.2, +, 42.1% elo% vs. random_no_suicide, avg. reward: -4.732, 1.623 sec/game, 3.7 min. total, 501.5 MB
anyplace_passage v4 164 games, 121062 moves, e=0.880, loss: 64.4, -, 40.2% elo% vs. random_no_suicide, avg. reward: -4.735, 1.630 sec/game, 3.7 min. total, 506.5 MB
anyplace_passage v4 165 games, 121951 moves, e=0.879, loss: 61.2, -, 38.4% elo% vs. random_no_suicide, avg. reward: -4.717, 1.648 sec/game, 3.7 min. total, 506.3 MB
anyplace_passage v4 166 games, 122745 moves, e=0.878, loss: 61.3, +, 41.1% elo% vs. random_no_suicide, avg. reward: -4.718, 1.654 sec/game, 3.8 min. total, 501.9 MB
anyplace_passage v4 167 games, 123438 moves, e=0.878, loss: 59.3, -, 39.3% elo% vs. random_no_suicide, avg. reward: -4.715, 1.666 sec/game, 3.8 min. total, 506.2 MB
anyplace_passage v4 168 games, 124171 moves, e=0.877, loss: 60.1, -, 37.6% elo% vs. random_no_suicide, avg. reward: -4.713, 1.662 sec/game, 3.8 min. total, 506.4 MB
anyplace_passage v4 169 games, 124936 moves, e=0.876, loss: 60.2, -, 36.0% elo% vs. random_no_suicide, avg. reward: -4.713, 1.664 sec/game, 3.8 min. total, 506.4 MB
anyplace_passage v4 170 games, 125666 moves, e=0.876, loss: 61.1, ., 36.6% elo% vs. random_no_suicide, avg. reward: -4.713, 1.646 sec/game, 3.9 min. total, 502.8 MB
anyplace_passage v4 171 games, 126417 moves, e=0.875, loss: 60.6, +, 39.3% elo% vs. random_no_suicide, avg. reward: -4.708, 1.646 sec/game, 3.9 min. total, 503.7 MB
anyplace_passage v4 172 games, 127168 moves, e=0.874, loss: 59.6, -, 37.6% elo% vs. random_no_suicide, avg. reward: -4.693, 1.645 sec/game, 3.9 min. total, 508.4 MB
anyplace_passage v4 173 games, 128005 moves, e=0.873, loss: 60.2, -, 36.0% elo% vs. random_no_suicide, avg. reward: -4.686, 1.655 sec/game, 3.9 min. total, 503.6 MB
anyplace_passage v4 174 games, 128685 moves, e=0.873, loss: 59.6, ., 36.6% elo% vs. random_no_suicide, avg. reward: -4.691, 1.644 sec/game, 4.0 min. total, 508.5 MB
anyplace_passage v4 175 games, 129514 moves, e=0.872, loss: 60.0, +, 39.4% elo% vs. random_no_suicide, avg. reward: -4.669, 1.643 sec/game, 4.0 min. total, 508.5 MB
anyplace_passage v4 176 games, 130389 moves, e=0.871, loss: 61.3, +, 42.1% elo% vs. random_no_suicide, avg. reward: -4.656, 1.654 sec/game, 4.0 min. total, 504.5 MB
anyplace_passage v4 177 games, 131103 moves, e=0.870, loss: 60.8, ., 42.4% elo% vs. random_no_suicide, avg. reward: -4.661, 1.644 sec/game, 4.0 min. total, 504.4 MB
anyplace_passage v4 178 games, 131847 moves, e=0.869, loss: 62.1, +, 45.0% elo% vs. random_no_suicide, avg. reward: -4.670, 1.619 sec/game, 4.1 min. total, 504.5 MB
anyplace_passage v4 179 games, 132659 moves, e=0.869, loss: 61.4, +, 47.5% elo% vs. random_no_suicide, avg. reward: -4.649, 1.615 sec/game, 4.1 min. total, 505.4 MB
anyplace_passage v4 180 games, 133497 moves, e=0.868, loss: 64.2, +, 49.9% elo% vs. random_no_suicide, avg. reward: -4.637, 1.611 sec/game, 4.1 min. total, 507.1 MB
anyplace_passage v4 181 games, 134279 moves, e=0.867, loss: 66.8, -, 47.7% elo% vs. random_no_suicide, avg. reward: -4.636, 1.620 sec/game, 4.2 min. total, 511.5 MB
anyplace_passage v4 182 games, 135021 moves, e=0.866, loss: 66.6, -, 45.5% elo% vs. random_no_suicide, avg. reward: -4.638, 1.590 sec/game, 4.2 min. total, 511.6 MB
anyplace_passage v4 183 games, 135803 moves, e=0.866, loss: 67.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: -4.628, 1.602 sec/game, 4.2 min. total, 511.5 MB
anyplace_passage v4 184 games, 136661 moves, e=0.865, loss: 69.1, +, 46.0% elo% vs. random_no_suicide, avg. reward: -4.619, 1.615 sec/game, 4.2 min. total, 506.9 MB
anyplace_passage v4 185 games, 137362 moves, e=0.864, loss: 72.3, -, 43.9% elo% vs. random_no_suicide, avg. reward: -4.623, 1.599 sec/game, 4.3 min. total, 507.2 MB
anyplace_passage v4 186 games, 138120 moves, e=0.863, loss: 73.6, +, 46.4% elo% vs. random_no_suicide, avg. reward: -4.623, 1.594 sec/game, 4.3 min. total, 511.8 MB
anyplace_passage v4 187 games, 139030 moves, e=0.862, loss: 72.9, -, 44.3% elo% vs. random_no_suicide, avg. reward: -4.602, 1.611 sec/game, 4.3 min. total, 511.8 MB
anyplace_passage v4 188 games, 139773 moves, e=0.862, loss: 70.9, -, 42.3% elo% vs. random_no_suicide, avg. reward: -4.598, 1.607 sec/game, 4.3 min. total, 511.9 MB
anyplace_passage v4 189 games, 140496 moves, e=0.861, loss: 73.9, -, 40.4% elo% vs. random_no_suicide, avg. reward: -4.583, 1.607 sec/game, 4.4 min. total, 512.2 MB
anyplace_passage v4 190 games, 141272 moves, e=0.860, loss: 75.3, -, 38.6% elo% vs. random_no_suicide, avg. reward: -4.579, 1.614 sec/game, 4.4 min. total, 508.4 MB
anyplace_passage v4 191 games, 141921 moves, e=0.859, loss: 74.1, +, 41.4% elo% vs. random_no_suicide, avg. reward: -4.605, 1.596 sec/game, 4.4 min. total, 507.8 MB
anyplace_passage v4 192 games, 142807 moves, e=0.859, loss: 73.1, -, 39.5% elo% vs. random_no_suicide, avg. reward: -4.570, 1.610 sec/game, 4.4 min. total, 512.5 MB
anyplace_passage v4 193 games, 143514 moves, e=0.858, loss: 71.6, -, 37.8% elo% vs. random_no_suicide, avg. reward: -4.569, 1.599 sec/game, 4.5 min. total, 508.0 MB
anyplace_passage v4 194 games, 144399 moves, e=0.857, loss: 69.9, +, 40.5% elo% vs. random_no_suicide, avg. reward: -4.556, 1.623 sec/game, 4.5 min. total, 508.5 MB
anyplace_passage v4 195 games, 145175 moves, e=0.856, loss: 73.2, -, 38.7% elo% vs. random_no_suicide, avg. reward: -4.551, 1.625 sec/game, 4.5 min. total, 513.0 MB
anyplace_passage v4 196 games, 146032 moves, e=0.855, loss: 72.8, -, 37.1% elo% vs. random_no_suicide, avg. reward: -4.544, 1.616 sec/game, 4.6 min. total, 508.5 MB
anyplace_passage v4 197 games, 146797 moves, e=0.855, loss: 71.7, -, 35.5% elo% vs. random_no_suicide, avg. reward: -4.549, 1.617 sec/game, 4.6 min. total, 508.5 MB
anyplace_passage v4 198 games, 147665 moves, e=0.854, loss: 71.6, -, 34.0% elo% vs. random_no_suicide, avg. reward: -4.534, 1.631 sec/game, 4.6 min. total, 509.7 MB
anyplace_passage v4 199 games, 148516 moves, e=0.853, loss: 71.7, -, 32.6% elo% vs. random_no_suicide, avg. reward: -4.523, 1.641 sec/game, 4.6 min. total, 513.0 MB
anyplace_passage v4 200 games, 149350 moves, e=0.852, loss: 67.8, -, 31.3% elo% vs. random_no_suicide, avg. reward: -4.522, 1.643 sec/game, 4.7 min. total, 510.5 MB
anyplace_passage v5 201 games, 150263 moves, e=0.851, loss: 68.7, -, 47.7% elo% vs. random_no_suicide, avg. reward: -4.508, 1.645 sec/game, 4.7 min. total, 510.6 MB
anyplace_passage v5 202 games, 151040 moves, e=0.850, loss: 69.8, +, 50.1% elo% vs. random_no_suicide, avg. reward: -4.501, 1.666 sec/game, 4.7 min. total, 511.2 MB
anyplace_passage v5 203 games, 151770 moves, e=0.850, loss: 70.7, -, 47.8% elo% vs. random_no_suicide, avg. reward: -4.495, 1.654 sec/game, 4.8 min. total, 511.1 MB
anyplace_passage v5 204 games, 152667 moves, e=0.849, loss: 71.0, -, 45.6% elo% vs. random_no_suicide, avg. reward: -4.479, 1.654 sec/game, 4.8 min. total, 515.6 MB
anyplace_passage v5 205 games, 153598 moves, e=0.848, loss: 69.7, -, 43.5% elo% vs. random_no_suicide, avg. reward: -4.452, 1.672 sec/game, 4.8 min. total, 511.1 MB
anyplace_passage v5 206 games, 154286 moves, e=0.847, loss: 69.5, -, 41.6% elo% vs. random_no_suicide, avg. reward: -4.443, 1.672 sec/game, 4.8 min. total, 512.4 MB
anyplace_passage v5 207 games, 155181 moves, e=0.846, loss: 67.3, -, 39.7% elo% vs. random_no_suicide, avg. reward: -4.418, 1.674 sec/game, 4.9 min. total, 512.9 MB
anyplace_passage v5 208 games, 155951 moves, e=0.846, loss: 67.3, -, 38.0% elo% vs. random_no_suicide, avg. reward: -4.423, 1.683 sec/game, 4.9 min. total, 517.3 MB
anyplace_passage v5 209 games, 156737 moves, e=0.845, loss: 70.0, ., 38.5% elo% vs. random_no_suicide, avg. reward: -4.410, 1.684 sec/game, 4.9 min. total, 512.4 MB
anyplace_passage v5 210 games, 157600 moves, e=0.844, loss: 72.6, -, 36.8% elo% vs. random_no_suicide, avg. reward: -4.386, 1.698 sec/game, 5.0 min. total, 517.5 MB
anyplace_passage v5 211 games, 158493 moves, e=0.843, loss: 70.7, -, 35.3% elo% vs. random_no_suicide, avg. reward: -4.372, 1.724 sec/game, 5.0 min. total, 517.7 MB
anyplace_passage v5 212 games, 159315 moves, e=0.842, loss: 73.9, -, 33.8% elo% vs. random_no_suicide, avg. reward: -4.367, 1.712 sec/game, 5.0 min. total, 513.0 MB
anyplace_passage v5 213 games, 160105 moves, e=0.841, loss: 73.9, -, 32.4% elo% vs. random_no_suicide, avg. reward: -4.340, 1.712 sec/game, 5.0 min. total, 517.7 MB
anyplace_passage v5 214 games, 160917 moves, e=0.841, loss: 72.9, -, 31.1% elo% vs. random_no_suicide, avg. reward: -4.335, 1.712 sec/game, 5.1 min. total, 517.7 MB
anyplace_passage v5 215 games, 161584 moves, e=0.840, loss: 71.8, -, 29.9% elo% vs. random_no_suicide, avg. reward: -4.331, 1.697 sec/game, 5.1 min. total, 518.7 MB
anyplace_passage v5 216 games, 162478 moves, e=0.839, loss: 74.6, +, 32.7% elo% vs. random_no_suicide, avg. reward: -4.319, 1.706 sec/game, 5.1 min. total, 513.8 MB
anyplace_passage v5 217 games, 163264 moves, e=0.838, loss: 74.6, -, 31.4% elo% vs. random_no_suicide, avg. reward: -4.301, 1.702 sec/game, 5.1 min. total, 518.6 MB
anyplace_passage v5 218 games, 164124 moves, e=0.838, loss: 71.7, -, 30.2% elo% vs. random_no_suicide, avg. reward: -4.288, 1.702 sec/game, 5.2 min. total, 518.7 MB
anyplace_passage v5 219 games, 164954 moves, e=0.837, loss: 71.6, +, 32.9% elo% vs. random_no_suicide, avg. reward: -4.271, 1.693 sec/game, 5.2 min. total, 514.2 MB
anyplace_passage v5 220 games, 165580 moves, e=0.836, loss: 70.4, -, 31.6% elo% vs. random_no_suicide, avg. reward: -4.302, 1.677 sec/game, 5.2 min. total, 519.0 MB
anyplace_passage v5 221 games, 166347 moves, e=0.835, loss: 70.3, -, 30.4% elo% vs. random_no_suicide, avg. reward: -4.306, 1.661 sec/game, 5.3 min. total, 514.3 MB
anyplace_passage v5 222 games, 167178 moves, e=0.834, loss: 72.1, -, 29.2% elo% vs. random_no_suicide, avg. reward: -4.282, 1.664 sec/game, 5.3 min. total, 515.3 MB
anyplace_passage v5 223 games, 167903 moves, e=0.834, loss: 71.5, -, 28.1% elo% vs. random_no_suicide, avg. reward: -4.284, 1.667 sec/game, 5.3 min. total, 520.0 MB
anyplace_passage v5 224 games, 168752 moves, e=0.833, loss: 67.0, -, 27.1% elo% vs. random_no_suicide, avg. reward: -4.277, 1.668 sec/game, 5.3 min. total, 521.4 MB
anyplace_passage v5 225 games, 169587 moves, e=0.832, loss: 64.9, +, 29.8% elo% vs. random_no_suicide, avg. reward: -4.271, 1.653 sec/game, 5.4 min. total, 517.9 MB
anyplace_passage v5 226 games, 170403 moves, e=0.831, loss: 63.5, -, 28.7% elo% vs. random_no_suicide, avg. reward: -4.265, 1.665 sec/game, 5.4 min. total, 521.2 MB
anyplace_passage v5 227 games, 171266 moves, e=0.830, loss: 64.1, -, 27.6% elo% vs. random_no_suicide, avg. reward: -4.255, 1.664 sec/game, 5.4 min. total, 521.2 MB
anyplace_passage v5 228 games, 172011 moves, e=0.830, loss: 61.6, -, 26.6% elo% vs. random_no_suicide, avg. reward: -4.238, 1.652 sec/game, 5.4 min. total, 521.4 MB
anyplace_passage v5 229 games, 172822 moves, e=0.829, loss: 63.7, -, 25.6% elo% vs. random_no_suicide, avg. reward: -4.233, 1.663 sec/game, 5.5 min. total, 521.0 MB
anyplace_passage v5 230 games, 173633 moves, e=0.828, loss: 60.4, -, 24.7% elo% vs. random_no_suicide, avg. reward: -4.234, 1.651 sec/game, 5.5 min. total, 521.2 MB
anyplace_passage v5 231 games, 174362 moves, e=0.827, loss: 62.8, -, 23.9% elo% vs. random_no_suicide, avg. reward: -4.243, 1.637 sec/game, 5.5 min. total, 521.8 MB
anyplace_passage v5 232 games, 175256 moves, e=0.826, loss: 62.6, -, 23.1% elo% vs. random_no_suicide, avg. reward: -4.236, 1.651 sec/game, 5.6 min. total, 521.7 MB
anyplace_passage v5 233 games, 176178 moves, e=0.826, loss: 61.7, -, 22.4% elo% vs. random_no_suicide, avg. reward: -4.215, 1.666 sec/game, 5.6 min. total, 522.9 MB
anyplace_passage v5 234 games, 176947 moves, e=0.825, loss: 62.4, -, 21.7% elo% vs. random_no_suicide, avg. reward: -4.183, 1.657 sec/game, 5.6 min. total, 523.3 MB
anyplace_passage v5 235 games, 177830 moves, e=0.824, loss: 62.5, -, 21.0% elo% vs. random_no_suicide, avg. reward: -4.165, 1.684 sec/game, 5.7 min. total, 523.5 MB
anyplace_passage v5 236 games, 178651 moves, e=0.823, loss: 62.9, -, 20.4% elo% vs. random_no_suicide, avg. reward: -4.173, 1.677 sec/game, 5.7 min. total, 523.6 MB
anyplace_passage v5 237 games, 179381 moves, e=0.822, loss: 61.9, -, 19.8% elo% vs. random_no_suicide, avg. reward: -4.179, 1.679 sec/game, 5.7 min. total, 523.3 MB
anyplace_passage v5 238 games, 180106 moves, e=0.822, loss: 62.5, -, 19.2% elo% vs. random_no_suicide, avg. reward: -4.190, 1.666 sec/game, 5.7 min. total, 519.0 MB
anyplace_passage v5 239 games, 181033 moves, e=0.821, loss: 62.3, -, 18.6% elo% vs. random_no_suicide, avg. reward: -4.171, 1.677 sec/game, 5.8 min. total, 519.6 MB
anyplace_passage v5 240 games, 181789 moves, e=0.820, loss: 61.7, -, 18.1% elo% vs. random_no_suicide, avg. reward: -4.170, 1.692 sec/game, 5.8 min. total, 524.2 MB
anyplace_passage v5 241 games, 182535 moves, e=0.819, loss: 62.5, -, 17.6% elo% vs. random_no_suicide, avg. reward: -4.166, 1.694 sec/game, 5.8 min. total, 524.4 MB
anyplace_passage v5 242 games, 183371 moves, e=0.818, loss: 59.5, -, 17.2% elo% vs. random_no_suicide, avg. reward: -4.157, 1.685 sec/game, 5.8 min. total, 525.0 MB
anyplace_passage v5 243 games, 184164 moves, e=0.818, loss: 62.3, -, 16.7% elo% vs. random_no_suicide, avg. reward: -4.160, 1.699 sec/game, 5.9 min. total, 526.4 MB
anyplace_passage v5 244 games, 184950 moves, e=0.817, loss: 61.3, -, 16.3% elo% vs. random_no_suicide, avg. reward: -4.148, 1.698 sec/game, 5.9 min. total, 522.1 MB
anyplace_passage v5 245 games, 185864 moves, e=0.816, loss: 62.8, -, 15.9% elo% vs. random_no_suicide, avg. reward: -4.124, 1.721 sec/game, 5.9 min. total, 526.3 MB
anyplace_passage v5 246 games, 186632 moves, e=0.815, loss: 63.4, -, 15.5% elo% vs. random_no_suicide, avg. reward: -4.125, 1.714 sec/game, 6.0 min. total, 526.1 MB
anyplace_passage v5 247 games, 187657 moves, e=0.814, loss: 61.6, +, 17.7% elo% vs. random_no_suicide, avg. reward: -4.082, 1.729 sec/game, 6.0 min. total, 521.7 MB
anyplace_passage v5 248 games, 188475 moves, e=0.813, loss: 60.8, -, 17.2% elo% vs. random_no_suicide, avg. reward: -4.084, 1.744 sec/game, 6.0 min. total, 521.7 MB
anyplace_passage v5 249 games, 189243 moves, e=0.813, loss: 60.4, +, 19.5% elo% vs. random_no_suicide, avg. reward: -4.079, 1.739 sec/game, 6.1 min. total, 521.9 MB
anyplace_passage v5 250 games, 190125 moves, e=0.812, loss: 62.3, -, 18.9% elo% vs. random_no_suicide, avg. reward: -4.083, 1.753 sec/game, 6.1 min. total, 521.8 MB
anyplace_passage v5 251 games, 190983 moves, e=0.811, loss: 62.1, -, 18.4% elo% vs. random_no_suicide, avg. reward: -4.077, 1.769 sec/game, 6.1 min. total, 522.8 MB
anyplace_passage v5 252 games, 191821 moves, e=0.810, loss: 64.8, -, 17.9% elo% vs. random_no_suicide, avg. reward: -4.065, 1.758 sec/game, 6.1 min. total, 528.6 MB
anyplace_passage v5 253 games, 192651 moves, e=0.809, loss: 64.7, -, 17.4% elo% vs. random_no_suicide, avg. reward: -4.057, 1.763 sec/game, 6.2 min. total, 528.6 MB
anyplace_passage v5 254 games, 193506 moves, e=0.808, loss: 65.7, -, 16.9% elo% vs. random_no_suicide, avg. reward: -4.039, 1.765 sec/game, 6.2 min. total, 528.6 MB
anyplace_passage v5 255 games, 194368 moves, e=0.808, loss: 63.4, -, 16.5% elo% vs. random_no_suicide, avg. reward: -4.038, 1.763 sec/game, 6.2 min. total, 528.6 MB
anyplace_passage v5 256 games, 195179 moves, e=0.807, loss: 62.0, -, 16.1% elo% vs. random_no_suicide, avg. reward: -4.033, 1.763 sec/game, 6.3 min. total, 524.2 MB
anyplace_passage v5 257 games, 195933 moves, e=0.806, loss: 64.5, +, 18.3% elo% vs. random_no_suicide, avg. reward: -4.048, 1.764 sec/game, 6.3 min. total, 524.2 MB
anyplace_passage v5 258 games, 196797 moves, e=0.805, loss: 62.6, -, 17.8% elo% vs. random_no_suicide, avg. reward: -4.040, 1.778 sec/game, 6.3 min. total, 528.8 MB
anyplace_passage v5 259 games, 197756 moves, e=0.804, loss: 60.9, +, 20.1% elo% vs. random_no_suicide, avg. reward: -4.027, 1.787 sec/game, 6.4 min. total, 524.4 MB
anyplace_passage v5 260 games, 198605 moves, e=0.803, loss: 62.1, -, 19.5% elo% vs. random_no_suicide, avg. reward: -4.028, 1.803 sec/game, 6.4 min. total, 525.0 MB
anyplace_passage v5 261 games, 199424 moves, e=0.803, loss: 61.3, ., 20.4% elo% vs. random_no_suicide, avg. reward: -4.014, 1.814 sec/game, 6.4 min. total, 526.1 MB
anyplace_passage v5 262 games, 200296 moves, e=0.802, loss: 61.9, -, 19.8% elo% vs. random_no_suicide, avg. reward: -4.009, 1.815 sec/game, 6.5 min. total, 530.5 MB
anyplace_passage v5 263 games, 201111 moves, e=0.801, loss: 61.5, +, 22.3% elo% vs. random_no_suicide, avg. reward: -3.997, 1.824 sec/game, 6.5 min. total, 526.1 MB
anyplace_passage v5 264 games, 201957 moves, e=0.800, loss: 60.9, +, 24.9% elo% vs. random_no_suicide, avg. reward: -3.993, 1.816 sec/game, 6.5 min. total, 525.9 MB
anyplace_passage v5 265 games, 202895 moves, e=0.799, loss: 59.5, +, 27.5% elo% vs. random_no_suicide, avg. reward: -3.986, 1.815 sec/game, 6.5 min. total, 526.0 MB
anyplace_passage v5 266 games, 203651 moves, e=0.798, loss: 56.9, -, 26.5% elo% vs. random_no_suicide, avg. reward: -3.988, 1.816 sec/game, 6.6 min. total, 526.0 MB
anyplace_passage v5 267 games, 204506 moves, e=0.798, loss: 58.7, ., 27.4% elo% vs. random_no_suicide, avg. reward: -3.967, 1.792 sec/game, 6.6 min. total, 526.1 MB
anyplace_passage v5 268 games, 205338 moves, e=0.797, loss: 57.6, -, 26.4% elo% vs. random_no_suicide, avg. reward: -3.958, 1.803 sec/game, 6.6 min. total, 531.3 MB
anyplace_passage v5 269 games, 206091 moves, e=0.796, loss: 59.0, -, 25.5% elo% vs. random_no_suicide, avg. reward: -3.956, 1.802 sec/game, 6.7 min. total, 533.0 MB
anyplace_passage v5 270 games, 206845 moves, e=0.795, loss: 57.8, -, 24.6% elo% vs. random_no_suicide, avg. reward: -3.949, 1.778 sec/game, 6.7 min. total, 529.4 MB
anyplace_passage v5 271 games, 207664 moves, e=0.794, loss: 57.0, -, 23.7% elo% vs. random_no_suicide, avg. reward: -3.949, 1.779 sec/game, 6.7 min. total, 534.2 MB
anyplace_passage v5 272 games, 208513 moves, e=0.794, loss: 57.8, -, 23.0% elo% vs. random_no_suicide, avg. reward: -3.939, 1.790 sec/game, 6.7 min. total, 534.3 MB
anyplace_passage v5 273 games, 209283 moves, e=0.793, loss: 54.8, -, 22.2% elo% vs. random_no_suicide, avg. reward: -3.941, 1.771 sec/game, 6.8 min. total, 534.3 MB
anyplace_passage v5 274 games, 210202 moves, e=0.792, loss: 54.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: -3.914, 1.786 sec/game, 6.8 min. total, 530.2 MB
anyplace_passage v5 275 games, 211077 moves, e=0.791, loss: 55.5, -, 20.9% elo% vs. random_no_suicide, avg. reward: -3.914, 1.792 sec/game, 6.8 min. total, 530.3 MB
anyplace_passage v5 276 games, 212059 moves, e=0.790, loss: 56.4, ., 21.8% elo% vs. random_no_suicide, avg. reward: -3.906, 1.813 sec/game, 6.9 min. total, 530.4 MB
anyplace_passage v5 277 games, 212919 moves, e=0.789, loss: 55.5, +, 24.3% elo% vs. random_no_suicide, avg. reward: -3.885, 1.830 sec/game, 6.9 min. total, 530.3 MB
anyplace_passage v5 278 games, 213666 moves, e=0.788, loss: 54.0, -, 23.5% elo% vs. random_no_suicide, avg. reward: -3.888, 1.818 sec/game, 6.9 min. total, 536.2 MB
anyplace_passage v5 279 games, 214537 moves, e=0.788, loss: 57.7, ., 24.4% elo% vs. random_no_suicide, avg. reward: -3.883, 1.820 sec/game, 7.0 min. total, 531.1 MB
anyplace_passage v5 280 games, 215423 moves, e=0.787, loss: 58.1, -, 23.6% elo% vs. random_no_suicide, avg. reward: -3.881, 1.812 sec/game, 7.0 min. total, 531.2 MB
anyplace_passage v5 281 games, 216268 moves, e=0.786, loss: 56.9, +, 26.2% elo% vs. random_no_suicide, avg. reward: -3.873, 1.814 sec/game, 7.0 min. total, 531.5 MB
anyplace_passage v5 282 games, 217115 moves, e=0.785, loss: 54.3, +, 28.9% elo% vs. random_no_suicide, avg. reward: -3.860, 1.826 sec/game, 7.1 min. total, 531.8 MB
anyplace_passage v5 283 games, 218013 moves, e=0.784, loss: 54.3, +, 31.7% elo% vs. random_no_suicide, avg. reward: -3.845, 1.830 sec/game, 7.1 min. total, 531.7 MB
anyplace_passage v5 284 games, 218977 moves, e=0.783, loss: 52.0, -, 30.4% elo% vs. random_no_suicide, avg. reward: -3.840, 1.842 sec/game, 7.1 min. total, 536.1 MB
anyplace_passage v5 285 games, 219772 moves, e=0.782, loss: 52.7, ., 31.2% elo% vs. random_no_suicide, avg. reward: -3.825, 1.822 sec/game, 7.2 min. total, 531.9 MB
anyplace_passage v5 286 games, 220599 moves, e=0.782, loss: 52.4, +, 34.0% elo% vs. random_no_suicide, avg. reward: -3.819, 1.835 sec/game, 7.2 min. total, 535.2 MB
anyplace_passage v5 287 games, 221578 moves, e=0.781, loss: 55.8, ., 34.6% elo% vs. random_no_suicide, avg. reward: -3.812, 1.866 sec/game, 7.2 min. total, 533.2 MB
anyplace_passage v5 288 games, 222387 moves, e=0.780, loss: 56.1, -, 33.2% elo% vs. random_no_suicide, avg. reward: -3.802, 1.858 sec/game, 7.3 min. total, 538.0 MB
anyplace_passage v5 289 games, 223440 moves, e=0.779, loss: 53.3, +, 36.0% elo% vs. random_no_suicide, avg. reward: -3.774, 1.885 sec/game, 7.3 min. total, 533.4 MB
anyplace_passage v5 290 games, 224341 moves, e=0.778, loss: 55.4, ., 36.6% elo% vs. random_no_suicide, avg. reward: -3.759, 1.911 sec/game, 7.3 min. total, 533.6 MB
anyplace_passage v5 291 games, 225131 moves, e=0.777, loss: 54.1, -, 35.0% elo% vs. random_no_suicide, avg. reward: -3.735, 1.900 sec/game, 7.3 min. total, 538.2 MB
anyplace_passage v5 292 games, 225931 moves, e=0.776, loss: 52.6, +, 37.8% elo% vs. random_no_suicide, avg. reward: -3.741, 1.904 sec/game, 7.4 min. total, 533.7 MB
anyplace_passage v5 293 games, 226837 moves, e=0.775, loss: 53.6, -, 36.2% elo% vs. random_no_suicide, avg. reward: -3.716, 1.916 sec/game, 7.4 min. total, 533.7 MB
