jaybird_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
jaybird_flanked v1 35 games, 23802 moves, e=0.976, loss: 42.2, -, 30.4% elo% vs. v0, avg. reward: -4.130, 1.421 sec/game, 0.5 min. total, 399.5 MB
jaybird_flanked v1 36 games, 24557 moves, e=0.976, loss: 39.8, +, 33.2% elo% vs. v0, avg. reward: -4.051, 1.457 sec/game, 0.6 min. total, 399.6 MB
jaybird_flanked v1 37 games, 25496 moves, e=0.975, loss: 39.4, -, 31.9% elo% vs. v0, avg. reward: -3.863, 1.488 sec/game, 0.6 min. total, 400.4 MB
jaybird_flanked v1 38 games, 26106 moves, e=0.974, loss: 38.6, +, 34.6% elo% vs. v0, avg. reward: -3.838, 1.478 sec/game, 0.6 min. total, 404.5 MB
jaybird_flanked v1 39 games, 26767 moves, e=0.974, loss: 40.6, -, 33.2% elo% vs. v0, avg. reward: -3.704, 1.491 sec/game, 0.6 min. total, 403.2 MB
jaybird_flanked v1 40 games, 27498 moves, e=0.973, loss: 45.1, -, 31.9% elo% vs. v0, avg. reward: -3.755, 1.506 sec/game, 0.7 min. total, 405.3 MB
jaybird_flanked v1 41 games, 28278 moves, e=0.972, loss: 49.4, -, 30.6% elo% vs. v0, avg. reward: -3.752, 1.502 sec/game, 0.7 min. total, 405.4 MB
jaybird_flanked v1 42 games, 29032 moves, e=0.971, loss: 47.6, -, 29.4% elo% vs. v0, avg. reward: -3.650, 1.514 sec/game, 0.7 min. total, 405.5 MB
jaybird_flanked v1 43 games, 29775 moves, e=0.971, loss: 47.7, -, 28.3% elo% vs. v0, avg. reward: -3.623, 1.518 sec/game, 0.7 min. total, 405.7 MB
jaybird_flanked v1 44 games, 30470 moves, e=0.970, loss: 51.4, -, 27.3% elo% vs. v0, avg. reward: -3.572, 1.522 sec/game, 0.8 min. total, 405.9 MB
jaybird_flanked v1 45 games, 31242 moves, e=0.969, loss: 51.9, +, 30.0% elo% vs. v0, avg. reward: -3.476, 1.527 sec/game, 0.8 min. total, 405.8 MB
jaybird_flanked v1 46 games, 31957 moves, e=0.968, loss: 50.5, -, 28.9% elo% vs. v0, avg. reward: -3.545, 1.507 sec/game, 0.8 min. total, 405.7 MB
jaybird_flanked v1 47 games, 32665 moves, e=0.968, loss: 50.3, -, 27.8% elo% vs. v0, avg. reward: -3.607, 1.511 sec/game, 0.8 min. total, 406.2 MB
jaybird_flanked v1 48 games, 33431 moves, e=0.967, loss: 55.3, -, 26.8% elo% vs. v0, avg. reward: -3.635, 1.520 sec/game, 0.9 min. total, 405.9 MB
jaybird_flanked v1 49 games, 34134 moves, e=0.966, loss: 53.2, -, 25.8% elo% vs. v0, avg. reward: -3.585, 1.510 sec/game, 0.9 min. total, 406.8 MB
jaybird_flanked v1 50 games, 34869 moves, e=0.965, loss: 56.9, -, 24.9% elo% vs. v0, avg. reward: -3.571, 1.514 sec/game, 0.9 min. total, 406.7 MB
jaybird_flanked v1 51 games, 35538 moves, e=0.965, loss: 57.5, -, 24.1% elo% vs. v0, avg. reward: -3.517, 1.515 sec/game, 0.9 min. total, 407.0 MB
