wasp_emote v2 72 games, 38367 moves, e=0.962, loss: nan, +, 57.7% elo% vs. guard_bot, avg. reward: -10.022, 0.798 sec/game, 1.6 min. total, 521.8 MB
wasp_emote v2 74 games, 39488 moves, e=0.961, loss: nan, +, 59.6% elo% vs. guard_bot, avg. reward: -10.002, 1.362 sec/game, 1.8 min. total, 523.5 MB
wasp_emote v2 76 games, 40483 moves, e=0.960, loss: nan, +, 61.3% elo% vs. guard_bot, avg. reward: -10.019, 1.366 sec/game, 1.8 min. total, 525.6 MB
wasp_emote v2 78 games, 41609 moves, e=0.959, loss: nan, ., 60.8% elo% vs. guard_bot, avg. reward: -9.992, 1.366 sec/game, 1.8 min. total, 528.3 MB
wasp_emote v2 80 games, 42718 moves, e=0.958, loss: nan, ., 60.4% elo% vs. guard_bot, avg. reward: -9.980, 1.365 sec/game, 1.8 min. total, 530.8 MB
wasp_emote v2 82 games, 43852 moves, e=0.957, loss: nan, ., 59.9% elo% vs. guard_bot, avg. reward: -9.962, 1.364 sec/game, 1.8 min. total, 533.9 MB
wasp_emote v2 84 games, 45040 moves, e=0.955, loss: nan, ., 59.5% elo% vs. guard_bot, avg. reward: -9.942, 1.365 sec/game, 1.8 min. total, 536.8 MB
wasp_emote v2 86 games, 46198 moves, e=0.954, loss: nan, +, 61.3% elo% vs. guard_bot, avg. reward: -9.920, 1.367 sec/game, 1.8 min. total, 540.8 MB
wasp_emote v2 88 games, 47214 moves, e=0.953, loss: nan, ., 60.8% elo% vs. guard_bot, avg. reward: -9.934, 1.367 sec/game, 1.8 min. total, 543.7 MB
wasp_emote v2 90 games, 48158 moves, e=0.952, loss: nan, ., 60.3% elo% vs. guard_bot, avg. reward: -9.980, 1.369 sec/game, 1.8 min. total, 547.2 MB
wasp_emote v2 92 games, 49204 moves, e=0.951, loss: nan, ., 59.8% elo% vs. guard_bot, avg. reward: -9.984, 0.788 sec/game, 1.8 min. total, 550.4 MB
wasp_emote v2 94 games, 50269 moves, e=0.950, loss: nan, +, 61.6% elo% vs. guard_bot, avg. reward: -9.976, 0.220 sec/game, 1.8 min. total, 554.0 MB
wasp_emote v2 96 games, 51527 moves, e=0.949, loss: nan, ., 61.1% elo% vs. guard_bot, avg. reward: -9.944, 0.212 sec/game, 1.9 min. total, 559.8 MB
wasp_emote v2 98 games, 52808 moves, e=0.948, loss: nan, ., 60.6% elo% vs. guard_bot, avg. reward: -9.903, 0.585 sec/game, 2.0 min. total, 565.5 MB
wasp_emote v2 100 games, 53883 moves, e=0.947, loss: nan, ., 60.1% elo% vs. guard_bot, avg. reward: -9.903, 1.098 sec/game, 2.2 min. total, 571.2 MB
wasp_emote v3 102 games, 54983 moves, e=0.946, loss: nan, ., 50.0% elo% vs. guard_bot, avg. reward: -9.868, 1.608 sec/game, 2.3 min. total, 576.7 MB
wasp_emote v3 104 games, 55987 moves, e=0.945, loss: nan, ., 50.0% elo% vs. guard_bot, avg. reward: -9.876, 1.624 sec/game, 2.4 min. total, 577.4 MB
wasp_emote v3 106 games, 57049 moves, e=0.944, loss: nan, ., 50.0% elo% vs. guard_bot, avg. reward: -9.875, 1.624 sec/game, 2.4 min. total, 579.0 MB
wasp_emote v3 108 games, 58205 moves, e=0.942, loss: nan, +, 52.3% elo% vs. guard_bot, avg. reward: -9.858, 1.625 sec/game, 2.4 min. total, 582.0 MB
wasp_emote v3 110 games, 59353 moves, e=0.941, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -9.842, 1.625 sec/game, 2.4 min. total, 584.2 MB
wasp_emote v3 112 games, 60410 moves, e=0.940, loss: nan, ., 52.1% elo% vs. guard_bot, avg. reward: -9.863, 1.621 sec/game, 2.4 min. total, 586.7 MB
wasp_emote v3 114 games, 61511 moves, e=0.939, loss: nan, ., 52.0% elo% vs. guard_bot, avg. reward: -9.851, 1.620 sec/game, 2.4 min. total, 589.3 MB
wasp_emote v3 116 games, 62656 moves, e=0.938, loss: nan, +, 54.2% elo% vs. guard_bot, avg. reward: -9.844, 1.619 sec/game, 2.4 min. total, 592.9 MB
wasp_emote v3 118 games, 63833 moves, e=0.937, loss: nan, +, 56.3% elo% vs. guard_bot, avg. reward: -9.804, 1.250 sec/game, 2.4 min. total, 596.7 MB
wasp_emote v3 120 games, 64851 moves, e=0.936, loss: nan, ., 56.0% elo% vs. guard_bot, avg. reward: -9.822, 0.738 sec/game, 2.4 min. total, 599.4 MB
wasp_emote v3 122 games, 65876 moves, e=0.935, loss: nan, ., 55.7% elo% vs. guard_bot, avg. reward: -9.869, 0.233 sec/game, 2.4 min. total, 603.3 MB
wasp_emote v3 124 games, 67125 moves, e=0.934, loss: nan, +, 57.7% elo% vs. guard_bot, avg. reward: -9.813, 0.225 sec/game, 2.4 min. total, 608.2 MB
wasp_emote v3 126 games, 68330 moves, e=0.932, loss: nan, ., 57.4% elo% vs. guard_bot, avg. reward: -9.780, 0.732 sec/game, 2.6 min. total, 611.5 MB
wasp_emote v3 128 games, 69402 moves, e=0.931, loss: nan, +, 59.3% elo% vs. guard_bot, avg. reward: -9.775, 1.159 sec/game, 2.8 min. total, 617.2 MB
wasp_emote v3 130 games, 70589 moves, e=0.930, loss: nan, +, 61.1% elo% vs. guard_bot, avg. reward: -9.748, 1.186 sec/game, 2.8 min. total, 622.3 MB
wasp_emote v3 132 games, 71689 moves, e=0.929, loss: nan, +, 62.8% elo% vs. guard_bot, avg. reward: -9.748, 1.190 sec/game, 2.8 min. total, 626.9 MB
wasp_emote v3 134 games, 72768 moves, e=0.928, loss: nan, ., 62.2% elo% vs. guard_bot, avg. reward: -9.735, 1.198 sec/game, 2.8 min. total, 629.1 MB
wasp_emote v3 136 games, 73759 moves, e=0.927, loss: nan, +, 63.8% elo% vs. guard_bot, avg. reward: -9.731, 1.200 sec/game, 2.8 min. total, 630.7 MB
wasp_emote v3 138 games, 74873 moves, e=0.926, loss: nan, ., 63.3% elo% vs. guard_bot, avg. reward: -9.691, 1.207 sec/game, 2.8 min. total, 633.4 MB
wasp_emote v3 140 games, 75955 moves, e=0.925, loss: nan, ., 62.7% elo% vs. guard_bot, avg. reward: -9.683, 1.217 sec/game, 2.8 min. total, 635.8 MB
wasp_emote v3 142 games, 77068 moves, e=0.924, loss: nan, ., 62.1% elo% vs. guard_bot, avg. reward: -9.664, 1.220 sec/game, 2.8 min. total, 638.5 MB
