annuity_bulge v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.7 MB
annuity_bulge v4 147 games, 108137 moves, e=0.893, loss: 5.9, -, 16.2% elo% vs. random_no_suicide, avg. reward: -10.409, 2.053 sec/game, 4.3 min. total, 495.7 MB
annuity_bulge v4 148 games, 108868 moves, e=0.892, loss: 6.0, -, 15.8% elo% vs. random_no_suicide, avg. reward: -10.401, 2.036 sec/game, 4.4 min. total, 494.2 MB
annuity_bulge v4 149 games, 109622 moves, e=0.891, loss: 6.2, -, 15.4% elo% vs. random_no_suicide, avg. reward: -10.401, 2.054 sec/game, 4.4 min. total, 494.3 MB
annuity_bulge v4 150 games, 110333 moves, e=0.891, loss: 6.1, -, 15.0% elo% vs. random_no_suicide, avg. reward: -10.388, 2.040 sec/game, 4.4 min. total, 495.5 MB
annuity_bulge v4 151 games, 111098 moves, e=0.890, loss: 6.5, -, 14.7% elo% vs. random_no_suicide, avg. reward: -10.369, 2.029 sec/game, 4.4 min. total, 496.3 MB
annuity_bulge v4 152 games, 111796 moves, e=0.889, loss: 6.5, -, 14.4% elo% vs. random_no_suicide, avg. reward: -10.367, 2.046 sec/game, 4.5 min. total, 495.9 MB
annuity_bulge v4 153 games, 112627 moves, e=0.888, loss: 6.4, +, 16.4% elo% vs. random_no_suicide, avg. reward: -10.352, 2.049 sec/game, 4.5 min. total, 493.4 MB
annuity_bulge v4 154 games, 113353 moves, e=0.888, loss: 6.6, -, 16.0% elo% vs. random_no_suicide, avg. reward: -10.355, 2.030 sec/game, 4.5 min. total, 494.5 MB
annuity_bulge v4 155 games, 114113 moves, e=0.887, loss: 6.7, -, 15.6% elo% vs. random_no_suicide, avg. reward: -10.347, 2.028 sec/game, 4.6 min. total, 497.5 MB
annuity_bulge v4 156 games, 115011 moves, e=0.886, loss: 7.0, -, 15.2% elo% vs. random_no_suicide, avg. reward: -10.326, 2.023 sec/game, 4.6 min. total, 498.0 MB
annuity_bulge v4 157 games, 115862 moves, e=0.885, loss: 7.0, -, 14.9% elo% vs. random_no_suicide, avg. reward: -10.299, 2.022 sec/game, 4.7 min. total, 494.4 MB
annuity_bulge v4 158 games, 116660 moves, e=0.885, loss: 6.8, -, 14.5% elo% vs. random_no_suicide, avg. reward: -10.266, 2.040 sec/game, 4.7 min. total, 498.1 MB
annuity_bulge v4 159 games, 117542 moves, e=0.884, loss: 7.0, +, 16.6% elo% vs. random_no_suicide, avg. reward: -10.253, 2.056 sec/game, 4.7 min. total, 498.1 MB
annuity_bulge v4 160 games, 118345 moves, e=0.883, loss: 7.3, -, 16.2% elo% vs. random_no_suicide, avg. reward: -10.244, 2.058 sec/game, 4.8 min. total, 498.1 MB
annuity_bulge v4 161 games, 119099 moves, e=0.882, loss: 7.2, -, 15.8% elo% vs. random_no_suicide, avg. reward: -10.232, 2.059 sec/game, 4.8 min. total, 498.2 MB
annuity_bulge v4 162 games, 120054 moves, e=0.881, loss: 7.0, -, 15.4% elo% vs. random_no_suicide, avg. reward: -10.200, 2.074 sec/game, 4.8 min. total, 498.0 MB
annuity_bulge v4 163 games, 120816 moves, e=0.880, loss: 7.0, -, 15.0% elo% vs. random_no_suicide, avg. reward: -10.219, 2.074 sec/game, 4.9 min. total, 499.0 MB
annuity_bulge v4 164 games, 121649 moves, e=0.880, loss: 7.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: -10.205, 2.093 sec/game, 4.9 min. total, 499.2 MB
annuity_bulge v4 165 games, 122430 moves, e=0.879, loss: 7.1, -, 14.3% elo% vs. random_no_suicide, avg. reward: -10.179, 2.091 sec/game, 4.9 min. total, 499.4 MB
annuity_bulge v4 166 games, 123293 moves, e=0.878, loss: 7.2, ., 15.2% elo% vs. random_no_suicide, avg. reward: -10.153, 2.094 sec/game, 5.0 min. total, 496.2 MB
annuity_bulge v4 167 games, 124136 moves, e=0.877, loss: 7.6, -, 14.8% elo% vs. random_no_suicide, avg. reward: -10.141, 2.089 sec/game, 5.0 min. total, 499.9 MB
annuity_bulge v4 168 games, 124865 moves, e=0.876, loss: 7.5, +, 16.9% elo% vs. random_no_suicide, avg. reward: -10.157, 2.087 sec/game, 5.0 min. total, 495.9 MB
annuity_bulge v4 169 games, 125723 moves, e=0.876, loss: 7.2, -, 16.5% elo% vs. random_no_suicide, avg. reward: -10.141, 2.100 sec/game, 5.1 min. total, 499.7 MB
annuity_bulge v4 170 games, 126602 moves, e=0.875, loss: 6.7, -, 16.1% elo% vs. random_no_suicide, avg. reward: -10.113, 2.130 sec/game, 5.1 min. total, 498.8 MB
annuity_bulge v4 171 games, 127326 moves, e=0.874, loss: 6.6, +, 18.2% elo% vs. random_no_suicide, avg. reward: -10.116, 2.117 sec/game, 5.2 min. total, 500.8 MB
annuity_bulge v4 172 games, 128159 moves, e=0.873, loss: 6.7, -, 17.8% elo% vs. random_no_suicide, avg. reward: -10.081, 2.133 sec/game, 5.2 min. total, 501.5 MB
annuity_bulge v4 173 games, 129066 moves, e=0.872, loss: 6.8, +, 20.1% elo% vs. random_no_suicide, avg. reward: -10.065, 2.165 sec/game, 5.2 min. total, 498.7 MB
annuity_bulge v4 174 games, 129836 moves, e=0.871, loss: 7.0, +, 22.5% elo% vs. random_no_suicide, avg. reward: -10.078, 2.187 sec/game, 5.3 min. total, 498.7 MB
annuity_bulge v4 175 games, 130648 moves, e=0.871, loss: 7.1, -, 21.8% elo% vs. random_no_suicide, avg. reward: -10.058, 2.202 sec/game, 5.3 min. total, 500.8 MB
annuity_bulge v4 176 games, 131382 moves, e=0.870, loss: 7.0, +, 24.4% elo% vs. random_no_suicide, avg. reward: -10.064, 2.197 sec/game, 5.4 min. total, 498.8 MB
annuity_bulge v4 177 games, 132153 moves, e=0.869, loss: 6.7, ., 25.3% elo% vs. random_no_suicide, avg. reward: -10.054, 2.194 sec/game, 5.4 min. total, 499.0 MB
annuity_bulge v4 178 games, 133006 moves, e=0.868, loss: 6.9, ., 26.1% elo% vs. random_no_suicide, avg. reward: -10.030, 2.224 sec/game, 5.4 min. total, 499.2 MB
annuity_bulge v4 179 games, 133736 moves, e=0.868, loss: 7.0, -, 25.2% elo% vs. random_no_suicide, avg. reward: -10.044, 2.207 sec/game, 5.5 min. total, 499.3 MB
annuity_bulge v4 180 games, 134408 moves, e=0.867, loss: 7.0, -, 24.3% elo% vs. random_no_suicide, avg. reward: -10.047, 2.215 sec/game, 5.5 min. total, 502.6 MB
annuity_bulge v4 181 games, 135311 moves, e=0.866, loss: 6.6, -, 23.5% elo% vs. random_no_suicide, avg. reward: -10.036, 2.243 sec/game, 5.5 min. total, 501.6 MB
annuity_bulge v4 182 games, 136154 moves, e=0.865, loss: 6.5, -, 22.8% elo% vs. random_no_suicide, avg. reward: -9.995, 2.235 sec/game, 5.6 min. total, 500.3 MB
annuity_bulge v4 183 games, 136906 moves, e=0.864, loss: 6.7, -, 22.0% elo% vs. random_no_suicide, avg. reward: -10.005, 2.239 sec/game, 5.6 min. total, 501.1 MB
annuity_bulge v4 184 games, 137674 moves, e=0.864, loss: 6.7, -, 21.3% elo% vs. random_no_suicide, avg. reward: -9.994, 2.226 sec/game, 5.7 min. total, 501.4 MB
annuity_bulge v4 185 games, 138526 moves, e=0.863, loss: 6.6, -, 20.7% elo% vs. random_no_suicide, avg. reward: -9.989, 2.246 sec/game, 5.7 min. total, 501.6 MB
annuity_bulge v4 186 games, 139353 moves, e=0.862, loss: 6.6, -, 20.1% elo% vs. random_no_suicide, avg. reward: -9.975, 2.236 sec/game, 5.7 min. total, 504.9 MB
annuity_bulge v4 187 games, 140124 moves, e=0.861, loss: 6.5, +, 22.5% elo% vs. random_no_suicide, avg. reward: -9.984, 2.238 sec/game, 5.8 min. total, 501.6 MB
annuity_bulge v4 188 games, 140913 moves, e=0.860, loss: 6.7, -, 21.8% elo% vs. random_no_suicide, avg. reward: -9.976, 2.248 sec/game, 5.8 min. total, 505.0 MB
annuity_bulge v4 189 games, 141706 moves, e=0.860, loss: 6.8, +, 24.4% elo% vs. random_no_suicide, avg. reward: -9.970, 2.252 sec/game, 5.8 min. total, 501.6 MB
annuity_bulge v4 190 games, 142431 moves, e=0.859, loss: 6.9, +, 27.0% elo% vs. random_no_suicide, avg. reward: -9.985, 2.227 sec/game, 5.9 min. total, 501.6 MB
annuity_bulge v4 191 games, 143119 moves, e=0.858, loss: 6.6, -, 26.1% elo% vs. random_no_suicide, avg. reward: -9.970, 2.248 sec/game, 5.9 min. total, 505.0 MB
annuity_bulge v4 192 games, 143912 moves, e=0.858, loss: 6.6, -, 25.1% elo% vs. random_no_suicide, avg. reward: -9.969, 2.236 sec/game, 5.9 min. total, 506.6 MB
annuity_bulge v4 193 games, 144673 moves, e=0.857, loss: 6.6, -, 24.3% elo% vs. random_no_suicide, avg. reward: -9.965, 2.206 sec/game, 6.0 min. total, 505.8 MB
annuity_bulge v4 194 games, 145486 moves, e=0.856, loss: 6.7, -, 23.5% elo% vs. random_no_suicide, avg. reward: -9.970, 2.192 sec/game, 6.0 min. total, 507.0 MB
annuity_bulge v4 195 games, 146355 moves, e=0.855, loss: 6.7, -, 22.7% elo% vs. random_no_suicide, avg. reward: -9.947, 2.195 sec/game, 6.0 min. total, 507.3 MB
annuity_bulge v4 196 games, 147061 moves, e=0.854, loss: 6.9, -, 22.0% elo% vs. random_no_suicide, avg. reward: -9.939, 2.174 sec/game, 6.1 min. total, 507.5 MB
annuity_bulge v4 197 games, 147867 moves, e=0.854, loss: 6.8, +, 24.5% elo% vs. random_no_suicide, avg. reward: -9.927, 2.178 sec/game, 6.1 min. total, 503.8 MB
annuity_bulge v4 198 games, 148659 moves, e=0.853, loss: 7.0, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.924, 2.151 sec/game, 6.1 min. total, 506.0 MB
annuity_bulge v4 199 games, 149544 moves, e=0.852, loss: 7.1, +, 26.4% elo% vs. random_no_suicide, avg. reward: -9.891, 2.174 sec/game, 6.2 min. total, 504.0 MB
annuity_bulge v4 200 games, 150244 moves, e=0.851, loss: 7.3, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.909, 2.155 sec/game, 6.2 min. total, 507.2 MB
annuity_bulge v5 201 games, 151084 moves, e=0.850, loss: 7.2, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.904, 2.146 sec/game, 6.3 min. total, 504.2 MB
annuity_bulge v5 202 games, 151837 moves, e=0.850, loss: 7.2, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.906, 2.140 sec/game, 6.3 min. total, 508.5 MB
annuity_bulge v5 203 games, 152567 moves, e=0.849, loss: 7.4, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.920, 2.126 sec/game, 6.3 min. total, 506.2 MB
annuity_bulge v5 204 games, 153353 moves, e=0.848, loss: 7.5, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.921, 2.137 sec/game, 6.4 min. total, 506.0 MB
annuity_bulge v5 205 games, 154199 moves, e=0.847, loss: 7.7, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.904, 2.123 sec/game, 6.4 min. total, 509.4 MB
annuity_bulge v5 206 games, 155045 moves, e=0.847, loss: 7.9, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.900, 2.138 sec/game, 6.4 min. total, 509.4 MB
annuity_bulge v5 207 games, 155811 moves, e=0.846, loss: 7.7, -, 36.3% elo% vs. random_no_suicide, avg. reward: -9.895, 2.139 sec/game, 6.5 min. total, 506.2 MB
annuity_bulge v5 208 games, 156565 moves, e=0.845, loss: 7.7, +, 39.0% elo% vs. random_no_suicide, avg. reward: -9.895, 2.135 sec/game, 6.5 min. total, 508.3 MB
annuity_bulge v5 209 games, 157463 moves, e=0.844, loss: 7.7, +, 41.7% elo% vs. random_no_suicide, avg. reward: -9.885, 2.134 sec/game, 6.5 min. total, 506.4 MB
annuity_bulge v5 210 games, 158234 moves, e=0.843, loss: 7.9, -, 39.9% elo% vs. random_no_suicide, avg. reward: -9.875, 2.146 sec/game, 6.6 min. total, 508.6 MB
annuity_bulge v5 211 games, 158932 moves, e=0.843, loss: 7.8, +, 42.6% elo% vs. random_no_suicide, avg. reward: -9.873, 2.127 sec/game, 6.6 min. total, 508.3 MB
annuity_bulge v5 212 games, 159639 moves, e=0.842, loss: 7.8, +, 45.2% elo% vs. random_no_suicide, avg. reward: -9.883, 2.126 sec/game, 6.6 min. total, 508.1 MB
annuity_bulge v5 213 games, 160567 moves, e=0.841, loss: 7.7, -, 43.1% elo% vs. random_no_suicide, avg. reward: -9.880, 2.151 sec/game, 6.7 min. total, 511.3 MB
annuity_bulge v5 214 games, 161416 moves, e=0.840, loss: 7.5, -, 41.2% elo% vs. random_no_suicide, avg. reward: -9.867, 2.165 sec/game, 6.7 min. total, 511.3 MB
annuity_bulge v5 215 games, 162274 moves, e=0.839, loss: 7.5, -, 39.4% elo% vs. random_no_suicide, avg. reward: -9.841, 2.159 sec/game, 6.8 min. total, 511.6 MB
annuity_bulge v5 216 games, 162964 moves, e=0.839, loss: 7.5, -, 37.6% elo% vs. random_no_suicide, avg. reward: -9.862, 2.172 sec/game, 6.8 min. total, 510.5 MB
annuity_bulge v5 217 games, 163845 moves, e=0.838, loss: 7.8, -, 36.0% elo% vs. random_no_suicide, avg. reward: -9.849, 2.179 sec/game, 6.8 min. total, 510.6 MB
annuity_bulge v5 218 games, 164783 moves, e=0.837, loss: 7.6, -, 34.5% elo% vs. random_no_suicide, avg. reward: -9.838, 2.195 sec/game, 6.9 min. total, 512.3 MB
annuity_bulge v5 219 games, 165525 moves, e=0.836, loss: 7.4, -, 33.1% elo% vs. random_no_suicide, avg. reward: -9.835, 2.178 sec/game, 6.9 min. total, 512.1 MB
annuity_bulge v5 220 games, 166241 moves, e=0.835, loss: 7.7, +, 35.9% elo% vs. random_no_suicide, avg. reward: -9.836, 2.178 sec/game, 6.9 min. total, 515.3 MB
annuity_bulge v5 221 games, 167228 moves, e=0.834, loss: 7.4, +, 38.6% elo% vs. random_no_suicide, avg. reward: -9.802, 2.199 sec/game, 7.0 min. total, 511.6 MB
annuity_bulge v5 222 games, 168099 moves, e=0.834, loss: 7.2, -, 37.0% elo% vs. random_no_suicide, avg. reward: -9.791, 2.220 sec/game, 7.0 min. total, 511.9 MB
annuity_bulge v5 223 games, 168973 moves, e=0.833, loss: 7.3, ., 37.5% elo% vs. random_no_suicide, avg. reward: -9.792, 2.252 sec/game, 7.1 min. total, 514.1 MB
annuity_bulge v5 224 games, 169864 moves, e=0.832, loss: 7.4, +, 40.3% elo% vs. random_no_suicide, avg. reward: -9.785, 2.263 sec/game, 7.1 min. total, 511.7 MB
annuity_bulge v5 225 games, 170678 moves, e=0.831, loss: 7.4, -, 38.5% elo% vs. random_no_suicide, avg. reward: -9.792, 2.262 sec/game, 7.2 min. total, 515.2 MB
annuity_bulge v5 226 games, 171391 moves, e=0.830, loss: 7.6, -, 36.8% elo% vs. random_no_suicide, avg. reward: -9.798, 2.237 sec/game, 7.2 min. total, 515.7 MB
annuity_bulge v5 227 games, 172228 moves, e=0.829, loss: 7.9, -, 35.3% elo% vs. random_no_suicide, avg. reward: -9.783, 2.250 sec/game, 7.2 min. total, 516.4 MB
annuity_bulge v5 228 games, 173028 moves, e=0.829, loss: 7.9, -, 33.8% elo% vs. random_no_suicide, avg. reward: -9.768, 2.254 sec/game, 7.3 min. total, 516.1 MB
annuity_bulge v5 229 games, 173828 moves, e=0.828, loss: 7.7, -, 32.4% elo% vs. random_no_suicide, avg. reward: -9.752, 2.253 sec/game, 7.3 min. total, 516.0 MB
annuity_bulge v5 230 games, 174505 moves, e=0.827, loss: 8.0, -, 31.1% elo% vs. random_no_suicide, avg. reward: -9.771, 2.242 sec/game, 7.3 min. total, 512.4 MB
annuity_bulge v5 231 games, 175276 moves, e=0.826, loss: 8.0, -, 29.9% elo% vs. random_no_suicide, avg. reward: -9.769, 2.261 sec/game, 7.4 min. total, 515.6 MB
annuity_bulge v5 232 games, 176004 moves, e=0.826, loss: 7.9, -, 28.8% elo% vs. random_no_suicide, avg. reward: -9.767, 2.264 sec/game, 7.4 min. total, 514.4 MB
annuity_bulge v5 233 games, 176764 moves, e=0.825, loss: 7.7, +, 31.5% elo% vs. random_no_suicide, avg. reward: -9.767, 2.227 sec/game, 7.4 min. total, 512.3 MB
annuity_bulge v5 234 games, 177537 moves, e=0.824, loss: 7.5, +, 34.3% elo% vs. random_no_suicide, avg. reward: -9.780, 2.224 sec/game, 7.5 min. total, 512.2 MB
annuity_bulge v5 235 games, 178372 moves, e=0.823, loss: 7.8, +, 37.1% elo% vs. random_no_suicide, avg. reward: -9.773, 2.217 sec/game, 7.5 min. total, 512.4 MB
annuity_bulge v5 236 games, 179214 moves, e=0.823, loss: 8.0, -, 35.5% elo% vs. random_no_suicide, avg. reward: -9.786, 2.236 sec/game, 7.5 min. total, 514.5 MB
annuity_bulge v5 237 games, 180058 moves, e=0.822, loss: 8.0, -, 34.0% elo% vs. random_no_suicide, avg. reward: -9.778, 2.220 sec/game, 7.6 min. total, 516.3 MB
annuity_bulge v5 238 games, 180750 moves, e=0.821, loss: 8.1, +, 36.8% elo% vs. random_no_suicide, avg. reward: -9.767, 2.200 sec/game, 7.6 min. total, 514.7 MB
annuity_bulge v5 239 games, 181527 moves, e=0.820, loss: 7.9, -, 35.2% elo% vs. random_no_suicide, avg. reward: -9.747, 2.210 sec/game, 7.7 min. total, 518.1 MB
annuity_bulge v5 240 games, 182481 moves, e=0.819, loss: 7.6, +, 38.0% elo% vs. random_no_suicide, avg. reward: -9.723, 2.243 sec/game, 7.7 min. total, 514.8 MB
annuity_bulge v5 241 games, 183332 moves, e=0.819, loss: 7.5, -, 36.4% elo% vs. random_no_suicide, avg. reward: -9.727, 2.222 sec/game, 7.7 min. total, 518.3 MB
annuity_bulge v5 242 games, 184192 moves, e=0.818, loss: 8.3, ., 37.0% elo% vs. random_no_suicide, avg. reward: -9.714, 2.217 sec/game, 7.8 min. total, 514.8 MB
annuity_bulge v5 243 games, 184993 moves, e=0.817, loss: 8.4, -, 35.4% elo% vs. random_no_suicide, avg. reward: -9.706, 2.200 sec/game, 7.8 min. total, 518.3 MB
annuity_bulge v5 244 games, 185825 moves, e=0.816, loss: 8.5, -, 33.9% elo% vs. random_no_suicide, avg. reward: -9.718, 2.180 sec/game, 7.8 min. total, 517.1 MB
annuity_bulge v5 245 games, 186591 moves, e=0.815, loss: 8.4, +, 36.7% elo% vs. random_no_suicide, avg. reward: -9.721, 2.181 sec/game, 7.9 min. total, 515.4 MB
annuity_bulge v5 246 games, 187361 moves, e=0.815, loss: 8.3, +, 39.4% elo% vs. random_no_suicide, avg. reward: -9.730, 2.194 sec/game, 7.9 min. total, 515.5 MB
annuity_bulge v5 247 games, 188144 moves, e=0.814, loss: 8.4, -, 37.7% elo% vs. random_no_suicide, avg. reward: -9.748, 2.182 sec/game, 8.0 min. total, 516.1 MB
annuity_bulge v5 248 games, 188960 moves, e=0.813, loss: 8.3, -, 36.1% elo% vs. random_no_suicide, avg. reward: -9.738, 2.200 sec/game, 8.0 min. total, 519.5 MB
annuity_bulge v5 249 games, 189724 moves, e=0.812, loss: 8.4, -, 34.6% elo% vs. random_no_suicide, avg. reward: -9.742, 2.191 sec/game, 8.0 min. total, 510.3 MB
annuity_bulge v5 250 games, 190541 moves, e=0.811, loss: 8.1, -, 33.2% elo% vs. random_no_suicide, avg. reward: -9.741, 2.206 sec/game, 8.1 min. total, 510.9 MB
annuity_bulge v5 251 games, 191375 moves, e=0.811, loss: 8.0, -, 31.8% elo% vs. random_no_suicide, avg. reward: -9.741, 2.217 sec/game, 8.1 min. total, 510.4 MB
annuity_bulge v5 252 games, 192249 moves, e=0.810, loss: 7.7, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.736, 2.221 sec/game, 8.1 min. total, 510.5 MB
annuity_bulge v5 253 games, 193014 moves, e=0.809, loss: 7.5, +, 33.3% elo% vs. random_no_suicide, avg. reward: -9.742, 2.234 sec/game, 8.2 min. total, 510.6 MB
annuity_bulge v5 254 games, 194056 moves, e=0.808, loss: 7.7, ., 34.0% elo% vs. random_no_suicide, avg. reward: -9.712, 2.271 sec/game, 8.2 min. total, 507.4 MB
annuity_bulge v5 255 games, 194851 moves, e=0.807, loss: 7.5, +, 36.8% elo% vs. random_no_suicide, avg. reward: -9.713, 2.271 sec/game, 8.3 min. total, 507.5 MB
annuity_bulge v5 256 games, 195511 moves, e=0.806, loss: 7.3, -, 35.2% elo% vs. random_no_suicide, avg. reward: -9.744, 2.247 sec/game, 8.3 min. total, 510.8 MB
annuity_bulge v5 257 games, 196273 moves, e=0.806, loss: 7.0, -, 33.8% elo% vs. random_no_suicide, avg. reward: -9.752, 2.246 sec/game, 8.3 min. total, 508.5 MB
annuity_bulge v5 258 games, 197071 moves, e=0.805, loss: 7.2, +, 36.6% elo% vs. random_no_suicide, avg. reward: -9.760, 2.258 sec/game, 8.4 min. total, 511.7 MB
annuity_bulge v5 259 games, 197966 moves, e=0.804, loss: 7.2, -, 35.0% elo% vs. random_no_suicide, avg. reward: -9.762, 2.266 sec/game, 8.4 min. total, 509.5 MB
annuity_bulge v5 260 games, 198848 moves, e=0.803, loss: 7.2, +, 37.8% elo% vs. random_no_suicide, avg. reward: -9.755, 2.268 sec/game, 8.4 min. total, 509.2 MB
annuity_bulge v5 261 games, 199800 moves, e=0.802, loss: 7.2, +, 40.5% elo% vs. random_no_suicide, avg. reward: -9.739, 2.269 sec/game, 8.5 min. total, 509.2 MB
annuity_bulge v5 262 games, 200589 moves, e=0.801, loss: 7.3, +, 43.2% elo% vs. random_no_suicide, avg. reward: -9.746, 2.275 sec/game, 8.5 min. total, 509.4 MB
annuity_bulge v5 263 games, 201441 moves, e=0.801, loss: 7.4, -, 41.2% elo% vs. random_no_suicide, avg. reward: -9.734, 2.280 sec/game, 8.6 min. total, 509.6 MB
annuity_bulge v5 264 games, 202208 moves, e=0.800, loss: 7.6, -, 39.4% elo% vs. random_no_suicide, avg. reward: -9.734, 2.281 sec/game, 8.6 min. total, 511.6 MB
annuity_bulge v5 265 games, 203050 moves, e=0.799, loss: 7.7, -, 37.7% elo% vs. random_no_suicide, avg. reward: -9.720, 2.295 sec/game, 8.6 min. total, 509.7 MB
annuity_bulge v5 266 games, 203912 moves, e=0.798, loss: 8.1, -, 36.1% elo% vs. random_no_suicide, avg. reward: -9.727, 2.310 sec/game, 8.7 min. total, 514.1 MB
annuity_bulge v5 267 games, 204676 moves, e=0.797, loss: 8.1, -, 34.6% elo% vs. random_no_suicide, avg. reward: -9.732, 2.310 sec/game, 8.7 min. total, 514.6 MB
annuity_bulge v5 268 games, 205500 moves, e=0.797, loss: 8.1, -, 33.1% elo% vs. random_no_suicide, avg. reward: -9.717, 2.297 sec/game, 8.8 min. total, 516.0 MB
annuity_bulge v5 269 games, 206373 moves, e=0.796, loss: 7.9, -, 31.8% elo% vs. random_no_suicide, avg. reward: -9.715, 2.315 sec/game, 8.8 min. total, 512.9 MB
annuity_bulge v5 270 games, 207073 moves, e=0.795, loss: 8.3, -, 30.5% elo% vs. random_no_suicide, avg. reward: -9.740, 2.308 sec/game, 8.8 min. total, 512.9 MB
annuity_bulge v5 271 games, 208028 moves, e=0.794, loss: 8.6, -, 29.4% elo% vs. random_no_suicide, avg. reward: -9.705, 2.330 sec/game, 8.9 min. total, 516.3 MB
annuity_bulge v5 272 games, 208797 moves, e=0.793, loss: 8.7, -, 28.2% elo% vs. random_no_suicide, avg. reward: -9.710, 2.327 sec/game, 8.9 min. total, 516.2 MB
annuity_bulge v5 273 games, 209575 moves, e=0.793, loss: 8.7, -, 27.2% elo% vs. random_no_suicide, avg. reward: -9.724, 2.329 sec/game, 9.0 min. total, 516.3 MB
annuity_bulge v5 274 games, 210493 moves, e=0.792, loss: 8.5, -, 26.2% elo% vs. random_no_suicide, avg. reward: -9.704, 2.298 sec/game, 9.0 min. total, 516.4 MB
annuity_bulge v5 275 games, 211216 moves, e=0.791, loss: 8.6, ., 27.1% elo% vs. random_no_suicide, avg. reward: -9.718, 2.301 sec/game, 9.0 min. total, 513.1 MB
annuity_bulge v5 276 games, 212002 moves, e=0.790, loss: 8.4, -, 26.1% elo% vs. random_no_suicide, avg. reward: -9.701, 2.312 sec/game, 9.1 min. total, 517.2 MB
annuity_bulge v5 277 games, 212908 moves, e=0.789, loss: 8.4, -, 25.2% elo% vs. random_no_suicide, avg. reward: -9.691, 2.331 sec/game, 9.1 min. total, 517.0 MB
annuity_bulge v5 278 games, 213698 moves, e=0.788, loss: 8.5, -, 24.3% elo% vs. random_no_suicide, avg. reward: -9.699, 2.328 sec/game, 9.1 min. total, 518.4 MB
annuity_bulge v5 279 games, 214623 moves, e=0.788, loss: 7.9, -, 23.5% elo% vs. random_no_suicide, avg. reward: -9.676, 2.334 sec/game, 9.2 min. total, 518.0 MB
annuity_bulge v5 280 games, 215367 moves, e=0.787, loss: 7.9, -, 22.7% elo% vs. random_no_suicide, avg. reward: -9.675, 2.316 sec/game, 9.2 min. total, 516.9 MB
annuity_bulge v5 281 games, 216331 moves, e=0.786, loss: 8.0, -, 22.0% elo% vs. random_no_suicide, avg. reward: -9.661, 2.331 sec/game, 9.3 min. total, 516.8 MB
annuity_bulge v5 282 games, 217239 moves, e=0.785, loss: 8.2, -, 21.3% elo% vs. random_no_suicide, avg. reward: -9.649, 2.329 sec/game, 9.3 min. total, 516.9 MB
annuity_bulge v5 283 games, 218108 moves, e=0.784, loss: 8.1, -, 20.7% elo% vs. random_no_suicide, avg. reward: -9.631, 2.332 sec/game, 9.3 min. total, 515.2 MB
annuity_bulge v5 284 games, 218945 moves, e=0.783, loss: 7.9, -, 20.1% elo% vs. random_no_suicide, avg. reward: -9.630, 2.343 sec/game, 9.4 min. total, 518.5 MB
annuity_bulge v5 285 games, 219942 moves, e=0.782, loss: 7.4, +, 22.5% elo% vs. random_no_suicide, avg. reward: -9.618, 2.362 sec/game, 9.4 min. total, 516.5 MB
annuity_bulge v5 286 games, 220806 moves, e=0.781, loss: 7.1, -, 21.8% elo% vs. random_no_suicide, avg. reward: -9.611, 2.369 sec/game, 9.5 min. total, 519.5 MB
annuity_bulge v5 287 games, 221645 moves, e=0.781, loss: 6.9, -, 21.1% elo% vs. random_no_suicide, avg. reward: -9.599, 2.371 sec/game, 9.5 min. total, 519.6 MB
annuity_bulge v5 288 games, 222363 moves, e=0.780, loss: 6.8, +, 23.6% elo% vs. random_no_suicide, avg. reward: -9.604, 2.362 sec/game, 9.5 min. total, 516.3 MB
annuity_bulge v5 289 games, 223187 moves, e=0.779, loss: 6.7, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.595, 2.351 sec/game, 9.6 min. total, 516.5 MB
annuity_bulge v5 290 games, 223969 moves, e=0.778, loss: 6.6, -, 22.1% elo% vs. random_no_suicide, avg. reward: -9.577, 2.361 sec/game, 9.6 min. total, 519.8 MB
annuity_bulge v5 291 games, 224699 moves, e=0.778, loss: 6.9, +, 24.7% elo% vs. random_no_suicide, avg. reward: -9.574, 2.328 sec/game, 9.7 min. total, 516.5 MB
annuity_bulge v5 292 games, 225562 moves, e=0.777, loss: 7.4, -, 23.9% elo% vs. random_no_suicide, avg. reward: -9.567, 2.344 sec/game, 9.7 min. total, 517.1 MB
annuity_bulge v5 293 games, 226386 moves, e=0.776, loss: 7.4, -, 23.1% elo% vs. random_no_suicide, avg. reward: -9.571, 2.344 sec/game, 9.7 min. total, 520.5 MB
annuity_bulge v5 294 games, 227245 moves, e=0.775, loss: 7.3, -, 22.3% elo% vs. random_no_suicide, avg. reward: -9.561, 2.341 sec/game, 9.8 min. total, 520.5 MB
