stegosaur_undermine v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.1 MB
stegosaur_undermine v3 34 games, 24560 moves, e=0.976, loss: 8.0, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.852, 1.255 sec/game, 0.5 min. total, 473.9 MB
stegosaur_undermine v3 35 games, 25250 moves, e=0.975, loss: 7.7, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.865, 1.265 sec/game, 0.5 min. total, 475.7 MB
stegosaur_undermine v3 36 games, 25868 moves, e=0.974, loss: 7.0, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.912, 1.261 sec/game, 0.5 min. total, 474.7 MB
stegosaur_undermine v3 37 games, 26511 moves, e=0.974, loss: 7.2, -, 28.3% elo% vs. random_no_suicide, avg. reward: -9.924, 1.253 sec/game, 0.5 min. total, 474.7 MB
stegosaur_undermine v3 38 games, 27146 moves, e=0.973, loss: 6.9, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.953, 1.253 sec/game, 0.6 min. total, 476.0 MB
stegosaur_undermine v3 39 games, 27924 moves, e=0.972, loss: 7.1, -, 26.3% elo% vs. random_no_suicide, avg. reward: -9.929, 1.256 sec/game, 0.6 min. total, 477.9 MB
stegosaur_undermine v3 40 games, 28604 moves, e=0.972, loss: 6.8, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.937, 1.257 sec/game, 0.6 min. total, 478.3 MB
stegosaur_undermine v3 41 games, 29258 moves, e=0.971, loss: 6.9, -, 24.5% elo% vs. random_no_suicide, avg. reward: -9.959, 1.247 sec/game, 0.6 min. total, 478.2 MB
stegosaur_undermine v3 42 games, 30186 moves, e=0.970, loss: 6.0, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.888, 1.258 sec/game, 0.7 min. total, 478.1 MB
stegosaur_undermine v3 43 games, 30801 moves, e=0.970, loss: 6.4, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.924, 1.250 sec/game, 0.7 min. total, 477.8 MB
stegosaur_undermine v3 44 games, 31522 moves, e=0.969, loss: 6.1, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.920, 1.252 sec/game, 0.7 min. total, 477.0 MB
stegosaur_undermine v3 45 games, 32209 moves, e=0.968, loss: 5.9, -, 21.5% elo% vs. random_no_suicide, avg. reward: -9.935, 1.249 sec/game, 0.7 min. total, 476.9 MB
stegosaur_undermine v3 46 games, 32852 moves, e=0.967, loss: 6.4, -, 20.8% elo% vs. random_no_suicide, avg. reward: -9.951, 1.244 sec/game, 0.7 min. total, 477.7 MB
stegosaur_undermine v3 47 games, 33567 moves, e=0.967, loss: 6.0, -, 20.2% elo% vs. random_no_suicide, avg. reward: -9.949, 1.243 sec/game, 0.8 min. total, 478.2 MB
stegosaur_undermine v3 48 games, 34316 moves, e=0.966, loss: 5.8, +, 22.7% elo% vs. random_no_suicide, avg. reward: -9.930, 1.243 sec/game, 0.8 min. total, 479.0 MB
stegosaur_undermine v3 49 games, 35055 moves, e=0.965, loss: 5.9, -, 21.9% elo% vs. random_no_suicide, avg. reward: -9.918, 1.238 sec/game, 0.8 min. total, 481.7 MB
stegosaur_undermine v3 50 games, 35829 moves, e=0.965, loss: 6.4, -, 21.2% elo% vs. random_no_suicide, avg. reward: -9.902, 1.239 sec/game, 0.8 min. total, 482.5 MB
stegosaur_undermine v3 51 games, 36604 moves, e=0.964, loss: 6.9, -, 20.6% elo% vs. random_no_suicide, avg. reward: -9.874, 1.251 sec/game, 0.8 min. total, 482.8 MB
stegosaur_undermine v3 52 games, 37330 moves, e=0.963, loss: 6.7, +, 23.1% elo% vs. random_no_suicide, avg. reward: -9.870, 1.261 sec/game, 0.9 min. total, 481.2 MB
stegosaur_undermine v3 53 games, 38043 moves, e=0.962, loss: 6.7, -, 22.3% elo% vs. random_no_suicide, avg. reward: -9.877, 1.259 sec/game, 0.9 min. total, 482.0 MB
stegosaur_undermine v3 54 games, 38888 moves, e=0.962, loss: 6.2, -, 21.6% elo% vs. random_no_suicide, avg. reward: -9.846, 1.273 sec/game, 0.9 min. total, 481.4 MB
stegosaur_undermine v3 55 games, 39616 moves, e=0.961, loss: 6.6, -, 21.0% elo% vs. random_no_suicide, avg. reward: -9.850, 1.274 sec/game, 0.9 min. total, 483.0 MB
stegosaur_undermine v3 56 games, 40499 moves, e=0.960, loss: 5.7, -, 20.3% elo% vs. random_no_suicide, avg. reward: -9.813, 1.295 sec/game, 1.0 min. total, 482.9 MB
stegosaur_undermine v3 57 games, 41205 moves, e=0.959, loss: 5.6, -, 19.7% elo% vs. random_no_suicide, avg. reward: -9.816, 1.300 sec/game, 1.0 min. total, 481.8 MB
stegosaur_undermine v3 58 games, 42022 moves, e=0.958, loss: 5.8, -, 19.2% elo% vs. random_no_suicide, avg. reward: -9.792, 1.323 sec/game, 1.0 min. total, 482.9 MB
stegosaur_undermine v3 59 games, 42777 moves, e=0.958, loss: 6.5, -, 18.6% elo% vs. random_no_suicide, avg. reward: -9.779, 1.326 sec/game, 1.0 min. total, 483.6 MB
stegosaur_undermine v3 60 games, 43483 moves, e=0.957, loss: 6.1, -, 18.1% elo% vs. random_no_suicide, avg. reward: -9.785, 1.337 sec/game, 1.1 min. total, 483.7 MB
stegosaur_undermine v3 61 games, 44220 moves, e=0.956, loss: 5.8, -, 17.6% elo% vs. random_no_suicide, avg. reward: -9.773, 1.350 sec/game, 1.1 min. total, 485.1 MB
stegosaur_undermine v3 62 games, 44955 moves, e=0.955, loss: 5.9, -, 17.2% elo% vs. random_no_suicide, avg. reward: -9.768, 1.339 sec/game, 1.1 min. total, 484.4 MB
stegosaur_undermine v3 63 games, 45670 moves, e=0.955, loss: 5.7, -, 16.7% elo% vs. random_no_suicide, avg. reward: -9.769, 1.342 sec/game, 1.1 min. total, 485.1 MB
stegosaur_undermine v3 64 games, 46408 moves, e=0.954, loss: 6.5, -, 16.3% elo% vs. random_no_suicide, avg. reward: -9.762, 1.347 sec/game, 1.1 min. total, 483.5 MB
stegosaur_undermine v3 65 games, 47081 moves, e=0.953, loss: 5.8, -, 15.9% elo% vs. random_no_suicide, avg. reward: -9.775, 1.351 sec/game, 1.2 min. total, 484.8 MB
stegosaur_undermine v3 66 games, 47870 moves, e=0.953, loss: 6.0, -, 15.5% elo% vs. random_no_suicide, avg. reward: -9.764, 1.363 sec/game, 1.2 min. total, 484.8 MB
stegosaur_undermine v3 67 games, 48662 moves, e=0.952, loss: 6.2, -, 15.1% elo% vs. random_no_suicide, avg. reward: -9.754, 1.375 sec/game, 1.2 min. total, 483.9 MB
stegosaur_undermine v3 68 games, 49394 moves, e=0.951, loss: 7.0, -, 14.8% elo% vs. random_no_suicide, avg. reward: -9.750, 1.370 sec/game, 1.2 min. total, 483.8 MB
stegosaur_undermine v3 69 games, 50080 moves, e=0.950, loss: 7.4, -, 14.4% elo% vs. random_no_suicide, avg. reward: -9.760, 1.380 sec/game, 1.3 min. total, 485.4 MB
stegosaur_undermine v3 70 games, 50810 moves, e=0.950, loss: 7.0, -, 14.1% elo% vs. random_no_suicide, avg. reward: -9.759, 1.376 sec/game, 1.3 min. total, 486.4 MB
stegosaur_undermine v3 71 games, 51539 moves, e=0.949, loss: 7.2, -, 13.8% elo% vs. random_no_suicide, avg. reward: -9.760, 1.377 sec/game, 1.3 min. total, 485.8 MB
stegosaur_undermine v3 72 games, 52386 moves, e=0.948, loss: 7.8, -, 13.5% elo% vs. random_no_suicide, avg. reward: -9.739, 1.390 sec/game, 1.3 min. total, 487.4 MB
stegosaur_undermine v3 73 games, 53183 moves, e=0.947, loss: 7.4, -, 13.2% elo% vs. random_no_suicide, avg. reward: -9.730, 1.401 sec/game, 1.4 min. total, 486.4 MB
stegosaur_undermine v3 74 games, 53904 moves, e=0.947, loss: 7.4, -, 12.9% elo% vs. random_no_suicide, avg. reward: -9.728, 1.405 sec/game, 1.4 min. total, 487.0 MB
stegosaur_undermine v3 75 games, 54540 moves, e=0.946, loss: 7.7, -, 12.7% elo% vs. random_no_suicide, avg. reward: -9.746, 1.397 sec/game, 1.4 min. total, 487.7 MB
stegosaur_undermine v3 76 games, 55330 moves, e=0.945, loss: 7.4, -, 12.4% elo% vs. random_no_suicide, avg. reward: -9.736, 1.388 sec/game, 1.4 min. total, 487.5 MB
stegosaur_undermine v3 77 games, 56082 moves, e=0.944, loss: 7.8, -, 12.2% elo% vs. random_no_suicide, avg. reward: -9.733, 1.398 sec/game, 1.4 min. total, 486.7 MB
stegosaur_undermine v3 78 games, 56816 moves, e=0.944, loss: 8.3, -, 11.9% elo% vs. random_no_suicide, avg. reward: -9.727, 1.380 sec/game, 1.5 min. total, 486.4 MB
stegosaur_undermine v3 79 games, 57529 moves, e=0.943, loss: 7.2, +, 13.7% elo% vs. random_no_suicide, avg. reward: -9.736, 1.379 sec/game, 1.5 min. total, 486.8 MB
stegosaur_undermine v3 80 games, 58291 moves, e=0.942, loss: 6.9, -, 13.4% elo% vs. random_no_suicide, avg. reward: -9.731, 1.383 sec/game, 1.5 min. total, 486.4 MB
stegosaur_undermine v3 81 games, 59077 moves, e=0.942, loss: 7.2, -, 13.2% elo% vs. random_no_suicide, avg. reward: -9.721, 1.385 sec/game, 1.5 min. total, 488.1 MB
stegosaur_undermine v3 82 games, 59851 moves, e=0.941, loss: 7.0, +, 15.1% elo% vs. random_no_suicide, avg. reward: -9.717, 1.385 sec/game, 1.6 min. total, 488.2 MB
stegosaur_undermine v3 83 games, 60686 moves, e=0.940, loss: 6.9, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.699, 1.408 sec/game, 1.6 min. total, 489.5 MB
