stegosaur_undermine v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.1 MB
stegosaur_undermine v4 144 games, 107085 moves, e=0.894, loss: 6.2, -, 33.1% elo% vs. random_no_suicide, avg. reward: -9.324, 1.491 sec/game, 3.1 min. total, 500.0 MB
stegosaur_undermine v4 145 games, 107961 moves, e=0.893, loss: 7.0, +, 35.8% elo% vs. random_no_suicide, avg. reward: -9.296, 1.503 sec/game, 3.1 min. total, 498.8 MB
stegosaur_undermine v4 146 games, 108838 moves, e=0.892, loss: 6.8, +, 38.6% elo% vs. random_no_suicide, avg. reward: -9.263, 1.519 sec/game, 3.1 min. total, 500.1 MB
stegosaur_undermine v4 147 games, 109622 moves, e=0.891, loss: 6.5, -, 36.9% elo% vs. random_no_suicide, avg. reward: -9.253, 1.523 sec/game, 3.2 min. total, 500.1 MB
stegosaur_undermine v4 148 games, 110472 moves, e=0.891, loss: 6.9, -, 35.4% elo% vs. random_no_suicide, avg. reward: -9.242, 1.519 sec/game, 3.2 min. total, 501.1 MB
stegosaur_undermine v4 149 games, 111314 moves, e=0.890, loss: 7.1, -, 33.9% elo% vs. random_no_suicide, avg. reward: -9.232, 1.525 sec/game, 3.2 min. total, 502.1 MB
stegosaur_undermine v4 150 games, 112146 moves, e=0.889, loss: 6.7, +, 36.7% elo% vs. random_no_suicide, avg. reward: -9.227, 1.547 sec/game, 3.2 min. total, 501.3 MB
stegosaur_undermine v4 151 games, 113015 moves, e=0.888, loss: 7.0, +, 39.4% elo% vs. random_no_suicide, avg. reward: -9.222, 1.546 sec/game, 3.3 min. total, 501.1 MB
stegosaur_undermine v4 152 games, 113912 moves, e=0.887, loss: 6.5, +, 42.1% elo% vs. random_no_suicide, avg. reward: -9.202, 1.560 sec/game, 3.3 min. total, 501.2 MB
stegosaur_undermine v4 153 games, 114763 moves, e=0.886, loss: 6.5, +, 44.7% elo% vs. random_no_suicide, avg. reward: -9.183, 1.561 sec/game, 3.3 min. total, 500.9 MB
stegosaur_undermine v4 154 games, 115507 moves, e=0.886, loss: 6.7, +, 47.3% elo% vs. random_no_suicide, avg. reward: -9.193, 1.570 sec/game, 3.3 min. total, 502.2 MB
stegosaur_undermine v4 155 games, 116245 moves, e=0.885, loss: 6.5, -, 45.1% elo% vs. random_no_suicide, avg. reward: -9.187, 1.571 sec/game, 3.4 min. total, 502.5 MB
stegosaur_undermine v4 156 games, 116930 moves, e=0.884, loss: 6.6, -, 43.0% elo% vs. random_no_suicide, avg. reward: -9.214, 1.557 sec/game, 3.4 min. total, 501.7 MB
stegosaur_undermine v4 157 games, 117695 moves, e=0.883, loss: 6.3, -, 41.1% elo% vs. random_no_suicide, avg. reward: -9.205, 1.556 sec/game, 3.4 min. total, 503.3 MB
stegosaur_undermine v4 158 games, 118519 moves, e=0.883, loss: 6.0, -, 39.3% elo% vs. random_no_suicide, avg. reward: -9.203, 1.558 sec/game, 3.4 min. total, 503.3 MB
stegosaur_undermine v4 159 games, 119314 moves, e=0.882, loss: 5.6, -, 37.6% elo% vs. random_no_suicide, avg. reward: -9.199, 1.580 sec/game, 3.5 min. total, 504.0 MB
stegosaur_undermine v4 160 games, 120178 moves, e=0.881, loss: 5.7, -, 36.0% elo% vs. random_no_suicide, avg. reward: -9.178, 1.575 sec/game, 3.5 min. total, 504.5 MB
stegosaur_undermine v4 161 games, 120999 moves, e=0.880, loss: 5.5, -, 34.5% elo% vs. random_no_suicide, avg. reward: -9.172, 1.594 sec/game, 3.5 min. total, 504.5 MB
stegosaur_undermine v4 162 games, 121767 moves, e=0.879, loss: 5.5, +, 37.2% elo% vs. random_no_suicide, avg. reward: -9.171, 1.597 sec/game, 3.5 min. total, 503.4 MB
stegosaur_undermine v4 163 games, 122529 moves, e=0.879, loss: 5.6, -, 35.6% elo% vs. random_no_suicide, avg. reward: -9.167, 1.598 sec/game, 3.6 min. total, 503.5 MB
stegosaur_undermine v4 164 games, 123401 moves, e=0.878, loss: 5.7, -, 34.2% elo% vs. random_no_suicide, avg. reward: -9.153, 1.613 sec/game, 3.6 min. total, 502.9 MB
stegosaur_undermine v4 165 games, 124185 moves, e=0.877, loss: 6.2, +, 36.9% elo% vs. random_no_suicide, avg. reward: -9.136, 1.605 sec/game, 3.6 min. total, 504.7 MB
stegosaur_undermine v4 166 games, 125088 moves, e=0.876, loss: 6.2, +, 39.7% elo% vs. random_no_suicide, avg. reward: -9.122, 1.606 sec/game, 3.7 min. total, 505.7 MB
stegosaur_undermine v4 167 games, 125866 moves, e=0.875, loss: 5.9, +, 42.4% elo% vs. random_no_suicide, avg. reward: -9.122, 1.611 sec/game, 3.7 min. total, 506.0 MB
stegosaur_undermine v4 168 games, 126767 moves, e=0.875, loss: 5.7, -, 40.5% elo% vs. random_no_suicide, avg. reward: -9.100, 1.615 sec/game, 3.7 min. total, 505.9 MB
stegosaur_undermine v4 169 games, 127598 moves, e=0.874, loss: 5.7, +, 43.1% elo% vs. random_no_suicide, avg. reward: -9.079, 1.610 sec/game, 3.7 min. total, 505.7 MB
stegosaur_undermine v4 170 games, 128483 moves, e=0.873, loss: 5.6, +, 45.7% elo% vs. random_no_suicide, avg. reward: -9.060, 1.615 sec/game, 3.8 min. total, 505.7 MB
stegosaur_undermine v4 171 games, 129445 moves, e=0.872, loss: 6.0, +, 48.2% elo% vs. random_no_suicide, avg. reward: -9.031, 1.637 sec/game, 3.8 min. total, 506.1 MB
stegosaur_undermine v4 172 games, 130309 moves, e=0.871, loss: 5.6, +, 50.6% elo% vs. random_no_suicide, avg. reward: -9.027, 1.636 sec/game, 3.8 min. total, 506.1 MB
stegosaur_undermine v4 173 games, 131012 moves, e=0.870, loss: 5.3, +, 52.9% elo% vs. random_no_suicide, avg. reward: -9.038, 1.616 sec/game, 3.9 min. total, 509.7 MB
stegosaur_undermine v4 174 games, 131837 moves, e=0.869, loss: 5.2, +, 55.0% elo% vs. random_no_suicide, avg. reward: -9.030, 1.620 sec/game, 3.9 min. total, 506.4 MB
stegosaur_undermine v4 175 games, 132640 moves, e=0.869, loss: 5.1, +, 57.1% elo% vs. random_no_suicide, avg. reward: -9.008, 1.635 sec/game, 3.9 min. total, 510.1 MB
stegosaur_undermine v4 176 games, 133404 moves, e=0.868, loss: 5.3, +, 59.0% elo% vs. random_no_suicide, avg. reward: -9.013, 1.647 sec/game, 3.9 min. total, 507.8 MB
stegosaur_undermine v4 177 games, 134205 moves, e=0.867, loss: 4.8, +, 60.8% elo% vs. random_no_suicide, avg. reward: -9.007, 1.660 sec/game, 4.0 min. total, 506.9 MB
stegosaur_undermine v4 178 games, 134980 moves, e=0.866, loss: 4.7, +, 62.5% elo% vs. random_no_suicide, avg. reward: -9.001, 1.671 sec/game, 4.0 min. total, 506.9 MB
stegosaur_undermine v4 179 games, 135698 moves, e=0.866, loss: 5.0, +, 64.1% elo% vs. random_no_suicide, avg. reward: -8.995, 1.664 sec/game, 4.0 min. total, 506.7 MB
stegosaur_undermine v4 180 games, 136570 moves, e=0.865, loss: 4.8, +, 65.6% elo% vs. random_no_suicide, avg. reward: -8.984, 1.676 sec/game, 4.1 min. total, 506.7 MB
stegosaur_undermine v4 181 games, 137342 moves, e=0.864, loss: 4.8, +, 67.0% elo% vs. random_no_suicide, avg. reward: -8.987, 1.671 sec/game, 4.1 min. total, 506.7 MB
stegosaur_undermine v4 182 games, 138253 moves, e=0.863, loss: 5.3, +, 68.4% elo% vs. random_no_suicide, avg. reward: -8.971, 1.700 sec/game, 4.1 min. total, 506.9 MB
stegosaur_undermine v4 183 games, 139082 moves, e=0.862, loss: 5.0, +, 69.6% elo% vs. random_no_suicide, avg. reward: -8.973, 1.705 sec/game, 4.1 min. total, 509.4 MB
stegosaur_undermine v4 184 games, 139980 moves, e=0.861, loss: 5.0, +, 70.8% elo% vs. random_no_suicide, avg. reward: -8.961, 1.707 sec/game, 4.2 min. total, 508.0 MB
stegosaur_undermine v5 185 games, 140809 moves, e=0.861, loss: 5.0, -, 49.9% elo% vs. simple_bot, avg. reward: -8.959, 1.713 sec/game, 4.2 min. total, 508.7 MB
stegosaur_undermine v5 186 games, 141581 moves, e=0.860, loss: 4.9, -, 47.6% elo% vs. simple_bot, avg. reward: -8.968, 1.701 sec/game, 4.2 min. total, 508.8 MB
stegosaur_undermine v5 187 games, 142511 moves, e=0.859, loss: 4.8, -, 45.4% elo% vs. simple_bot, avg. reward: -8.938, 1.708 sec/game, 4.3 min. total, 510.0 MB
stegosaur_undermine v5 188 games, 143333 moves, e=0.858, loss: 4.7, -, 43.4% elo% vs. simple_bot, avg. reward: -8.939, 1.699 sec/game, 4.3 min. total, 510.8 MB
stegosaur_undermine v5 189 games, 144245 moves, e=0.857, loss: 4.7, -, 41.4% elo% vs. simple_bot, avg. reward: -8.918, 1.710 sec/game, 4.3 min. total, 511.7 MB
stegosaur_undermine v5 190 games, 145042 moves, e=0.856, loss: 4.4, -, 39.6% elo% vs. simple_bot, avg. reward: -8.916, 1.707 sec/game, 4.3 min. total, 515.0 MB
stegosaur_undermine v5 191 games, 145852 moves, e=0.856, loss: 4.5, -, 37.8% elo% vs. simple_bot, avg. reward: -8.900, 1.687 sec/game, 4.4 min. total, 513.6 MB
stegosaur_undermine v5 192 games, 146752 moves, e=0.855, loss: 5.1, -, 36.2% elo% vs. simple_bot, avg. reward: -8.876, 1.692 sec/game, 4.4 min. total, 515.1 MB
stegosaur_undermine v5 193 games, 147485 moves, e=0.854, loss: 4.8, -, 34.7% elo% vs. simple_bot, avg. reward: -8.885, 1.707 sec/game, 4.4 min. total, 513.8 MB
stegosaur_undermine v5 194 games, 148383 moves, e=0.853, loss: 4.8, -, 33.3% elo% vs. simple_bot, avg. reward: -8.874, 1.722 sec/game, 4.5 min. total, 513.6 MB
stegosaur_undermine v5 195 games, 149182 moves, e=0.852, loss: 5.0, -, 31.9% elo% vs. simple_bot, avg. reward: -8.854, 1.709 sec/game, 4.5 min. total, 515.7 MB
stegosaur_undermine v5 196 games, 150116 moves, e=0.851, loss: 5.0, -, 30.6% elo% vs. simple_bot, avg. reward: -8.850, 1.725 sec/game, 4.5 min. total, 515.6 MB
stegosaur_undermine v5 197 games, 150900 moves, e=0.851, loss: 5.2, -, 29.5% elo% vs. simple_bot, avg. reward: -8.851, 1.718 sec/game, 4.5 min. total, 516.7 MB
stegosaur_undermine v5 198 games, 151714 moves, e=0.850, loss: 5.2, -, 28.3% elo% vs. simple_bot, avg. reward: -8.839, 1.716 sec/game, 4.6 min. total, 516.2 MB
stegosaur_undermine v5 199 games, 152494 moves, e=0.849, loss: 5.2, -, 27.3% elo% vs. simple_bot, avg. reward: -8.819, 1.715 sec/game, 4.6 min. total, 516.7 MB
stegosaur_undermine v5 200 games, 153269 moves, e=0.848, loss: 5.2, -, 26.3% elo% vs. simple_bot, avg. reward: -8.809, 1.703 sec/game, 4.6 min. total, 516.6 MB
stegosaur_undermine v6 201 games, 154016 moves, e=0.848, loss: 5.2, -, 47.7% elo% vs. simple_bot, avg. reward: -8.813, 1.700 sec/game, 4.6 min. total, 516.6 MB
stegosaur_undermine v6 202 games, 154878 moves, e=0.847, loss: 5.0, -, 45.5% elo% vs. simple_bot, avg. reward: -8.800, 1.674 sec/game, 4.7 min. total, 516.9 MB
stegosaur_undermine v6 203 games, 155803 moves, e=0.846, loss: 4.5, -, 43.4% elo% vs. simple_bot, avg. reward: -8.782, 1.692 sec/game, 4.7 min. total, 516.2 MB
stegosaur_undermine v6 204 games, 156636 moves, e=0.845, loss: 4.6, -, 41.5% elo% vs. simple_bot, avg. reward: -8.780, 1.679 sec/game, 4.7 min. total, 517.0 MB
stegosaur_undermine v6 205 games, 157459 moves, e=0.844, loss: 4.9, -, 39.6% elo% vs. simple_bot, avg. reward: -8.768, 1.685 sec/game, 4.8 min. total, 516.9 MB
stegosaur_undermine v6 206 games, 158379 moves, e=0.843, loss: 4.6, -, 37.9% elo% vs. simple_bot, avg. reward: -8.758, 1.709 sec/game, 4.8 min. total, 516.7 MB
stegosaur_undermine v6 207 games, 159208 moves, e=0.842, loss: 4.9, -, 36.3% elo% vs. simple_bot, avg. reward: -8.761, 1.698 sec/game, 4.8 min. total, 516.7 MB
stegosaur_undermine v6 208 games, 159937 moves, e=0.842, loss: 4.8, -, 34.8% elo% vs. simple_bot, avg. reward: -8.754, 1.696 sec/game, 4.9 min. total, 516.9 MB
stegosaur_undermine v6 209 games, 160888 moves, e=0.841, loss: 4.8, -, 33.3% elo% vs. simple_bot, avg. reward: -8.737, 1.703 sec/game, 4.9 min. total, 518.5 MB
stegosaur_undermine v6 210 games, 161712 moves, e=0.840, loss: 4.9, -, 32.0% elo% vs. simple_bot, avg. reward: -8.722, 1.705 sec/game, 4.9 min. total, 517.1 MB
stegosaur_undermine v6 211 games, 162329 moves, e=0.839, loss: 4.9, -, 30.7% elo% vs. simple_bot, avg. reward: -8.748, 1.702 sec/game, 4.9 min. total, 517.3 MB
stegosaur_undermine v6 212 games, 163245 moves, e=0.838, loss: 5.2, -, 29.5% elo% vs. simple_bot, avg. reward: -8.733, 1.707 sec/game, 5.0 min. total, 518.9 MB
stegosaur_undermine v6 213 games, 164109 moves, e=0.838, loss: 5.3, -, 28.4% elo% vs. simple_bot, avg. reward: -8.726, 1.720 sec/game, 5.0 min. total, 518.3 MB
stegosaur_undermine v6 214 games, 165035 moves, e=0.837, loss: 5.3, -, 27.3% elo% vs. simple_bot, avg. reward: -8.705, 1.730 sec/game, 5.0 min. total, 519.8 MB
stegosaur_undermine v6 215 games, 166016 moves, e=0.836, loss: 4.5, -, 26.4% elo% vs. simple_bot, avg. reward: -8.684, 1.779 sec/game, 5.1 min. total, 518.6 MB
stegosaur_undermine v6 216 games, 166715 moves, e=0.835, loss: 4.5, -, 25.4% elo% vs. simple_bot, avg. reward: -8.689, 1.755 sec/game, 5.1 min. total, 519.8 MB
stegosaur_undermine v6 217 games, 167616 moves, e=0.834, loss: 4.6, -, 24.5% elo% vs. simple_bot, avg. reward: -8.683, 1.803 sec/game, 5.1 min. total, 509.0 MB
stegosaur_undermine v6 218 games, 168430 moves, e=0.833, loss: 4.6, -, 23.7% elo% vs. simple_bot, avg. reward: -8.674, 1.817 sec/game, 5.2 min. total, 509.0 MB
stegosaur_undermine v6 219 games, 169313 moves, e=0.832, loss: 4.7, -, 22.9% elo% vs. simple_bot, avg. reward: -8.653, 1.853 sec/game, 5.2 min. total, 511.1 MB
stegosaur_undermine v6 220 games, 170205 moves, e=0.831, loss: 4.2, -, 22.2% elo% vs. simple_bot, avg. reward: -8.637, 1.884 sec/game, 5.2 min. total, 511.0 MB
stegosaur_undermine v6 221 games, 171144 moves, e=0.831, loss: 4.6, -, 21.5% elo% vs. simple_bot, avg. reward: -8.620, 1.912 sec/game, 5.3 min. total, 509.7 MB
stegosaur_undermine v6 222 games, 172007 moves, e=0.830, loss: 4.2, -, 20.8% elo% vs. simple_bot, avg. reward: -8.602, 1.967 sec/game, 5.3 min. total, 511.2 MB
stegosaur_undermine v6 223 games, 172843 moves, e=0.829, loss: 4.3, -, 20.2% elo% vs. simple_bot, avg. reward: -8.596, 1.987 sec/game, 5.4 min. total, 510.4 MB
stegosaur_undermine v6 224 games, 173678 moves, e=0.828, loss: 4.3, -, 19.6% elo% vs. simple_bot, avg. reward: -8.586, 2.010 sec/game, 5.4 min. total, 510.7 MB
stegosaur_undermine v6 225 games, 174730 moves, e=0.827, loss: 4.4, -, 19.1% elo% vs. simple_bot, avg. reward: -8.563, 2.058 sec/game, 5.4 min. total, 512.1 MB
stegosaur_undermine v6 226 games, 175656 moves, e=0.826, loss: 4.2, -, 18.5% elo% vs. simple_bot, avg. reward: -8.556, 2.067 sec/game, 5.5 min. total, 512.5 MB
stegosaur_undermine v6 227 games, 176552 moves, e=0.825, loss: 4.5, -, 18.0% elo% vs. simple_bot, avg. reward: -8.546, 2.104 sec/game, 5.5 min. total, 511.9 MB
stegosaur_undermine v6 228 games, 177359 moves, e=0.824, loss: 4.7, -, 17.5% elo% vs. simple_bot, avg. reward: -8.555, 2.124 sec/game, 5.6 min. total, 512.2 MB
stegosaur_undermine v6 229 games, 178211 moves, e=0.824, loss: 4.7, -, 17.1% elo% vs. simple_bot, avg. reward: -8.536, 2.134 sec/game, 5.6 min. total, 512.4 MB
stegosaur_undermine v6 230 games, 178971 moves, e=0.823, loss: 5.0, -, 16.6% elo% vs. simple_bot, avg. reward: -8.526, 2.131 sec/game, 5.6 min. total, 512.6 MB
stegosaur_undermine v6 231 games, 179867 moves, e=0.822, loss: 4.9, -, 16.2% elo% vs. simple_bot, avg. reward: -8.504, 2.165 sec/game, 5.7 min. total, 512.3 MB
stegosaur_undermine v6 232 games, 180820 moves, e=0.821, loss: 5.1, -, 15.8% elo% vs. simple_bot, avg. reward: -8.492, 2.176 sec/game, 5.7 min. total, 513.9 MB
stegosaur_undermine v6 233 games, 181752 moves, e=0.820, loss: 4.8, -, 15.4% elo% vs. simple_bot, avg. reward: -8.480, 2.203 sec/game, 5.7 min. total, 513.9 MB
stegosaur_undermine v6 234 games, 182484 moves, e=0.819, loss: 4.9, -, 15.1% elo% vs. simple_bot, avg. reward: -8.471, 2.209 sec/game, 5.8 min. total, 514.8 MB
stegosaur_undermine v6 235 games, 183466 moves, e=0.818, loss: 4.4, -, 14.7% elo% vs. simple_bot, avg. reward: -8.451, 2.204 sec/game, 5.8 min. total, 514.7 MB
stegosaur_undermine v6 236 games, 184229 moves, e=0.818, loss: 4.5, -, 14.4% elo% vs. simple_bot, avg. reward: -8.453, 2.227 sec/game, 5.8 min. total, 514.8 MB
stegosaur_undermine v6 237 games, 185057 moves, e=0.817, loss: 4.7, -, 14.0% elo% vs. simple_bot, avg. reward: -8.436, 2.221 sec/game, 5.9 min. total, 514.8 MB
stegosaur_undermine v6 238 games, 185878 moves, e=0.816, loss: 4.6, -, 13.7% elo% vs. simple_bot, avg. reward: -8.431, 2.219 sec/game, 5.9 min. total, 514.8 MB
stegosaur_undermine v6 239 games, 186833 moves, e=0.815, loss: 4.9, -, 13.4% elo% vs. simple_bot, avg. reward: -8.390, 2.221 sec/game, 6.0 min. total, 515.7 MB
stegosaur_undermine v6 240 games, 187648 moves, e=0.814, loss: 4.7, -, 13.1% elo% vs. simple_bot, avg. reward: -8.385, 2.228 sec/game, 6.0 min. total, 516.9 MB
stegosaur_undermine v6 241 games, 188493 moves, e=0.813, loss: 4.6, -, 12.9% elo% vs. simple_bot, avg. reward: -8.373, 2.226 sec/game, 6.0 min. total, 516.4 MB
stegosaur_undermine v6 242 games, 189506 moves, e=0.812, loss: 5.0, -, 12.6% elo% vs. simple_bot, avg. reward: -8.337, 2.231 sec/game, 6.1 min. total, 516.3 MB
stegosaur_undermine v6 243 games, 190432 moves, e=0.811, loss: 4.8, -, 12.4% elo% vs. simple_bot, avg. reward: -8.324, 2.222 sec/game, 6.1 min. total, 516.2 MB
stegosaur_undermine v6 244 games, 191314 moves, e=0.811, loss: 5.1, -, 12.1% elo% vs. simple_bot, avg. reward: -8.311, 2.215 sec/game, 6.1 min. total, 516.7 MB
stegosaur_undermine v6 245 games, 192146 moves, e=0.810, loss: 4.9, -, 11.9% elo% vs. simple_bot, avg. reward: -8.312, 2.181 sec/game, 6.2 min. total, 516.7 MB
stegosaur_undermine v6 246 games, 193060 moves, e=0.809, loss: 4.5, -, 11.7% elo% vs. simple_bot, avg. reward: -8.314, 2.163 sec/game, 6.2 min. total, 517.1 MB
stegosaur_undermine v6 247 games, 193950 moves, e=0.808, loss: 4.3, -, 11.4% elo% vs. simple_bot, avg. reward: -8.302, 2.147 sec/game, 6.2 min. total, 519.1 MB
stegosaur_undermine v6 248 games, 194804 moves, e=0.807, loss: 4.2, -, 11.2% elo% vs. simple_bot, avg. reward: -8.306, 2.138 sec/game, 6.3 min. total, 519.9 MB
stegosaur_undermine v6 249 games, 195608 moves, e=0.806, loss: 4.8, -, 11.0% elo% vs. simple_bot, avg. reward: -8.312, 2.130 sec/game, 6.3 min. total, 519.4 MB
stegosaur_undermine v6 250 games, 196545 moves, e=0.805, loss: 4.5, -, 10.8% elo% vs. simple_bot, avg. reward: -8.299, 2.152 sec/game, 6.3 min. total, 519.3 MB
stegosaur_undermine v6 251 games, 197231 moves, e=0.805, loss: 4.4, -, 10.6% elo% vs. simple_bot, avg. reward: -8.321, 2.126 sec/game, 6.4 min. total, 519.0 MB
stegosaur_undermine v6 252 games, 198147 moves, e=0.804, loss: 4.3, -, 10.4% elo% vs. simple_bot, avg. reward: -8.322, 2.141 sec/game, 6.4 min. total, 519.0 MB
stegosaur_undermine v6 253 games, 199025 moves, e=0.803, loss: 4.3, -, 10.3% elo% vs. simple_bot, avg. reward: -8.319, 2.126 sec/game, 6.4 min. total, 519.2 MB
stegosaur_undermine v6 254 games, 199969 moves, e=0.802, loss: 4.0, -, 10.1% elo% vs. simple_bot, avg. reward: -8.297, 2.134 sec/game, 6.5 min. total, 519.7 MB
stegosaur_undermine v6 255 games, 200746 moves, e=0.801, loss: 4.2, -, 9.9% elo% vs. simple_bot, avg. reward: -8.294, 2.104 sec/game, 6.5 min. total, 521.6 MB
stegosaur_undermine v6 256 games, 201607 moves, e=0.800, loss: 4.7, -, 9.8% elo% vs. simple_bot, avg. reward: -8.269, 2.140 sec/game, 6.6 min. total, 520.5 MB
stegosaur_undermine v6 257 games, 202554 moves, e=0.799, loss: 4.9, -, 9.6% elo% vs. simple_bot, avg. reward: -8.250, 2.132 sec/game, 6.6 min. total, 520.4 MB
stegosaur_undermine v6 258 games, 203298 moves, e=0.799, loss: 5.4, -, 9.5% elo% vs. simple_bot, avg. reward: -8.265, 2.125 sec/game, 6.6 min. total, 521.5 MB
stegosaur_undermine v6 259 games, 204192 moves, e=0.798, loss: 5.4, -, 9.3% elo% vs. simple_bot, avg. reward: -8.254, 2.136 sec/game, 6.7 min. total, 520.4 MB
stegosaur_undermine v6 260 games, 205015 moves, e=0.797, loss: 5.2, -, 9.2% elo% vs. simple_bot, avg. reward: -8.258, 2.111 sec/game, 6.7 min. total, 520.4 MB
stegosaur_undermine v6 261 games, 205852 moves, e=0.796, loss: 4.7, -, 9.0% elo% vs. simple_bot, avg. reward: -8.251, 2.105 sec/game, 6.7 min. total, 521.3 MB
stegosaur_undermine v6 262 games, 206880 moves, e=0.795, loss: 4.9, -, 8.9% elo% vs. simple_bot, avg. reward: -8.225, 2.093 sec/game, 6.8 min. total, 523.8 MB
stegosaur_undermine v6 263 games, 207838 moves, e=0.794, loss: 5.2, -, 8.8% elo% vs. simple_bot, avg. reward: -8.200, 2.079 sec/game, 6.8 min. total, 524.9 MB
stegosaur_undermine v6 264 games, 208630 moves, e=0.793, loss: 5.4, -, 8.6% elo% vs. simple_bot, avg. reward: -8.209, 2.067 sec/game, 6.8 min. total, 524.7 MB
stegosaur_undermine v6 265 games, 209580 moves, e=0.793, loss: 5.4, -, 8.5% elo% vs. simple_bot, avg. reward: -8.189, 2.077 sec/game, 6.9 min. total, 525.4 MB
stegosaur_undermine v6 266 games, 210566 moves, e=0.792, loss: 5.6, -, 8.4% elo% vs. simple_bot, avg. reward: -8.184, 2.094 sec/game, 6.9 min. total, 524.2 MB
stegosaur_undermine v6 267 games, 211613 moves, e=0.791, loss: 5.4, -, 8.3% elo% vs. simple_bot, avg. reward: -8.159, 2.099 sec/game, 6.9 min. total, 524.4 MB
stegosaur_undermine v6 268 games, 212414 moves, e=0.790, loss: 5.7, -, 8.1% elo% vs. simple_bot, avg. reward: -8.169, 2.095 sec/game, 7.0 min. total, 525.4 MB
stegosaur_undermine v6 269 games, 213240 moves, e=0.789, loss: 5.3, -, 8.0% elo% vs. simple_bot, avg. reward: -8.170, 2.078 sec/game, 7.0 min. total, 526.7 MB
stegosaur_undermine v6 270 games, 214180 moves, e=0.788, loss: 4.8, -, 7.9% elo% vs. simple_bot, avg. reward: -8.164, 2.075 sec/game, 7.0 min. total, 526.3 MB
stegosaur_undermine v6 271 games, 215131 moves, e=0.787, loss: 4.7, -, 7.8% elo% vs. simple_bot, avg. reward: -8.167, 2.087 sec/game, 7.1 min. total, 526.4 MB
stegosaur_undermine v6 272 games, 216055 moves, e=0.786, loss: 4.9, -, 7.7% elo% vs. simple_bot, avg. reward: -8.158, 2.062 sec/game, 7.1 min. total, 526.8 MB
stegosaur_undermine v6 273 games, 216853 moves, e=0.785, loss: 4.7, -, 7.6% elo% vs. simple_bot, avg. reward: -8.144, 2.048 sec/game, 7.1 min. total, 526.2 MB
stegosaur_undermine v6 274 games, 217718 moves, e=0.784, loss: 4.4, -, 7.5% elo% vs. simple_bot, avg. reward: -8.137, 2.023 sec/game, 7.2 min. total, 526.6 MB
stegosaur_undermine v6 275 games, 218666 moves, e=0.784, loss: 4.6, -, 7.4% elo% vs. simple_bot, avg. reward: -8.121, 2.040 sec/game, 7.2 min. total, 526.8 MB
stegosaur_undermine v6 276 games, 219514 moves, e=0.783, loss: 4.7, -, 7.3% elo% vs. simple_bot, avg. reward: -8.108, 1.993 sec/game, 7.2 min. total, 527.7 MB
stegosaur_undermine v6 277 games, 220497 moves, e=0.782, loss: 4.8, -, 7.2% elo% vs. simple_bot, avg. reward: -8.090, 1.990 sec/game, 7.3 min. total, 527.7 MB
stegosaur_undermine v6 278 games, 221404 moves, e=0.781, loss: 4.5, -, 7.2% elo% vs. simple_bot, avg. reward: -8.080, 1.993 sec/game, 7.3 min. total, 527.8 MB
stegosaur_undermine v6 279 games, 222427 moves, e=0.780, loss: 5.5, -, 7.1% elo% vs. simple_bot, avg. reward: -8.049, 1.972 sec/game, 7.3 min. total, 527.9 MB
stegosaur_undermine v6 280 games, 223512 moves, e=0.779, loss: 5.6, -, 7.0% elo% vs. simple_bot, avg. reward: -8.026, 1.994 sec/game, 7.4 min. total, 528.9 MB
stegosaur_undermine v6 281 games, 224458 moves, e=0.778, loss: 5.3, -, 6.9% elo% vs. simple_bot, avg. reward: -8.005, 1.991 sec/game, 7.4 min. total, 528.0 MB
stegosaur_undermine v6 282 games, 225293 moves, e=0.777, loss: 5.2, -, 6.8% elo% vs. simple_bot, avg. reward: -8.014, 1.956 sec/game, 7.4 min. total, 529.0 MB
stegosaur_undermine v6 283 games, 226114 moves, e=0.776, loss: 4.9, -, 6.7% elo% vs. simple_bot, avg. reward: -8.015, 1.944 sec/game, 7.5 min. total, 530.4 MB
stegosaur_undermine v6 284 games, 227039 moves, e=0.775, loss: 5.2, -, 6.7% elo% vs. simple_bot, avg. reward: -8.013, 1.962 sec/game, 7.5 min. total, 530.3 MB
stegosaur_undermine v6 285 games, 227898 moves, e=0.774, loss: 5.2, -, 6.6% elo% vs. simple_bot, avg. reward: -8.009, 1.939 sec/game, 7.5 min. total, 529.0 MB
stegosaur_undermine v6 286 games, 228762 moves, e=0.774, loss: 5.1, -, 6.5% elo% vs. simple_bot, avg. reward: -7.995, 1.922 sec/game, 7.5 min. total, 529.3 MB
stegosaur_undermine v6 287 games, 229608 moves, e=0.773, loss: 5.4, -, 6.4% elo% vs. simple_bot, avg. reward: -8.005, 1.899 sec/game, 7.6 min. total, 529.2 MB
stegosaur_undermine v6 288 games, 230572 moves, e=0.772, loss: 5.8, -, 6.4% elo% vs. simple_bot, avg. reward: -7.987, 1.918 sec/game, 7.6 min. total, 529.0 MB
stegosaur_undermine v6 289 games, 231618 moves, e=0.771, loss: 5.8, -, 6.3% elo% vs. simple_bot, avg. reward: -7.976, 1.947 sec/game, 7.6 min. total, 529.7 MB
stegosaur_undermine v6 290 games, 232591 moves, e=0.770, loss: 5.9, -, 6.2% elo% vs. simple_bot, avg. reward: -7.959, 1.948 sec/game, 7.7 min. total, 530.1 MB
