goofball_resource v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
goofball_resource v3 148 games, 109180 moves, e=0.892, loss: 1.3, -, 4.5% elo% vs. random_no_suicide, avg. reward: 0.370, 1.463 sec/game, 3.1 min. total, 457.6 MB
goofball_resource v3 149 games, 109996 moves, e=0.891, loss: 1.3, -, 4.5% elo% vs. random_no_suicide, avg. reward: 0.370, 1.471 sec/game, 3.1 min. total, 458.2 MB
goofball_resource v3 150 games, 110755 moves, e=0.890, loss: 1.4, -, 4.5% elo% vs. random_no_suicide, avg. reward: 0.372, 1.468 sec/game, 3.2 min. total, 457.9 MB
goofball_resource v3 151 games, 111537 moves, e=0.890, loss: 1.4, -, 4.4% elo% vs. random_no_suicide, avg. reward: 0.374, 1.466 sec/game, 3.2 min. total, 458.6 MB
goofball_resource v3 152 games, 112284 moves, e=0.889, loss: 1.4, -, 4.4% elo% vs. random_no_suicide, avg. reward: 0.376, 1.454 sec/game, 3.2 min. total, 459.1 MB
goofball_resource v3 153 games, 113074 moves, e=0.888, loss: 1.4, -, 4.4% elo% vs. random_no_suicide, avg. reward: 0.375, 1.461 sec/game, 3.2 min. total, 458.8 MB
goofball_resource v3 154 games, 113831 moves, e=0.887, loss: 1.4, -, 4.3% elo% vs. random_no_suicide, avg. reward: 0.376, 1.448 sec/game, 3.3 min. total, 459.2 MB
goofball_resource v3 155 games, 114682 moves, e=0.886, loss: 1.4, -, 4.3% elo% vs. random_no_suicide, avg. reward: 0.376, 1.448 sec/game, 3.3 min. total, 458.8 MB
goofball_resource v3 156 games, 115431 moves, e=0.886, loss: 1.4, -, 4.3% elo% vs. random_no_suicide, avg. reward: 0.377, 1.436 sec/game, 3.3 min. total, 459.4 MB
goofball_resource v3 157 games, 116115 moves, e=0.885, loss: 1.4, -, 4.2% elo% vs. random_no_suicide, avg. reward: 0.373, 1.436 sec/game, 3.3 min. total, 459.5 MB
goofball_resource v3 158 games, 116738 moves, e=0.884, loss: 1.5, -, 4.2% elo% vs. random_no_suicide, avg. reward: 0.371, 1.421 sec/game, 3.3 min. total, 459.4 MB
goofball_resource v3 159 games, 117502 moves, e=0.884, loss: 1.4, -, 4.2% elo% vs. random_no_suicide, avg. reward: 0.369, 1.414 sec/game, 3.4 min. total, 459.7 MB
goofball_resource v3 160 games, 118321 moves, e=0.883, loss: 1.5, -, 4.1% elo% vs. random_no_suicide, avg. reward: 0.367, 1.427 sec/game, 3.4 min. total, 459.9 MB
goofball_resource v3 161 games, 119101 moves, e=0.882, loss: 1.4, -, 4.1% elo% vs. random_no_suicide, avg. reward: 0.365, 1.415 sec/game, 3.4 min. total, 459.3 MB
goofball_resource v3 162 games, 119860 moves, e=0.881, loss: 1.4, -, 4.1% elo% vs. random_no_suicide, avg. reward: 0.364, 1.416 sec/game, 3.4 min. total, 459.7 MB
goofball_resource v3 163 games, 120721 moves, e=0.880, loss: 1.4, -, 4.1% elo% vs. random_no_suicide, avg. reward: 0.367, 1.455 sec/game, 3.5 min. total, 460.1 MB
goofball_resource v3 164 games, 121513 moves, e=0.880, loss: 1.5, -, 4.0% elo% vs. random_no_suicide, avg. reward: 0.367, 1.468 sec/game, 3.5 min. total, 460.5 MB
goofball_resource v3 165 games, 122250 moves, e=0.879, loss: 1.6, -, 4.0% elo% vs. random_no_suicide, avg. reward: 0.368, 1.472 sec/game, 3.5 min. total, 460.8 MB
goofball_resource v3 166 games, 122966 moves, e=0.878, loss: 1.6, -, 4.0% elo% vs. random_no_suicide, avg. reward: 0.368, 1.466 sec/game, 3.5 min. total, 460.8 MB
goofball_resource v3 167 games, 123698 moves, e=0.878, loss: 1.6, -, 3.9% elo% vs. random_no_suicide, avg. reward: 0.370, 1.457 sec/game, 3.6 min. total, 461.0 MB
goofball_resource v3 168 games, 124362 moves, e=0.877, loss: 1.4, -, 3.9% elo% vs. random_no_suicide, avg. reward: 0.371, 1.461 sec/game, 3.6 min. total, 461.0 MB
goofball_resource v3 169 games, 125183 moves, e=0.876, loss: 1.4, -, 3.9% elo% vs. random_no_suicide, avg. reward: 0.370, 1.453 sec/game, 3.6 min. total, 460.8 MB
goofball_resource v3 170 games, 125945 moves, e=0.875, loss: 1.4, -, 3.9% elo% vs. random_no_suicide, avg. reward: 0.368, 1.453 sec/game, 3.6 min. total, 460.5 MB
goofball_resource v3 171 games, 126662 moves, e=0.875, loss: 1.4, -, 3.8% elo% vs. random_no_suicide, avg. reward: 0.369, 1.452 sec/game, 3.7 min. total, 461.7 MB
goofball_resource v3 172 games, 127522 moves, e=0.874, loss: 1.5, -, 3.8% elo% vs. random_no_suicide, avg. reward: 0.368, 1.464 sec/game, 3.7 min. total, 463.6 MB
goofball_resource v3 173 games, 128192 moves, e=0.873, loss: 1.5, -, 3.8% elo% vs. random_no_suicide, avg. reward: 0.370, 1.447 sec/game, 3.7 min. total, 463.3 MB
goofball_resource v3 174 games, 129165 moves, e=0.872, loss: 1.4, -, 3.8% elo% vs. random_no_suicide, avg. reward: 0.367, 1.470 sec/game, 3.7 min. total, 463.7 MB
goofball_resource v3 175 games, 130082 moves, e=0.871, loss: 1.4, -, 3.7% elo% vs. random_no_suicide, avg. reward: 0.365, 1.480 sec/game, 3.8 min. total, 463.5 MB
goofball_resource v3 176 games, 130920 moves, e=0.870, loss: 1.4, -, 3.7% elo% vs. random_no_suicide, avg. reward: 0.366, 1.482 sec/game, 3.8 min. total, 464.0 MB
goofball_resource v3 177 games, 131593 moves, e=0.870, loss: 1.3, -, 3.7% elo% vs. random_no_suicide, avg. reward: 0.365, 1.483 sec/game, 3.8 min. total, 463.9 MB
goofball_resource v3 178 games, 132326 moves, e=0.869, loss: 1.3, -, 3.7% elo% vs. random_no_suicide, avg. reward: 0.365, 1.485 sec/game, 3.8 min. total, 463.6 MB
goofball_resource v3 179 games, 133197 moves, e=0.868, loss: 1.3, -, 3.6% elo% vs. random_no_suicide, avg. reward: 0.362, 1.506 sec/game, 3.9 min. total, 464.0 MB
goofball_resource v3 180 games, 134029 moves, e=0.867, loss: 1.3, -, 3.6% elo% vs. random_no_suicide, avg. reward: 0.360, 1.511 sec/game, 3.9 min. total, 464.0 MB
goofball_resource v3 181 games, 134725 moves, e=0.867, loss: 1.3, -, 3.6% elo% vs. random_no_suicide, avg. reward: 0.362, 1.501 sec/game, 3.9 min. total, 464.1 MB
goofball_resource v3 182 games, 135633 moves, e=0.866, loss: 1.3, -, 3.6% elo% vs. random_no_suicide, avg. reward: 0.364, 1.514 sec/game, 3.9 min. total, 465.6 MB
goofball_resource v3 183 games, 136370 moves, e=0.865, loss: 1.2, -, 3.5% elo% vs. random_no_suicide, avg. reward: 0.369, 1.501 sec/game, 4.0 min. total, 465.8 MB
goofball_resource v3 184 games, 137056 moves, e=0.864, loss: 1.4, -, 3.5% elo% vs. random_no_suicide, avg. reward: 0.367, 1.490 sec/game, 4.0 min. total, 465.9 MB
goofball_resource v3 185 games, 137876 moves, e=0.864, loss: 1.4, -, 3.5% elo% vs. random_no_suicide, avg. reward: 0.368, 1.499 sec/game, 4.0 min. total, 466.0 MB
goofball_resource v3 186 games, 138831 moves, e=0.863, loss: 1.4, -, 3.5% elo% vs. random_no_suicide, avg. reward: 0.368, 1.516 sec/game, 4.1 min. total, 465.7 MB
goofball_resource v3 187 games, 139851 moves, e=0.862, loss: 1.4, -, 3.5% elo% vs. random_no_suicide, avg. reward: 0.367, 1.543 sec/game, 4.1 min. total, 466.4 MB
goofball_resource v3 188 games, 140662 moves, e=0.861, loss: 1.5, -, 3.4% elo% vs. random_no_suicide, avg. reward: 0.364, 1.554 sec/game, 4.1 min. total, 465.8 MB
goofball_resource v3 189 games, 141460 moves, e=0.860, loss: 1.5, -, 3.4% elo% vs. random_no_suicide, avg. reward: 0.367, 1.563 sec/game, 4.1 min. total, 466.2 MB
goofball_resource v3 190 games, 142338 moves, e=0.859, loss: 1.4, -, 3.4% elo% vs. random_no_suicide, avg. reward: 0.370, 1.580 sec/game, 4.2 min. total, 466.4 MB
goofball_resource v3 191 games, 143123 moves, e=0.858, loss: 1.5, -, 3.4% elo% vs. random_no_suicide, avg. reward: 0.369, 1.584 sec/game, 4.2 min. total, 467.3 MB
goofball_resource v3 192 games, 143891 moves, e=0.858, loss: 1.4, -, 3.4% elo% vs. random_no_suicide, avg. reward: 0.373, 1.578 sec/game, 4.2 min. total, 467.7 MB
goofball_resource v3 193 games, 144703 moves, e=0.857, loss: 1.5, -, 3.3% elo% vs. random_no_suicide, avg. reward: 0.375, 1.593 sec/game, 4.2 min. total, 468.3 MB
goofball_resource v3 194 games, 145442 moves, e=0.856, loss: 1.5, -, 3.3% elo% vs. random_no_suicide, avg. reward: 0.376, 1.572 sec/game, 4.3 min. total, 468.4 MB
goofball_resource v3 195 games, 146177 moves, e=0.855, loss: 1.5, -, 3.3% elo% vs. random_no_suicide, avg. reward: 0.372, 1.560 sec/game, 4.3 min. total, 468.4 MB
goofball_resource v3 196 games, 146855 moves, e=0.855, loss: 1.5, -, 3.3% elo% vs. random_no_suicide, avg. reward: 0.373, 1.549 sec/game, 4.3 min. total, 467.9 MB
goofball_resource v3 197 games, 147640 moves, e=0.854, loss: 1.5, -, 3.3% elo% vs. random_no_suicide, avg. reward: 0.373, 1.550 sec/game, 4.3 min. total, 468.0 MB
goofball_resource v3 198 games, 148346 moves, e=0.853, loss: 1.6, -, 3.2% elo% vs. random_no_suicide, avg. reward: 0.372, 1.551 sec/game, 4.4 min. total, 468.6 MB
goofball_resource v3 199 games, 149158 moves, e=0.852, loss: 1.6, -, 3.2% elo% vs. random_no_suicide, avg. reward: 0.376, 1.551 sec/game, 4.4 min. total, 468.4 MB
goofball_resource v3 200 games, 149926 moves, e=0.852, loss: 1.6, -, 3.2% elo% vs. random_no_suicide, avg. reward: 0.374, 1.538 sec/game, 4.4 min. total, 468.6 MB
goofball_resource v3 201 games, 150744 moves, e=0.851, loss: 1.5, -, 3.2% elo% vs. random_no_suicide, avg. reward: 0.373, 1.550 sec/game, 4.4 min. total, 469.2 MB
goofball_resource v3 202 games, 151473 moves, e=0.850, loss: 1.6, -, 3.2% elo% vs. random_no_suicide, avg. reward: 0.373, 1.539 sec/game, 4.5 min. total, 470.6 MB
goofball_resource v3 203 games, 152338 moves, e=0.849, loss: 1.6, -, 3.1% elo% vs. random_no_suicide, avg. reward: 0.375, 1.545 sec/game, 4.5 min. total, 470.6 MB
goofball_resource v3 204 games, 153073 moves, e=0.848, loss: 1.5, -, 3.1% elo% vs. random_no_suicide, avg. reward: 0.375, 1.547 sec/game, 4.5 min. total, 471.3 MB
goofball_resource v3 205 games, 153812 moves, e=0.848, loss: 1.5, -, 3.1% elo% vs. random_no_suicide, avg. reward: 0.374, 1.538 sec/game, 4.5 min. total, 471.2 MB
goofball_resource v3 206 games, 154760 moves, e=0.847, loss: 1.5, -, 3.1% elo% vs. random_no_suicide, avg. reward: 0.373, 1.552 sec/game, 4.6 min. total, 471.2 MB
goofball_resource v3 207 games, 155492 moves, e=0.846, loss: 1.5, -, 3.1% elo% vs. random_no_suicide, avg. reward: 0.372, 1.516 sec/game, 4.6 min. total, 471.5 MB
goofball_resource v3 208 games, 156223 moves, e=0.845, loss: 1.6, -, 3.1% elo% vs. random_no_suicide, avg. reward: 0.375, 1.514 sec/game, 4.6 min. total, 471.0 MB
goofball_resource v3 209 games, 156905 moves, e=0.845, loss: 1.6, -, 3.0% elo% vs. random_no_suicide, avg. reward: 0.374, 1.495 sec/game, 4.6 min. total, 471.5 MB
goofball_resource v3 210 games, 157658 moves, e=0.844, loss: 1.6, -, 3.0% elo% vs. random_no_suicide, avg. reward: 0.376, 1.479 sec/game, 4.7 min. total, 471.5 MB
goofball_resource v3 211 games, 158537 moves, e=0.843, loss: 1.5, -, 3.0% elo% vs. random_no_suicide, avg. reward: 0.375, 1.489 sec/game, 4.7 min. total, 471.6 MB
goofball_resource v3 212 games, 159395 moves, e=0.842, loss: 1.5, -, 3.0% elo% vs. random_no_suicide, avg. reward: 0.376, 1.498 sec/game, 4.7 min. total, 471.9 MB
goofball_resource v3 213 games, 160291 moves, e=0.841, loss: 1.5, -, 3.0% elo% vs. random_no_suicide, avg. reward: 0.375, 1.508 sec/game, 4.7 min. total, 473.6 MB
goofball_resource v3 214 games, 161085 moves, e=0.841, loss: 1.6, -, 3.0% elo% vs. random_no_suicide, avg. reward: 0.375, 1.514 sec/game, 4.8 min. total, 473.4 MB
goofball_resource v3 215 games, 161922 moves, e=0.840, loss: 1.6, -, 2.9% elo% vs. random_no_suicide, avg. reward: 0.371, 1.526 sec/game, 4.8 min. total, 473.3 MB
goofball_resource v3 216 games, 162665 moves, e=0.839, loss: 1.6, -, 2.9% elo% vs. random_no_suicide, avg. reward: 0.370, 1.528 sec/game, 4.8 min. total, 473.1 MB
goofball_resource v3 217 games, 163379 moves, e=0.838, loss: 1.6, -, 2.9% elo% vs. random_no_suicide, avg. reward: 0.372, 1.532 sec/game, 4.8 min. total, 473.4 MB
goofball_resource v3 218 games, 164215 moves, e=0.837, loss: 1.5, -, 2.9% elo% vs. random_no_suicide, avg. reward: 0.371, 1.545 sec/game, 4.9 min. total, 473.6 MB
goofball_resource v3 219 games, 164964 moves, e=0.837, loss: 1.6, -, 2.9% elo% vs. random_no_suicide, avg. reward: 0.372, 1.535 sec/game, 4.9 min. total, 473.9 MB
goofball_resource v3 220 games, 165787 moves, e=0.836, loss: 1.6, -, 2.9% elo% vs. random_no_suicide, avg. reward: 0.371, 1.543 sec/game, 4.9 min. total, 473.8 MB
goofball_resource v3 221 games, 166573 moves, e=0.835, loss: 1.6, -, 2.9% elo% vs. random_no_suicide, avg. reward: 0.369, 1.543 sec/game, 5.0 min. total, 474.8 MB
goofball_resource v3 222 games, 167463 moves, e=0.834, loss: 1.6, -, 2.8% elo% vs. random_no_suicide, avg. reward: 0.369, 1.559 sec/game, 5.0 min. total, 474.7 MB
goofball_resource v3 223 games, 168262 moves, e=0.833, loss: 1.6, -, 2.8% elo% vs. random_no_suicide, avg. reward: 0.368, 1.551 sec/game, 5.0 min. total, 477.2 MB
goofball_resource v3 224 games, 169089 moves, e=0.833, loss: 1.6, -, 2.8% elo% vs. random_no_suicide, avg. reward: 0.365, 1.577 sec/game, 5.0 min. total, 476.6 MB
goofball_resource v3 225 games, 169754 moves, e=0.832, loss: 1.6, -, 2.8% elo% vs. random_no_suicide, avg. reward: 0.366, 1.568 sec/game, 5.1 min. total, 476.9 MB
goofball_resource v3 226 games, 170530 moves, e=0.831, loss: 1.5, -, 2.8% elo% vs. random_no_suicide, avg. reward: 0.370, 1.547 sec/game, 5.1 min. total, 476.5 MB
goofball_resource v3 227 games, 171412 moves, e=0.830, loss: 1.5, -, 2.8% elo% vs. random_no_suicide, avg. reward: 0.369, 1.571 sec/game, 5.1 min. total, 476.9 MB
goofball_resource v3 228 games, 172246 moves, e=0.829, loss: 1.4, -, 2.8% elo% vs. random_no_suicide, avg. reward: 0.371, 1.573 sec/game, 5.1 min. total, 476.9 MB
goofball_resource v3 229 games, 173160 moves, e=0.829, loss: 1.4, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.372, 1.600 sec/game, 5.2 min. total, 477.1 MB
goofball_resource v3 230 games, 173919 moves, e=0.828, loss: 1.6, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.373, 1.601 sec/game, 5.2 min. total, 476.9 MB
goofball_resource v3 231 games, 174724 moves, e=0.827, loss: 1.6, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.373, 1.600 sec/game, 5.2 min. total, 478.0 MB
goofball_resource v3 232 games, 175579 moves, e=0.826, loss: 1.5, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.374, 1.593 sec/game, 5.2 min. total, 479.5 MB
goofball_resource v3 233 games, 176421 moves, e=0.825, loss: 1.6, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.376, 1.598 sec/game, 5.3 min. total, 479.3 MB
goofball_resource v3 234 games, 177146 moves, e=0.825, loss: 1.6, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.372, 1.584 sec/game, 5.3 min. total, 479.3 MB
goofball_resource v3 235 games, 177888 moves, e=0.824, loss: 1.6, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.373, 1.573 sec/game, 5.3 min. total, 479.0 MB
goofball_resource v3 236 games, 178702 moves, e=0.823, loss: 1.6, -, 2.7% elo% vs. random_no_suicide, avg. reward: 0.368, 1.593 sec/game, 5.4 min. total, 478.9 MB
goofball_resource v3 237 games, 179539 moves, e=0.822, loss: 1.6, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.368, 1.593 sec/game, 5.4 min. total, 478.7 MB
goofball_resource v3 238 games, 180262 moves, e=0.822, loss: 1.6, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.367, 1.591 sec/game, 5.4 min. total, 479.5 MB
goofball_resource v3 239 games, 181407 moves, e=0.820, loss: 1.7, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.366, 1.626 sec/game, 5.4 min. total, 479.4 MB
goofball_resource v3 240 games, 182342 moves, e=0.819, loss: 1.7, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.364, 1.632 sec/game, 5.5 min. total, 479.0 MB
goofball_resource v3 241 games, 183089 moves, e=0.819, loss: 1.6, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.368, 1.632 sec/game, 5.5 min. total, 481.1 MB
goofball_resource v3 242 games, 183831 moves, e=0.818, loss: 1.7, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.368, 1.621 sec/game, 5.5 min. total, 481.2 MB
goofball_resource v3 243 games, 184679 moves, e=0.817, loss: 1.7, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.368, 1.622 sec/game, 5.5 min. total, 481.7 MB
goofball_resource v3 244 games, 185517 moves, e=0.816, loss: 1.8, -, 2.6% elo% vs. random_no_suicide, avg. reward: 0.373, 1.618 sec/game, 5.6 min. total, 481.3 MB
goofball_resource v3 245 games, 186326 moves, e=0.816, loss: 1.7, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.373, 1.628 sec/game, 5.6 min. total, 482.0 MB
goofball_resource v3 246 games, 187066 moves, e=0.815, loss: 1.8, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.372, 1.626 sec/game, 5.6 min. total, 482.1 MB
goofball_resource v3 247 games, 188064 moves, e=0.814, loss: 1.8, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.371, 1.647 sec/game, 5.7 min. total, 482.2 MB
goofball_resource v3 248 games, 188875 moves, e=0.813, loss: 1.8, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.365, 1.647 sec/game, 5.7 min. total, 482.1 MB
goofball_resource v3 249 games, 189839 moves, e=0.812, loss: 1.8, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.365, 1.656 sec/game, 5.7 min. total, 482.2 MB
goofball_resource v3 250 games, 190697 moves, e=0.811, loss: 1.7, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.367, 1.660 sec/game, 5.7 min. total, 483.7 MB
goofball_resource v3 251 games, 191406 moves, e=0.811, loss: 1.7, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.366, 1.653 sec/game, 5.8 min. total, 486.1 MB
goofball_resource v3 252 games, 192264 moves, e=0.810, loss: 1.8, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.364, 1.667 sec/game, 5.8 min. total, 486.1 MB
goofball_resource v3 253 games, 193115 moves, e=0.809, loss: 1.7, -, 2.5% elo% vs. random_no_suicide, avg. reward: 0.366, 1.654 sec/game, 5.8 min. total, 485.5 MB
goofball_resource v3 254 games, 193905 moves, e=0.808, loss: 1.7, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.365, 1.663 sec/game, 5.9 min. total, 485.9 MB
goofball_resource v3 255 games, 194641 moves, e=0.807, loss: 1.6, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.365, 1.668 sec/game, 5.9 min. total, 486.1 MB
goofball_resource v3 256 games, 195356 moves, e=0.807, loss: 1.5, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.365, 1.658 sec/game, 5.9 min. total, 486.1 MB
goofball_resource v3 257 games, 196216 moves, e=0.806, loss: 1.5, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.367, 1.659 sec/game, 5.9 min. total, 486.2 MB
goofball_resource v3 258 games, 197071 moves, e=0.805, loss: 1.5, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.370, 1.672 sec/game, 6.0 min. total, 486.5 MB
goofball_resource v3 259 games, 197930 moves, e=0.804, loss: 1.5, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.371, 1.648 sec/game, 6.0 min. total, 486.5 MB
goofball_resource v3 260 games, 198650 moves, e=0.803, loss: 1.5, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.370, 1.626 sec/game, 6.0 min. total, 486.5 MB
goofball_resource v3 261 games, 199440 moves, e=0.803, loss: 1.5, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.370, 1.635 sec/game, 6.0 min. total, 488.1 MB
goofball_resource v3 262 games, 200255 moves, e=0.802, loss: 1.5, -, 2.4% elo% vs. random_no_suicide, avg. reward: 0.370, 1.637 sec/game, 6.1 min. total, 487.6 MB
goofball_resource v3 263 games, 201053 moves, e=0.801, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.366, 1.639 sec/game, 6.1 min. total, 487.6 MB
goofball_resource v3 264 games, 201745 moves, e=0.800, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.369, 1.626 sec/game, 6.1 min. total, 487.6 MB
goofball_resource v3 265 games, 202602 moves, e=0.799, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.369, 1.628 sec/game, 6.1 min. total, 487.8 MB
goofball_resource v3 266 games, 203396 moves, e=0.799, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.369, 1.638 sec/game, 6.2 min. total, 487.5 MB
goofball_resource v3 267 games, 204176 moves, e=0.798, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.369, 1.606 sec/game, 6.2 min. total, 488.0 MB
goofball_resource v3 268 games, 205048 moves, e=0.797, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.373, 1.612 sec/game, 6.2 min. total, 488.1 MB
goofball_resource v3 269 games, 205804 moves, e=0.796, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.370, 1.590 sec/game, 6.3 min. total, 488.2 MB
goofball_resource v3 270 games, 206640 moves, e=0.795, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.370, 1.595 sec/game, 6.3 min. total, 488.2 MB
goofball_resource v3 271 games, 207416 moves, e=0.795, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.369, 1.595 sec/game, 6.3 min. total, 488.9 MB
goofball_resource v3 272 games, 208292 moves, e=0.794, loss: 1.5, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.366, 1.589 sec/game, 6.3 min. total, 489.8 MB
goofball_resource v3 273 games, 209189 moves, e=0.793, loss: 1.6, -, 2.3% elo% vs. random_no_suicide, avg. reward: 0.365, 1.600 sec/game, 6.4 min. total, 490.4 MB
goofball_resource v3 274 games, 210025 moves, e=0.792, loss: 1.5, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.364, 1.601 sec/game, 6.4 min. total, 490.2 MB
goofball_resource v3 275 games, 210849 moves, e=0.791, loss: 1.6, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.367, 1.607 sec/game, 6.4 min. total, 489.8 MB
goofball_resource v3 276 games, 211820 moves, e=0.790, loss: 1.7, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.370, 1.623 sec/game, 6.4 min. total, 490.3 MB
goofball_resource v3 277 games, 212789 moves, e=0.789, loss: 1.6, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.369, 1.648 sec/game, 6.5 min. total, 490.0 MB
goofball_resource v3 278 games, 213687 moves, e=0.788, loss: 1.6, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.370, 1.655 sec/game, 6.5 min. total, 490.2 MB
goofball_resource v3 279 games, 214496 moves, e=0.788, loss: 1.6, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.371, 1.649 sec/game, 6.5 min. total, 491.1 MB
goofball_resource v3 280 games, 215277 moves, e=0.787, loss: 1.5, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.371, 1.658 sec/game, 6.6 min. total, 491.1 MB
goofball_resource v3 281 games, 216091 moves, e=0.786, loss: 1.5, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.368, 1.662 sec/game, 6.6 min. total, 491.9 MB
goofball_resource v3 282 games, 216943 moves, e=0.785, loss: 1.5, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.367, 1.663 sec/game, 6.6 min. total, 492.3 MB
goofball_resource v3 283 games, 217863 moves, e=0.784, loss: 1.6, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.364, 1.682 sec/game, 6.7 min. total, 492.9 MB
goofball_resource v3 284 games, 218700 moves, e=0.783, loss: 1.7, -, 2.2% elo% vs. random_no_suicide, avg. reward: 0.366, 1.686 sec/game, 6.7 min. total, 492.7 MB
goofball_resource v3 285 games, 219500 moves, e=0.783, loss: 1.6, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.365, 1.686 sec/game, 6.7 min. total, 493.1 MB
goofball_resource v3 286 games, 220349 moves, e=0.782, loss: 1.7, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.365, 1.688 sec/game, 6.7 min. total, 492.8 MB
goofball_resource v3 287 games, 221117 moves, e=0.781, loss: 1.6, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.362, 1.687 sec/game, 6.8 min. total, 493.3 MB
goofball_resource v3 288 games, 221914 moves, e=0.780, loss: 1.6, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.364, 1.689 sec/game, 6.8 min. total, 493.4 MB
goofball_resource v3 289 games, 222750 moves, e=0.779, loss: 1.6, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.362, 1.703 sec/game, 6.8 min. total, 493.4 MB
goofball_resource v3 290 games, 223652 moves, e=0.779, loss: 1.6, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.357, 1.707 sec/game, 6.8 min. total, 493.8 MB
goofball_resource v3 291 games, 224557 moves, e=0.778, loss: 1.5, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.361, 1.723 sec/game, 6.9 min. total, 494.9 MB
goofball_resource v3 292 games, 225315 moves, e=0.777, loss: 1.5, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.363, 1.713 sec/game, 6.9 min. total, 495.2 MB
goofball_resource v3 293 games, 226251 moves, e=0.776, loss: 1.5, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.360, 1.716 sec/game, 6.9 min. total, 496.0 MB
goofball_resource v3 294 games, 227079 moves, e=0.775, loss: 1.5, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.361, 1.730 sec/game, 7.0 min. total, 495.9 MB
goofball_resource v3 295 games, 227937 moves, e=0.774, loss: 1.7, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.363, 1.723 sec/game, 7.0 min. total, 495.9 MB
goofball_resource v3 296 games, 228706 moves, e=0.774, loss: 1.6, -, 2.1% elo% vs. random_no_suicide, avg. reward: 0.365, 1.708 sec/game, 7.0 min. total, 496.1 MB
