stack_squall v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
stack_squall v2 37 games, 25284 moves, e=0.975, loss: 42.5, -, 45.4% elo% vs. v1, avg. reward: -3.991, 1.370 sec/game, 0.6 min. total, 471.3 MB
stack_squall v2 38 games, 26053 moves, e=0.974, loss: 40.6, -, 43.4% elo% vs. v1, avg. reward: -3.860, 1.375 sec/game, 0.6 min. total, 472.4 MB
stack_squall v2 39 games, 26750 moves, e=0.974, loss: 42.0, -, 41.4% elo% vs. v1, avg. reward: -3.668, 1.369 sec/game, 0.6 min. total, 473.9 MB
stack_squall v2 40 games, 27474 moves, e=0.973, loss: 44.1, -, 39.6% elo% vs. v1, avg. reward: -3.698, 1.371 sec/game, 0.6 min. total, 475.9 MB
stack_squall v2 41 games, 28219 moves, e=0.972, loss: 47.7, -, 37.8% elo% vs. v1, avg. reward: -3.685, 1.408 sec/game, 0.7 min. total, 476.0 MB
stack_squall v2 42 games, 28883 moves, e=0.971, loss: 51.2, -, 36.2% elo% vs. v1, avg. reward: -3.695, 1.402 sec/game, 0.7 min. total, 475.9 MB
stack_squall v2 43 games, 29433 moves, e=0.971, loss: 51.8, -, 34.7% elo% vs. v1, avg. reward: -3.799, 1.378 sec/game, 0.7 min. total, 475.9 MB
stack_squall v2 44 games, 30092 moves, e=0.970, loss: 50.1, -, 33.3% elo% vs. v1, avg. reward: -3.858, 1.390 sec/game, 0.7 min. total, 476.4 MB
stack_squall v2 45 games, 30791 moves, e=0.970, loss: 47.4, -, 31.9% elo% vs. v1, avg. reward: -3.880, 1.393 sec/game, 0.8 min. total, 475.8 MB
stack_squall v2 46 games, 31362 moves, e=0.969, loss: 47.0, -, 30.6% elo% vs. v1, avg. reward: -3.934, 1.395 sec/game, 0.8 min. total, 478.8 MB
stack_squall v2 47 games, 32030 moves, e=0.968, loss: 48.5, -, 29.5% elo% vs. v1, avg. reward: -3.941, 1.386 sec/game, 0.8 min. total, 482.1 MB
stack_squall v2 48 games, 32806 moves, e=0.968, loss: 50.1, -, 28.3% elo% vs. v1, avg. reward: -3.924, 1.408 sec/game, 0.8 min. total, 483.3 MB
stack_squall v2 49 games, 33506 moves, e=0.967, loss: 55.1, -, 27.3% elo% vs. v1, avg. reward: -3.917, 1.411 sec/game, 0.9 min. total, 483.4 MB
stack_squall v2 50 games, 34214 moves, e=0.966, loss: 58.2, -, 26.3% elo% vs. v1, avg. reward: -3.911, 1.408 sec/game, 0.9 min. total, 483.4 MB
stack_squall v2 51 games, 34922 moves, e=0.965, loss: 60.4, -, 25.4% elo% vs. v1, avg. reward: -3.802, 1.391 sec/game, 0.9 min. total, 483.4 MB
stack_squall v2 52 games, 35677 moves, e=0.965, loss: 59.8, -, 24.5% elo% vs. v1, avg. reward: -3.723, 1.404 sec/game, 0.9 min. total, 483.3 MB
stack_squall v2 53 games, 36324 moves, e=0.964, loss: 59.9, -, 23.7% elo% vs. v1, avg. reward: -3.740, 1.400 sec/game, 1.0 min. total, 481.0 MB
stack_squall v2 54 games, 37204 moves, e=0.963, loss: 67.0, -, 22.9% elo% vs. v1, avg. reward: -3.662, 1.413 sec/game, 1.0 min. total, 481.4 MB
stack_squall v2 55 games, 37958 moves, e=0.962, loss: 63.1, -, 22.2% elo% vs. v1, avg. reward: -3.601, 1.431 sec/game, 1.0 min. total, 481.6 MB
stack_squall v2 56 games, 38721 moves, e=0.962, loss: 65.6, ., 23.1% elo% vs. v1, avg. reward: -3.552, 1.456 sec/game, 1.0 min. total, 482.7 MB
stack_squall v2 57 games, 39341 moves, e=0.961, loss: 70.3, -, 22.3% elo% vs. v1, avg. reward: -3.553, 1.459 sec/game, 1.1 min. total, 484.4 MB
stack_squall v2 58 games, 40091 moves, e=0.960, loss: 74.8, -, 21.6% elo% vs. v1, avg. reward: -3.540, 1.462 sec/game, 1.1 min. total, 485.2 MB
stack_squall v2 59 games, 40821 moves, e=0.960, loss: 74.9, -, 20.9% elo% vs. v1, avg. reward: -3.545, 1.461 sec/game, 1.1 min. total, 485.3 MB
stack_squall v2 60 games, 41507 moves, e=0.959, loss: 74.4, -, 20.3% elo% vs. v1, avg. reward: -3.606, 1.459 sec/game, 1.1 min. total, 485.4 MB
stack_squall v2 61 games, 42080 moves, e=0.958, loss: 72.2, -, 19.7% elo% vs. v1, avg. reward: -3.662, 1.416 sec/game, 1.2 min. total, 487.5 MB
stack_squall v2 62 games, 42760 moves, e=0.958, loss: 73.5, -, 19.1% elo% vs. v1, avg. reward: -3.721, 1.424 sec/game, 1.2 min. total, 487.4 MB
stack_squall v2 63 games, 43478 moves, e=0.957, loss: 75.7, +, 21.6% elo% vs. v1, avg. reward: -3.706, 1.439 sec/game, 1.2 min. total, 485.4 MB
stack_squall v2 64 games, 44278 moves, e=0.956, loss: 76.3, -, 20.9% elo% vs. v1, avg. reward: -3.720, 1.447 sec/game, 1.2 min. total, 485.2 MB
stack_squall v2 65 games, 45204 moves, e=0.955, loss: 77.2, -, 20.3% elo% vs. v1, avg. reward: -3.679, 1.482 sec/game, 1.3 min. total, 485.3 MB
stack_squall v2 66 games, 45825 moves, e=0.955, loss: 73.8, -, 19.7% elo% vs. v1, avg. reward: -3.735, 1.483 sec/game, 1.3 min. total, 488.2 MB
