fifth_squid v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
fifth_squid v3 317 games, 243688 moves, e=0.759, loss: 995.4, -, 2.2% elo% vs. random_no_suicide, avg. reward: 13.470, 1.752 sec/game, 7.7 min. total, 507.6 MB
fifth_squid v3 318 games, 244562 moves, e=0.758, loss: 956.4, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.478, 1.758 sec/game, 7.8 min. total, 507.8 MB
fifth_squid v3 319 games, 245428 moves, e=0.757, loss: 993.2, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.486, 1.761 sec/game, 7.8 min. total, 508.6 MB
fifth_squid v3 320 games, 246470 moves, e=0.756, loss: 953.3, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.478, 1.791 sec/game, 7.8 min. total, 509.1 MB
fifth_squid v3 321 games, 247501 moves, e=0.755, loss: 896.4, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.492, 1.805 sec/game, 7.9 min. total, 509.3 MB
fifth_squid v3 322 games, 248413 moves, e=0.754, loss: 949.4, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.478, 1.804 sec/game, 7.9 min. total, 509.4 MB
fifth_squid v3 323 games, 249408 moves, e=0.753, loss: 979.1, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.473, 1.816 sec/game, 7.9 min. total, 509.4 MB
fifth_squid v3 324 games, 250324 moves, e=0.752, loss: 950.4, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.481, 1.830 sec/game, 7.9 min. total, 509.5 MB
fifth_squid v3 325 games, 251329 moves, e=0.751, loss: 986.4, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.475, 1.854 sec/game, 8.0 min. total, 509.5 MB
fifth_squid v3 326 games, 252237 moves, e=0.750, loss: 959.2, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.470, 1.852 sec/game, 8.0 min. total, 509.9 MB
fifth_squid v3 327 games, 253187 moves, e=0.749, loss: 1018.1, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.447, 1.852 sec/game, 8.0 min. total, 510.2 MB
fifth_squid v3 328 games, 253963 moves, e=0.749, loss: 1000.8, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.430, 1.845 sec/game, 8.1 min. total, 511.8 MB
fifth_squid v3 329 games, 254809 moves, e=0.748, loss: 1013.5, -, 2.1% elo% vs. random_no_suicide, avg. reward: 13.433, 1.864 sec/game, 8.1 min. total, 511.8 MB
fifth_squid v3 330 games, 255654 moves, e=0.747, loss: 1006.6, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.438, 1.858 sec/game, 8.1 min. total, 511.9 MB
fifth_squid v3 331 games, 256504 moves, e=0.746, loss: 1010.5, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.422, 1.858 sec/game, 8.2 min. total, 511.5 MB
fifth_squid v3 332 games, 257443 moves, e=0.745, loss: 1104.5, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.416, 1.865 sec/game, 8.2 min. total, 512.0 MB
fifth_squid v3 333 games, 258450 moves, e=0.744, loss: 1029.7, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.409, 1.873 sec/game, 8.2 min. total, 512.1 MB
fifth_squid v3 334 games, 259398 moves, e=0.743, loss: 978.8, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.393, 1.887 sec/game, 8.3 min. total, 511.7 MB
fifth_squid v3 335 games, 260314 moves, e=0.742, loss: 939.5, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.393, 1.899 sec/game, 8.3 min. total, 512.0 MB
fifth_squid v3 336 games, 261356 moves, e=0.741, loss: 991.7, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.382, 1.900 sec/game, 8.3 min. total, 512.0 MB
fifth_squid v3 337 games, 262409 moves, e=0.740, loss: 989.2, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.369, 1.932 sec/game, 8.4 min. total, 513.6 MB
fifth_squid v3 338 games, 263187 moves, e=0.739, loss: 968.1, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.384, 1.926 sec/game, 8.4 min. total, 514.2 MB
fifth_squid v3 339 games, 264103 moves, e=0.739, loss: 959.0, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.396, 1.926 sec/game, 8.4 min. total, 515.2 MB
fifth_squid v3 340 games, 264989 moves, e=0.738, loss: 947.9, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.375, 1.907 sec/game, 8.5 min. total, 514.5 MB
fifth_squid v3 341 games, 265822 moves, e=0.737, loss: 920.2, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.387, 1.887 sec/game, 8.5 min. total, 514.1 MB
fifth_squid v3 342 games, 266613 moves, e=0.736, loss: 888.6, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.396, 1.876 sec/game, 8.5 min. total, 513.8 MB
fifth_squid v3 343 games, 267446 moves, e=0.735, loss: 919.2, -, 2.0% elo% vs. random_no_suicide, avg. reward: 13.375, 1.871 sec/game, 8.5 min. total, 514.6 MB
fifth_squid v3 344 games, 268390 moves, e=0.734, loss: 956.9, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.359, 1.872 sec/game, 8.6 min. total, 514.5 MB
fifth_squid v3 345 games, 269279 moves, e=0.733, loss: 983.4, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.371, 1.861 sec/game, 8.6 min. total, 514.9 MB
fifth_squid v3 346 games, 270125 moves, e=0.733, loss: 965.3, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.366, 1.862 sec/game, 8.6 min. total, 516.6 MB
fifth_squid v3 347 games, 270971 moves, e=0.732, loss: 1019.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.348, 1.840 sec/game, 8.7 min. total, 518.2 MB
fifth_squid v3 348 games, 271929 moves, e=0.731, loss: 1044.7, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.360, 1.865 sec/game, 8.7 min. total, 517.5 MB
fifth_squid v3 349 games, 272883 moves, e=0.730, loss: 1038.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.361, 1.871 sec/game, 8.7 min. total, 518.1 MB
fifth_squid v3 350 games, 273824 moves, e=0.729, loss: 1057.6, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.349, 1.880 sec/game, 8.8 min. total, 517.3 MB
fifth_squid v3 351 games, 274785 moves, e=0.728, loss: 1017.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.349, 1.890 sec/game, 8.8 min. total, 517.5 MB
fifth_squid v3 352 games, 275626 moves, e=0.727, loss: 960.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.359, 1.877 sec/game, 8.8 min. total, 518.0 MB
fifth_squid v3 353 games, 276460 moves, e=0.726, loss: 927.5, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.353, 1.855 sec/game, 8.8 min. total, 517.7 MB
fifth_squid v3 354 games, 277365 moves, e=0.725, loss: 939.3, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.365, 1.854 sec/game, 8.9 min. total, 518.2 MB
fifth_squid v3 355 games, 278175 moves, e=0.725, loss: 928.0, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.359, 1.855 sec/game, 8.9 min. total, 519.0 MB
fifth_squid v3 356 games, 278960 moves, e=0.724, loss: 978.4, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.357, 1.833 sec/game, 8.9 min. total, 519.8 MB
fifth_squid v3 357 games, 279855 moves, e=0.723, loss: 947.8, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.360, 1.820 sec/game, 9.0 min. total, 520.4 MB
fifth_squid v3 358 games, 280871 moves, e=0.722, loss: 926.0, -, 1.9% elo% vs. random_no_suicide, avg. reward: 13.356, 1.833 sec/game, 9.0 min. total, 519.8 MB
fifth_squid v3 359 games, 281967 moves, e=0.721, loss: 926.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.347, 1.847 sec/game, 9.0 min. total, 520.2 MB
fifth_squid v3 360 games, 282894 moves, e=0.720, loss: 910.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.355, 1.858 sec/game, 9.1 min. total, 520.3 MB
fifth_squid v3 361 games, 283707 moves, e=0.719, loss: 910.0, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.349, 1.859 sec/game, 9.1 min. total, 520.3 MB
fifth_squid v3 362 games, 284593 moves, e=0.718, loss: 871.1, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.341, 1.872 sec/game, 9.1 min. total, 520.5 MB
fifth_squid v3 363 games, 285358 moves, e=0.717, loss: 996.3, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.329, 1.856 sec/game, 9.2 min. total, 520.5 MB
fifth_squid v3 364 games, 286296 moves, e=0.717, loss: 989.5, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.330, 1.856 sec/game, 9.2 min. total, 520.2 MB
fifth_squid v3 365 games, 287156 moves, e=0.716, loss: 969.4, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.342, 1.855 sec/game, 9.2 min. total, 522.2 MB
fifth_squid v3 366 games, 288069 moves, e=0.715, loss: 947.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.343, 1.859 sec/game, 9.3 min. total, 522.3 MB
fifth_squid v3 367 games, 288793 moves, e=0.714, loss: 985.5, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.346, 1.858 sec/game, 9.3 min. total, 522.8 MB
fifth_squid v3 368 games, 289576 moves, e=0.713, loss: 1019.3, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.317, 1.832 sec/game, 9.3 min. total, 522.8 MB
fifth_squid v3 369 games, 290566 moves, e=0.712, loss: 1037.0, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.315, 1.852 sec/game, 9.3 min. total, 522.8 MB
fifth_squid v3 370 games, 291593 moves, e=0.711, loss: 1035.9, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.308, 1.856 sec/game, 9.4 min. total, 522.3 MB
fifth_squid v3 371 games, 292504 moves, e=0.710, loss: 979.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.307, 1.856 sec/game, 9.4 min. total, 522.8 MB
fifth_squid v3 372 games, 293357 moves, e=0.710, loss: 1025.2, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.302, 1.851 sec/game, 9.4 min. total, 523.6 MB
fifth_squid v3 373 games, 294183 moves, e=0.709, loss: 1004.5, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.305, 1.858 sec/game, 9.5 min. total, 523.8 MB
fifth_squid v3 374 games, 295121 moves, e=0.708, loss: 1026.0, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.295, 1.862 sec/game, 9.5 min. total, 524.8 MB
fifth_squid v3 375 games, 296084 moves, e=0.707, loss: 1074.6, -, 1.8% elo% vs. random_no_suicide, avg. reward: 13.297, 1.874 sec/game, 9.5 min. total, 526.6 MB
fifth_squid v3 376 games, 296911 moves, e=0.706, loss: 1063.1, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.292, 1.880 sec/game, 9.6 min. total, 526.6 MB
fifth_squid v3 377 games, 297773 moves, e=0.705, loss: 1017.7, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.304, 1.875 sec/game, 9.6 min. total, 526.3 MB
fifth_squid v3 378 games, 298525 moves, e=0.704, loss: 958.8, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.304, 1.851 sec/game, 9.6 min. total, 526.6 MB
fifth_squid v3 379 games, 299624 moves, e=0.703, loss: 973.9, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.303, 1.851 sec/game, 9.7 min. total, 526.5 MB
fifth_squid v3 380 games, 300615 moves, e=0.702, loss: 883.6, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.294, 1.856 sec/game, 9.7 min. total, 526.6 MB
fifth_squid v3 381 games, 301565 moves, e=0.701, loss: 869.2, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.310, 1.862 sec/game, 9.7 min. total, 526.6 MB
fifth_squid v3 382 games, 302591 moves, e=0.700, loss: 896.6, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.298, 1.875 sec/game, 9.8 min. total, 526.7 MB
fifth_squid v3 383 games, 303546 moves, e=0.699, loss: 881.1, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.300, 1.903 sec/game, 9.8 min. total, 528.1 MB
fifth_squid v3 384 games, 304384 moves, e=0.699, loss: 819.3, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.300, 1.900 sec/game, 9.8 min. total, 528.3 MB
fifth_squid v3 385 games, 305380 moves, e=0.698, loss: 840.2, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.286, 1.904 sec/game, 9.9 min. total, 528.8 MB
fifth_squid v3 386 games, 306264 moves, e=0.697, loss: 899.7, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.268, 1.908 sec/game, 9.9 min. total, 529.0 MB
fifth_squid v3 387 games, 307261 moves, e=0.696, loss: 876.2, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.260, 1.933 sec/game, 9.9 min. total, 528.9 MB
fifth_squid v3 388 games, 308088 moves, e=0.695, loss: 879.3, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.252, 1.934 sec/game, 10.0 min. total, 529.1 MB
fifth_squid v3 389 games, 309099 moves, e=0.694, loss: 868.9, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.251, 1.926 sec/game, 10.0 min. total, 529.0 MB
fifth_squid v3 390 games, 309934 moves, e=0.693, loss: 950.7, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.253, 1.914 sec/game, 10.0 min. total, 529.0 MB
fifth_squid v3 391 games, 310857 moves, e=0.692, loss: 922.7, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.254, 1.917 sec/game, 10.0 min. total, 529.3 MB
fifth_squid v3 392 games, 311601 moves, e=0.692, loss: 913.3, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.264, 1.912 sec/game, 10.1 min. total, 530.0 MB
fifth_squid v3 393 games, 312685 moves, e=0.690, loss: 904.5, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.253, 1.929 sec/game, 10.1 min. total, 531.8 MB
fifth_squid v3 394 games, 313592 moves, e=0.690, loss: 909.1, -, 1.7% elo% vs. random_no_suicide, avg. reward: 13.239, 1.928 sec/game, 10.1 min. total, 531.8 MB
fifth_squid v3 395 games, 314531 moves, e=0.689, loss: 895.4, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.244, 1.927 sec/game, 10.2 min. total, 532.3 MB
fifth_squid v3 396 games, 315484 moves, e=0.688, loss: 919.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.229, 1.939 sec/game, 10.2 min. total, 532.2 MB
fifth_squid v3 397 games, 316236 moves, e=0.687, loss: 912.9, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.224, 1.926 sec/game, 10.2 min. total, 532.4 MB
fifth_squid v3 398 games, 317010 moves, e=0.686, loss: 911.4, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.235, 1.927 sec/game, 10.3 min. total, 532.3 MB
fifth_squid v3 399 games, 317934 moves, e=0.685, loss: 939.0, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.223, 1.917 sec/game, 10.3 min. total, 533.2 MB
fifth_squid v3 400 games, 318788 moves, e=0.684, loss: 936.7, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.206, 1.902 sec/game, 10.3 min. total, 532.8 MB
fifth_squid v3 401 games, 319587 moves, e=0.684, loss: 881.5, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.193, 1.892 sec/game, 10.4 min. total, 533.5 MB
fifth_squid v3 402 games, 320516 moves, e=0.683, loss: 853.6, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.179, 1.889 sec/game, 10.4 min. total, 534.1 MB
fifth_squid v3 403 games, 321580 moves, e=0.682, loss: 885.5, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.172, 1.887 sec/game, 10.4 min. total, 534.1 MB
fifth_squid v3 404 games, 322549 moves, e=0.681, loss: 951.9, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.171, 1.893 sec/game, 10.5 min. total, 534.4 MB
fifth_squid v3 405 games, 323554 moves, e=0.680, loss: 928.0, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.178, 1.903 sec/game, 10.5 min. total, 535.3 MB
fifth_squid v3 406 games, 324434 moves, e=0.679, loss: 942.7, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.180, 1.898 sec/game, 10.5 min. total, 535.1 MB
fifth_squid v3 407 games, 325267 moves, e=0.678, loss: 934.8, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.171, 1.883 sec/game, 10.6 min. total, 535.2 MB
fifth_squid v3 408 games, 326191 moves, e=0.677, loss: 857.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.173, 1.895 sec/game, 10.6 min. total, 535.4 MB
fifth_squid v3 409 games, 327190 moves, e=0.676, loss: 835.9, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.170, 1.893 sec/game, 10.6 min. total, 535.2 MB
fifth_squid v3 410 games, 328176 moves, e=0.675, loss: 868.3, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.172, 1.896 sec/game, 10.6 min. total, 534.8 MB
fifth_squid v3 411 games, 329092 moves, e=0.674, loss: 849.9, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.178, 1.903 sec/game, 10.7 min. total, 535.8 MB
fifth_squid v3 412 games, 330119 moves, e=0.673, loss: 822.8, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.162, 1.929 sec/game, 10.7 min. total, 537.3 MB
fifth_squid v3 413 games, 331001 moves, e=0.672, loss: 844.1, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.155, 1.906 sec/game, 10.7 min. total, 537.6 MB
fifth_squid v3 414 games, 331871 moves, e=0.671, loss: 852.8, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.179, 1.908 sec/game, 10.8 min. total, 537.7 MB
fifth_squid v3 415 games, 332938 moves, e=0.670, loss: 832.4, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.177, 1.922 sec/game, 10.8 min. total, 538.2 MB
fifth_squid v3 416 games, 333782 moves, e=0.670, loss: 826.5, -, 1.6% elo% vs. random_no_suicide, avg. reward: 13.157, 1.909 sec/game, 10.8 min. total, 537.9 MB
fifth_squid v3 417 games, 334916 moves, e=0.668, loss: 815.5, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.153, 1.955 sec/game, 10.9 min. total, 538.6 MB
fifth_squid v3 418 games, 335857 moves, e=0.668, loss: 794.2, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.150, 1.974 sec/game, 10.9 min. total, 538.5 MB
fifth_squid v3 419 games, 336822 moves, e=0.667, loss: 839.6, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.141, 1.985 sec/game, 11.0 min. total, 538.6 MB
fifth_squid v3 420 games, 337816 moves, e=0.666, loss: 839.6, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.150, 1.999 sec/game, 11.0 min. total, 539.9 MB
fifth_squid v3 421 games, 338823 moves, e=0.665, loss: 878.1, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.143, 2.022 sec/game, 11.0 min. total, 541.7 MB
fifth_squid v3 422 games, 339884 moves, e=0.664, loss: 889.2, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.162, 2.035 sec/game, 11.1 min. total, 541.6 MB
fifth_squid v3 423 games, 340863 moves, e=0.663, loss: 843.0, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.163, 2.025 sec/game, 11.1 min. total, 541.6 MB
fifth_squid v3 424 games, 341996 moves, e=0.661, loss: 803.1, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.152, 2.047 sec/game, 11.1 min. total, 541.6 MB
fifth_squid v3 425 games, 342978 moves, e=0.660, loss: 765.7, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.142, 2.054 sec/game, 11.2 min. total, 541.6 MB
fifth_squid v3 426 games, 344033 moves, e=0.659, loss: 809.4, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.135, 2.072 sec/game, 11.2 min. total, 541.5 MB
fifth_squid v3 427 games, 344947 moves, e=0.659, loss: 845.7, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.153, 2.075 sec/game, 11.2 min. total, 541.4 MB
fifth_squid v3 428 games, 346078 moves, e=0.657, loss: 807.9, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.152, 2.104 sec/game, 11.3 min. total, 541.5 MB
fifth_squid v3 429 games, 347007 moves, e=0.656, loss: 830.1, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.142, 2.094 sec/game, 11.3 min. total, 542.4 MB
fifth_squid v3 430 games, 347905 moves, e=0.656, loss: 815.9, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.128, 2.105 sec/game, 11.3 min. total, 543.1 MB
fifth_squid v3 431 games, 348800 moves, e=0.655, loss: 834.3, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.136, 2.097 sec/game, 11.4 min. total, 543.3 MB
fifth_squid v3 432 games, 349878 moves, e=0.654, loss: 863.0, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.119, 2.103 sec/game, 11.4 min. total, 543.9 MB
fifth_squid v3 433 games, 350703 moves, e=0.653, loss: 828.5, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.118, 2.113 sec/game, 11.5 min. total, 543.8 MB
fifth_squid v3 434 games, 351629 moves, e=0.652, loss: 867.1, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.114, 2.120 sec/game, 11.5 min. total, 543.8 MB
fifth_squid v3 435 games, 352583 moves, e=0.651, loss: 812.6, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.122, 2.100 sec/game, 11.5 min. total, 544.1 MB
fifth_squid v3 436 games, 353493 moves, e=0.650, loss: 767.5, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.121, 2.112 sec/game, 11.5 min. total, 544.3 MB
fifth_squid v3 437 games, 354474 moves, e=0.649, loss: 811.7, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.108, 2.091 sec/game, 11.6 min. total, 545.0 MB
fifth_squid v3 438 games, 355379 moves, e=0.648, loss: 778.0, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.113, 2.089 sec/game, 11.6 min. total, 545.5 MB
fifth_squid v3 439 games, 356251 moves, e=0.647, loss: 802.6, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.102, 2.077 sec/game, 11.6 min. total, 547.2 MB
fifth_squid v3 440 games, 357326 moves, e=0.646, loss: 809.8, -, 1.5% elo% vs. random_no_suicide, avg. reward: 13.103, 2.091 sec/game, 11.7 min. total, 546.9 MB
fifth_squid v3 441 games, 358324 moves, e=0.645, loss: 793.8, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.086, 2.091 sec/game, 11.7 min. total, 547.2 MB
fifth_squid v3 442 games, 359353 moves, e=0.644, loss: 800.8, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.073, 2.080 sec/game, 11.8 min. total, 547.6 MB
fifth_squid v3 443 games, 360478 moves, e=0.643, loss: 799.6, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.087, 2.102 sec/game, 11.8 min. total, 547.0 MB
fifth_squid v3 444 games, 361408 moves, e=0.642, loss: 765.9, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.102, 2.080 sec/game, 11.8 min. total, 547.8 MB
fifth_squid v3 445 games, 362374 moves, e=0.641, loss: 773.5, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.084, 2.075 sec/game, 11.9 min. total, 547.9 MB
fifth_squid v3 446 games, 363172 moves, e=0.640, loss: 790.2, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.079, 2.052 sec/game, 11.9 min. total, 547.4 MB
fifth_squid v3 447 games, 364129 moves, e=0.640, loss: 748.6, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.099, 2.054 sec/game, 11.9 min. total, 548.0 MB
fifth_squid v3 448 games, 365053 moves, e=0.639, loss: 783.7, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.082, 2.026 sec/game, 12.0 min. total, 549.4 MB
fifth_squid v3 449 games, 365924 moves, e=0.638, loss: 750.9, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.078, 2.026 sec/game, 12.0 min. total, 549.3 MB
fifth_squid v3 450 games, 367027 moves, e=0.637, loss: 771.3, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.074, 2.037 sec/game, 12.0 min. total, 549.2 MB
fifth_squid v3 451 games, 367936 moves, e=0.636, loss: 720.3, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.078, 2.037 sec/game, 12.1 min. total, 550.0 MB
fifth_squid v3 452 games, 368853 moves, e=0.635, loss: 714.9, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.067, 2.021 sec/game, 12.1 min. total, 549.9 MB
fifth_squid v3 453 games, 369877 moves, e=0.634, loss: 720.9, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.072, 2.031 sec/game, 12.1 min. total, 550.2 MB
fifth_squid v3 454 games, 370845 moves, e=0.633, loss: 751.3, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.057, 2.033 sec/game, 12.2 min. total, 550.3 MB
fifth_squid v3 455 games, 371760 moves, e=0.632, loss: 804.3, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.049, 2.030 sec/game, 12.2 min. total, 550.5 MB
fifth_squid v3 456 games, 372699 moves, e=0.631, loss: 802.1, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.037, 2.026 sec/game, 12.2 min. total, 550.7 MB
fifth_squid v3 457 games, 373661 moves, e=0.630, loss: 825.5, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.024, 2.023 sec/game, 12.3 min. total, 551.5 MB
fifth_squid v3 458 games, 374577 moves, e=0.629, loss: 864.8, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.017, 2.019 sec/game, 12.3 min. total, 551.2 MB
fifth_squid v3 459 games, 375607 moves, e=0.628, loss: 898.4, -, 1.4% elo% vs. random_no_suicide, avg. reward: 13.019, 2.032 sec/game, 12.3 min. total, 551.7 MB
fifth_squid v3 460 games, 376551 moves, e=0.627, loss: 866.9, -, 1.4% elo% vs. random_no_suicide, avg. reward: 12.999, 2.007 sec/game, 12.4 min. total, 551.7 MB
fifth_squid v3 461 games, 377422 moves, e=0.626, loss: 845.3, -, 1.4% elo% vs. random_no_suicide, avg. reward: 12.998, 1.994 sec/game, 12.4 min. total, 551.9 MB
fifth_squid v3 462 games, 378374 moves, e=0.625, loss: 861.7, -, 1.4% elo% vs. random_no_suicide, avg. reward: 12.984, 1.992 sec/game, 12.4 min. total, 552.2 MB
fifth_squid v3 463 games, 379335 moves, e=0.624, loss: 872.8, -, 1.4% elo% vs. random_no_suicide, avg. reward: 12.985, 1.969 sec/game, 12.5 min. total, 551.7 MB
fifth_squid v3 464 games, 380194 moves, e=0.624, loss: 901.6, -, 1.4% elo% vs. random_no_suicide, avg. reward: 12.979, 1.975 sec/game, 12.5 min. total, 552.1 MB
fifth_squid v3 465 games, 380956 moves, e=0.623, loss: 895.6, -, 1.4% elo% vs. random_no_suicide, avg. reward: 12.966, 1.950 sec/game, 12.5 min. total, 553.1 MB
